gene_name	entrez_id	chr	start	end	width	gb_ctrl_signal	gb_mut_signal	gb_log2fc	pr_ctrl_signal	pr_mut_signal	pr_log2fc	is_neuronal	is_neuronal_external	k119ub_decile	length_stratum	ctrl_top_quartile	ctrl_top_decile	mut_top_quartile	mut_top_decile
Fezf1	73191	chr6	23245044	23248362	3319	16.062401	13.306548	-0.267515	17.168349	14.186684	-0.271379	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Mycn	18109	chr12	12936093	12941914	5822	15.509218	14.296074	-0.115794	12.133974	11.167109	-0.117571	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Shox2	20429	chr3	66971727	66981771	10045	15.140202	15.640458	0.046236	15.19951	14.555418	-0.061557	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Ccno	218630	chr13	112987802	112990777	2976	14.847123	16.507136	0.150784	13.297284	14.881313	0.159866	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Nkx3-2	12020	chr5	41761483	41764501	3019	14.766047	13.778106	-0.098387	15.49039	15.032918	-0.042633	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hes1	15205	chr16	30065340	30067796	2457	14.664313	12.502486	-0.226408	12.403392	10.854057	-0.188912	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Otp	18420	chr13	94875602	94885130	9529	14.58874	14.847063	0.024949	15.582964	16.132802	0.049342	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
5730488B01Rik	70602	chr4	44702800	44705110	2311	14.173592	12.226064	-0.209733	15.131376	12.948784	-0.221242	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Osr1	23967	chr12	9570116	9581500	11385	14.156017	14.783114	0.061597	9.904431	10.164404	0.036577	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Pitx2	18741	chr3	129199878	129219591	19714	13.943153	13.125686	-0.085768	10.382534	9.974583	-0.056605	TRUE	TRUE	10	3	TRUE	TRUE	TRUE	TRUE
Hlx	15284	chr1	184727140	184732619	5480	13.901152	13.445553	-0.047313	16.166541	15.187475	-0.08888	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Six1	20471	chr12	73041827	73053887	12061	13.468072	12.427298	-0.114088	10.980774	10.6423	-0.044268	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Dlx2	13392	chr2	71543408	71546754	3347	13.340824	10.793935	-0.300109	12.113865	9.601557	-0.328594	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Evx1	14028	chr6	52313498	52318378	4881	13.227064	8.588348	-0.610334	12.489944	8.533639	-0.537991	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Gm16136	105245924	chr15	37231793	37233309	1517	13.063227	11.76928	-0.147858	9.617915	8.739392	-0.134948	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Lhx9	16876	chr1	138825186	138848577	23392	12.965921	11.382338	-0.184579	18.557398	16.673678	-0.152512	TRUE	TRUE	10	3	TRUE	TRUE	TRUE	TRUE
Fezf2	54713	chr14	12342094	12348189	6096	12.948473	12.954146	0.000621	12.156571	11.264944	-0.107866	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Phox2b	18935	chr5	67094399	67099301	4903	12.921353	11.142424	-0.209839	14.419972	11.528616	-0.317416	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Gm26688	102633805	chr13	40727808	40735162	7355	12.871818	10.439492	-0.296521	10.711563	9.789633	-0.127108	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Neurog2	11924	chr3	127633135	127635631	2497	12.863343	10.771248	-0.251371	14.837191	13.089621	-0.17798	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Otx1	18423	chr11	21994764	22002897	8134	12.852209	11.698788	-0.133263	11.701366	10.187384	-0.195938	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Duoxa2	66811	chr2	122298900	122302885	3986	12.719474	12.761959	0.004729	16.411398	15.363446	-0.093894	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxa7	15404	chr6	52214491	52221854	7364	12.665111	10.400546	-0.278841	13.384171	10.985414	-0.279848	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
H2bc8	319181	chr13	23571396	23572013	618	12.660239	10.745145	-0.23223	8.206919	8.087074	-0.020664	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Dlx6	13396	chr6	6863334	6868568	5235	12.633141	10.487174	-0.263538	14.142741	12.619974	-0.161686	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Hottip	791364	chr6	52262775	52267603	4829	12.398563	9.977322	-0.307351	12.429444	9.937537	-0.316517	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Tgif1	21815	chr17	70844205	70853546	9342	12.353522	11.234606	-0.134458	15.836387	13.988526	-0.176388	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Nkx2-6	18092	chr14	69171802	69175518	3717	12.328678	12.389415	0.006966	10.652301	11.040455	0.050607	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Tbr1	21375	chr2	61804453	61814114	9662	12.321315	13.993516	0.180572	13.860531	15.03383	0.115468	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Evx1os	70593	chr6	52308389	52314832	6444	12.280299	8.756497	-0.477727	13.44884	8.716457	-0.613103	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Pcdh8	18530	chr14	79766775	79771312	4538	12.182167	12.154582	-0.003212	16.457196	16.370013	-0.007562	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Gpr6	140741	chr10	41069977	41072285	2309	12.067571	11.263759	-0.097603	9.717516	9.31284	-0.059978	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxd9	15438	chr2	74697727	74700208	2482	11.99116	9.446663	-0.337103	11.191801	8.591562	-0.373048	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Myc	17869	chr15	61985391	61990374	4984	11.826929	9.478493	-0.312826	13.353863	8.670543	-0.610474	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Nkx1-1	672284	chr5	33430734	33433976	3243	11.794573	9.834053	-0.257003	11.904698	10.049287	-0.239608	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Six6	20476	chr12	72939892	72944899	5008	11.74641	9.263728	-0.335457	11.265072	8.780384	-0.351693	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Isl2	104360	chr9	55538672	55546180	7509	11.66027	9.258734	-0.325794	7.160448	6.029507	-0.239958	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Msx1	17701	chr5	37820485	37824583	4099	11.644908	12.68782	0.121542	12.587203	13.1743	0.064663	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Prss16	54373	chr13	22002173	22009742	7570	11.563422	9.562495	-0.268478	7.191865	6.576119	-0.125121	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Dlx1as	111970	chr2	71527839	71537891	10053	11.502436	9.40995	-0.283666	13.122744	11.913506	-0.137056	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Dlx1	13390	chr2	71528113	71533981	5869	11.438507	8.879001	-0.357595	10.051761	7.230632	-0.463236	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Zeb2os	433424	chr2	45110707	45114087	3381	11.420069	11.458186	0.004716	10.697408	10.296427	-0.053984	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Cldn23	71908	chr8	35824712	35826559	1848	11.391338	10.433466	-0.124209	9.318566	8.517497	-0.126549	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Crh	12918	chr3	19693401	19695396	1996	11.258818	13.22282	0.227857	10.296241	11.948383	0.210514	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Tcf21	21412	chr10	22817281	22820174	2894	11.25029	6.776682	-0.71314	11.425812	6.954544	-0.698834	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxa11os	15397	chr6	52244393	52249799	5407	11.241166	9.113289	-0.296289	10.281094	8.541806	-0.261233	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Gm13289	545647	chr4	88773834	88774801	968	11.238742	11.582738	0.042672	6.022918	6.685101	0.145437	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gm14207	100043609	chr2	119321187	119326194	5008	11.197203	10.860517	-0.043183	11.014412	10.582397	-0.056572	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
C130021I20Rik	100504399	chr2	33641193	33646354	5162	11.177736	8.333686	-0.414119	10.164719	7.449052	-0.43733	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Mt2	17750	chr8	94172664	94173568	905	11.128199	11.338566	0.026498	5.945217	6.526832	0.130054	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gdf7	238057	chr12	8297918	8301954	4037	11.03695	12.211917	0.14323	11.82761	13.048439	0.139249	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxa13	15398	chr6	52257694	52260880	3187	11.023778	9.227686	-0.251088	11.215046	9.092419	-0.296227	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Ankrd63	383787	chr2	118699103	118703963	4861	11.002827	10.374635	-0.0831	10.834738	9.774737	-0.145421	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Lhx2	16870	chr2	38339281	38369733	30453	10.975614	9.658708	-0.180535	14.928706	12.898823	-0.207553	TRUE	TRUE	10	4	TRUE	TRUE	TRUE	TRUE
Hoxd12	15432	chr2	74675013	74677705	2693	10.968126	8.260397	-0.399755	12.413826	9.739917	-0.343079	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
2610016A17Rik	100503074	chr19	25671134	25672239	1106	10.857966	10.729462	-0.016833	11.409239	11.970132	0.067956	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Fst	14313	chr13	114452290	114458951	6662	10.856387	11.119759	0.033902	11.974218	11.003135	-0.119719	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
H3c4	319149	chr13	23575763	23577011	1249	10.820112	11.180328	0.04632	10.461638	9.932061	-0.073358	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Tbx2	21385	chr11	85832551	85841948	9398	10.812055	8.824951	-0.28651	9.547375	7.453025	-0.348166	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxa5	15402	chr6	52201754	52204587	2834	10.810373	7.325981	-0.547687	10.890138	7.664399	-0.494791	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Foxa1	15375	chr12	57540628	57546121	5494	10.809185	10.220255	-0.079167	10.516252	9.752524	-0.106457	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Nkx2-3	18089	chr19	43612325	43615892	3568	10.794857	9.329881	-0.205891	11.03168	10.081306	-0.12731	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Sox21	223227	chr14	118233232	118237030	3799	10.782786	8.107852	-0.401842	9.579331	7.226803	-0.396051	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
2810405F15Rik	69974	chr2	116075165	116076096	932	10.776465	8.376517	-0.355207	7.294569	5.921648	-0.291054	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Prdm13	230025	chr4	21677480	21685963	8484	10.757213	10.376648	-0.050903	13.941854	14.275042	0.033549	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Gm13283	545645	chr4	88760119	88761581	1463	10.711208	12.011053	0.162092	7.469826	8.897016	0.245604	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Mcidas	622408	chr13	112993845	113000394	6550	10.698428	11.301914	0.077614	10.279862	11.049741	0.102082	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Id3	15903	chr4	136143497	136145392	1896	10.643238	7.698621	-0.456121	8.576948	6.216766	-0.450653	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Slc18a3	20508	chr14	32462438	32464850	2413	10.636349	9.918779	-0.098653	9.097812	8.654657	-0.070298	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hand2	15111	chr8	57320983	57324633	3651	10.616117	7.85842	-0.423692	11.391266	8.878414	-0.35183	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Fev	260298	chr1	74881509	74885419	3911	10.599478	8.782109	-0.26529	9.055221	7.239696	-0.314256	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Sp9	381373	chr2	73271925	73284706	12782	10.546572	9.786375	-0.105637	14.903369	13.970941	-0.091808	FALSE	FALSE	10	3	TRUE	TRUE	TRUE	TRUE
Tlx2	21909	chr6	83068324	83070293	1970	10.54425	7.683233	-0.445721	11.585	8.917989	-0.369441	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Evx2	14029	chr2	74652991	74659557	6567	10.503836	8.270825	-0.336836	11.458055	9.66818	-0.240018	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxa11	15396	chr6	52242106	52245810	3705	10.480034	8.423029	-0.307999	10.666344	8.505678	-0.319173	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gm14662	102631518	chrX	60893653	60898067	4415	10.418212	9.004213	-0.205753	7.82552	6.023976	-0.365708	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Foxc1	17300	chr13	31806633	31812476	5844	10.394615	9.998764	-0.05483	10.81699	10.907946	0.01184	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Slc35d3	76157	chr10	19847916	19851459	3544	10.346305	10.183882	-0.022349	12.207764	11.331956	-0.105428	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
H2bc14	319186	chr13	21722044	21722567	524	10.334704	13.522602	0.380761	6.448491	8.979908	0.464245	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxc9	15427	chr15	102976439	102985099	8661	10.30417	8.91469	-0.204274	11.166203	9.983481	-0.158222	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Or12e9	258345	chr2	87371534	87372478	945	10.278066	14.946428	0.530748	5.800553	9.627993	0.709912	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Foxd1	15229	chr13	98354242	98359305	5064	10.214324	11.08963	0.116212	10.426465	10.179607	-0.033845	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxaas2	105242657	chr6	52165674	52169451	3778	10.210206	6.878747	-0.555116	9.959587	6.786472	-0.538904	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Pou4f1	18996	chr14	104461676	104467999	6324	10.209284	9.558128	-0.093008	10.070026	10.020282	-0.006991	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Foxa2	15376	chr2	148042877	148046969	4093	10.129214	12.671011	0.316838	9.616697	12.197363	0.336106	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxd11	15431	chr2	74679557	74694194	14638	10.116556	7.603254	-0.401904	9.774931	6.828686	-0.503828	FALSE	FALSE	10	3	TRUE	TRUE	TRUE	TRUE
Pitx1	18740	chr13	55825051	55836192	11142	10.092721	7.21809	-0.471408	9.342953	6.639613	-0.479315	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Carlr	66774	chr2	18799245	18801818	2574	10.056292	10.299618	0.033762	7.577949	8.487131	0.159098	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Bmp4	12159	chr14	46383520	46390669	7150	10.048625	10.884879	0.112948	9.036833	10.605414	0.225826	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Tchh	99681	chr3	93442330	93449077	6748	10.002091	8.231235	-0.274449	8.413773	7.792025	-0.107821	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxd13	15433	chr2	74668310	74671599	3290	9.974994	9.160131	-0.120178	9.432356	8.545591	-0.139026	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Islr2	320563	chr9	58196297	58204319	8023	9.937515	8.735137	-0.181756	11.622766	10.657924	-0.1226	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Sox6os	68469	chr7	116031979	116032550	572	9.920778	7.316016	-0.428283	8.78366	7.52904	-0.216488	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Olig2	50913	chr16	91225457	91228677	3221	9.91331	8.442331	-0.226273	11.538838	10.481049	-0.13599	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Ifnz	319146	chr4	88782131	88783592	1462	9.890605	11.26908	0.18439	6.054163	6.808664	0.163822	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxa10	15395	chr6	52231197	52240854	9658	9.807674	7.43322	-0.389838	8.852544	6.677955	-0.395326	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Gsx1	14842	chr5	147188696	147190947	2252	9.792317	6.724255	-0.527869	10.159259	6.840085	-0.55593	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
1810019D21Rik	69771	chr8	106135400	106138525	3126	9.790439	9.747573	-0.006191	7.459057	6.343068	-0.226551	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Mt1	17748	chr8	94179082	94180327	1246	9.736988	11.685997	0.257901	5.72175	7.423886	0.363406	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Tfap2a	21418	chr13	40715302	40738376	23075	9.711763	7.868561	-0.296159	12.713107	10.412879	-0.282531	TRUE	TRUE	10	3	TRUE	TRUE	TRUE	TRUE
Ddit4l	73284	chr3	137621612	137628333	6722	9.703779	8.519871	-0.183273	6.421866	5.696955	-0.166728	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
BC030500	234290	chr8	58911755	58914298	2544	9.69589	10.454589	0.106364	8.78212	9.720531	0.143054	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Pcare	225004	chr17	71743555	71752894	9340	9.692096	10.893507	0.165048	6.080285	6.456951	0.083769	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
5730596B20Rik	77580	chr6	52177498	52180851	3354	9.687899	5.984342	-0.67528	9.713603	6.24039	-0.620677	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gm30731	105500046	chr4	22490548	22493126	2579	9.615045	10.653704	0.144837	11.844283	11.687848	-0.018829	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Lbx1	16814	chr19	45232684	45235812	3129	9.607913	7.75741	-0.300956	9.997288	7.847584	-0.340795	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Enc1	13803	chr13	97241105	97253034	11930	9.603283	10.729084	0.156529	13.738835	14.078768	0.034712	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Sox2	20674	chr3	34650405	34652461	2057	9.584562	9.841571	0.03733	10.099736	10.092373	-0.00103	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxa9	15405	chr6	52223100	52231089	7990	9.58281	7.556582	-0.33405	9.454037	7.54911	-0.31636	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Gata3	14462	chr2	9857078	9890034	32957	9.57599	8.698292	-0.13542	15.389312	13.834479	-0.151375	TRUE	TRUE	10	4	TRUE	TRUE	TRUE	TRUE
Actl10	70362	chr2	154551776	154553276	1501	9.556842	10.576409	0.143108	6.996422	8.59368	0.288452	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Dbx1	13172	chr7	49631499	49636849	5351	9.551421	8.27792	-0.201453	9.110122	8.54187	-0.090655	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
H2ac7	319165	chr13	23574381	23574952	572	9.534537	9.022666	-0.077762	10.314481	9.483816	-0.118492	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Prob1	381148	chr18	35650351	35655238	4888	9.523672	6.958806	-0.440709	9.97588	7.853721	-0.336672	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Kcna3	16491	chr3	107036169	107038070	1902	9.514535	9.311673	-0.030382	7.42214	8.489336	0.18858	FALSE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Mab21l2	23937	chr3	86545581	86548629	3049	9.500934	9.860642	0.052419	8.166312	9.159535	0.161476	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Foxe1	110805	chr4	46343609	46346412	2804	9.407985	7.720306	-0.278032	10.786316	8.389807	-0.35427	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxd3os1	73429	chr2	74710043	74716130	6088	9.386113	8.208862	-0.18861	8.520006	7.932134	-0.100454	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxd10	15430	chr2	74691924	74695105	3182	9.29651	7.215614	-0.355971	10.295554	7.85657	-0.3807	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
En1	13798	chr1	120602418	120607992	5575	9.256763	10.71663	0.206697	8.112897	10.028234	0.298478	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Rprm	67874	chr2	54084093	54085552	1460	9.242151	10.881977	0.230571	8.955865	12.105188	0.425684	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Nkx2-2	18088	chr2	147177546	147186404	8859	9.234852	8.55845	-0.107086	8.687044	7.746433	-0.161008	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Irx3	16373	chr8	91798525	91802067	3543	9.125583	7.97211	-0.190044	10.471459	9.853942	-0.085829	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Foxl2	26927	chr9	98955288	98958543	3256	9.099981	7.259942	-0.317291	10.026953	8.59826	-0.216624	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Gata2	14461	chr6	88193891	88207032	13142	9.084297	7.911742	-0.194327	9.967394	8.947431	-0.152192	TRUE	TRUE	10	3	TRUE	TRUE	TRUE	TRUE
Otx2	18424	chr14	48657677	48673819	16143	9.081066	10.375714	0.188008	10.761244	12.552496	0.217995	TRUE	TRUE	10	3	TRUE	TRUE	TRUE	TRUE
Hoxc5	15424	chr15	102967443	103017429	49987	9.078692	8.249342	-0.134774	8.678754	8.270723	-0.067714	FALSE	FALSE	10	4	TRUE	TRUE	TRUE	TRUE
Adcyap1	11516	chr17	93199017	93206537	7521	9.043131	8.17949	-0.141194	8.021482	6.875769	-0.215938	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Foxl2os	768252	chr9	98949781	98955299	5519	9.01703	8.860189	-0.024706	10.045141	8.611223	-0.217063	FALSE	FALSE	10	2	TRUE	TRUE	TRUE	TRUE
Mir196b	723820	chr6	52228247	52230532	2286	8.968863	6.724108	-0.404085	10.096021	7.642565	-0.391804	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxaas3	72628	chr6	52175235	52215076	39842	8.964328	6.655154	-0.41777	7.905984	5.313863	-0.554236	FALSE	FALSE	10	4	TRUE	TRUE	TRUE	TRUE
Twist1	22160	chr12	33957671	33959829	2159	8.954211	8.09883	-0.1412	9.501581	8.351741	-0.181598	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Gm13276	545649	chr4	88785709	88786257	549	8.940788	10.271082	0.195615	4.999819	5.64578	0.168316	FALSE	FALSE	10	1	TRUE	TRUE	TRUE	TRUE
Fzd1	14362	chr5	4753839	4758035	4197	8.927946	11.255619	0.327045	8.050234	9.994851	0.30466	TRUE	TRUE	10	1	TRUE	TRUE	TRUE	TRUE
Hoxd3	15434	chr2	74711927	74748271	36345	8.923919	6.538114	-0.436179	8.819707	7.741726	-0.18319	TRUE	TRUE	10	4	TRUE	TRUE	TRUE	TRUE
Slitrk5	75409	chr14	111675097	111683141	8045	8.917046	9.891663	0.146217	6.583459	9.152771	0.462193	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Foxq1	15220	chr13	31556134	31560976	4843	8.909697	9.557055	0.09883	8.121864	10.369641	0.344203	TRUE	TRUE	10	2	TRUE	TRUE	TRUE	TRUE
Hoxa2	15399	chr6	52162417	52213339	50923	8.878413	6.393328	-0.460224	9.940577	6.694423	-0.555286	TRUE	TRUE	10	4	TRUE	TRUE	TRUE	TRUE
