gene_name	gene_id	chr	start	end	gene_length	is_neuronal	is_neuronal_derived	is_key_gene	k119ub_ctrl_signal	k119ub_signal_log2fc	k119ub_signal_decile	length_quintile	atac_fold	atac_fdr	atac_n_peaks	atac_predicted	atac_predicted_sig	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27ac_predicted	k27ac_predicted_sig	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k27me3_predicted	k27me3_predicted_sig	k119ub_fold	k119ub_fdr	k119ub_n_peaks	k119ub_predicted	k119ub_predicted_sig	n_marks_available	n_predicted	n_predicted_sig
1190005I06Rik	ENSMUSG00000043687.15	chr8	120608601	120647632	39031	FALSE	FALSE	FALSE	1.992004	-0.069863	9	4	0.194751539875239	0.357054007316717	8	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.421239092	0.007479353	3	FALSE	FALSE	2	0	0
1500009L16Rik	ENSMUSG00000087651.3	chr10	83722864	83762762	39898	FALSE	FALSE	FALSE	1.193743	0.388643	7	4	0.373461158573921	0.0558686029059114	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.675179909636752	0.000147990419718244	1	FALSE	FALSE	0.147670371	0.242696141	3	TRUE	FALSE	3	1	0
1500011B03Rik	ENSMUSG00000072694.8	chr5	114808195	114823468	15273	FALSE	FALSE	FALSE	0.475805	-0.075938	2	3	0.0742618120343539	0.680635379117983	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1600012H06Rik	ENSMUSG00000050088.9	chr17	14943183	14959570	16387	FALSE	FALSE	FALSE	0.419312	0.467631	1	3	0.00311527103974632	0.989760811594044	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1600014C10Rik	ENSMUSG00000054676.15	chr7	38183216	38197568	14352	FALSE	FALSE	FALSE	0.920237	0.302216	5	2	0.101331002469682	0.567845897573519	4	FALSE	FALSE	-0.160758072756794	0.220676238800073	2	TRUE	FALSE	0.0308387709462711	0.902365165459915	1	TRUE	FALSE	0.631493529	5.09e-05	2	TRUE	TRUE	4	3	1
1600014C23Rik	ENSMUSG00000094690.2	chr17	45732863	45733844	981	FALSE	FALSE	FALSE	7.645816	-0.15611	10	1	0.132054852818658	0.473038981984045	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.040131483	0.668897987	2	TRUE	FALSE	2	1	0
1700001F09Rik	ENSMUSG00000095384.1	chr14	43342382	43347811	5429	FALSE	FALSE	FALSE	1.048675	-0.383575	6	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700001J03Rik	ENSMUSG00000095040.2	chr5	146182440	146185304	2864	FALSE	FALSE	FALSE	1.414977	-0.137825	7	1	-0.0846766629490606	0.705695575516627	2	TRUE	FALSE	-0.292190684440934	0.0905864322359972	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	2	0
1700001K19Rik	ENSMUSG00000056508.6	chr12	110667687	110682619	14932	FALSE	FALSE	FALSE	0.363153	-0.328285	1	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700001O22Rik	ENSMUSG00000044320.14	chr2	30794768	30803661	8893	FALSE	FALSE	FALSE	2.318824	0.088521	9	2	0.718605534523642	9.03710461711926e-05	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.249529006	0.073243888	3	TRUE	FALSE	2	1	0
1700003E16Rik	ENSMUSG00000030030.5	chr6	83156403	83162945	6542	FALSE	FALSE	FALSE	1.732888	0.7447	8	1	0.177235969047698	0.367834532816002	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700003F12Rik	ENSMUSG00000038523.10	chr2	154547084	154550003	2919	FALSE	FALSE	FALSE	5.256734	0.409911	10	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1.3873443319655	1.83200742247326e-07	1	TRUE	TRUE	0.133189468	0.307004406	1	TRUE	FALSE	2	2	1
1700003H04Rik	ENSMUSG00000039174.14	chr3	124556351	124581101	24750	FALSE	FALSE	FALSE	0.645764	-0.396237	3	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700006A11Rik	ENSMUSG00000027973.11	chr3	124400988	124426040	25052	FALSE	FALSE	FALSE	0.7075	-0.470924	4	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700008O03Rik	ENSMUSG00000008028.15	chr7	44360042	44385820	25778	FALSE	FALSE	FALSE	0.718651	0.111836	4	3	0.078284894511789	0.696141075910546	4	FALSE	FALSE	0.0737889721891657	0.619106568281097	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
1700008P02Rik	ENSMUSG00000069118.3	chr3	6615417	6620443	5026	FALSE	FALSE	FALSE	0.476932	-0.205133	2	1	0.182911272681414	0.4834656774996	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700009N14Rik	ENSMUSG00000028287.4	chr4	39450294	39451776	1482	FALSE	FALSE	FALSE	0.790735	-0.070692	4	1	0.316788415099352	0.0803689878888085	2	FALSE	FALSE	0.157888763652656	0.546298353522223	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1.273147379	2.28e-16	6	TRUE	TRUE	3	1	1
1700010B08Rik	ENSMUSG00000057047.5	chr2	173719414	173722089	2675	FALSE	FALSE	FALSE	0.483248	-0.131199	2	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700010I14Rik	ENSMUSG00000023873.13	chr17	8988332	9011949	23617	FALSE	FALSE	FALSE	1.236161	-0.075282	7	3	-0.206264709550539	0.301361129816125	6	TRUE	FALSE	0.176575985059526	0.295006741022002	3	FALSE	FALSE	2.53553248930825	3.05116993957206e-37	1	TRUE	TRUE	-0.134847986	0.309401418	6	FALSE	FALSE	4	2	1
1700011L22Rik	ENSMUSG00000031682.5	chr8	79210430	79248570	38140	FALSE	FALSE	FALSE	1.087543	1.02262	6	4	-0.304284668691058	0.0801845853132049	1	TRUE	FALSE	-1.08252532539726	4.46479464107767e-08	1	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	1.071475122	7.14e-30	1	TRUE	TRUE	3	3	2
1700012A03Rik	ENSMUSG00000029766.7	chr6	32050245	32058921	8676	FALSE	FALSE	FALSE	1.791846	0.111246	8	2	0.322481692746566	0.12455422552179	22	FALSE	FALSE	0.385096342545582	0.0575017280675769	2	FALSE	FALSE	-0.723699024985998	0.000105177722808004	37	FALSE	FALSE	0.425599228	0.001567816	21	TRUE	TRUE	4	1	1
1700012B07Rik	ENSMUSG00000020617.13	chr11	109787650	109828046	40396	FALSE	FALSE	FALSE	0.433817	-0.349011	1	4	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700012B09Rik	ENSMUSG00000031927.9	chr9	14756586	14771030	14444	FALSE	FALSE	FALSE	1.010574	-0.281737	6	2	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.0173434882984248	0.939834021016534	2	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	1	1	0
1700013G24Rik	ENSMUSG00000041399.3	chr4	137453283	137455461	2178	FALSE	FALSE	FALSE	1.686843	-0.328837	8	1	-0.320202112086953	0.161670006263941	2	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.483722754	0.006716751	1	FALSE	FALSE	2	1	0
1700013H16Rik	ENSMUSG00000054727.2	chrX	53742900	53757831	14931	FALSE	FALSE	FALSE	0.348051	-0.086143	1	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700016H13Rik	ENSMUSG00000029320.11	chr5	103648038	103656010	7972	FALSE	FALSE	FALSE	1.091457	0.021196	6	2	0.218678877646451	0.274731044929598	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.0513478327668231	0.870534261852826	1	FALSE	FALSE	0.065846476	0.741810181	1	TRUE	FALSE	3	1	0
1700017B05Rik	ENSMUSG00000032300.7	chr9	57253116	57262612	9496	FALSE	FALSE	FALSE	2.700748	0.078407	10	2	0.144696372536393	0.347591253859213	4	FALSE	FALSE	-0.213043436746457	0.233230181102475	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	-0.013918484	0.930733612	4	FALSE	FALSE	3	1	0
1700017N19Rik	ENSMUSG00000056912.12	chr10	100590483	100618401	27918	FALSE	FALSE	FALSE	1.162687	1.086064	6	3	-0.0672252665022688	0.760115415424398	4	TRUE	FALSE	-0.815080843292502	0.00694256987403843	1	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	1.725490883	1.69e-22	2	TRUE	TRUE	3	3	2
1700018B08Rik	ENSMUSG00000031809.10	chr8	121530779	121544320	13541	FALSE	FALSE	FALSE	1.225878	-0.435645	7	2	0.0745989816919141	0.68508840112311	13	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.0267543256789061	0.924245546354559	19	TRUE	FALSE	-0.652071007	2.78e-05	21	FALSE	FALSE	3	1	0
1700018F24Rik	ENSMUSG00000029620.4	chr5	145042989	145045681	2692	FALSE	FALSE	FALSE	0.80217	-0.371426	4	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700019A02Rik	ENSMUSG00000060715.9	chr1	53158576	53187636	29060	FALSE	FALSE	FALSE	0.454454	0.078483	1	3	0.00124275373098517	0.99529628386268	1	FALSE	FALSE	-1.09241795679999	4.06347652965659e-09	1	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	1.632337825	6.36e-24	1	TRUE	TRUE	3	2	2
1700019D03Rik	ENSMUSG00000043629.12	chr1	52922323	53020179	97856	FALSE	FALSE	FALSE	0.869175	0.884888	5	5	0.535030494568212	0.00289475197436597	4	FALSE	FALSE	0.0894123701084707	0.547481180687443	2	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.342595641	0.0016229	2	TRUE	TRUE	3	1	1
1700020A23Rik	ENSMUSG00000027409.5	chr2	130405258	130406074	816	FALSE	FALSE	FALSE	1.620938	0.098694	8	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700020L24Rik	ENSMUSG00000035085.5	chr11	83437676	83441233	3557	FALSE	FALSE	FALSE	2.172544	0.146043	9	1	0.0866954026931887	0.603401863521374	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1.27799224061825	7.09933062725566e-10	1	TRUE	TRUE	0.057065918	0.61085038	2	TRUE	FALSE	3	2	1
1700020N01Rik	ENSMUSG00000050844.5	chr10	21593144	21622376	29232	FALSE	FALSE	FALSE	2.068036	0.179548	9	3	0.0769496548753046	0.736196074651331	5	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.147780471	0.2359104	2	TRUE	FALSE	2	1	0
1700024G13Rik	ENSMUSG00000072473.4	chr14	32376067	32388391	12324	FALSE	FALSE	FALSE	2.641176	0.191465	10	2	0.218928113136823	0.260250345538835	2	FALSE	FALSE	0.748003034745817	0.00198728491293493	1	FALSE	FALSE	0.0393160456119146	0.867240645183821	1	TRUE	FALSE	-0.017711419	0.884655133	2	FALSE	FALSE	4	1	0
1700025B11Rik	ENSMUSG00000101113.1	chr15	77558238	77561892	3654	FALSE	FALSE	FALSE	0.459613	-0.159746	2	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700025C18Rik	ENSMUSG00000078935.1	chr2	165078692	165090750	12058	FALSE	FALSE	FALSE	1.011435	0.177728	6	2	0.0587741735568158	0.800444760222677	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.460796651921171	0.0245516817264288	1	FALSE	FALSE	-0.312911476	0.004972654	3	FALSE	FALSE	3	0	0
1700025G04Rik	ENSMUSG00000032666.16	chr1	151852402	152090125	237723	FALSE	FALSE	FALSE	1.539181	0.256093	8	5	0.221561838563829	0.225398710139147	33	FALSE	FALSE	-0.121642607377991	0.426134486398803	23	TRUE	FALSE	0.267292060247399	0.162339533175128	1	TRUE	FALSE	0.269424833	0.019854904	16	TRUE	TRUE	4	3	1
1700028J19Rik	ENSMUSG00000038782.7	chr7	44229810	44246695	16885	FALSE	FALSE	FALSE	0.419477	-0.192276	1	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700028K03Rik	ENSMUSG00000089798.10	chr5	107534708	107551542	16834	TRUE	TRUE	FALSE	0.384901	-0.069731	1	3	-0.0713037253344157	0.712017738849176	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	1	0
1700029F12Rik	ENSMUSG00000052075.7	chr13	97021863	97034362	12499	FALSE	FALSE	FALSE	0.852418	0.487172	5	2	1.7974050491754	8.91502135908029e-18	2	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.0414009513626068	0.865251894192798	4	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
1700029H14Rik	ENSMUSG00000031452.15	chr8	13550732	13562461	11729	FALSE	FALSE	FALSE	2.478038	0.021763	9	2	0.0808417481658666	0.653434105569158	6	FALSE	FALSE	-1.01814136423886	1.58901163775631e-09	1	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	-0.537567436	0.000148078	3	FALSE	FALSE	3	1	1
1700030J22Rik	ENSMUSG00000031847.8	chr8	116969593	116978959	9366	FALSE	FALSE	FALSE	1.115821	0.353774	6	2	-0.0542313810404071	0.765328777490128	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.388836956	0.001112966	1	TRUE	TRUE	2	2	1
1700030K09Rik	ENSMUSG00000052794.13	chr8	72443879	72461001	17122	FALSE	FALSE	FALSE	0.452635	0.273369	1	3	0.0581796068378277	0.761417680023601	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700031F05Rik	ENSMUSG00000032894.13	chrX	102859185	102867971	8786	FALSE	FALSE	FALSE	0.969499	-0.718436	5	2	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700031L13Rik	ENSMUSG00000099863.1	chr5	82122407	82124713	2306	FALSE	FALSE	FALSE	1.150512	-0.351332	6	1	0.87752136692817	0.000637979972982158	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.436262601	0.001545726	1	TRUE	TRUE	2	1	1
1700034E13Rik	ENSMUSG00000024532.13	chr18	52646208	52663733	17525	FALSE	FALSE	FALSE	1.031796	0.291697	6	3	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.891049789	9.19e-11	1	TRUE	TRUE	1	1	1
1700034J05Rik	ENSMUSG00000040163.14	chr6	146950328	146954422	4094	FALSE	FALSE	FALSE	1.495106	-0.301062	8	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700037C18Rik	ENSMUSG00000005983.15	chr16	3895178	3908689	13511	FALSE	FALSE	FALSE	0.655078	-0.120555	3	2	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700056E22Rik	ENSMUSG00000044854.7	chr1	184033029	184034301	1272	FALSE	FALSE	FALSE	4.992779	0.294817	10	1	NA	NA	NA	FALSE	FALSE	-0.0399114913154849	0.799781756923387	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	0.56754709	7.96e-11	1	TRUE	TRUE	2	2	1
1700066M21Rik	ENSMUSG00000038323.3	chr1	57377619	57385423	7804	FALSE	FALSE	FALSE	1.16472	0.503762	6	2	0.216154794092335	0.211626616807512	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700067K01Rik	ENSMUSG00000046408.15	chr8	84001501	84004770	3269	FALSE	FALSE	FALSE	2.269087	0.374169	9	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700067P10Rik	ENSMUSG00000021545.5	chr17	48089318	48090918	1600	FALSE	FALSE	FALSE	1.934219	-0.359574	9	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700069L16Rik	ENSMUSG00000042184.11	chr5	113692421	113724772	32351	FALSE	FALSE	FALSE	0.744946	-0.117679	4	4	0.121110206648493	0.462555248404522	7	FALSE	FALSE	-0.0130530383621942	0.941805816040502	5	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	1	0
1700088E04Rik	ENSMUSG00000033029.12	chr15	79129348	79141253	11905	FALSE	FALSE	FALSE	0.825933	0.200861	4	2	0.0778904181486828	0.702676421764095	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700093K21Rik	ENSMUSG00000020286.13	chr11	23516202	23521155	4953	FALSE	FALSE	FALSE	0.739494	-0.180093	4	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700102P08Rik	ENSMUSG00000032611.9	chr9	108392804	108410934	18130	FALSE	FALSE	FALSE	0.627027	-0.20375	3	3	-0.0614231364853813	0.804926121646055	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	1	0
1700109H08Rik	ENSMUSG00000008307.11	chr5	3571565	3584356	12791	FALSE	FALSE	FALSE	0.364624	-0.311322	1	2	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1700113H08Rik	ENSMUSG00000047129.11	chr10	87058044	87230589	172545	FALSE	FALSE	FALSE	0.771292	-0.173665	4	5	0.649906295166595	0.000603557035679366	2	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.0856746458659258	0.684824548173689	4	FALSE	FALSE	0.171227345	0.097124179	3	TRUE	FALSE	3	1	0
1700122O11Rik	ENSMUSG00000094928.1	chr17	48036744	48038293	1549	FALSE	FALSE	FALSE	1.922481	0.071377	9	1	0.73861709441413	0.0059556556050182	3	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.00617664685621307	0.980933734275275	3	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	2	1	0
1700123K08Rik	ENSMUSG00000029526.5	chr5	138561839	138564712	2873	FALSE	FALSE	FALSE	0.839805	-0.554467	5	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	-0.788947769000349	0.0199978879846486	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700123O20Rik	ENSMUSG00000040822.7	chr14	54686215	54690741	4526	FALSE	FALSE	FALSE	0.971731	0.35756	5	1	NA	NA	NA	FALSE	FALSE	0.0519290725322973	0.750737626149591	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	1	0	0
1700129C05Rik	ENSMUSG00000021977.11	chr14	59133039	59142893	9854	FALSE	FALSE	FALSE	0.736529	-0.416983	4	2	0.02394749601471	0.924587943274039	9	FALSE	FALSE	-0.811179905689119	2.48581127326691e-06	2	TRUE	TRUE	2.07139480158365	1.76791937911139e-15	2	TRUE	TRUE	0.609994351	1.92e-06	13	TRUE	TRUE	4	3	3
1810009A15Rik	ENSMUSG00000071653.9	chr19	8888852	8890881	2029	FALSE	FALSE	FALSE	0.519034	0.803428	2	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1810009J06Rik	ENSMUSG00000094808.2	chr6	40964753	40968435	3682	FALSE	FALSE	FALSE	0.637865	-0.538405	3	1	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0	0	0
1810010H24Rik	ENSMUSG00000078607.6	chr11	107025680	107030443	4763	FALSE	FALSE	FALSE	1.258897	0.486266	7	1	-0.0320303675079771	0.87486783350358	2	TRUE	FALSE	-0.598138282871293	0.000481134462858779	1	TRUE	TRUE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	2	1
1810024B03Rik	ENSMUSG00000044145.2	chr2	127186354	127208280	21926	FALSE	FALSE	FALSE	0.308187	0.160943	1	3	0.0893783890443537	0.664874159139142	1	FALSE	FALSE	0.0913000208161588	0.555053259265535	1	FALSE	FALSE	0.0307805195404839	0.896945990890098	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	3	1	0
1810030O07Rik	ENSMUSG00000044148.6	chrX	12654878	12673668	18790	FALSE	FALSE	FALSE	0.39609	-0.145752	1	3	0.0535475161831942	0.768890096364471	1	FALSE	FALSE	0.0994915737778363	0.516178280638012	1	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	0	0
1810037I17Rik	ENSMUSG00000054091.9	chr3	122924202	122926184	1982	FALSE	FALSE	FALSE	2.104705	0.985302	9	1	-0.00679683714159186	0.972619835719256	2	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	0.923494826	3.51e-06	1	TRUE	TRUE	2	2	1
1810055G02Rik	ENSMUSG00000035372.2	chr19	3708292	3717881	9589	FALSE	FALSE	FALSE	0.792575	0.095111	4	2	0.0640672892333892	0.729473253983946	3	FALSE	FALSE	-0.0066705870464987	0.969507193434577	1	TRUE	FALSE	NA	NA	NA	FALSE	FALSE	NA	NA	NA	FALSE	FALSE	2	1	0
