gene_name	chr	mut_specific_aging_up	mch_sig
2010106E10Rik	chrX	FALSE	FALSE
2010109A12Rik	chr5	TRUE	TRUE
2010315B03Rik	chr9	FALSE	FALSE
2200002D01Rik	chr7	FALSE	FALSE
2200002J24Rik	chr7	FALSE	FALSE
2210016L21Rik	chr5	FALSE	FALSE
2210408I21Rik	chr13	FALSE	TRUE
2300002M23Rik	chr17	FALSE	FALSE
2300003K06Rik	chr11	FALSE	FALSE
2300009A05Rik	chr9	TRUE	FALSE
2310002L09Rik	chr4	FALSE	FALSE
2310009B15Rik	chr1	FALSE	FALSE
2310011J03Rik	chr10	FALSE	FALSE
2310022A10Rik	chr7	FALSE	FALSE
2310022B05Rik	chr8	FALSE	FALSE
2310030G06Rik	chr9	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2310034C09Rik	chr16	FALSE	FALSE
2310039H08Rik	chr17	FALSE	FALSE
2310057J18Rik	chr10	FALSE	FALSE
2310057M21Rik	chr7	FALSE	FALSE
2310057N15Rik	chr16	FALSE	TRUE
2310061I04Rik	chr17	FALSE	FALSE
2310061N02Rik	chr16	FALSE	FALSE
2310079G19Rik	chr16	FALSE	FALSE
2410004B18Rik	chr3	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2410137M14Rik	chr17	FALSE	FALSE
2510002D24Rik	chr16	FALSE	FALSE
2510009E07Rik	chr16	FALSE	FALSE
2510039O18Rik	chr4	FALSE	FALSE
2610008E11Rik	chr10	FALSE	FALSE
2610028H24Rik	chr10	FALSE	FALSE
2610042L04Rik	chr14	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2610528J11Rik	chr4	FALSE	FALSE
2700049A03Rik	chr12	FALSE	TRUE
2700062C07Rik	chr18	FALSE	FALSE
2700097O09Rik	chr12	FALSE	FALSE
2810004N23Rik	chr8	FALSE	FALSE
2810021J22Rik	chr11	FALSE	FALSE
2810408A11Rik	chr11	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
2900092C05Rik	chr7	FALSE	TRUE
3110009E18Rik	chr1	FALSE	TRUE
3110040N11Rik	chr7	FALSE	FALSE
3110082I17Rik	chr5	FALSE	TRUE
3110082J24Rik	chr5	FALSE	FALSE
3300002I08Rik	chr2	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
3830403N18Rik	chrX	FALSE	FALSE
4833420G17Rik	chr13	FALSE	FALSE
4833439L19Rik	chr13	FALSE	FALSE
4921504E06Rik	chr2	FALSE	FALSE
4921517D22Rik	chr13	FALSE	FALSE
4921524J17Rik	chr8	FALSE	FALSE
4921524L21Rik	chr18	FALSE	TRUE
4921536K21Rik	chr11	FALSE	FALSE
4921539E11Rik	chr4	FALSE	FALSE
4930402F06Rik	chr2	FALSE	FALSE
4930402K13Rik	chrX	FALSE	TRUE
4930432M17Rik	chr3	FALSE	FALSE
4930433I11Rik	chr7	FALSE	FALSE
4930444P10Rik	chr1	FALSE	TRUE
4930447A16Rik	chr15	FALSE	TRUE
4930447C04Rik	chr12	FALSE	TRUE
4930449I24Rik	chr5	FALSE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930455H04Rik	chr3	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930470P17Rik	chr2	TRUE	TRUE
4930474N05Rik	chr14	FALSE	FALSE
4930480E11Rik	chrX	FALSE	FALSE
4930486L24Rik	chr13	FALSE	FALSE
4930503E14Rik	chr14	FALSE	FALSE
4930503L19Rik	chr18	FALSE	FALSE
4930505A04Rik	chr11	TRUE	TRUE
4930512M02Rik	chr11	FALSE	FALSE
4930513O06Rik	chrX	FALSE	FALSE
4930519G04Rik	chr5	FALSE	FALSE
4930522H14Rik	chr4	FALSE	FALSE
4930523C07Rik	chr1	TRUE	TRUE
4930524B15Rik	chr11	FALSE	FALSE
4930544D05Rik	chr11	FALSE	FALSE
4930544G11Rik	chr6	FALSE	FALSE
4930550C14Rik	chr9	FALSE	FALSE
4930558K02Rik	chr1	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
4930563M21Rik	chr9	FALSE	TRUE
4930564D02Rik	chr3	TRUE	TRUE
4930568D16Rik	chr2	FALSE	TRUE
4930578G10Rik	chr4	FALSE	FALSE
4930578I06Rik	chr14	FALSE	FALSE
4930579F01Rik	chr3	FALSE	FALSE
4930579G24Rik	chr3	FALSE	FALSE
4930583I09Rik	chr17	FALSE	FALSE
4930590J08Rik	chr6	FALSE	FALSE
4930595D18Rik	chr12	FALSE	FALSE
4930595M18Rik	chrX	FALSE	FALSE
4930596D02Rik	chr14	FALSE	FALSE
4931406B18Rik	chr7	FALSE	FALSE
4931406C07Rik	chr9	FALSE	FALSE
4931408C20Rik	chr1	FALSE	FALSE
4931414P19Rik	chr14	FALSE	FALSE
4931422A03Rik	chr2	FALSE	FALSE
4931428L18Rik	chr1	FALSE	TRUE
4931429L15Rik	chr9	FALSE	TRUE
4932414N04Rik	chr2	FALSE	TRUE
4932438H23Rik	chr16	FALSE	TRUE
4933402D24Rik	chr1	FALSE	FALSE
4933402J07Rik	chr8	FALSE	FALSE
4933402N03Rik	chr7	FALSE	FALSE
4933402N22Rik	chr5	FALSE	FALSE
4933405L10Rik	chr8	FALSE	FALSE
4933405O20Rik	chr7	FALSE	FALSE
4933407L21Rik	chr1	FALSE	FALSE
4933409G03Rik	chr2	FALSE	FALSE
4933411K16Rik	chr19	FALSE	FALSE
4933412E24Rik	chr15	FALSE	FALSE
4933421I07Rik	chr7	FALSE	FALSE
4933424G06Rik	chr1	FALSE	TRUE
4933427D14Rik	chr11	FALSE	TRUE
4933428G20Rik	chr11	FALSE	TRUE
4933428M09Rik	chrX	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
4933436I01Rik	chrX	FALSE	FALSE
5031410I06Rik	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
5430401F13Rik	chr6	FALSE	FALSE
5430402E10Rik	chrX	FALSE	FALSE
5530400C23Rik	chr6	TRUE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730409E04Rik	chr4	FALSE	FALSE
5730455P16Rik	chr11	FALSE	FALSE
5730480H06Rik	chr5	FALSE	TRUE
5730507C01Rik	chr12	FALSE	FALSE
5730522E02Rik	chr11	FALSE	TRUE
6030458C11Rik	chr15	FALSE	FALSE
6030468B19Rik	chr11	FALSE	FALSE
6030498E09Rik	chrX	FALSE	FALSE
6330403K07Rik	chr11	FALSE	FALSE
6430548M08Rik	chr8	FALSE	TRUE
6430550D23Rik	chr2	FALSE	TRUE
6430571L13Rik	chr9	FALSE	FALSE
6820408C15Rik	chr2	FALSE	FALSE
7530416G11Rik	chr15	FALSE	TRUE
8030474K03Rik	chrX	TRUE	FALSE
9030624G23Rik	chr12	FALSE	FALSE
9130008F23Rik	chr17	FALSE	FALSE
9130019O22Rik	chr7	FALSE	FALSE
9130023H24Rik	chr7	FALSE	FALSE
9130230L23Rik	chr5	TRUE	FALSE
9130401M01Rik	chr15	FALSE	TRUE
9230112D13Rik	chr14	FALSE	FALSE
9330159F19Rik	chr10	FALSE	FALSE
9330182O14Rik	chr15	FALSE	FALSE
9430015G10Rik	chr4	FALSE	FALSE
9430038I01Rik	chr7	FALSE	TRUE
9430069I07Rik	chr15	FALSE	FALSE
9530002B09Rik	chr4	FALSE	FALSE
9530068E07Rik	chr11	FALSE	FALSE
9830107B12Rik	chr17	FALSE	FALSE
9930012K11Rik	chr14	FALSE	FALSE
9930021J03Rik	chr19	FALSE	TRUE
A130010J15Rik	chr1	FALSE	FALSE
A1bg	chr15	FALSE	FALSE
A1cf	chr19	FALSE	FALSE
A2m	chr6	FALSE	FALSE
A2ml1	chr6	FALSE	FALSE
A330070K13Rik	chr5	TRUE	TRUE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	TRUE
A430033K04Rik	chr5	FALSE	FALSE
A4galt	chr15	FALSE	TRUE
A4gnt	chr9	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A530064D06Rik	chr17	FALSE	FALSE
A630001G21Rik	chr1	FALSE	TRUE
A630010A05Rik	chr16	FALSE	TRUE
A630023A22Rik	chr14	FALSE	TRUE
A630076J17Rik	chr3	FALSE	FALSE
A630095N17Rik	chr1	FALSE	FALSE
A830018L16Rik	chr1	TRUE	TRUE
A930003A15Rik	chr16	FALSE	FALSE
A930004D18Rik	chr2	FALSE	TRUE
A930007A09Rik	chr16	FALSE	FALSE
A930009A15Rik	chr10	FALSE	TRUE
A930018P22Rik	chr2	TRUE	FALSE
AA467197	chr2	FALSE	FALSE
AA986860	chr1	FALSE	FALSE
AAdacl4fm3	chr4	FALSE	FALSE
AB124611	chr9	FALSE	FALSE
AF067061	chr13	FALSE	FALSE
AF067063	chr13	FALSE	FALSE
AI182371	chr2	FALSE	TRUE
AI429214	chr8	FALSE	FALSE
AI467606	chr7	FALSE	FALSE
AI593442	chr9	FALSE	FALSE
AI597479	chr1	FALSE	FALSE
AI837181	chr19	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
AI987944	chr7	FALSE	FALSE
AU015836	chrX	FALSE	FALSE
AU018091	chr7	FALSE	FALSE
AU021092	chr16	FALSE	FALSE
AU022252	chr4	FALSE	FALSE
AU040320	chr4	FALSE	FALSE
AU041133	chr10	FALSE	FALSE
AW146154	chr7	FALSE	FALSE
AW209491	chr13	FALSE	FALSE
AW551984	chr9	FALSE	FALSE
AW554918	chr18	FALSE	TRUE
AY358078	chr14	FALSE	FALSE
AY761185	chr8	FALSE	FALSE
Aaas	chr15	FALSE	FALSE
Aacs	chr5	FALSE	FALSE
Aadac	chr3	TRUE	FALSE
Aadacl2	chr3	FALSE	FALSE
Aadacl2fm1	chr3	FALSE	FALSE
Aadacl2fm2	chr3	FALSE	FALSE
Aadacl2fm3	chr3	FALSE	FALSE
Aadacl3	chr4	FALSE	FALSE
Aadacl4	chr4	FALSE	FALSE
Aadacl4fm1	chr4	FALSE	FALSE
Aadacl4fm2	chr4	FALSE	FALSE
Aadacl4fm4	chr4	FALSE	FALSE
Aadacl4fm5	chr4	FALSE	FALSE
Aadat	chr8	FALSE	FALSE
Aagab	chr9	FALSE	FALSE
Aak1	chr6	FALSE	TRUE
Aamdc	chr7	FALSE	TRUE
Aamp	chr1	FALSE	FALSE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	TRUE
Aard	chr15	TRUE	FALSE
Aars2	chr17	FALSE	FALSE
Aarsd1	chr11	FALSE	FALSE
Aasdh	chr5	FALSE	FALSE
Aasdhppt	chr9	FALSE	FALSE
Aass	chr6	FALSE	TRUE
Aatf	chr11	FALSE	TRUE
Aatk	chr11	FALSE	FALSE
Abat	chr16	TRUE	TRUE
Abca1	chr4	TRUE	FALSE
Abca12	chr1	FALSE	FALSE
Abca13	chr11	FALSE	TRUE
Abca14	chr7	FALSE	FALSE
Abca15	chr7	FALSE	FALSE
Abca16	chr7	FALSE	TRUE
Abca17	chr17	FALSE	FALSE
Abca2	chr2	FALSE	FALSE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	FALSE	FALSE
Abca5	chr11	FALSE	FALSE
Abca6	chr11	FALSE	FALSE
Abca7	chr10	FALSE	FALSE
Abca8a	chr11	FALSE	TRUE
Abca8b	chr11	TRUE	FALSE
Abca9	chr11	FALSE	TRUE
Abcb10	chr8	FALSE	FALSE
Abcb11	chr2	FALSE	TRUE
Abcb1a	chr5	FALSE	FALSE
Abcb1b	chr5	FALSE	TRUE
Abcb4	chr5	FALSE	TRUE
Abcb5	chr12	FALSE	TRUE
Abcb6	chr1	FALSE	FALSE
Abcb7	chrX	FALSE	TRUE
Abcb8	chr5	FALSE	FALSE
Abcb9	chr5	TRUE	TRUE
Abcc1	chr16	FALSE	FALSE
Abcc10	chr17	FALSE	FALSE
Abcc12	chr8	FALSE	TRUE
Abcc2	chr19	FALSE	FALSE
Abcc3	chr11	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Abcc5	chr16	FALSE	TRUE
Abcc6	chr7	FALSE	TRUE
Abcc8	chr7	FALSE	TRUE
Abcc9	chr6	FALSE	FALSE
Abcd1	chrX	FALSE	FALSE
Abcd2	chr15	FALSE	TRUE
Abcd3	chr3	FALSE	TRUE
Abcd4	chr12	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf1	chr17	FALSE	TRUE
Abcf2	chr5	FALSE	FALSE
Abcf3	chr16	FALSE	FALSE
Abcg1	chr17	FALSE	TRUE
Abcg2	chr6	FALSE	TRUE
Abcg3	chr5	FALSE	TRUE
Abcg4	chr9	FALSE	FALSE
Abcg5	chr17	FALSE	FALSE
Abcg8	chr17	FALSE	TRUE
Abhd10	chr16	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	TRUE
Abhd12b	chr12	FALSE	FALSE
Abhd13	chr8	FALSE	FALSE
Abhd14a	chr9	FALSE	FALSE
Abhd14b	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	TRUE
Abhd16a	chr17	FALSE	FALSE
Abhd16b	chr2	FALSE	FALSE
Abhd17a	chr10	FALSE	FALSE
Abhd17b	chr19	FALSE	FALSE
Abhd17c	chr7	FALSE	TRUE
Abhd18	chr3	FALSE	FALSE
Abhd2	chr7	FALSE	TRUE
Abhd3	chr18	FALSE	TRUE
Abhd4	chr14	FALSE	FALSE
Abhd5	chr9	FALSE	FALSE
Abhd6	chr14	FALSE	TRUE
Abhd8	chr8	FALSE	FALSE
Abi1	chr2	FALSE	TRUE
Abi2	chr1	FALSE	FALSE
Abi3	chr11	FALSE	TRUE
Abi3bp	chr16	FALSE	TRUE
Abitram	chr4	FALSE	FALSE
Abl1	chr2	FALSE	TRUE
Abl2	chr1	FALSE	TRUE
Ablim1	chr19	FALSE	TRUE
Ablim2	chr5	FALSE	TRUE
Ablim3	chr18	FALSE	TRUE
Abo	chr2	FALSE	FALSE
Abr	chr11	FALSE	TRUE
Abra	chr15	FALSE	FALSE
Abracl	chr10	FALSE	FALSE
Abraxas1	chr5	FALSE	FALSE
Abraxas2	chr7	FALSE	FALSE
Abt1	chr13	FALSE	FALSE
Abtb1	chr6	TRUE	FALSE
Abtb2	chr2	FALSE	TRUE
Acaa1a	chr9	FALSE	FALSE
Acaa1b	chr9	FALSE	FALSE
Acaa2	chr18	FALSE	FALSE
Acaca	chr11	FALSE	TRUE
Acacb	chr5	FALSE	TRUE
Acad10	chr5	FALSE	TRUE
Acad11	chr9	FALSE	TRUE
Acad12	chr5	FALSE	FALSE
Acad8	chr9	FALSE	FALSE
Acad9	chr3	FALSE	TRUE
Acadl	chr1	FALSE	FALSE
Acadm	chr3	FALSE	FALSE
Acads	chr5	FALSE	FALSE
Acadsb	chr7	FALSE	FALSE
Acadvl	chr11	FALSE	FALSE
Acan	chr7	FALSE	TRUE
Acap1	chr11	FALSE	FALSE
Acap2	chr16	FALSE	TRUE
Acap3	chr4	FALSE	FALSE
Acat1	chr9	FALSE	TRUE
Acat2	chr17	FALSE	FALSE
Acat3	chr17	FALSE	FALSE
Acbd3	chr1	FALSE	FALSE
Acbd4	chr11	FALSE	FALSE
Acbd5	chr2	FALSE	FALSE
Acbd6	chr1	FALSE	TRUE
Acbd7	chr2	FALSE	FALSE
Accsl	chr2	FALSE	FALSE
Acd	chr8	FALSE	FALSE
Ace	chr11	FALSE	TRUE
Ace2	chrX	FALSE	TRUE
Ace3	chr11	FALSE	FALSE
Acer1	chr17	FALSE	FALSE
Acer2	chr4	FALSE	TRUE
Acer3	chr7	FALSE	TRUE
Ache	chr5	FALSE	FALSE
Acin1	chr14	FALSE	FALSE
Ackr1	chr1	FALSE	TRUE
Ackr2	chr9	FALSE	FALSE
Ackr3	chr1	FALSE	FALSE
Ackr4	chr9	FALSE	FALSE
Acly	chr11	FALSE	TRUE
Acmsd	chr1	FALSE	FALSE
Acnat1	chr4	FALSE	TRUE
Acnat2	chr4	FALSE	FALSE
Aco1	chr4	FALSE	FALSE
Aco2	chr15	FALSE	TRUE
Acod1	chr14	FALSE	FALSE
Acot1	chr12	FALSE	FALSE
Acot10	chr15	FALSE	FALSE
Acot11	chr4	FALSE	FALSE
Acot12	chr13	FALSE	FALSE
Acot13	chr13	FALSE	FALSE
Acot2	chr12	FALSE	FALSE
Acot3	chr12	FALSE	TRUE
Acot4	chr12	FALSE	FALSE
Acot5	chr12	FALSE	FALSE
Acot6	chr12	FALSE	FALSE
Acot7	chr4	FALSE	TRUE
Acot8	chr2	FALSE	FALSE
Acot9	chrX	FALSE	FALSE
Acox1	chr11	FALSE	TRUE
Acox2	chr14	FALSE	FALSE
Acox3	chr5	FALSE	TRUE
Acoxl	chr2	FALSE	TRUE
Acp1	chr12	FALSE	FALSE
Acp2	chr2	FALSE	FALSE
Acp4	chr7	FALSE	FALSE
Acp6	chr3	FALSE	FALSE
Acp7	chr7	FALSE	FALSE
Acr	chr15	FALSE	FALSE
Acrbp	chr6	FALSE	FALSE
Acrv1	chr9	FALSE	FALSE
Acsbg1	chr9	TRUE	FALSE
Acsbg2	chr17	FALSE	FALSE
Acsbg3	chr17	FALSE	FALSE
Acsf2	chr11	FALSE	TRUE
Acsf3	chr8	FALSE	TRUE
Acsl1	chr8	FALSE	FALSE
Acsl3	chr1	TRUE	TRUE
Acsl4	chrX	FALSE	FALSE
Acsl5	chr19	FALSE	FALSE
Acsl6	chr11	FALSE	TRUE
Acsm1	chr7	FALSE	FALSE
Acsm2	chr7	FALSE	FALSE
Acsm3	chr7	FALSE	FALSE
Acsm4	chr7	FALSE	FALSE
Acsm5	chr7	FALSE	FALSE
Acss1	chr2	FALSE	FALSE
Acss2	chr2	FALSE	TRUE
Acss3	chr10	FALSE	TRUE
Acta1	chr8	FALSE	FALSE
Acta2	chr19	FALSE	FALSE
Actb	chr5	FALSE	FALSE
Actbl2	chr13	FALSE	FALSE
Actc1	chr2	FALSE	FALSE
Acte1	chr7	FALSE	FALSE
Actg1	chr11	TRUE	FALSE
Actg2	chr6	FALSE	TRUE
Actl10	chr2	FALSE	FALSE
Actl11	chr9	FALSE	FALSE
Actl6a	chr3	FALSE	FALSE
Actl6b	chr5	FALSE	TRUE
Actl7a	chr4	FALSE	FALSE
Actl7b	chr4	FALSE	FALSE
Actl9	chr17	TRUE	FALSE
Actn1	chr12	FALSE	TRUE
Actn2	chr13	FALSE	FALSE
Actn3	chr19	FALSE	FALSE
Actn4	chr7	FALSE	TRUE
Actr10	chr12	FALSE	FALSE
Actr1a	chr19	FALSE	FALSE
Actr1b	chr1	FALSE	FALSE
Actr2	chr11	FALSE	TRUE
Actr3	chr1	TRUE	FALSE
Actr3b	chr5	FALSE	TRUE
Actr5	chr2	FALSE	FALSE
Actr6	chr10	FALSE	FALSE
Actr8	chr14	FALSE	FALSE
Actrt1	chrX	FALSE	FALSE
Actrt2	chr4	FALSE	FALSE
Actrt3	chr3	FALSE	FALSE
Acvr1	chr2	FALSE	TRUE
Acvr1b	chr15	FALSE	TRUE
Acvr1c	chr2	FALSE	FALSE
Acvr2a	chr2	FALSE	TRUE
Acvr2b	chr9	FALSE	FALSE
Acvrl1	chr15	FALSE	FALSE
Acy1	chr9	FALSE	FALSE
Acy3	chr19	FALSE	FALSE
Acyp1	chr12	FALSE	FALSE
Acyp2	chr11	FALSE	FALSE
Ada	chr2	FALSE	TRUE
Adad1	chr3	FALSE	TRUE
Adad2	chr8	FALSE	FALSE
Adal	chr2	FALSE	FALSE
Adam10	chr9	TRUE	TRUE
Adam11	chr11	TRUE	FALSE
Adam12	chr7	FALSE	TRUE
Adam15	chr3	FALSE	FALSE
Adam17	chr12	FALSE	TRUE
Adam18	chr8	FALSE	TRUE
Adam19	chr11	TRUE	FALSE
Adam1a	chr5	FALSE	FALSE
Adam1b	chr5	FALSE	FALSE
Adam2	chr14	FALSE	FALSE
Adam20	chr8	FALSE	FALSE
Adam21	chr12	FALSE	FALSE
Adam22	chr5	FALSE	TRUE
Adam23	chr1	FALSE	TRUE
Adam24	chr8	FALSE	FALSE
Adam25	chr8	FALSE	FALSE
Adam26a	chr8	FALSE	FALSE
Adam26b	chr8	FALSE	FALSE
Adam28	chr14	FALSE	TRUE
Adam29	chr8	FALSE	FALSE
Adam3	chr8	FALSE	FALSE
Adam30	chr3	FALSE	FALSE
Adam32	chr8	FALSE	TRUE
Adam33	chr2	FALSE	FALSE
Adam34	chr8	FALSE	FALSE
Adam34l	chr8	FALSE	FALSE
Adam39	chr8	FALSE	FALSE
Adam4	chr12	FALSE	FALSE
Adam5	chr8	FALSE	FALSE
Adam6a	chr12	FALSE	FALSE
Adam6b	chr12	FALSE	FALSE
Adam7	chr14	TRUE	TRUE
Adam8	chr7	FALSE	FALSE
Adam9	chr8	FALSE	FALSE
Adamdec1	chr14	FALSE	FALSE
Adamts1	chr16	TRUE	FALSE
Adamts10	chr17	TRUE	FALSE
Adamts12	chr15	FALSE	TRUE
Adamts13	chr2	FALSE	FALSE
Adamts14	chr10	FALSE	TRUE
Adamts15	chr9	FALSE	FALSE
Adamts16	chr13	TRUE	TRUE
Adamts17	chr7	FALSE	TRUE
Adamts18	chr8	FALSE	TRUE
Adamts19	chr18	FALSE	FALSE
Adamts2	chr11	FALSE	TRUE
Adamts20	chr15	FALSE	FALSE
Adamts3	chr5	FALSE	TRUE
Adamts4	chr1	FALSE	FALSE
Adamts5	chr16	FALSE	FALSE
Adamts6	chr13	TRUE	FALSE
Adamts7	chr9	FALSE	FALSE
Adamts8	chr9	FALSE	FALSE
Adamts9	chr6	FALSE	TRUE
Adamtsl1	chr4	FALSE	TRUE
Adamtsl2	chr2	FALSE	FALSE
Adamtsl3	chr7	FALSE	TRUE
Adamtsl4	chr3	FALSE	FALSE
Adamtsl5	chr10	FALSE	TRUE
Adap1	chr5	FALSE	FALSE
Adap2	chr11	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Adarb1	chr10	FALSE	TRUE
Adarb2	chr13	FALSE	TRUE
Adat1	chr8	FALSE	FALSE
Adck1	chr12	FALSE	TRUE
Adck2	chr6	FALSE	TRUE
Adck5	chr15	FALSE	FALSE
Adcy1	chr11	TRUE	TRUE
Adcy10	chr1	FALSE	TRUE
Adcy2	chr13	FALSE	TRUE
Adcy3	chr12	FALSE	TRUE
Adcy4	chr14	FALSE	TRUE
Adcy5	chr16	FALSE	TRUE
Adcy6	chr15	FALSE	TRUE
Adcy7	chr8	FALSE	TRUE
Adcy8	chr15	TRUE	FALSE
Adcy9	chr16	TRUE	TRUE
Adcyap1	chr17	FALSE	FALSE
Adcyap1r1	chr6	FALSE	TRUE
Add1	chr5	FALSE	TRUE
Add2	chr6	FALSE	TRUE
Add3	chr19	TRUE	FALSE
Adgb	chr10	TRUE	FALSE
Adgra1	chr7	FALSE	TRUE
Adgra2	chr8	FALSE	TRUE
Adgra3	chr5	FALSE	TRUE
Adgrb1	chr15	FALSE	TRUE
Adgrb2	chr4	FALSE	TRUE
Adgrb3	chr1	FALSE	TRUE
Adgrd1	chr5	FALSE	TRUE
Adgre1	chr17	FALSE	TRUE
Adgre4	chr17	FALSE	TRUE
Adgre5	chr8	FALSE	FALSE
Adgrf1	chr17	FALSE	TRUE
Adgrf2	chr17	FALSE	FALSE
Adgrf3	chr5	FALSE	FALSE
Adgrf4	chr17	FALSE	TRUE
Adgrf5	chr17	FALSE	FALSE
Adgrg1	chr8	FALSE	FALSE
Adgrg2	chrX	FALSE	FALSE
Adgrg3	chr8	FALSE	FALSE
Adgrg4	chrX	FALSE	TRUE
Adgrg5	chr8	FALSE	FALSE
Adgrg6	chr10	FALSE	FALSE
Adgrg7	chr16	FALSE	TRUE
Adgrl1	chr8	FALSE	FALSE
Adgrl2	chr3	FALSE	TRUE
Adgrl3	chr5	FALSE	FALSE
Adgrl4	chr3	FALSE	FALSE
Adgrv1	chr13	FALSE	TRUE
Adh1	chr3	FALSE	FALSE
Adh4	chr3	FALSE	FALSE
