gene_name	chr	gained_nearest_tss	gained_median_sig
1700020N01Rik	chr10	FALSE	FALSE
1700020N15Rik	chrX	FALSE	FALSE
1700020N18Rik	chr1	FALSE	FALSE
1700021F02Rik	chr5	FALSE	FALSE
1700021N21Rik	chr4	FALSE	FALSE
1700022A21Rik	chr5	FALSE	FALSE
1700022A22Rik	chr15	FALSE	FALSE
1700022E09Rik	chr16	FALSE	FALSE
1700022H01Rik	chr10	FALSE	FALSE
1700023C21Rik	chr11	FALSE	FALSE
1700023F02Rik	chr10	FALSE	TRUE
1700024B18Rik	chr14	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE
1700024I08Rik	chr13	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE
1700025F24Rik	chr10	FALSE	FALSE
1700025G04Rik	chr1	FALSE	TRUE
1700025K24Rik	chr17	FALSE	FALSE
1700025M24Rik	chr5	FALSE	FALSE
1700025N23Rik	chr6	FALSE	FALSE
1700026D11Rik	chr2	FALSE	FALSE
1700026F02Rik	chr8	FALSE	FALSE
1700026J14Rik	chr6	FALSE	FALSE
1700027F06Rik	chr6	FALSE	FALSE
1700027F09Rik	chr5	FALSE	FALSE
1700027H10Rik	chr3	FALSE	FALSE
1700027J07Rik	chr10	FALSE	FALSE
1700028B04Rik	chr7	FALSE	FALSE
1700028D13Rik	chr5	FALSE	FALSE
1700028E10Rik	chr5	FALSE	FALSE
1700028I16Rik	chr10	FALSE	FALSE
1700028J19Rik	chr7	FALSE	FALSE
1700028K03Rik	chr5	FALSE	FALSE
1700028M03Rik	chr3	FALSE	FALSE
1700028P15Rik	chr2	FALSE	FALSE
1700029B22Rik	chr7	TRUE	TRUE
1700029F12Rik	chr13	FALSE	FALSE
1700029H14Rik	chr8	FALSE	FALSE
1700029J03Rik	chr16	FALSE	FALSE
1700029M20Rik	chr4	FALSE	FALSE
1700029N11Rik	chr13	FALSE	TRUE
1700030A11Rik	chr17	FALSE	FALSE
1700030C10Rik	chr12	FALSE	FALSE
1700030C14Rik	chr2	FALSE	FALSE
1700030F04Rik	chr6	FALSE	FALSE
1700030J22Rik	chr8	FALSE	FALSE
1700030K09Rik	chr8	FALSE	FALSE
1700030L20Rik	chr3	FALSE	FALSE
1700030M09Rik	chr8	FALSE	FALSE
1700030O20Rik	chr10	FALSE	FALSE
1700031A10Rik	chr17	FALSE	FALSE
1700031F05Rik	chrX	FALSE	FALSE
1700031L13Rik	chr5	FALSE	FALSE
1700031M16Rik	chr15	FALSE	FALSE
1700031P21Rik	chr12	FALSE	FALSE
1700034E13Rik	chr18	FALSE	FALSE
1700034G24Rik	chr5	FALSE	TRUE
1700034H15Rik	chr1	FALSE	FALSE
1700034J05Rik	chr6	FALSE	FALSE
1700034K08Rik	chr9	FALSE	FALSE
1700036G14Rik	chr3	FALSE	TRUE
1700037C18Rik	chr16	FALSE	FALSE
1700039E22Rik	chr19	FALSE	FALSE
1700039M10Rik	chr14	FALSE	FALSE
1700041C23Rik	chr9	FALSE	FALSE
1700041M19Rik	chr16	FALSE	FALSE
1700042G15Rik	chr4	FALSE	FALSE
1700042O10Rik	chr11	FALSE	FALSE
1700044C05Rik	chr14	FALSE	FALSE
1700044K03Rik	chr18	FALSE	TRUE
1700045H11Rik	chr4	FALSE	FALSE
1700046C09Rik	chr11	FALSE	FALSE
1700047A11Rik	chr8	FALSE	FALSE
1700047E10Rik	chr14	FALSE	FALSE
1700047G03Rik	chr15	FALSE	FALSE
1700047L14Rik	chr5	FALSE	FALSE
1700048M11Rik	chr16	FALSE	FALSE
1700048O20Rik	chr9	FALSE	FALSE
1700049E15Rik	chr6	FALSE	TRUE
1700049E22Rik	chr6	FALSE	FALSE
1700049L16Rik	chr10	FALSE	FALSE
1700051A21Rik	chr11	FALSE	FALSE
1700052I22Rik	chr12	FALSE	FALSE
1700052K11Rik	chr11	FALSE	FALSE
1700054A03Rik	chr19	FALSE	TRUE
1700054K19Rik	chr6	FALSE	TRUE
1700054M17Rik	chr2	FALSE	FALSE
1700055C04Rik	chr9	FALSE	FALSE
1700056E22Rik	chr1	FALSE	FALSE
1700057H15Rik	chr4	FALSE	FALSE
1700057H21Rik	chr2	FALSE	FALSE
1700060C16Rik	chr6	FALSE	FALSE
1700060C20Rik	chr2	FALSE	FALSE
1700061F12Rik	chr2	FALSE	FALSE
1700061I17Rik	chr3	FALSE	FALSE
1700061J23Rik	chr11	FALSE	FALSE
1700061N14Rik	chr8	FALSE	FALSE
1700063A18Rik	chr1	FALSE	FALSE
1700063D05Rik	chr9	FALSE	TRUE
1700063H04Rik	chr6	FALSE	FALSE
1700063O14Rik	chr5	FALSE	FALSE
1700064J06Rik	chr10	FALSE	FALSE
1700064M15Rik	chr12	FALSE	TRUE
1700065D16Rik	chr9	FALSE	FALSE
1700065I16Rik	chr15	FALSE	FALSE
1700065J11Rik	chr6	FALSE	TRUE
1700065L07Rik	chr6	FALSE	FALSE
1700066B17Rik	chr1	FALSE	TRUE
1700066C05Rik	chr16	FALSE	TRUE
1700066M21Rik	chr1	FALSE	FALSE
1700066O22Rik	chr18	TRUE	TRUE
1700067G17Rik	chr1	FALSE	FALSE
1700067K01Rik	chr8	FALSE	FALSE
1700067P10Rik	chr17	FALSE	FALSE
1700069L16Rik	chr5	FALSE	FALSE
1700069P05Rik	chr6	FALSE	FALSE
1700071K01Rik	chr11	FALSE	FALSE
1700071M16Rik	chr17	FALSE	FALSE
1700072B07Rik	chr9	FALSE	FALSE
1700072O05Rik	chr6	FALSE	FALSE
1700073E17Rik	chr6	FALSE	FALSE
1700080N15Rik	chr2	FALSE	FALSE
1700081H04Rik	chr5	FALSE	FALSE
1700083H02Rik	chr12	FALSE	TRUE
1700084D21Rik	chr13	FALSE	FALSE
1700084F23Rik	chr13	FALSE	FALSE
1700084J12Rik	chr15	FALSE	FALSE
1700084M14Rik	chrX	FALSE	FALSE
1700085C21Rik	chr12	FALSE	TRUE
1700086L19Rik	chr12	FALSE	FALSE
1700086O06Rik	chr18	FALSE	FALSE
1700088E04Rik	chr15	FALSE	FALSE
1700092C02Rik	chr8	FALSE	FALSE
1700092C10Rik	chr14	FALSE	FALSE
1700092E19Rik	chr13	FALSE	TRUE
1700092K14Rik	chr11	FALSE	TRUE
1700094J05Rik	chr10	FALSE	FALSE
1700094M24Rik	chr6	FALSE	FALSE
1700095B10Rik	chr5	FALSE	FALSE
1700095J03Rik	chr7	FALSE	TRUE
1700095J12Rik	chr4	FALSE	FALSE
1700096J18Rik	chr11	FALSE	TRUE
1700096K18Rik	chr5	FALSE	FALSE
1700099I09Rik	chr13	FALSE	FALSE
1700100I10Rik	chr14	FALSE	FALSE
1700100L14Rik	chr13	FALSE	FALSE
1700101I11Rik	chr6	FALSE	FALSE
1700101O22Rik	chr12	FALSE	TRUE
1700102H20Rik	chr17	FALSE	FALSE
1700102P08Rik	chr9	FALSE	FALSE
1700104L18Rik	chr12	FALSE	FALSE
1700108F19Rik	chr14	FALSE	FALSE
1700108J01Rik	chr14	FALSE	TRUE
1700109G14Rik	chr14	FALSE	FALSE
1700109G15Rik	chr11	FALSE	FALSE
1700109I08Rik	chr14	FALSE	TRUE
1700109K24Rik	chr15	FALSE	FALSE
1700110C19Rik	chr17	FALSE	FALSE
1700110I07Rik	chr7	FALSE	FALSE
1700110K17Rik	chr9	FALSE	FALSE
1700111N16Rik	chrX	FALSE	FALSE
1700112H15Rik	chr1	FALSE	FALSE
1700112J16Rik	chr7	FALSE	FALSE
1700113A16Rik	chr3	FALSE	FALSE
1700113B09Rik	chr10	FALSE	FALSE
1700113H08Rik	chr10	FALSE	FALSE
1700116B05Rik	chr16	FALSE	FALSE
1700119H24Rik	chr16	FALSE	FALSE
1700120E14Rik	chr18	FALSE	FALSE
1700120G07Rik	chr7	FALSE	TRUE
1700120K04Rik	chr7	FALSE	FALSE
1700121L16Rik	chrX	FALSE	FALSE
1700121N20Rik	chr12	FALSE	FALSE
1700122C19Rik	chr19	FALSE	FALSE
1700122O11Rik	chr17	FALSE	FALSE
1700123J17Rik	chr7	FALSE	FALSE
1700123K08Rik	chr5	FALSE	FALSE
1700123M08Rik	chr4	FALSE	FALSE
1700123O12Rik	chr4	FALSE	FALSE
1700123O20Rik	chr14	FALSE	FALSE
1700123O21Rik	chr16	FALSE	TRUE
1700124L16Rik	chr6	FALSE	FALSE
1700125G02Rik	chr4	FALSE	FALSE
1700125G22Rik	chr3	FALSE	FALSE
1700125H03Rik	chr8	FALSE	FALSE
1700126H18Rik	chr5	FALSE	FALSE
1700128A07Rik	chr14	FALSE	TRUE
1700128F08Rik	chr9	FALSE	FALSE
1700129C05Rik	chr14	FALSE	TRUE
1810007C17Rik	chr12	FALSE	FALSE
1810007D17Rik	chr19	FALSE	FALSE
1810008I18Rik	chr7	FALSE	FALSE
1810010H24Rik	chr11	FALSE	FALSE
1810012K16Rik	chr8	FALSE	FALSE
1810013A23Rik	chr17	FALSE	FALSE
1810014B01Rik	chr10	FALSE	FALSE
1810018F18Rik	chr19	FALSE	FALSE
1810019D21Rik	chr8	FALSE	FALSE
1810021B22Rik	chr15	FALSE	FALSE
1810024B03Rik	chr2	FALSE	FALSE
1810030O07Rik	chrX	FALSE	FALSE
1810034E14Rik	chr13	FALSE	FALSE
1810041H14Rik	chr14	FALSE	FALSE
1810044D09Rik	chr6	FALSE	FALSE
1810053B23Rik	chr16	FALSE	FALSE
1810055G02Rik	chr19	FALSE	FALSE
1810062G17Rik	chr3	FALSE	FALSE
1810062O18Rik	chr14	FALSE	FALSE
1810063I02Rik	chr11	FALSE	FALSE
1810065E05Rik	chr11	FALSE	FALSE
2010001A14Rik	chr11	FALSE	FALSE
2010003K11Rik	chr19	FALSE	TRUE
2010009K17Rik	chr2	FALSE	FALSE
2010010A06Rik	chr18	FALSE	FALSE
2010016I18Rik	chr3	FALSE	FALSE
2010106C02Rik	chr17	FALSE	FALSE
2010109A12Rik	chr5	FALSE	TRUE
2010204K13Rik	chrX	FALSE	FALSE
2010308F09Rik	chrX	FALSE	FALSE
2010310C07Rik	chr6	FALSE	FALSE
2010315B03Rik	chr9	FALSE	FALSE
2010320M18Rik	chr8	FALSE	FALSE
2200002D01Rik	chr7	FALSE	FALSE
2200002J24Rik	chr7	FALSE	FALSE
2210016L21Rik	chr5	FALSE	FALSE
2210039B01Rik	chr12	FALSE	FALSE
2210404E10Rik	chr19	FALSE	FALSE
2210406O10Rik	chr5	FALSE	FALSE
2210408F21Rik	chr6	FALSE	FALSE
2210408I21Rik	chr13	FALSE	FALSE
2210409D07Rik	chr18	FALSE	TRUE
2210414B05Rik	chr4	FALSE	FALSE
2210416O15Rik	chr11	FALSE	FALSE
2210417A02Rik	chr5	FALSE	FALSE
2210420H20Rik	chr18	FALSE	FALSE
2300002M23Rik	chr17	FALSE	FALSE
2300009A05Rik	chr9	FALSE	FALSE
2310001K24Rik	chr2	FALSE	FALSE
2310002D06Rik	chr12	FALSE	FALSE
2310002F09Rik	chr7	FALSE	FALSE
2310003N18Rik	chr9	FALSE	FALSE
2310005E17Rik	chr13	FALSE	FALSE
2310008N11Rik	chr8	TRUE	TRUE
2310009B15Rik	chr1	FALSE	FALSE
2310010J17Rik	chr7	TRUE	TRUE
2310011J03Rik	chr10	FALSE	FALSE
2310015A10Rik	chr12	FALSE	FALSE
2310015D24Rik	chr16	FALSE	FALSE
2310016D03Rik	chr12	FALSE	FALSE
2310016G11Rik	chr7	FALSE	FALSE
2310020H05Rik	chr13	FALSE	FALSE
2310022A10Rik	chr7	FALSE	FALSE
2310022B05Rik	chr8	FALSE	FALSE
2310030G06Rik	chr9	FALSE	FALSE
2310033P09Rik	chr11	FALSE	FALSE
2310034O05Rik	chr5	FALSE	FALSE
2310039H08Rik	chr17	FALSE	FALSE
2310039L15Rik	chr10	FALSE	FALSE
2310040G24Rik	chr6	FALSE	FALSE
2310043L19Rik	chr1	FALSE	TRUE
2310043M15Rik	chr16	FALSE	FALSE
2310043O21Rik	chr15	FALSE	FALSE
2310057J18Rik	chr10	FALSE	FALSE
2310057M21Rik	chr7	FALSE	FALSE
2310061I04Rik	chr17	FALSE	FALSE
2310065F04Rik	chr11	FALSE	FALSE
2310069B03Rik	chr6	FALSE	FALSE
2310075C17Rik	chr9	FALSE	FALSE
2400006E01Rik	chr3	FALSE	FALSE
2410003L11Rik	chr11	FALSE	FALSE
2410004B18Rik	chr3	FALSE	FALSE
2410004I01Rik	chr11	FALSE	FALSE
2410004P03Rik	chr12	FALSE	FALSE
2410006H16Rik	chr11	FALSE	FALSE
2410012E07Rik	chr14	FALSE	FALSE
2410017I17Rik	chr17	FALSE	FALSE
2410018L13Rik	chr12	FALSE	FALSE
2410022M11Rik	chr14	FALSE	FALSE
2410124H12Rik	chr16	FALSE	FALSE
2410137M14Rik	chr17	FALSE	FALSE
2500004C02Rik	chr2	FALSE	FALSE
2510002D24Rik	chr16	FALSE	FALSE
2510009E07Rik	chr16	FALSE	FALSE
2510039O18Rik	chr4	FALSE	FALSE
2610008E11Rik	chr10	FALSE	FALSE
2610016A17Rik	chr19	FALSE	FALSE
2610027K06Rik	chr11	FALSE	FALSE
2610028E06Rik	chr4	FALSE	FALSE
2610028H24Rik	chr10	FALSE	FALSE
2610035D17Rik	chr11	FALSE	FALSE
2610035F20Rik	chr14	FALSE	FALSE
2610037D02Rik	chr15	FALSE	FALSE
2610042L04Rik	chr14	FALSE	FALSE
2610203C22Rik	chr1	FALSE	FALSE
2610206C17Rik	chr7	FALSE	TRUE
2610306M01Rik	chr6	FALSE	FALSE
2610307P16Rik	chr13	FALSE	TRUE
2610316D01Rik	chr3	FALSE	FALSE
2610318M16Rik	chr14	FALSE	FALSE
2610318N02Rik	chr16	FALSE	FALSE
2610507I01Rik	chr11	FALSE	FALSE
2610524H06Rik	chr5	FALSE	FALSE
2610528J11Rik	chr4	FALSE	FALSE
2700038G22Rik	chr5	FALSE	FALSE
2700046A07Rik	chr18	FALSE	TRUE
2700049A03Rik	chr12	FALSE	FALSE
2700054A10Rik	chr17	FALSE	FALSE
2700062C07Rik	chr18	FALSE	FALSE
2700069I18Rik	chr3	FALSE	FALSE
2700070H01Rik	chr14	FALSE	FALSE
2700089I24Rik	chr19	FALSE	FALSE
2700097O09Rik	chr12	FALSE	FALSE
2810001G20Rik	chr11	FALSE	FALSE
2810004N23Rik	chr8	FALSE	FALSE
2810013P06Rik	chr8	FALSE	FALSE
2810021J22Rik	chr11	FALSE	FALSE
2810025M15Rik	chr1	FALSE	FALSE
2810029C07Rik	chr12	FALSE	FALSE
2810032G03Rik	chr12	FALSE	TRUE
2810049E08Rik	chr13	FALSE	TRUE
2810403D21Rik	chrX	FALSE	FALSE
2810404M03Rik	chr8	FALSE	FALSE
2810405F15Rik	chr2	FALSE	FALSE
2810408A11Rik	chr11	FALSE	FALSE
2810408I11Rik	chr1	FALSE	FALSE
2810414N06Rik	chr1	FALSE	FALSE
2810429I04Rik	chr13	FALSE	FALSE
2810433D01Rik	chr11	FALSE	FALSE
2810442N19Rik	chr1	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900005J15Rik	chr5	FALSE	FALSE
2900009J06Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
2900040C04Rik	chr14	FALSE	FALSE
2900041M22Rik	chr11	FALSE	FALSE
2900052L18Rik	chr11	FALSE	TRUE
2900052N01Rik	chr9	FALSE	FALSE
2900057B20Rik	chr18	FALSE	FALSE
2900060B14Rik	chr1	FALSE	FALSE
2900076A07Rik	chr7	FALSE	FALSE
2900079G21Rik	chr9	TRUE	TRUE
3000002C10Rik	chr9	FALSE	FALSE
3010001F23Rik	chrX	FALSE	FALSE
3100003L05Rik	chr7	FALSE	TRUE
3110009E18Rik	chr1	FALSE	FALSE
3110009F21Rik	chr12	FALSE	FALSE
3110015C05Rik	chr13	TRUE	TRUE
3110039M20Rik	chr12	FALSE	FALSE
3110040N11Rik	chr7	FALSE	FALSE
3110045C21Rik	chr1	FALSE	FALSE
3110056K07Rik	chr12	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3110082J24Rik	chr5	FALSE	FALSE
3110099E03Rik	chr2	FALSE	FALSE
3200001D21Rik	chr12	FALSE	FALSE
3300002I08Rik	chr2	FALSE	FALSE
3300002P13Rik	chr7	FALSE	FALSE
3300005D01Rik	chr17	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
3632454L22Rik	chrX	FALSE	FALSE
3830403N18Rik	chrX	FALSE	FALSE
3830408C21Rik	chr13	FALSE	FALSE
3830432H09Rik	chr1	FALSE	FALSE
3930402G23Rik	chr8	FALSE	TRUE
4631405J19Rik	chr2	FALSE	FALSE
4632404H12Rik	chr3	FALSE	FALSE
4632415L05Rik	chr3	FALSE	FALSE
4632427E13Rik	chr7	FALSE	FALSE
4632428C04Rik	chr16	FALSE	FALSE
4732414G09Rik	chr11	FALSE	FALSE
4732471J01Rik	chr7	FALSE	FALSE
4732490B19Rik	chr11	FALSE	FALSE
4732491K20Rik	chr17	FALSE	FALSE
4833411C07Rik	chr8	FALSE	FALSE
4833412C05Rik	chr7	FALSE	FALSE
4833415N18Rik	chr16	FALSE	FALSE
4833417C18Rik	chr11	FALSE	FALSE
4833418N02Rik	chr17	FALSE	FALSE
4833419F23Rik	chr18	FALSE	FALSE
4833422C13Rik	chr13	FALSE	FALSE
4833422M21Rik	chr15	FALSE	FALSE
4833427F10Rik	chr17	FALSE	FALSE
4833428L15Rik	chr9	FALSE	TRUE
4833439L19Rik	chr13	FALSE	FALSE
4921504A21Rik	chr5	FALSE	FALSE
4921504E06Rik	chr2	FALSE	FALSE
4921508D12Rik	chr2	FALSE	FALSE
4921509O07Rik	chr13	FALSE	TRUE
4921511C10Rik	chr3	FALSE	FALSE
4921511I17Rik	chr12	FALSE	TRUE
4921513I03Rik	chr10	FALSE	FALSE
4921515E04Rik	chr15	FALSE	TRUE
4921517D22Rik	chr13	FALSE	FALSE
4921518K17Rik	chr12	FALSE	FALSE
4921524J17Rik	chr8	FALSE	FALSE
4921524L21Rik	chr18	FALSE	FALSE
4921525O09Rik	chr13	FALSE	FALSE
4921529L05Rik	chr6	FALSE	FALSE
4921531C22Rik	chr2	FALSE	FALSE
4921531P14Rik	chr18	FALSE	TRUE
4921533I20Rik	chr18	FALSE	FALSE
4921534H16Rik	chr9	FALSE	FALSE
4921536K21Rik	chr11	FALSE	FALSE
4922502N22Rik	chr6	FALSE	FALSE
4930401C15Rik	chr10	FALSE	FALSE
4930401G09Rik	chr5	FALSE	FALSE
4930401O10Rik	chr11	FALSE	TRUE
4930401O12Rik	chr13	FALSE	FALSE
4930402F06Rik	chr2	FALSE	FALSE
4930402F11Rik	chr7	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
4930404A05Rik	chr16	FALSE	FALSE
4930404H11Rik	chr12	FALSE	TRUE
4930405A10Rik	chr14	FALSE	TRUE
4930405D11Rik	chr11	FALSE	FALSE
4930405J17Rik	chr10	FALSE	FALSE
4930405L22Rik	chr5	FALSE	FALSE
4930405O22Rik	chr17	FALSE	TRUE
4930406D18Rik	chr3	FALSE	FALSE
4930407I10Rik	chr15	FALSE	FALSE
4930407I19Rik	chr10	FALSE	TRUE
4930412B13Rik	chr2	FALSE	FALSE
4930412C18Rik	chr4	FALSE	FALSE
4930413E15Rik	chr5	FALSE	FALSE
4930413F20Rik	chr15	FALSE	FALSE
4930413G21Rik	chr7	FALSE	FALSE
4930417O13Rik	chr6	FALSE	FALSE
4930417O22Rik	chr11	FALSE	FALSE
4930419G24Rik	chr3	FALSE	FALSE
4930422M22Rik	chr9	FALSE	FALSE
4930423M02Rik	chr4	FALSE	TRUE
4930425K10Rik	chr5	FALSE	FALSE
4930425L21Rik	chr6	FALSE	TRUE
4930425O10Rik	chr3	FALSE	FALSE
4930426D05Rik	chr18	FALSE	FALSE
4930426L09Rik	chr2	FALSE	FALSE
4930428D20Rik	chr16	FALSE	FALSE
4930428E07Rik	chr12	FALSE	TRUE
4930428O21Rik	chr5	FALSE	FALSE
4930429D17Rik	chr5	FALSE	FALSE
4930429F24Rik	chr9	FALSE	FALSE
4930429H19Rik	chr7	FALSE	TRUE
4930430F21Rik	chr15	FALSE	FALSE
4930431F12Rik	chr5	FALSE	FALSE
4930431P03Rik	chr14	FALSE	FALSE
4930431P22Rik	chr14	FALSE	TRUE
4930432J09Rik	chr14	FALSE	TRUE
4930432M17Rik	chr3	FALSE	FALSE
4930432O09Rik	chr10	FALSE	FALSE
4930433B08Rik	chr3	FALSE	TRUE
4930433I11Rik	chr7	FALSE	FALSE
4930433N12Rik	chr9	FALSE	FALSE
4930434J06Rik	chr14	FALSE	FALSE
4930435F18Rik	chr13	FALSE	FALSE
4930438E09Rik	chr14	FALSE	FALSE
4930440C22Rik	chr1	FALSE	FALSE
4930440I19Rik	chr2	FALSE	TRUE
4930441H08Rik	chr7	FALSE	TRUE
4930441J16Rik	chr2	FALSE	FALSE
4930443O20Rik	chr2	FALSE	FALSE
4930444F02Rik	chr10	FALSE	FALSE
4930444P10Rik	chr1	FALSE	FALSE
4930445N18Rik	chr18	FALSE	FALSE
4930447A16Rik	chr15	FALSE	FALSE
4930447C04Rik	chr12	FALSE	FALSE
4930447F24Rik	chr9	FALSE	FALSE
4930447J18Rik	chr14	FALSE	FALSE
4930447K03Rik	chr13	FALSE	FALSE
4930447M23Rik	chr2	FALSE	FALSE
4930447N08Rik	chr3	FALSE	FALSE
4930448C13Rik	chr12	FALSE	FALSE
4930448F12Rik	chr13	FALSE	FALSE
4930448I06Rik	chr1	FALSE	TRUE
4930448I18Rik	chr5	TRUE	TRUE
4930448K20Rik	chr4	FALSE	FALSE
4930449E01Rik	chr14	FALSE	FALSE
4930449E18Rik	chr19	FALSE	FALSE
4930449I24Rik	chr5	FALSE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
4930452A19Rik	chr17	FALSE	FALSE
4930452G13Rik	chr14	FALSE	FALSE
4930453L07Rik	chr8	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930455B14Rik	chr14	FALSE	TRUE
4930455C13Rik	chr10	FALSE	FALSE
4930455G09Rik	chr4	FALSE	FALSE
4930455H04Rik	chr3	FALSE	FALSE
4930455J16Rik	chr13	FALSE	FALSE
4930459C07Rik	chr10	FALSE	TRUE
4930459L07Rik	chr5	FALSE	TRUE
4930461G14Rik	chr9	FALSE	FALSE
4930463O16Rik	chr10	FALSE	FALSE
