gene_name	chr	in_mecp2_no_mch	k119ub_peak_gain
Tacr1	chr6	FALSE	FALSE
Manf	chr9	FALSE	FALSE
Mfsd6	chr1	FALSE	TRUE
Ttc41	chr10	FALSE	FALSE
Asb10	chr5	FALSE	FALSE
Acvr2b	chr9	FALSE	FALSE
Tmem185b	chr1	FALSE	TRUE
Serinc1	chr10	FALSE	TRUE
Map3k21	chr8	FALSE	FALSE
Socs5	chr17	FALSE	FALSE
Wdfy2	chr14	FALSE	TRUE
Dcst1	chr3	FALSE	FALSE
Bcan	chr3	FALSE	FALSE
Pou3f2	chr4	FALSE	FALSE
Csf1	chr3	FALSE	FALSE
Bmp4	chr14	FALSE	FALSE
Cldn5	chr16	FALSE	FALSE
Txnrd2	chr16	FALSE	TRUE
Inka2	chr3	FALSE	TRUE
Pfkfb3	chr2	FALSE	FALSE
Nbeal2	chr9	FALSE	FALSE
Zbtb42	chr12	FALSE	FALSE
Ptpn20	chr14	FALSE	TRUE
Alad	chr4	FALSE	TRUE
Kcnq3	chr15	FALSE	TRUE
Draxin	chr4	FALSE	FALSE
Diaph2	chrX	FALSE	TRUE
Txnrd3	chr6	FALSE	FALSE
Nhsl2	chrX	FALSE	FALSE
Mid2	chrX	FALSE	FALSE
Plin5	chr17	FALSE	FALSE
Wdr11	chr7	FALSE	FALSE
Krt86	chr15	FALSE	FALSE
Kcna10	chr3	FALSE	FALSE
Tnip1	chr11	FALSE	FALSE
Gm826	chr2	FALSE	FALSE
Sbk1	chr7	FALSE	FALSE
Gp5	chr16	FALSE	FALSE
Creb3l2	chr6	FALSE	FALSE
Rassf2	chr2	FALSE	FALSE
Enpp6	chr8	FALSE	FALSE
Kcnh5	chr12	FALSE	TRUE
Hps3	chr3	FALSE	TRUE
Slc6a15	chr10	FALSE	TRUE
Has3	chr8	FALSE	FALSE
Scrn1	chr6	FALSE	FALSE
Tbx4	chr11	FALSE	FALSE
Hsf4	chr8	FALSE	FALSE
Hhatl	chr9	FALSE	FALSE
Arhgap30	chr1	FALSE	FALSE
Gm11733	chr11	TRUE	FALSE
Tspan33	chr6	FALSE	TRUE
Lipa	chr19	FALSE	TRUE
Kcnk15	chr2	FALSE	FALSE
Gulp1	chr1	FALSE	FALSE
Inppl1	chr7	FALSE	FALSE
Ccdc24	chr4	FALSE	FALSE
Eif2d	chr1	FALSE	FALSE
Tmem178	chr17	TRUE	TRUE
Afap1l1	chr18	FALSE	TRUE
Zbtb18	chr1	FALSE	FALSE
Pltp	chr2	FALSE	FALSE
Eppk1	chr15	FALSE	FALSE
Pxn	chr5	FALSE	FALSE
Asb4	chr6	FALSE	FALSE
Lcn5	chr2	FALSE	FALSE
Ano1	chr7	FALSE	FALSE
Plxna4	chr6	FALSE	FALSE
Igf2	chr7	FALSE	FALSE
Ocln	chr13	FALSE	TRUE
Stard8	chrX	FALSE	FALSE
Fstl1	chr16	FALSE	FALSE
Arhgef28	chr13	FALSE	TRUE
Adgrl4	chr3	FALSE	TRUE
Ccm2	chr11	FALSE	FALSE
Hs6st2	chrX	FALSE	FALSE
Sdr42e1	chr8	FALSE	FALSE
Vgll3	chr16	FALSE	FALSE
Klhl8	chr5	FALSE	FALSE
Esam	chr9	FALSE	FALSE
Vwa3b	chr1	FALSE	FALSE
Pmaip1	chr18	FALSE	FALSE
Ap2a1	chr7	FALSE	FALSE
Adgrg1	chr8	FALSE	FALSE
Fabp5	chr3	FALSE	TRUE
Slf2	chr19	FALSE	FALSE
Vegfc	chr8	FALSE	TRUE
Ppp1r16a	chr15	FALSE	TRUE
Agk	chr6	FALSE	FALSE
Lzts3	chr2	FALSE	FALSE
Ramp1	chr1	FALSE	FALSE
Sufu	chr19	FALSE	FALSE
Cyb561	chr11	FALSE	FALSE
Cilk1	chr9	FALSE	TRUE
Cxcl12	chr6	FALSE	FALSE
Klhdc7a	chr4	FALSE	FALSE
Fcnb	chr2	FALSE	FALSE
Bmp3	chr5	FALSE	FALSE
Ccnd2	chr6	FALSE	FALSE
Dhcr24	chr4	FALSE	FALSE
Slc30a2	chr4	FALSE	FALSE
Sec31a	chr5	FALSE	FALSE
H2-K1	chr17	FALSE	FALSE
Ndufs6	chr13	FALSE	FALSE
C1ql4	chr15	FALSE	FALSE
Lin54	chr5	FALSE	TRUE
Atp13a4	chr16	FALSE	TRUE
Krt4	chr15	FALSE	TRUE
Zfp131	chr13	FALSE	TRUE
Iars2	chr1	FALSE	FALSE
Ssbp4	chr8	FALSE	FALSE
Tpcn1	chr5	FALSE	FALSE
Slc26a2	chr18	FALSE	TRUE
Arg2	chr12	FALSE	FALSE
Plekhh3	chr11	FALSE	FALSE
Lif	chr11	FALSE	FALSE
Cd200	chr16	FALSE	FALSE
Steap1	chr5	FALSE	TRUE
Il1rapl1	chrX	TRUE	TRUE
Plin1	chr7	FALSE	FALSE
Hbp1	chr12	FALSE	TRUE
Rnd3	chr2	FALSE	FALSE
Aqp12	chr1	FALSE	FALSE
Lpar1	chr4	FALSE	FALSE
Recql4	chr15	FALSE	FALSE
Larp1b	chr3	FALSE	TRUE
Afap1l2	chr19	FALSE	TRUE
Fndc11	chr2	FALSE	FALSE
Pik3c3	chr18	FALSE	FALSE
B4galt5	chr2	FALSE	FALSE
Nck2	chr1	FALSE	TRUE
Brd1	chr15	FALSE	FALSE
Tk2	chr8	FALSE	TRUE
Dapl1	chr2	FALSE	TRUE
Nmt2	chr2	FALSE	TRUE
Tnfaip8l3	chr9	FALSE	FALSE
Wdr91	chr6	FALSE	TRUE
Mc4r	chr18	FALSE	FALSE
Stn1	chr19	FALSE	TRUE
Vxn	chr1	FALSE	FALSE
Zfp503	chr14	FALSE	FALSE
Tgfb1i1	chr7	FALSE	FALSE
Onecut1	chr9	FALSE	FALSE
Zwint	chr10	FALSE	TRUE
Esyt1	chr10	FALSE	FALSE
Cdk5r2	chr1	FALSE	TRUE
Chrnb4	chr9	FALSE	FALSE
Stmn4	chr14	FALSE	TRUE
Trim7	chr11	FALSE	FALSE
Cmklr1	chr5	FALSE	FALSE
Il4i1	chr7	FALSE	FALSE
Zfp287	chr11	FALSE	FALSE
Dennd2c	chr3	FALSE	FALSE
Fstl3	chr10	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
Glrx2	chr1	FALSE	TRUE
Cbx7	chr15	FALSE	TRUE
Fah	chr7	FALSE	FALSE
Slc22a18	chr7	FALSE	FALSE
Adtrp	chr13	FALSE	TRUE
Hat1	chr2	FALSE	TRUE
Ssbp3	chr4	FALSE	FALSE
Lrrk2	chr15	FALSE	TRUE
Fbxo31	chr8	FALSE	FALSE
Mrps22	chr9	FALSE	FALSE
Gpr155	chr2	FALSE	FALSE
Wnt9a	chr11	FALSE	FALSE
Zbtb48	chr4	FALSE	TRUE
Stard13	chr5	FALSE	FALSE
Commd6	chr14	FALSE	FALSE
Ropn1l	chr15	FALSE	FALSE
Nr1i2	chr16	FALSE	FALSE
Ncf2	chr1	FALSE	FALSE
Snorc	chr1	FALSE	FALSE
Rasa1	chr13	FALSE	TRUE
Ercc5	chr1	FALSE	TRUE
Rarres1	chr3	FALSE	FALSE
Fras1	chr5	FALSE	FALSE
Defb41	chr1	TRUE	TRUE
Vim	chr2	FALSE	FALSE
Itgb1	chr8	FALSE	FALSE
Bpgm	chr6	FALSE	TRUE
Rnase4	chr14	FALSE	TRUE
Hapln4	chr8	FALSE	FALSE
Bhlhe22	chr3	FALSE	TRUE
C2cd2	chr16	FALSE	TRUE
Col4a4	chr1	FALSE	FALSE
Pmp22	chr11	FALSE	FALSE
Cib4	chr5	FALSE	TRUE
Chrnb2	chr3	FALSE	TRUE
Gm19410	chr8	FALSE	FALSE
Hps6	chr19	FALSE	TRUE
Vps37b	chr5	FALSE	FALSE
Ankrd13b	chr11	FALSE	TRUE
Tmem45b	chr9	FALSE	FALSE
Gnas	chr2	FALSE	TRUE
Chad	chr11	FALSE	FALSE
Pygm	chr19	FALSE	FALSE
B3galt2	chr1	FALSE	FALSE
Col1a1	chr11	FALSE	FALSE
Ednrb	chr14	FALSE	FALSE
Zkscan3	chr13	FALSE	TRUE
Naprt	chr15	FALSE	FALSE
Dok5	chr2	FALSE	FALSE
Tmem59l	chr8	FALSE	FALSE
Ltb4r1	chr14	FALSE	FALSE
Selenof	chr3	FALSE	FALSE
Tpst2	chr5	FALSE	FALSE
Arid3c	chr4	FALSE	FALSE
Prss35	chr9	FALSE	FALSE
Lrrtm3	chr10	FALSE	FALSE
Chst8	chr7	FALSE	FALSE
Pcyox1	chr6	FALSE	TRUE
Adra1a	chr14	FALSE	TRUE
Cacna1s	chr1	FALSE	FALSE
Insm1	chr2	TRUE	FALSE
Tpo	chr12	FALSE	FALSE
Ccdc169	chr3	FALSE	FALSE
Gpa33	chr1	FALSE	FALSE
Rcsd1	chr1	FALSE	FALSE
Nkx6-3	chr8	FALSE	FALSE
Ankmy2	chr12	FALSE	TRUE
Lnx2	chr5	FALSE	TRUE
Aqp9	chr9	FALSE	TRUE
Foxc1	chr13	FALSE	FALSE
Ahi1	chr10	FALSE	TRUE
Kcnk1	chr8	FALSE	TRUE
Cabp2	chr19	FALSE	TRUE
Itga11	chr9	FALSE	FALSE
Mapre2	chr18	FALSE	TRUE
Gata4	chr14	FALSE	FALSE
Cfap100	chr6	FALSE	FALSE
Crygf	chr1	FALSE	TRUE
Apcdd1	chr18	FALSE	TRUE
Rnft2	chr5	FALSE	FALSE
Gja1	chr10	FALSE	FALSE
Pla2g4b	chr2	FALSE	FALSE
Antxrl	chr14	FALSE	FALSE
Ccdc88b	chr19	FALSE	FALSE
Mphosph9	chr5	FALSE	FALSE
Trpc1	chr9	FALSE	TRUE
Il1rl2	chr1	FALSE	FALSE
Sfrp1	chr8	FALSE	FALSE
Trpc5	chrX	FALSE	TRUE
Ttyh3	chr5	FALSE	FALSE
Ripk2	chr4	FALSE	TRUE
Pgpep1	chr8	FALSE	FALSE
Ybx2	chr11	FALSE	FALSE
Tmem212	chr3	FALSE	FALSE
Bid	chr6	FALSE	FALSE
Mogat1	chr1	FALSE	TRUE
Chac1	chr2	FALSE	TRUE
Dab2	chr15	FALSE	FALSE
Crispld2	chr8	FALSE	FALSE
Rbm28	chr6	FALSE	FALSE
Zbtb41	chr1	FALSE	TRUE
Cdr2	chr7	FALSE	FALSE
Zfp36l2	chr17	FALSE	FALSE
Crbn	chr6	FALSE	TRUE
Boc	chr16	FALSE	TRUE
Cd3e	chr9	FALSE	FALSE
Cdkl4	chr17	FALSE	TRUE
Ankrd33b	chr15	FALSE	FALSE
Noa1	chr5	FALSE	TRUE
Ccdc181	chr1	FALSE	TRUE
Tnks2	chr19	FALSE	TRUE
Slc27a6	chr18	FALSE	TRUE
Amotl2	chr9	FALSE	FALSE
Pex26	chr6	FALSE	FALSE
Dmrt1	chr19	FALSE	FALSE
Ppox	chr1	FALSE	TRUE
Psmb11	chr14	FALSE	TRUE
Erich6b	chr14	FALSE	FALSE
Efr3a	chr15	FALSE	TRUE
Cdk5rap3	chr11	FALSE	FALSE
Wipi1	chr11	FALSE	FALSE
Celf2	chr2	FALSE	TRUE
Tex22	chr12	FALSE	FALSE
Zfp219	chr14	FALSE	TRUE
Irs4	chrX	FALSE	FALSE
Npffr1	chr10	FALSE	FALSE
Il11	chr7	FALSE	FALSE
Tusc3	chr8	FALSE	TRUE
Skor2	chr18	FALSE	FALSE
Irgm1	chr11	FALSE	TRUE
Igf2bp2	chr16	FALSE	FALSE
Por	chr5	FALSE	FALSE
Prokr1	chr6	FALSE	FALSE
Adamts19	chr18	FALSE	FALSE
Epha2	chr4	FALSE	FALSE
Myo9b	chr8	FALSE	FALSE
Clcn3	chr8	FALSE	TRUE
Phyh	chr2	FALSE	TRUE
Tk1	chr11	FALSE	FALSE
Wars2	chr3	FALSE	TRUE
Nkain1	chr4	FALSE	FALSE
Slc48a1	chr15	FALSE	TRUE
Sp2	chr11	FALSE	FALSE
Septin6	chrX	FALSE	TRUE
Tmem200a	chr10	FALSE	FALSE
Med10	chr13	FALSE	TRUE
Tmem192	chr8	FALSE	TRUE
Diaph1	chr18	FALSE	TRUE
Txndc5	chr13	FALSE	FALSE
Adra2c	chr5	FALSE	FALSE
Ccna1	chr3	FALSE	FALSE
Zfp512	chr5	FALSE	TRUE
Ammecr1l	chr18	FALSE	TRUE
Bcl11b	chr12	FALSE	FALSE
Kri1	chr9	FALSE	FALSE
Exoc5	chr14	FALSE	FALSE
Tbx5	chr5	FALSE	FALSE
Fgfrl1	chr5	FALSE	FALSE
Lipi	chr16	FALSE	FALSE
Opn4	chr14	FALSE	FALSE
Rnf32	chr5	FALSE	TRUE
Iqcg	chr16	FALSE	FALSE
Ppargc1a	chr5	FALSE	TRUE
Cct3	chr3	FALSE	FALSE
D430019H16Rik	chr12	FALSE	FALSE
Nsun6	chr2	FALSE	TRUE
Cacna2d1	chr5	FALSE	TRUE
Ppwd1	chr13	FALSE	TRUE
Tbx3	chr5	FALSE	FALSE
Map7d3	chrX	FALSE	FALSE
Cd109	chr9	FALSE	FALSE
Hsd17b12	chr2	FALSE	TRUE
Slc9a6	chrX	FALSE	TRUE
Commd10	chr18	FALSE	TRUE
Padi2	chr4	FALSE	FALSE
Grhl3	chr4	FALSE	FALSE
Dmd	chrX	FALSE	TRUE
Zar1	chr5	FALSE	FALSE
Cbln2	chr18	FALSE	FALSE
Mocs2	chr13	FALSE	TRUE
Oit3	chr10	FALSE	FALSE
Asb2	chr12	FALSE	FALSE
Pmfbp1	chr8	FALSE	TRUE
Pax9	chr12	FALSE	FALSE
Tnfaip6	chr2	FALSE	FALSE
Lrguk	chr6	FALSE	TRUE
Mad2l1	chr6	FALSE	TRUE
Lypd6	chr2	FALSE	TRUE
Arsa	chr15	FALSE	FALSE
Bsn	chr9	FALSE	FALSE
Dsg1c	chr18	FALSE	TRUE
D3Ertd751e	chr3	FALSE	TRUE
Hlx	chr1	FALSE	FALSE
Ddx18	chr1	FALSE	TRUE
Stmn2	chr3	FALSE	TRUE
Lmnb1	chr18	FALSE	TRUE
Ankrd34c	chr9	FALSE	FALSE
Sox4	chr13	FALSE	TRUE
P3h3	chr6	FALSE	FALSE
Cda	chr4	FALSE	FALSE
Vsir	chr10	FALSE	FALSE
Appl1	chr14	FALSE	TRUE
Ube2f	chr1	FALSE	TRUE
Fam83f	chr15	FALSE	FALSE
Capn12	chr7	FALSE	FALSE
Larp6	chr9	FALSE	FALSE
Elf4	chrX	FALSE	FALSE
Usp13	chr3	FALSE	FALSE
Ephb3	chr16	FALSE	FALSE
Itgb8	chr12	FALSE	FALSE
Aff1	chr5	FALSE	FALSE
Dpyd	chr3	FALSE	FALSE
Cd274	chr19	FALSE	TRUE
Slc4a9	chr18	FALSE	FALSE
Pitpnb	chr5	FALSE	FALSE
Gns	chr10	FALSE	TRUE
Lamc1	chr1	FALSE	FALSE
Borcs5	chr6	FALSE	TRUE
Aatk	chr11	FALSE	FALSE
Myh3	chr11	FALSE	FALSE
Slc26a5	chr5	FALSE	TRUE
Cd5	chr19	FALSE	TRUE
Mst1r	chr9	FALSE	FALSE
Rasgef1c	chr11	FALSE	FALSE
Osbp	chr19	FALSE	FALSE
Creld2	chr15	FALSE	TRUE
Rmdn2	chr17	FALSE	FALSE
Slc22a21	chr11	FALSE	FALSE
Eif2ak3	chr6	FALSE	FALSE
Icosl	chr10	FALSE	FALSE
Frzb	chr2	FALSE	TRUE
Rfpl4b	chr10	FALSE	FALSE
Podnl1	chr8	FALSE	FALSE
Zmym3	chrX	FALSE	FALSE
Rara	chr11	FALSE	FALSE
Rab31	chr17	FALSE	FALSE
Hkdc1	chr10	FALSE	FALSE
Elf5	chr2	FALSE	TRUE
Swt1	chr1	FALSE	TRUE
Dhrs3	chr4	FALSE	FALSE
Adam19	chr11	FALSE	FALSE
Prrg3	chrX	FALSE	TRUE
Hsd17b1	chr11	FALSE	TRUE
Amtn	chr5	FALSE	TRUE
B3gnt6	chr7	FALSE	FALSE
Stbd1	chr5	FALSE	FALSE
Efcab7	chr4	FALSE	TRUE
Aire	chr10	FALSE	FALSE
Plekha2	chr8	FALSE	FALSE
Sgms2	chr3	FALSE	TRUE
Proser2	chr2	FALSE	TRUE
4930558K02Rik	chr1	FALSE	TRUE
Jpt2	chr17	FALSE	FALSE
Npr2	chr4	FALSE	TRUE
Taf8	chr17	FALSE	FALSE
Grhl1	chr12	FALSE	FALSE
Maff	chr15	FALSE	FALSE
Hoxa3	chr6	FALSE	FALSE
Arhgef16	chr4	FALSE	FALSE
B3galnt2	chr13	FALSE	TRUE
Kcng2	chr18	FALSE	FALSE
Dctn6	chr8	FALSE	TRUE
Mier3	chr13	FALSE	FALSE
Fam98a	chr17	FALSE	TRUE
Smap1	chr1	FALSE	TRUE
Pipox	chr11	FALSE	TRUE
Snap25	chr2	FALSE	TRUE
Bpifb5	chr2	FALSE	FALSE
1700016H13Rik	chr5	FALSE	FALSE
Dlx4	chr11	FALSE	FALSE
Rapgefl1	chr11	FALSE	FALSE
Ubash3b	chr9	FALSE	FALSE
Meig1	chr2	FALSE	TRUE
Prdm6	chr18	FALSE	FALSE
Mllt10	chr2	FALSE	TRUE
Faim	chr9	FALSE	TRUE
Hs1bp3	chr12	FALSE	TRUE
Snx14	chr9	FALSE	FALSE
Mbp	chr18	FALSE	TRUE
Sec14l5	chr16	FALSE	FALSE
Fam90a1b	chrX	FALSE	FALSE
Clrn1	chr3	FALSE	TRUE
Gldc	chr19	FALSE	FALSE
Prdm4	chr10	FALSE	TRUE
Mterf2	chr10	FALSE	TRUE
Lins1	chr7	FALSE	TRUE
C1qb	chr4	FALSE	FALSE
Nipal1	chr5	FALSE	FALSE
Gspt2	chrX	FALSE	TRUE
Cenpc1	chr5	FALSE	FALSE
Gpr156	chr16	FALSE	FALSE
Hao1	chr2	FALSE	TRUE
Fahd2a	chr2	FALSE	FALSE
Tmprss13	chr9	FALSE	FALSE
B3galt1	chr2	FALSE	TRUE
Bzw2	chr12	FALSE	TRUE
Ptges	chr2	FALSE	FALSE
Arhgap22	chr14	FALSE	FALSE
Fmod	chr1	FALSE	FALSE
Usp2	chr9	FALSE	FALSE
Pla2g2e	chr4	FALSE	FALSE
