"seqnames","start","end","width","strand","peak_id","Fold","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","mecp2_Fold","mecp2_FDR"
"chr1",6380388,6381882,1495,"*","mecp2_peak_18",-1.039942868,0.001051405,"Exon (ENSMUST00000193588.1/ENSMUST00000193588.1, exon 1 of 1)",1,6359218,6394731,35514,1,"620393","ENSMUST00000133144.3",21170,"ENSMUSG00000087247","Alkal1","ALK and LTK ligand 1",-1.039942868,0.001051405
"chr1",193588856,193590129,1274,"*","mecp2_peak_19",0.011996586,0.97164313,"Distal Intergenic",1,193507463,193507530,68,2,"387201","ENSMUST00000083599.1",-81326,"ENSMUSG00000065533","Mir205","microRNA 205",0.011996586,0.97164313
"chr1",135750793,135752039,1247,"*","mecp2_peak_20",-0.227966324,0.29758694,"3' UTR",1,135766119,135769136,3018,1,"27280","ENSMUST00000038945.5",-14080,"ENSMUSG00000041801","Phlda3","pleckstrin homology like domain, family A, member 3",-0.227966324,0.29758694
"chr1",68843682,68844287,606,"*","mecp2_peak_21",0.111467718,0.633049201,"Intron (ENSMUST00000119142.7/13869, intron 1 of 27)",1,68032186,69107756,1075571,2,"13869","ENSMUST00000119142.7",263469,"ENSMUSG00000062209","Erbb4","erb-b2 receptor tyrosine kinase 4",0.111467718,0.633049201
"chr1",87046738,87047708,971,"*","mecp2_peak_22",-0.053707502,0.828902075,"3' UTR",1,87088780,87089805,1026,2,"11650","ENSMUST00000190082.1",42097,"ENSMUSG00000026246","Alppl2","alkaline phosphatase, placental-like 2",-0.053707502,0.828902075
"chr1",152616713,152618113,1401,"*","mecp2_peak_23",-0.050273565,0.841417029,"Intron (ENSMUST00000111859.7/19731, intron 3 of 18)",1,152557543,152625029,67487,2,"19731","ENSMUST00000149536.2",6916,"ENSMUSG00000026482","Rgl1","ral guanine nucleotide dissociation stimulator,-like 1",-0.050273565,0.841417029
"chr1",120032901,120033710,810,"*","mecp2_peak_24",0.169166952,0.411690745,"Intron (ENSMUST00000072886.10/319229, intron 4 of 13)",1,120007034,120063534,56501,1,"319229","ENSMUST00000189037.1",25867,"ENSMUSG00000026387","Sctr","secretin receptor",0.169166952,0.411690745
"chr1",64406715,64407571,857,"*","mecp2_peak_25",0.102775608,0.66136742,"Distal Intergenic",1,64532645,64597695,65051,1,"12912","ENSMUST00000185594.6",-125074,"ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1",0.102775608,0.66136742
"chr1",133422895,133424366,1472,"*","mecp2_peak_26",-0.080431905,0.743437515,"Promoter (<=1kb)",1,133382303,133424377,42075,2,"20668","ENSMUST00000153799.7",11,"ENSMUSG00000070643","Sox13","SRY (sex determining region Y)-box 13",-0.080431905,0.743437515
"chr1",84426102,84426886,785,"*","mecp2_peak_27",0.00408342,0.991875275,"Intron (ENSMUST00000049126.12/227325, intron 8 of 12)",1,84107794,84364180,256387,2,"98496","ENSMUST00000175996.7",-61922,"ENSMUSG00000045658","Pid1","phosphotyrosine interaction domain containing 1",0.00408342,0.991875275
"chr1",134082596,134083617,1022,"*","mecp2_peak_28",0.076210593,0.736439397,"Distal Intergenic",1,134075170,134079120,3951,2,"12227","ENSMUST00000020692.6",-3476,"ENSMUSG00000020423","Btg2","BTG anti-proliferation factor 2",0.076210593,0.736439397
"chr1",35936469,35937016,548,"*","mecp2_peak_29",0.163212389,0.464253267,"Distal Intergenic",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",-131384,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1",0.163212389,0.464253267
"chr1",6733018,6733723,706,"*","mecp2_peak_30",2.044105014,3.32e-07,"Promoter (1-2kb)",1,6734870,6802688,67819,1,"240690","ENSMUST00000139838.7",-1147,"ENSMUSG00000033740","St18","suppression of tumorigenicity 18",2.044105014,3.32e-07
"chr1",10231704,10233415,1712,"*","mecp2_peak_31",-0.105976244,0.639825102,"Promoter (<=1kb)",1,10137571,10232670,95100,2,"211673","ENSMUST00000088615.10",0,"ENSMUSG00000067851","Arfgef1","ADP ribosylation factor guanine nucleotide exchange factor 1",-0.105976244,0.639825102
"chr1",73116294,73117330,1037,"*","mecp2_peak_32",-0.159271586,0.450651598,"Distal Intergenic",1,73024569,73025507,939,1,"69449","ENSMUST00000190525.1",91725,"ENSMUSG00000101968","Teshl","testicular germ cell expressed HSF2 interacting lncRNA",-0.159271586,0.450651598
"chr1",89487463,89488892,1430,"*","mecp2_peak_33",-0.036243199,0.894318911,"Intron (ENSMUST00000027521.14/347722, intron 1 of 17)",1,89454874,89890001,435128,1,"347722","ENSMUST00000190096.6",32589,"ENSMUSG00000055013","Agap1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",-0.036243199,0.894318911
"chr1",67000855,67002713,1859,"*","mecp2_peak_34",-0.125372378,0.551021845,"3' UTR",1,67007018,67021065,14048,2,"14768","ENSMUST00000133508.1",18352,"ENSMUSG00000026000","Lancl1","LanC (bacterial lantibiotic synthetase component C)-like 1",-0.125372378,0.551021845
"chr1",36580271,36581104,834,"*","mecp2_peak_35",-0.02902739,0.921899118,"Intron (ENSMUST00000170295.7/381337, intron 11 of 14)",1,36564867,36587687,22821,2,"381337","ENSMUST00000193155.5",6583,"ENSMUSG00000046337","Fam178b","family with sequence similarity 178, member B",-0.02902739,0.921899118
"chr1",93144019,93145323,1305,"*","mecp2_peak_36",-0.028822474,0.921860715,"3' UTR",1,93139879,93145417,5539,1,"11611","ENSMUST00000190603.1",4140,"ENSMUSG00000026272","Agxt","alanine-glyoxylate aminotransferase",-0.028822474,0.921860715
"chr1",180228927,180230216,1290,"*","mecp2_peak_37",-0.145787471,0.482324048,"Promoter (<=1kb)",1,180227004,180230065,3062,2,"19165","ENSMUST00000130711.7",0,"ENSMUSG00000010609","Psen2","presenilin 2",-0.145787471,0.482324048
"chr1",22991015,22991475,461,"*","mecp2_peak_38",2.654411262,8.64e-12,"Distal Intergenic",1,23100473,23102253,1781,2,"66755","ENSMUST00000073179.5",110778,"ENSMUSG00000073730","Ppp1r14bl","protein phosphatase 1, regulatory inhibitor subunit 14B like",2.654411262,8.64e-12
"chr1",109490054,109491061,1008,"*","mecp2_peak_39",2.118464214,2.95e-08,"Distal Intergenic",1,109982431,109995955,13525,1,"241201","ENSMUST00000137092.7",-491370,"ENSMUSG00000026312","Cdh7","cadherin 7, type 2",2.118464214,2.95e-08
"chr1",92473283,92474364,1082,"*","mecp2_peak_40",-0.034616685,0.903133439,"Promoter (<=1kb)",1,92439010,92473860,34851,2,"67273","ENSMUST00000027478.6",0,"ENSMUSG00000026260","Ndufa10","NADH:ubiquinone oxidoreductase subunit A10",-0.034616685,0.903133439
"chr1",191312252,191313413,1162,"*","mecp2_peak_41",-0.005671287,0.988731231,"Intron (ENSMUST00000046770.9/66208, intron 1 of 3)",1,191306789,191318194,11406,2,"66208","ENSMUST00000046770.9",4781,"ENSMUSG00000037499","Nenf","neuron derived neurotrophic factor",-0.005671287,0.988731231
"chr1",106035067,106036426,1360,"*","mecp2_peak_42",0.254345157,0.24422022,"Distal Intergenic",1,106011744,106023258,11515,1,"227449","ENSMUST00000131830.2",23323,"ENSMUSG00000038866","Zcchc2","zinc finger, CCHC domain containing 2",0.254345157,0.24422022
"chr1",76717217,76718924,1708,"*","mecp2_peak_43",0.263710897,0.22398669,"Distal Intergenic",1,76509560,76509643,84,1,"102465175","ENSMUST00000183584.1",207657,"ENSMUSG00000098611","Mir6343","microRNA 6343",0.263710897,0.22398669
"chr1",126463169,126463662,494,"*","mecp2_peak_44",0.448451314,0.102817902,"Intron (ENSMUST00000161954.7/210356, intron 1 of 14)",1,125914743,126448456,533714,2,"210356","ENSMUST00000057846.14",-14713,"ENSMUSG00000049690","Nckap5","NCK-associated protein 5",0.448451314,0.102817902
"chr1",132628760,132630504,1745,"*","mecp2_peak_45",-0.014267837,0.966201322,"Intron (ENSMUST00000094569.10/269116, intron 8 of 29)",1,132619380,132624512,5133,2,"269116","ENSMUST00000191294.1",-4248,"ENSMUSG00000026442","Nfasc","neurofascin",-0.014267837,0.966201322
"chr1",154181124,154182766,1643,"*","mecp2_peak_46",-0.089430181,0.6828539,"Distal Intergenic",1,154201187,154205689,4503,1,"100503355","ENSMUST00000086195.6",-18421,"ENSMUSG00000066797","Zfp648","zinc finger protein 648",-0.089430181,0.6828539
"chr1",93376169,93377798,1630,"*","mecp2_peak_47",-0.116984148,0.597595417,"Exon (ENSMUST00000058682.10/404545, exon 3 of 24)",1,93373930,93404303,30374,1,"404545","ENSMUST00000186641.6",2239,"ENSMUSG00000034107","Ano7","anoctamin 7",-0.116984148,0.597595417
"chr1",13317812,13318874,1063,"*","mecp2_peak_48",-0.122518035,0.571711839,"Intron (ENSMUST00000081713.10/17978, intron 1 of 21)",1,13190106,13299722,109617,2,"17978","ENSMUST00000145280.1",-18090,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2",-0.122518035,0.571711839
"chr1",185862775,185864193,1419,"*","mecp2_peak_49",-0.020318571,0.948239435,"Distal Intergenic",1,186088533,186117288,28756,2,"226791","ENSMUST00000195481.1",253095,"ENSMUSG00000039246","Lyplal1","lysophospholipase-like 1",-0.020318571,0.948239435
"chr1",165662684,165664075,1392,"*","mecp2_peak_50",0.012422707,0.970993646,"Exon (ENSMUST00000040357.10/226594, exon 3 of 7)",1,165593654,165634538,40885,2,"68481","ENSMUST00000193023.1",-28146,"ENSMUSG00000026566","Mpzl1","myelin protein zero-like 1",0.012422707,0.970993646
"chr1",172555799,172557204,1406,"*","mecp2_peak_51",-0.096022157,0.673435497,"Promoter (<=1kb)",1,172555938,172563717,7780,1,"240916","ENSMUST00000061835.9",0,"ENSMUSG00000049598","Vsig8","V-set and immunoglobulin domain containing 8",-0.096022157,0.673435497
"chr1",161070372,161071704,1333,"*","mecp2_peak_52",-0.065315782,0.781631779,"Promoter (<=1kb)",1,161040601,161070658,30058,2,"226539","ENSMUST00000035430.3",0,"ENSMUSG00000026709","Dars2","aspartyl-tRNA synthetase 2 (mitochondrial)",-0.065315782,0.781631779
"chr1",91434388,91435711,1324,"*","mecp2_peak_53",-0.007644066,0.983983092,"Exon (ENSMUST00000069620.9/18627, exon 10 of 23)",1,91447722,91449865,2144,2,"18627","ENSMUST00000185298.1",14154,"ENSMUSG00000055866","Per2","period circadian clock 2",-0.007644066,0.983983092
"chr1",61379299,61380723,1425,"*","mecp2_peak_54",0.104246891,0.631281853,"Promoter (<=1kb)",1,61378432,61395904,17473,1,"77341","ENSMUST00000141000.1",867,"ENSMUSG00000085447","9530026F06Rik","RIKEN cDNA 9530026F06 gene",0.104246891,0.631281853
"chr1",133820847,133822172,1326,"*","mecp2_peak_55",-0.197041956,0.379783936,"Distal Intergenic",1,133699457,133801041,101585,2,"381290","ENSMUST00000143567.7",-19806,"ENSMUSG00000026463","Atp2b4","ATPase, Ca++ transporting, plasma membrane 4",-0.197041956,0.379783936
"chr1",79437824,79439762,1939,"*","mecp2_peak_56",1.090427615,0.001123428,"Promoter (<=1kb)",1,79434669,79440042,5374,2,"20254","ENSMUST00000185234.1",280,"ENSMUSG00000050711","Scg2","secretogranin II",1.090427615,0.001123428
"chr1",166251963,166253175,1213,"*","mecp2_peak_57",-0.34129499,0.175191111,"Promoter (<=1kb)",1,166254139,166316823,62685,1,"100039795","ENSMUST00000111416.6",-964,"ENSMUSG00000040612","Ildr2","immunoglobulin-like domain containing receptor 2",-0.34129499,0.175191111
"chr1",129272117,129273194,1078,"*","mecp2_peak_58",-0.03562709,0.896316792,"Promoter (<=1kb)",1,129273302,129431058,157757,1,"210417","ENSMUST00000148051.1",-108,"ENSMUSG00000042581","Thsd7b","thrombospondin, type I, domain containing 7B",-0.03562709,0.896316792
"chr1",133086767,133087788,1022,"*","mecp2_peak_59",-0.097370711,0.653301903,"Exon (ENSMUST00000077730.6/240752, exon 15 of 33)",1,133046012,133108687,62676,1,"240752","ENSMUST00000077730.6",40755,"ENSMUSG00000026447","Pik3c2b","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta",-0.097370711,0.653301903
"chr1",178967468,178968817,1350,"*","mecp2_peak_60",-0.046378835,0.859846208,"Intron (ENSMUST00000128302.7/69726, intron 11 of 11)",1,178957250,178989345,32096,2,"69726","ENSMUST00000129393.1",20528,"ENSMUSG00000055067","Smyd3","SET and MYND domain containing 3",-0.046378835,0.859846208
"chr1",88780131,88781095,965,"*","mecp2_peak_61",-0.083140692,0.713466108,"Distal Intergenic",1,88754954,88755709,756,1,"78650","ENSMUST00000180596.1",25177,"ENSMUSG00000097398","Platr5","pluripotency associated transcript 5",-0.083140692,0.713466108
"chr1",168318291,168320221,1931,"*","mecp2_peak_62",-0.042857532,0.870239887,"Intron (ENSMUST00000188912.6/18514, intron 2 of 7)",1,168158732,168431504,272773,2,"18514","ENSMUST00000064438.10",111283,"ENSMUSG00000052534","Pbx1","pre B cell leukemia homeobox 1",-0.042857532,0.870239887
"chr1",189769010,189770131,1122,"*","mecp2_peak_63",-0.045783041,0.859128285,"Intron (ENSMUST00000097442.8/19250, intron 1 of 18)",1,189786636,189851976,65341,1,"19250","ENSMUST00000128275.1",-16505,"ENSMUSG00000026604","Ptpn14","protein tyrosine phosphatase, non-receptor type 14",-0.045783041,0.859128285
"chr1",172147829,172149031,1203,"*","mecp2_peak_64",-0.021287809,0.945766058,"Promoter (<=1kb)",1,172148084,172194794,46711,1,"98193","ENSMUST00000193638.5",0,"ENSMUSG00000026554","Dcaf8","DDB1 and CUL4 associated factor 8",-0.021287809,0.945766058
"chr1",133068729,133070151,1423,"*","mecp2_peak_65",-0.049523984,0.845574263,"Intron (ENSMUST00000124934.7/240752, intron 2 of 11)",1,133046012,133108687,62676,1,"240752","ENSMUST00000077730.6",22717,"ENSMUSG00000026447","Pik3c2b","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta",-0.049523984,0.845574263
"chr1",89624489,89625448,960,"*","mecp2_peak_66",-0.009242849,0.979497883,"Intron (ENSMUST00000027521.14/347722, intron 3 of 17)",1,89580236,89895277,315042,1,"347722","ENSMUST00000074945.7",44253,"ENSMUSG00000055013","Agap1","ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",-0.009242849,0.979497883
"chr1",195004999,195006678,1680,"*","mecp2_peak_67",-0.321680997,0.165695753,"Intron (ENSMUST00000181226.7/320977, intron 2 of 3)",1,195017398,195036929,19532,1,"320977","ENSMUST00000181273.6",-10720,"ENSMUSG00000096929","A330023F24Rik","RIKEN cDNA A330023F24 gene",-0.321680997,0.165695753
"chr1",76980614,76982448,1835,"*","mecp2_peak_68",0.351171469,0.179286828,"Intron (ENSMUST00000191156.1/ENSMUST00000191156.1, intron 1 of 1)",1,77373613,77377607,3995,2,"13838","ENSMUST00000187346.1",395159,"ENSMUSG00000026235","Epha4","Eph receptor A4",0.351171469,0.179286828
"chr1",159817954,159819746,1793,"*","mecp2_peak_69",0.116834725,0.579801901,"Intron (ENSMUST00000192069.5/21960, intron 2 of 22)",1,159850397,159863649,13253,1,"21960","ENSMUST00000192457.1",-30651,"ENSMUSG00000015829","Tnr","tenascin R",0.116834725,0.579801901
"chr1",135827292,135828337,1046,"*","mecp2_peak_70",-0.063257079,0.793811177,"Promoter (1-2kb)",1,135829995,135832707,2713,1,"16763","ENSMUST00000190773.6",-1658,"ENSMUSG00000041782","Lad1","ladinin",-0.063257079,0.793811177
"chr1",185203656,185204667,1012,"*","mecp2_peak_71",-0.272345431,0.213993657,"Promoter (<=1kb)",1,185204117,185284185,80069,1,"98732","ENSMUST00000194740.5",0,"ENSMUSG00000039318","Rab3gap2","RAB3 GTPase activating protein subunit 2",-0.272345431,0.213993657
"chr1",28211190,28211584,395,"*","mecp2_peak_72",2.427886762,2.66e-11,"Distal Intergenic",1,27884046,27902396,18351,1,"433281","ENSMUST00000185409.1",327144,NA,"Gm5524","predicted gene 5524",2.427886762,2.66e-11
"chr1",152515244,152516825,1582,"*","mecp2_peak_73",-0.023866818,0.937009941,"3' UTR",1,152557543,152592759,35217,2,"19731","ENSMUST00000128251.7",75934,"ENSMUSG00000026482","Rgl1","ral guanine nucleotide dissociation stimulator,-like 1",-0.023866818,0.937009941
"chr1",34200291,34201728,1438,"*","mecp2_peak_74",-0.016974689,0.958130491,"Exon (ENSMUST00000183034.4/13518, exon 47 of 103)",1,34236596,34274283,37688,1,"13518","ENSMUST00000194192.2",-34868,"ENSMUSG00000026131","Dst","dystonin",-0.016974689,0.958130491
"chr1",120924141,120926123,1983,"*","mecp2_peak_75",-0.089809863,0.696830934,"Distal Intergenic",1,121087405,121120956,33552,1,"98452","ENSMUST00000181433.7",-161282,"ENSMUSG00000097881","Celrr","cerebellum expressed regulatory RNA",-0.089809863,0.696830934
"chr1",165857411,165858611,1201,"*","mecp2_peak_76",-0.081984216,0.720344715,"Promoter (<=1kb)",1,165858216,165861555,3340,1,"12503","ENSMUST00000159070.2",0,"ENSMUSG00000005763","Cd247","CD247 antigen",-0.081984216,0.720344715
"chr1",179073268,179074479,1212,"*","mecp2_peak_77",0.080502085,0.720952784,"Intron (ENSMUST00000128302.7/69726, intron 8 of 11)",1,178957250,178989345,32096,2,"69726","ENSMUST00000129393.1",-83923,"ENSMUSG00000055067","Smyd3","SET and MYND domain containing 3",0.080502085,0.720952784
"chr1",138847822,138849069,1248,"*","mecp2_peak_78",-0.075531003,0.747973373,"Promoter (<=1kb)",1,138825186,138848577,23392,2,"16876","ENSMUST00000112030.8",0,"ENSMUSG00000019230","Lhx9","LIM homeobox protein 9",-0.075531003,0.747973373
"chr1",190505306,190507267,1962,"*","mecp2_peak_79",-0.006197204,0.987572189,"Distal Intergenic",1,190403645,190417145,13501,1,"433390","ENSMUST00000193966.1",101661,"ENSMUSG00000103644","Gm29678","predicted gene, 29678",-0.006197204,0.987572189
"chr1",178724007,178725851,1845,"*","mecp2_peak_80",0.10117806,0.637311461,"Intron (ENSMUST00000161017.7/269152, intron 4 of 14)",1,178798438,178932855,134418,1,"269152","ENSMUST00000160789.1",-72587,"ENSMUSG00000026494","Kif26b","kinesin family member 26B",0.10117806,0.637311461
"chr1",121177136,121178702,1567,"*","mecp2_peak_81",-0.074081665,0.742846632,"Exon (ENSMUST00000185678.1/98452, exon 3 of 3)",1,121087529,121088932,1404,1,"98452","ENSMUST00000181183.2",89607,"ENSMUSG00000097881","Celrr","cerebellum expressed regulatory RNA",-0.074081665,0.742846632
"chr1",155524413,155525224,812,"*","mecp2_peak_82",-0.087795619,0.698227229,"Promoter (1-2kb)",1,155520173,155527111,6939,2,"433367","ENSMUST00000097531.2",1887,"ENSMUSG00000073535","Gm5532","predicted gene 5532",-0.087795619,0.698227229
"chr1",193296152,193297337,1186,"*","mecp2_peak_83",0.742303065,0.010189181,"Intron (ENSMUST00000194677.5/16780, intron 5 of 26)",1,193301993,193343878,41886,1,"16780","ENSMUST00000016315.15",-4656,"ENSMUSG00000026639","Lamb3","laminin, beta 3",0.742303065,0.010189181
"chr1",138564422,138565580,1159,"*","mecp2_peak_84",-0.100303807,0.668183407,"Intron (ENSMUST00000186017.6/59125, intron 1 of 9)",1,138484112,138619674,135563,2,"59125","ENSMUST00000027642.4",54094,"ENSMUSG00000026393","Nek7","NIMA (never in mitosis gene a)-related expressed kinase 7",-0.100303807,0.668183407
"chr1",190969780,190970605,826,"*","mecp2_peak_85",-0.083410013,0.714614122,"Exon (ENSMUST00000166139.6/226841, exon 3 of 8)",1,190947648,190979002,31355,2,"226841","ENSMUST00000047409.8",8397,"ENSMUSG00000037568","Vash2","vasohibin 2",-0.083410013,0.714614122
"chr1",118841427,118842568,1142,"*","mecp2_peak_86",0.002847117,0.994228663,"Exon (ENSMUST00000062483.14/14633, exon 12 of 14)",1,118954220,118954300,81,1,"102465176","ENSMUST00000183982.1",-111652,"ENSMUSG00000098273","Mir6346","microRNA 6346",0.002847117,0.994228663
"chr1",189586988,189588442,1455,"*","mecp2_peak_87",0.008525171,0.981570549,"Distal Intergenic",1,189642696,189648856,6161,2,"108000","ENSMUST00000165798.1",60414,"ENSMUSG00000026605","Cenpf","centromere protein F",0.008525171,0.981570549
"chr1",170666062,170667374,1313,"*","mecp2_peak_88",0.033246834,0.906346352,"Exon (ENSMUST00000046792.8/320078, exon 5 of 8)",1,170644532,170682789,38258,1,"320078","ENSMUST00000046792.8",21530,"ENSMUSG00000038463","Olfml2b","olfactomedin-like 2B",0.033246834,0.906346352
"chr1",159656579,159658030,1452,"*","mecp2_peak_89",-0.092868256,0.676298187,"Intron (ENSMUST00000192069.5/21960, intron 1 of 22)",1,159737510,159924397,186888,1,"21960","ENSMUST00000111669.8",-79480,"ENSMUSG00000015829","Tnr","tenascin R",-0.092868256,0.676298187
"chr1",73616080,73617137,1058,"*","mecp2_peak_90",1.148151624,0.000716543,"Distal Intergenic",1,73618088,73743947,125860,2,"109198","ENSMUST00000191114.6",126810,"ENSMUSG00000100301","6030407O03Rik","RIKEN cDNA 6030407O03 gene",1.148151624,0.000716543
"chr1",192380538,192381285,748,"*","mecp2_peak_91",0.053250596,0.832424567,"Intron (ENSMUST00000078470.11/16510, intron 7 of 10)",1,192434740,192510159,75420,1,"16510","ENSMUST00000151152.2",-53455,"ENSMUSG00000058248","Kcnh1","potassium voltage-gated channel, subfamily H (eag-related), member 1",0.053250596,0.832424567
"chr1",89419126,89420224,1099,"*","mecp2_peak_92",-0.082691222,0.714075452,"Distal Intergenic",1,89360342,89406133,45792,2,"77331","ENSMUST00000186258.1",-12993,"ENSMUSG00000099938","C030007H22Rik","RIKEN cDNA C030007H22 gene",-0.082691222,0.714075452
"chr1",172221001,172221851,851,"*","mecp2_peak_93",0.010728241,0.975448438,"Promoter (1-2kb)",1,172209894,172219868,9975,2,"12372","ENSMUST00000003554.10",-1133,"ENSMUSG00000007122","Casq1","calsequestrin 1",0.010728241,0.975448438
"chr1",3671775,3672584,810,"*","mecp2_peak_94",0.028740125,0.92178527,"Promoter (<=1kb)",1,3214482,3671498,457017,2,"497097","ENSMUST00000070533.4",-277,"ENSMUSG00000051951","Xkr4","X-linked Kx blood group related 4",0.028740125,0.92178527
"chr1",54772993,54774899,1907,"*","mecp2_peak_95",0.070910682,0.759567016,"Intron (ENSMUST00000179030.7/329154, intron 4 of 27)",1,54760569,54768827,8259,2,"329154","ENSMUST00000180189.7",-4166,"ENSMUSG00000052331","Ankrd44","ankyrin repeat domain 44",0.070910682,0.759567016
