gene_name	chr	mch_hyper	k119ub_gained_at_anchor
Ak8	chr2	FALSE	FALSE
Akap9	chr5	FALSE	TRUE
Akirin2	chr4	FALSE	FALSE
Alk	chr17	FALSE	FALSE
Alkbh8	chr9	FALSE	FALSE
Allc	chr12	FALSE	TRUE
Alpi	chr1	FALSE	FALSE
Alpk1	chr3	FALSE	FALSE
Alpk2	chr18	FALSE	TRUE
Als2cl	chr9	FALSE	FALSE
Alx1	chr10	FALSE	FALSE
Alx4	chr2	FALSE	FALSE
Ammecr1l	chr18	FALSE	TRUE
Anapc1	chr2	FALSE	FALSE
Angpt1	chr15	FALSE	TRUE
Ankmy2	chr12	FALSE	TRUE
Ankra2	chr13	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ankrd24	chr10	FALSE	FALSE
Ankrd31	chr13	FALSE	FALSE
Ankrd42	chr7	FALSE	FALSE
Ankrd60	chr2	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Anks1b	chr10	FALSE	FALSE
Anks6	chr4	FALSE	FALSE
Ano1	chr7	FALSE	FALSE
Ano10	chr9	FALSE	FALSE
Ano2	chr6	FALSE	FALSE
Ano3	chr2	TRUE	FALSE
Antxr1	chr6	FALSE	FALSE
Anxa2	chr9	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Apc	chr18	FALSE	FALSE
Aph1b	chr9	FALSE	FALSE
Apobec2	chr17	FALSE	FALSE
Arap1	chr7	FALSE	FALSE
Arfip1	chr3	FALSE	TRUE
Arhgap10	chr8	FALSE	FALSE
Arhgap22	chr14	FALSE	FALSE
Arhgap24	chr5	FALSE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap28	chr17	FALSE	FALSE
Arhgap32	chr9	FALSE	FALSE
Arhgap40	chr2	FALSE	FALSE
Arhgef10	chr8	FALSE	TRUE
Arhgef16	chr4	FALSE	FALSE
Arhgef5	chr6	FALSE	TRUE
Arhgef7	chr8	FALSE	TRUE
Arid1b	chr17	FALSE	FALSE
Arl4c	chr1	FALSE	TRUE
Arl4d	chr11	FALSE	FALSE
Arl5b	chr2	FALSE	TRUE
Arl6	chr16	FALSE	TRUE
Arl6ip1	chr7	FALSE	FALSE
Armc10	chr5	FALSE	TRUE
Arrdc3	chr13	FALSE	TRUE
Art4	chr6	FALSE	FALSE
As3mt	chr19	FALSE	FALSE
Asap1	chr15	FALSE	TRUE
Asap2	chr12	FALSE	FALSE
Asb4	chr6	FALSE	FALSE
Asic2	chr11	FALSE	FALSE
Aste1	chr9	FALSE	FALSE
Astn1	chr1	FALSE	FALSE
Ate1	chr7	FALSE	FALSE
Atf6	chr1	FALSE	FALSE
Atg2b	chr12	FALSE	FALSE
Atg5	chr10	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Atp11a	chr8	FALSE	FALSE
Atp2b4	chr1	FALSE	FALSE
Atp2c1	chr9	FALSE	FALSE
Atp5o	chr16	FALSE	FALSE
Atp6v0a4	chr6	FALSE	FALSE
Atp6v1b1	chr6	FALSE	FALSE
Atp6v1e1	chr6	FALSE	FALSE
Atp7b	chr8	FALSE	FALSE
Atp8a1	chr5	FALSE	TRUE
Atp8b1	chr18	FALSE	FALSE
Atp9b	chr18	FALSE	FALSE
Atrnl1	chr19	FALSE	FALSE
Atxn7	chr14	FALSE	FALSE
Auts2	chr5	FALSE	FALSE
Aven	chr2	FALSE	FALSE
Avpr1a	chr10	FALSE	FALSE
B230118H07Rik	chr2	TRUE	TRUE
B3galnt2	chr13	FALSE	TRUE
B3galt1	chr2	FALSE	TRUE
B4galnt3	chr6	FALSE	FALSE
B4galt2	chr4	FALSE	FALSE
Bag2	chr1	FALSE	FALSE
Barhl1	chr2	FALSE	FALSE
Barx1	chr13	FALSE	FALSE
Basp1	chr15	TRUE	TRUE
Bbs9	chr9	FALSE	FALSE
Bbx	chr16	FALSE	TRUE
Bcar3	chr3	FALSE	TRUE
Bcas1	chr2	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Bccip	chr7	FALSE	FALSE
Bcl10	chr3	FALSE	TRUE
Bcl11a	chr11	TRUE	TRUE
Bcl2l14	chr6	FALSE	FALSE
Bcl6	chr16	FALSE	FALSE
Bdh2	chr3	FALSE	FALSE
Bdkrb2	chr12	FALSE	FALSE
Bdnf	chr2	TRUE	TRUE
Bhlhe23	chr2	FALSE	FALSE
Bicc1	chr10	FALSE	FALSE
Birc2	chr9	FALSE	FALSE
Birc3	chr9	FALSE	FALSE
Birc6	chr17	FALSE	FALSE
Blk	chr14	FALSE	FALSE
Bmp2	chr2	FALSE	FALSE
Bmp2k	chr5	FALSE	FALSE
Bmp5	chr9	FALSE	TRUE
Bmpr1b	chr3	FALSE	FALSE
Borcs7	chr19	FALSE	FALSE
Brinp1	chr4	FALSE	FALSE
Brinp2	chr1	TRUE	TRUE
Brinp3	chr1	TRUE	TRUE
Brip1	chr11	FALSE	FALSE
Brix1	chr15	FALSE	TRUE
Bst1	chr5	FALSE	TRUE
Bsx	chr9	FALSE	FALSE
Btbd3	chr2	TRUE	TRUE
Btf3	chr13	FALSE	FALSE
Btg1	chr10	FALSE	TRUE
Bub1	chr2	FALSE	FALSE
Bub1b	chr2	FALSE	FALSE
Bzw2	chr12	FALSE	TRUE
C1d	chr11	FALSE	FALSE
C530008M17Rik	chr5	FALSE	TRUE
Cab39l	chr14	FALSE	FALSE
Cabin1	chr10	TRUE	FALSE
Cables2	chr2	FALSE	FALSE
Cabyr	chr18	FALSE	TRUE
Cacfd1	chr2	FALSE	FALSE
Cacna1e	chr1	FALSE	FALSE
Cacna1h	chr17	FALSE	FALSE
Cacna2d1	chr5	FALSE	FALSE
Cacna2d3	chr14	FALSE	TRUE
Cacybp	chr1	FALSE	FALSE
Cadm2	chr16	TRUE	TRUE
Cadps2	chr6	FALSE	FALSE
Calm1	chr12	FALSE	FALSE
Camk1d	chr2	FALSE	FALSE
Capn8	chr1	FALSE	FALSE
Capsl	chr15	TRUE	TRUE
Capza2	chr6	FALSE	TRUE
Car10	chr11	FALSE	FALSE
Car12	chr9	FALSE	FALSE
Cask	chrX	FALSE	FALSE
Casq2	chr3	FALSE	FALSE
Catspere2	chr1	FALSE	FALSE
Catsperg2	chr7	FALSE	FALSE
Cavin4	chr4	FALSE	FALSE
Cbfb	chr8	FALSE	FALSE
Cblif	chr19	FALSE	FALSE
Cbwd1	chr19	FALSE	FALSE
Cbx3	chr6	FALSE	FALSE
Ccdc12	chr9	FALSE	FALSE
Ccdc146	chr5	FALSE	TRUE
Ccdc150	chr1	FALSE	FALSE
Ccdc171	chr4	FALSE	FALSE
Ccdc177	chr12	FALSE	FALSE
Ccdc180	chr4	FALSE	FALSE
Ccdc190	chr1	FALSE	TRUE
Ccdc192	chr18	TRUE	TRUE
Ccdc24	chr4	FALSE	FALSE
Ccdc27	chr4	FALSE	FALSE
Ccdc50	chr16	FALSE	FALSE
Ccdc73	chr2	FALSE	FALSE
Ccdc77	chr6	FALSE	FALSE
Ccn4	chr15	FALSE	FALSE
Ccnh	chr13	FALSE	FALSE
Ccser1	chr6	FALSE	FALSE
Cd1d1	chr3	FALSE	FALSE
Cd209c	chr8	FALSE	FALSE
Cd247	chr1	FALSE	FALSE
Cd24a	chr10	FALSE	FALSE
Cd2ap	chr17	FALSE	FALSE
Cd37	chr7	FALSE	FALSE
Cd40	chr2	TRUE	TRUE
Cdadc1	chr14	FALSE	FALSE
Cdc42ep1	chr15	FALSE	FALSE
Cdh10	chr15	TRUE	TRUE
Cdh11	chr8	FALSE	FALSE
Cdh13	chr8	FALSE	FALSE
Cdh18	chr15	FALSE	TRUE
Cdh20	chr1	TRUE	FALSE
Cdh23	chr10	FALSE	FALSE
Cdh4	chr2	FALSE	TRUE
Cdh7	chr1	TRUE	TRUE
Cdh8	chr8	FALSE	TRUE
Cdk14	chr5	FALSE	TRUE
Cdk5rap2	chr4	FALSE	TRUE
Cdk6	chr5	FALSE	FALSE
Cdkal1	chr13	FALSE	FALSE
Cdkn2a	chr4	FALSE	FALSE
Cdnf	chr2	FALSE	TRUE
Cds2	chr2	FALSE	FALSE
Cebpb	chr2	FALSE	FALSE
Cecr2	chr6	FALSE	FALSE
Celf2	chr2	FALSE	TRUE
Cemip	chr7	FALSE	FALSE
Cenpc1	chr5	FALSE	TRUE
Cenpq	chr17	FALSE	FALSE
Cep120	chr18	FALSE	TRUE
Cep128	chr12	TRUE	FALSE
Cep135	chr5	FALSE	FALSE
Cep192	chr18	FALSE	FALSE
Cep295	chr9	FALSE	FALSE
Cep85l	chr10	FALSE	FALSE
Ces1a	chr8	FALSE	FALSE
Ces2a	chr8	FALSE	FALSE
Cetn3	chr13	FALSE	TRUE
Cfap43	chr19	FALSE	FALSE
Cfap54	chr10	FALSE	FALSE
Cfap77	chr2	FALSE	FALSE
Cfh	chr1	FALSE	FALSE
Cgas	chr9	FALSE	FALSE
Chchd6	chr6	TRUE	TRUE
Chd1	chr17	FALSE	FALSE
Chd1l	chr3	FALSE	FALSE
Chn1	chr2	FALSE	FALSE
Chordc1	chr9	FALSE	FALSE
Chrm2	chr6	FALSE	TRUE
Chrm3	chr13	TRUE	TRUE
Chrna4	chr2	FALSE	FALSE
Chst10	chr1	FALSE	FALSE
Chst9	chr18	TRUE	FALSE
Cited2	chr10	FALSE	TRUE
Ckap5	chr2	FALSE	FALSE
Clasp1	chr1	FALSE	FALSE
Clcn3	chr8	FALSE	FALSE
Cldn14	chr16	FALSE	FALSE
Cldnd1	chr16	FALSE	TRUE
Clec16a	chr16	FALSE	FALSE
Clhc1	chr11	FALSE	FALSE
Clic4	chr4	FALSE	FALSE
Clip4	chr17	FALSE	FALSE
Clmn	chr12	FALSE	TRUE
Clstn2	chr9	FALSE	FALSE
Cluap1	chr16	FALSE	FALSE
Clybl	chr14	TRUE	TRUE
Cmah	chr13	FALSE	FALSE
Cmss1	chr16	FALSE	FALSE
Cnga2	chrX	FALSE	TRUE
Cnr1	chr4	FALSE	FALSE
Cntn4	chr6	TRUE	TRUE
Cntn5	chr9	TRUE	TRUE
Cntnap2	chr6	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Cobl	chr11	TRUE	TRUE
Cobll1	chr2	TRUE	TRUE
Cog5	chr12	TRUE	TRUE
Cog7	chr7	FALSE	FALSE
Col13a1	chr10	FALSE	FALSE
Col15a1	chr4	TRUE	TRUE
Col18a1	chr10	FALSE	TRUE
Col1a1	chr11	FALSE	FALSE
Col22a1	chr15	FALSE	FALSE
Col23a1	chr11	FALSE	FALSE
Col24a1	chr3	FALSE	TRUE
Col25a1	chr3	FALSE	TRUE
Col26a1	chr5	FALSE	FALSE
Col4a2	chr8	FALSE	FALSE
Col4a3	chr1	FALSE	FALSE
Col4a4	chr1	FALSE	FALSE
Col5a1	chr2	FALSE	FALSE
Col6a3	chr1	FALSE	FALSE
Col6a5	chr9	FALSE	FALSE
Col6a6	chr9	FALSE	FALSE
Col8a1	chr16	FALSE	FALSE
Colec10	chr15	FALSE	FALSE
Colec11	chr12	FALSE	TRUE
Commd10	chr18	FALSE	FALSE
Copz2	chr11	FALSE	FALSE
Coq2	chr5	FALSE	FALSE
Coq7	chr7	FALSE	FALSE
Corin	chr5	FALSE	FALSE
Coro2a	chr4	FALSE	FALSE
Cox4i1	chr8	FALSE	FALSE
Cox5a	chr9	FALSE	FALSE
Cox6c	chr15	FALSE	FALSE
Cox7c	chr13	FALSE	FALSE
Cpeb2	chr5	FALSE	TRUE
Cpne3	chr4	FALSE	FALSE
Cpne4	chr9	FALSE	FALSE
Cpox	chr16	FALSE	FALSE
Cpz	chr5	FALSE	FALSE
Cracr2a	chr6	FALSE	FALSE
Crb2	chr2	FALSE	TRUE
Crbn	chr6	FALSE	TRUE
Creg1	chr1	FALSE	FALSE
Crlf2	chr5	FALSE	FALSE
Crmp1	chr5	FALSE	FALSE
Crtac1	chr19	FALSE	FALSE
Crtam	chr9	FALSE	FALSE
Crtap	chr9	FALSE	FALSE
Cryge	chr1	FALSE	TRUE
Cryl1	chr14	FALSE	FALSE
Csf2rb	chr15	FALSE	FALSE
Csmd1	chr8	FALSE	TRUE
Csmd2	chr4	FALSE	FALSE
Csmd3	chr15	FALSE	TRUE
Csnk1g3	chr18	FALSE	FALSE
Cspg4	chr9	FALSE	FALSE
Csrp1	chr1	FALSE	FALSE
Cstdc2	chr2	FALSE	FALSE
Cstl1	chr2	FALSE	TRUE
Ctnna3	chr10	TRUE	TRUE
Ctnnd2	chr15	FALSE	FALSE
Ctr9	chr7	FALSE	FALSE
Cttn	chr7	FALSE	FALSE
Cttnbp2	chr6	FALSE	FALSE
Cwc22	chr2	FALSE	FALSE
Cwc27	chr13	TRUE	TRUE
Cx3cl1	chr8	FALSE	FALSE
Cxcl14	chr13	FALSE	FALSE
Cxcl2	chr5	FALSE	FALSE
Cyb561	chr11	FALSE	FALSE
Cyld	chr8	FALSE	FALSE
Cyp19a1	chr9	FALSE	FALSE
Cyp26a1	chr19	FALSE	FALSE
Cyp26b1	chr6	FALSE	FALSE
Cyp4f39	chr17	FALSE	FALSE
Cyth4	chr15	FALSE	FALSE
Cytip	chr2	TRUE	TRUE
D10Wsu102e	chr10	FALSE	FALSE
D430019H16Rik	chr12	FALSE	FALSE
D630039A03Rik	chr4	FALSE	FALSE
D6Ertd527e	chr6	FALSE	FALSE
D7Ertd443e	chr7	TRUE	TRUE
D930020B18Rik	chr10	TRUE	FALSE
Dact2	chr17	FALSE	FALSE
Dars	chr1	FALSE	FALSE
Daw1	chr1	TRUE	FALSE
Dbi	chr1	FALSE	TRUE
Dcaf1	chr9	FALSE	FALSE
Dcbld2	chr16	FALSE	TRUE
Dcdc2c	chr12	FALSE	FALSE
Dchs2	chr3	FALSE	FALSE
Dctd	chr8	FALSE	TRUE
Dcun1d4	chr5	FALSE	FALSE
Ddias	chr7	FALSE	TRUE
Ddx31	chr2	FALSE	FALSE
Ddx3x	chrX	FALSE	FALSE
Dennd1b	chr1	FALSE	FALSE
Depdc1a	chr3	FALSE	FALSE
Depdc1b	chr13	FALSE	FALSE
Derl1	chr15	FALSE	FALSE
Derl3	chr10	FALSE	FALSE
Dgkb	chr12	TRUE	TRUE
Dgki	chr6	FALSE	TRUE
Dglucy	chr12	TRUE	FALSE
Dhcr7	chr7	FALSE	FALSE
Dhfr	chr13	FALSE	TRUE
Dhrs3	chr4	FALSE	FALSE
Dhrs7c	chr11	FALSE	FALSE
Dhx32	chr7	TRUE	FALSE
Dhx9	chr1	FALSE	FALSE
Dicer1	chr12	FALSE	TRUE
Dip2c	chr13	FALSE	FALSE
Dipk2a	chr9	FALSE	TRUE
Dlg2	chr7	TRUE	TRUE
Dlgap2	chr8	TRUE	TRUE
Dll1	chr17	FALSE	TRUE
Dlx1	chr2	FALSE	FALSE
Dlx2	chr2	FALSE	FALSE
Dlx6	chr6	FALSE	FALSE
Dmrt1	chr19	FALSE	FALSE
Dmrt3	chr19	FALSE	FALSE
Dnah5	chr15	TRUE	FALSE
Dner	chr1	FALSE	FALSE
Dock11	chrX	FALSE	FALSE
Dock2	chr11	FALSE	FALSE
Dock3	chr9	FALSE	FALSE
Dop1a	chr9	FALSE	TRUE
Dph5	chr3	FALSE	FALSE
Dph6	chr2	FALSE	FALSE
Dpp10	chr1	FALSE	FALSE
Dpp4	chr2	FALSE	TRUE
Dpp6	chr5	FALSE	FALSE
Dpp8	chr9	FALSE	FALSE
Dpy19l1	chr9	TRUE	TRUE
Dpy19l3	chr7	FALSE	FALSE
Dram1	chr10	FALSE	FALSE
Drd1	chr13	FALSE	FALSE
Drd3	chr16	FALSE	TRUE
Dscam	chr16	FALSE	TRUE
Dsel	chr1	FALSE	TRUE
Dtd1	chr2	FALSE	TRUE
Dtd2	chr12	TRUE	TRUE
Dtwd2	chr18	FALSE	FALSE
Dusp6	chr10	FALSE	TRUE
Dydc2	chr14	FALSE	FALSE
Dync1i1	chr6	FALSE	TRUE
Dyrk2	chr10	FALSE	TRUE
E030030I06Rik	chr10	FALSE	FALSE
E2f1	chr2	TRUE	FALSE
Ebf3	chr7	FALSE	FALSE
Eef1akmt2	chr7	FALSE	FALSE
Eef1g	chr19	FALSE	FALSE
Efcab5	chr11	FALSE	FALSE
Efcab6	chr15	FALSE	FALSE
Ehbp1	chr11	FALSE	TRUE
Eif1b	chr9	FALSE	FALSE
Eif2ak4	chr2	FALSE	FALSE
Eif3m	chr2	FALSE	FALSE
Eif4e3	chr6	FALSE	FALSE
Eif4g2	chr7	FALSE	FALSE
Elf3	chr1	FALSE	FALSE
Elfn1	chr5	FALSE	FALSE
Elk3	chr10	TRUE	TRUE
Eln	chr5	FALSE	FALSE
Elp4	chr2	TRUE	TRUE
Emc2	chr15	FALSE	FALSE
Emcn	chr3	TRUE	TRUE
Eml4	chr17	FALSE	TRUE
Eml6	chr11	FALSE	FALSE
Emp1	chr6	FALSE	FALSE
Entpd3	chr9	FALSE	FALSE
Eomes	chr9	TRUE	TRUE
Epb41l2	chr10	FALSE	FALSE
Epb41l4a	chr18	FALSE	FALSE
Epg5	chr18	FALSE	FALSE
Epha3	chr16	TRUE	TRUE
Epha5	chr5	TRUE	TRUE
Epha7	chr4	TRUE	TRUE
Epm2a	chr10	FALSE	TRUE
Erc2	chr14	FALSE	FALSE
Ercc4	chr16	FALSE	FALSE
Ercc6	chr14	FALSE	FALSE
Ercc6l	chrX	FALSE	FALSE
Ercc8	chr13	TRUE	TRUE
Erich1	chr8	FALSE	TRUE
Ermard	chr17	FALSE	TRUE
Ern1	chr11	FALSE	FALSE
Espnl	chr1	FALSE	FALSE
Esr1	chr10	FALSE	FALSE
Esrrg	chr1	FALSE	TRUE
Etaa1	chr11	FALSE	FALSE
Etfbkmt	chr6	FALSE	FALSE
Etl4	chr2	FALSE	FALSE
Etnk2	chr1	FALSE	FALSE
Etv1	chr12	FALSE	FALSE
Evc	chr5	FALSE	FALSE
Evx1	chr6	FALSE	FALSE
Evx2	chr2	FALSE	FALSE
Exoc4	chr6	FALSE	FALSE
Ext1	chr15	FALSE	TRUE
Ext2	chr2	FALSE	FALSE
Eya1	chr1	TRUE	TRUE
F3	chr3	FALSE	TRUE
Fadd	chr7	FALSE	FALSE
Fah	chr7	FALSE	FALSE
Fam120b	chr17	FALSE	TRUE
Fam129a	chr1	FALSE	TRUE
Fam133b	chr5	FALSE	FALSE
Fam151b	chr13	FALSE	FALSE
Fam162a	chr16	FALSE	FALSE
Fam167a	chr14	FALSE	FALSE
Fam169a	chr13	TRUE	TRUE
Fam181b	chr7	FALSE	TRUE
Fam185a	chr5	TRUE	TRUE
Fam189a1	chr7	FALSE	FALSE
Fam227b	chr2	FALSE	FALSE
Fam234b	chr6	FALSE	FALSE
Fam3c	chr6	FALSE	FALSE
Fam43a	chr16	FALSE	FALSE
Fam78b	chr1	TRUE	TRUE
Fam81a	chr9	FALSE	FALSE
Fam81b	chr13	TRUE	FALSE
Fancl	chr11	FALSE	FALSE
Fank1	chr7	FALSE	FALSE
Far2	chr6	FALSE	FALSE
Fastkd3	chr13	FALSE	TRUE
Fat1	chr8	FALSE	TRUE
Fat3	chr9	FALSE	TRUE
Fat4	chr3	FALSE	FALSE
Faxc	chr4	FALSE	TRUE
Fbln1	chr15	FALSE	FALSE
Fbp1	chr13	FALSE	FALSE
Fbp2	chr13	FALSE	FALSE
Fbxl13	chr5	FALSE	TRUE
Fbxl14	chr6	FALSE	FALSE
Fbxl7	chr15	TRUE	TRUE
Fbxo3	chr2	FALSE	FALSE
Fbxw11	chr11	FALSE	FALSE
Fbxw7	chr3	FALSE	FALSE
Fcer2a	chr8	FALSE	FALSE
Fcrl5	chr3	FALSE	TRUE
Fech	chr18	FALSE	FALSE
Fer	chr17	FALSE	TRUE
Fermt1	chr2	FALSE	FALSE
Fes	chr7	FALSE	FALSE
Fezf1	chr6	FALSE	FALSE
Fgd4	chr16	FALSE	FALSE
Fgf1	chr18	TRUE	TRUE
Fgf15	chr7	FALSE	FALSE
Fgf3	chr7	FALSE	FALSE
Fgf4	chr7	FALSE	FALSE
Fgfr2	chr7	FALSE	FALSE
Fhl2	chr1	FALSE	FALSE
Fhod3	chr18	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
Filip1	chr9	FALSE	FALSE
Flrt3	chr2	TRUE	FALSE
Fmn2	chr1	FALSE	FALSE
Fmr1	chrX	FALSE	FALSE
Fndc3a	chr14	FALSE	TRUE
Fndc3b	chr3	FALSE	FALSE
Fntb	chr12	TRUE	TRUE
Foxa2	chr2	FALSE	FALSE
Foxc2	chr8	FALSE	FALSE
Foxd1	chr13	FALSE	FALSE
Foxd3	chr4	FALSE	FALSE
Foxf1	chr8	FALSE	FALSE
Foxf2	chr13	FALSE	FALSE
Foxl1	chr8	FALSE	FALSE
Foxl2	chr9	FALSE	FALSE
Frem1	chr4	TRUE	TRUE
Frem2	chr3	FALSE	FALSE
Frmd4a	chr2	FALSE	TRUE
Frmd4b	chr6	FALSE	TRUE
Frmd7	chrX	FALSE	FALSE
Frmpd1	chr4	FALSE	FALSE
Frmpd2	chr14	TRUE	TRUE
Frmpd3	chrX	FALSE	FALSE
Frmpd4	chrX	FALSE	FALSE
Fryl	chr5	FALSE	FALSE
Fsip1	chr2	FALSE	FALSE
Fstl4	chr11	FALSE	FALSE
Furin	chr7	FALSE	FALSE
Fut8	chr12	FALSE	FALSE
Fut9	chr4	FALSE	TRUE
Fzd1	chr5	FALSE	TRUE
Fzd8	chr18	FALSE	TRUE
Gabra1	chr11	FALSE	FALSE
Gabra5	chr7	FALSE	FALSE
Gabrb3	chr7	FALSE	FALSE
Gabrp	chr11	FALSE	FALSE
Gabrr3	chr16	FALSE	FALSE
Gad1	chr2	FALSE	FALSE
Galnt12	chr4	FALSE	FALSE
Galnt18	chr7	FALSE	TRUE
Galnt2l	chr8	FALSE	FALSE
Galnt5	chr2	TRUE	TRUE
Galnt7	chr8	TRUE	TRUE
Galntl6	chr8	TRUE	TRUE
Galr1	chr18	FALSE	FALSE
Gata4	chr14	FALSE	FALSE
Gata6	chr18	FALSE	FALSE
Gca	chr2	FALSE	TRUE
Gclm	chr3	FALSE	FALSE
Gcnt1	chr19	FALSE	FALSE
Gdap2	chr3	FALSE	FALSE
Gde1	chr7	FALSE	FALSE
Gdf10	chr14	FALSE	FALSE
Gdf6	chr4	FALSE	FALSE
Gdnf	chr15	TRUE	FALSE
Gfm2	chr13	FALSE	FALSE
Gfra2	chr14	FALSE	TRUE
Ggh	chr4	FALSE	TRUE
Ghrh	chr2	FALSE	FALSE
Gimap8	chr6	FALSE	FALSE
Gip	chr11	FALSE	FALSE
Gja1	chr10	FALSE	TRUE
Gldn	chr9	FALSE	FALSE
Gli2	chr1	FALSE	FALSE
Glis1	chr4	FALSE	FALSE
Glt1d1	chr5	FALSE	FALSE
Gm10033	chr8	FALSE	TRUE
Gm10037	chr13	FALSE	FALSE
Gm10354	chr5	FALSE	FALSE
Gm1043	chr5	FALSE	FALSE
Gm10767	chr13	FALSE	FALSE
Gm11146	chr16	FALSE	TRUE
Gm11444	chr11	FALSE	FALSE
Gm12695	chr4	TRUE	TRUE
Gm13398	chr2	FALSE	FALSE
Gm17019	chr5	FALSE	FALSE
Gm20431	chr2	FALSE	FALSE
Gm20604	chr12	FALSE	FALSE
Gm20695	chr16	FALSE	FALSE
Gm20696	chr6	FALSE	FALSE
Gm20716	chr2	FALSE	FALSE
Gm21976	chr13	FALSE	FALSE
Gm28040	chr1	FALSE	FALSE
Gm28051	chr12	FALSE	FALSE
Gm28308	chr6	FALSE	FALSE
Gm28557	chr13	FALSE	TRUE
Gm3045	chr13	FALSE	TRUE
Gm3558	chr14	FALSE	FALSE
Gm37240	chr3	TRUE	TRUE
Gm3752	chr14	FALSE	FALSE
Gm38394	chr1	FALSE	FALSE
