gene_name	chr	MeCP2_up	K27me3_up
Sema5b	chr16	FALSE	TRUE
Dapk1	chr13	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	TRUE	FALSE
Fam83g	chr11	FALSE	FALSE
Tbc1d30	chr10	FALSE	TRUE
Col5a1	chr2	FALSE	FALSE
Trp73	chr4	FALSE	TRUE
Kcnn3	chr3	FALSE	FALSE
Dnah11	chr12	TRUE	TRUE
Syt6	chr3	FALSE	TRUE
Lrfn2	chr17	FALSE	FALSE
Nek7	chr1	FALSE	TRUE
Dkk3	chr7	FALSE	TRUE
Zfp423	chr8	FALSE	FALSE
Robo2	chr16	TRUE	TRUE
Nr6a1	chr2	FALSE	TRUE
Cfap61	chr2	FALSE	FALSE
Sh3gl3	chr7	FALSE	FALSE
Hspg2	chr4	FALSE	TRUE
Cenpf	chr1	TRUE	TRUE
Dysf	chr6	FALSE	FALSE
Ppl	chr16	TRUE	FALSE
Rgl1	chr1	FALSE	FALSE
Aff3	chr1	FALSE	TRUE
Tcf20	chr15	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Cdh4	chr2	FALSE	FALSE
Nrp2	chr1	FALSE	FALSE
Togaram2	chr17	FALSE	FALSE
Fsip1	chr2	TRUE	TRUE
Frmd4a	chr2	FALSE	FALSE
Gm1043	chr5	FALSE	FALSE
Marchf4	chr1	FALSE	TRUE
Card11	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Prickle1	chr15	FALSE	FALSE
Fmn1	chr2	FALSE	TRUE
Nav1	chr1	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
Megf6	chr4	TRUE	FALSE
Cntnap5a	chr1	TRUE	FALSE
Cntn4	chr6	FALSE	TRUE
Smad6	chr9	FALSE	FALSE
Tbxas1	chr6	FALSE	TRUE
Tmem132c	chr5	FALSE	TRUE
Myo5b	chr18	FALSE	FALSE
Cdh20	chr1	FALSE	TRUE
Fbln2	chr6	FALSE	FALSE
Arap2	chr5	TRUE	TRUE
Ptgs1	chr2	FALSE	TRUE
Pax5	chr4	FALSE	FALSE
Pnpla7	chr2	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Zswim6	chr13	FALSE	TRUE
Msrb3	chr10	TRUE	FALSE
Osbpl5	chr7	FALSE	FALSE
Skap1	chr11	FALSE	TRUE
Nr3c2	chr8	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Pde11a	chr2	TRUE	FALSE
Mtss1	chr15	FALSE	TRUE
Smad3	chr9	FALSE	FALSE
Prdm16	chr4	FALSE	FALSE
Slc24a2	chr4	FALSE	FALSE
Adarb2	chr13	FALSE	TRUE
Iqgap2	chr13	TRUE	TRUE
Shisal1	chr15	FALSE	FALSE
Zfp462	chr4	FALSE	FALSE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
Slc24a4	chr12	FALSE	FALSE
Lrig2	chr3	FALSE	FALSE
Atrnl1	chr19	TRUE	FALSE
Sdk2	chr11	FALSE	FALSE
Mdga1	chr17	FALSE	FALSE
Ttc39b	chr4	FALSE	TRUE
Siah3	chr14	FALSE	TRUE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	FALSE
Ston2	chr12	FALSE	TRUE
Lrrk1	chr7	TRUE	TRUE
Ndrg1	chr15	FALSE	TRUE
Barx2	chr9	TRUE	FALSE
Efcab6	chr15	FALSE	TRUE
Col19a1	chr1	TRUE	TRUE
Prex1	chr2	TRUE	FALSE
Pcsk6	chr7	FALSE	FALSE
Abcc4	chr14	FALSE	FALSE
Zbtb7c	chr18	FALSE	FALSE
Npsr1	chr9	TRUE	TRUE
Cnih3	chr1	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Zfp800	chr6	FALSE	TRUE
Zfpm1	chr8	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Dclk1	chr3	TRUE	FALSE
Lmx1b	chr2	FALSE	FALSE
Dbn1	chr13	FALSE	FALSE
Rad51b	chr12	FALSE	TRUE
Nrxn3	chr12	TRUE	FALSE
Plekhd1	chr12	FALSE	FALSE
Kalrn	chr16	FALSE	FALSE
Pax3	chr1	FALSE	FALSE
Arhgef3	chr14	TRUE	FALSE
Epas1	chr17	FALSE	FALSE
Inf2	chr12	FALSE	FALSE
Trim71	chr9	FALSE	FALSE
Scn1a	chr2	FALSE	FALSE
Kcna2	chr3	TRUE	FALSE
Foxo6	chr4	FALSE	TRUE
Dock5	chr14	FALSE	FALSE
Rbms3	chr9	TRUE	FALSE
Sec16b	chr1	FALSE	FALSE
Slc9a9	chr9	FALSE	TRUE
Ptgis	chr2	FALSE	FALSE
Sv2c	chr13	FALSE	TRUE
Cbs	chr17	TRUE	FALSE
Gabra2	chr5	TRUE	FALSE
Rin2	chr2	FALSE	FALSE
Tle1	chr4	FALSE	FALSE
Ccdc60	chr5	FALSE	TRUE
Igsf3	chr3	FALSE	TRUE
Ccdc88a	chr11	TRUE	FALSE
Adgrl2	chr3	FALSE	FALSE
Zeb2	chr2	FALSE	TRUE
B3galt5	chr16	FALSE	FALSE
Fbxl7	chr15	FALSE	FALSE
Eya1	chr1	TRUE	TRUE
Bnc2	chr4	FALSE	FALSE
Edn2	chr4	FALSE	TRUE
Mcc	chr18	TRUE	FALSE
Esr1	chr10	FALSE	FALSE
Islr2	chr9	FALSE	TRUE
Ccdc33	chr9	FALSE	TRUE
Vrk1	chr12	TRUE	FALSE
Crim1	chr17	FALSE	FALSE
Shb	chr4	TRUE	FALSE
Mrc2	chr11	FALSE	TRUE
Marchf10	chr11	FALSE	TRUE
Fgf5	chr5	FALSE	FALSE
D7Ertd443e	chr7	TRUE	FALSE
Hcn4	chr9	FALSE	FALSE
Spata13	chr14	FALSE	TRUE
Slit2	chr5	FALSE	FALSE
Ulk4	chr9	FALSE	FALSE
Nckap5	chr1	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Dlg2	chr7	FALSE	FALSE
Eva1c	chr16	FALSE	FALSE
Casz1	chr4	FALSE	FALSE
Vwc2l	chr1	TRUE	FALSE
Chn1	chr2	TRUE	FALSE
Elavl2	chr4	FALSE	FALSE
Chrdl2	chr7	FALSE	FALSE
Egfr	chr11	TRUE	TRUE
Epha4	chr1	FALSE	FALSE
Dscam	chr16	FALSE	FALSE
Septin9	chr11	FALSE	FALSE
Edar	chr10	FALSE	FALSE
Wnt4	chr4	FALSE	FALSE
St6gal1	chr16	TRUE	FALSE
CK137956	chr4	FALSE	FALSE
Fgd5	chr6	FALSE	FALSE
Lrrfip1	chr1	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Podn	chr4	FALSE	FALSE
Plcl1	chr1	FALSE	TRUE
Arhgef17	chr7	FALSE	FALSE
Upp1	chr11	FALSE	TRUE
Nwd2	chr5	TRUE	FALSE
Myo1e	chr9	FALSE	TRUE
Rps6kc1	chr1	TRUE	FALSE
Slc9a2	chr1	FALSE	FALSE
Vash2	chr1	FALSE	FALSE
Slc22a14	chr9	FALSE	FALSE
Antxr2	chr5	TRUE	TRUE
Susd4	chr1	FALSE	FALSE
Il17rd	chr14	TRUE	FALSE
Rnf220	chr4	FALSE	FALSE
Robo1	chr16	FALSE	FALSE
Spsb1	chr4	TRUE	FALSE
Qsox1	chr1	FALSE	FALSE
Cradd	chr10	FALSE	TRUE
Cyth4	chr15	FALSE	FALSE
Sorcs2	chr5	FALSE	FALSE
Tmcc3	chr10	FALSE	TRUE
Pawr	chr10	FALSE	FALSE
Zfhx4	chr3	FALSE	TRUE
Scube1	chr15	FALSE	FALSE
Rerg	chr6	TRUE	FALSE
Adamts17	chr7	TRUE	FALSE
Disp3	chr4	FALSE	TRUE
Jhy	chr9	TRUE	FALSE
Zic3	chrX	FALSE	TRUE
Thsd7b	chr1	FALSE	FALSE
Kcnb1	chr2	FALSE	FALSE
Ptk2b	chr14	TRUE	TRUE
Rab3b	chr4	FALSE	FALSE
Rgs12	chr5	FALSE	TRUE
Nr4a2	chr2	TRUE	TRUE
Camk2a	chr18	FALSE	FALSE
Bfsp2	chr9	FALSE	TRUE
Cdh13	chr8	TRUE	FALSE
Grip2	chr6	TRUE	FALSE
Slc1a3	chr15	FALSE	TRUE
Ovol2	chr2	TRUE	FALSE
Nxpe4	chr9	TRUE	TRUE
Loxhd1	chr18	FALSE	FALSE
Itga5	chr15	FALSE	TRUE
Ttc23	chr7	TRUE	TRUE
Lmntd1	chr6	TRUE	TRUE
Pax8	chr2	FALSE	FALSE
Usp18	chr6	FALSE	FALSE
Ccdc88c	chr12	FALSE	TRUE
Prkg1	chr19	TRUE	FALSE
Lhx3	chr2	FALSE	TRUE
Wwc2	chr8	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Fam169a	chr13	TRUE	FALSE
Bmpr1b	chr3	FALSE	FALSE
Glp1r	chr17	FALSE	FALSE
Pde8a	chr7	FALSE	FALSE
Shroom3	chr5	TRUE	TRUE
Schip1	chr3	FALSE	TRUE
Bnip5	chr17	FALSE	TRUE
Bnc1	chr7	FALSE	TRUE
Eda	chrX	FALSE	FALSE
Kcnk13	chr12	FALSE	FALSE
Mcph1	chr8	FALSE	FALSE
Gsap	chr5	FALSE	FALSE
Paqr5	chr9	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Clmn	chr12	FALSE	FALSE
Gsn	chr2	TRUE	FALSE
Vdr	chr15	FALSE	FALSE
Mdga2	chr12	FALSE	FALSE
Myo1b	chr1	FALSE	TRUE
Scarb1	chr5	FALSE	FALSE
Mctp2	chr7	TRUE	FALSE
Irx5	chr8	FALSE	TRUE
Lgr6	chr1	FALSE	FALSE
4930523C07Rik	chr1	TRUE	TRUE
Ccn4	chr15	FALSE	FALSE
Il4ra	chr7	FALSE	FALSE
Chdh	chr14	FALSE	FALSE
Esrrb	chr12	FALSE	TRUE
Prr5	chr15	FALSE	FALSE
Vit	chr17	FALSE	FALSE
Tnfrsf19	chr14	FALSE	FALSE
Scn3a	chr2	FALSE	FALSE
Galnt3	chr2	TRUE	FALSE
Iqsec3	chr6	TRUE	FALSE
Bcat1	chr6	TRUE	FALSE
Arl4a	chr12	TRUE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
Emid1	chr11	TRUE	TRUE
Dach1	chr14	TRUE	TRUE
Pcdh15	chr10	FALSE	FALSE
Sox6	chr7	TRUE	FALSE
Pde7b	chr10	FALSE	FALSE
Vangl1	chr3	FALSE	FALSE
Pld1	chr3	FALSE	FALSE
Cobll1	chr2	TRUE	FALSE
Ret	chr6	FALSE	FALSE
Cacnb2	chr2	FALSE	TRUE
Ttc29	chr8	FALSE	FALSE
Aktip	chr8	FALSE	TRUE
Egflam	chr15	FALSE	FALSE
Trim36	chr18	FALSE	FALSE
Ninj2	chr6	FALSE	TRUE
Tenm3	chr8	TRUE	FALSE
Diaph3	chr14	TRUE	TRUE
Colgalt2	chr1	FALSE	FALSE
Sntg1	chr1	FALSE	FALSE
Tenm4	chr7	TRUE	FALSE
Kcnma1	chr14	FALSE	FALSE
Rgma	chr7	FALSE	TRUE
Vstm2l	chr2	FALSE	FALSE
Th	chr7	FALSE	FALSE
Rhbdl3	chr11	TRUE	FALSE
Abca13	chr11	TRUE	FALSE
Tmtc1	chr6	FALSE	FALSE
Pla2g5	chr4	FALSE	FALSE
Sema3f	chr9	FALSE	TRUE
Slco2a1	chr9	FALSE	FALSE
Dock10	chr1	FALSE	TRUE
Kank1	chr19	FALSE	FALSE
Myo16	chr8	TRUE	FALSE
Zfp385c	chr11	TRUE	FALSE
Notch1	chr2	FALSE	FALSE
Greb1l	chr18	FALSE	FALSE
Thbs2	chr17	TRUE	TRUE
Mlph	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
Atf3	chr1	FALSE	TRUE
Srgap1	chr10	TRUE	FALSE
Clic6	chr16	FALSE	FALSE
Nfam1	chr15	FALSE	FALSE
Hmga2	chr10	TRUE	FALSE
Pyroxd2	chr19	FALSE	TRUE
Ino80d	chr1	TRUE	TRUE
Clip4	chr17	FALSE	FALSE
Slc29a3	chr10	FALSE	TRUE
Epb41l2	chr10	TRUE	FALSE
Kifc3	chr8	FALSE	FALSE
Stox2	chr8	FALSE	FALSE
Nedd9	chr13	FALSE	FALSE
Lifr	chr15	FALSE	FALSE
Tll2	chr19	FALSE	FALSE
Hhip	chr8	TRUE	FALSE
Lrrc55	chr2	TRUE	FALSE
Dpysl3	chr18	FALSE	FALSE
Pakap	chr4	FALSE	FALSE
Tnfsf11	chr14	FALSE	FALSE
Plekhg1	chr10	TRUE	TRUE
Stra6	chr9	FALSE	TRUE
Grap	chr11	FALSE	FALSE
Chst3	chr10	FALSE	FALSE
Cldn14	chr16	FALSE	FALSE
Pdgfra	chr5	FALSE	FALSE
L3mbtl3	chr10	FALSE	FALSE
Arhgef26	chr3	FALSE	FALSE
Arhgef19	chr4	FALSE	TRUE
Bdnf	chr2	FALSE	TRUE
Atp8b4	chr2	TRUE	FALSE
Glra1	chr11	FALSE	FALSE
Tnfaip8	chr18	FALSE	TRUE
Ano4	chr10	FALSE	FALSE
Wwc1	chr11	FALSE	FALSE
Pde4a	chr9	TRUE	TRUE
Gna14	chr19	TRUE	FALSE
Fkbp5	chr17	FALSE	FALSE
Scnn1a	chr6	FALSE	FALSE
Slc45a3	chr1	FALSE	FALSE
Phactr2	chr10	FALSE	FALSE
Ezr	chr17	FALSE	TRUE
Spink13	chr18	TRUE	TRUE
Pard3b	chr1	FALSE	FALSE
Them7	chr2	TRUE	FALSE
Rbms1	chr2	TRUE	FALSE
Tfcp2l1	chr1	TRUE	TRUE
Dmbx1	chr4	TRUE	FALSE
Ror2	chr13	FALSE	TRUE
Cpm	chr10	FALSE	FALSE
Tnni1	chr1	FALSE	FALSE
Foxp4	chr17	FALSE	FALSE
Creb5	chr6	TRUE	TRUE
Mertk	chr2	FALSE	FALSE
Erbin	chr13	FALSE	FALSE
Intu	chr3	TRUE	TRUE
Lama1	chr17	FALSE	FALSE
Iqsec1	chr6	FALSE	TRUE
Adra1d	chr2	FALSE	FALSE
Kctd16	chr18	TRUE	FALSE
Dok6	chr18	TRUE	FALSE
Gpc5	chr14	FALSE	FALSE
Plagl1	chr10	FALSE	TRUE
Cd82	chr2	TRUE	TRUE
Npas3	chr12	FALSE	FALSE
Lrmda	chr14	FALSE	FALSE
Batf	chr12	FALSE	TRUE
Rin3	chr12	FALSE	FALSE
Ptgfrn	chr3	FALSE	FALSE
Zfp217	chr2	FALSE	TRUE
Abtb2	chr2	FALSE	FALSE
Cdh6	chr15	FALSE	FALSE
Lhfpl3	chr5	FALSE	FALSE
Col13a1	chr10	FALSE	TRUE
Sorbs2	chr8	FALSE	FALSE
Atp8b1	chr18	FALSE	FALSE
Pvalb	chr15	FALSE	FALSE
Col4a1	chr8	FALSE	FALSE
Ddit4l	chr3	FALSE	TRUE
Slc6a13	chr6	FALSE	FALSE
L3mbtl4	chr17	FALSE	TRUE
Nxph1	chr6	FALSE	FALSE
Mgat5b	chr11	FALSE	FALSE
Kcnq4	chr4	FALSE	FALSE
Dapk2	chr9	FALSE	FALSE
Rtl9	chrX	FALSE	FALSE
Tekt1	chr11	FALSE	TRUE
Alpk1	chr3	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
Dcc	chr18	TRUE	FALSE
Gfra1	chr19	FALSE	FALSE
Padi1	chr4	FALSE	FALSE
Asic2	chr11	FALSE	FALSE
Slc6a12	chr6	FALSE	FALSE
Hmcn2	chr2	FALSE	FALSE
Fam169b	chr7	FALSE	TRUE
Stat5a	chr11	FALSE	TRUE
Lamc2	chr1	FALSE	FALSE
Cryzl2	chr1	FALSE	TRUE
Cdh11	chr8	TRUE	FALSE
Prdm1	chr10	FALSE	FALSE
Pygl	chr12	FALSE	FALSE
Mlxipl	chr5	TRUE	FALSE
Galnt10	chr11	FALSE	FALSE
Ly75	chr2	FALSE	FALSE
Obscn	chr11	FALSE	FALSE
Rbm20	chr19	FALSE	TRUE
Glb1l2	chr9	FALSE	FALSE
Skap2	chr6	TRUE	TRUE
Col8a2	chr4	FALSE	TRUE
Sh3tc1	chr5	FALSE	FALSE
Ankrd6	chr4	TRUE	TRUE
Anxa2	chr9	FALSE	TRUE
Gli2	chr1	FALSE	FALSE
Ninl	chr2	FALSE	FALSE
Prr5l	chr2	FALSE	FALSE
Grid1	chr14	FALSE	FALSE
5730522E02Rik	chr11	TRUE	FALSE
Cracr2a	chr6	TRUE	FALSE
Zc3hav1	chr6	TRUE	TRUE
Chst9	chr18	FALSE	FALSE
Plch1	chr3	FALSE	FALSE
Kl	chr5	FALSE	FALSE
Frmpd1	chr4	FALSE	FALSE
Mob3b	chr4	FALSE	FALSE
Rapgef5	chr12	FALSE	FALSE
Laptm4b	chr15	TRUE	FALSE
Igsf11	chr16	FALSE	TRUE
Pla2r1	chr2	FALSE	TRUE
Adcy2	chr13	TRUE	FALSE
Dlc1	chr8	FALSE	FALSE
Barhl1	chr2	FALSE	FALSE
Pax7	chr4	FALSE	FALSE
Dcdc2a	chr13	FALSE	FALSE
Cdc42ep4	chr11	TRUE	FALSE
Rsu1	chr2	FALSE	TRUE
Bdkrb2	chr12	FALSE	FALSE
Ext2	chr2	FALSE	FALSE
Zcchc24	chr14	FALSE	FALSE
Ube2u	chr4	TRUE	TRUE
Gnal	chr18	FALSE	FALSE
Fhad1	chr4	FALSE	TRUE
Bcar3	chr3	FALSE	TRUE
Lrig3	chr10	FALSE	TRUE
Slc30a3	chr5	FALSE	FALSE
Arhgap24	chr5	FALSE	FALSE
Ggta1	chr2	TRUE	FALSE
Hk2	chr6	FALSE	FALSE
Flt1	chr5	FALSE	FALSE
Spsb4	chr9	FALSE	FALSE
Podxl	chr6	FALSE	FALSE
Plcb2	chr2	FALSE	TRUE
0610040J01Rik	chr5	FALSE	FALSE
Fign	chr2	FALSE	FALSE
Rasgrf1	chr9	FALSE	FALSE
Csnk1e	chr15	FALSE	TRUE
Gprin2	chr14	FALSE	TRUE
Ptprb	chr10	FALSE	FALSE
Trib2	chr12	FALSE	FALSE
Ptpn13	chr5	FALSE	FALSE
Kcnk5	chr14	FALSE	FALSE
Pdzd2	chr15	FALSE	FALSE
Kctd1	chr18	FALSE	FALSE
Papss2	chr19	FALSE	FALSE
Runx3	chr4	FALSE	TRUE
Vipr1	chr9	FALSE	FALSE
Slc12a3	chr8	FALSE	FALSE
Pear1	chr3	TRUE	FALSE
Cdc14b	chr13	FALSE	FALSE
Col6a3	chr1	FALSE	FALSE
Rassf3	chr10	FALSE	TRUE
Ada	chr2	FALSE	FALSE
Greb1	chr12	FALSE	FALSE
Efs	chr14	FALSE	FALSE
Faah	chr4	TRUE	FALSE
Frmd4b	chr6	FALSE	TRUE
Osbpl3	chr6	TRUE	TRUE
Col4a3	chr1	TRUE	FALSE
C1qtnf7	chr5	FALSE	FALSE
Chrna4	chr2	FALSE	FALSE
Fam20a	chr11	FALSE	TRUE
Cald1	chr6	FALSE	TRUE
Sh3rf3	chr10	FALSE	FALSE
Socs2	chr10	FALSE	FALSE
Mylk	chr16	FALSE	FALSE
Acoxl	chr2	TRUE	TRUE
Pxdn	chr12	TRUE	FALSE
Asap3	chr4	TRUE	FALSE
Kif6	chr17	FALSE	FALSE
Igfbp7	chr5	TRUE	FALSE
Suclg2	chr6	TRUE	FALSE
Tacc2	chr7	FALSE	TRUE
Jam2	chr16	FALSE	FALSE
Plppr5	chr3	TRUE	FALSE
Itga9	chr9	FALSE	FALSE
Tm6sf1	chr7	FALSE	FALSE
Egf	chr3	TRUE	TRUE
Tmem154	chr3	TRUE	FALSE
Gli3	chr13	FALSE	FALSE
Gpr160	chr3	FALSE	FALSE
Scn5a	chr9	FALSE	FALSE
Kcnh3	chr15	FALSE	FALSE
Otop1	chr5	TRUE	FALSE
Npas2	chr1	FALSE	TRUE
Tgif1	chr17	FALSE	FALSE
Mbnl3	chrX	TRUE	FALSE
BC034090	chr1	FALSE	TRUE
Nfatc1	chr18	FALSE	FALSE
Stab2	chr10	FALSE	FALSE
Wnt3	chr11	FALSE	FALSE
Otx2	chr14	TRUE	TRUE
Drd3	chr16	FALSE	TRUE
Wipf1	chr2	FALSE	FALSE
Scarf2	chr16	FALSE	FALSE
Adgrd1	chr5	TRUE	FALSE
Cd247	chr1	FALSE	FALSE
Rapgef3	chr15	FALSE	FALSE
Ass1	chr2	FALSE	FALSE
Slc35f1	chr10	TRUE	FALSE
Ntm	chr9	FALSE	TRUE
Acacb	chr5	FALSE	FALSE
Zap70	chr1	TRUE	TRUE
Hrh1	chr6	FALSE	FALSE
Acsf2	chr11	FALSE	TRUE
Mrgpre	chr7	FALSE	FALSE
Cttnbp2	chr6	FALSE	FALSE
Kcnq5	chr1	TRUE	FALSE
Asap1	chr15	TRUE	FALSE
Enpp2	chr15	FALSE	TRUE
Loxl1	chr9	FALSE	TRUE
Myo10	chr15	FALSE	TRUE
Pced1b	chr15	FALSE	FALSE
Tnfsf8	chr4	FALSE	FALSE
Kcnk2	chr1	TRUE	TRUE
Fam163a	chr1	FALSE	FALSE
Ripor2	chr13	FALSE	FALSE
Ldb2	chr5	FALSE	FALSE
Kcnmb2	chr3	FALSE	FALSE
Kcnip1	chr11	TRUE	FALSE
Il27ra	chr8	FALSE	FALSE
P2ry6	chr7	FALSE	TRUE
Ptpn14	chr1	FALSE	TRUE
Sox5	chr6	TRUE	TRUE
Fat3	chr9	FALSE	FALSE
Heyl	chr4	FALSE	TRUE
Grm8	chr6	FALSE	FALSE
Gata3	chr2	FALSE	FALSE
Arhgap27	chr11	TRUE	FALSE
Trim29	chr9	FALSE	TRUE
A4galt	chr15	FALSE	FALSE
Adamts2	chr11	FALSE	FALSE
Fam163b	chr2	FALSE	FALSE
Ptprz1	chr6	TRUE	FALSE
Scn4b	chr9	TRUE	FALSE
Alx4	chr2	FALSE	FALSE
Prss12	chr3	FALSE	FALSE
Xylt1	chr7	TRUE	FALSE
Slc44a3	chr3	FALSE	TRUE
Osmr	chr15	FALSE	FALSE
Dgkh	chr14	TRUE	TRUE
Wnt7b	chr15	FALSE	FALSE
Cdh1	chr8	TRUE	FALSE
Col15a1	chr4	TRUE	FALSE
Phldb2	chr16	TRUE	FALSE
Fgfr4	chr13	FALSE	FALSE
Pdgfa	chr5	TRUE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Stx2	chr5	FALSE	FALSE
Dapp1	chr3	TRUE	TRUE
Ngf	chr3	FALSE	FALSE
Hhipl1	chr12	FALSE	TRUE
Crybg1	chr10	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Cabp7	chr11	FALSE	FALSE
Krt5	chr15	FALSE	FALSE
Grin3a	chr4	FALSE	FALSE
Foxj1	chr11	FALSE	FALSE
Slc25a21	chr12	FALSE	FALSE
Ajuba	chr14	TRUE	TRUE
Evc2	chr5	TRUE	FALSE
Kcnh7	chr2	FALSE	TRUE
Gmds	chr13	FALSE	TRUE
Fzd6	chr15	FALSE	FALSE
Qrich2	chr11	FALSE	FALSE
Slc28a3	chr13	TRUE	TRUE
Vwa5b1	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Usp44	chr10	TRUE	TRUE
Tns1	chr1	TRUE	FALSE
Gbp3	chr3	FALSE	FALSE
Cfap45	chr1	FALSE	TRUE
Shc3	chr13	FALSE	FALSE
Rbpms2	chr9	FALSE	FALSE
Fam114a1	chr5	FALSE	TRUE
Nfatc2	chr2	FALSE	TRUE
Hmcn1	chr1	TRUE	FALSE
Ush1g	chr11	FALSE	TRUE
Sh3kbp1	chrX	FALSE	FALSE
Col25a1	chr3	FALSE	FALSE
Jcad	chr18	TRUE	FALSE
Tcf7l1	chr6	TRUE	FALSE
Sik1	chr17	FALSE	FALSE
Arhgap42	chr9	TRUE	FALSE
Sfrp5	chr19	FALSE	TRUE
Slc22a22	chr15	FALSE	FALSE
Prkcq	chr2	FALSE	FALSE
Nid1	chr13	FALSE	FALSE
Pam	chr1	TRUE	FALSE
Pros1	chr16	FALSE	TRUE
Prkcd	chr14	FALSE	TRUE
Ccdc85a	chr11	TRUE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Tbr1	chr2	FALSE	TRUE
Dhh	chr15	FALSE	FALSE
Plag1	chr4	TRUE	TRUE
Htra1	chr7	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Wdr95	chr5	FALSE	TRUE
Slc2a5	chr4	FALSE	TRUE
Epo	chr5	FALSE	TRUE
Fam107a	chr14	FALSE	FALSE
Kcnc2	chr10	FALSE	FALSE
Piwil1	chr5	FALSE	FALSE
Ell2	chr13	FALSE	FALSE
Tcf7l2	chr19	TRUE	TRUE
Prokr2	chr2	TRUE	TRUE
Dnajb8	chr6	FALSE	FALSE
Vsx1	chr2	FALSE	FALSE
Alox5	chr6	FALSE	FALSE
Ptp4a3	chr15	FALSE	FALSE
Vipr2	chr12	FALSE	FALSE
Socs6	chr18	TRUE	FALSE
P3h2	chr16	FALSE	FALSE
Krt19	chr11	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Lrrc38	chr4	FALSE	TRUE
Blk	chr14	FALSE	TRUE
Pcdh10	chr3	FALSE	FALSE
Cpne5	chr17	FALSE	FALSE
Wwox	chr8	TRUE	TRUE
Tpbg	chr9	FALSE	TRUE
Necab1	chr4	TRUE	TRUE
Prnd	chr2	FALSE	TRUE
Nlgn1	chr3	TRUE	FALSE
