gene_name	chr	K119ub_up	mch_hyper
Ksr2	chr5	FALSE	FALSE
Cntnap2	chr6	TRUE	FALSE
Bcas3	chr11	FALSE	FALSE
Nav3	chr10	TRUE	TRUE
Lancl3	chrX	TRUE	TRUE
Tmem150c	chr5	FALSE	FALSE
Ptprn2	chr12	TRUE	FALSE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	FALSE
Vwf	chr6	FALSE	FALSE
Anks1b	chr10	TRUE	FALSE
Slc35g2	chr9	TRUE	TRUE
Angpt1	chr15	FALSE	FALSE
Cacna1c	chr6	FALSE	FALSE
Pcdh7	chr5	TRUE	TRUE
Jph1	chr1	TRUE	TRUE
Acly	chr11	FALSE	FALSE
Vti1a	chr19	FALSE	FALSE
Gria1	chr11	TRUE	TRUE
Brpf3	chr17	FALSE	FALSE
Lrba	chr3	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	TRUE	TRUE
Exoc6b	chr6	FALSE	FALSE
Lingo1	chr9	FALSE	FALSE
Nfib	chr4	TRUE	TRUE
Ssh2	chr11	FALSE	FALSE
Cnpy1	chr5	TRUE	TRUE
Svep1	chr4	TRUE	TRUE
Elmo1	chr13	TRUE	TRUE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	TRUE	FALSE
Plcb4	chr2	FALSE	FALSE
Chia1	chr3	TRUE	TRUE
Ppp2r2b	chr18	TRUE	FALSE
Fgf20	chr8	TRUE	TRUE
Grik2	chr10	FALSE	FALSE
Gm973	chr1	TRUE	TRUE
Cux2	chr5	FALSE	FALSE
Kbtbd12	chr6	TRUE	TRUE
Shank2	chr7	FALSE	FALSE
Pde4b	chr4	TRUE	FALSE
Nfia	chr4	TRUE	TRUE
Grxcr1	chr5	TRUE	TRUE
Myo3b	chr2	TRUE	TRUE
Prune2	chr19	TRUE	TRUE
Pde10a	chr17	FALSE	FALSE
Mad1l1	chr5	FALSE	FALSE
Ptchd4	chr17	TRUE	TRUE
Klhl29	chr12	TRUE	FALSE
Ralgps1	chr2	FALSE	FALSE
Pex14	chr4	FALSE	FALSE
Ift57	chr16	TRUE	TRUE
Snph	chr2	FALSE	FALSE
Elp4	chr2	TRUE	TRUE
Dagla	chr19	FALSE	FALSE
Nkain3	chr4	TRUE	TRUE
Kctd8	chr5	TRUE	TRUE
Gtf3c1	chr7	FALSE	FALSE
Slc5a10	chr11	FALSE	FALSE
Ebf2	chr14	FALSE	FALSE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	TRUE	TRUE
Sdk1	chr5	TRUE	FALSE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	TRUE	FALSE
Galnt7	chr8	TRUE	TRUE
Celf4	chr18	TRUE	FALSE
Epha5	chr5	TRUE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	TRUE	TRUE
Pcsk5	chr19	TRUE	FALSE
Clybl	chr14	TRUE	TRUE
Asb15	chr6	TRUE	TRUE
Cep350	chr1	FALSE	FALSE
Prickle2	chr6	TRUE	FALSE
Npvf	chr6	TRUE	TRUE
Alk	chr17	TRUE	FALSE
Slc17a6	chr7	TRUE	FALSE
Prkcb	chr7	FALSE	FALSE
Adam22	chr5	TRUE	FALSE
Itgb5	chr16	TRUE	TRUE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	TRUE	FALSE
Lpp	chr16	TRUE	TRUE
Runx1	chr16	FALSE	FALSE
Vav2	chr2	FALSE	FALSE
Astn2	chr4	TRUE	FALSE
Faf1	chr4	FALSE	FALSE
Grip1	chr10	FALSE	FALSE
Dip2c	chr13	TRUE	FALSE
Sh3pxd2a	chr19	TRUE	FALSE
Nbea	chr3	TRUE	FALSE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	TRUE
Commd1	chr11	TRUE	FALSE
Dsc2	chr18	TRUE	TRUE
Igf1r	chr7	FALSE	FALSE
Fbh1	chr2	FALSE	FALSE
Ptprk	chr10	TRUE	TRUE
Zfpm2	chr15	TRUE	FALSE
Rab3c	chr13	TRUE	TRUE
Ambra1	chr2	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	TRUE	TRUE
Grin2a	chr16	TRUE	FALSE
Mbd5	chr2	FALSE	FALSE
Zbtb40	chr4	TRUE	TRUE
Samd12	chr15	TRUE	TRUE
Slc24a3	chr2	TRUE	TRUE
Sema5b	chr16	TRUE	FALSE
Dapk1	chr13	FALSE	FALSE
Cdk15	chr1	TRUE	TRUE
Adamts14	chr10	FALSE	FALSE
Ryr2	chr13	FALSE	FALSE
Vps13d	chr4	FALSE	FALSE
Isx	chr8	TRUE	TRUE
Slc39a11	chr11	FALSE	FALSE
Fam72a	chr1	TRUE	TRUE
Ercc8	chr13	TRUE	TRUE
Bank1	chr3	TRUE	TRUE
Lrrc36	chr8	TRUE	TRUE
Wipf3	chr6	TRUE	TRUE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	TRUE	FALSE
Optn	chr2	TRUE	FALSE
Rxra	chr2	FALSE	FALSE
Gnaq	chr19	TRUE	FALSE
Cacnb4	chr2	TRUE	FALSE
Adgrb3	chr1	TRUE	FALSE
Fam83g	chr11	FALSE	FALSE
Tbc1d30	chr10	TRUE	FALSE
Col5a1	chr2	FALSE	FALSE
Syn2	chr6	TRUE	TRUE
Trio	chr15	FALSE	FALSE
Rap1gap2	chr11	FALSE	FALSE
Rgs7	chr1	TRUE	FALSE
Dis3l2	chr1	FALSE	FALSE
Pld5	chr1	TRUE	TRUE
Kcnj6	chr16	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	FALSE
Adk	chr14	TRUE	FALSE
Trp73	chr4	TRUE	FALSE
Fgf14	chr14	TRUE	FALSE
Kcnn3	chr3	FALSE	FALSE
Baz2b	chr2	TRUE	FALSE
Dnah11	chr12	TRUE	TRUE
Syt2	chr1	FALSE	FALSE
Tbc1d1	chr5	FALSE	FALSE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	TRUE	FALSE
Lrfn2	chr17	FALSE	FALSE
Syt1	chr10	TRUE	TRUE
Nek7	chr1	FALSE	FALSE
Sema3a	chr5	TRUE	TRUE
Fto	chr8	TRUE	FALSE
Dst	chr1	FALSE	FALSE
Dkk3	chr7	FALSE	FALSE
Zfp423	chr8	TRUE	FALSE
Gse1	chr8	TRUE	FALSE
Robo2	chr16	TRUE	TRUE
Ascc3	chr10	TRUE	FALSE
Gabrb3	chr7	FALSE	FALSE
Nr6a1	chr2	TRUE	FALSE
Bcl2l15	chr3	TRUE	TRUE
Fam20c	chr5	FALSE	FALSE
Cfap61	chr2	TRUE	FALSE
Snd1	chr6	TRUE	TRUE
Sik3	chr9	FALSE	FALSE
Glt8d2	chr10	TRUE	TRUE
Sh3gl3	chr7	FALSE	FALSE
Xkr6	chr14	TRUE	FALSE
Hspg2	chr4	FALSE	FALSE
Pdlim7	chr13	FALSE	FALSE
Supt3	chr17	FALSE	FALSE
Ints9	chr14	TRUE	FALSE
Eefsec	chr6	FALSE	FALSE
Lct	chr1	TRUE	FALSE
Cenpf	chr1	TRUE	TRUE
Itfg1	chr8	FALSE	FALSE
Dysf	chr6	FALSE	FALSE
Ctnna3	chr10	TRUE	TRUE
Lrrn1	chr6	TRUE	TRUE
Hecw2	chr1	FALSE	FALSE
Ldlrad3	chr2	TRUE	TRUE
Zfand3	chr17	FALSE	FALSE
Nup93	chr8	TRUE	FALSE
Ppl	chr16	FALSE	FALSE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	TRUE	FALSE
Rgl1	chr1	FALSE	FALSE
Cpeb3	chr19	FALSE	FALSE
Aff3	chr1	TRUE	FALSE
F830045P16Rik	chr2	TRUE	TRUE
Tcf20	chr15	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Shld1	chr2	TRUE	TRUE
Cemip	chr7	TRUE	FALSE
Ncor2	chr5	FALSE	FALSE
Cdh4	chr2	TRUE	FALSE
Unc13c	chr9	FALSE	FALSE
Nrp2	chr1	TRUE	FALSE
Brinp3	chr1	TRUE	TRUE
Tenm1	chrX	FALSE	FALSE
Nfasc	chr1	FALSE	FALSE
Gria4	chr9	FALSE	FALSE
Prdm5	chr6	TRUE	TRUE
Ncoa1	chr12	TRUE	FALSE
Rapgef2	chr3	TRUE	FALSE
Togaram2	chr17	FALSE	FALSE
Gria2	chr3	TRUE	FALSE
Tpst1	chr5	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chil3	chr3	TRUE	TRUE
Chchd6	chr6	TRUE	TRUE
Eps8	chr6	TRUE	FALSE
Fsip1	chr2	FALSE	FALSE
Frmd4a	chr2	TRUE	FALSE
Mgll	chr6	TRUE	TRUE
Nsmaf	chr4	TRUE	TRUE
Gm1043	chr5	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	FALSE
Ntrk3	chr7	FALSE	FALSE
Cux1	chr5	FALSE	FALSE
Marchf4	chr1	TRUE	FALSE
Kmt2c	chr5	FALSE	FALSE
Sfxn5	chr6	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Cadps2	chr6	FALSE	FALSE
Akt3	chr1	TRUE	FALSE
Mtus2	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Nf1	chr11	FALSE	FALSE
Prickle1	chr15	TRUE	FALSE
Hspa12a	chr19	TRUE	FALSE
Fmn1	chr2	FALSE	FALSE
Atxn7l1	chr12	TRUE	FALSE
Erc2	chr14	TRUE	FALSE
Ncoa2	chr1	TRUE	FALSE
Wdr7	chr18	TRUE	FALSE
St18	chr1	TRUE	TRUE
Gphn	chr12	FALSE	FALSE
Dennd1a	chr2	TRUE	FALSE
Clvs1	chr4	TRUE	FALSE
Prr16	chr18	TRUE	TRUE
Nav1	chr1	FALSE	FALSE
Itsn1	chr16	TRUE	FALSE
Lrrc28	chr7	TRUE	TRUE
Myt1l	chr12	TRUE	TRUE
Serpinb8	chr1	TRUE	TRUE
Adcy9	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
Megf6	chr4	FALSE	FALSE
Enah	chr1	FALSE	FALSE
Cntnap5a	chr1	TRUE	TRUE
Flrt3	chr2	TRUE	TRUE
Cntn4	chr6	TRUE	TRUE
Lca5l	chr16	TRUE	TRUE
Smad6	chr9	FALSE	FALSE
Osbpl10	chr9	TRUE	FALSE
Fmn2	chr1	TRUE	FALSE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	TRUE	FALSE
Mtor	chr4	FALSE	FALSE
Alg8	chr7	TRUE	TRUE
Med27	chr2	FALSE	FALSE
Tbxas1	chr6	TRUE	FALSE
Camk1d	chr2	TRUE	FALSE
Tmem132c	chr5	TRUE	TRUE
Rere	chr4	FALSE	FALSE
Vps13b	chr15	FALSE	FALSE
Myo5b	chr18	FALSE	FALSE
Zfp827	chr8	TRUE	FALSE
Ncam1	chr9	FALSE	FALSE
Adcy5	chr16	TRUE	FALSE
Kif13b	chr14	FALSE	FALSE
Fam120b	chr17	TRUE	FALSE
Zcchc7	chr4	TRUE	FALSE
Macrod1	chr19	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	TRUE	FALSE
Farp1	chr14	TRUE	FALSE
Cd276	chr9	TRUE	TRUE
Dnaja3	chr16	FALSE	FALSE
Slc35f3	chr8	TRUE	FALSE
Cdh20	chr1	TRUE	TRUE
Dpp6	chr5	TRUE	FALSE
Fbln2	chr6	TRUE	FALSE
Mrtfa	chr15	FALSE	FALSE
Rnf150	chr8	TRUE	FALSE
Dgki	chr6	TRUE	FALSE
Arap2	chr5	TRUE	TRUE
Mbnl2	chr14	FALSE	FALSE
Ptgs1	chr2	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Pax5	chr4	TRUE	FALSE
Kcnab1	chr3	TRUE	TRUE
Abl1	chr2	FALSE	FALSE
Sez6l	chr5	FALSE	FALSE
Cdc73	chr1	TRUE	FALSE
Galnt13	chr2	TRUE	FALSE
Pnpla7	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	FALSE
Cep128	chr12	TRUE	TRUE
Chchd3	chr6	TRUE	FALSE
Otc	chrX	TRUE	TRUE
Spock1	chr13	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Reep3	chr10	TRUE	TRUE
Garnl3	chr2	TRUE	FALSE
Zswim6	chr13	TRUE	FALSE
Myo18b	chr5	FALSE	FALSE
Ttc7b	chr12	TRUE	FALSE
Msrb3	chr10	FALSE	FALSE
Pphln1	chr15	FALSE	FALSE
Rapgef1	chr2	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Dipk2b	chrX	TRUE	TRUE
Uvrag	chr7	TRUE	FALSE
Snx29	chr16	TRUE	FALSE
1700019D03Rik	chr1	TRUE	TRUE
Ctnnbl1	chr2	FALSE	FALSE
Lamp2	chrX	TRUE	FALSE
Cadm2	chr16	TRUE	TRUE
Sobp	chr10	TRUE	FALSE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	FALSE
Osbpl5	chr7	FALSE	FALSE
Slc4a4	chr5	FALSE	FALSE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	TRUE	FALSE
Dhx35	chr2	FALSE	FALSE
Dym	chr18	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Erc1	chr6	FALSE	FALSE
Cd83	chr13	TRUE	TRUE
Ksr1	chr11	FALSE	FALSE
Elk3	chr10	TRUE	TRUE
Abat	chr16	FALSE	FALSE
Hs6st3	chr14	TRUE	FALSE
Nr3c2	chr8	TRUE	FALSE
Grk5	chr19	TRUE	FALSE
Dnm3	chr1	TRUE	FALSE
Lhpp	chr7	TRUE	TRUE
Adamtsl3	chr7	FALSE	FALSE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	FALSE
Dna2	chr10	FALSE	FALSE
Tex2	chr11	FALSE	FALSE
Mms22l	chr4	TRUE	FALSE
Uggt2	chr14	TRUE	FALSE
Ldlrad4	chr18	TRUE	TRUE
Pde11a	chr2	TRUE	FALSE
Mtss1	chr15	TRUE	FALSE
Nmrk1	chr19	TRUE	TRUE
Sdccag8	chr1	TRUE	TRUE
Atp2b2	chr6	FALSE	FALSE
Smad3	chr9	FALSE	FALSE
Mkln1	chr6	FALSE	FALSE
Hdgfl3	chr7	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Neb	chr2	TRUE	TRUE
Fbrsl1	chr5	FALSE	FALSE
Prdm16	chr4	FALSE	FALSE
Pkig	chr2	TRUE	TRUE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	FALSE
Arhgap35	chr7	FALSE	FALSE
Rag1	chr2	TRUE	TRUE
Stom	chr2	TRUE	TRUE
Fryl	chr5	TRUE	FALSE
Nrros	chr16	TRUE	TRUE
Triqk	chr4	TRUE	TRUE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	TRUE	FALSE
Capsl	chr15	TRUE	TRUE
Lipc	chr9	TRUE	TRUE
Cyth3	chr5	FALSE	FALSE
Zfp536	chr7	TRUE	FALSE
Slc24a2	chr4	TRUE	FALSE
Pcca	chr14	TRUE	FALSE
Adarb2	chr13	FALSE	FALSE
Mapk10	chr5	FALSE	FALSE
Apba2	chr7	TRUE	FALSE
Atp8a2	chr14	TRUE	FALSE
Unc13b	chr4	FALSE	FALSE
Fam168a	chr7	FALSE	FALSE
Ap3b1	chr13	TRUE	FALSE
Iqgap2	chr13	TRUE	FALSE
Bcr	chr10	TRUE	FALSE
Nr3c1	chr18	TRUE	TRUE
Nsf	chr11	FALSE	FALSE
Epyc	chr10	TRUE	TRUE
Plekhm3	chr1	FALSE	FALSE
Shisal1	chr15	FALSE	FALSE
Orc5	chr5	TRUE	TRUE
Gas2	chr7	TRUE	FALSE
Arnt2	chr7	FALSE	FALSE
Tdo2	chr3	TRUE	TRUE
Zfp462	chr4	TRUE	FALSE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
Tmeff2	chr1	TRUE	TRUE
Slc24a4	chr12	TRUE	FALSE
Lrig2	chr3	FALSE	FALSE
Xpo4	chr14	TRUE	FALSE
Atrnl1	chr19	FALSE	FALSE
Eif4g3	chr4	FALSE	FALSE
Chst15	chr7	TRUE	TRUE
Reln	chr5	TRUE	FALSE
Serpinb1b	chr13	TRUE	TRUE
Zfp385b	chr2	FALSE	FALSE
Sdk2	chr11	FALSE	FALSE
Zfp704	chr3	TRUE	FALSE
Rabgap1l	chr1	TRUE	FALSE
Sorbs1	chr19	TRUE	FALSE
Mdga1	chr17	FALSE	FALSE
Efr3b	chr12	TRUE	TRUE
Ttc39b	chr4	TRUE	TRUE
Strbp	chr2	FALSE	FALSE
Zfp516	chr18	TRUE	FALSE
Evl	chr12	FALSE	FALSE
Siah3	chr14	TRUE	FALSE
Aatf	chr11	FALSE	FALSE
Arhgef12	chr9	FALSE	FALSE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	TRUE
Mpped2	chr2	TRUE	FALSE
Ston2	chr12	FALSE	FALSE
Gpm6b	chrX	TRUE	TRUE
Slc8a3	chr12	FALSE	FALSE
Cacng2	chr15	FALSE	FALSE
Tmprss11g	chr5	TRUE	TRUE
Scaper	chr9	FALSE	FALSE
Lrrk1	chr7	FALSE	FALSE
Ppfia2	chr10	TRUE	FALSE
Ndrg1	chr15	FALSE	FALSE
Armh3	chr19	FALSE	FALSE
Tasp1	chr2	FALSE	FALSE
Gpr158	chr2	TRUE	FALSE
Dennd1b	chr1	TRUE	FALSE
Eml4	chr17	TRUE	FALSE
Acbd6	chr1	FALSE	FALSE
Polr1d	chr5	TRUE	TRUE
Cuedc1	chr11	TRUE	FALSE
Barx2	chr9	FALSE	FALSE
Pde4dip	chr3	FALSE	FALSE
Efcab6	chr15	FALSE	FALSE
Rgs3	chr4	TRUE	TRUE
Col19a1	chr1	TRUE	TRUE
Kif18a	chr2	TRUE	TRUE
Prex1	chr2	FALSE	FALSE
Galnt17	chr5	TRUE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
Cacna2d4	chr6	TRUE	FALSE
Pcsk6	chr7	TRUE	FALSE
Tmem131l	chr3	FALSE	FALSE
Abcc4	chr14	TRUE	FALSE
Trp53bp2	chr1	TRUE	TRUE
Mycbp2	chr14	FALSE	FALSE
Cacna1i	chr15	FALSE	FALSE
Zbtb7c	chr18	FALSE	FALSE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	FALSE
Npsr1	chr9	TRUE	TRUE
Mapkap1	chr2	FALSE	FALSE
Tnrc6c	chr11	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Bmpr2	chr1	FALSE	FALSE
Phf21a	chr2	FALSE	FALSE
Cnih3	chr1	TRUE	FALSE
Adgrb1	chr15	FALSE	FALSE
Olfm3	chr3	TRUE	FALSE
Zfp800	chr6	TRUE	TRUE
Jakmip3	chr7	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Krt24	chr11	TRUE	TRUE
Grik5	chr7	FALSE	FALSE
Nkd1	chr8	TRUE	FALSE
Clstn2	chr9	TRUE	FALSE
Zfpm1	chr8	FALSE	FALSE
Reep1	chr6	FALSE	FALSE
Macf1	chr4	FALSE	FALSE
Rsrc1	chr3	FALSE	FALSE
Arhgef4	chr1	TRUE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Nlk	chr11	FALSE	FALSE
Tmprss11d	chr5	TRUE	TRUE
Atp8a1	chr5	TRUE	FALSE
Clmp	chr9	TRUE	TRUE
Pum1	chr4	FALSE	FALSE
Dclk1	chr3	TRUE	TRUE
Mrps27	chr13	TRUE	TRUE
Hacd2	chr16	FALSE	FALSE
Nsmf	chr2	FALSE	FALSE
Lrrtm4	chr6	TRUE	TRUE
Cacna1b	chr2	FALSE	FALSE
Cask	chrX	FALSE	FALSE
Lmx1b	chr2	FALSE	FALSE
Ngly1	chr14	TRUE	TRUE
Aopep	chr13	TRUE	FALSE
Dbn1	chr13	FALSE	FALSE
Bicral	chr17	FALSE	FALSE
Dyrk1a	chr16	FALSE	FALSE
Stau2	chr1	FALSE	FALSE
Specc1	chr11	FALSE	FALSE
Tshz1	chr18	TRUE	TRUE
Plxdc1	chr11	FALSE	FALSE
Myo5a	chr9	FALSE	FALSE
Rad51b	chr12	FALSE	FALSE
Pdia5	chr16	TRUE	FALSE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	TRUE	FALSE
Pde4d	chr13	TRUE	TRUE
Nrxn3	chr12	TRUE	TRUE
Apbb2	chr5	TRUE	FALSE
Cdkl5	chrX	FALSE	FALSE
Plekhd1	chr12	FALSE	FALSE
Kctd12	chr14	TRUE	TRUE
Cnnm2	chr19	FALSE	FALSE
Kalrn	chr16	TRUE	FALSE
Mgat5	chr1	TRUE	FALSE
Kif1b	chr4	FALSE	FALSE
Efcab2	chr1	TRUE	TRUE
Pax3	chr1	FALSE	FALSE
Arhgef3	chr14	TRUE	TRUE
Srpk2	chr5	TRUE	FALSE
Srgap3	chr6	FALSE	FALSE
Coro7	chr16	FALSE	FALSE
Epas1	chr17	FALSE	FALSE
Zfp407	chr18	FALSE	FALSE
Lrrn2	chr1	FALSE	FALSE
Rasa3	chr8	FALSE	FALSE
Med12l	chr3	TRUE	FALSE
Inf2	chr12	FALSE	FALSE
Trim71	chr9	FALSE	FALSE
Scn8a	chr15	FALSE	FALSE
Ube2e1	chr14	TRUE	FALSE
Scn1a	chr2	FALSE	FALSE
Slc22a23	chr13	TRUE	FALSE
Tlcd4	chr3	TRUE	TRUE
Ece1	chr4	FALSE	FALSE
Srgap2	chr1	TRUE	FALSE
Cntnap4	chr8	FALSE	FALSE
Pknox2	chr9	TRUE	FALSE
Cav2	chr6	TRUE	TRUE
Zfp804a	chr2	TRUE	TRUE
Mprip	chr11	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Frmd5	chr2	TRUE	FALSE
Lrrc8b	chr5	FALSE	FALSE
Hibadh	chr6	TRUE	FALSE
Rps6ka2	chr17	FALSE	FALSE
Foxo6	chr4	FALSE	FALSE
Dock5	chr14	FALSE	FALSE
Nedd4l	chr18	TRUE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
Pde9a	chr17	FALSE	FALSE
Galnt18	chr7	TRUE	FALSE
Rbms3	chr9	FALSE	TRUE
Sipa1l1	chr12	TRUE	FALSE
Pbx1	chr1	TRUE	FALSE
Vgll4	chr6	TRUE	FALSE
Syn3	chr10	TRUE	FALSE
Arhgap10	chr8	TRUE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Hpse2	chr19	FALSE	FALSE
Sec16b	chr1	TRUE	FALSE
Rims1	chr1	TRUE	FALSE
1700017N19Rik	chr10	TRUE	TRUE
Slc9a9	chr9	TRUE	FALSE
Mindy3	chr2	FALSE	FALSE
Slc10a7	chr8	TRUE	FALSE
Rp9	chr9	TRUE	TRUE
Osbpl1a	chr18	TRUE	TRUE
Atg4c	chr4	TRUE	FALSE
Tmem156	chr5	TRUE	TRUE
Ptgis	chr2	FALSE	FALSE
Sv2c	chr13	TRUE	FALSE
Sort1	chr3	TRUE	TRUE
Lrp1b	chr2	TRUE	TRUE
Rnf216	chr5	FALSE	FALSE
Limch1	chr5	TRUE	FALSE
Kif16b	chr2	TRUE	FALSE
Armc8	chr9	FALSE	FALSE
Sh3d19	chr3	FALSE	FALSE
Cbs	chr17	FALSE	FALSE
Gabra2	chr5	TRUE	TRUE
Otof	chr5	FALSE	FALSE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	FALSE
Rin2	chr2	TRUE	FALSE
Tbca	chr13	TRUE	FALSE
Capzb	chr4	FALSE	FALSE
Lrrc4	chr6	TRUE	TRUE
Tle1	chr4	TRUE	FALSE
Rbfox2	chr15	FALSE	FALSE
Ccdc60	chr5	FALSE	FALSE
Cep112	chr11	FALSE	FALSE
