gene_name	chr	mch_hyper	k27ac_gained
Myt1l	chr12	TRUE	FALSE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	FALSE	TRUE
Enah	chr1	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Flrt3	chr2	TRUE	FALSE
Cntn4	chr6	TRUE	FALSE
Lca5l	chr16	TRUE	FALSE
Camk1d	chr2	FALSE	FALSE
Tmem132c	chr5	TRUE	FALSE
Cd276	chr9	TRUE	FALSE
Fbln2	chr6	FALSE	FALSE
Dgki	chr6	FALSE	TRUE
Kcnab1	chr3	TRUE	FALSE
Abl1	chr2	FALSE	TRUE
Tnrc18	chr5	FALSE	TRUE
Cep128	chr12	TRUE	FALSE
Chchd3	chr6	FALSE	TRUE
Otc	chrX	TRUE	FALSE
Ttc7b	chr12	FALSE	FALSE
Rapgef1	chr2	FALSE	TRUE
Dipk2b	chrX	TRUE	FALSE
Sobp	chr10	FALSE	TRUE
Coro1c	chr5	FALSE	TRUE
Slc4a4	chr5	FALSE	TRUE
Skap1	chr11	FALSE	FALSE
Cd83	chr13	TRUE	FALSE
Elk3	chr10	TRUE	FALSE
Nr3c2	chr8	FALSE	TRUE
Lhpp	chr7	TRUE	FALSE
Smad3	chr9	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Pkig	chr2	TRUE	FALSE
Unc79	chr12	FALSE	TRUE
Rag1	chr2	TRUE	FALSE
Stom	chr2	TRUE	FALSE
Nrros	chr16	TRUE	FALSE
Triqk	chr4	TRUE	FALSE
Lipc	chr9	TRUE	FALSE
Slc24a2	chr4	FALSE	TRUE
Pcca	chr14	FALSE	FALSE
Fam168a	chr7	FALSE	TRUE
Iqgap2	chr13	FALSE	FALSE
Bcr	chr10	FALSE	TRUE
Nr3c1	chr18	TRUE	FALSE
Shisal1	chr15	FALSE	TRUE
Arnt2	chr7	FALSE	TRUE
Tdo2	chr3	TRUE	FALSE
Zfp462	chr4	FALSE	TRUE
Eif4g3	chr4	FALSE	TRUE
Zfp385b	chr2	FALSE	TRUE
Sdk2	chr11	FALSE	TRUE
Sorbs1	chr19	FALSE	FALSE
Mdga1	chr17	FALSE	TRUE
Efr3b	chr12	TRUE	FALSE
Ttc39b	chr4	TRUE	FALSE
Zfp516	chr18	FALSE	FALSE
Syne3	chr12	FALSE	TRUE
Slc8a3	chr12	FALSE	TRUE
Polr1d	chr5	TRUE	FALSE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	FALSE	TRUE
Col19a1	chr1	TRUE	FALSE
Kif18a	chr2	TRUE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
Pcsk6	chr7	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Trp53bp2	chr1	TRUE	FALSE
Cacna1i	chr15	FALSE	TRUE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	TRUE
Olfm3	chr3	FALSE	TRUE
Zfp800	chr6	TRUE	FALSE
Dnmt3a	chr12	FALSE	TRUE
Krt24	chr11	TRUE	FALSE
Nkd1	chr8	FALSE	TRUE
Reep1	chr6	FALSE	TRUE
Macf1	chr4	FALSE	FALSE
Tmprss11d	chr5	TRUE	FALSE
Clmp	chr9	TRUE	FALSE
Pum1	chr4	FALSE	TRUE
Mrps27	chr13	TRUE	FALSE
Lrrtm4	chr6	TRUE	TRUE
Cacna1b	chr2	FALSE	TRUE
Ngly1	chr14	TRUE	FALSE
Aopep	chr13	FALSE	TRUE
Bicral	chr17	FALSE	TRUE
Dyrk1a	chr16	FALSE	FALSE
Stau2	chr1	FALSE	TRUE
Tnik	chr3	FALSE	FALSE
Pde4d	chr13	TRUE	FALSE
Kif1b	chr4	FALSE	TRUE
Arhgef3	chr14	TRUE	FALSE
Rfx7	chr9	FALSE	TRUE
Srgap3	chr6	FALSE	FALSE
Epas1	chr17	FALSE	TRUE
Rasa3	chr8	FALSE	TRUE
Inf2	chr12	FALSE	TRUE
Ube2e1	chr14	FALSE	TRUE
Scn1a	chr2	FALSE	TRUE
Slc22a23	chr13	FALSE	TRUE
Tlcd4	chr3	TRUE	FALSE
Pknox2	chr9	FALSE	TRUE
Hibadh	chr6	FALSE	FALSE
Nedd4l	chr18	FALSE	TRUE
1700011L22Rik	chr8	TRUE	FALSE
Pde9a	chr17	FALSE	TRUE
Galnt18	chr7	FALSE	FALSE
Sipa1l1	chr12	FALSE	TRUE
Nectin1	chr9	FALSE	TRUE
1700017N19Rik	chr10	TRUE	FALSE
Slc9a9	chr9	FALSE	FALSE
Slc10a7	chr8	FALSE	TRUE
Osbpl1a	chr18	TRUE	FALSE
Sv2c	chr13	FALSE	FALSE
Sort1	chr3	TRUE	FALSE
Rnf216	chr5	FALSE	TRUE
Kif16b	chr2	FALSE	FALSE
Armc8	chr9	FALSE	FALSE
Rin2	chr2	FALSE	FALSE
Tle1	chr4	FALSE	TRUE
Rbfox2	chr15	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
Erp44	chr4	FALSE	TRUE
Mpp7	chr18	FALSE	FALSE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	TRUE	FALSE
Adgrl2	chr3	FALSE	TRUE
B3galt5	chr16	FALSE	TRUE
Bicdl1	chr5	FALSE	TRUE
Eya1	chr1	TRUE	TRUE
Ntn4	chr10	TRUE	FALSE
Edn2	chr4	FALSE	TRUE
Itpr3	chr17	FALSE	TRUE
Galnt16	chr12	FALSE	TRUE
Pan3	chr5	FALSE	FALSE
Gatad2a	chr8	FALSE	TRUE
Ptprs	chr17	FALSE	TRUE
Nphp4	chr4	FALSE	FALSE
Kcnip4	chr5	FALSE	FALSE
Ano3	chr2	TRUE	FALSE
Vrk1	chr12	FALSE	FALSE
Shb	chr4	TRUE	TRUE
Dok7	chr5	FALSE	TRUE
Rell1	chr5	TRUE	FALSE
D7Ertd443e	chr7	TRUE	TRUE
Zhx2	chr15	TRUE	FALSE
Csnk1g1	chr9	FALSE	TRUE
Spata13	chr14	TRUE	FALSE
Ank2	chr3	FALSE	TRUE
Hs3st5	chr10	TRUE	TRUE
R3hdm1	chr1	FALSE	TRUE
Rai1	chr11	FALSE	TRUE
Spire1	chr18	FALSE	TRUE
Ankef1	chr2	TRUE	FALSE
Fam81b	chr13	TRUE	FALSE
Sardh	chr2	FALSE	FALSE
Cst8	chr2	TRUE	FALSE
Caln1	chr5	TRUE	FALSE
Nrg4	chr9	TRUE	FALSE
Rbfox3	chr11	FALSE	TRUE
Slc1a1	chr19	FALSE	TRUE
Dhx32	chr7	TRUE	FALSE
Epha4	chr1	FALSE	FALSE
Dscam	chr16	FALSE	TRUE
Lpgat1	chr1	FALSE	TRUE
Ablim1	chr19	FALSE	FALSE
Lurap1l	chr4	TRUE	TRUE
Clpb	chr7	FALSE	FALSE
Ebag9	chr15	TRUE	FALSE
Oprl1	chr2	TRUE	FALSE
Lrrfip1	chr1	FALSE	TRUE
Map4	chr9	FALSE	FALSE
Lrch1	chr14	FALSE	TRUE
Rgs9	chr11	FALSE	FALSE
Gpr68	chr12	TRUE	FALSE
Arhgef17	chr7	FALSE	TRUE
Otud7a	chr7	FALSE	TRUE
Poln	chr5	FALSE	TRUE
Add2	chr6	FALSE	TRUE
Dnajb6	chr5	FALSE	TRUE
Susd4	chr1	FALSE	TRUE
Tmem144	chr3	TRUE	FALSE
Arid1b	chr17	FALSE	FALSE
Robo1	chr16	FALSE	FALSE
Ptprf	chr4	FALSE	TRUE
Fez2	chr17	TRUE	FALSE
Smg6	chr11	FALSE	FALSE
Cradd	chr10	FALSE	FALSE
Ptpn4	chr1	FALSE	FALSE
Amph	chr13	FALSE	TRUE
Stxbp5	chr10	FALSE	TRUE
Yipf7	chr5	TRUE	FALSE
Osbpl9	chr4	FALSE	TRUE
Scg2	chr1	TRUE	FALSE
Chil5	chr3	TRUE	FALSE
Zic3	chrX	FALSE	FALSE
Syne2	chr12	FALSE	FALSE
Chn2	chr6	FALSE	TRUE
Kcnb1	chr2	FALSE	TRUE
Ptk2b	chr14	FALSE	FALSE
Helz	chr11	FALSE	TRUE
Nav2	chr7	TRUE	FALSE
Nr4a2	chr2	TRUE	FALSE
Sap30	chr8	TRUE	FALSE
Gnptab	chr10	FALSE	TRUE
Cdh13	chr8	FALSE	TRUE
Grip2	chr6	FALSE	TRUE
Ccser1	chr6	TRUE	FALSE
Dcstamp	chr15	TRUE	FALSE
Enkur	chr2	TRUE	FALSE
Loxhd1	chr18	FALSE	TRUE
Atp9a	chr2	FALSE	TRUE
Lcorl	chr5	FALSE	TRUE
Cd200r3	chr16	TRUE	FALSE
Carmil1	chr13	FALSE	TRUE
Nin	chr12	FALSE	TRUE
Rgs17	chr10	FALSE	TRUE
Nphp1	chr2	TRUE	FALSE
Actn1	chr12	FALSE	TRUE
Wdfy3	chr5	TRUE	TRUE
Il20rb	chr9	TRUE	FALSE
Fam169a	chr13	TRUE	TRUE
Src	chr2	FALSE	TRUE
Map3k4	chr17	FALSE	TRUE
Tango6	chr8	FALSE	TRUE
Pou2f1	chr1	FALSE	TRUE
Shroom3	chr5	FALSE	FALSE
Sdc3	chr4	FALSE	TRUE
Cacna1a	chr8	FALSE	TRUE
Kif3b	chr2	FALSE	FALSE
Atxn2	chr5	FALSE	TRUE
Nrxn2	chr19	FALSE	TRUE
Klf12	chr14	FALSE	TRUE
Mdga2	chr12	TRUE	TRUE
Klf3	chr5	FALSE	TRUE
Pias1	chr9	FALSE	TRUE
Brd4	chr17	FALSE	TRUE
Scarb1	chr5	FALSE	FALSE
Dcbld1	chr10	FALSE	TRUE
Mctp2	chr7	FALSE	FALSE
Exoc2	chr13	FALSE	FALSE
Cers4	chr8	FALSE	TRUE
Smurf1	chr5	FALSE	TRUE
Ly6g6d	chr17	TRUE	FALSE
Pepd	chr7	FALSE	TRUE
Aox1	chr1	TRUE	FALSE
Arvcf	chr16	FALSE	FALSE
Angel1	chr12	TRUE	FALSE
Hectd4	chr5	FALSE	TRUE
Fam78b	chr1	TRUE	FALSE
Emsy	chr7	FALSE	TRUE
Iqsec3	chr6	FALSE	TRUE
Bcat1	chr6	FALSE	TRUE
7530416G11Rik	chr15	FALSE	TRUE
Slitrk2	chrX	TRUE	FALSE
Epb41l3	chr17	FALSE	TRUE
Atf7	chr15	FALSE	TRUE
Dpt	chr1	TRUE	FALSE
Ralyl	chr3	TRUE	TRUE
Slc23a2	chr2	FALSE	TRUE
Pld1	chr3	FALSE	FALSE
Tmem163	chr1	FALSE	FALSE
Mettl21e	chr1	TRUE	FALSE
Lmo1	chr7	FALSE	TRUE
Cacnb2	chr2	TRUE	FALSE
Fgf12	chr16	TRUE	FALSE
Trim36	chr18	FALSE	TRUE
Btbd8	chr5	TRUE	FALSE
Bmerb1	chr16	FALSE	TRUE
Sorl1	chr9	FALSE	TRUE
Usp7	chr16	FALSE	TRUE
Ccar2	chr14	FALSE	TRUE
Sntg1	chr1	TRUE	TRUE
Abcc8	chr7	FALSE	TRUE
Tenm4	chr7	TRUE	TRUE
Myh10	chr11	FALSE	TRUE
Kcnma1	chr14	TRUE	TRUE
Arhgef37	chr18	TRUE	FALSE
Exoc3l	chr8	TRUE	FALSE
Medag	chr5	FALSE	FALSE
Trp53bp1	chr2	FALSE	FALSE
Setd3	chr12	FALSE	FALSE
Atf3	chr1	FALSE	TRUE
Il1r1	chr1	FALSE	FALSE
Bmp2k	chr5	FALSE	TRUE
Ccdc167	chr17	FALSE	FALSE
Clip4	chr17	FALSE	TRUE
Slc29a3	chr10	FALSE	TRUE
Kifc3	chr8	FALSE	TRUE
Slmap	chr14	FALSE	TRUE
Nedd9	chr13	TRUE	TRUE
Csnka2ip	chr16	FALSE	FALSE
Lrrc55	chr2	FALSE	TRUE
Srsf4	chr4	FALSE	TRUE
Atp2b1	chr10	FALSE	FALSE
Dpysl3	chr18	FALSE	TRUE
Gja5	chr3	TRUE	FALSE
Tmem236	chr2	TRUE	FALSE
Ehd4	chr2	FALSE	FALSE
Nalcn	chr14	TRUE	FALSE
Cd6	chr19	TRUE	FALSE
Fhl1	chrX	FALSE	TRUE
Arhgef11	chr3	FALSE	FALSE
Cit	chr5	FALSE	TRUE
Acvr1b	chr15	FALSE	TRUE
Gcn1	chr5	FALSE	TRUE
Pcyt1b	chrX	FALSE	FALSE
Bdnf	chr2	TRUE	FALSE
Manea	chr4	TRUE	FALSE
Smad1	chr8	FALSE	TRUE
Chd2	chr7	FALSE	TRUE
Tshz3	chr7	FALSE	TRUE
Etfa	chr9	FALSE	TRUE
Dnajc6	chr4	FALSE	TRUE
Dennd3	chr15	FALSE	TRUE
Ccdc6	chr10	FALSE	TRUE
Cecr2	chr6	FALSE	TRUE
Fbxo11	chr17	FALSE	TRUE
Rspo3	chr10	FALSE	TRUE
Wwc1	chr11	FALSE	TRUE
Ank	chr15	FALSE	TRUE
Gna14	chr19	FALSE	TRUE
Zfp638	chr6	FALSE	TRUE
Trps1	chr15	FALSE	FALSE
Rras2	chr7	FALSE	TRUE
Slc7a1	chr5	FALSE	FALSE
Aim2	chr1	TRUE	TRUE
Apc	chr18	FALSE	TRUE
Ruvbl1	chr6	TRUE	FALSE
Plxdc2	chr2	TRUE	FALSE
Stpg2	chr3	TRUE	TRUE
Shtn1	chr19	FALSE	TRUE
D630045J12Rik	chr6	FALSE	FALSE
Nabp1	chr1	TRUE	FALSE
Rbms1	chr2	FALSE	TRUE
Map2	chr1	FALSE	TRUE
Rapgef6	chr11	FALSE	FALSE
Tmtc4	chr14	TRUE	FALSE
Clec16a	chr16	FALSE	FALSE
A330070K13Rik	chr5	TRUE	FALSE
Rnmt	chr18	TRUE	FALSE
Cdan1	chr2	FALSE	TRUE
Foxp4	chr17	FALSE	TRUE
Slc44a5	chr3	FALSE	TRUE
Trim2	chr3	FALSE	TRUE
Tmem238	chr7	TRUE	FALSE
Myof	chr19	TRUE	FALSE
Dok6	chr18	TRUE	TRUE
Plagl1	chr10	FALSE	TRUE
Prrc2b	chr2	FALSE	TRUE
Brinp1	chr4	FALSE	TRUE
Spata7	chr12	FALSE	FALSE
Sec14l1	chr11	FALSE	TRUE
Amer2	chr14	TRUE	FALSE
Dazl	chr17	TRUE	FALSE
Klf8	chrX	FALSE	TRUE
Arsg	chr11	TRUE	FALSE
Dtna	chr18	FALSE	FALSE
Adamts18	chr8	TRUE	FALSE
Slc25a26	chr6	FALSE	FALSE
Ubr3	chr2	FALSE	TRUE
Abtb2	chr2	TRUE	TRUE
Mpp4	chr1	FALSE	TRUE
Bptf	chr11	FALSE	TRUE
Lhfpl3	chr5	TRUE	TRUE
Ppp2r5a	chr1	FALSE	FALSE
Sorbs2	chr8	TRUE	TRUE
Atp8b1	chr18	FALSE	FALSE
Slc2a9	chr5	FALSE	FALSE
Map4k4	chr1	FALSE	TRUE
Inpp4b	chr8	TRUE	FALSE
Tmprss7	chr16	TRUE	FALSE
Nuak1	chr10	FALSE	TRUE
Cbfa2t2	chr2	TRUE	FALSE
Nxph1	chr6	TRUE	TRUE
Ndp	chrX	TRUE	FALSE
Mgat5b	chr11	FALSE	TRUE
Efhd2	chr4	FALSE	TRUE
Tbc1d2b	chr9	FALSE	FALSE
Srek1ip1	chr13	FALSE	FALSE
Ptpn3	chr4	FALSE	FALSE
Dapk2	chr9	FALSE	FALSE
4930505A04Rik	chr11	TRUE	FALSE
Trank1	chr9	FALSE	TRUE
Sestd1	chr2	FALSE	FALSE
Armc2	chr10	TRUE	FALSE
Dcc	chr18	TRUE	FALSE
Map2k5	chr9	FALSE	FALSE
Cdc40	chr10	TRUE	FALSE
Nacc2	chr2	FALSE	TRUE
Il11ra1	chr4	FALSE	FALSE
Dglucy	chr12	TRUE	FALSE
Ncoa5	chr2	FALSE	TRUE
Cilp	chr9	FALSE	FALSE
Prpf40a	chr2	FALSE	TRUE
Lgi2	chr5	FALSE	FALSE
Ppm1b	chr17	FALSE	TRUE
Hmcn2	chr2	FALSE	TRUE
Cdh7	chr1	TRUE	FALSE
Ly6g6c	chr17	TRUE	FALSE
Oxr1	chr15	TRUE	TRUE
Disc1	chr8	FALSE	FALSE
Mtmr3	chr11	FALSE	TRUE
Atp11c	chrX	TRUE	TRUE
Taf4	chr2	FALSE	TRUE
Slc25a12	chr2	FALSE	TRUE
Adgra1	chr7	FALSE	TRUE
Cdh11	chr8	FALSE	TRUE
Prmt8	chr6	FALSE	TRUE
Tspan13	chr12	FALSE	TRUE
Ryk	chr9	FALSE	TRUE
Hdac11	chr6	TRUE	FALSE
Osbpl8	chr10	FALSE	TRUE
Itga7	chr10	TRUE	FALSE
Rbm20	chr19	FALSE	FALSE
Crcp	chr5	FALSE	FALSE
Foxo1	chr3	FALSE	FALSE
Skap2	chr6	FALSE	FALSE
Ttc39a	chr4	FALSE	TRUE
Gli2	chr1	FALSE	TRUE
Nek10	chr14	TRUE	FALSE
Nostrin	chr2	FALSE	TRUE
Shank3	chr15	FALSE	TRUE
Hsf5	chr11	FALSE	TRUE
Rnf182	chr13	TRUE	FALSE
Plekhf1	chr7	TRUE	FALSE
Rapgef5	chr12	TRUE	TRUE
Pla2r1	chr2	FALSE	FALSE
Angptl2	chr2	FALSE	TRUE
Barhl1	chr2	FALSE	TRUE
Rdx	chr9	FALSE	TRUE
Cdc42ep4	chr11	FALSE	TRUE
Ube2u	chr4	FALSE	FALSE
Kctd3	chr1	FALSE	TRUE
Gnal	chr18	FALSE	TRUE
Actg2	chr6	TRUE	FALSE
Rnf144a	chr12	FALSE	FALSE
Cdc5l	chr17	FALSE	TRUE
Lrrc8c	chr5	FALSE	TRUE
Col22a1	chr15	FALSE	FALSE
Arhgap24	chr5	TRUE	FALSE
Fbxl2	chr9	FALSE	TRUE
Cnksr3	chr10	FALSE	TRUE
Setd5	chr6	FALSE	TRUE
N4bp1	chr8	FALSE	TRUE
Clec2l	chr6	FALSE	TRUE
Galnt5	chr2	TRUE	FALSE
Unc5cl	chr17	FALSE	FALSE
Dusp8	chr7	FALSE	TRUE
Lyn	chr4	TRUE	FALSE
Cyb5r4	chr9	FALSE	FALSE
Pdzd2	chr15	FALSE	FALSE
Msh2	chr17	FALSE	TRUE
Zmym4	chr4	FALSE	TRUE
Cxadr	chr16	FALSE	TRUE
Tbc1d31	chr15	TRUE	FALSE
Rasgrp2	chr19	FALSE	TRUE
Kctd1	chr18	FALSE	TRUE
Lep	chr6	TRUE	FALSE
Vipr1	chr9	FALSE	TRUE
Ehd1	chr19	FALSE	TRUE
Cdc14b	chr13	FALSE	TRUE
Cdyl2	chr8	TRUE	FALSE
Slc35f4	chr14	TRUE	FALSE
Ift122	chr6	TRUE	FALSE
Kmt5b	chr19	FALSE	FALSE
Stk31	chr6	FALSE	FALSE
Rdh5	chr10	TRUE	FALSE
Arhgap20	chr9	FALSE	TRUE
Cd300ld3	chr11	TRUE	FALSE
Frmd4b	chr6	FALSE	TRUE
Itm2c	chr1	TRUE	FALSE
Rgs16	chr1	FALSE	TRUE
Gpr82	chrX	FALSE	TRUE
Ncor1	chr11	TRUE	TRUE
Cald1	chr6	FALSE	FALSE
4930444P10Rik	chr1	FALSE	FALSE
Scd1	chr19	TRUE	FALSE
Scfd2	chr5	TRUE	FALSE
Gucy1a2	chr9	TRUE	TRUE
Epb41l4b	chr4	FALSE	FALSE
Txndc11	chr16	FALSE	TRUE
Saa3	chr7	TRUE	FALSE
Lonrf1	chr8	FALSE	FALSE
Nsd2	chr5	FALSE	TRUE
Ppp1r14c	chr10	FALSE	TRUE
Arrb1	chr7	FALSE	FALSE
Rcan1	chr16	FALSE	TRUE
Tbck	chr3	FALSE	TRUE
Mkrn2	chr6	FALSE	FALSE
Tab2	chr10	FALSE	TRUE
Lyst	chr13	TRUE	FALSE
Myrip	chr9	FALSE	TRUE
Agpat3	chr10	FALSE	FALSE
Abcc12	chr8	TRUE	FALSE
Fam117b	chr1	FALSE	TRUE
Cbx5	chr15	FALSE	TRUE
Plppr5	chr3	TRUE	TRUE
Twf2	chr9	TRUE	FALSE
Relt	chr7	FALSE	TRUE
Zfp438	chr18	FALSE	FALSE
Fbxl20	chr11	FALSE	TRUE
Vps50	chr6	TRUE	FALSE
Tmod3	chr9	FALSE	FALSE
Ube2r2	chr4	FALSE	TRUE
Kctd6	chr14	TRUE	FALSE
BC034090	chr1	FALSE	FALSE
Camk2g	chr14	FALSE	FALSE
Otx2	chr14	FALSE	FALSE
Get1	chr16	TRUE	FALSE
Chadl	chr15	FALSE	TRUE
Dynlrb2	chr8	TRUE	FALSE
Cplx1	chr5	FALSE	TRUE
Kcnk3	chr5	FALSE	TRUE
Adcy1	chr11	FALSE	FALSE
Fzd7	chr1	TRUE	FALSE
Fam171a1	chr2	FALSE	TRUE
Cand1	chr10	FALSE	TRUE
Baz1b	chr5	FALSE	TRUE
Cttnbp2	chr6	FALSE	TRUE
Ackr1	chr1	FALSE	TRUE
Ccdc187	chr2	FALSE	FALSE
Picalm	chr7	FALSE	TRUE
Kdm2b	chr5	FALSE	FALSE
Lekr1	chr3	FALSE	FALSE
P3h4	chr11	TRUE	FALSE
Pbx3	chr2	TRUE	FALSE
E2f1	chr2	TRUE	FALSE
Myo10	chr15	TRUE	FALSE
Itpk1	chr12	TRUE	FALSE
Plekhg3	chr12	FALSE	TRUE
Gabrr2	chr4	TRUE	FALSE
