gene_name	chr	MeCP2_up	mCH_up
Smo	chr6	FALSE	FALSE
Siglech	chr7	TRUE	FALSE
Aco1	chr4	FALSE	TRUE
Nfkb1	chr3	FALSE	TRUE
Ctsa	chr2	FALSE	FALSE
Mybphl	chr3	TRUE	FALSE
Letm2	chr8	TRUE	FALSE
Fscn1	chr5	FALSE	FALSE
Klhl5	chr5	TRUE	FALSE
H6pd	chr4	FALSE	TRUE
Casp6	chr3	TRUE	FALSE
Tcea3	chr4	FALSE	FALSE
Mmp9	chr2	FALSE	FALSE
Zbtb25	chr12	FALSE	FALSE
Cib1	chr7	FALSE	FALSE
Hdac6	chrX	TRUE	FALSE
Sart3	chr5	FALSE	FALSE
Prkx	chrX	FALSE	TRUE
Traf4	chr11	FALSE	FALSE
Cemip2	chr19	TRUE	TRUE
Gypa	chr8	FALSE	FALSE
Nceh1	chr3	FALSE	TRUE
Pcdhac2	chr18	FALSE	FALSE
Pofut1	chr2	FALSE	FALSE
Ppp2r2d	chr7	FALSE	FALSE
Dtx4	chr19	FALSE	FALSE
Kat6b	chr14	FALSE	TRUE
Espn	chr4	FALSE	FALSE
Pnpla8	chr12	TRUE	TRUE
2810459M11Rik	chr1	FALSE	FALSE
Aimp1	chr3	FALSE	TRUE
Gnl2	chr4	FALSE	FALSE
Eed	chr7	FALSE	FALSE
Igdcc3	chr9	FALSE	FALSE
Cbr3	chr16	FALSE	FALSE
Guca2b	chr4	FALSE	FALSE
Nudt4	chr10	TRUE	FALSE
Vti1b	chr12	FALSE	FALSE
Smco4	chr9	TRUE	FALSE
Zbtb38	chr9	TRUE	TRUE
Sumo2	chr11	FALSE	FALSE
Rnf8	chr17	FALSE	FALSE
Alg5	chr3	FALSE	TRUE
Scn3b	chr9	FALSE	FALSE
Slc43a1	chr2	FALSE	FALSE
Zfr	chr15	FALSE	TRUE
Cenpu	chr8	TRUE	FALSE
Carm1	chr9	TRUE	FALSE
Scml4	chr10	FALSE	FALSE
Arfgef1	chr1	FALSE	TRUE
Gmpr	chr13	FALSE	TRUE
Vamp1	chr6	FALSE	FALSE
Crygn	chr5	TRUE	FALSE
Pja2	chr17	FALSE	TRUE
Hid1	chr11	FALSE	FALSE
9030624G23Rik	chr12	FALSE	TRUE
Hpgds	chr6	FALSE	FALSE
Rbm47	chr5	FALSE	TRUE
Cnot6	chr11	TRUE	TRUE
Ccdc38	chr10	TRUE	TRUE
Cd300lg	chr11	TRUE	FALSE
Pid1	chr1	TRUE	TRUE
Esr2	chr12	FALSE	FALSE
Zfr2	chr10	FALSE	FALSE
C1qtnf2	chr11	TRUE	FALSE
Fam124a	chr14	FALSE	FALSE
Ip6k3	chr17	FALSE	FALSE
Sim2	chr16	FALSE	FALSE
Slc7a6	chr8	FALSE	FALSE
Traf3ip3	chr1	TRUE	TRUE
Gfra3	chr18	FALSE	FALSE
Nectin3	chr16	FALSE	TRUE
Nt5dc3	chr10	FALSE	TRUE
Amz1	chr5	TRUE	FALSE
Rab11fip1	chr8	TRUE	TRUE
Pou6f2	chr13	TRUE	TRUE
Kcnn4	chr7	FALSE	FALSE
Grm6	chr11	FALSE	FALSE
Grin1	chr2	FALSE	FALSE
Tacr1	chr6	FALSE	TRUE
Manf	chr9	TRUE	TRUE
Mfsd6	chr1	FALSE	FALSE
Fbxo21	chr5	TRUE	TRUE
Ttc41	chr10	TRUE	TRUE
Asb10	chr5	FALSE	FALSE
Rxfp1	chr3	FALSE	TRUE
Acvr2b	chr9	FALSE	FALSE
Tmem185b	chr1	TRUE	TRUE
Map3k21	chr8	FALSE	FALSE
Cyb5d1	chr11	FALSE	FALSE
Bmi1	chr2	FALSE	TRUE
Nlgn2	chr11	TRUE	FALSE
Socs5	chr17	FALSE	FALSE
Dcst1	chr3	FALSE	FALSE
Bcan	chr3	FALSE	FALSE
Eef1d	chr15	FALSE	FALSE
Pou3f2	chr4	FALSE	FALSE
Csf1	chr3	FALSE	FALSE
Bmp4	chr14	TRUE	FALSE
Cldn5	chr16	FALSE	FALSE
Shkbp1	chr7	FALSE	FALSE
Mbd6	chr10	FALSE	FALSE
Usf1	chr1	FALSE	FALSE
Tspan7	chrX	TRUE	FALSE
Inka2	chr3	FALSE	TRUE
Pfkfb3	chr2	FALSE	TRUE
Nbeal2	chr9	FALSE	FALSE
Zbtb42	chr12	FALSE	FALSE
Ptpn20	chr14	TRUE	TRUE
Alad	chr4	FALSE	TRUE
Fem1b	chr9	FALSE	FALSE
Lrrc4b	chr7	FALSE	FALSE
Gabbr1	chr17	FALSE	FALSE
Kcnq3	chr15	TRUE	TRUE
Draxin	chr4	FALSE	FALSE
Diaph2	chrX	FALSE	TRUE
Txnrd3	chr6	TRUE	FALSE
Nhsl2	chrX	FALSE	TRUE
Flii	chr11	TRUE	FALSE
Mid2	chrX	FALSE	FALSE
Zkscan17	chr11	FALSE	TRUE
Maea	chr5	FALSE	FALSE
Wdr11	chr7	TRUE	TRUE
Krt86	chr15	FALSE	FALSE
Kcna10	chr3	TRUE	FALSE
Dzank1	chr2	FALSE	TRUE
Vrk3	chr7	FALSE	FALSE
Tnip1	chr11	FALSE	FALSE
Gm826	chr2	FALSE	FALSE
Sbk1	chr7	TRUE	TRUE
Gp5	chr16	FALSE	FALSE
Tollip	chr7	FALSE	FALSE
Creb3l2	chr6	TRUE	TRUE
Rassf2	chr2	FALSE	FALSE
Enpp6	chr8	FALSE	TRUE
Kcnh5	chr12	TRUE	TRUE
Slc6a15	chr10	TRUE	FALSE
Has3	chr8	FALSE	FALSE
Scrn1	chr6	FALSE	TRUE
Tbx4	chr11	FALSE	FALSE
Hsf4	chr8	FALSE	FALSE
Hhatl	chr9	FALSE	FALSE
Arhgap30	chr1	TRUE	FALSE
Gm11733	chr11	FALSE	FALSE
Tspan33	chr6	FALSE	FALSE
Kcnc3	chr7	TRUE	FALSE
Lipa	chr19	FALSE	FALSE
Kcnk15	chr2	FALSE	FALSE
Gulp1	chr1	TRUE	TRUE
Ccdc24	chr4	TRUE	FALSE
Tmem178	chr17	TRUE	FALSE
Afap1l1	chr18	TRUE	TRUE
Zbtb18	chr1	FALSE	FALSE
Pxn	chr5	FALSE	FALSE
Ano1	chr7	TRUE	TRUE
Utp6	chr11	TRUE	FALSE
Plxna4	chr6	FALSE	TRUE
Igf2	chr7	FALSE	FALSE
Ocln	chr13	FALSE	TRUE
Stard8	chrX	FALSE	FALSE
Fstl1	chr16	FALSE	FALSE
Arhgef28	chr13	FALSE	TRUE
Adgrl4	chr3	TRUE	TRUE
Vdac3	chr8	FALSE	FALSE
Ccm2	chr11	FALSE	FALSE
Hs6st2	chrX	FALSE	TRUE
Sdr42e1	chr8	FALSE	FALSE
Vgll3	chr16	TRUE	TRUE
Clasrp	chr7	FALSE	FALSE
Klhl8	chr5	FALSE	FALSE
Agfg1	chr1	FALSE	TRUE
Pxmp4	chr2	FALSE	TRUE
Ap2a1	chr7	FALSE	TRUE
Klc2	chr19	FALSE	FALSE
Adgrg1	chr8	FALSE	FALSE
Mllt11	chr3	TRUE	FALSE
Fabp5	chr3	FALSE	FALSE
Slf2	chr19	FALSE	TRUE
Mfsd4b5	chr10	FALSE	FALSE
Vegfc	chr8	TRUE	TRUE
Cltc	chr11	FALSE	TRUE
Cap1	chr4	FALSE	FALSE
Crb3	chr17	FALSE	FALSE
Bsdc1	chr4	FALSE	TRUE
Agk	chr6	FALSE	TRUE
Lzts3	chr2	FALSE	FALSE
Ramp1	chr1	FALSE	FALSE
Sufu	chr19	FALSE	TRUE
Cyb561	chr11	FALSE	FALSE
Tbc1d13	chr2	FALSE	FALSE
Cilk1	chr9	FALSE	TRUE
Cxcl12	chr6	FALSE	FALSE
Klhdc7a	chr4	FALSE	FALSE
Fcnb	chr2	FALSE	FALSE
Bmp3	chr5	FALSE	TRUE
Ccdc172	chr19	FALSE	FALSE
Ccnd2	chr6	FALSE	FALSE
Zscan20	chr4	FALSE	TRUE
Dhcr24	chr4	FALSE	FALSE
Ly6g6g	chr15	FALSE	TRUE
Sec31a	chr5	TRUE	TRUE
Ndel1	chr11	FALSE	FALSE
H2-K1	chr17	FALSE	FALSE
C1ql4	chr15	FALSE	FALSE
Nkapd1	chr9	FALSE	FALSE
Lin54	chr5	FALSE	TRUE
Krt4	chr15	TRUE	FALSE
Ssbp4	chr8	FALSE	FALSE
Tpcn1	chr5	TRUE	FALSE
Slc26a2	chr18	FALSE	FALSE
Arg2	chr12	FALSE	TRUE
Tmem119	chr5	TRUE	FALSE
Plekhh3	chr11	FALSE	FALSE
Lif	chr11	FALSE	FALSE
Cd200	chr16	TRUE	FALSE
Steap1	chr5	FALSE	FALSE
Gjb4	chr4	FALSE	FALSE
Il1rapl1	chrX	TRUE	TRUE
Hbp1	chr12	TRUE	TRUE
Rnd3	chr2	TRUE	FALSE
Aqp12	chr1	FALSE	FALSE
Larp1b	chr3	FALSE	TRUE
Afap1l2	chr19	TRUE	TRUE
Fndc11	chr2	FALSE	FALSE
Pik3c3	chr18	TRUE	TRUE
B4galt5	chr2	FALSE	FALSE
Nck2	chr1	TRUE	TRUE
Brd1	chr15	FALSE	FALSE
Tk2	chr8	FALSE	TRUE
Dapl1	chr2	TRUE	TRUE
Nmt2	chr2	FALSE	TRUE
Tnfaip8l3	chr9	TRUE	FALSE
Zfp672	chr11	FALSE	FALSE
Wdr91	chr6	FALSE	TRUE
Ppp1r10	chr17	FALSE	FALSE
G3bp2	chr5	FALSE	TRUE
Stn1	chr19	FALSE	FALSE
Pomt1	chr2	FALSE	FALSE
Zfp503	chr14	FALSE	FALSE
Copa	chr1	FALSE	TRUE
Tgfb1i1	chr7	FALSE	TRUE
Onecut1	chr9	FALSE	FALSE
Zwint	chr10	FALSE	FALSE
Esyt1	chr10	FALSE	FALSE
9130019O22Rik	chr7	FALSE	FALSE
Cdk5r2	chr1	FALSE	FALSE
Chrnb4	chr9	FALSE	FALSE
Trim7	chr11	FALSE	FALSE
Cmklr1	chr5	TRUE	FALSE
Ercc4	chr16	FALSE	TRUE
Taf15	chr11	TRUE	FALSE
Fstl3	chr10	FALSE	FALSE
Il34	chr8	FALSE	TRUE
3425401B19Rik	chr14	FALSE	FALSE
Glrx2	chr1	FALSE	FALSE
Cbx7	chr15	FALSE	FALSE
Fah	chr7	FALSE	FALSE
Cyp17a1	chr19	FALSE	FALSE
Slc22a18	chr7	TRUE	FALSE
Adtrp	chr13	TRUE	TRUE
Hat1	chr2	FALSE	FALSE
Ssbp3	chr4	FALSE	TRUE
Lrrk2	chr15	TRUE	TRUE
Fbxo31	chr8	TRUE	FALSE
Mrps22	chr9	FALSE	FALSE
Pacsin1	chr17	FALSE	TRUE
Gpr155	chr2	FALSE	FALSE
Wnt9a	chr11	FALSE	FALSE
Zbtb48	chr4	FALSE	FALSE
Stard13	chr5	FALSE	TRUE
Commd6	chr14	FALSE	TRUE
Oog4	chr4	FALSE	FALSE
Tsnaxip1	chr8	FALSE	FALSE
Nr1i2	chr16	TRUE	TRUE
Epb41	chr4	FALSE	TRUE
Snorc	chr1	FALSE	FALSE
Rasa1	chr13	FALSE	TRUE
Sh3d21	chr4	FALSE	FALSE
Ercc5	chr1	FALSE	FALSE
Fras1	chr5	FALSE	TRUE
Defb41	chr1	TRUE	FALSE
Vim	chr2	FALSE	FALSE
Pi4ka	chr16	FALSE	TRUE
Itgb1	chr8	FALSE	TRUE
Myo7b	chr18	FALSE	TRUE
Bpgm	chr6	FALSE	FALSE
Hapln4	chr8	FALSE	FALSE
Bhlhe22	chr3	TRUE	FALSE
Eif3a	chr19	FALSE	TRUE
Col4a4	chr1	FALSE	TRUE
Pmp22	chr11	FALSE	FALSE
Cib4	chr5	TRUE	FALSE
Mrps24	chr11	TRUE	TRUE
Usp9x	chrX	FALSE	TRUE
Gm19410	chr8	FALSE	TRUE
Hps6	chr19	FALSE	TRUE
Vps37b	chr5	FALSE	FALSE
Ankrd13b	chr11	FALSE	FALSE
Tmem45b	chr9	FALSE	TRUE
Gnas	chr2	FALSE	TRUE
Pygm	chr19	FALSE	FALSE
B3galt2	chr1	TRUE	FALSE
Col1a1	chr11	FALSE	FALSE
Dok5	chr2	TRUE	TRUE
Shprh	chr10	FALSE	TRUE
Ltb4r1	chr14	FALSE	FALSE
Tpst2	chr5	TRUE	FALSE
Prss35	chr9	FALSE	FALSE
Lrrtm3	chr10	TRUE	TRUE
Chst8	chr7	TRUE	TRUE
Pcyox1	chr6	FALSE	FALSE
Adra1a	chr14	TRUE	TRUE
Cacna1s	chr1	FALSE	FALSE
Exoc3l2	chr7	TRUE	FALSE
Insm1	chr2	FALSE	FALSE
Gtpbp4	chr13	FALSE	TRUE
Mus81	chr19	TRUE	FALSE
Tpo	chr12	FALSE	FALSE
Ccdc169	chr3	FALSE	FALSE
Gpa33	chr1	FALSE	FALSE
Rcsd1	chr1	FALSE	FALSE
Nkx6-3	chr8	FALSE	FALSE
Ankmy2	chr12	FALSE	TRUE
Lnx2	chr5	FALSE	TRUE
Aqp9	chr9	TRUE	TRUE
Foxc1	chr13	FALSE	FALSE
Hgs	chr11	FALSE	FALSE
Ahi1	chr10	FALSE	TRUE
2510039O18Rik	chr4	FALSE	FALSE
Kcnk1	chr8	FALSE	TRUE
Cabp2	chr19	FALSE	TRUE
Itga11	chr9	FALSE	FALSE
Sh2b2	chr5	TRUE	FALSE
Mapre2	chr18	FALSE	TRUE
Gata4	chr14	TRUE	TRUE
Cfap100	chr6	FALSE	FALSE
Apcdd1	chr18	FALSE	FALSE
Rnft2	chr5	FALSE	FALSE
Gja1	chr10	FALSE	FALSE
Pla2g4b	chr2	FALSE	FALSE
Antxrl	chr14	FALSE	FALSE
Ccdc88b	chr19	FALSE	FALSE
Mphosph9	chr5	FALSE	FALSE
Il1rl2	chr1	TRUE	TRUE
Urgcp	chr11	FALSE	TRUE
Sfrp1	chr8	FALSE	FALSE
Rpl35a	chr16	FALSE	FALSE
Ttyh3	chr5	FALSE	TRUE
Pgpep1	chr8	FALSE	FALSE
Clec10a	chr11	FALSE	FALSE
Tmem212	chr3	FALSE	FALSE
Tbc1d23	chr16	TRUE	TRUE
Chac1	chr2	TRUE	TRUE
Pld4	chr12	FALSE	FALSE
Gh	chr11	FALSE	FALSE
Crispld2	chr8	TRUE	FALSE
Rbm28	chr6	FALSE	TRUE
Zbtb41	chr1	FALSE	TRUE
Cdr2	chr7	FALSE	FALSE
Rnf103	chr6	FALSE	FALSE
Tab1	chr15	FALSE	FALSE
Zfp36l2	chr17	FALSE	FALSE
Crbn	chr6	FALSE	TRUE
Boc	chr16	TRUE	TRUE
Cd3e	chr9	FALSE	FALSE
Zfp282	chr6	TRUE	FALSE
Sult2a5	chr7	TRUE	TRUE
Ankrd33b	chr15	TRUE	FALSE
Ing5	chr1	TRUE	FALSE
Slc27a6	chr18	TRUE	TRUE
Amotl2	chr9	FALSE	FALSE
Pex26	chr6	FALSE	FALSE
Dmrt1	chr19	TRUE	TRUE
Ppox	chr1	TRUE	FALSE
Psmb11	chr14	FALSE	FALSE
Erich6b	chr14	FALSE	FALSE
Efr3a	chr15	TRUE	TRUE
Cdk5rap3	chr11	FALSE	FALSE
Wipi1	chr11	FALSE	TRUE
Celf2	chr2	TRUE	TRUE
Sds	chr5	FALSE	FALSE
Tex22	chr12	FALSE	FALSE
Zfp219	chr14	FALSE	FALSE
Irs4	chrX	FALSE	FALSE
Wbp2	chr11	TRUE	FALSE
Npffr1	chr10	FALSE	FALSE
Il11	chr7	FALSE	FALSE
Skor2	chr18	FALSE	FALSE
Tktl2	chr8	FALSE	FALSE
Hpn	chr7	FALSE	FALSE
Igf2bp2	chr16	TRUE	TRUE
Por	chr5	FALSE	FALSE
Prokr1	chr6	FALSE	FALSE
Adamts19	chr18	FALSE	TRUE
Epha2	chr4	TRUE	FALSE
Myo9b	chr8	FALSE	TRUE
Cyp4f13	chr17	FALSE	TRUE
Kat5	chr19	FALSE	FALSE
Ogfod1	chr8	TRUE	TRUE
Clcn3	chr8	FALSE	TRUE
Retsat	chr6	TRUE	FALSE
Enoph1	chr5	TRUE	TRUE
Phyh	chr2	FALSE	FALSE
Wars2	chr3	TRUE	TRUE
C3	chr17	FALSE	FALSE
Rab27a	chr9	FALSE	FALSE
Nkain1	chr4	FALSE	FALSE
Apoa1	chr9	FALSE	FALSE
Sp2	chr11	TRUE	TRUE
Pbxip1	chr3	FALSE	FALSE
Med10	chr13	FALSE	FALSE
Canx	chr11	FALSE	TRUE
Diaph1	chr18	FALSE	TRUE
Caskin1	chr17	FALSE	FALSE
Txndc5	chr13	TRUE	FALSE
Adra2c	chr5	FALSE	FALSE
Ccna1	chr3	FALSE	FALSE
Ammecr1l	chr18	FALSE	TRUE
Polr2a	chr11	FALSE	FALSE
Bcl11b	chr12	TRUE	FALSE
Kri1	chr9	TRUE	FALSE
Exoc5	chr14	FALSE	TRUE
Fgfrl1	chr5	FALSE	TRUE
Ppargc1a	chr5	FALSE	TRUE
Cct3	chr3	TRUE	FALSE
Tecpr2	chr12	FALSE	TRUE
Golga2	chr2	FALSE	FALSE
D430019H16Rik	chr12	FALSE	FALSE
Nsun6	chr2	FALSE	TRUE
Sphk2	chr7	FALSE	FALSE
Cacna2d1	chr5	FALSE	TRUE
Cd109	chr9	TRUE	TRUE
Hsd17b12	chr2	FALSE	TRUE
She	chr3	FALSE	FALSE
Slc9a6	chrX	FALSE	FALSE
Usp48	chr4	FALSE	TRUE
Cdc37l1	chr19	FALSE	TRUE
Grhl3	chr4	FALSE	FALSE
S100a2	chr3	FALSE	FALSE
Dmd	chrX	TRUE	TRUE
D2hgdh	chr1	FALSE	FALSE
Wdr20	chr12	FALSE	TRUE
Mocs2	chr13	TRUE	FALSE
Oit3	chr10	FALSE	FALSE
Asb2	chr12	FALSE	FALSE
Sf1	chr19	FALSE	TRUE
Cdc25a	chr9	TRUE	FALSE
Pax9	chr12	FALSE	FALSE
Tnfaip6	chr2	FALSE	FALSE
Mad2l1	chr6	FALSE	FALSE
Lypd6	chr2	TRUE	FALSE
Arsa	chr15	FALSE	FALSE
Bsn	chr9	TRUE	TRUE
Dsg1c	chr18	TRUE	FALSE
St6galnac6	chr2	FALSE	FALSE
Got1	chr19	FALSE	FALSE
D3Ertd751e	chr3	TRUE	TRUE
Hlx	chr1	TRUE	FALSE
Ddx18	chr1	TRUE	FALSE
Stmn2	chr3	FALSE	FALSE
Lmnb1	chr18	FALSE	FALSE
Sox4	chr13	TRUE	FALSE
P3h3	chr6	FALSE	TRUE
Ethe1	chr7	FALSE	FALSE
Vsir	chr10	FALSE	FALSE
Appl1	chr14	FALSE	TRUE
Dmap1	chr4	FALSE	FALSE
Hcfc1r1	chr17	FALSE	FALSE
Ube2f	chr1	FALSE	TRUE
Fam83f	chr15	FALSE	FALSE
Larp6	chr9	FALSE	TRUE
Ephb3	chr16	FALSE	FALSE
Anp32e	chr3	FALSE	TRUE
Itgb8	chr12	FALSE	TRUE
Aff1	chr5	FALSE	FALSE
Dpyd	chr3	TRUE	TRUE
Cidea	chr18	FALSE	FALSE
B4galt4	chr16	FALSE	FALSE
Taf5l	chr8	TRUE	FALSE
Pgk1	chrX	FALSE	FALSE
Wipi2	chr5	FALSE	FALSE
Slc4a9	chr18	TRUE	FALSE
Pitpnb	chr5	FALSE	TRUE
Gns	chr10	TRUE	TRUE
Lamc1	chr1	FALSE	TRUE
Aatk	chr11	FALSE	FALSE
Oas1d	chr5	FALSE	FALSE
Twf1	chr15	FALSE	FALSE
Cd5	chr19	FALSE	TRUE
Rasgef1c	chr11	FALSE	FALSE
Osbp	chr19	FALSE	FALSE
Creld2	chr15	FALSE	FALSE
Rmdn2	chr17	FALSE	TRUE
Pla2g15	chr8	FALSE	TRUE
Slc22a21	chr11	FALSE	FALSE
Trpv3	chr11	TRUE	FALSE
Ttll9	chr2	FALSE	FALSE
Eif2ak3	chr6	FALSE	TRUE
Icosl	chr10	FALSE	FALSE
Frzb	chr2	TRUE	FALSE
Rfpl4b	chr10	FALSE	FALSE
Zmym3	chrX	FALSE	FALSE
Rara	chr11	FALSE	FALSE
Rab31	chr17	TRUE	TRUE
Elf5	chr2	FALSE	FALSE
Swt1	chr1	FALSE	TRUE
Dhrs3	chr4	FALSE	FALSE
Ttll3	chr6	FALSE	FALSE
Prrg3	chrX	FALSE	FALSE
B3gnt6	chr7	FALSE	FALSE
Higd1a	chr9	FALSE	FALSE
Ythdf1	chr2	FALSE	FALSE
Rnps1	chr17	FALSE	FALSE
Heatr5b	chr17	FALSE	TRUE
Aire	chr10	FALSE	FALSE
Rsrp1	chr4	FALSE	FALSE
Zfp668	chr7	TRUE	FALSE
Sgms2	chr3	FALSE	TRUE
Proser2	chr2	TRUE	TRUE
Tsen34	chr7	FALSE	FALSE
Jpt2	chr17	FALSE	FALSE
Npr2	chr4	TRUE	TRUE
Dgke	chr11	TRUE	TRUE
Klhl7	chr5	TRUE	TRUE
Taf8	chr17	TRUE	FALSE
Grhl1	chr12	FALSE	FALSE
Kmt2a	chr9	FALSE	FALSE
Maff	chr15	FALSE	FALSE
Arhgef16	chr4	FALSE	FALSE
B3galnt2	chr13	FALSE	TRUE
Kcng2	chr18	FALSE	TRUE
Dctn6	chr8	FALSE	FALSE
Hnrnpr	chr4	FALSE	TRUE
Mier3	chr13	FALSE	TRUE
Fam98a	chr17	FALSE	FALSE
Smap1	chr1	FALSE	TRUE
Pipox	chr11	TRUE	TRUE
Snap25	chr2	FALSE	TRUE
Umod	chr7	FALSE	FALSE
Eif3b	chr5	FALSE	TRUE
Bpifb5	chr2	FALSE	FALSE
Dlx4	chr11	FALSE	FALSE
Stx1b	chr7	FALSE	FALSE
Rapgefl1	chr11	FALSE	FALSE
Ubash3b	chr9	FALSE	TRUE
Zfp719	chr7	FALSE	FALSE
Prdm6	chr18	FALSE	TRUE
Mllt10	chr2	TRUE	TRUE
Faim	chr9	TRUE	TRUE
Hs1bp3	chr12	FALSE	FALSE
Rapsn	chr2	FALSE	FALSE
Ppp2r1a	chr17	FALSE	TRUE
Mbp	chr18	FALSE	FALSE
Rpap1	chr2	FALSE	FALSE
Fam90a1b	chrX	FALSE	FALSE
Clrn1	chr3	TRUE	TRUE
Gldc	chr19	FALSE	FALSE
Prdm4	chr10	FALSE	FALSE
Ube2g1	chr11	FALSE	TRUE
Mterf2	chr10	TRUE	FALSE
C1qb	chr4	FALSE	FALSE
Nipal1	chr5	FALSE	FALSE
Tpm3	chr3	TRUE	TRUE
Clca2	chr3	FALSE	FALSE
Cenpc1	chr5	TRUE	TRUE
Gpr156	chr16	FALSE	TRUE
Fahd2a	chr2	FALSE	FALSE
Dclk3	chr9	FALSE	TRUE
B3galt1	chr2	TRUE	TRUE
Arnt	chr3	FALSE	TRUE
Ube2c	chr2	TRUE	FALSE
Ptges	chr2	FALSE	FALSE
Mrpl58	chr11	FALSE	FALSE
Arhgap22	chr14	FALSE	TRUE
Repin1	chr6	FALSE	TRUE
Fmod	chr1	FALSE	FALSE
Usp2	chr9	FALSE	TRUE
Mfsd14a	chr3	FALSE	FALSE
Pla2g2e	chr4	FALSE	FALSE
Axin2	chr11	TRUE	FALSE
Rhoq	chr17	TRUE	FALSE
Thrap3	chr4	FALSE	FALSE
Haao	chr17	FALSE	FALSE
Pcdhb7	chr18	FALSE	FALSE
Prxl2b	chr4	TRUE	FALSE
Golim4	chr3	FALSE	TRUE
Slc30a8	chr15	TRUE	FALSE
Csad	chr15	FALSE	FALSE
Rnf166	chr8	FALSE	TRUE
Trmu	chr15	FALSE	FALSE
Cyld	chr8	FALSE	TRUE
Lyrm4	chr13	FALSE	TRUE
Alkal1	chr1	FALSE	FALSE
Anp32a	chr9	FALSE	FALSE
Gm4791	chr9	TRUE	FALSE
Zc3hc1	chr6	FALSE	TRUE
Aldoart2	chr12	FALSE	TRUE
Celsr3	chr9	FALSE	FALSE
Foxd4	chr19	FALSE	FALSE
Msl2	chr9	FALSE	FALSE
Tub	chr7	FALSE	TRUE
Cops7a	chr6	FALSE	FALSE
Acsl4	chrX	FALSE	TRUE
