gene_name	chr	mch_gain	mecp2_gain
Glt8d2	chr10	TRUE	TRUE
Xkr6	chr14	FALSE	FALSE
Ints9	chr14	FALSE	FALSE
Eefsec	chr6	FALSE	TRUE
Ctnna3	chr10	TRUE	FALSE
Lrrn1	chr6	TRUE	FALSE
Hecw2	chr1	FALSE	FALSE
Ldlrad3	chr2	TRUE	TRUE
Zfand3	chr17	FALSE	FALSE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	FALSE
Cpeb3	chr19	FALSE	FALSE
F830045P16Rik	chr2	TRUE	TRUE
Cemip	chr7	FALSE	FALSE
Ncor2	chr5	FALSE	FALSE
Brinp3	chr1	TRUE	TRUE
Nfasc	chr1	FALSE	FALSE
Prdm5	chr6	TRUE	TRUE
Ncoa1	chr12	FALSE	FALSE
Rapgef2	chr3	FALSE	FALSE
Gria2	chr3	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chchd6	chr6	TRUE	FALSE
Eps8	chr6	FALSE	TRUE
Mgll	chr6	TRUE	TRUE
Nsmaf	chr4	TRUE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	FALSE
Cux1	chr5	FALSE	FALSE
Sfxn5	chr6	FALSE	TRUE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Cadps2	chr6	FALSE	FALSE
Akt3	chr1	FALSE	TRUE
Mtus2	chr5	FALSE	FALSE
Erc2	chr14	FALSE	FALSE
Ncoa2	chr1	FALSE	TRUE
Wdr7	chr18	FALSE	TRUE
St18	chr1	TRUE	TRUE
Gphn	chr12	FALSE	FALSE
Dennd1a	chr2	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Itsn1	chr16	FALSE	FALSE
Lrrc28	chr7	TRUE	FALSE
Myt1l	chr12	TRUE	TRUE
Serpinb8	chr1	TRUE	TRUE
Adcy9	chr16	FALSE	TRUE
Flrt3	chr2	TRUE	TRUE
Lca5l	chr16	TRUE	TRUE
Fmn2	chr1	FALSE	FALSE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	FALSE	FALSE
Camk1d	chr2	FALSE	TRUE
Rere	chr4	FALSE	TRUE
Zfp827	chr8	FALSE	TRUE
Ncam1	chr9	FALSE	FALSE
Zcchc7	chr4	FALSE	FALSE
Macrod1	chr19	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	FALSE
Farp1	chr14	FALSE	FALSE
Cd276	chr9	TRUE	TRUE
Dnaja3	chr16	FALSE	FALSE
Slc35f3	chr8	FALSE	FALSE
Dpp6	chr5	FALSE	FALSE
Rnf150	chr8	FALSE	FALSE
Dgki	chr6	FALSE	FALSE
Mbnl2	chr14	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Kcnab1	chr3	TRUE	TRUE
Abl1	chr2	FALSE	TRUE
Sez6l	chr5	FALSE	TRUE
Cdc73	chr1	FALSE	FALSE
Galnt13	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	FALSE
Cep128	chr12	TRUE	TRUE
Chchd3	chr6	FALSE	FALSE
Spock1	chr13	FALSE	FALSE
Garnl3	chr2	FALSE	FALSE
Ttc7b	chr12	FALSE	FALSE
Rapgef1	chr2	FALSE	FALSE
Atg7	chr6	FALSE	TRUE
Dipk2b	chrX	TRUE	TRUE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	FALSE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
Cadm2	chr16	TRUE	TRUE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	TRUE
Slc4a4	chr5	FALSE	FALSE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	FALSE	FALSE
Erc1	chr6	FALSE	FALSE
Cd83	chr13	TRUE	TRUE
Hs6st3	chr14	FALSE	FALSE
Grk5	chr19	FALSE	FALSE
Dnm3	chr1	FALSE	FALSE
Lhpp	chr7	TRUE	FALSE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	TRUE
Tex2	chr11	FALSE	TRUE
Uggt2	chr14	FALSE	TRUE
Ldlrad4	chr18	TRUE	FALSE
Sdccag8	chr1	TRUE	TRUE
Atp2b2	chr6	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Neb	chr2	TRUE	FALSE
Fbrsl1	chr5	FALSE	FALSE
Pkig	chr2	TRUE	TRUE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	FALSE
Arhgap35	chr7	FALSE	FALSE
Rag1	chr2	TRUE	TRUE
Stom	chr2	TRUE	FALSE
Nrros	chr16	TRUE	TRUE
Triqk	chr4	TRUE	TRUE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	FALSE	TRUE
Lipc	chr9	TRUE	TRUE
Zfp536	chr7	FALSE	FALSE
Pcca	chr14	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Atp8a2	chr14	FALSE	TRUE
Fam168a	chr7	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Bcr	chr10	FALSE	FALSE
Nr3c1	chr18	TRUE	FALSE
Plekhm3	chr1	FALSE	FALSE
Gas2	chr7	FALSE	FALSE
Arnt2	chr7	FALSE	FALSE
Tmeff2	chr1	TRUE	FALSE
Xpo4	chr14	FALSE	FALSE
Eif4g3	chr4	FALSE	FALSE
Chst15	chr7	TRUE	TRUE
Reln	chr5	FALSE	TRUE
Serpinb1b	chr13	TRUE	TRUE
Zfp385b	chr2	FALSE	FALSE
Zfp704	chr3	FALSE	TRUE
Rabgap1l	chr1	FALSE	TRUE
Sorbs1	chr19	FALSE	FALSE
Efr3b	chr12	TRUE	TRUE
Strbp	chr2	FALSE	FALSE
Zfp516	chr18	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Arhgef12	chr9	FALSE	FALSE
Mpped2	chr2	FALSE	TRUE
Gpm6b	chrX	TRUE	TRUE
Slc8a3	chr12	FALSE	FALSE
Ppfia2	chr10	FALSE	FALSE
Tasp1	chr2	FALSE	FALSE
Gpr158	chr2	FALSE	FALSE
Dennd1b	chr1	FALSE	FALSE
Acbd6	chr1	FALSE	TRUE
Polr1d	chr5	TRUE	TRUE
Cuedc1	chr11	FALSE	FALSE
Pde4dip	chr3	FALSE	FALSE
Rgs3	chr4	TRUE	TRUE
Kif18a	chr2	TRUE	TRUE
Galnt17	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
Cacna2d4	chr6	FALSE	FALSE
Tmem131l	chr3	FALSE	FALSE
Trp53bp2	chr1	TRUE	TRUE
Cacna1i	chr15	FALSE	TRUE
St3gal3	chr4	FALSE	FALSE
Mapkap1	chr2	FALSE	FALSE
Tnrc6c	chr11	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Bmpr2	chr1	FALSE	FALSE
Phf21a	chr2	FALSE	TRUE
Jakmip3	chr7	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Krt24	chr11	TRUE	TRUE
Reep1	chr6	FALSE	TRUE
Macf1	chr4	FALSE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Tmprss11d	chr5	TRUE	TRUE
Atp8a1	chr5	FALSE	FALSE
Clmp	chr9	TRUE	FALSE
Mrps27	chr13	TRUE	FALSE
Cacna1b	chr2	FALSE	TRUE
Cask	chrX	FALSE	FALSE
Aopep	chr13	FALSE	FALSE
Bicral	chr17	FALSE	TRUE
Dyrk1a	chr16	FALSE	TRUE
Tshz1	chr18	TRUE	TRUE
Myo9a	chr9	FALSE	FALSE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	FALSE	TRUE
Pde4d	chr13	TRUE	FALSE
Apbb2	chr5	FALSE	FALSE
Cnnm2	chr19	FALSE	FALSE
Mgat5	chr1	FALSE	TRUE
Kif1b	chr4	FALSE	FALSE
Efcab2	chr1	TRUE	FALSE
Srpk2	chr5	FALSE	FALSE
Srgap3	chr6	FALSE	FALSE
Lrrn2	chr1	FALSE	FALSE
Rasa3	chr8	FALSE	TRUE
Med12l	chr3	FALSE	FALSE
Slc22a23	chr13	FALSE	FALSE
Tlcd4	chr3	TRUE	TRUE
Ece1	chr4	FALSE	FALSE
Srgap2	chr1	FALSE	FALSE
Cntnap4	chr8	FALSE	TRUE
Pknox2	chr9	FALSE	FALSE
Zfp804a	chr2	TRUE	TRUE
Frmd5	chr2	FALSE	FALSE
Hibadh	chr6	FALSE	FALSE
Rps6ka2	chr17	FALSE	TRUE
Nedd4l	chr18	FALSE	FALSE
1700011L22Rik	chr8	TRUE	TRUE
Pde9a	chr17	FALSE	FALSE
Galnt18	chr7	FALSE	FALSE
Sipa1l1	chr12	FALSE	FALSE
Pbx1	chr1	FALSE	TRUE
Vgll4	chr6	FALSE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Rims1	chr1	FALSE	FALSE
1700017N19Rik	chr10	TRUE	TRUE
Slc10a7	chr8	FALSE	FALSE
Osbpl1a	chr18	TRUE	FALSE
Atg4c	chr4	FALSE	FALSE
Sort1	chr3	TRUE	TRUE
Lrp1b	chr2	TRUE	TRUE
Limch1	chr5	FALSE	FALSE
Kif16b	chr2	FALSE	FALSE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	FALSE
Tbca	chr13	FALSE	FALSE
Capzb	chr4	FALSE	FALSE
Zhx3	chr2	FALSE	FALSE
Lrrc8d	chr5	FALSE	FALSE
Rsf1	chr7	FALSE	FALSE
Cers6	chr2	FALSE	FALSE
Pacs2	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Mpp7	chr18	FALSE	FALSE
Cdh10	chr15	TRUE	FALSE
Actr3b	chr5	FALSE	FALSE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	TRUE	TRUE
Atxn10	chr15	FALSE	FALSE
Chd6	chr2	FALSE	TRUE
Bicdl1	chr5	FALSE	TRUE
Ntn4	chr10	TRUE	TRUE
Itpr3	chr17	FALSE	FALSE
Slc49a4	chr16	FALSE	FALSE
Galnt16	chr12	FALSE	FALSE
Stk24	chr14	FALSE	TRUE
Gatad2a	chr8	FALSE	FALSE
Ptprs	chr17	FALSE	TRUE
Nphp4	chr4	FALSE	FALSE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	FALSE
Kcnip4	chr5	FALSE	FALSE
Ano3	chr2	TRUE	TRUE
Cd47	chr16	TRUE	FALSE
Elovl6	chr3	FALSE	FALSE
Brinp2	chr1	TRUE	FALSE
Nrg2	chr18	FALSE	FALSE
Klhl32	chr4	FALSE	FALSE
Ralgps2	chr1	FALSE	TRUE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Rell1	chr5	TRUE	FALSE
Zhx2	chr15	TRUE	TRUE
Ank2	chr3	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Hs3st5	chr10	TRUE	FALSE
Clasp1	chr1	FALSE	FALSE
Rai1	chr11	FALSE	FALSE
9130401M01Rik	chr15	TRUE	TRUE
4930447A16Rik	chr15	TRUE	FALSE
Mast2	chr4	FALSE	FALSE
Nars2	chr7	FALSE	TRUE
Smpd3	chr8	FALSE	FALSE
Dnah8	chr17	FALSE	FALSE
Kdm4c	chr4	FALSE	FALSE
Pitpnm2	chr5	FALSE	FALSE
Ankef1	chr2	TRUE	FALSE
Fam81b	chr13	TRUE	TRUE
Tbc1d14	chr5	FALSE	FALSE
Sardh	chr2	FALSE	FALSE
Ppp2r5e	chr12	FALSE	FALSE
Hlcs	chr16	FALSE	FALSE
Caln1	chr5	TRUE	TRUE
Arhgap12	chr18	FALSE	FALSE
Stk32c	chr7	FALSE	TRUE
Pde3b	chr7	FALSE	FALSE
Phactr1	chr13	FALSE	FALSE
Fyn	chr10	FALSE	FALSE
Rbfox3	chr11	FALSE	FALSE
Lgr4	chr2	TRUE	FALSE
Cdh2	chr18	FALSE	FALSE
Upf2	chr2	FALSE	FALSE
Dhx32	chr7	TRUE	TRUE
Fbxl17	chr17	FALSE	FALSE
Tunar	chr12	FALSE	FALSE
Tmem108	chr9	FALSE	FALSE
Invs	chr4	FALSE	FALSE
Ttc3	chr16	FALSE	FALSE
Mta3	chr17	FALSE	TRUE
Ablim1	chr19	FALSE	FALSE
Luzp1	chr4	FALSE	FALSE
Tlk2	chr11	FALSE	FALSE
Lrrc20	chr10	FALSE	FALSE
Ebag9	chr15	TRUE	FALSE
Stxbp4	chr11	FALSE	FALSE
Rasal2	chr1	FALSE	FALSE
Oprl1	chr2	TRUE	TRUE
Myo18a	chr11	FALSE	FALSE
Coro2b	chr9	FALSE	TRUE
Map4	chr9	FALSE	TRUE
Lrch1	chr14	FALSE	FALSE
Gpr68	chr12	TRUE	FALSE
Mtfr1	chr3	TRUE	FALSE
Daam1	chr12	FALSE	FALSE
Shank1	chr7	FALSE	FALSE
Otud7a	chr7	FALSE	TRUE
Sirpa	chr2	FALSE	TRUE
Itgb1bp1	chr12	TRUE	FALSE
Ttll5	chr12	FALSE	FALSE
Kcnj3	chr2	FALSE	TRUE
Klf7	chr1	FALSE	TRUE
Dennd4a	chr9	FALSE	FALSE
Zfp532	chr18	FALSE	FALSE
Ppargc1b	chr18	FALSE	FALSE
Add2	chr6	FALSE	FALSE
Deptor	chr15	FALSE	FALSE
Dnajb6	chr5	FALSE	FALSE
Ssbp2	chr13	FALSE	FALSE
Kcnab2	chr4	FALSE	FALSE
Scai	chr2	FALSE	FALSE
Tmem144	chr3	TRUE	TRUE
Aak1	chr6	FALSE	FALSE
Arid1b	chr17	FALSE	TRUE
Sema4d	chr13	FALSE	FALSE
Meis1	chr11	FALSE	TRUE
Setbp1	chr18	FALSE	FALSE
Fmnl2	chr2	FALSE	TRUE
Phlpp1	chr1	FALSE	FALSE
Camk2b	chr11	FALSE	FALSE
Kirrel3	chr9	FALSE	FALSE
Ate1	chr7	FALSE	FALSE
Zfp609	chr9	FALSE	FALSE
Fut8	chr12	FALSE	TRUE
Chd7	chr4	FALSE	TRUE
Fez2	chr17	TRUE	TRUE
Myrfl	chr10	TRUE	FALSE
Smg6	chr11	FALSE	TRUE
Pik3c2b	chr1	FALSE	FALSE
Map7	chr10	FALSE	FALSE
Pkia	chr3	FALSE	FALSE
Kidins220	chr12	FALSE	TRUE
Stxbp5	chr10	FALSE	FALSE
Smarcd3	chr5	FALSE	TRUE
Sh3gl2	chr4	FALSE	FALSE
Yipf7	chr5	TRUE	FALSE
Scarb2	chr5	FALSE	FALSE
Ubr4	chr4	FALSE	TRUE
Lonrf2	chr1	FALSE	FALSE
Cnksr2	chrX	FALSE	FALSE
Osbpl9	chr4	FALSE	FALSE
Atp11a	chr8	FALSE	FALSE
Crppa	chr12	FALSE	FALSE
Bicd1	chr6	FALSE	FALSE
Fam120a	chr13	FALSE	FALSE
Scg2	chr1	TRUE	TRUE
Ttll7	chr3	FALSE	TRUE
Upp2	chr2	TRUE	TRUE
Syne2	chr12	FALSE	TRUE
Chn2	chr6	FALSE	FALSE
Pde3a	chr6	FALSE	TRUE
Gnao1	chr8	FALSE	FALSE
Fam172a	chr13	TRUE	FALSE
Adam23	chr1	FALSE	FALSE
Kif26b	chr1	FALSE	FALSE
Sptbn1	chr11	FALSE	FALSE
Hecw1	chr13	TRUE	FALSE
Smarca4	chr9	FALSE	FALSE
Nav2	chr7	TRUE	FALSE
Sap30	chr8	TRUE	FALSE
Gsk3b	chr16	FALSE	FALSE
Gnptab	chr10	FALSE	FALSE
Macroh2a1	chr13	FALSE	FALSE
Dcp1b	chr6	FALSE	FALSE
Macrod2	chr2	TRUE	TRUE
Slc4a10	chr2	FALSE	FALSE
Dnm2	chr9	FALSE	FALSE
Ccser1	chr6	TRUE	TRUE
Cadm1	chr9	FALSE	FALSE
Akap12	chr10	FALSE	FALSE
Arpp21	chr9	FALSE	TRUE
Fntb	chr12	TRUE	TRUE
Phldb1	chr9	FALSE	TRUE
AW554918	chr18	FALSE	FALSE
Esyt2	chr12	FALSE	FALSE
Enkur	chr2	TRUE	TRUE
Tet2	chr3	FALSE	FALSE
Kcnh1	chr1	FALSE	FALSE
Atp9a	chr2	FALSE	FALSE
Insr	chr8	FALSE	FALSE
Cd200r3	chr16	TRUE	TRUE
Carmil1	chr13	FALSE	TRUE
Slc7a14	chr3	FALSE	FALSE
Dtnb	chr12	FALSE	TRUE
Rgs17	chr10	FALSE	FALSE
Nphp1	chr2	TRUE	TRUE
Actn1	chr12	FALSE	FALSE
Wdfy3	chr5	TRUE	TRUE
Tsc22d1	chr14	FALSE	FALSE
App	chr16	FALSE	FALSE
Il20rb	chr9	TRUE	FALSE
Fry	chr5	FALSE	FALSE
Map3k4	chr17	FALSE	FALSE
Nup188	chr2	FALSE	FALSE
Large1	chr8	TRUE	FALSE
Sptbn4	chr7	FALSE	TRUE
Pou2f1	chr1	FALSE	FALSE
Sdc3	chr4	FALSE	FALSE
Cacna1a	chr8	FALSE	FALSE
Sel1l3	chr5	FALSE	TRUE
Ppp2r5c	chr12	FALSE	FALSE
Eif2ak4	chr2	FALSE	FALSE
Arhgap44	chr11	FALSE	TRUE
Baiap2	chr11	FALSE	TRUE
Kdm4b	chr17	FALSE	FALSE
Ube2w	chr1	FALSE	TRUE
Oxsr1	chr9	FALSE	FALSE
Ppa2	chr3	FALSE	FALSE
Plxna2	chr1	FALSE	TRUE
Jak1	chr4	FALSE	FALSE
Slc39a10	chr1	FALSE	FALSE
Nrxn2	chr19	FALSE	FALSE
Ankrd44	chr1	FALSE	FALSE
Auh	chr13	FALSE	FALSE
Mical2	chr7	FALSE	TRUE
Wnk2	chr13	FALSE	FALSE
Iffo2	chr4	FALSE	FALSE
Klf12	chr14	FALSE	FALSE
Rsph14	chr10	FALSE	FALSE
Adarb1	chr10	FALSE	FALSE
Klf3	chr5	FALSE	FALSE
Dgkg	chr16	FALSE	TRUE
Lin7a	chr10	FALSE	FALSE
Ism1	chr2	FALSE	FALSE
Aftph	chr11	FALSE	FALSE
Tet3	chr6	FALSE	FALSE
Paqr8	chr1	TRUE	TRUE
Eri3	chr4	FALSE	TRUE
Msh3	chr13	TRUE	FALSE
Cers4	chr8	FALSE	FALSE
Tbcd	chr11	FALSE	FALSE
Ly6g6d	chr17	TRUE	TRUE
Apba1	chr19	FALSE	FALSE
Mapt	chr11	FALSE	FALSE
Pepd	chr7	FALSE	FALSE
Prep	chr10	FALSE	FALSE
Sema4b	chr7	FALSE	FALSE
Man1c1	chr4	FALSE	TRUE
Aox1	chr1	TRUE	TRUE
Arvcf	chr16	FALSE	FALSE
Angel1	chr12	TRUE	TRUE
Pkn2	chr3	FALSE	FALSE
Fam78b	chr1	TRUE	FALSE
Ap1g1	chr8	FALSE	FALSE
Atp2b4	chr1	FALSE	FALSE
Acvr2a	chr2	FALSE	FALSE
Slc2a13	chr15	FALSE	FALSE
Emsy	chr7	FALSE	FALSE
Hhat	chr1	FALSE	FALSE
Unc5c	chr3	TRUE	FALSE
Lmbr1	chr5	FALSE	FALSE
Smarca2	chr19	FALSE	TRUE
Srrm4	chr5	FALSE	FALSE
Arfgef2	chr2	FALSE	FALSE
Dop1b	chr16	FALSE	FALSE
Slitrk2	chrX	TRUE	TRUE
Grm1	chr10	FALSE	TRUE
Zfp943	chr17	FALSE	FALSE
Lrrfip2	chr9	FALSE	FALSE
Epb41l3	chr17	FALSE	TRUE
Atf7	chr15	FALSE	TRUE
Dnmbp	chr19	FALSE	FALSE
Stim2	chr5	FALSE	FALSE
Txndc16	chr14	FALSE	FALSE
Dpt	chr1	TRUE	TRUE
Retreg1	chr15	FALSE	TRUE
Rgs20	chr1	FALSE	FALSE
Bckdhb	chr9	FALSE	FALSE
Nsd3	chr8	FALSE	FALSE
Ralyl	chr3	TRUE	TRUE
Slc23a2	chr2	FALSE	FALSE
Tmem163	chr1	FALSE	FALSE
Nrf1	chr6	FALSE	FALSE
Lmo1	chr7	FALSE	FALSE
Sik2	chr9	FALSE	FALSE
Exph5	chr9	TRUE	TRUE
Btbd8	chr5	TRUE	FALSE
Sorl1	chr9	FALSE	TRUE
Usp7	chr16	FALSE	FALSE
Fbxw11	chr11	FALSE	FALSE
Ccar2	chr14	FALSE	FALSE
Kdm6a	chrX	FALSE	FALSE
Taf3	chr2	FALSE	FALSE
Abcc8	chr7	FALSE	FALSE
Pms1	chr1	TRUE	TRUE
Bicra	chr7	FALSE	FALSE
Myh10	chr11	FALSE	FALSE
Setd2	chr9	FALSE	FALSE
Atad2b	chr12	FALSE	FALSE
Lnpk	chr2	FALSE	FALSE
Adck1	chr12	FALSE	TRUE
Arid2	chr15	FALSE	FALSE
Stxbp5l	chr16	TRUE	FALSE
Tab3	chrX	FALSE	FALSE
Exoc3l	chr8	TRUE	TRUE
Ano5	chr7	FALSE	FALSE
Raph1	chr1	FALSE	FALSE
Trim9	chr12	FALSE	FALSE
Medag	chr5	FALSE	FALSE
Map6	chr7	FALSE	FALSE
Elovl7	chr13	FALSE	FALSE
Fbxw7	chr3	FALSE	FALSE
Pank1	chr19	FALSE	FALSE
Prdm11	chr2	FALSE	FALSE
Setd3	chr12	FALSE	FALSE
Sms	chrX	TRUE	TRUE
Fnip2	chr3	FALSE	TRUE
Il1r1	chr1	FALSE	FALSE
Ccdc167	chr17	FALSE	TRUE
Dock4	chr12	FALSE	FALSE
6430548M08Rik	chr8	FALSE	FALSE
Arl15	chr13	FALSE	FALSE
Cenpp	chr13	FALSE	FALSE
Fbxw8	chr5	FALSE	TRUE
Slmap	chr14	FALSE	FALSE
Lclat1	chr17	FALSE	FALSE
Lrp12	chr15	FALSE	FALSE
Brf1	chr12	FALSE	FALSE
Tmem245	chr4	FALSE	TRUE
Rnf115	chr3	FALSE	FALSE
Oxsm	chr14	TRUE	FALSE
Atp2b1	chr10	FALSE	FALSE
