gene_name	chr	MeCP2_up	K27ac_up
Mamdc2	chr19	TRUE	FALSE
Galnt7	chr8	TRUE	FALSE
Celf4	chr18	TRUE	TRUE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	TRUE	FALSE
Cep350	chr1	FALSE	TRUE
Prkcb	chr7	FALSE	TRUE
Adam22	chr5	FALSE	TRUE
Itgb5	chr16	TRUE	FALSE
Tcf12	chr9	FALSE	TRUE
Lpp	chr16	TRUE	FALSE
Astn2	chr4	TRUE	FALSE
Faf1	chr4	FALSE	TRUE
Dip2c	chr13	FALSE	TRUE
Nbea	chr3	TRUE	FALSE
Bahcc1	chr11	FALSE	TRUE
Hcn1	chr13	TRUE	TRUE
Commd1	chr11	FALSE	FALSE
Dsc2	chr18	TRUE	FALSE
Igf1r	chr7	FALSE	TRUE
Zfpm2	chr15	TRUE	TRUE
Rab3c	chr13	TRUE	FALSE
Ahcyl2	chr6	FALSE	TRUE
Focad	chr4	TRUE	FALSE
Grin2a	chr16	FALSE	TRUE
Mbd5	chr2	FALSE	TRUE
Zbtb40	chr4	FALSE	FALSE
Samd12	chr15	FALSE	FALSE
Cdk15	chr1	TRUE	FALSE
Ryr2	chr13	TRUE	TRUE
Vps13d	chr4	TRUE	TRUE
Fam72a	chr1	FALSE	FALSE
Ercc8	chr13	TRUE	FALSE
Bank1	chr3	TRUE	FALSE
Wipf3	chr6	TRUE	FALSE
Mvb12b	chr2	FALSE	TRUE
Ptprg	chr14	FALSE	TRUE
Gnaq	chr19	TRUE	TRUE
Cacnb4	chr2	FALSE	TRUE
Adgrb3	chr1	TRUE	TRUE
Syn2	chr6	TRUE	FALSE
Trio	chr15	FALSE	TRUE
Rap1gap2	chr11	FALSE	FALSE
Rgs7	chr1	TRUE	TRUE
Pld5	chr1	FALSE	TRUE
Kcnj6	chr16	FALSE	TRUE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	TRUE
Adk	chr14	FALSE	FALSE
Fgf14	chr14	FALSE	TRUE
Baz2b	chr2	TRUE	FALSE
Syt2	chr1	FALSE	TRUE
Tbc1d1	chr5	TRUE	TRUE
Btbd9	chr17	TRUE	TRUE
Syt1	chr10	FALSE	FALSE
Sema3a	chr5	TRUE	FALSE
Fto	chr8	FALSE	TRUE
Dst	chr1	FALSE	TRUE
Ascc3	chr10	FALSE	FALSE
Bcl2l15	chr3	TRUE	FALSE
Snd1	chr6	FALSE	FALSE
Sik3	chr9	FALSE	TRUE
Glt8d2	chr10	TRUE	FALSE
Xkr6	chr14	FALSE	TRUE
Pdlim7	chr13	FALSE	TRUE
Supt3	chr17	FALSE	FALSE
Ints9	chr14	FALSE	TRUE
Ctnna3	chr10	FALSE	FALSE
Lrrn1	chr6	FALSE	FALSE
Hecw2	chr1	FALSE	TRUE
Ldlrad3	chr2	TRUE	FALSE
Zfand3	chr17	FALSE	TRUE
Nup93	chr8	FALSE	FALSE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	TRUE
Cpeb3	chr19	FALSE	TRUE
F830045P16Rik	chr2	TRUE	FALSE
Cemip	chr7	FALSE	TRUE
Ncor2	chr5	FALSE	TRUE
Brinp3	chr1	TRUE	FALSE
Nfasc	chr1	FALSE	TRUE
Prdm5	chr6	TRUE	TRUE
Ncoa1	chr12	FALSE	FALSE
Rapgef2	chr3	FALSE	TRUE
Gria2	chr3	FALSE	TRUE
Kcnd2	chr6	FALSE	TRUE
Chchd6	chr6	FALSE	FALSE
Eps8	chr6	TRUE	TRUE
Mgll	chr6	TRUE	FALSE
Nsmaf	chr4	FALSE	FALSE
Cacna1g	chr11	FALSE	TRUE
Osbpl6	chr2	FALSE	TRUE
Anks1	chr17	FALSE	TRUE
Cux1	chr5	FALSE	TRUE
Kmt2c	chr5	FALSE	TRUE
Sfxn5	chr6	TRUE	TRUE
Hmbox1	chr14	FALSE	TRUE
Pou2f2	chr7	FALSE	TRUE
Cadps2	chr6	FALSE	TRUE
Akt3	chr1	TRUE	FALSE
Mtus2	chr5	FALSE	TRUE
Erc2	chr14	FALSE	TRUE
Ncoa2	chr1	TRUE	TRUE
Wdr7	chr18	TRUE	FALSE
St18	chr1	TRUE	FALSE
Gphn	chr12	FALSE	TRUE
Dennd1a	chr2	TRUE	TRUE
Clvs1	chr4	TRUE	TRUE
Itsn1	chr16	FALSE	FALSE
Lrrc28	chr7	FALSE	FALSE
Myt1l	chr12	TRUE	FALSE
Serpinb8	chr1	TRUE	FALSE
Adcy9	chr16	TRUE	TRUE
Enah	chr1	TRUE	TRUE
Flrt3	chr2	TRUE	FALSE
Lca5l	chr16	TRUE	FALSE
Osbpl10	chr9	FALSE	TRUE
Fmn2	chr1	FALSE	TRUE
Gdpd5	chr7	FALSE	TRUE
Nrcam	chr12	FALSE	FALSE
Mtor	chr4	TRUE	TRUE
Med27	chr2	FALSE	TRUE
Camk1d	chr2	TRUE	FALSE
Rere	chr4	TRUE	TRUE
Zfp827	chr8	TRUE	TRUE
Ncam1	chr9	FALSE	TRUE
Kif13b	chr14	TRUE	FALSE
Fam120b	chr17	FALSE	TRUE
Zcchc7	chr4	FALSE	TRUE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	TRUE
Farp1	chr14	FALSE	TRUE
Cd276	chr9	TRUE	FALSE
Dnaja3	chr16	FALSE	TRUE
Slc35f3	chr8	FALSE	TRUE
Dpp6	chr5	FALSE	TRUE
Rnf150	chr8	FALSE	TRUE
Dgki	chr6	FALSE	TRUE
Mbnl2	chr14	FALSE	TRUE
Agap1	chr1	FALSE	FALSE
Kcnab1	chr3	TRUE	FALSE
Abl1	chr2	TRUE	TRUE
Sez6l	chr5	TRUE	TRUE
Cdc73	chr1	FALSE	TRUE
Galnt13	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	TRUE
Cep128	chr12	TRUE	FALSE
Chchd3	chr6	FALSE	TRUE
Otc	chrX	TRUE	FALSE
Spock1	chr13	FALSE	FALSE
Garnl3	chr2	FALSE	TRUE
Ttc7b	chr12	FALSE	FALSE
Rapgef1	chr2	FALSE	TRUE
Dipk2b	chrX	TRUE	FALSE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	TRUE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
Cadm2	chr16	TRUE	TRUE
Sgip1	chr4	FALSE	TRUE
Coro1c	chr5	TRUE	TRUE
Slc4a4	chr5	FALSE	TRUE
Trak1	chr9	FALSE	TRUE
Dlg5	chr14	FALSE	TRUE
Rfc1	chr5	FALSE	TRUE
Erc1	chr6	FALSE	FALSE
Cd83	chr13	TRUE	FALSE
Abat	chr16	FALSE	TRUE
Hs6st3	chr14	FALSE	FALSE
Grk5	chr19	FALSE	TRUE
Dnm3	chr1	FALSE	TRUE
Lhpp	chr7	FALSE	FALSE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	TRUE	TRUE
Tex2	chr11	TRUE	FALSE
Mms22l	chr4	TRUE	TRUE
Uggt2	chr14	TRUE	TRUE
Ldlrad4	chr18	FALSE	FALSE
Sdccag8	chr1	TRUE	TRUE
Atp2b2	chr6	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Neb	chr2	FALSE	FALSE
Fbrsl1	chr5	FALSE	FALSE
Pkig	chr2	TRUE	FALSE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	TRUE
Rag1	chr2	TRUE	FALSE
Stom	chr2	FALSE	FALSE
Fryl	chr5	FALSE	FALSE
Nrros	chr16	TRUE	FALSE
Triqk	chr4	TRUE	FALSE
Rassf5	chr1	FALSE	TRUE
Gabrb2	chr11	TRUE	TRUE
Lipc	chr9	TRUE	FALSE
Zfp536	chr7	FALSE	TRUE
Pcca	chr14	FALSE	FALSE
Apba2	chr7	FALSE	TRUE
Atp8a2	chr14	TRUE	FALSE
Fam168a	chr7	FALSE	TRUE
Ap3b1	chr13	FALSE	FALSE
Bcr	chr10	FALSE	TRUE
Nr3c1	chr18	FALSE	FALSE
Nsf	chr11	FALSE	TRUE
Plekhm3	chr1	FALSE	FALSE
Gas2	chr7	FALSE	TRUE
Arnt2	chr7	FALSE	TRUE
Tmeff2	chr1	FALSE	FALSE
Xpo4	chr14	FALSE	TRUE
Eif4g3	chr4	FALSE	TRUE
Chst15	chr7	TRUE	FALSE
Reln	chr5	TRUE	FALSE
Serpinb1b	chr13	TRUE	FALSE
Zfp385b	chr2	FALSE	TRUE
Zfp704	chr3	TRUE	TRUE
Rabgap1l	chr1	TRUE	FALSE
Sorbs1	chr19	FALSE	FALSE
Efr3b	chr12	TRUE	FALSE
Strbp	chr2	FALSE	TRUE
Zfp516	chr18	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Arhgef12	chr9	FALSE	TRUE
Mpped2	chr2	TRUE	TRUE
Gpm6b	chrX	TRUE	FALSE
Slc8a3	chr12	FALSE	TRUE
Ppfia2	chr10	FALSE	FALSE
Tasp1	chr2	FALSE	TRUE
Gpr158	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Acbd6	chr1	TRUE	TRUE
Polr1d	chr5	TRUE	FALSE
Cuedc1	chr11	FALSE	TRUE
Pde4dip	chr3	FALSE	TRUE
Rgs3	chr4	TRUE	FALSE
Kif18a	chr2	TRUE	FALSE
Galnt17	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
Cacna2d4	chr6	FALSE	TRUE
Tmem131l	chr3	FALSE	TRUE
Trp53bp2	chr1	TRUE	FALSE
Cacna1i	chr15	TRUE	TRUE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	TRUE
Mapkap1	chr2	FALSE	FALSE
Tnrc6c	chr11	FALSE	FALSE
Gbf1	chr19	FALSE	TRUE
Tle3	chr9	FALSE	TRUE
Bmpr2	chr1	FALSE	TRUE
Phf21a	chr2	TRUE	TRUE
Jakmip3	chr7	FALSE	TRUE
Dnmt3a	chr12	FALSE	TRUE
Krt24	chr11	TRUE	FALSE
Reep1	chr6	TRUE	TRUE
Macf1	chr4	FALSE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Nlk	chr11	FALSE	TRUE
Tmprss11d	chr5	TRUE	FALSE
Atp8a1	chr5	FALSE	FALSE
Clmp	chr9	FALSE	FALSE
Mrps27	chr13	FALSE	FALSE
Lrrtm4	chr6	TRUE	TRUE
Cacna1b	chr2	TRUE	TRUE
Cask	chrX	FALSE	TRUE
Aopep	chr13	FALSE	TRUE
Bicral	chr17	TRUE	TRUE
Dyrk1a	chr16	TRUE	FALSE
Tshz1	chr18	TRUE	FALSE
Myo9a	chr9	FALSE	TRUE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	TRUE	FALSE
Pde4d	chr13	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Cnnm2	chr19	FALSE	TRUE
Mgat5	chr1	TRUE	TRUE
Kif1b	chr4	FALSE	TRUE
Efcab2	chr1	FALSE	TRUE
Srpk2	chr5	FALSE	TRUE
Srgap3	chr6	FALSE	FALSE
Coro7	chr16	FALSE	TRUE
Lrrn2	chr1	FALSE	TRUE
Rasa3	chr8	TRUE	TRUE
Med12l	chr3	FALSE	TRUE
Ube2e1	chr14	FALSE	TRUE
Slc22a23	chr13	FALSE	TRUE
Tlcd4	chr3	TRUE	FALSE
Ece1	chr4	FALSE	TRUE
Srgap2	chr1	FALSE	TRUE
Cntnap4	chr8	TRUE	FALSE
Pknox2	chr9	FALSE	TRUE
Cav2	chr6	TRUE	TRUE
Zfp804a	chr2	TRUE	TRUE
Frmd5	chr2	FALSE	TRUE
Hibadh	chr6	FALSE	FALSE
Rps6ka2	chr17	TRUE	FALSE
Nedd4l	chr18	FALSE	TRUE
1700011L22Rik	chr8	TRUE	FALSE
Pde9a	chr17	FALSE	TRUE
Galnt18	chr7	FALSE	FALSE
Sipa1l1	chr12	FALSE	TRUE
Pbx1	chr1	TRUE	TRUE
Vgll4	chr6	FALSE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	TRUE
Rims1	chr1	FALSE	FALSE
1700017N19Rik	chr10	TRUE	FALSE
Slc10a7	chr8	FALSE	TRUE
Osbpl1a	chr18	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Sort1	chr3	TRUE	FALSE
Lrp1b	chr2	TRUE	TRUE
Limch1	chr5	FALSE	TRUE
Kif16b	chr2	FALSE	FALSE
Sh3d19	chr3	FALSE	TRUE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	TRUE
Tbca	chr13	FALSE	TRUE
Capzb	chr4	FALSE	TRUE
Zhx3	chr2	FALSE	FALSE
Lrrc8d	chr5	FALSE	FALSE
Rsf1	chr7	FALSE	TRUE
Cers6	chr2	FALSE	TRUE
Pacs2	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	TRUE
Mpp7	chr18	FALSE	FALSE
Actr3b	chr5	FALSE	TRUE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	TRUE	FALSE
Atxn10	chr15	FALSE	TRUE
Chd6	chr2	TRUE	FALSE
Bicdl1	chr5	TRUE	TRUE
Ntn4	chr10	TRUE	FALSE
Itpr3	chr17	FALSE	TRUE
Slc49a4	chr16	FALSE	TRUE
Galnt16	chr12	FALSE	TRUE
Stk24	chr14	TRUE	TRUE
Gatad2a	chr8	FALSE	TRUE
Sfmbt1	chr14	FALSE	TRUE
Ptprs	chr17	TRUE	TRUE
Nphp4	chr4	FALSE	FALSE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	TRUE
Kcnip4	chr5	FALSE	FALSE
Ano3	chr2	TRUE	FALSE
Cd47	chr16	FALSE	FALSE
Elovl6	chr3	FALSE	FALSE
Brinp2	chr1	FALSE	FALSE
Nrg2	chr18	FALSE	TRUE
Klhl32	chr4	FALSE	FALSE
Ralgps2	chr1	TRUE	TRUE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Dok7	chr5	FALSE	TRUE
Rell1	chr5	FALSE	FALSE
Zhx2	chr15	TRUE	FALSE
Ank2	chr3	FALSE	TRUE
Acaca	chr11	FALSE	FALSE
Hs3st5	chr10	FALSE	TRUE
Clasp1	chr1	FALSE	TRUE
Rai1	chr11	FALSE	TRUE
9130401M01Rik	chr15	TRUE	FALSE
Mast2	chr4	FALSE	FALSE
Nars2	chr7	TRUE	TRUE
Smpd3	chr8	FALSE	TRUE
Kdm4c	chr4	FALSE	TRUE
Pitpnm2	chr5	FALSE	TRUE
Ankef1	chr2	FALSE	FALSE
Fam81b	chr13	TRUE	FALSE
Tbc1d14	chr5	FALSE	FALSE
Ubac2	chr14	FALSE	TRUE
Sardh	chr2	FALSE	FALSE
Ppp2r5e	chr12	FALSE	TRUE
Hlcs	chr16	FALSE	TRUE
Caln1	chr5	TRUE	FALSE
Arhgap12	chr18	FALSE	FALSE
Pde3b	chr7	FALSE	TRUE
Phactr1	chr13	FALSE	TRUE
Fyn	chr10	FALSE	TRUE
Rfx3	chr19	FALSE	TRUE
Rbfox3	chr11	FALSE	TRUE
Lgr4	chr2	FALSE	FALSE
Cdh2	chr18	FALSE	TRUE
Upf2	chr2	FALSE	TRUE
Dhx32	chr7	TRUE	FALSE
Fbxl17	chr17	FALSE	TRUE
Tunar	chr12	FALSE	TRUE
Tmem108	chr9	FALSE	TRUE
Invs	chr4	FALSE	TRUE
Ttc3	chr16	FALSE	TRUE
Mta3	chr17	TRUE	TRUE
Ablim1	chr19	FALSE	FALSE
Luzp1	chr4	FALSE	FALSE
Tlk2	chr11	FALSE	TRUE
Lrrc20	chr10	FALSE	FALSE
Lurap1l	chr4	TRUE	TRUE
Clpb	chr7	FALSE	FALSE
Ebag9	chr15	FALSE	FALSE
Stxbp4	chr11	FALSE	TRUE
Rasal2	chr1	FALSE	TRUE
Oprl1	chr2	TRUE	FALSE
Myo18a	chr11	FALSE	TRUE
Coro2b	chr9	TRUE	TRUE
Map4	chr9	TRUE	FALSE
Lrch1	chr14	FALSE	TRUE
Rgs9	chr11	FALSE	FALSE
Gpr68	chr12	FALSE	FALSE
Mtfr1	chr3	FALSE	FALSE
Daam1	chr12	FALSE	TRUE
Shank1	chr7	FALSE	TRUE
Calcoco1	chr15	FALSE	TRUE
Otud7a	chr7	TRUE	TRUE
Sirpa	chr2	TRUE	TRUE
Itgb1bp1	chr12	FALSE	FALSE
Ttll5	chr12	FALSE	TRUE
Kcnj3	chr2	TRUE	TRUE
Ube2o	chr11	FALSE	TRUE
Klf7	chr1	TRUE	TRUE
Dennd4a	chr9	FALSE	FALSE
Zfp532	chr18	FALSE	TRUE
Ppargc1b	chr18	FALSE	TRUE
Add2	chr6	FALSE	TRUE
Deptor	chr15	FALSE	FALSE
Dnajb6	chr5	FALSE	TRUE
Ssbp2	chr13	FALSE	FALSE
Kcnab2	chr4	FALSE	TRUE
Scai	chr2	FALSE	TRUE
Tmem144	chr3	TRUE	FALSE
Aak1	chr6	FALSE	TRUE
Arid1b	chr17	TRUE	FALSE
Sema4d	chr13	FALSE	TRUE
Lrrc1	chr9	TRUE	TRUE
Meis1	chr11	TRUE	TRUE
Setbp1	chr18	FALSE	TRUE
Fmnl2	chr2	TRUE	TRUE
Phlpp1	chr1	FALSE	FALSE
Camk2b	chr11	FALSE	TRUE
Kirrel3	chr9	FALSE	FALSE
Ate1	chr7	FALSE	TRUE
Ptprf	chr4	FALSE	TRUE
Zfp609	chr9	FALSE	TRUE
Fut8	chr12	TRUE	TRUE
Chd7	chr4	TRUE	TRUE
Fez2	chr17	TRUE	FALSE
Myrfl	chr10	FALSE	FALSE
Smg6	chr11	TRUE	FALSE
Pik3c2b	chr1	FALSE	TRUE
Pik3ca	chr3	FALSE	TRUE
Map7	chr10	FALSE	FALSE
Pkia	chr3	FALSE	TRUE
Kidins220	chr12	TRUE	TRUE
Stxbp5	chr10	FALSE	TRUE
Smarcd3	chr5	TRUE	TRUE
Sh3gl2	chr4	FALSE	FALSE
Yipf7	chr5	FALSE	FALSE
Scarb2	chr5	FALSE	TRUE
Ubr4	chr4	TRUE	TRUE
Lonrf2	chr1	FALSE	TRUE
Ccnk	chr12	FALSE	TRUE
Cnksr2	chrX	FALSE	TRUE
Osbpl9	chr4	FALSE	TRUE
Atp11a	chr8	FALSE	FALSE
Crppa	chr12	FALSE	TRUE
Bicd1	chr6	FALSE	FALSE
Fam120a	chr13	FALSE	TRUE
Scg2	chr1	TRUE	FALSE
Fam222a	chr5	TRUE	TRUE
Ttll7	chr3	TRUE	TRUE
Upp2	chr2	TRUE	FALSE
Syne2	chr12	TRUE	FALSE
Chn2	chr6	FALSE	TRUE
Pde3a	chr6	TRUE	FALSE
Helz	chr11	FALSE	TRUE
Cdc42se2	chr11	FALSE	TRUE
Gnao1	chr8	FALSE	FALSE
Fam172a	chr13	FALSE	TRUE
Adam23	chr1	FALSE	FALSE
Kif26b	chr1	FALSE	TRUE
Sptbn1	chr11	FALSE	TRUE
Hecw1	chr13	FALSE	TRUE
Smarca4	chr9	FALSE	TRUE
Nav2	chr7	FALSE	FALSE
Sap30	chr8	FALSE	FALSE
Gsk3b	chr16	FALSE	TRUE
Gnptab	chr10	FALSE	TRUE
Macroh2a1	chr13	FALSE	TRUE
Ralgapa1	chr12	FALSE	TRUE
Dcp1b	chr6	FALSE	FALSE
Macrod2	chr2	TRUE	FALSE
Slc4a10	chr2	FALSE	FALSE
Dnm2	chr9	FALSE	TRUE
Rybp	chr6	FALSE	TRUE
Ptpru	chr4	FALSE	TRUE
Ccser1	chr6	TRUE	FALSE
Cadm1	chr9	FALSE	TRUE
Ilrun	chr17	FALSE	TRUE
Akap12	chr10	FALSE	TRUE
Arpp21	chr9	TRUE	FALSE
Dcstamp	chr15	TRUE	FALSE
Fntb	chr12	TRUE	FALSE
Phldb1	chr9	TRUE	TRUE
AW554918	chr18	FALSE	TRUE
Esyt2	chr12	FALSE	TRUE
Enkur	chr2	TRUE	FALSE
Tet2	chr3	FALSE	TRUE
Kcnh1	chr1	FALSE	TRUE
Atp9a	chr2	FALSE	TRUE
Insr	chr8	FALSE	TRUE
Cd200r3	chr16	TRUE	FALSE
Carmil1	chr13	TRUE	TRUE
Lpin1	chr12	FALSE	FALSE
Slc7a14	chr3	FALSE	TRUE
Dtnb	chr12	TRUE	FALSE
Rgs17	chr10	FALSE	TRUE
Nphp1	chr2	TRUE	FALSE
Actn1	chr12	FALSE	TRUE
Wdfy3	chr5	TRUE	TRUE
Tsc22d1	chr14	FALSE	TRUE
App	chr16	FALSE	TRUE
Il20rb	chr9	FALSE	FALSE
Fry	chr5	FALSE	TRUE
Src	chr2	TRUE	TRUE
Map3k4	chr17	FALSE	TRUE
Nup188	chr2	FALSE	TRUE
Large1	chr8	FALSE	FALSE
Plbd2	chr5	FALSE	TRUE
Sptbn4	chr7	TRUE	FALSE
Pou2f1	chr1	FALSE	TRUE
Sdc3	chr4	FALSE	TRUE
Cacna1a	chr8	FALSE	TRUE
Sel1l3	chr5	TRUE	FALSE
Adgrb2	chr4	FALSE	TRUE
Ppp2r5c	chr12	FALSE	TRUE
Eif2ak4	chr2	FALSE	FALSE
Arhgap44	chr11	TRUE	TRUE
Baiap2	chr11	TRUE	TRUE
Kdm4b	chr17	FALSE	TRUE
Ube2w	chr1	TRUE	FALSE
Lrch3	chr16	FALSE	TRUE
Oxsr1	chr9	FALSE	TRUE
Ppa2	chr3	FALSE	TRUE
Ppp1r13b	chr12	FALSE	FALSE
Plxna2	chr1	TRUE	TRUE
Jak1	chr4	FALSE	FALSE
Slc39a10	chr1	FALSE	FALSE
Mrps9	chr1	FALSE	FALSE
Nrxn2	chr19	FALSE	TRUE
Ankrd44	chr1	FALSE	TRUE
Auh	chr13	FALSE	TRUE
Mical2	chr7	TRUE	TRUE
Wnk2	chr13	FALSE	TRUE
Iffo2	chr4	FALSE	TRUE
Klf12	chr14	FALSE	TRUE
Btbd7	chr12	TRUE	TRUE
Sptlc2	chr12	FALSE	TRUE
Adarb1	chr10	FALSE	TRUE
Klf3	chr5	FALSE	TRUE
Dgkg	chr16	TRUE	TRUE
Lin7a	chr10	FALSE	TRUE
Ism1	chr2	FALSE	FALSE
Aftph	chr11	FALSE	TRUE
Tet3	chr6	FALSE	FALSE
Kiz	chr2	FALSE	FALSE
Pias1	chr9	FALSE	TRUE
Paqr8	chr1	TRUE	TRUE
Eri3	chr4	TRUE	TRUE
Brd4	chr17	FALSE	TRUE
Exoc2	chr13	FALSE	FALSE
Cers4	chr8	FALSE	TRUE
Papola	chr12	FALSE	TRUE
Smurf1	chr5	FALSE	TRUE
Tbcd	chr11	FALSE	FALSE
Ly6g6d	chr17	TRUE	FALSE
Apba1	chr19	FALSE	TRUE
Mapt	chr11	FALSE	TRUE
Pepd	chr7	FALSE	TRUE
Prep	chr10	FALSE	TRUE
Sema4b	chr7	FALSE	TRUE
Man1c1	chr4	TRUE	TRUE
Aox1	chr1	TRUE	FALSE
Arvcf	chr16	FALSE	FALSE
Angel1	chr12	TRUE	FALSE
Fam78b	chr1	FALSE	FALSE
Ap1g1	chr8	FALSE	TRUE
Acvr2a	chr2	FALSE	TRUE
Slc2a13	chr15	FALSE	TRUE
Emsy	chr7	FALSE	TRUE
Xpr1	chr1	FALSE	FALSE
Hhat	chr1	FALSE	FALSE
Unc5c	chr3	FALSE	FALSE
Lmbr1	chr5	FALSE	TRUE
Smarca2	chr19	TRUE	TRUE
Srrm4	chr5	FALSE	TRUE
Dop1b	chr16	FALSE	FALSE
Slitrk2	chrX	TRUE	FALSE
Grm1	chr10	TRUE	TRUE
Zfp943	chr17	FALSE	TRUE
Lrrfip2	chr9	FALSE	TRUE
Epb41l3	chr17	TRUE	TRUE
Atf7	chr15	TRUE	TRUE
Stim2	chr5	FALSE	TRUE
Txndc16	chr14	FALSE	TRUE
Dpt	chr1	TRUE	FALSE
Retreg1	chr15	TRUE	TRUE
Pik3cb	chr9	FALSE	TRUE
Rgs20	chr1	FALSE	TRUE
Bckdhb	chr9	FALSE	TRUE
