gene_name	chr	mch_hyper	k27me3_gained
Tmeff2	chr1	TRUE	TRUE
Slc24a4	chr12	FALSE	FALSE
Sdk2	chr11	FALSE	FALSE
Ttc39b	chr4	TRUE	TRUE
Zfp516	chr18	FALSE	TRUE
Mpped2	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Col19a1	chr1	TRUE	TRUE
Abcc4	chr14	FALSE	FALSE
Zbtb7c	chr18	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Dclk1	chr3	TRUE	FALSE
Dbn1	chr13	FALSE	FALSE
Tshz1	chr18	TRUE	TRUE
Rad51b	chr12	FALSE	TRUE
Pdia5	chr16	FALSE	TRUE
Pde4d	chr13	TRUE	TRUE
Kctd12	chr14	TRUE	TRUE
Kalrn	chr16	FALSE	FALSE
Inf2	chr12	FALSE	FALSE
Scn1a	chr2	FALSE	FALSE
Slc22a23	chr13	FALSE	FALSE
Cav2	chr6	TRUE	TRUE
Kcna2	chr3	FALSE	FALSE
Hibadh	chr6	FALSE	TRUE
Dock5	chr14	FALSE	FALSE
Rbms3	chr9	FALSE	FALSE
Slc9a9	chr9	FALSE	TRUE
Osbpl1a	chr18	TRUE	TRUE
Sv2c	chr13	FALSE	TRUE
Kif16b	chr2	FALSE	TRUE
Tbca	chr13	FALSE	FALSE
Tle1	chr4	FALSE	FALSE
Igsf3	chr3	FALSE	TRUE
Cdh10	chr15	TRUE	TRUE
Frmd6	chr12	TRUE	TRUE
B3galt5	chr16	FALSE	FALSE
Cd47	chr16	TRUE	TRUE
Brinp2	chr1	TRUE	TRUE
Crim1	chr17	FALSE	FALSE
Shb	chr4	TRUE	FALSE
Spata13	chr14	TRUE	TRUE
Ulk4	chr9	FALSE	FALSE
Nars2	chr7	FALSE	FALSE
Casz1	chr4	FALSE	FALSE
Chn1	chr2	FALSE	FALSE
Hlcs	chr16	FALSE	TRUE
Phactr1	chr13	FALSE	TRUE
Dscam	chr16	FALSE	FALSE
Lurap1l	chr4	TRUE	TRUE
St6gal1	chr16	FALSE	FALSE
CK137956	chr4	FALSE	FALSE
Fgd5	chr6	FALSE	FALSE
Lrrfip1	chr1	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Podn	chr4	FALSE	FALSE
Adamts12	chr15	FALSE	FALSE
Egfem1	chr3	FALSE	FALSE
Nwd2	chr5	FALSE	FALSE
Myo1e	chr9	FALSE	TRUE
Rps6kc1	chr1	FALSE	FALSE
Klf7	chr1	FALSE	TRUE
Slc9a2	chr1	FALSE	FALSE
Vash2	chr1	FALSE	FALSE
Susd4	chr1	FALSE	FALSE
Arid1b	chr17	FALSE	TRUE
Meis1	chr11	FALSE	TRUE
Qsox1	chr1	FALSE	FALSE
Cradd	chr10	FALSE	TRUE
Zfhx4	chr3	FALSE	TRUE
Scg2	chr1	TRUE	TRUE
Upp2	chr2	TRUE	TRUE
Zic3	chrX	FALSE	TRUE
Thsd7b	chr1	TRUE	FALSE
Kcnb1	chr2	FALSE	FALSE
Insc	chr7	FALSE	FALSE
Macroh2a1	chr13	FALSE	FALSE
Dcp1b	chr6	FALSE	TRUE
Macrod2	chr2	TRUE	TRUE
C1qtnf1	chr11	FALSE	TRUE
Bfsp2	chr9	FALSE	TRUE
Grip2	chr6	FALSE	FALSE
Cadm1	chr9	FALSE	TRUE
Slc1a3	chr15	FALSE	TRUE
Nxpe4	chr9	FALSE	TRUE
Icos	chr1	TRUE	TRUE
Lmntd1	chr6	FALSE	TRUE
Usp18	chr6	FALSE	FALSE
Ccdc88c	chr12	FALSE	TRUE
Prkg1	chr19	FALSE	FALSE
Myh13	chr11	FALSE	TRUE
App	chr16	FALSE	TRUE
Il20rb	chr9	TRUE	FALSE
Shroom3	chr5	FALSE	TRUE
Schip1	chr3	TRUE	TRUE
Tbc1d19	chr5	FALSE	TRUE
Mcph1	chr8	FALSE	FALSE
Gsap	chr5	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
F13a1	chr13	FALSE	TRUE
Slc39a10	chr1	FALSE	FALSE
Clmn	chr12	FALSE	FALSE
Ankrd44	chr1	FALSE	TRUE
Srbd1	chr17	FALSE	FALSE
Ikzf2	chr1	FALSE	TRUE
Mdga2	chr12	TRUE	FALSE
Adgrv1	chr13	FALSE	TRUE
Myo1b	chr1	FALSE	TRUE
Exoc2	chr13	FALSE	TRUE
Papola	chr12	FALSE	FALSE
Ccn4	chr15	FALSE	FALSE
Cfap221	chr1	FALSE	TRUE
Fam78b	chr1	TRUE	TRUE
Atp2b4	chr1	FALSE	TRUE
Scn3a	chr2	FALSE	FALSE
Iqsec3	chr6	FALSE	FALSE
Arl4a	chr12	FALSE	TRUE
7530416G11Rik	chr15	FALSE	FALSE
Sox6	chr7	TRUE	FALSE
Rgs20	chr1	FALSE	TRUE
Bckdhb	chr9	FALSE	TRUE
Pde7b	chr10	FALSE	FALSE
Ret	chr6	FALSE	FALSE
Lmo1	chr7	FALSE	TRUE
Trim36	chr18	FALSE	FALSE
Tenm3	chr8	FALSE	FALSE
Diaph3	chr14	FALSE	TRUE
Sntg1	chr1	FALSE	FALSE
Kcnma1	chr14	TRUE	FALSE
Lnpk	chr2	FALSE	TRUE
Rgma	chr7	FALSE	TRUE
Vps13a	chr19	FALSE	FALSE
Th	chr7	FALSE	FALSE
Mlip	chr9	FALSE	TRUE
Rhbdl3	chr11	FALSE	FALSE
Abca13	chr11	TRUE	FALSE
Tmtc1	chr6	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Medag	chr5	FALSE	TRUE
Greb1l	chr18	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
Srgap1	chr10	TRUE	FALSE
Nfam1	chr15	FALSE	FALSE
Dock4	chr12	FALSE	FALSE
Kifc3	chr8	FALSE	FALSE
Lrfn5	chr12	FALSE	FALSE
Lrrc55	chr2	FALSE	FALSE
Fut10	chr8	FALSE	TRUE
Hydin	chr8	TRUE	TRUE
Cldn14	chr16	FALSE	FALSE
Pdgfra	chr5	FALSE	FALSE
L3mbtl3	chr10	FALSE	FALSE
Arhgef26	chr3	FALSE	FALSE
Bdnf	chr2	TRUE	TRUE
Dnah9	chr11	FALSE	FALSE
Manea	chr4	TRUE	TRUE
Glra1	chr11	FALSE	FALSE
Tnfaip8	chr18	FALSE	TRUE
Ap1s3	chr1	FALSE	TRUE
Ano4	chr10	FALSE	FALSE
Rspo3	chr10	FALSE	FALSE
Wwc1	chr11	FALSE	FALSE
A930004D18Rik	chr2	TRUE	TRUE
Arhgap31	chr16	FALSE	FALSE
Rfx2	chr17	FALSE	TRUE
Trps1	chr15	FALSE	TRUE
Ugt8a	chr3	FALSE	FALSE
Phactr2	chr10	FALSE	FALSE
Snx2	chr18	FALSE	TRUE
Ezr	chr17	FALSE	TRUE
Spink13	chr18	FALSE	TRUE
Atp7b	chr8	FALSE	TRUE
Poc1b	chr10	FALSE	TRUE
Foxp4	chr17	FALSE	FALSE
Creb5	chr6	FALSE	TRUE
Clint1	chr11	FALSE	TRUE
Ccdc171	chr4	FALSE	TRUE
Myof	chr19	TRUE	TRUE
Kctd16	chr18	TRUE	FALSE
Dok6	chr18	FALSE	FALSE
Gpc5	chr14	FALSE	FALSE
Lrmda	chr14	FALSE	FALSE
Ice1	chr13	FALSE	TRUE
Rin3	chr12	FALSE	FALSE
Stx18	chr5	FALSE	TRUE
Ptgfrn	chr3	FALSE	FALSE
Slc25a26	chr6	FALSE	TRUE
Abtb2	chr2	TRUE	FALSE
Lhfpl3	chr5	TRUE	FALSE
Ppp2r5a	chr1	FALSE	TRUE
Trim33	chr3	FALSE	TRUE
Slc6a13	chr6	FALSE	FALSE
Cacul1	chr19	FALSE	FALSE
Atoh8	chr6	TRUE	TRUE
Srek1ip1	chr13	FALSE	TRUE
Ptpn3	chr4	FALSE	TRUE
Pex5l	chr3	FALSE	FALSE
Padi1	chr4	FALSE	FALSE
Slc6a12	chr6	FALSE	FALSE
Bbx	chr16	FALSE	TRUE
Ccser2	chr14	FALSE	TRUE
Myh11	chr16	FALSE	FALSE
St8sia6	chr2	FALSE	FALSE
Lamc2	chr1	TRUE	FALSE
Banp	chr8	FALSE	TRUE
Steap3	chr1	FALSE	FALSE
Foxo1	chr3	FALSE	TRUE
Glb1l2	chr9	FALSE	FALSE
Ankrd6	chr4	FALSE	TRUE
Grid1	chr14	TRUE	FALSE
Cracr2a	chr6	FALSE	FALSE
Chst9	chr18	TRUE	FALSE
Frmpd1	chr4	FALSE	FALSE
Rapgef5	chr12	FALSE	FALSE
Dlc1	chr8	TRUE	FALSE
Barhl1	chr2	FALSE	FALSE
Ly86	chr13	FALSE	TRUE
Dcdc2a	chr13	FALSE	FALSE
Cdc42ep4	chr11	FALSE	FALSE
Tmc5	chr7	FALSE	TRUE
Iqca1l	chr5	FALSE	FALSE
Ube2u	chr4	FALSE	TRUE
Kctd3	chr1	FALSE	TRUE
Jarid2	chr13	FALSE	TRUE
Bcar3	chr3	FALSE	TRUE
Lrig3	chr10	FALSE	TRUE
Lrrc8c	chr5	FALSE	FALSE
Stk32b	chr5	FALSE	FALSE
Nkain2	chr10	FALSE	FALSE
Gm19935	chr8	FALSE	FALSE
Mr1	chr1	FALSE	TRUE
Galnt5	chr2	TRUE	TRUE
Unc5cl	chr17	FALSE	TRUE
Epha7	chr4	TRUE	TRUE
Ptpn13	chr5	FALSE	FALSE
Nt5e	chr9	FALSE	FALSE
Vipr1	chr9	FALSE	FALSE
Slc12a3	chr8	FALSE	FALSE
Cdc14b	chr13	FALSE	FALSE
Rassf3	chr10	FALSE	TRUE
Stk31	chr6	FALSE	TRUE
Gbe1	chr16	FALSE	TRUE
Chrna4	chr2	FALSE	FALSE
Tex26	chr5	FALSE	TRUE
Masp1	chr16	FALSE	FALSE
Gpd2	chr2	FALSE	TRUE
Kif6	chr17	FALSE	FALSE
Eepd1	chr9	TRUE	FALSE
Paqr9	chr9	TRUE	TRUE
Tacc2	chr7	FALSE	TRUE
Meis2	chr2	FALSE	FALSE
Ankrd50	chr3	TRUE	TRUE
Tmem117	chr15	TRUE	TRUE
Shc4	chr2	FALSE	TRUE
Itga9	chr9	FALSE	FALSE
Ndfip2	chr14	FALSE	TRUE
Gpr160	chr3	FALSE	FALSE
Brca1	chr11	FALSE	TRUE
Kcnh3	chr15	FALSE	FALSE
Ric8b	chr10	FALSE	TRUE
Tead1	chr7	FALSE	TRUE
Nfatc1	chr18	FALSE	FALSE
Stab2	chr10	FALSE	FALSE
Otx2	chr14	FALSE	TRUE
Drd3	chr16	FALSE	TRUE
Ube2e3	chr2	FALSE	TRUE
Lrrn3	chr12	FALSE	TRUE
Casr	chr16	FALSE	FALSE
Scrg1	chr8	FALSE	TRUE
Lum	chr10	TRUE	TRUE
Ass1	chr2	FALSE	FALSE
Slc35f1	chr10	TRUE	FALSE
Ntm	chr9	TRUE	TRUE
Zfp474	chr18	TRUE	TRUE
Aff2	chrX	TRUE	TRUE
Mrgpre	chr7	FALSE	FALSE
Cttnbp2	chr6	FALSE	FALSE
Lekr1	chr3	FALSE	TRUE
Pbx3	chr2	TRUE	TRUE
Mcf2	chrX	FALSE	FALSE
Myo10	chr15	TRUE	TRUE
Rnf217	chr10	FALSE	FALSE
Ripor2	chr13	FALSE	FALSE
Otop2	chr11	FALSE	TRUE
Sox5	chr6	TRUE	TRUE
Rpia	chr6	FALSE	TRUE
Fat3	chr9	FALSE	FALSE
Foxk1	chr5	FALSE	TRUE
Stat6	chr10	FALSE	TRUE
Arhgap27	chr11	FALSE	FALSE
Hes3	chr4	FALSE	TRUE
Fam163b	chr2	FALSE	FALSE
Cacng3	chr7	FALSE	FALSE
Edil3	chr13	FALSE	FALSE
Scn4b	chr9	FALSE	FALSE
Xylt1	chr7	TRUE	FALSE
Ankrd55	chr13	FALSE	TRUE
Pkd1l2	chr8	FALSE	FALSE
Atp6v1g3	chr1	FALSE	FALSE
Exog	chr9	FALSE	FALSE
Phldb2	chr16	TRUE	FALSE
Ppp1r16b	chr2	FALSE	FALSE
Stx2	chr5	FALSE	FALSE
Dapp1	chr3	TRUE	TRUE
Tph2	chr10	TRUE	TRUE
Dctn1	chr6	FALSE	TRUE
Smarcal1	chr1	FALSE	TRUE
Cabp7	chr11	FALSE	FALSE
Blnk	chr19	FALSE	FALSE
Bahd1	chr2	FALSE	TRUE
Kcnh7	chr2	FALSE	TRUE
B4galt1	chr4	FALSE	TRUE
Gmds	chr13	FALSE	TRUE
Car8	chr4	FALSE	FALSE
Wnt10a	chr1	FALSE	FALSE
Vcan	chr13	FALSE	FALSE
Usp44	chr10	FALSE	TRUE
Tns1	chr1	FALSE	FALSE
Gbp3	chr3	FALSE	FALSE
Cfap45	chr1	FALSE	TRUE
Mgarp	chr3	FALSE	TRUE
Shc3	chr13	FALSE	FALSE
Ntng1	chr3	TRUE	TRUE
Fam114a1	chr5	FALSE	TRUE
Tmem44	chr16	FALSE	TRUE
Hs2st1	chr3	FALSE	FALSE
Col25a1	chr3	FALSE	FALSE
Jcad	chr18	FALSE	FALSE
Tcf7l1	chr6	FALSE	FALSE
Sik1	chr17	FALSE	FALSE
Arhgap42	chr9	FALSE	FALSE
Sfrp5	chr19	FALSE	TRUE
Spry2	chr14	TRUE	TRUE
Pros1	chr16	FALSE	TRUE
Ccdc85a	chr11	FALSE	FALSE
Dnajc24	chr2	FALSE	TRUE
Tiparp	chr3	TRUE	TRUE
Gpam	chr19	FALSE	FALSE
Ell2	chr13	FALSE	FALSE
Arsj	chr3	FALSE	FALSE
Slc25a36	chr9	FALSE	FALSE
Mettl4	chr17	FALSE	FALSE
Uso1	chr5	FALSE	TRUE
Ptp4a3	chr15	FALSE	FALSE
Fbxl8	chr8	FALSE	TRUE
Socs6	chr18	FALSE	FALSE
Tdrd5	chr1	FALSE	FALSE
P3h2	chr16	FALSE	FALSE
Otoa	chr7	FALSE	FALSE
Pcdh10	chr3	FALSE	FALSE
Cpne5	chr17	FALSE	FALSE
Wwox	chr8	TRUE	TRUE
Esyt3	chr9	FALSE	FALSE
Tpbg	chr9	FALSE	TRUE
Necab1	chr4	FALSE	TRUE
Pcolce2	chr9	FALSE	TRUE
Prnd	chr2	FALSE	TRUE
Nlgn1	chr3	FALSE	FALSE
Asic4	chr1	FALSE	TRUE
Adam12	chr7	TRUE	FALSE
Ofcc1	chr13	FALSE	FALSE
Gxylt1	chr15	FALSE	FALSE
Dytn	chr1	FALSE	TRUE
Tm2d1	chr4	FALSE	TRUE
Smim15	chr13	TRUE	TRUE
Aebp2	chr6	FALSE	TRUE
Magi1	chr6	FALSE	TRUE
Tgfbi	chr13	FALSE	FALSE
Rwdd3	chr3	TRUE	TRUE
Marchf3	chr18	TRUE	TRUE
Dhrs1	chr14	FALSE	FALSE
Bend7	chr2	FALSE	FALSE
Pkdcc	chr17	FALSE	FALSE
Pdzrn4	chr15	FALSE	FALSE
Basp1	chr15	TRUE	TRUE
Prkn	chr17	TRUE	TRUE
Lypd6b	chr2	FALSE	FALSE
Fbxl4	chr4	FALSE	FALSE
Bcl11a	chr11	TRUE	TRUE
Hic1	chr11	FALSE	TRUE
Prlr	chr15	FALSE	FALSE
Camk1g	chr1	FALSE	TRUE
Sorcs3	chr19	TRUE	FALSE
1110002E22Rik	chr3	TRUE	TRUE
Bmper	chr9	TRUE	FALSE
Impa2	chr18	FALSE	TRUE
Tacr3	chr3	FALSE	FALSE
Bbs9	chr9	FALSE	TRUE
Mmrn1	chr6	FALSE	TRUE
Tram2	chr1	FALSE	TRUE
Dpysl2	chr14	FALSE	FALSE
Sacs	chr14	FALSE	TRUE
Nsun3	chr16	FALSE	FALSE
Parvg	chr15	FALSE	FALSE
Dcbld2	chr16	FALSE	TRUE
Rbm26	chr14	FALSE	FALSE
Slc12a8	chr16	FALSE	TRUE
Fbln5	chr12	FALSE	TRUE
Crlf1	chr8	FALSE	FALSE
Csf2rb2	chr15	FALSE	FALSE
Impg2	chr16	FALSE	TRUE
Begain	chr12	FALSE	FALSE
Dgkk	chrX	FALSE	FALSE
Depdc1b	chr13	FALSE	TRUE
Nr4a3	chr4	FALSE	TRUE
Nmnat3	chr9	TRUE	FALSE
Adora2b	chr11	FALSE	FALSE
Cdca2	chr14	FALSE	FALSE
Nkd2	chr13	FALSE	FALSE
Sfswap	chr5	FALSE	FALSE
Ces1c	chr8	FALSE	FALSE
Ttc6	chr12	FALSE	FALSE
Tmem161b	chr13	FALSE	TRUE
Amotl1	chr9	FALSE	FALSE
Mat2b	chr11	FALSE	TRUE
Nfe2l2	chr2	FALSE	TRUE
Sh3bp4	chr1	FALSE	TRUE
Rttn	chr18	FALSE	TRUE
Casp7	chr19	FALSE	FALSE
Il1rapl2	chrX	FALSE	FALSE
Tbcel	chr9	FALSE	FALSE
Gpr149	chr3	FALSE	FALSE
Sgk3	chr1	FALSE	FALSE
Rhoj	chr12	FALSE	FALSE
St3gal1	chr15	FALSE	FALSE
Wdr37	chr13	FALSE	FALSE
Chrm3	chr13	TRUE	FALSE
Hsd17b11	chr5	FALSE	TRUE
Fmo5	chr3	FALSE	TRUE
S100a13	chr3	FALSE	TRUE
Pde8b	chr13	FALSE	FALSE
Plekhb2	chr1	FALSE	FALSE
Htr4	chr18	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Galntl6	chr8	TRUE	TRUE
Ccnd3	chr17	FALSE	TRUE
Tmem182	chr1	FALSE	FALSE
Gm10220	chr5	FALSE	FALSE
Ttn	chr2	FALSE	TRUE
Gask1b	chr3	FALSE	FALSE
Ctxn2	chr2	TRUE	TRUE
Bmp10	chr6	FALSE	FALSE
Impdh1	chr6	FALSE	TRUE
Galnt14	chr17	FALSE	FALSE
E130114P18Rik	chr4	TRUE	TRUE
Crip1	chr12	FALSE	TRUE
D930020B18Rik	chr10	TRUE	FALSE
Mstn	chr1	TRUE	TRUE
9430038I01Rik	chr7	FALSE	FALSE
Gbp7	chr3	FALSE	FALSE
Plxnc1	chr10	FALSE	TRUE
Commd3	chr2	TRUE	TRUE
Ntsr1	chr2	FALSE	FALSE
Tns2	chr15	FALSE	TRUE
Shroom2	chrX	FALSE	FALSE
Kynu	chr2	FALSE	FALSE
Mcur1	chr13	TRUE	TRUE
1700010I14Rik	chr17	FALSE	TRUE
Trpm5	chr7	FALSE	FALSE
Htatip2	chr7	TRUE	FALSE
Frem1	chr4	TRUE	FALSE
Rabggta	chr14	FALSE	FALSE
Mtus1	chr8	TRUE	TRUE
Edaradd	chr13	FALSE	FALSE
Mrpl13	chr15	FALSE	FALSE
Tec	chr5	FALSE	TRUE
Grtp1	chr8	FALSE	FALSE
Pak6	chr2	FALSE	FALSE
Igfbp2	chr1	FALSE	TRUE
Fhdc1	chr3	TRUE	FALSE
Igfbpl1	chr4	FALSE	FALSE
Slco4c1	chr1	FALSE	FALSE
Ildr1	chr16	FALSE	FALSE
Txk	chr5	FALSE	TRUE
Noct	chr3	FALSE	FALSE
Pappa	chr4	FALSE	FALSE
Galc	chr12	FALSE	FALSE
Rassf4	chr6	FALSE	FALSE
Adamts3	chr5	FALSE	FALSE
Asah2	chr19	FALSE	FALSE
Ednra	chr8	FALSE	FALSE
Ndufaf2	chr13	FALSE	TRUE
Prkch	chr12	FALSE	FALSE
Crnkl1	chr2	FALSE	TRUE
Pom121l2	chr13	FALSE	FALSE
Fam167a	chr14	FALSE	FALSE
Far2	chr6	FALSE	FALSE
Csgalnact1	chr8	FALSE	FALSE
Trpa1	chr1	FALSE	FALSE
Pcdh19	chrX	TRUE	FALSE
Ces2e	chr8	FALSE	FALSE
Eomes	chr9	TRUE	TRUE
Fbxo2	chr4	FALSE	TRUE
Slc8a1	chr17	FALSE	TRUE
Chrna7	chr7	FALSE	FALSE
Colec12	chr18	FALSE	FALSE
Cd40	chr2	TRUE	TRUE
Gsto2	chr19	FALSE	TRUE
Rassf6	chr5	FALSE	TRUE
Ccdc93	chr1	FALSE	TRUE
Gnb4	chr3	FALSE	FALSE
Ntn1	chr11	FALSE	FALSE
Cysltr2	chr14	FALSE	FALSE
Palld	chr8	FALSE	FALSE
Stum	chr1	FALSE	TRUE
Mzt1	chr14	TRUE	TRUE
Elfn1	chr5	FALSE	FALSE
Pitrm1	chr13	FALSE	TRUE
Iyd	chr10	TRUE	TRUE
Neurod6	chr6	FALSE	TRUE
Serhl	chr15	FALSE	FALSE
P2rx3	chr2	FALSE	TRUE
Col28a1	chr6	FALSE	TRUE
Grm3	chr5	FALSE	FALSE
Acan	chr7	FALSE	FALSE
