gene_name	gene_id	chr	start	end	strand	gene_type	gene_length	mch_ctrl	mch_mut	mch_diff	ctrl_M1_mch	ctrl_M2_mch	ctrl_F1_mch	ctrl_F2_mch	mut_M1_mch	mut_M2_mch	mut_F1_mch	mut_F2_mch	n_ch_sites_mean	total_coverage_mean	edger_logFC	edger_logCPM	edger_F	edger_pval	edger_fdr	p_bonferroni	sig_bonferroni	sig_fdr005	sig_fdr010
Fgf1	ENSMUSG00000036585.16	chr18	38838672	38929472	-	protein_coding	90800	0.0456951032528913	0.0918929506397601	0.0461978473868689	0.0445674167149056	0.0468626351886046	0.0456819103567785	0.0456684507512763	0.0895883066567526	0.0933069670276536	0.0917462758289284	0.0929302530457059	14037.75	322396.375	1.00102193411145	7.85088194565986	1761.66937388406	9.76382074444709e-21	1.8079933158513e-17	1.98879264743643e-16	TRUE	TRUE	TRUE
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	+	protein_coding	282762	0.0305043682138654	0.060438687745426	0.0299343195315606	0.0321895123017303	0.0284719465948531	0.0301380294393802	0.031217984519498	0.0577122280133101	0.0621686981521967	0.0598831155131538	0.0619907093030434	41278.25	1007485.375	0.954183326056763	8.8997988072062	1706.69078367745	1.32962678414479e-20	2.25693066385377e-17	2.70831679662452e-16	TRUE	TRUE	TRUE
Rasgef1b	ENSMUSG00000089809.9	chr5	99217425	99729065	-	protein_coding	511640	0.0960626724480912	0.0603034726213104	-0.0357591998267808	0.0940762127286545	0.0970469874514381	0.0956466773354518	0.0974808122768205	0.0582579684065107	0.0627244656942206	0.0587793871787839	0.0614520692057264	77587.375	1862716.25	-0.689710468210241	10.5703599505427	1613.65954062142	2.29459504155372e-20	3.34681166718545e-17	4.67386064014077e-16	TRUE	TRUE	TRUE
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	-	protein_coding	79069	0.0449614994032318	0.0861941603156715	0.0412326609124397	0.0453375926017998	0.0440952931241389	0.0447556215003621	0.0456574903866266	0.0842005270247788	0.0859740939175469	0.0870306991849865	0.0875713211353739	11870.5	285902.75	0.929486830973486	7.61025963248907	1613.24589608336	2.30032713145448e-20	3.34681166718545e-17	4.68553633405963e-16	TRUE	TRUE	TRUE
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	+	protein_coding	75075	0.0400243870689658	0.0803605797596868	0.0403361926907209	0.0409648833113166	0.039509895084862	0.0394222591933378	0.040200510686347	0.0793439972281573	0.0812810271662828	0.0789509386794656	0.0818663559648413	11071.375	267522.875	0.990925812639188	7.38720108550972	1597.74328247975	2.52695971660203e-20	3.43144283116445e-17	5.14716424674667e-16	TRUE	TRUE	TRUE
Nrxn1	ENSMUSG00000024109.18	chr17	90033630	91093071	-	protein_coding	1059441	0.0257949024866212	0.0172360260553252	-0.00855887643129608	0.0276353867744595	0.0248794940010415	0.0251504702150611	0.0255142589559228	0.0148292921806921	0.0187890173048479	0.0168459761940166	0.0184798185417441	151344	3484866.75	-0.665613115446511	9.59853589150494	1582.84207658731	2.76818097097832e-20	3.52406738736608e-17	5.63850781978573e-16	TRUE	TRUE	TRUE
Maml3	ENSMUSG00000061143.15	chr3	51685906	52105076	-	protein_coding	419170	0.0480924382464386	0.0711326157159606	0.023040177469522	0.0486348787656716	0.047593067355976	0.0482762646490714	0.0478655422150353	0.069141212438967	0.0724500139160433	0.0699006245368198	0.0730386119720121	64850.125	1488506.25	0.546183069114729	9.84099347300707	1548.35679248254	3.42974277623404e-20	4.1094370946536e-17	6.98604306091112e-16	TRUE	TRUE	TRUE
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	+	protein_coding	150214	0.0652661312593422	0.109410111206086	0.0441439799467434	0.0635900316477374	0.0630988228852998	0.0667415585006623	0.0676341120036693	0.105309700826045	0.110025507701364	0.108524285658731	0.113780950638203	22182.125	533417.5	0.731159046385107	8.91702638448977	1532.09960012075	3.80056585571128e-20	4.26512884317772e-17	7.74137259149831e-16	TRUE	TRUE	TRUE
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	+	protein_coding	323819	0.0260425216032254	0.0445074256590456	0.0184649040558203	0.0274052293112202	0.0252192920841317	0.025602192092555	0.0259433729249945	0.0419175397186909	0.0466706465093015	0.0437970931146947	0.0456444232934953	47868.625	1141841	0.734209126886298	8.70503507118946	1524.90983815714	3.97846963623038e-20	4.26512884317772e-17	8.10374480203766e-16	TRUE	TRUE	TRUE
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	-	protein_coding	127128	0.0280307181411624	0.05753834804857	0.0295076299074076	0.0290376364404331	0.0272107852280146	0.027191879559077	0.0286825713371249	0.0573889520173846	0.0566143557497602	0.0588080831782959	0.0573420012488391	17768	422003.75	1.03519344586131	7.56384106476495	1387.519047945	9.96022541462707e-20	1.01439915735269e-16	2.02879831470539e-15	TRUE	TRUE	TRUE
Zfp608	ENSMUSG00000052713.9	chr18	54888047	54992555	-	protein_coding	104508	0.0504339464009907	0.0868111336685482	0.0363771872675576	0.0507213825815208	0.0491761857135337	0.0509192648539444	0.0509189524549638	0.0850249386581739	0.0886692346827531	0.0857050057613042	0.0878453555719619	15386.625	375455	0.770175060173383	8.07337200271111	1322.04150809117	1.5926823069968e-19	1.54482599577227e-16	3.24413459112178e-15	TRUE	TRUE	TRUE
Sema6d	ENSMUSG00000027200.17	chr2	124089968	124667770	+	protein_coding	577802	0.0364599266375087	0.052436727728449	0.0159768010909404	0.0376508015369637	0.0365095054369432	0.035395401938568	0.03628399763756	0.0512302702733452	0.0535053119615624	0.0521049361589075	0.0529063925199811	86072.875	2126924.125	0.506662559279363	9.94095184843453	1307.21622816547	1.77692083032651e-19	1.6451863814964e-16	3.61941003929207e-15	TRUE	TRUE	TRUE
Lsamp	ENSMUSG00000061080.11	chr16	39984360	42181679	+	protein_coding	2197319	0.0415343238378719	0.0534118937194774	0.0118775698816055	0.0425764342964058	0.0405054937131252	0.0416143183754051	0.0414410489665516	0.0509142795973083	0.054784425729737	0.0526778286637187	0.0552710408871457	306952.375	7351787.75	0.334326732695145	11.8244103223002	1285.57639629963	2.08939947048081e-19	1.85039033974885e-16	4.25589778142236e-15	TRUE	TRUE	TRUE
Erbb4	ENSMUSG00000062209.15	chr1	68032185	69108059	-	protein_coding	1075874	0.0555032218364175	0.0719427624452781	0.0164395406088606	0.0559173493325143	0.0551317943004431	0.0557073983841594	0.0552563453285532	0.0704510926246808	0.0733742290285034	0.0714263384250775	0.0725193897028506	145162.25	3576847	0.362438823890931	11.2133136316561	1243.25438108645	2.89103768833578e-19	2.45364777807132e-16	5.88875466737116e-15	TRUE	TRUE	TRUE
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	-	protein_coding	126243	0.0323602337776884	0.05889731243183	0.0265370786541416	0.0339131122103012	0.0314164500751757	0.0321851643128348	0.031926208512442	0.0559582390157108	0.0612597259626448	0.0584004650321081	0.0599708197168564	18224.875	435912.75	0.832380651975263	7.69861045911642	1228.5633337875	3.2442773239922e-19	2.64330739249589e-16	6.60826848123972e-15	TRUE	TRUE	TRUE
Csrnp3	ENSMUSG00000044647.16	chr2	65845766	66031546	+	protein_coding	185780	0.0624736262414788	0.0396618693434563	-0.0228117568980226	0.0620818302346376	0.0618226415579313	0.0627030075580606	0.0632870256152858	0.0387290835665211	0.0403426982031327	0.0391789135372434	0.0403967820669279	26807.625	667982.875	-0.667996011585157	8.47085534828137	1201.59002586738	4.02339220920825e-19	3.15201830420626e-16	8.19524759093628e-15	TRUE	TRUE	TRUE
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	-	protein_coding	66396	0.0412552378475686	0.0809264756242538	0.0396712377766853	0.0438135269392434	0.0402670312710398	0.0407409806334607	0.0401994125465304	0.078968350718583	0.0820833820327347	0.0797302856684159	0.0829238840772818	9819.5	240646.5	0.948279103359267	7.2544649318413	1181.68006105876	4.73068704354817e-19	3.56886534777899e-16	9.63593643900327e-15	TRUE	TRUE	TRUE
Btbd11	ENSMUSG00000020042.15	chr10	85386813	85660292	+	protein_coding	273479	0.0760820171385647	0.0497330242199788	-0.0263489929185859	0.0756955935527364	0.0771899979948991	0.0757634353679448	0.0756790416386784	0.0482560284873225	0.0520402471777534	0.0489241998975488	0.0497116213172906	42783.25	997035.25	-0.629031668741484	9.35035200339167	1176.78892359038	4.92470944923978e-19	3.58255024184161e-16	1.00311406771565e-14	TRUE	TRUE	TRUE
Pappa2	ENSMUSG00000073530.11	chr1	158711726	158980490	-	protein_coding	268764	0.0330879102586455	0.0511727235193512	0.0180848132607057	0.0335555858455061	0.0326775127320011	0.0326490466316921	0.0334694958253827	0.0500444555120451	0.051456022603458	0.0508078668765472	0.0523825490853545	38295.375	897839.625	0.614421105987955	8.61735321808603	1154.83120284554	5.9106828050677e-19	4.15154131229048e-16	1.20394698056424e-14	TRUE	TRUE	TRUE
Btbd3	ENSMUSG00000062098.11	chr2	138256564	138589292	+	protein_coding	332728	0.0559836918283749	0.079546966501719	0.0235632746733441	0.0563075221638261	0.0558906468527486	0.0555755263113132	0.0561610719856116	0.0765185963768401	0.0810011094830831	0.0791196495152259	0.0815485106317269	45749.5	1093467.25	0.48749620016655	9.58515204999232	1136.37947941309	6.90867706082309e-19	4.69076143506352e-16	1.40722843051905e-14	TRUE	TRUE	TRUE
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	-	protein_coding	450517	0.0614601279556288	0.0443830838042812	-0.0170770441513475	0.061649227635244	0.0605604930463569	0.0618604690468779	0.0617703220940362	0.041278088292318	0.046090283973812	0.0434659639557956	0.0466979989951992	69557.875	1673013.25	-0.507043712189783	9.84605791627233	1102.05806520982	9.29730845201883e-19	6.10893147932812e-16	1.89376875859172e-14	TRUE	TRUE	TRUE
Lrrc4c	ENSMUSG00000050587.14	chr2	96318168	97631666	+	protein_coding	1313498	0.0357822904715525	0.0467727976432077	0.0109905071716552	0.0364111348649272	0.0352087584527418	0.0358237343040009	0.0356855342645402	0.0451385049452721	0.0478635738917504	0.0460399503281888	0.0480491614076198	179454.375	4181130.125	0.364055726759535	10.8102666276804	1077.99948483182	1.15115442347079e-18	7.32745764114893e-16	2.34478644516766e-14	TRUE	TRUE	TRUE
Heg1	ENSMUSG00000075254.12	chr16	33684369	33771576	+	protein_coding	87207	0.0393293526433328	0.070081115242015	0.0307517625986822	0.0392813909015948	0.0385519075001546	0.0400080079715717	0.0394761042000102	0.0674273340551345	0.0710073323903046	0.0687717846971793	0.0731180098254416	13408.625	292697.125	0.812007224406507	7.37491841531858	1029.48328668962	1.79713474738492e-18	1.10926780816616e-15	3.66058376694834e-14	TRUE	TRUE	TRUE
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	+	protein_coding	766722	0.041359511075749	0.0556188910882177	0.0142593800124687	0.0425287436415581	0.0406501983023253	0.0410936465225474	0.0411654558365653	0.0540718146756752	0.0566888741062706	0.055612827747112	0.0561020478238129	107761.375	2625996.875	0.410361995215743	10.3711696367482	1007.4692027395	2.21477157058852e-18	1.32684359180346e-15	4.51126821213175e-14	TRUE	TRUE	TRUE
Arhgef38	ENSMUSG00000040969.14	chr3	133112277	133234949	-	protein_coding	122672	0.0284589360304472	0.0530772723884506	0.0246183363580034	0.0303720448017404	0.0271606289445843	0.0277341330825516	0.0285689372929125	0.0505551432811965	0.0536423849816661	0.053127484052907	0.0549840772380327	17048.75	416711.125	0.867158702704683	7.46916350907927	988.508418679764	2.6611230498515e-18	1.54869758292643e-15	5.42044154024252e-14	TRUE	TRUE	TRUE
Ncald	ENSMUSG00000051359.15	chr15	37366174	37792570	-	protein_coding	426396	0.0454594918381712	0.0624016377828156	0.0169421459446445	0.0461726876188346	0.0453066466505068	0.0450496979990814	0.0453089350842618	0.0600382278653833	0.0635450603648531	0.0619445980355432	0.0640786648654829	65986.875	1491426.125	0.4356772473935	9.6971321221626	983.21465804988	2.80281871620527e-18	1.58585040084403e-15	5.70906144303852e-14	TRUE	TRUE	TRUE
Ctnnd2	ENSMUSG00000022240.10	chr15	30172592	31029341	+	protein_coding	856749	0.0352179677948465	0.0266942881977564	-0.00852367959709012	0.0364153561915817	0.0346502507434234	0.0348870828382292	0.0349191814061518	0.0247515769271018	0.0278841408448817	0.0257215320232395	0.0284199029958027	124050.75	2896316.25	-0.44834714602258	9.86151444889993	975.875983587812	3.0131851653311e-18	1.65879915223322e-15	6.13755686326293e-14	TRUE	TRUE	TRUE
Slc6a6	ENSMUSG00000030096.8	chr6	91684052	91759066	+	protein_coding	75014	0.0972570808788889	0.0572874419808553	-0.0399696388980336	0.0945968129282514	0.0964389699960766	0.0988690585770936	0.099123482014134	0.0545483059341738	0.0585724854633685	0.0571756132151157	0.0588533633107631	12055.75	250033.375	-0.779671192428676	7.64400688267759	968.246211766681	3.25050038624232e-18	1.72690932541127e-15	6.62094423673698e-14	TRUE	TRUE	TRUE
Lamb3	ENSMUSG00000026639.18	chr1	193207698	193343878	+	protein_coding	136180	0.0544234451702813	0.0834424795838372	0.0290190344135559	0.0553622828270278	0.0539424755670066	0.0545640802941856	0.0538249419929052	0.0800099485645396	0.0859959030150171	0.0826894758609426	0.0850745908948497	21758.625	477352.5	0.59368510433312	8.40520691476004	965.002995748058	3.35755147687013e-18	1.72690932541127e-15	6.83899660323676e-14	TRUE	TRUE	TRUE
Snca	ENSMUSG00000025889.13	chr6	60731574	60829855	-	protein_coding	98281	0.0430931707849445	0.0710040300637536	0.027910859278809	0.0435417635789779	0.0421438720092923	0.042747547068867	0.0439395004826409	0.0705125394161428	0.0701369577254802	0.0707604496549654	0.0726061734584258	14488.75	364136	0.713790392037642	7.76402632126473	964.005585095414	3.39125008672251e-18	1.72690932541127e-15	6.90763730164508e-14	TRUE	TRUE	TRUE
Elmo1	ENSMUSG00000041112.17	chr13	20090595	20608353	+	protein_coding	517758	0.0298204842878026	0.0430026534997634	0.0131821692119608	0.0313296765515177	0.0293861703345949	0.0289230946345826	0.0296429956305153	0.0413023900828263	0.0442713412745217	0.042609560955412	0.0438273216862937	78652.625	1855171	0.499457238427564	9.45059369220556	957.823606365132	3.60861131334903e-18	1.78260975462403e-15	7.35038038416065e-14	TRUE	TRUE	TRUE
Pcgf5	ENSMUSG00000024805.16	chr19	36348308	36460970	+	protein_coding	112662	0.0732902508456537	0.0438777133245881	-0.0294125375210656	0.0731267676980877	0.0751330660545524	0.0734159687843087	0.071485200845666	0.04292343387471	0.0454559307570401	0.0422121251861052	0.0449193634804972	16366.375	397777.5	-0.75842802763444	7.92304959381592	955.999024478535	3.67566447514405e-18	1.78260975462403e-15	7.48696096942092e-14	TRUE	TRUE	TRUE
Dgkb	ENSMUSG00000036095.11	chr12	37817725	38634239	+	protein_coding	816514	0.0314551572439025	0.0432342963747084	0.0117791391308059	0.0330703264008401	0.031023285666321	0.0305004457985027	0.0312265711099463	0.0411995230156525	0.0451461376740989	0.0424813204370866	0.0441102043719957	111290	2583683.75	0.424577930248279	9.96908323532892	919.903267447775	5.3292987291925e-18	2.52447641430051e-15	1.08552485814922e-13	TRUE	TRUE	TRUE
Hgd	ENSMUSG00000022821.13	chr16	37580152	37632020	+	protein_coding	51868	0.051509912134742	0.0929557933363028	0.0414458812015608	0.0506983649272347	0.0514274841004399	0.0526942715407355	0.051219527970558	0.0889201605893796	0.0936169960696737	0.0934610510377063	0.0958249656484515	7711.25	179011.5	0.837375068376318	7.07839478408062	916.820993072968	5.50469137825733e-18	2.54829678826645e-15	1.12125058683724e-13	TRUE	TRUE	TRUE
Dlgap4	ENSMUSG00000061689.15	chr2	156613704	156764363	+	protein_coding	150659	0.0565614712862225	0.0355381007520759	-0.0210233705341466	0.0572265959934523	0.0559351142983278	0.0573157020136539	0.0557684728394558	0.0327990662767105	0.0359077625846104	0.0352417143045964	0.0382038598423862	24250	488484.75	-0.709196128618195	7.85904679924266	892.442202416022	7.1387452023008e-18	3.23131335612589e-15	1.45409101025665e-13	TRUE	TRUE	TRUE
Tafa5	ENSMUSG00000054863.9	chr15	87544298	87759364	+	protein_coding	215066	0.0427266306643191	0.0270377770284064	-0.0156888536359126	0.0437486184952942	0.0428765696038103	0.0422247099366499	0.042056624621522	0.0244469367844367	0.0285252999718782	0.0271528482723162	0.0280260230849948	35529.75	775666.875	-0.705487528245503	8.13112036442284	878.637080474256	8.2965069822433e-18	3.67372936350682e-15	1.68991550721314e-13	TRUE	TRUE	TRUE
Phex	ENSMUSG00000057457.11	chrX	157162074	157415312	-	protein_coding	253238	0.0317612191289796	0.0571492817100094	0.0253880625810298	0.0402475666144906	0.038700386740977	0.0234251032284057	0.0246718199320452	0.0700978795946904	0.0743954574015751	0.0398696321245028	0.0442341577192693	35466.125	628361	0.81028767057161	8.02922307809513	860.510054851815	1.01425069333582e-17	4.33540549536583e-15	2.06592723725574e-13	TRUE	TRUE	TRUE
Msi2	ENSMUSG00000069769.13	chr11	88339381	88718513	-	protein_coding	379132	0.0457185681424186	0.0323747038504506	-0.0133438642919679	0.0462366882856914	0.0450207357309385	0.0454860925166279	0.0461307560364164	0.0295057341279085	0.0342496011254268	0.0317181015961002	0.034025378552367	58429.125	1194063.625	-0.545809024391882	8.91100253908747	859.861285096357	1.02164791485866e-17	4.33540549536583e-15	2.0809946377756e-13	TRUE	TRUE	TRUE
Gabbr2	ENSMUSG00000039809.10	chr4	46662304	46991873	-	protein_coding	329569	0.0379982722852795	0.025794032604436	-0.0122042396808435	0.0384651401368873	0.0370115831555013	0.0384623931194104	0.0380539727293189	0.022981095836816	0.0274440759368411	0.0249263527650076	0.0278246058790793	53691.125	1108892.625	-0.620473425598601	8.51202452488425	843.159720125687	1.23412287135193e-17	5.03153693778645e-15	2.51378487665674e-13	TRUE	TRUE	TRUE
Zic4	ENSMUSG00000036972.14	chr9	91362412	91389348	+	protein_coding	26936	0.0316141926520313	0.085387994483932	0.0537738018319007	0.0322554697554698	0.0331884879400466	0.0309609430587873	0.0300518698538213	0.0852001884126236	0.0880579101908953	0.0832767978290366	0.0850170815031723	3526	68346.625	1.42376002795498	5.42640656091832	842.972025189058	1.23677181701399e-17	5.03153693778645e-15	2.5191805140758e-13	TRUE	TRUE	TRUE
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	-	protein_coding	320642	0.0490213216458924	0.0678398979540592	0.0188185763081668	0.0490504259028114	0.0486492413976768	0.0493878001084655	0.0489978191746159	0.065199654282953	0.0685364847769641	0.0672465055913821	0.0703769471649375	44004.875	1081140.5	0.449338793259363	9.36200202898842	841.358848786396	1.25979863433212e-17	5.03153693778645e-15	2.56608383827109e-13	TRUE	TRUE	TRUE
Megf11	ENSMUSG00000036466.17	chr9	64385625	64709205	+	protein_coding	323580	0.0441274461449727	0.0318289896795941	-0.0122984564653786	0.0458563732678434	0.0431611299458123	0.0436518822561193	0.0438403991101156	0.0289736775398998	0.0335649876572411	0.0311862370075754	0.0335910565136601	51079.25	1016030.5	-0.524217099610541	8.63506562011927	838.944090373263	1.29515493631029e-17	5.07327132648161e-15	2.63810108977043e-13	TRUE	TRUE	TRUE
Prune2	ENSMUSG00000039126.10	chr19	16956117	17223932	+	protein_coding	267815	0.0268846567034282	0.0403274511077179	0.0134427944042897	0.0278027595356313	0.0263574950483103	0.0265825536115978	0.0267958186181733	0.0384199168746927	0.0409095312644207	0.0400639325418773	0.041916423749881	40618	946182.125	0.556309000544468	8.36890148866768	836.536353549806	1.33149980376604e-17	5.11723009488878e-15	2.71213195029105e-13	TRUE	TRUE	TRUE
Tmem51	ENSMUSG00000040616.3	chr4	142030991	142084304	-	protein_coding	53313	0.0467026129716394	0.0836678940481937	0.0369652810765543	0.0469393027848008	0.0454069402099286	0.0475235755606625	0.0469406333311659	0.0786436483847894	0.0847373460524403	0.0845083682765913	0.086782213478954	8414.625	176097.125	0.81672375829976	6.89033765763098	831.935529740311	1.40411519152633e-17	5.29637450670367e-15	2.86004223361998e-13	TRUE	TRUE	TRUE
Afap1	ENSMUSG00000029094.12	chr5	35893318	36003923	+	protein_coding	110605	0.0982527888424231	0.0678502640943424	-0.0304025247480807	0.0991332532665789	0.097757357821192	0.0989096709730573	0.097210873308864	0.0643897134341583	0.0685473975001696	0.0684088156864193	0.0700551297566223	18282	419341.125	-0.555437727461496	8.49823123856452	812.591010191539	1.76096873045875e-17	6.52166764922077e-15	3.58691720707142e-13	TRUE	TRUE	TRUE
Ephb2	ENSMUSG00000028664.14	chr4	136647538	136835988	-	protein_coding	188450	0.0560133860195376	0.0366245128913447	-0.0193888731281929	0.0564311494270989	0.056114903234984	0.0566989823841869	0.0548085090318806	0.034434111564954	0.0376344366893746	0.0360848582814376	0.0383446450296124	30561.375	572367.125	-0.643687686034503	8.09888541373856	807.03667657721	1.88110661269072e-17	6.84218939176738e-15	3.83162605938973e-13	TRUE	TRUE	TRUE
Ccdc192	ENSMUSG00000058925.11	chr18	57533779	57731065	+	protein_coding	197286	0.0493601907649982	0.0735083554705547	0.0241481647055565	0.0501467861557478	0.0484505462893914	0.050557243792274	0.0482861868225798	0.0713598615184521	0.0752518465673221	0.0724629751385601	0.0749587386578845	28978	678057.75	0.556538752710269	8.74958082324163	803.590136360079	1.96017803271519e-17	7.00471339445189e-15	3.99268663483758e-13	TRUE	TRUE	TRUE
Enox1	ENSMUSG00000022012.9	chr14	77156762	77721760	+	protein_coding	564998	0.0826704733819014	0.0651628941969981	-0.0175075791849033	0.0823653057212968	0.0828054880223315	0.0831390651648017	0.0823720346191756	0.0626758280986161	0.0666813169888821	0.0645419717529937	0.0667524599475007	84574.875	2062071.875	-0.361456865484744	10.628742470281	798.252348747195	2.08996337844608e-17	7.33973518199452e-15	4.25704640555682e-13	TRUE	TRUE	TRUE
Tjp1	ENSMUSG00000030516.14	chr7	65296164	65527781	-	protein_coding	231617	0.0686380855130551	0.0475104000195011	-0.021127685493554	0.0689492838907096	0.0693252984109345	0.0691771039570002	0.0671006557935762	0.0456163804816319	0.0494189019911025	0.0471624868777641	0.0478438307275058	34665.375	814269.125	-0.549499503534959	8.94315963864983	793.599658044825	2.2108383999089e-17	7.63263853690584e-15	4.50325673677445e-13	TRUE	TRUE	TRUE
Cacna1e	ENSMUSG00000004110.17	chr1	154390730	154884501	-	protein_coding	493771	0.0303501913065307	0.0205812463986034	-0.00976894490792723	0.0318620239660704	0.0294408332090877	0.0297433750816026	0.030354532969362	0.0181763620267979	0.0228713802144414	0.019933905380334	0.0213433379728404	73679.125	1624035.5	-0.631471657397442	8.7422902507217	788.505706642129	2.35207981123661e-17	7.98491894584642e-15	4.79095136750785e-13	TRUE	TRUE	TRUE
