gene_name	gene_id	chr	start	end	promoter_state	body_state	prom_ctcf_overlap	prom_h3k27ac_overlap	prom_h3k27me3_overlap	prom_h3k4me1_overlap	prom_h3k4me3_overlap	prom_bivalent_overlap	body_ctcf_overlap	body_h3k27ac_overlap	body_h3k27me3_overlap	body_h3k4me1_overlap	body_h3k4me3_overlap	body_bivalent_overlap
Runx1t1	ENSMUSG00000006586.15	chr4	13743435	13893649	Bivalent_Promoter	Mixed	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Btbd11	ENSMUSG00000020042.15	chr10	85386813	85660292	Active_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	Unmarked_Promoter	Enhancer_Marked	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
Maml3	ENSMUSG00000061143.15	chr3	51685906	52105076	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Csrnp3	ENSMUSG00000044647.16	chr2	65845766	66031546	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE
Nrxn1	ENSMUSG00000024109.18	chr17	90033630	91093071	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Erbb4	ENSMUSG00000062209.15	chr1	68032185	69108059	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Pcgf5	ENSMUSG00000024805.16	chr19	36348308	36460970	Bivalent_Promoter	Mixed	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Tenm2	ENSMUSG00000049336.16	chr11	36006655	37235964	Unmarked_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Enox1	ENSMUSG00000022012.9	chr14	77156762	77721760	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Slc6a6	ENSMUSG00000030096.8	chr6	91684052	91759066	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Zfp608	ENSMUSG00000052713.9	chr18	54888047	54992555	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Camta1	ENSMUSG00000014592.21	chr4	150917321	151861876	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Lsamp	ENSMUSG00000061080.11	chr16	39984360	42181679	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ctnnd2	ENSMUSG00000022240.10	chr15	30172592	31029341	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Btbd3	ENSMUSG00000062098.11	chr2	138256564	138589292	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Tjp1	ENSMUSG00000030516.14	chr7	65296164	65527781	Unmarked_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Tmem178b	ENSMUSG00000057716.7	chr6	39871460	40255150	Active_Promoter	Mixed	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Abr	ENSMUSG00000017631.19	chr11	76416733	76623558	Repressed_Promoter	Polycomb	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Ephb1	ENSMUSG00000032537.15	chr9	101922127	102354693	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Plekha6	ENSMUSG00000041757.17	chr1	133164209	133303435	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Gabbr2	ENSMUSG00000039809.10	chr4	46662304	46991873	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Tafa5	ENSMUSG00000054863.9	chr15	87544298	87759364	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Gsg1l	ENSMUSG00000046182.8	chr7	125878419	126082411	Unmarked_Promoter	Mixed	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Rnf157	ENSMUSG00000052949.14	chr11	116336352	116413032	Unmarked_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Tgfbr3	ENSMUSG00000029287.14	chr5	107106569	107289629	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Sema6d	ENSMUSG00000027200.17	chr2	124089968	124667770	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Cacna1e	ENSMUSG00000004110.17	chr1	154390730	154884501	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Msi2	ENSMUSG00000069769.13	chr11	88339381	88718513	Active_Promoter	Active	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Hgd	ENSMUSG00000022821.13	chr16	37580152	37632020	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Dlgap4	ENSMUSG00000061689.15	chr2	156613704	156764363	Active_Promoter	Active	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Phex	ENSMUSG00000057457.11	chrX	157162074	157415312	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Prkar2b	ENSMUSG00000002997.15	chr12	31958475	32061296	Bivalent_Promoter	Polycomb	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Afap1	ENSMUSG00000029094.12	chr5	35893318	36003923	Bivalent_Promoter	Polycomb	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Ephb2	ENSMUSG00000028664.14	chr4	136647538	136835988	Active_Promoter	Active	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Lrrc4c	ENSMUSG00000050587.14	chr2	96318168	97631666	Active_Promoter	Active	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Megf11	ENSMUSG00000036466.17	chr9	64385625	64709205	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Hdac9	ENSMUSG00000004698.11	chr12	34047579	34917095	Unmarked_Promoter	Mixed	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Cmip	ENSMUSG00000034390.16	chr8	117257063	117459430	Active_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Gm20696	ENSMUSG00000030068.4	chr6	99257483	99666797	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ccdc192	ENSMUSG00000058925.11	chr18	57533779	57731065	Unmarked_Promoter	Active	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
D430042O09Rik	ENSMUSG00000032743.15	chr7	125707887	125874793	Unmarked_Promoter	Mixed	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Snca	ENSMUSG00000025889.13	chr6	60731574	60829855	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
Cacna2d2	ENSMUSG00000010066.15	chr9	107399611	107529343	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Pappa2	ENSMUSG00000073530.11	chr1	158711726	158980490	Unmarked_Promoter	Mixed	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Arhgef38	ENSMUSG00000040969.14	chr3	133112277	133234949	Unmarked_Promoter	Enhancer_Marked	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Nos1	ENSMUSG00000029361.18	chr5	117781031	117958840	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Lamb3	ENSMUSG00000026639.18	chr1	193207698	193343878	Unmarked_Promoter	Active	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Fam107b	ENSMUSG00000026655.15	chr2	3570487	3782142	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Nln	ENSMUSG00000021710.11	chr13	104023056	104109614	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Zic4	ENSMUSG00000036972.14	chr9	91362412	91389348	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
Pag1	ENSMUSG00000027508.15	chr3	9687478	9833679	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Fstl4	ENSMUSG00000036264.9	chr11	52764633	53188538	Bivalent_Promoter	Polycomb	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
Opcml	ENSMUSG00000062257.13	chr9	27790774	28925410	Repressed_Promoter	Mixed	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Kcnq1	ENSMUSG00000009545.14	chr7	143106361	143427042	Repressed_Promoter	Polycomb	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Heg1	ENSMUSG00000075254.12	chr16	33684369	33771576	Active_Promoter	Active	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Prkce	ENSMUSG00000045038.14	chr17	86167784	86657919	Active_Promoter	Active	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
D430041D05Rik	ENSMUSG00000068373.15	chr2	104143072	104411013	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Wdr25	ENSMUSG00000040877.16	chr12	108893630	109028452	Unmarked_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Tmem51	ENSMUSG00000040616.3	chr4	142030991	142084304	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ncald	ENSMUSG00000051359.15	chr15	37366174	37792570	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Igsf21	ENSMUSG00000040972.8	chr4	140026845	140246784	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Med13l	ENSMUSG00000018076.12	chr5	118560678	118765438	Active_Promoter	Active	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Col27a1	ENSMUSG00000045672.15	chr4	63214003	63334991	Repressed_Promoter	Mixed	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE
Phactr3	ENSMUSG00000027525.18	chr2	178118974	178338492	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Atxn1	ENSMUSG00000046876.16	chr13	45549754	45965008	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ttr	ENSMUSG00000061808.4	chr18	20665279	20674321	Unmarked_Promoter	Enhancer_Marked	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Olfr437	ENSMUSG00000071481.4	chr6	43163281	43169861	Unmarked_Promoter	Enhancer_Marked	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
Clnk	ENSMUSG00000039315.15	chr5	38706461	38876812	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Sez6	ENSMUSG00000000632.13	chr11	77930799	77979048	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Akap6	ENSMUSG00000061603.8	chr12	52699382	53155599	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ksr2	ENSMUSG00000061578.8	chr5	117413999	117775003	Unmarked_Promoter	Active	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Cntnap2	ENSMUSG00000039419.17	chr6	45059356	47304213	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Bcas3	ENSMUSG00000059439.15	chr11	85353166	85826058	Unmarked_Promoter	Polycomb	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Nav3	ENSMUSG00000020181.18	chr10	109681258	110456204	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Lancl3	ENSMUSG00000047344.9	chrX	9199901	9268085	Unmarked_Promoter	Active	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
Tmem150c	ENSMUSG00000050640.16	chr5	100077871	100159808	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ptprn2	ENSMUSG00000056553.14	chr12	116485719	117276849	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Dip2b	ENSMUSG00000023026.16	chr15	100038663	100219473	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Rab11fip4	ENSMUSG00000017639.13	chr11	79591211	79698023	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Vwf	ENSMUSG00000001930.17	chr6	125546773	125686679	Unmarked_Promoter	Polycomb	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Anks1b	ENSMUSG00000058589.14	chr10	89873508	90973300	Active_Promoter	Active	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Slc35g2	ENSMUSG00000070287.3	chr9	100552187	100571090	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Angpt1	ENSMUSG00000022309.9	chr15	42424722	42676977	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Cacna1c	ENSMUSG00000051331.16	chr6	118587239	119196890	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Pcdh7	ENSMUSG00000029108.14	chr5	57717966	58133230	Bivalent_Promoter	Mixed	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Jph1	ENSMUSG00000042686.5	chr1	16964559	17097889	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
Acly	ENSMUSG00000020917.17	chr11	100476352	100528000	Active_Promoter	Polycomb	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Vti1a	ENSMUSG00000024983.10	chr19	55316294	55627309	Active_Promoter	Enhancer_Marked	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
Gria1	ENSMUSG00000020524.16	chr11	57011386	57330244	Repressed_Promoter	Polycomb	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE
Brpf3	ENSMUSG00000063952.16	chr17	28801089	28839949	Unmarked_Promoter	Active	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Lrba	ENSMUSG00000028080.16	chr3	86224679	86782692	Unmarked_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Fam135b	ENSMUSG00000036800.8	chr15	71431608	71727838	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Ptk2	ENSMUSG00000022607.18	chr15	73205101	73423280	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Dgkb	ENSMUSG00000036095.11	chr12	37817725	38634239	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Exoc6b	ENSMUSG00000033769.16	chr6	84618486	85069513	Active_Promoter	Enhancer_Marked	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE
Lingo1	ENSMUSG00000049556.5	chr9	56618474	56796468	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Nfib	ENSMUSG00000008575.17	chr4	82290172	82705750	Bivalent_Promoter	Mixed	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Ssh2	ENSMUSG00000037926.15	chr11	77216286	77460220	Active_Promoter	Active	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Cnpy1	ENSMUSG00000044681.19	chr5	28200818	28245806	Unmarked_Promoter	Active	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Svep1	ENSMUSG00000028369.15	chr4	58042441	58206859	Active_Promoter	Active	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Elmo1	ENSMUSG00000041112.17	chr13	20090595	20608353	Repressed_Promoter	Mixed	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Zbtb16	ENSMUSG00000066687.5	chr9	48654296	48836222	Bivalent_Promoter	Mixed	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
Foxp1	ENSMUSG00000030067.17	chr6	98925337	99522721	Active_Promoter	Polycomb	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
Plcb4	ENSMUSG00000039943.16	chr2	135659010	136014593	Active_Promoter	Active	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
Chia1	ENSMUSG00000062778.12	chr3	106113228	106132120	Unmarked_Promoter	Active	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
Ppp2r2b	ENSMUSG00000024500.20	chr18	42637431	43083127	Unmarked_Promoter	Mixed	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
Fgf20	ENSMUSG00000031603.14	chr8	40279165	40308331	Active_Promoter	Mixed	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE
