gene_name	chr	mch_hyper	cg_hmc_up
Abcc4	chr14	FALSE	TRUE
Abcc5	chr16	FALSE	FALSE
Abcc8	chr7	FALSE	FALSE
Abcd2	chr15	FALSE	FALSE
Abcd3	chr3	FALSE	FALSE
Abcf1	chr17	FALSE	FALSE
Abcg1	chr17	FALSE	FALSE
Abcg2	chr6	FALSE	FALSE
Abhd12	chr2	FALSE	FALSE
Abhd15	chr11	FALSE	FALSE
Abhd17c	chr7	FALSE	FALSE
Abhd2	chr7	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Abhd6	chr14	FALSE	FALSE
Abi1	chr2	FALSE	FALSE
Abi3	chr11	FALSE	FALSE
Abl1	chr2	FALSE	FALSE
Abl2	chr1	FALSE	FALSE
Ablim1	chr19	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Ablim3	chr18	FALSE	FALSE
Abr	chr11	FALSE	FALSE
Abtb2	chr2	TRUE	TRUE
Acaca	chr11	FALSE	FALSE
Acad11	chr9	FALSE	FALSE
Acad9	chr3	FALSE	FALSE
Acan	chr7	FALSE	TRUE
Acap2	chr16	FALSE	FALSE
Acat1	chr9	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Ace2	chrX	TRUE	TRUE
Acer3	chr7	FALSE	FALSE
Aco2	chr15	FALSE	FALSE
Acot7	chr4	FALSE	FALSE
Acox1	chr11	FALSE	FALSE
Acoxl	chr2	FALSE	FALSE
Acsf3	chr8	FALSE	FALSE
Acsl3	chr1	FALSE	FALSE
Acsl6	chr11	FALSE	FALSE
Acss2	chr2	FALSE	FALSE
Actl6b	chr5	FALSE	FALSE
Actn1	chr12	FALSE	FALSE
Actn4	chr7	FALSE	FALSE
Actr2	chr11	FALSE	FALSE
Actr3b	chr5	FALSE	FALSE
Acvr1	chr2	FALSE	FALSE
Acvr1b	chr15	FALSE	FALSE
Acvr2a	chr2	FALSE	FALSE
Adad1	chr3	FALSE	FALSE
Adam10	chr9	FALSE	FALSE
Adam12	chr7	TRUE	TRUE
Adam17	chr12	FALSE	FALSE
Adam22	chr5	FALSE	FALSE
Adam23	chr1	FALSE	FALSE
Adamts16	chr13	TRUE	TRUE
Adamts17	chr7	FALSE	TRUE
Adamts18	chr8	TRUE	FALSE
Adamts3	chr5	FALSE	TRUE
Adamts9	chr6	FALSE	TRUE
Adamtsl3	chr7	FALSE	TRUE
Adamtsl5	chr10	FALSE	FALSE
Adarb1	chr10	FALSE	FALSE
Adck1	chr12	FALSE	TRUE
Adck2	chr6	FALSE	FALSE
Adcy1	chr11	FALSE	FALSE
Adcy2	chr13	FALSE	TRUE
Adcy3	chr12	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Adcy9	chr16	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Add1	chr5	FALSE	FALSE
Add2	chr6	FALSE	FALSE
Adgra1	chr7	FALSE	TRUE
Adgra3	chr5	FALSE	TRUE
Adgrb1	chr15	FALSE	TRUE
Adgrb2	chr4	FALSE	FALSE
Adgrb3	chr1	FALSE	FALSE
Adgrd1	chr5	FALSE	TRUE
Adgre1	chr17	FALSE	FALSE
Adgre4	chr17	FALSE	FALSE
Adgrf1	chr17	FALSE	TRUE
Adgrf4	chr17	FALSE	FALSE
Adgrg7	chr16	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
Adgrv1	chr13	FALSE	FALSE
Adk	chr14	FALSE	FALSE
Adnp	chr2	FALSE	FALSE
Adora2b	chr11	FALSE	TRUE
Adora3	chr3	FALSE	FALSE
Adra1b	chr11	FALSE	TRUE
Aebp2	chr6	FALSE	FALSE
Afap1	chr5	FALSE	TRUE
Afdn	chr17	FALSE	FALSE
Aff2	chrX	TRUE	FALSE
Aff3	chr1	FALSE	TRUE
Afg1l	chr10	FALSE	FALSE
Afg3l1	chr8	FALSE	FALSE
Afg3l2	chr18	FALSE	FALSE
Aftph	chr11	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Agap2	chr10	FALSE	FALSE
Agap3	chr5	FALSE	FALSE
Agbl1	chr7	TRUE	TRUE
Agbl4	chr4	FALSE	TRUE
Ago1	chr4	FALSE	FALSE
Ago2	chr15	FALSE	FALSE
Agpat3	chr10	FALSE	FALSE
Agpat4	chr17	FALSE	FALSE
Agps	chr2	FALSE	FALSE
Agrp	chr8	FALSE	FALSE
Agt	chr8	FALSE	FALSE
Agtpbp1	chr13	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Ahdc1	chr4	FALSE	FALSE
Ahr	chr12	FALSE	FALSE
AI661453	chr17	FALSE	TRUE
Aim2	chr1	TRUE	TRUE
Ak1	chr2	FALSE	FALSE
Ak5	chr3	FALSE	TRUE
Akap10	chr11	FALSE	FALSE
Akap12	chr10	FALSE	FALSE
Akap6	chr12	FALSE	FALSE
Akap9	chr5	FALSE	FALSE
Aknad1	chr3	FALSE	FALSE
Akr1d1	chr6	TRUE	TRUE
Akt3	chr1	FALSE	FALSE
Aktip	chr8	FALSE	FALSE
Aldh1l1	chr6	FALSE	TRUE
Aldh1l2	chr10	FALSE	FALSE
Aldh2	chr5	FALSE	FALSE
Aldh3b3	chr19	FALSE	FALSE
Aldh4a1	chr4	FALSE	FALSE
Aldh5a1	chr13	FALSE	FALSE
Alg8	chr7	TRUE	TRUE
Alg9	chr9	FALSE	FALSE
Alk	chr17	FALSE	TRUE
Alkbh6	chr7	FALSE	FALSE
Alms1	chr6	FALSE	FALSE
Alox5	chr6	FALSE	FALSE
Als2	chr1	FALSE	FALSE
Alx4	chr2	FALSE	TRUE
Ambra1	chr2	FALSE	FALSE
Amer2	chr14	TRUE	TRUE
Ammecr1	chrX	FALSE	FALSE
Amotl1	chr9	FALSE	TRUE
Amph	chr13	FALSE	FALSE
Anapc1	chr2	FALSE	FALSE
Anapc15	chr7	FALSE	FALSE
Anapc4	chr5	FALSE	FALSE
Anapc5	chr5	FALSE	FALSE
Angpt1	chr15	FALSE	FALSE
Angptl2	chr2	FALSE	FALSE
Ank	chr15	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Ank2	chr3	FALSE	FALSE
Ankdd1b	chr13	FALSE	FALSE
Ankfn1	chr11	FALSE	TRUE
Ankfy1	chr11	FALSE	FALSE
Ankhd1	chr18	FALSE	FALSE
Ankib1	chr5	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ankrd11	chr8	FALSE	FALSE
Ankrd12	chr17	FALSE	FALSE
Ankrd13a	chr5	FALSE	FALSE
Ankrd26	chr6	FALSE	FALSE
Ankrd27	chr7	FALSE	FALSE
Ankrd34b	chr13	FALSE	FALSE
Ankrd44	chr1	FALSE	FALSE
Ankrd50	chr3	TRUE	FALSE
Ankrd6	chr4	FALSE	FALSE
Anks1	chr17	FALSE	FALSE
Anks1b	chr10	FALSE	FALSE
Anks4b	chr7	TRUE	TRUE
Anks6	chr4	FALSE	FALSE
Ano10	chr9	FALSE	FALSE
Ano3	chr2	TRUE	FALSE
Ano4	chr10	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Ano6	chr15	FALSE	FALSE
Ano7	chr1	FALSE	FALSE
Antxr1	chr6	FALSE	TRUE
Antxr2	chr5	TRUE	TRUE
Anxa6	chr11	FALSE	FALSE
Aopep	chr13	FALSE	FALSE
Aox4	chr1	TRUE	TRUE
Ap1b1	chr11	FALSE	FALSE
Ap1g1	chr8	FALSE	FALSE
Ap1s3	chr1	FALSE	FALSE
Ap2b1	chr11	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Ap3b2	chr7	FALSE	FALSE
Ap3s1	chr18	FALSE	FALSE
Ap3s2	chr7	FALSE	FALSE
Ap4e1	chr2	FALSE	FALSE
Ap5m1	chr14	FALSE	FALSE
Apba1	chr19	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Apc	chr18	FALSE	FALSE
Apip	chr2	FALSE	FALSE
Aplp2	chr9	FALSE	FALSE
Apmap	chr2	FALSE	FALSE
Apobec1	chr6	FALSE	FALSE
App	chr16	FALSE	FALSE
Aqp6	chr15	TRUE	TRUE
Aqr	chr2	FALSE	FALSE
Araf	chrX	FALSE	FALSE
Arap2	chr5	TRUE	TRUE
Arel1	chr12	FALSE	FALSE
Arf2	chr11	FALSE	FALSE
Arfgap1	chr2	FALSE	FALSE
Arfgap3	chr15	FALSE	FALSE
Arfgef2	chr2	FALSE	FALSE
Arfgef3	chr10	FALSE	FALSE
Arfip1	chr3	FALSE	FALSE
Arglu1	chr8	FALSE	FALSE
Arhgap1	chr2	FALSE	FALSE
Arhgap10	chr8	FALSE	TRUE
Arhgap12	chr18	FALSE	FALSE
Arhgap18	chr10	FALSE	TRUE
Arhgap20	chr9	FALSE	FALSE
Arhgap21	chr2	FALSE	FALSE
Arhgap23	chr11	FALSE	FALSE
Arhgap24	chr5	FALSE	TRUE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap35	chr7	FALSE	FALSE
Arhgap39	chr15	FALSE	FALSE
Arhgap44	chr11	FALSE	FALSE
Arhgap5	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Arhgef11	chr3	FALSE	FALSE
Arhgef12	chr9	FALSE	FALSE
Arhgef17	chr7	FALSE	TRUE
Arhgef18	chr8	FALSE	FALSE
Arhgef3	chr14	TRUE	FALSE
Arhgef33	chr17	FALSE	FALSE
Arhgef38	chr3	TRUE	TRUE
Arhgef4	chr1	FALSE	FALSE
Arhgef40	chr14	FALSE	FALSE
Arid1a	chr4	FALSE	FALSE
Arid1b	chr17	FALSE	FALSE
Arid2	chr15	FALSE	FALSE
Arid4a	chr12	FALSE	FALSE
Arid4b	chr13	FALSE	FALSE
Arid5b	chr10	FALSE	FALSE
Arih1	chr9	FALSE	FALSE
Arl13a	chrX	FALSE	FALSE
Arl13b	chr16	FALSE	FALSE
Arl15	chr13	FALSE	FALSE
Arl2bp	chr8	FALSE	FALSE
Arl5a	chr2	FALSE	FALSE
Armc2	chr10	TRUE	FALSE
Armc6	chr8	FALSE	FALSE
Armc8	chr9	FALSE	FALSE
Armh3	chr19	FALSE	FALSE
Armh4	chr14	TRUE	FALSE
Arpc4	chr6	FALSE	FALSE
Arpp21	chr9	FALSE	FALSE
Arrb1	chr7	FALSE	FALSE
Arsg	chr11	TRUE	FALSE
As3mt	chr19	FALSE	TRUE
Asah2	chr19	FALSE	TRUE
Asap1	chr15	FALSE	TRUE
Asap3	chr4	FALSE	TRUE
Asb15	chr6	TRUE	TRUE
Asb18	chr1	FALSE	TRUE
Asb3	chr11	FALSE	FALSE
Asb7	chr7	FALSE	FALSE
Ascc1	chr10	FALSE	FALSE
Ascc2	chr11	FALSE	FALSE
Ascc3	chr10	FALSE	FALSE
Ash1l	chr3	FALSE	FALSE
Asic4	chr1	FALSE	FALSE
Aspscr1	chr11	FALSE	FALSE
Astn2	chr4	FALSE	FALSE
Asxl1	chr2	FALSE	FALSE
Asxl2	chr12	FALSE	FALSE
Atad2b	chr12	FALSE	FALSE
Ate1	chr7	FALSE	FALSE
Atf1	chr15	FALSE	FALSE
Atf2	chr2	FALSE	FALSE
Atf7	chr15	FALSE	FALSE
Atg13	chr2	FALSE	FALSE
Atg2b	chr12	FALSE	FALSE
Atg4b	chr1	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Atg4d	chr9	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Atl2	chr17	FALSE	FALSE
Atl3	chr19	FALSE	FALSE
Atm	chr9	FALSE	FALSE
Atoh8	chr6	TRUE	FALSE
Atp11a	chr8	FALSE	FALSE
Atp11b	chr3	FALSE	FALSE
Atp13a3	chr16	FALSE	FALSE
Atp1a1	chr3	FALSE	FALSE
Atp1a4	chr1	TRUE	TRUE
Atp2a2	chr5	FALSE	FALSE
Atp2b1	chr10	FALSE	FALSE
Atp2b2	chr6	FALSE	FALSE
Atp2b3	chrX	FALSE	FALSE
Atp2b4	chr1	FALSE	FALSE
Atp5d	chr10	TRUE	FALSE
Atp5o	chr16	FALSE	FALSE
Atp5o	chr16	FALSE	FALSE
Atp5o	chr16	FALSE	FALSE
Atp5o	chr16	FALSE	FALSE
Atp6v0a1	chr11	FALSE	FALSE
Atp6v0d1	chr8	FALSE	FALSE
Atp6v1a	chr16	FALSE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Atp6v1h	chr1	FALSE	FALSE
Atp7a	chrX	FALSE	FALSE
Atp7b	chr8	FALSE	FALSE
Atp8a1	chr5	FALSE	FALSE
Atp8a2	chr14	FALSE	FALSE
Atp8b1	chr18	FALSE	TRUE
Atp8b4	chr2	FALSE	TRUE
Atp8b5	chr4	FALSE	FALSE
Atp9a	chr2	FALSE	FALSE
Atp9b	chr18	FALSE	FALSE
Atr	chr9	FALSE	FALSE
Atrn	chr2	FALSE	FALSE
Atrnl1	chr19	FALSE	TRUE
Atrx	chrX	FALSE	FALSE
Atxn1	chr13	FALSE	FALSE
Atxn10	chr15	FALSE	FALSE
Atxn2	chr5	FALSE	FALSE
Atxn3	chr12	FALSE	FALSE
Atxn7	chr14	FALSE	FALSE
Atxn7l1	chr12	FALSE	FALSE
Auh	chr13	FALSE	FALSE
Aven	chr2	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Axdnd1	chr1	FALSE	FALSE
Azin2	chr4	FALSE	FALSE
B230118H07Rik	chr2	TRUE	FALSE
B3galt5	chr16	FALSE	TRUE
B3gat1	chr9	FALSE	TRUE
B3gnt2	chr11	FALSE	TRUE
B3gnt7	chr1	FALSE	TRUE
B4galt1	chr4	FALSE	FALSE
B4galt7	chr13	FALSE	FALSE
Bach1	chr16	FALSE	FALSE
Bag5	chr12	FALSE	FALSE
Bahcc1	chr11	FALSE	FALSE
Bahd1	chr2	FALSE	FALSE
Baiap2	chr11	FALSE	FALSE
Baiap3	chr17	FALSE	FALSE
Bank1	chr3	TRUE	FALSE
Banp	chr8	FALSE	FALSE
Barhl1	chr2	FALSE	FALSE
Barx2	chr9	FALSE	TRUE
Basp1	chr15	TRUE	TRUE
Baz1b	chr5	FALSE	FALSE
Baz2b	chr2	FALSE	FALSE
Bbs4	chr9	FALSE	FALSE
Bbs9	chr9	FALSE	FALSE
Bbx	chr16	FALSE	FALSE
BC004004	chr17	FALSE	FALSE
BC051019	chr7	FALSE	FALSE
BC052040	chr2	FALSE	FALSE
Bcar1	chr8	FALSE	FALSE
Bcar3	chr3	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Bckdhb	chr9	FALSE	FALSE
Bcl11a	chr11	TRUE	TRUE
Bcl2l13	chr6	FALSE	FALSE
Bcl9	chr3	FALSE	FALSE
Bcorl1	chrX	FALSE	FALSE
Bcr	chr10	FALSE	FALSE
Bdkrb2	chr12	FALSE	TRUE
Bdnf	chr2	TRUE	FALSE
Bdp1	chr13	FALSE	FALSE
Begain	chr12	FALSE	TRUE
Bend6	chr1	FALSE	FALSE
Bend7	chr2	FALSE	TRUE
Bfsp2	chr9	FALSE	TRUE
Bhlhe40	chr6	TRUE	FALSE
Bicd1	chr6	FALSE	FALSE
Bicd2	chr13	FALSE	FALSE
Bicdl1	chr5	FALSE	FALSE
Bicra	chr7	FALSE	FALSE
Bicral	chr17	FALSE	FALSE
Bin1	chr18	FALSE	FALSE
Birc6	chr17	FALSE	FALSE
Blk	chr14	FALSE	TRUE
Blm	chr7	FALSE	FALSE
Blmh	chr11	FALSE	FALSE
Blnk	chr19	FALSE	TRUE
Bmp5	chr9	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Bmper	chr9	TRUE	TRUE
Bmpr1a	chr14	FALSE	FALSE
Bmpr1b	chr3	FALSE	TRUE
Bnc2	chr4	FALSE	TRUE
Boll	chr1	FALSE	FALSE
Bptf	chr11	FALSE	FALSE
Braf	chr6	FALSE	FALSE
Brca1	chr11	FALSE	TRUE
Brd3	chr2	FALSE	FALSE
Brd4	chr17	FALSE	FALSE
Brd7	chr8	FALSE	FALSE
Brf1	chr12	FALSE	FALSE
Brinp1	chr4	FALSE	FALSE
Brinp2	chr1	TRUE	FALSE
Brinp3	chr1	TRUE	FALSE
Brsk2	chr7	FALSE	FALSE
Brwd1	chr16	FALSE	FALSE
Brwd3	chrX	FALSE	FALSE
Btaf1	chr19	FALSE	FALSE
Btbd11	chr10	FALSE	FALSE
Btbd16	chr7	FALSE	FALSE
Btbd3	chr2	TRUE	FALSE
Btbd7	chr12	FALSE	FALSE
Btbd8	chr5	TRUE	FALSE
Btbd9	chr17	FALSE	FALSE
Btrc	chr19	FALSE	FALSE
Bysl	chr17	FALSE	FALSE
C1qtnf1	chr11	FALSE	FALSE
C1qtnf7	chr5	FALSE	TRUE
C2cd3	chr7	FALSE	FALSE
C2cd5	chr6	FALSE	FALSE
C530008M17Rik	chr5	FALSE	TRUE
C6	chr15	TRUE	FALSE
C8a	chr4	FALSE	TRUE
Cab39	chr1	FALSE	FALSE
Cab39l	chr14	FALSE	FALSE
Cabcoco1	chr10	TRUE	TRUE
Cabin1	chr10	TRUE	FALSE
Cachd1	chr4	FALSE	TRUE
Cacna1a	chr8	FALSE	FALSE
Cacna1b	chr2	FALSE	TRUE
Cacna1c	chr6	FALSE	FALSE
Cacna1d	chr14	FALSE	FALSE
Cacna1e	chr1	FALSE	FALSE
Cacna1i	chr15	FALSE	FALSE
Cacna2d2	chr9	FALSE	TRUE
Cacna2d3	chr14	FALSE	TRUE
Cacna2d4	chr6	FALSE	FALSE
Cacnb2	chr2	FALSE	FALSE
Cacnb4	chr2	FALSE	FALSE
Cacng2	chr15	FALSE	FALSE
Cacng3	chr7	FALSE	TRUE
Cacul1	chr19	FALSE	FALSE
Cadm1	chr9	FALSE	FALSE
Cadm2	chr16	TRUE	FALSE
Cadps	chr14	FALSE	FALSE
Cadps2	chr6	FALSE	FALSE
Calb2	chr8	TRUE	FALSE
Calcoco1	chr15	FALSE	FALSE
Cald1	chr6	FALSE	FALSE
Caln1	chr5	TRUE	FALSE
Camk1d	chr2	FALSE	FALSE
Camk1g	chr1	FALSE	FALSE
Camk2a	chr18	FALSE	TRUE
Camk2b	chr11	FALSE	FALSE
Camk2g	chr14	FALSE	FALSE
Camk4	chr18	FALSE	FALSE
Camkk2	chr5	FALSE	FALSE
Camkmt	chr17	FALSE	FALSE
Camsap2	chr1	FALSE	FALSE
Camta1	chr4	FALSE	FALSE
Cand1	chr10	FALSE	FALSE
Cap2	chr13	FALSE	FALSE
Capn11	chr17	FALSE	FALSE
Capn5	chr7	FALSE	FALSE
Capn7	chr14	FALSE	FALSE
Caprin2	chr6	FALSE	FALSE
Capsl	chr15	TRUE	TRUE
Capza1	chr3	FALSE	FALSE
Capzb	chr4	FALSE	FALSE
Car10	chr11	FALSE	FALSE
Car3	chr3	TRUE	TRUE
Car5a	chr8	FALSE	FALSE
Car8	chr4	FALSE	FALSE
Card10	chr15	FALSE	TRUE
Card11	chr5	FALSE	TRUE
Carmil1	chr13	FALSE	TRUE
Casc4	chr2	FALSE	FALSE
Caskin2	chr11	FALSE	FALSE
Casp7	chr19	FALSE	TRUE
Casr	chr16	FALSE	FALSE
Casz1	chr4	FALSE	TRUE
Catspere1	chr1	FALSE	FALSE
Catspere2	chr1	FALSE	FALSE
Cav2	chr6	TRUE	TRUE
Cbfa2t2	chr2	TRUE	FALSE
Cbfa2t3	chr8	FALSE	FALSE
Cbl	chr9	FALSE	FALSE
Cbln3	chr14	FALSE	TRUE
Cbx5	chr15	FALSE	FALSE
Cc2d1b	chr4	FALSE	FALSE
Cc2d2a	chr5	FALSE	FALSE
Cc2d2b	chr19	FALSE	TRUE
Ccar2	chr14	FALSE	FALSE
Ccbe1	chr18	TRUE	TRUE
Ccdc125	chr13	FALSE	FALSE
Ccdc138	chr10	FALSE	FALSE
Ccdc146	chr5	FALSE	TRUE
Ccdc149	chr5	FALSE	FALSE
Ccdc15	chr9	FALSE	FALSE
Ccdc158	chr5	FALSE	TRUE
Ccdc163	chr4	FALSE	FALSE
Ccdc167	chr17	FALSE	FALSE
Ccdc171	chr4	FALSE	FALSE
Ccdc173	chr2	FALSE	FALSE
Ccdc177	chr12	FALSE	FALSE
Ccdc187	chr2	FALSE	FALSE
Ccdc192	chr18	TRUE	FALSE
Ccdc28a	chr10	TRUE	FALSE
Ccdc34	chr2	FALSE	FALSE
Ccdc50	chr16	FALSE	FALSE
Ccdc57	chr11	FALSE	FALSE
Ccdc6	chr10	FALSE	FALSE
Ccdc73	chr2	FALSE	FALSE
Ccdc77	chr6	FALSE	FALSE
Ccdc7a	chr8	FALSE	FALSE
Ccdc85a	chr11	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
Ccdc88c	chr12	FALSE	FALSE
Ccdc91	chr6	FALSE	FALSE
Ccdc93	chr1	FALSE	FALSE
Ccl25	chr8	FALSE	FALSE
Ccn4	chr15	FALSE	TRUE
Ccnk	chr12	FALSE	FALSE
Ccnt1	chr15	FALSE	FALSE
Ccny	chr18	FALSE	FALSE
Ccr7	chr11	FALSE	TRUE
Ccr9	chr9	FALSE	FALSE
Ccser1	chr6	FALSE	FALSE
Ccser2	chr14	FALSE	FALSE
Cct8	chr16	FALSE	FALSE
Ccz1	chr5	FALSE	FALSE
Cd163	chr6	TRUE	TRUE
Cd2	chr3	FALSE	TRUE
Cd200r3	chr16	TRUE	FALSE
Cd276	chr9	TRUE	FALSE
Cd2ap	chr17	FALSE	FALSE
Cd300e	chr11	TRUE	FALSE
Cd302	chr2	FALSE	FALSE
Cd40	chr2	TRUE	TRUE
Cd46	chr1	FALSE	FALSE
Cd47	chr16	TRUE	FALSE
Cd6	chr19	TRUE	FALSE
Cd83	chr13	TRUE	FALSE
Cd86	chr16	FALSE	FALSE
Cd8b1	chr6	FALSE	FALSE
Cd99l2	chrX	FALSE	FALSE
Cdan1	chr2	FALSE	FALSE
Cdc14b	chr13	FALSE	FALSE
Cdc26	chr4	FALSE	FALSE
Cdc40	chr10	TRUE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Cdc42bpb	chr12	FALSE	FALSE
Cdc42ep2	chr19	FALSE	FALSE
Cdc42ep4	chr11	FALSE	TRUE
Cdc42ep5	chr7	FALSE	FALSE
Cdc42se2	chr11	FALSE	FALSE
Cdc5l	chr17	FALSE	FALSE
Cdc73	chr1	FALSE	FALSE
Cdca2	chr14	FALSE	FALSE
Cdcp3	chr7	FALSE	TRUE
Cdh10	chr15	TRUE	FALSE
Cdh11	chr8	FALSE	TRUE
Cdh12	chr15	FALSE	FALSE
Cdh13	chr8	FALSE	TRUE
Cdh2	chr18	FALSE	FALSE
Cdh20	chr1	TRUE	TRUE
Cdh22	chr2	FALSE	FALSE
Cdh4	chr2	FALSE	TRUE
Cdh6	chr15	FALSE	FALSE
Cdh7	chr1	TRUE	FALSE
Cdh9	chr15	FALSE	FALSE
Cdhr2	chr13	FALSE	FALSE
Cdip1	chr16	FALSE	FALSE
Cdk12	chr11	FALSE	FALSE
Cdk13	chr13	FALSE	FALSE
Cdk15	chr1	TRUE	FALSE
Cdk17	chr10	TRUE	FALSE
Cdk19	chr10	TRUE	FALSE
Cdk5rap1	chr2	FALSE	FALSE
Cdk6	chr5	FALSE	TRUE
Cdk8	chr5	FALSE	FALSE
Cdkl1	chr12	FALSE	FALSE
Cdkl2	chr5	FALSE	FALSE
Cdkl3	chr11	FALSE	FALSE
Cdon	chr9	FALSE	FALSE
Cds2	chr2	FALSE	FALSE
Cdyl2	chr8	FALSE	FALSE
Ceacam1	chr7	FALSE	FALSE
Ceacam20	chr7	FALSE	FALSE
Cebpg	chr7	FALSE	FALSE
Cecr2	chr6	FALSE	TRUE
Cela3b	chr4	FALSE	FALSE
Celf4	chr18	FALSE	FALSE
Cenpf	chr1	TRUE	TRUE
Cep104	chr4	FALSE	FALSE
Cep126	chr9	FALSE	FALSE
Cep128	chr12	TRUE	FALSE
Cep135	chr5	FALSE	FALSE
Cep162	chr9	FALSE	FALSE
Cep170	chr1	FALSE	FALSE
Cep192	chr18	FALSE	FALSE
Cep250	chr2	FALSE	FALSE
Cep290	chr10	FALSE	FALSE
Cep295nl	chr11	FALSE	FALSE
Cep350	chr1	FALSE	FALSE
Cep57l1	chr10	FALSE	FALSE
Cep70	chr9	FALSE	FALSE
Cep83	chr10	FALSE	FALSE
Cept1	chr3	FALSE	FALSE
Cers3	chr7	FALSE	TRUE
Cers4	chr8	FALSE	TRUE
Cers6	chr2	FALSE	FALSE
Cfap43	chr19	FALSE	TRUE
Cfap46	chr7	FALSE	TRUE
Cfap53	chr18	FALSE	FALSE
Cfap54	chr10	FALSE	TRUE
Cfap57	chr4	FALSE	TRUE
Cfap61	chr2	FALSE	TRUE
Cfap74	chr4	FALSE	FALSE
Cfdp1	chr8	FALSE	FALSE
Chadl	chr15	FALSE	FALSE
Champ1	chr8	FALSE	FALSE
Chchd3	chr6	FALSE	FALSE
