gene_name	chr	mch_hyper	k119ub_gained
Crb2	chr2	FALSE	TRUE
Creb1	chr1	FALSE	TRUE
Creb3	chr4	FALSE	TRUE
Creb5	chr6	FALSE	TRUE
Crem	chr18	FALSE	TRUE
Crmp1	chr5	FALSE	TRUE
Crppa	chr12	FALSE	TRUE
Cry2	chr2	FALSE	TRUE
Crybg3	chr16	FALSE	TRUE
Cryl1	chr14	FALSE	TRUE
Crym	chr7	TRUE	TRUE
Csnk1g3	chr18	FALSE	TRUE
Csnka2ip	chr16	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Cth	chr3	FALSE	TRUE
Ctif	chr18	FALSE	TRUE
Ctnna3	chr10	TRUE	TRUE
Ctnnal1	chr4	FALSE	TRUE
Ctnnd2	chr15	FALSE	TRUE
Ctsb	chr14	FALSE	TRUE
Ctsz	chr2	FALSE	TRUE
Cttnbp2nl	chr3	FALSE	TRUE
Ctxn2	chr2	TRUE	TRUE
Cul1	chr6	FALSE	TRUE
Cxxc5	chr18	FALSE	TRUE
Cyb5b	chr8	FALSE	TRUE
Cyp2j13	chr4	FALSE	TRUE
Cyp7b1	chr3	FALSE	TRUE
Cystm1	chr18	FALSE	TRUE
Cytip	chr2	TRUE	TRUE
D130043K22Rik	chr13	FALSE	TRUE
D5Ertd579e	chr5	FALSE	TRUE
D930020B18Rik	chr10	TRUE	TRUE
Daam1	chr12	FALSE	TRUE
Dab1	chr4	TRUE	TRUE
Daw1	chr1	TRUE	TRUE
Dazl	chr17	TRUE	TRUE
Dcbld2	chr16	FALSE	TRUE
Dchs2	chr3	FALSE	TRUE
Dclk1	chr3	TRUE	TRUE
Dclre1c	chr2	FALSE	TRUE
Dcp1b	chr6	FALSE	TRUE
Dcstamp	chr15	TRUE	TRUE
Dctn3	chr4	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddit3	chr10	FALSE	TRUE
Ddx31	chr2	FALSE	TRUE
Decr1	chr4	FALSE	TRUE
Dennd1a	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Depdc1b	chr13	FALSE	TRUE
Deptor	chr15	FALSE	TRUE
Dexi	chr16	FALSE	TRUE
Dgkb	chr12	TRUE	TRUE
Dgkg	chr16	FALSE	TRUE
Dgkh	chr14	FALSE	TRUE
Dglucy	chr12	TRUE	TRUE
Diaph3	chr14	FALSE	TRUE
Dicer1	chr12	FALSE	TRUE
Dip2c	chr13	FALSE	TRUE
Dipk2b	chrX	TRUE	TRUE
Dlc1	chr8	TRUE	TRUE
Dlg2	chr7	TRUE	TRUE
Dlgap2	chr8	TRUE	TRUE
Dnah1	chr14	FALSE	TRUE
Dnah11	chr12	TRUE	TRUE
Dnah6	chr6	FALSE	TRUE
Dnajc1	chr2	FALSE	TRUE
Dnajc13	chr9	FALSE	TRUE
Dnajc3	chr14	FALSE	TRUE
Dnm2	chr9	FALSE	TRUE
Dnm3	chr1	FALSE	TRUE
Dock4	chr12	FALSE	TRUE
Dock7	chr4	FALSE	TRUE
Dppa2	chr16	TRUE	TRUE
Dpt	chr1	TRUE	TRUE
Dpys	chr15	TRUE	TRUE
Dpysl5	chr5	FALSE	TRUE
Drc7	chr8	TRUE	TRUE
Dsc2	chr18	TRUE	TRUE
Dtd2	chr12	TRUE	TRUE
Dtna	chr18	FALSE	TRUE
Dynlrb2	chr8	TRUE	TRUE
Dytn	chr1	FALSE	TRUE
Dzip1	chr14	FALSE	TRUE
E130308A19Rik	chr4	FALSE	TRUE
E2f1	chr2	TRUE	TRUE
Eaf2	chr16	FALSE	TRUE
Ebag9	chr15	TRUE	TRUE
Edil3	chr13	FALSE	TRUE
Eea1	chr10	FALSE	TRUE
Efcab2	chr1	TRUE	TRUE
Efna1	chr3	TRUE	TRUE
Efr3b	chr12	TRUE	TRUE
Ehbp1	chr11	FALSE	TRUE
Ehhadh	chr16	FALSE	TRUE
Eif2ak2	chr17	FALSE	TRUE
Eif3h	chr15	FALSE	TRUE
Eif4e3	chr6	FALSE	TRUE
Elovl5	chr9	FALSE	TRUE
Elovl6	chr3	FALSE	TRUE
Elovl7	chr13	FALSE	TRUE
Elp4	chr2	TRUE	TRUE
Emcn	chr3	TRUE	TRUE
Eml2	chr7	FALSE	TRUE
Eml4	chr17	FALSE	TRUE
Enkur	chr2	TRUE	TRUE
Enox1	chr14	FALSE	TRUE
Enpp2	chr15	FALSE	TRUE
Eomes	chr9	TRUE	TRUE
Epb41l3	chr17	FALSE	TRUE
Epc2	chr2	FALSE	TRUE
Epha3	chr16	TRUE	TRUE
Epha5	chr5	TRUE	TRUE
Epha7	chr4	TRUE	TRUE
Ephx1	chr1	FALSE	TRUE
Epm2a	chr10	FALSE	TRUE
Erbb4	chr1	TRUE	TRUE
Erc2	chr14	FALSE	TRUE
Ercc8	chr13	TRUE	TRUE
Esd	chr14	FALSE	TRUE
Esyt2	chr12	FALSE	TRUE
Etnk1	chr6	FALSE	TRUE
Etv3	chr3	FALSE	TRUE
Etv6	chr6	FALSE	TRUE
Evc2	chr5	FALSE	TRUE
Exoc2	chr13	FALSE	TRUE
Exoc3l	chr8	TRUE	TRUE
Exoc4	chr6	FALSE	TRUE
Exph5	chr9	TRUE	TRUE
Ext2	chr2	FALSE	TRUE
Extl3	chr14	FALSE	TRUE
Eya1	chr1	TRUE	TRUE
F13a1	chr13	FALSE	TRUE
F830045P16Rik	chr2	TRUE	TRUE
Faap20	chr4	FALSE	TRUE
Fabp12	chr3	FALSE	TRUE
Fabp6	chr11	FALSE	TRUE
Fam107b	chr2	TRUE	TRUE
Fam120b	chr17	FALSE	TRUE
Fam13c	chr10	FALSE	TRUE
Fam171a1	chr2	FALSE	TRUE
Fam172a	chr13	FALSE	TRUE
Fam180a	chr6	TRUE	TRUE
Fam185a	chr5	TRUE	TRUE
Fam20b	chr1	FALSE	TRUE
Fam3c	chr6	FALSE	TRUE
Fam72a	chr1	TRUE	TRUE
Fam78b	chr1	TRUE	TRUE
Fam81b	chr13	TRUE	TRUE
Far1	chr7	FALSE	TRUE
Far2	chr6	FALSE	TRUE
Farp1	chr14	FALSE	TRUE
Faxc	chr4	FALSE	TRUE
Fbxl17	chr17	FALSE	TRUE
Fbxl4	chr4	FALSE	TRUE
Fbxo33	chr12	FALSE	TRUE
Fbxo41	chr6	FALSE	TRUE
Fbxw11	chr11	FALSE	TRUE
Fbxw7	chr3	FALSE	TRUE
Fcho2	chr13	FALSE	TRUE
Fer	chr17	FALSE	TRUE
Fermt2	chr14	FALSE	TRUE
Fez2	chr17	TRUE	TRUE
Fgd4	chr16	FALSE	TRUE
Fgf1	chr18	TRUE	TRUE
Fgf20	chr8	TRUE	TRUE
Fip1l1	chr5	FALSE	TRUE
Fkbp14	chr6	TRUE	TRUE
Flnb	chr14	FALSE	TRUE
Flrt3	chr2	TRUE	TRUE
Fmn2	chr1	FALSE	TRUE
Fnbp1l	chr3	TRUE	TRUE
Fnip2	chr3	FALSE	TRUE
Fntb	chr12	TRUE	TRUE
Focad	chr4	TRUE	TRUE
Fosl2	chr5	FALSE	TRUE
Foxn2	chr17	TRUE	TRUE
Foxo1	chr3	FALSE	TRUE
Frmd6	chr12	TRUE	TRUE
Fry	chr5	FALSE	TRUE
Fryl	chr5	FALSE	TRUE
Fsip1	chr2	FALSE	TRUE
Fut10	chr8	FALSE	TRUE
Fut8	chr12	FALSE	TRUE
Fyn	chr10	FALSE	TRUE
Fzd3	chr14	FALSE	TRUE
Fzd7	chr1	TRUE	TRUE
Gabrb2	chr11	FALSE	TRUE
Gabrb3	chr7	FALSE	TRUE
Gabrg1	chr5	TRUE	TRUE
Gabrr2	chr4	TRUE	TRUE
Galc	chr12	FALSE	TRUE
Galnt13	chr2	FALSE	TRUE
Galnt5	chr2	TRUE	TRUE
Galnt7	chr8	TRUE	TRUE
Galntl6	chr8	TRUE	TRUE
Gap43	chr16	TRUE	TRUE
Garem1	chr18	FALSE	TRUE
Gbe1	chr16	FALSE	TRUE
Get1	chr16	TRUE	TRUE
Ggh	chr4	FALSE	TRUE
Ggta1	chr2	FALSE	TRUE
Ghr	chr15	FALSE	TRUE
Gk	chrX	FALSE	TRUE
Glcci1	chr6	FALSE	TRUE
Glrb	chr3	FALSE	TRUE
Gls	chr1	FALSE	TRUE
Glt8d2	chr10	TRUE	TRUE
Gm1043	chr5	FALSE	TRUE
Gm12695	chr4	TRUE	TRUE
Gm16223	chr5	FALSE	TRUE
Gm4792	chr10	TRUE	TRUE
Gmds	chr13	FALSE	TRUE
Gmps	chr3	FALSE	TRUE
Gnai3	chr3	FALSE	TRUE
Gnal	chr18	FALSE	TRUE
Gnaq	chr19	FALSE	TRUE
Gnaz	chr10	FALSE	TRUE
Gnb4	chr3	FALSE	TRUE
Gng12	chr6	FALSE	TRUE
Gnptab	chr10	FALSE	TRUE
Golph3	chr15	FALSE	TRUE
Gpbp1	chr13	FALSE	TRUE
Gpd2	chr2	FALSE	TRUE
Gphn	chr12	FALSE	TRUE
Gpm6a	chr8	FALSE	TRUE
Gpr158	chr2	FALSE	TRUE
Gpr176	chr2	FALSE	TRUE
Gpr22	chr12	TRUE	TRUE
Gpr68	chr12	TRUE	TRUE
Gprin3	chr6	TRUE	TRUE
Gpsm2	chr3	FALSE	TRUE
Greb1l	chr18	FALSE	TRUE
Grhpr	chr4	FALSE	TRUE
Gria2	chr3	FALSE	TRUE
Grid2	chr6	FALSE	TRUE
Grk5	chr19	FALSE	TRUE
Grm1	chr10	FALSE	TRUE
Grm3	chr5	FALSE	TRUE
Grxcr1	chr5	TRUE	TRUE
Gsdme	chr6	FALSE	TRUE
Gstm1	chr3	FALSE	TRUE
Gstm4	chr3	FALSE	TRUE
Gtf2f2	chr14	FALSE	TRUE
Gzmn	chr14	TRUE	TRUE
H1f6	chr13	FALSE	TRUE
H2bc4	chr13	TRUE	TRUE
Hadh	chr3	FALSE	TRUE
Hcn1	chr13	TRUE	TRUE
Hddc2	chr10	FALSE	TRUE
Heatr1	chr13	FALSE	TRUE
Hectd1	chr12	FALSE	TRUE
Hecw1	chr13	FALSE	TRUE
Hecw2	chr1	FALSE	TRUE
Heg1	chr16	TRUE	TRUE
Hepacam2	chr6	FALSE	TRUE
Herpud2	chr9	FALSE	TRUE
Hgd	chr16	TRUE	TRUE
Hibadh	chr6	FALSE	TRUE
Hipk2	chr6	FALSE	TRUE
Hivep1	chr13	FALSE	TRUE
Hivep2	chr10	FALSE	TRUE
Hltf	chr3	FALSE	TRUE
Hmgn3	chr9	FALSE	TRUE
Hs2st1	chr3	FALSE	TRUE
Hs3st1	chr5	FALSE	TRUE
Hs3st5	chr10	TRUE	TRUE
Hs6st3	chr14	FALSE	TRUE
Hsd17b11	chr5	FALSE	TRUE
Hspa12a	chr19	FALSE	TRUE
Htatip2	chr7	TRUE	TRUE
Hydin	chr8	TRUE	TRUE
Ica1	chr6	FALSE	TRUE
Ice1	chr13	FALSE	TRUE
Icos	chr1	TRUE	TRUE
Ifngr1	chr10	FALSE	TRUE
Ift57	chr16	TRUE	TRUE
Igsf10	chr3	TRUE	TRUE
Ikzf2	chr1	FALSE	TRUE
Il10ra	chr9	TRUE	TRUE
Il11ra1	chr4	FALSE	TRUE
Il1r1	chr1	FALSE	TRUE
Il1rap	chr16	FALSE	TRUE
Il20rb	chr9	TRUE	TRUE
Il6st	chr13	FALSE	TRUE
Il7	chr3	TRUE	TRUE
Ilvbl	chr10	TRUE	TRUE
Immp2l	chr12	FALSE	TRUE
Impa1	chr3	FALSE	TRUE
Impa2	chr18	FALSE	TRUE
Insr	chr8	FALSE	TRUE
Intu	chr3	TRUE	TRUE
Ipcef1	chr10	TRUE	TRUE
Ipo11	chr13	FALSE	TRUE
Iqsec3	chr6	FALSE	TRUE
Iqub	chr6	FALSE	TRUE
Irs1	chr1	FALSE	TRUE
Isx	chr8	TRUE	TRUE
Itga7	chr10	TRUE	TRUE
Itgb1bp1	chr12	TRUE	TRUE
Itgb3bp	chr4	FALSE	TRUE
Itgb5	chr16	TRUE	TRUE
Itm2c	chr1	TRUE	TRUE
Itpk1	chr12	TRUE	TRUE
Itpr1	chr6	FALSE	TRUE
Ivns1abp	chr1	FALSE	TRUE
Jade2	chr11	FALSE	TRUE
Jakmip2	chr18	FALSE	TRUE
Jam3	chr9	FALSE	TRUE
Jarid2	chr13	FALSE	TRUE
Jcad	chr18	FALSE	TRUE
Jmjd1c	chr10	FALSE	TRUE
Jph1	chr1	TRUE	TRUE
Kank1	chr19	FALSE	TRUE
Kansl1l	chr1	FALSE	TRUE
Kbtbd11	chr8	FALSE	TRUE
Kbtbd12	chr6	TRUE	TRUE
Kcnab1	chr3	TRUE	TRUE
Kcnip3	chr2	FALSE	TRUE
Kcnip4	chr5	FALSE	TRUE
Kcnj3	chr2	FALSE	TRUE
Kcnk10	chr12	FALSE	TRUE
Kcnt2	chr1	FALSE	TRUE
Kctd12	chr14	TRUE	TRUE
Kctd16	chr18	TRUE	TRUE
Kctd21	chr7	TRUE	TRUE
Kctd6	chr14	TRUE	TRUE
Kctd8	chr5	TRUE	TRUE
Kdm7a	chr6	FALSE	TRUE
Kera	chr10	TRUE	TRUE
Khdrbs2	chr1	TRUE	TRUE
Kif14	chr1	FALSE	TRUE
Kif16b	chr2	FALSE	TRUE
Kif18a	chr2	TRUE	TRUE
Kiz	chr2	FALSE	TRUE
Klf13	chr7	FALSE	TRUE
Klf7	chr1	FALSE	TRUE
Klf8	chrX	FALSE	TRUE
Klhl2	chr8	FALSE	TRUE
Klhl29	chr12	FALSE	TRUE
Klhl3	chr13	FALSE	TRUE
Klhl32	chr4	FALSE	TRUE
Kmt5b	chr19	FALSE	TRUE
Ktn1	chr14	FALSE	TRUE
Kyat3	chr3	FALSE	TRUE
L3mbtl4	chr17	TRUE	TRUE
Lama4	chr10	FALSE	TRUE
Lamb3	chr1	TRUE	TRUE
Lamc2	chr1	TRUE	TRUE
Large1	chr8	FALSE	TRUE
Lats2	chr14	FALSE	TRUE
Lca5l	chr16	TRUE	TRUE
Lcorl	chr5	FALSE	TRUE
Lcp1	chr14	FALSE	TRUE
Ldlrad4	chr18	TRUE	TRUE
Lekr1	chr3	FALSE	TRUE
Lep	chr6	TRUE	TRUE
Lgi2	chr5	FALSE	TRUE
Lgr4	chr2	TRUE	TRUE
Lgsn	chr1	TRUE	TRUE
Lhfpl3	chr5	TRUE	TRUE
Lhpp	chr7	TRUE	TRUE
Lin7a	chr10	FALSE	TRUE
Lipc	chr9	TRUE	TRUE
Lmbr1	chr5	FALSE	TRUE
Lmbrd1	chr1	FALSE	TRUE
Lnpk	chr2	FALSE	TRUE
Lonrf1	chr8	FALSE	TRUE
Lonrf3	chrX	FALSE	TRUE
Lpp	chr16	TRUE	TRUE
Lrig3	chr10	FALSE	TRUE
Lrp12	chr15	FALSE	TRUE
Lrp1b	chr2	TRUE	TRUE
Lrrc1	chr9	FALSE	TRUE
Lrrc28	chr7	TRUE	TRUE
Lrrc36	chr8	TRUE	TRUE
Lrrc4	chr6	TRUE	TRUE
Lrrc49	chr9	TRUE	TRUE
Lrrc4c	chr2	TRUE	TRUE
Lrrc55	chr2	FALSE	TRUE
Lrriq1	chr10	FALSE	TRUE
Lrrn1	chr6	TRUE	TRUE
Lrrn3	chr12	FALSE	TRUE
Lrrtm4	chr6	TRUE	TRUE
Lrtm1	chr14	TRUE	TRUE
Lsamp	chr16	TRUE	TRUE
Lum	chr10	TRUE	TRUE
Ly86	chr13	FALSE	TRUE
Lyn	chr4	TRUE	TRUE
Lyst	chr13	FALSE	TRUE
Mab21l3	chr3	FALSE	TRUE
Macrod2	chr2	TRUE	TRUE
Magi1	chr6	FALSE	TRUE
Maml3	chr3	TRUE	TRUE
Man1a2	chr3	FALSE	TRUE
Manea	chr4	TRUE	TRUE
Map2	chr1	FALSE	TRUE
Map3k5	chr10	TRUE	TRUE
Map4k3	chr17	FALSE	TRUE
Map4k4	chr1	FALSE	TRUE
Map7	chr10	FALSE	TRUE
Mapk8	chr14	FALSE	TRUE
Mapkapk2	chr1	FALSE	TRUE
Marchf3	chr18	TRUE	TRUE
Mark1	chr1	FALSE	TRUE
Masp1	chr16	FALSE	TRUE
Mat2b	chr11	FALSE	TRUE
Max	chr12	FALSE	TRUE
Mb21d2	chr16	FALSE	TRUE
Mbd2	chr18	FALSE	TRUE
Mbnl1	chr3	FALSE	TRUE
Mbnl2	chr14	FALSE	TRUE
Mcc	chr18	FALSE	TRUE
Mccc2	chr13	FALSE	TRUE
Mcm9	chr10	TRUE	TRUE
Mctp1	chr13	FALSE	TRUE
Mcur1	chr13	TRUE	TRUE
Me2	chr18	FALSE	TRUE
Med12l	chr3	FALSE	TRUE
Med30	chr15	TRUE	TRUE
Mef2a	chr7	FALSE	TRUE
Metap1d	chr2	FALSE	TRUE
Mettl21e	chr1	TRUE	TRUE
Mettl8	chr2	FALSE	TRUE
Mfsd4a	chr1	FALSE	TRUE
Mgat5	chr1	FALSE	TRUE
Mgll	chr6	TRUE	TRUE
Mia2	chr12	FALSE	TRUE
Mical2	chr7	FALSE	TRUE
Micu3	chr8	FALSE	TRUE
Mier1	chr4	FALSE	TRUE
Mindy3	chr2	FALSE	TRUE
