gene_name	chr	mch_hyper	cg_mc_up
Adck1	chr12	FALSE	FALSE
Adck2	chr6	FALSE	TRUE
Adcy1	chr11	FALSE	TRUE
Adcy2	chr13	FALSE	FALSE
Adcy3	chr12	FALSE	TRUE
Adcy4	chr14	FALSE	FALSE
Adcy6	chr15	FALSE	FALSE
Adcy7	chr8	FALSE	FALSE
Adcyap1r1	chr6	FALSE	TRUE
Add1	chr5	FALSE	TRUE
Adgra1	chr7	FALSE	FALSE
Adgra2	chr8	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Adgrb2	chr4	FALSE	FALSE
Adgrb3	chr1	FALSE	TRUE
Adgrd1	chr5	FALSE	FALSE
Adgre1	chr17	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
Adgrv1	chr13	FALSE	FALSE
Adk	chr14	FALSE	TRUE
Adnp	chr2	FALSE	TRUE
Adora1	chr1	FALSE	TRUE
Adora2b	chr11	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Adra1d	chr2	FALSE	FALSE
Adssl1	chr12	FALSE	FALSE
Aebp2	chr6	FALSE	TRUE
Afap1	chr5	FALSE	FALSE
Afdn	chr17	FALSE	TRUE
Aff3	chr1	FALSE	FALSE
Afg1l	chr10	FALSE	FALSE
Afg3l1	chr8	FALSE	TRUE
Afg3l2	chr18	FALSE	TRUE
Afmid	chr11	FALSE	FALSE
Aftph	chr11	FALSE	TRUE
Agap1	chr1	FALSE	TRUE
Agap2	chr10	FALSE	FALSE
Agap3	chr5	FALSE	TRUE
Agbl1	chr7	TRUE	FALSE
Agbl2	chr2	TRUE	TRUE
Ago1	chr4	FALSE	TRUE
Ago2	chr15	FALSE	TRUE
Agpat3	chr10	FALSE	TRUE
Agpat4	chr17	FALSE	TRUE
Agps	chr2	FALSE	TRUE
Agt	chr8	FALSE	TRUE
Agtpbp1	chr13	FALSE	TRUE
Ahcyl2	chr6	FALSE	TRUE
Ahdc1	chr4	FALSE	TRUE
AI182371	chr2	FALSE	FALSE
AI661453	chr17	FALSE	FALSE
Aim2	chr1	TRUE	TRUE
Ajuba	chr14	FALSE	FALSE
Ak1	chr2	FALSE	TRUE
Ak5	chr3	FALSE	FALSE
Akap10	chr11	FALSE	TRUE
Akap12	chr10	FALSE	TRUE
Akap6	chr12	FALSE	FALSE
Akap9	chr5	FALSE	TRUE
Akr1d1	chr6	TRUE	FALSE
Akt3	chr1	FALSE	TRUE
Aldh1l1	chr6	FALSE	FALSE
Aldh2	chr5	FALSE	FALSE
Alg8	chr7	TRUE	TRUE
Alg9	chr9	FALSE	TRUE
Alk	chr17	FALSE	FALSE
Alkbh6	chr7	FALSE	TRUE
Alms1	chr6	FALSE	TRUE
Alpk1	chr3	FALSE	FALSE
Alpk2	chr18	FALSE	FALSE
Alpl	chr4	FALSE	FALSE
Als2	chr1	FALSE	TRUE
Alx3	chr3	FALSE	FALSE
Alx4	chr2	FALSE	FALSE
Ambra1	chr2	FALSE	TRUE
Amer2	chr14	TRUE	TRUE
Amotl1	chr9	FALSE	FALSE
Amph	chr13	FALSE	TRUE
Anapc1	chr2	FALSE	TRUE
Anapc4	chr5	FALSE	TRUE
Anapc5	chr5	FALSE	TRUE
Angel1	chr12	TRUE	TRUE
Angpt1	chr15	FALSE	TRUE
Angpt4	chr2	FALSE	FALSE
Ank	chr15	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Ank2	chr3	FALSE	TRUE
Ankef1	chr2	TRUE	TRUE
Ankfn1	chr11	FALSE	FALSE
Ankfy1	chr11	FALSE	TRUE
Ankhd1	chr18	FALSE	TRUE
Ankib1	chr5	FALSE	TRUE
Ankmy1	chr1	FALSE	FALSE
Ankrd11	chr8	FALSE	TRUE
Ankrd12	chr17	FALSE	TRUE
Ankrd13a	chr5	FALSE	FALSE
Ankrd26	chr6	FALSE	TRUE
Ankrd27	chr7	FALSE	TRUE
Ankrd35	chr3	FALSE	FALSE
Ankrd44	chr1	FALSE	TRUE
Ankrd50	chr3	TRUE	TRUE
Ankrd55	chr13	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Anks1	chr17	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Anks4b	chr7	TRUE	FALSE
Ano10	chr9	FALSE	TRUE
Ano3	chr2	TRUE	TRUE
Ano6	chr15	FALSE	FALSE
Antxr1	chr6	FALSE	FALSE
Antxr2	chr5	TRUE	FALSE
Anxa2	chr9	FALSE	FALSE
Anxa6	chr11	FALSE	TRUE
Aopep	chr13	FALSE	TRUE
Aox1	chr1	TRUE	TRUE
Ap1g1	chr8	FALSE	TRUE
Ap1s3	chr1	FALSE	TRUE
Ap2b1	chr11	FALSE	TRUE
Ap3b1	chr13	FALSE	TRUE
Ap3s1	chr18	FALSE	TRUE
Ap3s2	chr7	FALSE	TRUE
Ap4e1	chr2	FALSE	TRUE
Apba1	chr19	FALSE	TRUE
Apba2	chr7	FALSE	TRUE
Apbb2	chr5	FALSE	TRUE
Apc	chr18	FALSE	TRUE
Aplp2	chr9	FALSE	TRUE
Apmap	chr2	FALSE	TRUE
Apobec3	chr15	FALSE	FALSE
Apol7b	chr15	FALSE	FALSE
Apol7e	chr15	FALSE	FALSE
App	chr16	FALSE	TRUE
Aqp6	chr15	TRUE	TRUE
Aqr	chr2	FALSE	TRUE
Arap1	chr7	FALSE	FALSE
Arap2	chr5	TRUE	FALSE
Arel1	chr12	FALSE	TRUE
Arf2	chr11	FALSE	TRUE
Arfgap1	chr2	FALSE	TRUE
Arfgef3	chr10	FALSE	TRUE
Arfip1	chr3	FALSE	TRUE
Arglu1	chr8	FALSE	TRUE
Arhgap1	chr2	FALSE	TRUE
Arhgap10	chr8	FALSE	FALSE
Arhgap12	chr18	FALSE	TRUE
Arhgap18	chr10	FALSE	FALSE
Arhgap21	chr2	FALSE	TRUE
Arhgap23	chr11	FALSE	TRUE
Arhgap24	chr5	FALSE	FALSE
Arhgap25	chr6	FALSE	FALSE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap26	chr18	TRUE	TRUE
Arhgap31	chr16	FALSE	FALSE
Arhgap39	chr15	FALSE	TRUE
Arhgap42	chr9	FALSE	FALSE
Arhgap44	chr11	FALSE	TRUE
Arhgap5	chr12	FALSE	TRUE
Arhgap8	chr15	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Arhgef11	chr3	FALSE	TRUE
Arhgef12	chr9	FALSE	TRUE
Arhgef17	chr7	FALSE	FALSE
Arhgef18	chr8	FALSE	TRUE
Arhgef19	chr4	FALSE	FALSE
Arhgef26	chr3	FALSE	FALSE
Arhgef3	chr14	TRUE	TRUE
Arhgef33	chr17	FALSE	FALSE
Arhgef37	chr18	TRUE	TRUE
Arhgef38	chr3	TRUE	TRUE
Arhgef6	chrX	FALSE	FALSE
Arhgef7	chr8	FALSE	TRUE
Arid1a	chr4	FALSE	TRUE
Arid1b	chr17	FALSE	TRUE
Arid4a	chr12	FALSE	TRUE
Arid4b	chr13	FALSE	TRUE
Arid5b	chr10	FALSE	TRUE
Arih1	chr9	FALSE	TRUE
Arl13b	chr16	FALSE	TRUE
Arl15	chr13	FALSE	TRUE
Arl4a	chr12	FALSE	FALSE
Arl5a	chr2	FALSE	TRUE
Armc2	chr10	TRUE	TRUE
Armc8	chr9	FALSE	TRUE
Armh4	chr14	TRUE	TRUE
Arnt2	chr7	FALSE	FALSE
Arpp21	chr9	FALSE	TRUE
Arrb1	chr7	FALSE	TRUE
Arrdc4	chr7	TRUE	TRUE
Arsg	chr11	TRUE	TRUE
Arsj	chr3	FALSE	FALSE
As3mt	chr19	FALSE	FALSE
Asah2	chr19	FALSE	FALSE
Asap1	chr15	FALSE	FALSE
Asap3	chr4	FALSE	FALSE
Asb15	chr6	TRUE	TRUE
Asb18	chr1	FALSE	FALSE
Asb3	chr11	FALSE	TRUE
Asb7	chr7	FALSE	TRUE
Ascc3	chr10	FALSE	TRUE
Ash1l	chr3	FALSE	TRUE
Ass1	chr2	FALSE	FALSE
Astn2	chr4	FALSE	TRUE
Asxl1	chr2	FALSE	TRUE
Asxl2	chr12	FALSE	TRUE
Atad2b	chr12	FALSE	TRUE
Ate1	chr7	FALSE	TRUE
Atf1	chr15	FALSE	TRUE
Atf2	chr2	FALSE	TRUE
Atf3	chr1	FALSE	FALSE
Atf7	chr15	FALSE	TRUE
Atg13	chr2	FALSE	TRUE
Atg2b	chr12	FALSE	TRUE
Atg4b	chr1	FALSE	TRUE
Atg4c	chr4	FALSE	TRUE
Atg4d	chr9	FALSE	TRUE
Atg7	chr6	FALSE	FALSE
Atl2	chr17	FALSE	TRUE
Atl3	chr19	FALSE	TRUE
Atoh8	chr6	TRUE	TRUE
Atp11b	chr3	FALSE	TRUE
Atp13a3	chr16	FALSE	TRUE
Atp1a1	chr3	FALSE	TRUE
Atp2a2	chr5	FALSE	TRUE
Atp2b1	chr10	FALSE	TRUE
Atp2b2	chr6	FALSE	TRUE
Atp2b3	chrX	FALSE	TRUE
Atp2b4	chr1	FALSE	TRUE
Atp5d	chr10	TRUE	TRUE
Atp5o	chr16	FALSE	TRUE
Atp5o	chr16	FALSE	TRUE
Atp5o	chr16	FALSE	TRUE
Atp5o	chr16	FALSE	TRUE
Atp6v0a1	chr11	FALSE	TRUE
Atp6v0a4	chr6	FALSE	FALSE
Atp6v0d1	chr8	FALSE	TRUE
Atp6v1a	chr16	FALSE	TRUE
Atp6v1h	chr1	FALSE	TRUE
Atp8a1	chr5	FALSE	TRUE
Atp8b1	chr18	FALSE	FALSE
Atp8b4	chr2	FALSE	FALSE
Atp9a	chr2	FALSE	TRUE
Atp9b	chr18	FALSE	TRUE
Atr	chr9	FALSE	TRUE
Atrn	chr2	FALSE	TRUE
Atrnl1	chr19	FALSE	FALSE
Atrx	chrX	FALSE	TRUE
Atxn1	chr13	FALSE	FALSE
Atxn10	chr15	FALSE	TRUE
Atxn3	chr12	FALSE	TRUE
Atxn7	chr14	FALSE	TRUE
Atxn7l1	chr12	FALSE	TRUE
Auh	chr13	FALSE	TRUE
Aven	chr2	FALSE	TRUE
AW554918	chr18	FALSE	TRUE
Azin2	chr4	FALSE	TRUE
B230118H07Rik	chr2	TRUE	TRUE
B3galt5	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
B3gnt7	chr1	FALSE	FALSE
B4galt1	chr4	FALSE	TRUE
B9d1	chr11	FALSE	TRUE
Bach1	chr16	FALSE	TRUE
Bahcc1	chr11	FALSE	FALSE
Bank1	chr3	TRUE	TRUE
Banp	chr8	FALSE	TRUE
Barhl1	chr2	FALSE	FALSE
Barx2	chr9	FALSE	FALSE
Basp1	chr15	TRUE	FALSE
Batf	chr12	FALSE	FALSE
Baz1a	chr12	FALSE	FALSE
Baz1b	chr5	FALSE	TRUE
Baz2b	chr2	FALSE	TRUE
Bbs4	chr9	FALSE	TRUE
Bbs9	chr9	FALSE	TRUE
Bbx	chr16	FALSE	TRUE
BC004004	chr17	FALSE	TRUE
BC052040	chr2	FALSE	FALSE
Bcar1	chr8	FALSE	TRUE
Bcar3	chr3	FALSE	FALSE
Bcas1	chr2	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Bcat1	chr6	FALSE	FALSE
Bckdhb	chr9	FALSE	TRUE
Bcl11a	chr11	TRUE	FALSE
Bcl2l13	chr6	FALSE	TRUE
Bcl2l15	chr3	TRUE	TRUE
Bcl9	chr3	FALSE	TRUE
Bco1	chr8	FALSE	FALSE
Bcor	chrX	FALSE	FALSE
Bcr	chr10	FALSE	TRUE
Bdkrb2	chr12	FALSE	FALSE
Bdnf	chr2	TRUE	TRUE
Bdp1	chr13	FALSE	TRUE
Bend6	chr1	FALSE	TRUE
Bend7	chr2	FALSE	FALSE
Bex6	chr16	TRUE	TRUE
Bfsp2	chr9	FALSE	FALSE
Bhlhe40	chr6	TRUE	TRUE
Bhmt	chr13	TRUE	TRUE
Bicd1	chr6	FALSE	TRUE
Bicd2	chr13	FALSE	TRUE
Bicra	chr7	FALSE	TRUE
Bicral	chr17	FALSE	TRUE
Bin1	chr18	FALSE	TRUE
Birc6	chr17	FALSE	TRUE
Blk	chr14	FALSE	FALSE
Blmh	chr11	FALSE	TRUE
Bmerb1	chr16	FALSE	FALSE
Bmp10	chr6	FALSE	FALSE
Bmp2k	chr5	FALSE	FALSE
Bmp5	chr9	FALSE	TRUE
Bmpr1a	chr14	FALSE	TRUE
Bmpr1b	chr3	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Bnc2	chr4	FALSE	FALSE
Bnip5	chr17	FALSE	FALSE
Bora	chr14	TRUE	TRUE
Bptf	chr11	FALSE	TRUE
Braf	chr6	FALSE	TRUE
Brca1	chr11	FALSE	FALSE
Brd4	chr17	FALSE	TRUE
Brf1	chr12	FALSE	TRUE
Bri3	chr5	FALSE	FALSE
Brinp1	chr4	FALSE	TRUE
Brinp2	chr1	TRUE	TRUE
Brinp3	chr1	TRUE	TRUE
Brip1	chr11	FALSE	FALSE
Brpf3	chr17	FALSE	FALSE
Brsk2	chr7	FALSE	FALSE
Brwd1	chr16	FALSE	TRUE
Btaf1	chr19	FALSE	TRUE
Btbd1	chr7	FALSE	FALSE
Btbd11	chr10	FALSE	FALSE
Btbd17	chr11	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Btbd7	chr12	FALSE	TRUE
Btbd8	chr5	TRUE	TRUE
Btbd9	chr17	FALSE	TRUE
Btrc	chr19	FALSE	TRUE
Bysl	chr17	FALSE	TRUE
C130026I21Rik	chr1	FALSE	FALSE
C1qtnf1	chr11	FALSE	FALSE
C1qtnf7	chr5	FALSE	FALSE
C2cd3	chr7	FALSE	TRUE
C2cd5	chr6	FALSE	TRUE
C530008M17Rik	chr5	FALSE	FALSE
C8a	chr4	FALSE	FALSE
Cab39	chr1	FALSE	TRUE
Cabin1	chr10	TRUE	TRUE
Cables1	chr18	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Cacna1a	chr8	FALSE	TRUE
Cacna1b	chr2	FALSE	FALSE
Cacna1c	chr6	FALSE	TRUE
Cacna1d	chr14	FALSE	TRUE
Cacna1e	chr1	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Cacna1h	chr17	FALSE	FALSE
Cacna1i	chr15	FALSE	TRUE
Cacna2d2	chr9	FALSE	FALSE
Cacna2d3	chr14	FALSE	FALSE
Cacna2d4	chr6	FALSE	TRUE
Cacnb2	chr2	FALSE	TRUE
Cacnb4	chr2	FALSE	TRUE
Cacng5	chr11	FALSE	FALSE
Cacul1	chr19	FALSE	TRUE
Cadm1	chr9	FALSE	TRUE
Cadm2	chr16	TRUE	TRUE
Cadps	chr14	FALSE	FALSE
Cadps2	chr6	FALSE	TRUE
Calb2	chr8	TRUE	TRUE
Cald1	chr6	FALSE	TRUE
Caln1	chr5	TRUE	TRUE
Camk1d	chr2	FALSE	TRUE
Camk1g	chr1	FALSE	TRUE
Camk2a	chr18	FALSE	FALSE
Camk2b	chr11	FALSE	TRUE
Camk2g	chr14	FALSE	TRUE
Camk4	chr18	FALSE	FALSE
Camkk2	chr5	FALSE	TRUE
Camkmt	chr17	FALSE	FALSE
Camsap2	chr1	FALSE	TRUE
Camta1	chr4	FALSE	FALSE
Cand1	chr10	FALSE	TRUE
Cap2	chr13	FALSE	TRUE
Capn7	chr14	FALSE	TRUE
Caps2	chr10	FALSE	FALSE
Capsl	chr15	TRUE	FALSE
Capza1	chr3	FALSE	TRUE
Capzb	chr4	FALSE	TRUE
Car10	chr11	FALSE	TRUE
Car6	chr4	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Carmil1	chr13	FALSE	FALSE
Casc4	chr2	FALSE	TRUE
Cask	chrX	FALSE	FALSE
Casp7	chr19	FALSE	FALSE
Cast	chr13	FALSE	FALSE
Casz1	chr4	FALSE	FALSE
Catspere2	chr1	FALSE	FALSE
Cbfa2t2	chr2	TRUE	TRUE
Cbfa2t3	chr8	FALSE	FALSE
Cbl	chr9	FALSE	TRUE
Cbln3	chr14	FALSE	TRUE
Cbs	chr17	FALSE	FALSE
Cc2d1b	chr4	FALSE	TRUE
Cc2d2a	chr5	FALSE	TRUE
Cc2d2b	chr19	FALSE	FALSE
Ccar2	chr14	FALSE	TRUE
Ccdc113	chr8	FALSE	FALSE
Ccdc138	chr10	FALSE	FALSE
Ccdc141	chr2	FALSE	FALSE
Ccdc146	chr5	FALSE	FALSE
Ccdc158	chr5	FALSE	FALSE
Ccdc167	chr17	FALSE	TRUE
Ccdc171	chr4	FALSE	FALSE
Ccdc192	chr18	TRUE	TRUE
Ccdc28a	chr10	TRUE	TRUE
Ccdc33	chr9	FALSE	FALSE
Ccdc50	chr16	FALSE	TRUE
Ccdc60	chr5	FALSE	FALSE
Ccdc62	chr5	FALSE	FALSE
Ccdc85a	chr11	FALSE	FALSE
Ccdc88a	chr11	FALSE	FALSE
Ccdc88c	chr12	FALSE	FALSE
Ccdc91	chr6	FALSE	TRUE
Ccdc93	chr1	FALSE	FALSE
Ccn4	chr15	FALSE	FALSE
Ccn5	chr2	FALSE	FALSE
Ccnd3	chr17	FALSE	FALSE
Ccnk	chr12	FALSE	TRUE
Ccnt1	chr15	FALSE	TRUE
Ccny	chr18	FALSE	TRUE
Ccr9	chr9	FALSE	TRUE
Ccser1	chr6	FALSE	TRUE
Ccser2	chr14	FALSE	TRUE
Cct8	chr16	FALSE	TRUE
Ccz1	chr5	FALSE	TRUE
Cd2	chr3	FALSE	FALSE
Cd200r3	chr16	TRUE	TRUE
Cd247	chr1	FALSE	FALSE
Cd276	chr9	TRUE	TRUE
Cd2ap	chr17	FALSE	TRUE
Cd300e	chr11	TRUE	TRUE
Cd300ld3	chr11	TRUE	TRUE
Cd47	chr16	TRUE	TRUE
Cd6	chr19	TRUE	TRUE
Cd82	chr2	FALSE	FALSE
Cd83	chr13	TRUE	TRUE
Cdan1	chr2	FALSE	TRUE
Cdc14a	chr3	FALSE	FALSE
Cdc14b	chr13	FALSE	TRUE
Cdc26	chr4	FALSE	TRUE
Cdc40	chr10	TRUE	TRUE
Cdc42bpa	chr1	FALSE	TRUE
Cdc42bpb	chr12	FALSE	TRUE
Cdc42ep2	chr19	FALSE	TRUE
Cdc42ep4	chr11	FALSE	FALSE
Cdc5l	chr17	FALSE	TRUE
Cdc73	chr1	FALSE	TRUE
Cdh10	chr15	TRUE	TRUE
Cdh12	chr15	FALSE	FALSE
Cdh13	chr8	FALSE	FALSE
Cdh2	chr18	FALSE	TRUE
Cdh22	chr2	FALSE	TRUE
Cdh4	chr2	FALSE	FALSE
Cdh7	chr1	TRUE	TRUE
Cdip1	chr16	FALSE	TRUE
Cdk12	chr11	FALSE	TRUE
Cdk13	chr13	FALSE	TRUE
Cdk15	chr1	TRUE	TRUE
Cdk17	chr10	TRUE	TRUE
Cdk19	chr10	TRUE	TRUE
Cdk5rap1	chr2	FALSE	TRUE
Cdk6	chr5	FALSE	FALSE
Cdk8	chr5	FALSE	TRUE
Cdkl1	chr12	FALSE	TRUE
Cdkl2	chr5	FALSE	TRUE
Cdkl5	chrX	FALSE	FALSE
Cdon	chr9	FALSE	TRUE
Cds1	chr5	FALSE	FALSE
Cds2	chr2	FALSE	TRUE
Cdyl2	chr8	FALSE	TRUE
Cebpg	chr7	FALSE	TRUE
Cecr2	chr6	FALSE	FALSE
Celf4	chr18	FALSE	TRUE
Cenpf	chr1	TRUE	FALSE
Cenpj	chr14	TRUE	TRUE
Cep104	chr4	FALSE	TRUE
Cep112	chr11	FALSE	FALSE
Cep126	chr9	FALSE	TRUE
Cep128	chr12	TRUE	TRUE
Cep170	chr1	FALSE	TRUE
Cep192	chr18	FALSE	TRUE
Cep250	chr2	FALSE	TRUE
Cep290	chr10	FALSE	TRUE
Cep350	chr1	FALSE	TRUE
Cep57l1	chr10	FALSE	TRUE
Cep70	chr9	FALSE	TRUE
Cep83	chr10	FALSE	TRUE
Cept1	chr3	FALSE	TRUE
Cerkl	chr2	TRUE	TRUE
Cers3	chr7	FALSE	FALSE
Cers4	chr8	FALSE	FALSE
Cers6	chr2	FALSE	TRUE
Cfap43	chr19	FALSE	FALSE
Cfap46	chr7	FALSE	FALSE
Cfap54	chr10	FALSE	FALSE
Cfap57	chr4	FALSE	FALSE
Cfap61	chr2	FALSE	FALSE
Cfap74	chr4	FALSE	TRUE
Cfap77	chr2	FALSE	FALSE
Cfdp1	chr8	FALSE	TRUE
Chadl	chr15	FALSE	TRUE
Chaf1b	chr16	FALSE	FALSE
Champ1	chr8	FALSE	TRUE
Chchd3	chr6	FALSE	TRUE
Chchd6	chr6	TRUE	TRUE
Chd2	chr7	FALSE	TRUE
Chd6	chr2	FALSE	TRUE
Chdh	chr14	FALSE	FALSE
Chia1	chr3	TRUE	TRUE
Chil3	chr3	TRUE	TRUE
Chil5	chr3	TRUE	TRUE
Chka	chr19	FALSE	TRUE
Chl1	chr6	TRUE	TRUE
Chmp4b	chr2	FALSE	TRUE
Chmp7	chr14	FALSE	TRUE
Chn1	chr2	FALSE	FALSE
Chn2	chr6	FALSE	TRUE
Chp1	chr2	FALSE	TRUE
Chrm3	chr13	TRUE	FALSE
Chrna2	chr14	FALSE	FALSE
Chrna4	chr2	FALSE	FALSE
Chrna5	chr9	FALSE	FALSE
Chst10	chr1	FALSE	TRUE
Chst11	chr10	FALSE	TRUE
Chst15	chr7	TRUE	TRUE
Chst3	chr10	FALSE	FALSE
Chst9	chr18	TRUE	FALSE
Cipc	chr12	TRUE	TRUE
Cish	chr9	FALSE	TRUE
Cit	chr5	FALSE	FALSE
Ciz1	chr2	FALSE	TRUE
CK137956	chr4	FALSE	FALSE
Ckap5	chr2	FALSE	TRUE
Clasp1	chr1	FALSE	TRUE
Clasp2	chr9	FALSE	TRUE
Clcn1	chr6	FALSE	TRUE
Cldn10	chr14	FALSE	FALSE
Cldn14	chr16	FALSE	FALSE
Clec16a	chr16	FALSE	TRUE
Clec2l	chr6	FALSE	FALSE
Clic4	chr4	FALSE	FALSE
Clic5	chr17	FALSE	FALSE
Clic6	chr16	FALSE	FALSE
Clint1	chr11	FALSE	TRUE
Clip1	chr5	FALSE	TRUE
Clip4	chr17	FALSE	FALSE
Clmn	chr12	FALSE	FALSE
Clmp	chr9	TRUE	TRUE
Clnk	chr5	TRUE	TRUE
