chr	start	end	width	n_mecp2_peaks	n_mecp2_gained	n_mecp2_lost
chr10	123520001	123530000	10000	0	0	0
chr10	126260001	126270000	10000	0	0	0
chr10	13600001	13625000	25000	0	0	0
chr10	13610001	13620000	10000	0	0	0
chr10	127530001	127540000	10000	2	0	1
chr10	14085001	14090000	5000	0	0	0
chr10	15390001	15395000	5000	0	0	0
chr10	15450001	15460000	10000	0	0	0
chr10	15700001	15710000	10000	0	0	0
chr10	16300001	16310000	10000	0	0	0
chr10	16300001	16325000	25000	0	0	0
chr10	17975001	18000000	25000	0	0	0
chr10	17990001	18000000	10000	0	0	0
chr10	18125001	18150000	25000	0	0	0
chr10	18130001	18140000	10000	0	0	0
chr10	18325001	18350000	25000	0	0	0
chr10	18660001	18670000	10000	0	0	0
chr10	18700001	18725000	25000	0	0	0
chr10	18720001	18730000	10000	0	0	0
chr10	20225001	20250000	25000	0	0	0
chr10	20240001	20250000	10000	0	0	0
chr10	20295001	20300000	5000	0	0	0
chr10	20520001	20525000	5000	0	0	0
chr10	21100001	21125000	25000	0	0	0
chr10	21120001	21130000	10000	0	0	0
chr10	21125001	21150000	25000	0	0	0
chr10	22080001	22085000	5000	0	0	0
chr10	22185001	22190000	5000	0	0	0
chr10	23125001	23150000	25000	0	0	0
chr10	23150001	23160000	10000	0	0	0
chr10	23800001	23825000	25000	0	0	0
chr10	23810001	23820000	10000	0	0	0
chr10	23825001	23850000	25000	0	0	0
chr10	25860001	25870000	10000	0	0	0
chr10	26015001	26020000	5000	0	0	0
chr10	26080001	26085000	5000	0	0	0
chr10	26480001	26490000	10000	0	0	0
chr10	26680001	26685000	5000	0	0	0
chr10	27135001	27140000	5000	0	0	0
chr10	30525001	30550000	25000	0	0	0
chr10	30530001	30540000	10000	0	0	0
chr10	30800001	30810000	10000	1	0	0
chr10	32300001	32325000	25000	0	0	0
chr10	39870001	39880000	10000	0	0	0
chr10	40030001	40040000	10000	0	0	0
chr10	40060001	40070000	10000	1	0	0
chr10	43625001	43650000	25000	0	0	0
chr10	43950001	43960000	10000	1	0	0
chr10	44370001	44380000	10000	1	0	0
chr10	44570001	44580000	10000	0	0	0
chr10	44910001	44920000	10000	0	0	0
chr10	45325001	45330000	5000	0	0	0
chr10	45330001	45340000	10000	0	0	0
chr10	45450001	45460000	10000	0	0	0
chr10	46000001	46005000	5000	0	0	0
chr10	46470001	46480000	10000	0	0	0
chr10	5650001	5675000	25000	0	0	0
chr10	5675001	5700000	25000	0	0	0
chr10	50780001	50790000	10000	0	0	0
chr10	6000001	6025000	25000	0	0	0
chr10	51060001	51070000	10000	0	0	0
chr10	51130001	51140000	10000	0	0	0
chr10	6025001	6050000	25000	0	0	0
chr10	51875001	51900000	25000	0	0	0
chr10	51890001	51900000	10000	0	0	0
chr10	51900001	51925000	25000	0	0	0
chr10	52790001	52800000	10000	0	0	0
chr10	53070001	53080000	10000	0	0	0
chr10	53525001	53550000	25000	1	0	0
chr10	53750001	53775000	25000	1	0	0
chr10	54110001	54120000	10000	0	0	0
chr10	54300001	54325000	25000	0	0	0
chr10	54325001	54350000	25000	0	0	0
chr10	54330001	54340000	10000	0	0	0
chr10	57350001	57375000	25000	0	0	0
chr10	57370001	57380000	10000	0	0	0
chr10	57575001	57600000	25000	0	0	0
chr10	57825001	57850000	25000	0	0	0
chr10	58000001	58010000	10000	0	0	0
chr10	58300001	58325000	25000	1	0	0
chr10	58310001	58320000	10000	0	0	0
chr10	58600001	58625000	25000	3	0	0
chr10	6845001	6850000	5000	0	0	0
chr10	6900001	6905000	5000	0	0	0
chr10	60140001	60150000	10000	0	0	0
chr10	60490001	60495000	5000	0	0	0
chr10	60610001	60615000	5000	0	0	0
chr10	60620001	60625000	5000	1	0	0
chr10	60815001	60820000	5000	1	0	0
chr10	61410001	61420000	10000	0	0	0
chr10	61530001	61540000	10000	1	0	0
chr10	61680001	61690000	10000	0	0	0
chr10	62050001	62060000	10000	0	0	0
chr10	62835001	62840000	5000	0	0	0
chr10	63180001	63185000	5000	0	0	0
chr10	64480001	64490000	10000	0	0	0
chr10	64575001	64600000	25000	1	0	0
chr10	64650001	64660000	10000	0	0	0
chr10	64650001	64675000	25000	0	0	0
chr10	64920001	64930000	10000	0	0	0
chr10	65075001	65100000	25000	0	0	0
chr10	65080001	65090000	10000	0	0	0
chr10	65085001	65090000	5000	0	0	0
chr10	65130001	65135000	5000	0	0	0
chr10	67180001	67185000	5000	0	0	0
chr10	67180001	67190000	10000	0	0	0
chr10	67225001	67230000	5000	0	0	0
chr10	67360001	67370000	10000	0	0	0
chr10	67780001	67790000	10000	0	0	0
chr10	68870001	68875000	5000	0	0	0
chr10	68995001	69000000	5000	0	0	0
chr10	71990001	72000000	10000	0	0	0
chr10	72210001	72220000	10000	0	0	0
chr10	72400001	72425000	25000	0	0	0
chr10	72425001	72450000	25000	0	0	0
chr10	72470001	72480000	10000	0	0	0
chr10	72475001	72500000	25000	0	0	0
chr10	74550001	74560000	10000	0	0	0
chr10	75200001	75210000	10000	0	0	0
chr10	75450001	75475000	25000	0	0	0
chr10	76315001	76320000	5000	1	0	0
chr10	76435001	76440000	5000	0	0	0
chr10	76740001	76750000	10000	0	0	0
chr10	76890001	76900000	10000	0	0	0
chr10	77060001	77070000	10000	0	0	0
chr10	77200001	77210000	10000	1	0	0
chr10	77200001	77225000	25000	1	0	0
chr10	77530001	77540000	10000	0	0	0
chr10	77730001	77740000	10000	0	0	0
chr10	78080001	78085000	5000	0	0	0
chr10	78080001	78090000	10000	0	0	0
chr10	78130001	78135000	5000	1	0	0
chr10	78250001	78260000	10000	0	0	0
chr10	82500001	82510000	10000	0	0	0
chr10	82500001	82525000	25000	0	0	0
chr10	82625001	82630000	5000	1	0	0
chr10	83150001	83175000	25000	2	0	0
chr10	83170001	83180000	10000	0	0	0
chr10	83175001	83180000	5000	0	0	0
chr10	83275001	83300000	25000	0	0	0
chr10	84425001	84450000	25000	0	0	0
chr10	85700001	85710000	10000	0	0	0
chr10	86040001	86050000	10000	0	0	0
chr10	88020001	88030000	10000	0	0	0
chr10	88500001	88510000	10000	0	0	0
chr10	9790001	9800000	10000	0	0	0
chr10	89320001	89330000	10000	1	0	0
chr10	10070001	10080000	10000	0	0	0
chr10	91730001	91735000	5000	0	0	0
chr10	91830001	91835000	5000	0	0	0
chr10	92275001	92300000	25000	0	0	0
chr10	92525001	92550000	25000	0	0	0
chr10	92540001	92550000	10000	0	0	0
chr10	93305001	93310000	5000	1	0	0
chr10	93650001	93660000	10000	0	0	0
chr10	94010001	94015000	5000	0	0	0
chr10	94290001	94300000	10000	1	1	0
chr10	94420001	94430000	10000	0	0	0
chr10	96550001	96555000	5000	0	0	0
chr10	10570001	10580000	10000	0	0	0
chr10	96855001	96860000	5000	1	1	0
chr10	97500001	97510000	10000	0	0	0
chr10	97600001	97625000	25000	2	2	0
chr10	97625001	97650000	25000	0	0	0
chr10	10670001	10680000	10000	0	0	0
chr10	97840001	97850000	10000	0	0	0
chr10	98080001	98090000	10000	0	0	0
chr10	98310001	98320000	10000	0	0	0
chr10	98575001	98600000	25000	0	0	0
chr10	100250001	100275000	25000	0	0	0
chr11	101000001	101010000	10000	0	0	0
chr11	101170001	101180000	10000	2	0	0
chr11	103485001	103490000	5000	0	0	0
chr11	103570001	103575000	5000	0	0	0
chr11	103650001	103655000	5000	0	0	0
chr11	104635001	104640000	5000	0	0	0
chr11	104675001	104680000	5000	0	0	0
chr11	106925001	106950000	25000	0	0	0
chr11	107325001	107350000	25000	1	0	0
chr11	107375001	107400000	25000	4	1	0
chr11	110870001	110875000	5000	0	0	0
chr11	111110001	111115000	5000	0	0	0
chr11	113780001	113790000	10000	0	0	0
chr11	114160001	114170000	10000	2	0	0
chr11	115065001	115070000	5000	0	0	0
chr11	115175001	115180000	5000	0	0	0
chr11	115655001	115660000	5000	0	0	0
chr11	13025001	13030000	5000	0	0	0
chr11	13285001	13290000	5000	0	0	0
chr11	13310001	13320000	10000	0	0	0
chr11	13350001	13375000	25000	0	0	0
chr11	13370001	13380000	10000	0	0	0
chr11	13375001	13400000	25000	0	0	0
chr11	13525001	13550000	25000	0	0	0
chr11	13540001	13550000	10000	0	0	0
chr11	18250001	18275000	25000	0	0	0
chr11	18450001	18475000	25000	0	0	0
chr11	18460001	18470000	10000	0	0	0
chr11	18765001	18770000	5000	0	0	0
chr11	18950001	18960000	10000	0	0	0
chr11	19710001	19715000	5000	0	0	0
chr11	19750001	19755000	5000	0	0	0
chr11	19750001	19760000	10000	1	0	0
chr11	19870001	19875000	5000	0	0	0
chr11	19870001	19880000	10000	0	0	0
chr11	20000001	20025000	25000	1	0	0
chr11	20015001	20020000	5000	0	0	0
chr11	20025001	20050000	25000	0	0	0
chr11	20760001	20770000	10000	0	0	0
chr11	22570001	22580000	10000	0	0	0
chr11	23275001	23300000	25000	0	0	0
chr11	23510001	23520000	10000	0	0	0
chr11	24625001	24650000	25000	1	1	0
chr11	24950001	24955000	5000	0	0	0
chr11	25045001	25050000	5000	0	0	0
chr11	25050001	25075000	25000	0	0	0
chr11	25080001	25090000	10000	0	0	0
chr11	25450001	25475000	25000	0	0	0
chr11	25460001	25470000	10000	0	0	0
chr11	25675001	25700000	25000	0	0	0
chr11	25690001	25700000	10000	0	0	0
chr11	25970001	25980000	10000	0	0	0
chr11	25975001	26000000	25000	0	0	0
chr11	26300001	26310000	10000	0	0	0
chr11	26860001	26865000	5000	0	0	0
chr11	27175001	27200000	25000	0	0	0
chr11	27385001	27390000	5000	0	0	0
chr11	27435001	27440000	5000	0	0	0
chr11	27480001	27490000	10000	0	0	0
chr11	27775001	27800000	25000	0	0	0
chr11	27950001	27975000	25000	0	0	0
chr11	28200001	28225000	25000	0	0	0
chr11	30100001	30125000	25000	0	0	0
chr11	30260001	30270000	10000	1	0	0
chr11	30360001	30370000	10000	0	0	0
chr11	30525001	30550000	25000	1	0	0
chr11	30540001	30550000	10000	1	0	0
chr11	30710001	30720000	10000	0	0	0
chr11	30880001	30890000	10000	0	0	0
chr11	31000001	31025000	25000	0	0	0
chr11	31020001	31030000	10000	0	0	0
chr11	31090001	31095000	5000	0	0	0
chr11	31220001	31225000	5000	0	0	0
chr11	31675001	31700000	25000	0	0	0
chr11	32240001	32250000	10000	0	0	0
chr11	32250001	32260000	10000	0	0	0
chr11	32600001	32625000	25000	1	0	0
chr11	32610001	32620000	10000	0	0	0
chr11	32625001	32650000	25000	1	0	0
chr11	32630001	32640000	10000	0	0	0
chr11	33450001	33455000	5000	0	0	0
chr11	33705001	33710000	5000	0	0	0
chr11	34170001	34180000	10000	0	0	0
chr11	34190001	34200000	10000	0	0	0
chr11	34290001	34300000	10000	0	0	0
chr11	34430001	34440000	10000	0	0	0
chr11	34550001	34560000	10000	0	0	0
chr11	34720001	34730000	10000	0	0	0
chr11	34920001	34930000	10000	0	0	0
chr11	35000001	35010000	10000	0	0	0
chr11	35125001	35150000	25000	1	0	0
chr11	35140001	35150000	10000	0	0	0
chr11	35230001	35240000	10000	1	0	0
chr11	35800001	35810000	10000	0	0	0
chr11	35800001	35825000	25000	0	0	0
chr11	35810001	35820000	10000	0	0	0
chr11	35825001	35850000	25000	0	0	0
chr11	35840001	35850000	10000	0	0	0
chr11	36920001	36930000	10000	0	0	0
chr11	36975001	37000000	25000	0	0	0
chr11	36990001	37000000	10000	0	0	0
chr11	37000001	37010000	10000	0	0	0
chr11	37000001	37025000	25000	0	0	0
chr11	37025001	37050000	25000	0	0	0
chr11	37040001	37050000	10000	0	0	0
chr11	37565001	37570000	5000	0	0	0
chr11	37675001	37680000	5000	0	0	0
chr11	37675001	37700000	25000	0	0	0
chr11	38175001	38200000	25000	0	0	0
chr11	38225001	38250000	25000	0	0	0
chr11	38350001	38375000	25000	0	0	0
chr11	41125001	41150000	25000	0	0	0
chr11	41140001	41150000	10000	0	0	0
chr11	41575001	41600000	25000	2	1	0
chr11	41600001	41610000	10000	1	0	0
chr11	41600001	41625000	25000	1	0	0
chr11	41920001	41930000	10000	0	0	0
chr11	41925001	41950000	25000	0	0	0
chr11	42425001	42450000	25000	0	0	0
chr11	43180001	43190000	10000	1	1	0
chr11	43375001	43400000	25000	1	0	0
chr11	43750001	43760000	10000	0	0	0
chr11	43755001	43760000	5000	0	0	0
chr11	43900001	43905000	5000	0	0	0
chr11	44340001	44350000	10000	0	0	0
chr11	44400001	44425000	25000	0	0	0
chr11	44760001	44770000	10000	0	0	0
chr11	44780001	44785000	5000	0	0	0
chr11	44780001	44790000	10000	0	0	0
chr11	44830001	44840000	10000	2	0	0
chr11	44835001	44840000	5000	1	0	0
chr11	45210001	45220000	10000	0	0	0
chr11	45330001	45335000	5000	0	0	0
chr11	45450001	45455000	5000	1	0	0
chr11	45450001	45460000	10000	2	0	0
chr11	47850001	47860000	10000	0	0	0
chr11	47850001	47875000	25000	0	0	0
chr11	47860001	47870000	10000	0	0	0
chr11	49575001	49600000	25000	0	0	0
chr11	49590001	49600000	10000	0	0	0
chr11	49750001	49775000	25000	0	0	0
chr11	49770001	49780000	10000	1	0	0
chr11	52325001	52330000	5000	0	0	0
chr11	52445001	52450000	5000	0	0	0
chr11	52535001	52540000	5000	1	0	0
chr11	53500001	53525000	25000	2	0	0
chr11	53520001	53530000	10000	2	0	0
chr11	53750001	53775000	25000	2	0	0
chr11	53765001	53770000	5000	0	0	0
chr11	54025001	54030000	5000	1	0	0
chr11	54125001	54150000	25000	0	0	0
chr11	54150001	54175000	25000	0	0	0
chr11	54250001	54260000	10000	0	0	0
chr11	54250001	54275000	25000	0	0	0
chr11	57100001	57110000	10000	0	0	0
chr11	57160001	57170000	10000	0	0	0
chr11	58000001	58025000	25000	0	0	0
chr11	58300001	58325000	25000	1	0	0
chr11	58450001	58475000	25000	1	0	0
chr11	58460001	58470000	10000	0	0	0
chr11	64210001	64220000	10000	0	0	0
chr11	64400001	64410000	10000	0	0	0
chr11	64920001	64930000	10000	0	0	0
chr11	65440001	65450000	10000	0	0	0
chr11	65710001	65720000	10000	0	0	0
chr11	68100001	68125000	25000	1	0	0
chr11	68800001	68825000	25000	0	0	0
chr11	72330001	72340000	10000	1	0	0
chr11	72750001	72760000	10000	0	0	0
chr11	72930001	72940000	10000	0	0	0
chr11	73150001	73160000	10000	1	0	0
chr11	73920001	73930000	10000	0	0	0
chr11	74000001	74010000	10000	0	0	0
chr11	77030001	77035000	5000	0	0	0
chr11	77065001	77070000	5000	0	0	0
chr11	78100001	78110000	10000	0	0	0
chr11	78630001	78640000	10000	0	0	0
chr11	81280001	81290000	10000	0	0	0
chr11	81670001	81680000	10000	0	0	0
chr11	82375001	82380000	5000	0	0	0
chr11	82530001	82535000	5000	0	0	0
chr11	82625001	82650000	25000	0	0	0
chr11	82950001	82975000	25000	0	0	0
chr11	82975001	83000000	25000	0	0	0
chr11	85260001	85265000	5000	0	0	0
chr11	85815001	85820000	5000	1	0	0
chr11	86825001	86850000	25000	0	0	0
chr11	86835001	86840000	5000	0	0	0
chr11	86840001	86850000	10000	0	0	0
chr11	86850001	86875000	25000	0	0	0
chr11	86885001	86890000	5000	0	0	0
chr11	86970001	86980000	10000	0	0	0
chr11	87150001	87175000	25000	0	0	0
chr11	87170001	87180000	10000	0	0	0
chr11	87175001	87200000	25000	0	0	0
chr11	88200001	88225000	25000	0	0	0
chr11	88210001	88220000	10000	0	0	0
chr11	88225001	88250000	25000	0	0	0
chr11	88260001	88270000	10000	0	0	0
chr11	88360001	88370000	10000	0	0	0
chr11	88375001	88400000	25000	0	0	0
chr11	88390001	88400000	10000	0	0	0
chr11	88425001	88450000	25000	1	0	0
chr11	91675001	91700000	25000	0	0	0
chr11	94485001	94490000	5000	1	0	0
chr11	94640001	94645000	5000	0	0	0
chr11	94695001	94700000	5000	0	0	0
chr11	94815001	94820000	5000	0	0	0
chr11	95075001	95100000	25000	2	0	0
chr11	95940001	95950000	10000	0	0	0
chr11	96100001	96110000	10000	0	0	0
chr11	97000001	97025000	25000	2	0	0
chr11	97145001	97150000	5000	0	0	0
chr11	97230001	97235000	5000	0	0	0
chr11	97270001	97280000	10000	0	0	0
chr11	97275001	97300000	25000	0	0	0
chr11	97280001	97285000	5000	0	0	0
chr11	97550001	97560000	10000	0	0	0
chr11	97615001	97620000	5000	0	0	0
chr11	97860001	97870000	10000	0	0	0
chr11	99975001	99980000	5000	0	0	0
chr11	100065001	100070000	5000	0	0	0
chr11	100460001	100470000	10000	0	0	0
chr11	100570001	100580000	10000	0	0	0
chr12	101150001	101175000	25000	0	0	0
chr12	101175001	101200000	25000	0	0	0
chr12	101600001	101610000	10000	0	0	0
chr12	101630001	101640000	10000	0	0	0
chr12	101685001	101690000	5000	0	0	0
chr12	101690001	101700000	10000	0	0	0
chr12	101700001	101725000	25000	0	0	0
chr12	101720001	101725000	5000	0	0	0
chr12	101720001	101730000	10000	0	0	0
chr12	101825001	101850000	25000	0	0	0
chr12	102050001	102075000	25000	2	0	0
chr12	102100001	102125000	25000	0	0	0
chr12	11220001	11230000	10000	0	0	0
chr12	103375001	103400000	25000	1	0	0
chr12	103750001	103775000	25000	1	0	0
chr12	104140001	104150000	10000	0	0	0
chr12	104240001	104250000	10000	0	0	0
chr12	104300001	104310000	10000	0	0	0
chr12	104975001	105000000	25000	0	0	0
chr12	104990001	105000000	10000	0	0	0
chr12	105425001	105450000	25000	0	0	0
chr12	105440001	105450000	10000	0	0	0
chr12	105675001	105700000	25000	1	0	0
chr12	105700001	105710000	10000	0	0	0
chr12	105750001	105760000	10000	0	0	0
chr12	105770001	105780000	10000	0	0	0
chr12	105840001	105850000	10000	3	0	3
chr12	105925001	105950000	25000	0	0	0
chr12	105930001	105940000	10000	0	0	0
chr12	105940001	105950000	10000	0	0	0
chr12	105950001	105960000	10000	0	0	0
chr12	11525001	11550000	25000	0	0	0
chr12	106475001	106500000	25000	1	0	0
chr12	106490001	106500000	10000	0	0	0
chr12	106575001	106600000	25000	0	0	0
chr12	106580001	106590000	10000	0	0	0
chr12	106610001	106620000	10000	1	0	0
chr12	106850001	106860000	10000	0	0	0
chr12	106960001	106970000	10000	0	0	0
chr12	107000001	107025000	25000	0	0	0
chr12	109900001	109910000	10000	1	0	0
chr12	109900001	109925000	25000	2	0	0
chr12	110020001	110030000	10000	0	0	0
chr12	110425001	110450000	25000	1	0	0
chr12	110430001	110440000	10000	0	0	0
chr12	110440001	110445000	5000	0	0	0
chr12	110540001	110550000	10000	0	0	0
chr12	110725001	110750000	25000	1	0	0
chr12	110750001	110775000	25000	0	0	0
chr12	111370001	111375000	5000	0	0	0
chr12	111375001	111400000	25000	1	0	0
chr12	111705001	111710000	5000	0	0	0
chr12	111840001	111845000	5000	0	0	0
chr12	117480001	117485000	5000	0	0	0
chr12	117535001	117540000	5000	0	0	0
chr12	118035001	118040000	5000	1	1	0
chr12	118350001	118355000	5000	0	0	0
chr12	118425001	118430000	5000	0	0	0
chr12	118590001	118600000	10000	0	0	0
chr12	118760001	118765000	5000	0	0	0
chr12	118760001	118770000	10000	0	0	0
chr12	119450001	119460000	10000	0	0	0
chr12	119850001	119860000	10000	0	0	0
chr12	16810001	16820000	10000	0	0	0
chr12	17500001	17510000	10000	0	0	0
chr12	17530001	17540000	10000	0	0	0
chr12	18260001	18270000	10000	0	0	0
chr12	18540001	18550000	10000	1	0	0
chr12	21925001	21950000	25000	0	0	0
chr12	22225001	22250000	25000	0	0	0
chr12	22370001	22380000	10000	0	0	0
chr12	22470001	22480000	10000	0	0	0
chr12	27300001	27325000	25000	0	0	0
chr12	27310001	27315000	5000	0	0	0
chr12	27415001	27420000	5000	0	0	0
chr12	27525001	27550000	25000	0	0	0
chr12	27930001	27940000	10000	0	0	0
chr12	28060001	28070000	10000	0	0	0
chr12	28325001	28350000	25000	0	0	0
chr12	28345001	28350000	5000	0	0	0
chr12	29425001	29450000	25000	0	0	0
chr12	29430001	29435000	5000	0	0	0
chr12	29430001	29440000	10000	0	0	0
chr12	29575001	29600000	25000	0	0	0
chr12	30525001	30550000	25000	0	0	0
chr12	30530001	30540000	10000	0	0	0
chr12	30850001	30875000	25000	1	0	0
chr12	30870001	30880000	10000	0	0	0
chr12	31125001	31130000	5000	0	0	0
chr12	31200001	31205000	5000	0	0	0
chr12	31365001	31370000	5000	0	0	0
chr12	31575001	31600000	25000	0	0	0
chr12	32710001	32715000	5000	0	0	0
chr12	32820001	32825000	5000	2	1	0
chr12	34380001	34390000	10000	1	0	0
chr12	36190001	36200000	10000	0	0	0
chr12	36525001	36550000	25000	0	0	0
chr12	36875001	36900000	25000	0	0	0
chr12	37125001	37150000	25000	0	0	0
chr12	37150001	37175000	25000	0	0	0
chr12	37200001	37225000	25000	0	0	0
chr12	37700001	37725000	25000	0	0	0
chr12	38425001	38450000	25000	0	0	0
chr12	38450001	38475000	25000	0	0	0
chr12	39125001	39150000	25000	1	1	0
chr12	39350001	39375000	25000	3	3	0
chr12	39575001	39600000	25000	0	0	0
chr12	39850001	39875000	25000	0	0	0
chr12	40025001	40050000	25000	2	0	0
chr12	40050001	40075000	25000	0	0	0
chr12	40300001	40325000	25000	0	0	0
chr12	40325001	40350000	25000	0	0	0
chr12	40330001	40340000	10000	0	0	0
chr12	41200001	41225000	25000	0	0	0
chr12	41225001	41250000	25000	0	0	0
chr12	42475001	42500000	25000	0	0	0
chr12	45600001	45605000	5000	0	0	0
chr12	45670001	45675000	5000	0	0	0
chr12	50350001	50375000	25000	0	0	0
chr12	50370001	50380000	10000	0	0	0
chr12	51300001	51310000	10000	0	0	0
chr12	51300001	51325000	25000	0	0	0
chr12	51675001	51700000	25000	0	0	0
chr12	51940001	51950000	10000	0	0	0
chr12	52830001	52840000	10000	1	0	0
chr12	53000001	53010000	10000	0	0	0
chr12	53010001	53015000	5000	0	0	0
chr12	53635001	53640000	5000	0	0	0
chr12	55090001	55100000	10000	0	0	0
chr12	55100001	55110000	10000	0	0	0
chr12	55100001	55125000	25000	0	0	0
chr12	6425001	6450000	25000	0	0	0
chr12	55325001	55350000	25000	0	0	0
chr12	55350001	55360000	10000	0	0	0
chr12	55490001	55500000	10000	0	0	0
chr12	55550001	55560000	10000	0	0	0
chr12	57050001	57060000	10000	0	0	0
chr12	57055001	57060000	5000	0	0	0
chr12	57520001	57530000	10000	0	0	0
chr12	57540001	57545000	5000	0	0	0
chr12	57670001	57680000	10000	0	0	0
chr12	57980001	57990000	10000	0	0	0
chr12	60225001	60250000	25000	0	0	0
chr12	60250001	60275000	25000	0	0	0
chr12	60380001	60390000	10000	0	0	0
chr12	7025001	7050000	25000	0	0	0
chr12	65820001	65830000	10000	0	0	0
chr12	65825001	65850000	25000	0	0	0
chr12	67875001	67900000	25000	0	0	0
chr12	68200001	68225000	25000	0	0	0
chr12	68425001	68450000	25000	0	0	0
chr12	69850001	69875000	25000	0	0	0
chr12	73940001	73950000	10000	0	0	0
chr12	74030001	74040000	10000	0	0	0
chr12	75055001	75060000	5000	0	0	0
chr12	75290001	75295000	5000	0	0	0
chr12	75330001	75335000	5000	0	0	0
chr12	75330001	75340000	10000	0	0	0
chr12	76160001	76170000	10000	0	0	0
chr12	76180001	76190000	10000	0	0	0
chr12	76280001	76290000	10000	0	0	0
chr12	76300001	76310000	10000	0	0	0
chr12	76370001	76380000	10000	1	0	0
chr12	76390001	76395000	5000	0	0	0
chr12	76390001	76400000	10000	0	0	0
chr12	76785001	76790000	5000	0	0	0
chr12	76950001	76955000	5000	0	0	0
chr12	77825001	77850000	25000	0	0	0
chr12	78240001	78245000	5000	0	0	0
chr12	78780001	78785000	5000	0	0	0
chr12	79075001	79100000	25000	0	0	0
chr12	81725001	81730000	5000	0	0	0
chr12	81760001	81765000	5000	0	0	0
chr12	84710001	84720000	10000	0	0	0
chr12	85030001	85040000	10000	0	0	0
chr12	87130001	87140000	10000	0	0	0
chr12	87610001	87620000	10000	0	0	0
chr12	90450001	90475000	25000	0	0	0
chr12	90475001	90500000	25000	0	0	0
chr12	90480001	90490000	10000	0	0	0
chr12	90700001	90705000	5000	0	0	0
chr12	90775001	90800000	25000	0	0	0
chr12	90810001	90815000	5000	0	0	0
chr12	90925001	90950000	25000	3	1	0
chr12	91175001	91200000	25000	0	0	0
chr12	91425001	91450000	25000	0	0	0
chr12	10050001	10060000	10000	0	0	0
chr12	10050001	10075000	25000	0	0	0
chr12	92300001	92325000	25000	0	0	0
chr12	92575001	92600000	25000	0	0	0
chr12	92640001	92645000	5000	0	0	0
chr12	92775001	92800000	25000	0	0	0
chr12	92790001	92795000	5000	0	0	0
chr12	92790001	92800000	10000	0	0	0
chr12	92875001	92900000	25000	0	0	0
chr12	99150001	99175000	25000	1	0	0
chr12	99175001	99200000	25000	0	0	0
chr12	100960001	100970000	10000	1	0	0
chr13	102400001	102410000	10000	0	0	0
chr13	102400001	102425000	25000	0	0	0
chr13	102690001	102700000	10000	0	0	0
chr13	103675001	103680000	5000	0	0	0
chr13	103745001	103750000	5000	0	0	0
chr13	104170001	104175000	5000	0	0	0
chr13	11325001	11350000	25000	0	0	0
chr13	11340001	11350000	10000	0	0	0
chr13	11350001	11375000	25000	0	0	0
chr13	104645001	104650000	5000	0	0	0
chr13	105280001	105290000	10000	0	0	0
chr13	105475001	105500000	25000	0	0	0
chr13	105500001	105525000	25000	0	0	0
chr13	105510001	105520000	10000	0	0	0
chr13	105690001	105700000	10000	0	0	0
chr13	105695001	105700000	5000	0	0	0
chr13	105755001	105760000	5000	0	0	0
chr13	105775001	105800000	25000	0	0	0
chr13	105930001	105940000	10000	0	0	0
chr13	108320001	108330000	10000	0	0	0
