gene_name	chr	at_gained_anchor	at_lost_anchor	at_mixed_anchor	n_anchors	n_anchor_loops	mean_loop_logfc	gene_anchor_class	gene_length	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_conc_weighted_fold	mecp2_total_conc	mecp2_n_peaks_weighted	has_mecp2_peak	mecp2_gained	mecp2_lost
1110017D15Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	12325	0.000467866285483329	-0.0322393723815989	0.884175594277989	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110025L11Rik	chr16	FALSE	FALSE	FALSE	0	0	NA	No anchor	591	0.0180101278358154	1.3735574402245	0.117197904946606	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110032A03Rik	chr9	FALSE	FALSE	FALSE	0	0	NA	No anchor	12693	-0.00018652748810298	-0.37632040675512	0.101807792536467	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110032F04Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	2578	-0.000149395956790144	-0.103124864548497	0.784506602820814	FALSE	Hypomethylated	-0.200654244	0.368911059	0.294315949	2	0	FALSE	-0.214755806028631	9.227796096	2	TRUE	FALSE	FALSE
1110038F14Rik	chr15	FALSE	FALSE	FALSE	0	0	NA	No anchor	2474	0.0051854485326168	0.667004143916866	0.270442276425365	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110051M20Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	169637	-0.00185240867323059	-0.26243939993383	2.9007918091627e-05	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110057P08Rik	chr16	FALSE	FALSE	FALSE	0	0	NA	No anchor	465	0.00469958177300907	0.716544723489459	0.594643563316637	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110059E24Rik	chr19	FALSE	FALSE	FALSE	0	0	NA	No anchor	71775	-0.00117002602565385	-0.233591102115754	0.00257027754835116	TRUE	Hypomethylated	0.007578168	0.984225184	0.984225184	1	0	FALSE	0.007578168	4.023616194	1	TRUE	FALSE	FALSE
1110059G10Rik	chr9	FALSE	FALSE	FALSE	0	0	NA	No anchor	5912	0.000101728733775418	-0.166788674313329	0.704312665865314	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1110065P20Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	2117	-0.00520858531492473	-0.448852380344054	0.378707231177673	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1190005I06Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	39031	-0.00290613287028031	-0.254910386480851	0.00280522714070067	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1190007I07Rik	chr10	FALSE	FALSE	FALSE	0	0	NA	No anchor	3378	-0.000331581414145533	-0.557481433398972	0.300299702468434	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1300017J02Rik	chr9	TRUE	FALSE	FALSE	1	1	0.319062962683368	Gained anchor	54562	-0.00131712339330135	-0.376123740630659	0.00173665872619916	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1500009C09Rik	chr15	FALSE	FALSE	FALSE	0	0	NA	No anchor	8357	-0.000417827762092732	-0.166360934778603	0.362231036507717	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1500009L16Rik	chr10	FALSE	FALSE	FALSE	0	0	NA	No anchor	39898	0.00159809358516335	-0.0256972753108609	0.787872045603735	FALSE	Hypomethylated	-0.047796458	0.849752085	0.450312591	3	0	FALSE	0.00703611931345089	13.514209927	3	TRUE	FALSE	FALSE
1500011B03Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	15273	0.00140329226402543	-0.0131691679319044	0.958896686045851	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1520401A03Rik	chr17	FALSE	FALSE	FALSE	0	0	NA	No anchor	18296	0.000578660055385375	-0.103244499773276	0.612941183679725	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1600012H06Rik	chr17	FALSE	TRUE	FALSE	1	1	-0.858330345772178	Lost anchor	16387	0.00120666456852792	-0.0809247147137699	0.718427521663709	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1600014C10Rik	chr7	FALSE	TRUE	FALSE	2	2	-0.382659406086979	Lost anchor	14352	0.00103332570369812	-0.197914076540245	0.376965948990387	FALSE	Hypomethylated	0.038819184	0.886270827	0.497187851	3	0	FALSE	-0.0511763819611815	13.43165537	3	TRUE	FALSE	FALSE
1600014C23Rik	chr17	FALSE	FALSE	FALSE	0	0	NA	No anchor	981	0.00777697342700304	0.289408211892943	0.68710628303863	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700001C19Rik	chr17	FALSE	FALSE	FALSE	0	0	NA	No anchor	24643	0.00219344614589714	0.102939729011121	0.489596702259204	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700001F09Rik	chr14	FALSE	FALSE	FALSE	0	0	NA	No anchor	5429	-0.000767055030986574	-0.377321536842056	0.281530447946029	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700001J03Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	2864	-0.00378158029906991	-0.325595749068216	0.416117394035053	FALSE	Hypomethylated	-0.051513606	0.833914922	0.833914922	1	0	FALSE	-0.051513606	4.565923928	1	TRUE	FALSE	FALSE
1700001K19Rik	chr12	FALSE	FALSE	FALSE	0	0	NA	No anchor	14932	0.00129916718662966	-0.0857718029360609	0.698263741145334	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700001L19Rik	chr13	TRUE	TRUE	FALSE	2	2	0.059575787984011	Mixed anchor	16811	-0.0013307007259952	-0.353184865430511	0.0743371394763817	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700001O22Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	8893	-0.00335078306505211	-0.233534123597785	0.169586776115962	FALSE	Hypomethylated	0.030010231	0.91578628	0.91578628	1	0	FALSE	0.030010231	4.273986191	1	TRUE	FALSE	FALSE
1700001P01Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	4438	-0.000509664872326385	-0.201591466523369	0.597325953429083	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700003E16Rik	chr6	FALSE	FALSE	FALSE	0	0	NA	No anchor	6542	0.00172814900594489	0.0215917487225898	0.943198238339686	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700003F12Rik	chr2	TRUE	FALSE	FALSE	1	1	0.327704121578445	Gained anchor	2919	0.00663173236411763	0.040428795128617	0.885802309275467	FALSE	Hypermethylated	0.052794805	0.835675728	0.835675728	1	0	FALSE	0.052794805	4.80251865	1	TRUE	FALSE	FALSE
1700003H04Rik	chr3	FALSE	TRUE	FALSE	2	5	-0.357007431615866	Lost anchor	24750	0.00444566884310071	0.258431407597675	0.081834072719879	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700006A11Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	25052	-0.000665779654319586	-0.347678268309971	0.0291963320152366	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700007K13Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	4332	-0.00426023671055767	-0.250528642175001	0.453945471809517	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700008O03Rik	chr7	FALSE	FALSE	FALSE	0	0	NA	No anchor	25778	0.000691525087148304	-0.190228586962298	0.192837954358969	FALSE	Hypomethylated	-0.026924793	0.9270933	0.9270933	1	0	FALSE	-0.026924793	4.768001288	1	TRUE	FALSE	FALSE
1700008P02Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	5026	-0.000229932245310443	-0.398774289246633	0.39310195407094	FALSE	Hypomethylated	-0.021639294	0.943962942	0.943962942	1	0	FALSE	-0.021639294	4.683191288	1	TRUE	FALSE	FALSE
1700009N14Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	1482	-0.000139489253125777	-0.148286751372523	0.857657045440881	FALSE	Hypomethylated	1.213268677	6.26e-07	1.07e-20	4	4	TRUE	2.23357440712298	20.686279523	4	TRUE	TRUE	FALSE
1700010B08Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	2675	-0.00264539420540688	-0.439748819734171	0.481799658221286	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700010I14Rik	chr17	FALSE	FALSE	FALSE	0	0	NA	No anchor	23617	-0.00151133221302549	-0.271180602068704	0.0323160600295501	TRUE	Hypomethylated	-0.105622067	0.62600857	2.24e-06	8	1	TRUE	0.178651783320027	38.881921636	8	TRUE	FALSE	FALSE
1700011L22Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	38140	0.0118399019644853	0.421206899088932	8.50591305139449e-06	TRUE	Hypermethylated	0.018444912	0.952909973	1.53e-17	2	1	TRUE	1.28965077851451	9.553892462	2	TRUE	FALSE	FALSE
1700012A03Rik	chr6	FALSE	FALSE	FALSE	0	0	NA	No anchor	8676	0.00111917284076848	-0.0570735507819067	0.814492068926549	FALSE	Hypomethylated	0.020181675	0.947861776	1.95e-05	10	1	TRUE	0.143286083853323	46.297521643	10	TRUE	FALSE	FALSE
1700012B07Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	40396	-0.00130612060013759	-0.315072921238441	0.0124145062322914	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700012B09Rik	chr9	FALSE	FALSE	FALSE	0	0	NA	No anchor	14444	-0.00101258291421189	-0.442852494490988	0.0248518001951608	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700012P22Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	20584	0.00101884420731394	-0.0962578486832901	0.720968943124656	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700013F07Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	10574	-6.57048198204023e-05	-0.0608647148297038	0.742553039493255	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700013G24Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	2178	0.00268009688557662	0.0600183699831416	0.907497210687897	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700013H16Rik	chrX	FALSE	FALSE	FALSE	0	0	NA	No anchor	14931	0.00276976003866046	-0.0461650975437617	0.903965530230612	FALSE	Hypomethylated	0.025361944	0.938791902	0.935014706	2	0	FALSE	-0.00075633141447957	9.074930507	2	TRUE	FALSE	FALSE
1700014D04Rik	chr13	FALSE	FALSE	FALSE	0	0	NA	No anchor	5911	-0.000691708460679659	-0.305867875552389	0.32434469971435	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700015F17Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	41317	0.000296412843771762	-0.21290702073167	0.139404708335125	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700015G11Rik	chr7	FALSE	FALSE	FALSE	0	0	NA	No anchor	4046	-0.0019047421697851	-0.30436863214262	0.446732997160413	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700016C15Rik	chr1	FALSE	FALSE	FALSE	0	0	NA	No anchor	23511	-0.00031518531683138	-0.37963998885773	0.0325380757952191	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700016D06Rik	chr8	TRUE	FALSE	FALSE	1	1	0.507964758182221	Gained anchor	46140	0.00308029449315681	0.116771817521717	0.181621468645276	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700016H13Rik	chr5	FALSE	TRUE	FALSE	1	1	-0.378371159761301	Lost anchor	7972	-0.00320596036975916	-0.391713055984134	0.0907315992594841	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700016K19Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	3658	-0.0010904542074225	-0.374547031698208	0.283238129988288	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700017B05Rik	chr9	FALSE	FALSE	FALSE	0	0	NA	No anchor	9496	-0.000663602125895165	-0.20962546047344	0.287977292280011	FALSE	Hypomethylated	0.030151405	0.919048946	0.674032606	4	0	FALSE	0.0375904935184088	17.134964389	4	TRUE	FALSE	FALSE
1700017N19Rik	chr10	FALSE	FALSE	FALSE	0	0	NA	No anchor	27918	0.00982721890069667	0.612567615582011	9.23008735088504e-06	TRUE	Hypermethylated	1.620847188	5.26e-11	5.26e-11	1	1	TRUE	1.620847188	5.468926357	1	TRUE	TRUE	FALSE
1700018B08Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	13541	-0.00138429099629323	-0.305631094599236	0.172054013514767	FALSE	Hypomethylated	-0.021101112	0.945182306	0.001409849	11	1	TRUE	-0.179893273434525	54.07794303	11	TRUE	FALSE	FALSE
1700018F24Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	2692	-0.00481678298919757	-0.563629123524056	0.370149630612821	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700019A02Rik	chr1	FALSE	FALSE	FALSE	0	0	NA	No anchor	29060	0.000967584979176404	-0.131834260193663	0.417465801832313	FALSE	Hypomethylated	1.17973055	0.00041711	0.00041711	1	1	TRUE	1.17973055	4.214240572	1	TRUE	TRUE	FALSE
1700019D03Rik	chr1	FALSE	TRUE	FALSE	1	1	-0.313062917143718	Lost anchor	97856	0.00877236611354963	0.382254878699619	6.42037464818792e-07	TRUE	Hypermethylated	1.36255742	1.48e-05	1.48e-05	1	1	TRUE	1.36255742	5.096055414	1	TRUE	TRUE	FALSE
1700019N19Rik	chr19	FALSE	FALSE	FALSE	0	0	NA	No anchor	8659	-0.00108233413630375	-0.124821425858392	0.487223636945937	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700020A23Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	816	-0.00470252635859119	-0.169865274816046	0.880700728175113	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700020D05Rik	chr19	FALSE	FALSE	FALSE	0	0	NA	No anchor	1021	-0.0034538302003496	-0.791557298657369	0.297589674806547	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700020L24Rik	chr11	FALSE	FALSE	FALSE	0	0	NA	No anchor	3557	0.0013661747062855	-0.0855587856814673	0.843369546714157	FALSE	Hypomethylated	-0.142916622	0.522085048	0.522085048	2	0	FALSE	-0.0939580267181291	8.575197412	2	TRUE	FALSE	FALSE
1700020N01Rik	chr10	FALSE	FALSE	FALSE	0	0	NA	No anchor	29232	-0.00167058778217552	-0.258460460461597	0.0336113802409045	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700021F07Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	5916	-0.0035291183208574	-0.485212166264952	0.0509806478645906	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700022I11Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	14037	0.00042315526332521	-0.221853590733793	0.306351358217044	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700024B05Rik	chr14	FALSE	FALSE	FALSE	0	0	NA	No anchor	59827	0.00081791799964287	-0.305314385168766	0.0350973983908246	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700024G13Rik	chr14	FALSE	FALSE	FALSE	0	0	NA	No anchor	12324	0.00214418605998436	-0.0190491749548025	0.906256119636612	FALSE	Hypomethylated	-0.013938381	0.966823515	0.066389479	4	0	FALSE	0.232086812739319	18.521614362	4	TRUE	FALSE	FALSE
1700025B11Rik	chr15	FALSE	FALSE	FALSE	0	0	NA	No anchor	3654	-0.0011750184440343	-0.351073371395028	0.559757922495925	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700025C18Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	12058	-0.00139703597930968	-0.128525931233918	0.401394719384432	FALSE	Hypomethylated	-0.12474739	0.531798559	0.531798559	4	0	FALSE	-0.057031921588501	19.096218996	4	TRUE	FALSE	FALSE
1700025G04Rik	chr1	FALSE	FALSE	FALSE	0	0	NA	No anchor	237723	0.000890211366202025	-0.0441341262407454	0.327255281480602	FALSE	Hypomethylated	0.004922095	0.990205127	0.001259477	12	2	TRUE	0.147091043510162	53.701854883	12	TRUE	FALSE	FALSE
1700028J19Rik	chr7	FALSE	FALSE	FALSE	0	0	NA	No anchor	16885	-0.000551346502338054	-0.177215655853532	0.351098001207344	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700028K03Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	16834	0.00107477614839323	-0.00233988486529339	0.993541014833864	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700028P14Rik	chr19	FALSE	FALSE	FALSE	0	0	NA	No anchor	94060	0.00842713338561281	0.323332446167983	1.85209509959808e-06	TRUE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700029F12Rik	chr13	FALSE	FALSE	FALSE	0	0	NA	No anchor	12499	0.00401295326400891	0.079093354243517	0.708157731740182	FALSE	Hypermethylated	0.217400891	0.308606928	0.308606928	1	0	FALSE	0.217400891	4.65091418	1	TRUE	FALSE	FALSE
1700029H14Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	11729	-0.000541962304725578	-0.238786017547745	0.228467747079388	FALSE	Hypomethylated	0.012970203	0.969160112	0.427285859	3	0	FALSE	-0.0773379709373684	15.061745375	3	TRUE	FALSE	FALSE
1700029I15Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	3171	0.00345346215839799	0.0470672523948214	0.935369691873391	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700029J07Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	21835	0.000270940730089771	-0.229454280351694	0.159091411462996	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700029P11Rik	chr15	FALSE	FALSE	FALSE	0	0	NA	No anchor	1024	-0.00233652097307728	-0.693275774604051	0.342072945402359	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700030J22Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	9366	0.00327339242076521	0.139184769728574	0.528080832675751	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700030K09Rik	chr8	FALSE	FALSE	FALSE	0	0	NA	No anchor	17122	0.00107787618187054	-0.140712804162413	0.473868072959671	FALSE	Hypomethylated	-0.030698533	0.914402817	0.914402817	1	0	FALSE	-0.030698533	4.162286225	1	TRUE	FALSE	FALSE
1700031F05Rik	chrX	FALSE	FALSE	FALSE	0	0	NA	No anchor	8786	-0.00317562220031953	-0.491151566178629	0.180859179186105	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700031L13Rik	chr5	FALSE	FALSE	FALSE	0	0	NA	No anchor	2306	0.0039027135138894	-0.250910215820228	0.741433622964227	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700034E13Rik	chr18	FALSE	FALSE	FALSE	0	0	NA	No anchor	17525	0.00260733036563613	0.0656205749405728	0.735869343369528	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700034I23Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	2348	-0.00991164628129519	-1.02290216746965	0.13459489303811	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700034J05Rik	chr6	FALSE	FALSE	FALSE	0	0	NA	No anchor	4094	-0.00233516530991474	-0.356534666565802	0.353637706858284	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700037C18Rik	chr16	TRUE	FALSE	FALSE	1	1	0.337653166731482	Gained anchor	13511	-4.36496733471018e-05	-0.296761109488997	0.245478313388759	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700037H04Rik	chr2	FALSE	FALSE	FALSE	0	0	NA	No anchor	13758	-0.00063497381993121	-0.275705496242295	0.142590048746337	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700042G07Rik	chr4	FALSE	FALSE	FALSE	0	0	NA	No anchor	919	0.00438126825864805	0.0996568498216983	0.928748883358201	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700056E22Rik	chr1	FALSE	FALSE	FALSE	0	0	NA	No anchor	1272	0.00840372302140635	0.822941206782314	0.339034519715868	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700057G04Rik	chr9	FALSE	FALSE	FALSE	0	0	NA	No anchor	48500	0.00195300139232524	-0.0457992219436215	0.770458357368585	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700064H15Rik	chr3	FALSE	FALSE	FALSE	0	0	NA	No anchor	18310	0.00143876438950995	-0.0724047208369957	0.680654311168209	FALSE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700066B19Rik	chr18	FALSE	FALSE	FALSE	0	0	NA	No anchor	27645	-0.00111008267285108	-0.275050599718577	0.0396020172126317	TRUE	Hypomethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
1700066M21Rik	chr1	FALSE	FALSE	FALSE	0	0	NA	No anchor	7804	0.000839345421649179	0.011510743436281	0.975171795210195	FALSE	Hypermethylated	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE
