anchor_set	region_set	shift_bp	shifted_zscore
Gained loop anchors	CTCF	-2000	74.6847730452806
Gained loop anchors	CTCF	-1000	82.6185245994121
Gained loop anchors	CTCF	0	85.7920252210647
Gained loop anchors	CTCF	1000	82.1913225926511
Gained loop anchors	CTCF	2000	76.2104944979982
Gained loop anchors	CTCF	3000	67.3613100722361
Gained loop anchors	CTCF	4000	57.7797793491696
Gained loop anchors	CTCF	5000	49.4188257882771
Gained loop anchors	CTCF	6000	43.1938822611893
Gained loop anchors	CTCF	7000	37.3961407408624
Gained loop anchors	CTCF	8000	31.8425146529704
Gained loop anchors	CTCF	9000	26.2888885650783
Gained loop anchors	CTCF	10000	22.9933302272083
Gained loop anchors	CTCF	11000	19.8808584636644
Gained loop anchors	CTCF	12000	18.5382235852729
Gained loop anchors	CTCF	13000	17.3176464230988
Gained loop anchors	CTCF	14000	16.8904444163379
Gained loop anchors	CTCF	15000	15.9750115447073
Gained loop anchors	CTCF	16000	13.7169437946853
Gained loop anchors	CTCF	17000	12.4353377744025
Gained loop anchors	CTCF	18000	11.092702896011
Gained loop anchors	CTCF	19000	9.56698144329341
Gained loop anchors	CTCF	20000	8.40743313922803
Gained loop anchors	CTCF	21000	6.88171168651043
Gained loop anchors	CTCF	22000	6.27142310542339
Gained loop anchors	CTCF	23000	5.41701909190154
Gained loop anchors	CTCF	24000	4.31849964594487
Gained loop anchors	CTCF	25000	2.79277819322727
Gained loop anchors	CTCF	26000	2.48763390268375
Gained loop anchors	CTCF	27000	2.12146075403152
Gained loop anchors	CTCF	28000	2.06043189592282
Gained loop anchors	CTCF	29000	1.45014331483578
Gained loop anchors	CTCF	30000	1.57220103105319
Gained loop anchors	CTCF	31000	1.57220103105319
Gained loop anchors	CTCF	32000	0.778825875640036
Gained loop anchors	CTCF	33000	1.08397016618356
Gained loop anchors	CTCF	34000	1.32808559861837
Gained loop anchors	CTCF	35000	1.816316463488
Gained loop anchors	CTCF	36000	1.6942587472706
Gained loop anchors	CTCF	37000	1.816316463488
Gained loop anchors	CTCF	38000	1.99940303781412
Gained loop anchors	CTCF	39000	1.57220103105319
Gained loop anchors	CTCF	40000	1.6942587472706
Gained loop anchors	CTCF	41000	1.51117217294448
Gained loop anchors	CTCF	42000	0.961912449966148
Gained loop anchors	CTCF	43000	0.717797017531332
Gained loop anchors	CTCF	44000	-0.38072242842534
Gained loop anchors	CTCF	45000	-0.0145492797731158
Gained loop anchors	CTCF	46000	0.473681585096516
Gained loop anchors	CTCF	47000	0.900883591857444
Gained loop anchors	CTCF	48000	0.53471044320522
Gained loop anchors	CTCF	49000	0.2295661526617
Gained loop anchors	CTCF	50000	0.0464795783355882
Gained loop anchors	H3K27ac	-50000	-4.69546016201928
Gained loop anchors	H3K27ac	-49000	-4.93200727345602
Gained loop anchors	H3K27ac	-48000	-5.48395053347508
Gained loop anchors	H3K27ac	-47000	-5.72049764491182
Gained loop anchors	H3K27ac	-46000	-5.56279957062066
Gained loop anchors	H3K27ac	-45000	-6.27244090493088
Gained loop anchors	H3K27ac	-44000	-6.35128994207646
Gained loop anchors	H3K27ac	-43000	-6.66668609065878
Gained loop anchors	H3K27ac	-42000	-6.43013897922204
Gained loop anchors	H3K27ac	-41000	-6.90323320209552
Gained loop anchors	H3K27ac	-40000	-6.43013897922204
Gained loop anchors	H3K27ac	-39000	-6.35128994207646
Gained loop anchors	H3K27ac	-38000	-5.87819571920298
Gained loop anchors	H3K27ac	-37000	-6.03589379349414
Gained loop anchors	H3K27ac	-36000	-5.95704475634856
Gained loop anchors	H3K27ac	-35000	-5.64164860776624
Gained loop anchors	H3K27ac	-34000	-5.95704475634856
Gained loop anchors	H3K27ac	-33000	-6.50898801636762
Gained loop anchors	H3K27ac	-32000	-7.06093127638668
Gained loop anchors	H3K27ac	-31000	-7.13978031353226
Gained loop anchors	H3K27ac	-30000	-6.82438416494994
Gained loop anchors	H3K27ac	-29000	-6.9820822392411
Gained loop anchors	H3K27ac	-28000	-7.45517646211458
Gained loop anchors	H3K27ac	-27000	-7.13978031353226
Gained loop anchors	H3K27ac	-26000	-7.21862935067784
Gained loop anchors	H3K27ac	-25000	-6.82438416494994
Gained loop anchors	H3K27ac	-24000	-6.74553512780436
Gained loop anchors	H3K27ac	-23000	-6.35128994207646
Gained loop anchors	H3K27ac	-22000	-6.35128994207646
Gained loop anchors	H3K27ac	-21000	-6.66668609065878
Gained loop anchors	H3K27ac	-20000	-6.74553512780436
Gained loop anchors	H3K27ac	-19000	-6.90323320209552
Gained loop anchors	H3K27ac	-18000	-6.43013897922204
Gained loop anchors	H3K27ac	-17000	-5.72049764491182
Gained loop anchors	H3K27ac	-16000	-5.56279957062066
Gained loop anchors	H3K27ac	-15000	-5.4051014963295
Gained loop anchors	H3K27ac	-14000	-5.32625245918392
Gained loop anchors	H3K27ac	-13000	-5.16855438489276
Gained loop anchors	H3K27ac	-12000	-4.85315823631044
Gained loop anchors	H3K27ac	-11000	-4.85315823631044
Gained loop anchors	H3K27ac	-10000	-4.14351690200022
Gained loop anchors	H3K27ac	-9000	-3.19732845625326
Gained loop anchors	H3K27ac	-8000	-2.56653615908863
Gained loop anchors	H3K27ac	-7000	-2.56653615908863
Gained loop anchors	H3K27ac	-6000	-1.93574386192399
Gained loop anchors	H3K27ac	-5000	-1.30495156475935
Gained loop anchors	H3K27ac	-4000	-0.437612156157969
Gained loop anchors	H3K27ac	-3000	0.03548206671551
Gained loop anchors	H3K27ac	-2000	0.902821475316889
Gained loop anchors	H3K27ac	-1000	1.45476473533595
Gained loop anchors	H3K27ac	0	1.53361377248153
Gained loop anchors	H3K27ac	1000	1.53361377248153
Gained loop anchors	H3K27ac	2000	1.21821762389921
Gained loop anchors	H3K27ac	3000	0.27202917815225
Gained loop anchors	H3K27ac	4000	-0.831857341885868
Gained loop anchors	H3K27ac	5000	-1.77804578763283
Gained loop anchors	H3K27ac	6000	-2.32998904765189
Gained loop anchors	H3K27ac	7000	-3.27617749339884
Gained loop anchors	H3K27ac	8000	-3.67042267912674
Gained loop anchors	H3K27ac	9000	-4.2223659391458
Gained loop anchors	H3K27ac	10000	-4.85315823631044
Gained loop anchors	H3K27ac	11000	-5.56279957062066
Gained loop anchors	H3K27ac	12000	-5.87819571920298
Gained loop anchors	H3K27ac	13000	-6.1935918677853
Gained loop anchors	H3K27ac	14000	-6.03589379349414
Gained loop anchors	H3K27ac	15000	-6.50898801636762
Gained loop anchors	H3K27ac	16000	-6.27244090493088
Gained loop anchors	H3K27ac	17000	-6.43013897922204
Gained loop anchors	H3K27ac	18000	-6.5878370535132
Gained loop anchors	H3K27ac	19000	-6.35128994207646
Gained loop anchors	H3K27ac	20000	-6.66668609065878
Gained loop anchors	H3K27ac	21000	-6.74553512780436
Gained loop anchors	H3K27ac	22000	-6.9820822392411
Gained loop anchors	H3K27ac	23000	-7.13978031353226
Gained loop anchors	H3K27ac	24000	-6.90323320209552
Gained loop anchors	H3K27ac	25000	-6.74553512780436
Gained loop anchors	H3K27ac	26000	-6.74553512780436
Gained loop anchors	H3K27ac	27000	-6.5878370535132
Gained loop anchors	H3K27ac	28000	-6.50898801636762
Gained loop anchors	H3K27ac	29000	-6.74553512780436
Gained loop anchors	H3K27ac	30000	-6.27244090493088
Gained loop anchors	H3K27ac	31000	-5.95704475634856
Gained loop anchors	H3K27ac	32000	-5.95704475634856
Gained loop anchors	H3K27ac	33000	-5.72049764491182
Gained loop anchors	H3K27ac	34000	-5.95704475634856
Gained loop anchors	H3K27ac	35000	-5.48395053347508
Gained loop anchors	H3K27ac	36000	-5.4051014963295
Gained loop anchors	H3K27ac	37000	-5.16855438489276
Gained loop anchors	H3K27ac	38000	-5.24740342203834
Gained loop anchors	H3K27ac	39000	-4.6166111248737
Gained loop anchors	H3K27ac	40000	-4.30121497629138
Gained loop anchors	H3K27ac	41000	-4.30121497629138
Gained loop anchors	H3K27ac	42000	-4.77430919916486
Gained loop anchors	H3K27ac	43000	-4.53776208772812
Gained loop anchors	H3K27ac	44000	-4.30121497629138
Gained loop anchors	H3K27ac	45000	-4.69546016201928
Gained loop anchors	H3K27ac	46000	-4.69546016201928
Gained loop anchors	H3K27ac	47000	-4.53776208772812
Gained loop anchors	H3K27ac	48000	-4.53776208772812
Gained loop anchors	H3K27ac	49000	-4.38006401343696
Gained loop anchors	H3K27ac	50000	-4.2223659391458
Gained loop anchors	H3K27me3	-50000	21.2425722676219
Gained loop anchors	H3K27me3	-49000	21.3212076872844
Gained loop anchors	H3K27me3	-48000	21.5571139462718
Gained loop anchors	H3K27me3	-47000	22.2648327232341
Gained loop anchors	H3K27me3	-46000	22.2648327232341
Gained loop anchors	H3K27me3	-45000	22.3434681428966
Gained loop anchors	H3K27me3	-44000	22.2648327232341
Gained loop anchors	H3K27me3	-43000	22.6580098215465
Gained loop anchors	H3K27me3	-42000	23.2084577591839
Gained loop anchors	H3K27me3	-41000	23.2084577591839
Gained loop anchors	H3K27me3	-40000	22.5793744018841
Gained loop anchors	H3K27me3	-39000	21.7143847855968
Gained loop anchors	H3K27me3	-38000	23.1298223395214
Gained loop anchors	H3K27me3	-37000	22.893916080534
Gained loop anchors	H3K27me3	-36000	22.5793744018841
Gained loop anchors	H3K27me3	-35000	22.6580098215465
Gained loop anchors	H3K27me3	-34000	22.8152806608715
Gained loop anchors	H3K27me3	-33000	23.2084577591839
Gained loop anchors	H3K27me3	-32000	23.3657285985088
Gained loop anchors	H3K27me3	-31000	23.5229994378338
Gained loop anchors	H3K27me3	-30000	23.3657285985088
Gained loop anchors	H3K27me3	-29000	22.8152806608715
Gained loop anchors	H3K27me3	-28000	23.5229994378338
Gained loop anchors	H3K27me3	-27000	23.6016348574963
Gained loop anchors	H3K27me3	-26000	24.702530732771
Gained loop anchors	H3K27me3	-25000	25.8820620277082
Gained loop anchors	H3K27me3	-24000	25.6461557687207
Gained loop anchors	H3K27me3	-23000	26.8256870636579
Gained loop anchors	H3K27me3	-22000	27.6906766799452
Gained loop anchors	H3K27me3	-21000	27.2974995816328
Gained loop anchors	H3K27me3	-20000	27.6120412602827
Gained loop anchors	H3K27me3	-19000	27.2974995816328
Gained loop anchors	H3K27me3	-18000	27.3761350012952
Gained loop anchors	H3K27me3	-17000	28.4770308765699
Gained loop anchors	H3K27me3	-16000	28.319760037245
Gained loop anchors	H3K27me3	-15000	29.8138330108321
Gained loop anchors	H3K27me3	-14000	31.2292705647567
Gained loop anchors	H3K27me3	-13000	31.8583539220565
Gained loop anchors	H3K27me3	-12000	32.8019789580063
Gained loop anchors	H3K27me3	-11000	35.1610415478806
Gained loop anchors	H3K27me3	-10000	36.3405728428178
Gained loop anchors	H3K27me3	-9000	37.7560103967424
Gained loop anchors	H3K27me3	-8000	38.8569062720171
Gained loop anchors	H3K27me3	-7000	39.4073542096544
Gained loop anchors	H3K27me3	-6000	40.1937084062792
Gained loop anchors	H3K27me3	-5000	41.6091459602038
Gained loop anchors	H3K27me3	-4000	42.3168647371661
Gained loop anchors	H3K27me3	-3000	43.6536668714283
Gained loop anchors	H3K27me3	-2000	44.0468439697407
Gained loop anchors	H3K27me3	-1000	44.597291907378
Gained loop anchors	H3K27me3	0	43.7323022910908
Gained loop anchors	H3K27me3	1000	43.1032189337909
Gained loop anchors	H3K27me3	2000	42.7100418354785
Gained loop anchors	H3K27me3	3000	42.0809584781787
Gained loop anchors	H3K27me3	4000	41.4518751208789
Gained loop anchors	H3K27me3	5000	39.5646250489794
Gained loop anchors	H3K27me3	6000	37.9132812360674
Gained loop anchors	H3K27me3	7000	36.3405728428178
Gained loop anchors	H3K27me3	8000	35.1610415478806
Gained loop anchors	H3K27me3	9000	33.902874833281
Gained loop anchors	H3K27me3	10000	33.1165206366562
Gained loop anchors	H3K27me3	11000	31.6224476630691
Gained loop anchors	H3K27me3	12000	31.1506351450942
Gained loop anchors	H3K27me3	13000	30.2070101091445
Gained loop anchors	H3K27me3	14000	29.0274788142073
Gained loop anchors	H3K27me3	15000	29.2633850731947
Gained loop anchors	H3K27me3	16000	28.16248919792
Gained loop anchors	H3K27me3	17000	27.3761350012952
Gained loop anchors	H3K27me3	18000	26.2752391260205
Gained loop anchors	H3K27me3	19000	25.4888849293958
Gained loop anchors	H3K27me3	20000	25.4102495097333
Gained loop anchors	H3K27me3	21000	24.6238953131085
Gained loop anchors	H3K27me3	22000	23.8375411164837
Gained loop anchors	H3K27me3	23000	24.3093536344586
Gained loop anchors	H3K27me3	24000	23.5229994378338
Gained loop anchors	H3K27me3	25000	23.9161765361462
Gained loop anchors	H3K27me3	26000	23.8375411164837
Gained loop anchors	H3K27me3	27000	23.8375411164837
Gained loop anchors	H3K27me3	28000	23.4443640181713
Gained loop anchors	H3K27me3	29000	23.5229994378338
Gained loop anchors	H3K27me3	30000	22.3434681428966
Gained loop anchors	H3K27me3	31000	21.8716556249218
Gained loop anchors	H3K27me3	32000	21.6357493659343
Gained loop anchors	H3K27me3	33000	21.4784785266094
Gained loop anchors	H3K27me3	34000	21.085301428297
Gained loop anchors	H3K27me3	35000	20.928030588972
Gained loop anchors	H3K27me3	36000	20.6134889103221
Gained loop anchors	H3K27me3	37000	21.5571139462718
Gained loop anchors	H3K27me3	38000	21.085301428297
Gained loop anchors	H3K27me3	39000	21.6357493659343
Gained loop anchors	H3K27me3	40000	22.0289264642467
Gained loop anchors	H3K27me3	41000	21.6357493659343
Gained loop anchors	H3K27me3	42000	21.4784785266094
Gained loop anchors	H3K27me3	43000	21.5571139462718
Gained loop anchors	H3K27me3	44000	21.8716556249218
Gained loop anchors	H3K27me3	45000	22.1861973035717
Gained loop anchors	H3K27me3	46000	22.2648327232341
Gained loop anchors	H3K27me3	47000	23.3657285985088
Gained loop anchors	H3K27me3	48000	23.6016348574963
Gained loop anchors	H3K27me3	49000	23.7589056968212
Gained loop anchors	H3K27me3	50000	23.6802702771588
Gained loop anchors	H3K4me1	-50000	1.48985513760693
Gained loop anchors	H3K4me1	-49000	1.35265173718513
Gained loop anchors	H3K4me1	-48000	1.21544833676332
Gained loop anchors	H3K4me1	-47000	2.13013767290869
Gained loop anchors	H3K4me1	-46000	2.26734107333049
Gained loop anchors	H3K4me1	-45000	1.48985513760693
Gained loop anchors	H3K4me1	-44000	1.3983862039924
Gained loop anchors	H3K4me1	-43000	0.986776002726981
Gained loop anchors	H3K4me1	-42000	0.986776002726981
Gained loop anchors	H3K4me1	-41000	0.712369201883371
Gained loop anchors	H3K4me1	-40000	0.575165801461566
Gained loop anchors	H3K4me1	-39000	0.163555600196152
Gained loop anchors	H3K4me1	-38000	0.666634735076103
Gained loop anchors	H3K4me1	-37000	0.941041535919713
Gained loop anchors	H3K4me1	-36000	1.71852747164327
Gained loop anchors	H3K4me1	-35000	1.62705853802874
Gained loop anchors	H3K4me1	-34000	0.986776002726981
Gained loop anchors	H3K4me1	-33000	0.666634735076103
Gained loop anchors	H3K4me1	-32000	0.117821133388883
Gained loop anchors	H3K4me1	-31000	0.620900268268834
Gained loop anchors	H3K4me1	-30000	0.620900268268834
Gained loop anchors	H3K4me1	-29000	0.986776002726981
Gained loop anchors	H3K4me1	-28000	1.5355896044142
Gained loop anchors	H3K4me1	-27000	1.30691727037786
Gained loop anchors	H3K4me1	-26000	1.67279300483601
Gained loop anchors	H3K4me1	-25000	1.48985513760693
Gained loop anchors	H3K4me1	-24000	1.58132407122147
Gained loop anchors	H3K4me1	-23000	1.90146533887235
Gained loop anchors	H3K4me1	-22000	2.22160660652322
Gained loop anchors	H3K4me1	-21000	1.71852747164327
Gained loop anchors	H3K4me1	-20000	1.94719980567962
Gained loop anchors	H3K4me1	-19000	1.99293427248688
Gained loop anchors	H3K4me1	-18000	2.26734107333049
Gained loop anchors	H3K4me1	-17000	2.77042020821044
Gained loop anchors	H3K4me1	-16000	3.77657847797035
Gained loop anchors	H3K4me1	-15000	4.32539207965757
Gained loop anchors	H3K4me1	-14000	4.73700228092298
Gained loop anchors	H3K4me1	-13000	4.69126781411571
Gained loop anchors	H3K4me1	-12000	4.73700228092298
Gained loop anchors	H3K4me1	-11000	5.1486124821884
Gained loop anchors	H3K4me1	-10000	5.24008141580293
Gained loop anchors	H3K4me1	-9000	6.42917755279191
Gained loop anchors	H3K4me1	-8000	8.25855622508264
Gained loop anchors	H3K4me1	-7000	9.81352809652976
Gained loop anchors	H3K4me1	-6000	11.0940931671333
Gained loop anchors	H3K4me1	-5000	12.6490650385804
Gained loop anchors	H3K4me1	-4000	15.0729917793656
Gained loop anchors	H3K4me1	-3000	17.2225117193072
Gained loop anchors	H3K4me1	-2000	18.7774835907543
Gained loop anchors	H3K4me1	-1000	20.2409865285869
Gained loop anchors	H3K4me1	0	20.5153933294305
Gained loop anchors	H3K4me1	1000	19.6464384600924
Gained loop anchors	H3K4me1	2000	18.7317491239471
Gained loop anchors	H3K4me1	3000	16.9481049184636
Gained loop anchors	H3K4me1	4000	14.6156471112929
Gained loop anchors	H3K4me1	5000	12.6947995053877
Gained loop anchors	H3K4me1	6000	10.9568897667115
Gained loop anchors	H3K4me1	7000	9.0360421608062
Gained loop anchors	H3K4me1	8000	7.80121155700996
Gained loop anchors	H3K4me1	9000	6.33770861917737
Gained loop anchors	H3K4me1	10000	5.05714354857386
Gained loop anchors	H3K4me1	11000	5.24008141580293
Gained loop anchors	H3K4me1	12000	4.73700228092298
Gained loop anchors	H3K4me1	13000	3.86804741158488
Gained loop anchors	H3K4me1	14000	3.95951634519942
Gained loop anchors	H3K4me1	15000	3.18203040947586
Gained loop anchors	H3K4me1	16000	3.36496827670493
Gained loop anchors	H3K4me1	17000	3.13629594266859
Gained loop anchors	H3K4me1	18000	3.09056147586132
Gained loop anchors	H3K4me1	19000	3.22776487628313
Gained loop anchors	H3K4me1	20000	2.5417478741741
Gained loop anchors	H3K4me1	21000	1.76426193845054
Gained loop anchors	H3K4me1	22000	1.5355896044142
Gained loop anchors	H3K4me1	23000	1.07824493634152
Gained loop anchors	H3K4me1	24000	1.67279300483601
Gained loop anchors	H3K4me1	25000	1.62705853802874
Gained loop anchors	H3K4me1	26000	1.30691727037786
Gained loop anchors	H3K4me1	27000	1.30691727037786
Gained loop anchors	H3K4me1	28000	1.12397940314879
Gained loop anchors	H3K4me1	29000	1.03251046953425
Gained loop anchors	H3K4me1	30000	1.44412067079966
Gained loop anchors	H3K4me1	31000	0.803838135497908
Gained loop anchors	H3K4me1	32000	1.48985513760693
Gained loop anchors	H3K4me1	33000	1.85573087206508
Gained loop anchors	H3K4me1	34000	1.71852747164327
Gained loop anchors	H3K4me1	35000	1.76426193845054
Gained loop anchors	H3K4me1	36000	1.99293427248688
Gained loop anchors	H3K4me1	37000	2.45027894055957
Gained loop anchors	H3K4me1	38000	2.58748234098137
Gained loop anchors	H3K4me1	39000	2.77042020821044
Gained loop anchors	H3K4me1	40000	3.22776487628313
Gained loop anchors	H3K4me1	41000	3.04482700905405
Gained loop anchors	H3K4me1	42000	3.13629594266859
Gained loop anchors	H3K4me1	43000	3.86804741158488
Gained loop anchors	H3K4me1	44000	3.2734993430904
Gained loop anchors	H3K4me1	45000	3.73084401116308
Gained loop anchors	H3K4me1	46000	3.77657847797035
Gained loop anchors	H3K4me1	47000	4.18818867923576
Gained loop anchors	H3K4me1	48000	3.50217167712674
Gained loop anchors	H3K4me1	49000	3.4107027435122
Gained loop anchors	H3K4me1	50000	3.50217167712674
Gained loop anchors	H3K4me3	-50000	-3.57770672766878
Gained loop anchors	H3K4me3	-49000	-3.78231430572792
Gained loop anchors	H3K4me3	-48000	-4.39613703990535
Gained loop anchors	H3K4me3	-47000	-4.70304840699407
Gained loop anchors	H3K4me3	-46000	-4.70304840699407
Gained loop anchors	H3K4me3	-45000	-4.90765598505322
Gained loop anchors	H3K4me3	-44000	-4.70304840699407
Gained loop anchors	H3K4me3	-43000	-4.70304840699407
Gained loop anchors	H3K4me3	-42000	-4.80535219602364
Gained loop anchors	H3K4me3	-41000	-4.80535219602364
Gained loop anchors	H3K4me3	-40000	-4.39613703990535
Gained loop anchors	H3K4me3	-39000	-4.19152946184621
Gained loop anchors	H3K4me3	-38000	-3.88461809475749
Gained loop anchors	H3K4me3	-37000	-4.19152946184621
Gained loop anchors	H3K4me3	-36000	-4.08922567281664
Gained loop anchors	H3K4me3	-35000	-3.68001051669835
Gained loop anchors	H3K4me3	-34000	-3.78231430572792
Gained loop anchors	H3K4me3	-33000	-3.98692188378707
Gained loop anchors	H3K4me3	-32000	-3.88461809475749
Gained loop anchors	H3K4me3	-31000	-3.98692188378707
Gained loop anchors	H3K4me3	-30000	-3.78231430572792
Gained loop anchors	H3K4me3	-29000	-3.47540293863921
Gained loop anchors	H3K4me3	-28000	-3.37309914960963
Gained loop anchors	H3K4me3	-27000	-3.06618778252092
Gained loop anchors	H3K4me3	-26000	-2.86158020446177
Gained loop anchors	H3K4me3	-25000	-2.96388399349135
Gained loop anchors	H3K4me3	-24000	-2.86158020446177
Gained loop anchors	H3K4me3	-23000	-3.16849157155049
Gained loop anchors	H3K4me3	-22000	-2.96388399349135
Gained loop anchors	H3K4me3	-21000	-3.47540293863921
Gained loop anchors	H3K4me3	-20000	-3.06618778252092
Gained loop anchors	H3K4me3	-19000	-3.27079536058006
Gained loop anchors	H3K4me3	-18000	-3.27079536058006
Gained loop anchors	H3K4me3	-17000	-2.24775747028434
Gained loop anchors	H3K4me3	-16000	-1.94084610319562
Gained loop anchors	H3K4me3	-15000	-1.12241579095905
Gained loop anchors	H3K4me3	-14000	-0.917808212899903
Gained loop anchors	H3K4me3	-13000	-0.610896845811187
Gained loop anchors	H3K4me3	-12000	-0.303985478722471
Gained loop anchors	H3K4me3	-11000	0.105229677395818
Gained loop anchors	H3K4me3	-10000	0.923659989632394
Gained loop anchors	H3K4me3	-9000	2.04900166895769
Gained loop anchors	H3K4me3	-8000	2.56052061410555
Gained loop anchors	H3K4me3	-7000	3.17434334828298
Gained loop anchors	H3K4me3	-6000	4.29968502760827
Gained loop anchors	H3K4me3	-5000	5.62963428499271
Gained loop anchors	H3K4me3	-4000	6.55036838625886
Gained loop anchors	H3K4me3	-3000	7.36879869849544
Gained loop anchors	H3K4me3	-2000	8.5964441668503
Gained loop anchors	H3K4me3	-1000	8.69874795587987
Gained loop anchors	H3K4me3	0	9.00565932296859
Gained loop anchors	H3K4me3	1000	8.80105174490945
Gained loop anchors	H3K4me3	2000	8.69874795587987
Gained loop anchors	H3K4me3	3000	7.16419112043629
Gained loop anchors	H3K4me3	4000	6.14115323014057
Gained loop anchors	H3K4me3	5000	4.1973812385787
Gained loop anchors	H3K4me3	6000	3.58355850440127
Gained loop anchors	H3K4me3	7000	2.66282440313512
Gained loop anchors	H3K4me3	8000	1.33287514575068
Gained loop anchors	H3K4me3	9000	0.923659989632394
Gained loop anchors	H3K4me3	10000	0.616748622543678
Gained loop anchors	H3K4me3	11000	0.105229677395818
Gained loop anchors	H3K4me3	12000	-0.508593056781615
Gained loop anchors	H3K4me3	13000	-1.02011200192948
Gained loop anchors	H3K4me3	14000	-1.32702336901819
Gained loop anchors	H3K4me3	15000	-1.83854231416605
Gained loop anchors	H3K4me3	16000	-1.53163094707734
Gained loop anchors	H3K4me3	17000	-1.53163094707734
Gained loop anchors	H3K4me3	18000	-1.32702336901819
Gained loop anchors	H3K4me3	19000	-1.94084610319562
Gained loop anchors	H3K4me3	20000	-1.73623852513648
Gained loop anchors	H3K4me3	21000	-1.73623852513648
Gained loop anchors	H3K4me3	22000	-2.14545368125477
Gained loop anchors	H3K4me3	23000	-2.24775747028434
Gained loop anchors	H3K4me3	24000	-2.35006125931391
Gained loop anchors	H3K4me3	25000	-2.14545368125477
Gained loop anchors	H3K4me3	26000	-1.83854231416605
Gained loop anchors	H3K4me3	27000	-2.14545368125477
Gained loop anchors	H3K4me3	28000	-1.83854231416605
Gained loop anchors	H3K4me3	29000	-2.0431498922252
Gained loop anchors	H3K4me3	30000	-2.0431498922252
Gained loop anchors	H3K4me3	31000	-2.24775747028434
Gained loop anchors	H3K4me3	32000	-2.45236504834348
Gained loop anchors	H3K4me3	33000	-2.86158020446177
Gained loop anchors	H3K4me3	34000	-3.27079536058006
Gained loop anchors	H3K4me3	35000	-3.06618778252092
Gained loop anchors	H3K4me3	36000	-3.27079536058006
Gained loop anchors	H3K4me3	37000	-3.37309914960963
Gained loop anchors	H3K4me3	38000	-2.45236504834348
Gained loop anchors	H3K4me3	39000	-1.63393473610691
Gained loop anchors	H3K4me3	40000	-1.83854231416605
Gained loop anchors	H3K4me3	41000	-1.53163094707734
Gained loop anchors	H3K4me3	42000	-1.73623852513648
Gained loop anchors	H3K4me3	43000	-1.63393473610691
Gained loop anchors	H3K4me3	44000	-2.0431498922252
Gained loop anchors	H3K4me3	45000	-1.94084610319562
Gained loop anchors	H3K4me3	46000	-2.14545368125477
Gained loop anchors	H3K4me3	47000	-2.14545368125477
Gained loop anchors	H3K4me3	48000	-2.24775747028434
Gained loop anchors	H3K4me3	49000	-2.65697262640263
Gained loop anchors	H3K4me3	50000	-2.45236504834348
Gained loop anchors	Bivalent	-50000	0.31248220036412
Gained loop anchors	Bivalent	-49000	0.31248220036412
Gained loop anchors	Bivalent	-48000	0.31248220036412
Gained loop anchors	Bivalent	-47000	0.31248220036412
