"SYMBOL","n_mecp2_peaks","n_mecp2_sig_peaks","mecp2_has_sig","mecp2_Fold","mecp2_min_FDR","n_h2a_peaks","n_h2a_sig_peaks","h2a_has_sig","h2a_Fold","h2a_min_FDR","sig","quadrant","go_eligible","has_physical_overlap","n_total_peaks","gene_length"
"1700016K05Rik",2,0,FALSE,-0.0387510145,0.844091468,3,0,FALSE,0.052302584,0.191295715,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,5,6032
"1700017B05Rik",3,0,FALSE,0.030151405,0.674032606,3,0,FALSE,-0.099557783,0.41762513,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,6,9496
"1700017L05Rik",1,0,FALSE,0.107426449,0.578782935,2,1,TRUE,0.704604232,8.62e-12,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,3,3364
"1700017N19Rik",1,1,TRUE,1.620847188,5.26e-11,2,2,TRUE,1.4544248955,1.69e-22,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,3,27918
"1700018B08Rik",11,1,TRUE,-1.095220768,0.001409849,21,10,TRUE,-0.5071642955,1.77e-05,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,32,13541
"1700019A02Rik",1,1,TRUE,1.17973055,0.00041711,1,1,TRUE,1.632337825,6.36e-24,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,2,29060
"1700019C18Rik",7,0,FALSE,0.070672436,0.335785427,6,6,TRUE,0.4555128175,1.08e-11,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,13,27679
"1700019D03Rik",1,1,TRUE,1.36255742,1.48e-05,2,2,TRUE,0.9741822435,8.06e-25,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,3,97856
"1700019G24Rik",1,0,FALSE,0.369798394,0.093050057,1,1,TRUE,1.084085018,2.5e-06,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,13485
"1700020L24Rik",2,0,FALSE,-0.095809974,0.522085048,2,0,FALSE,-0.024433971,0.499574471,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,3557
"1700020M21Rik",6,0,FALSE,0.006088834,0.093427986,4,0,FALSE,-0.1304851565,0.078896963,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,10,1479
"1700023F02Rik",3,2,TRUE,1.7119019445,2.94e-06,3,3,TRUE,0.616533202,1.92e-06,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,133619
"1700024G13Rik",4,0,FALSE,0.225576185,0.066389479,2,1,TRUE,0.250295065,0.002054019,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,6,12324
"1700025C18Rik",2,0,FALSE,-0.0383394175,0.735283048,1,0,FALSE,0.157603768,0.327084018,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,12058
"1700025G04Rik",5,0,FALSE,-0.00833295,0.727501464,9,5,TRUE,0.482291931,1.33e-12,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,14,237723
"1700025N23Rik",8,0,FALSE,-0.0605642015,0.107493578,3,2,TRUE,0.4411033865,4.29e-05,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,11,3721
"1700026J14Rik",1,0,FALSE,-0.053997105,0.828881523,1,1,TRUE,-0.405353608,0.023981443,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,2,893
"1700029H14Rik",2,0,FALSE,-0.066295359,0.427285859,2,1,TRUE,-0.537567436,0.000148078,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,4,11729
"1700029J03Rik",1,0,FALSE,-0.046533772,0.856761233,3,1,TRUE,-0.313648061,0.033716299,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,67196
"1700029N11Rik",20,9,TRUE,0.912592946,5.47e-18,11,7,TRUE,0.452483551,1.55e-14,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,31,29319
"1700036G14Rik",10,3,TRUE,0.59756132,2.93e-12,10,6,TRUE,0.5137658595,3.63e-13,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,20,14512
"1700039E22Rik",1,0,FALSE,-0.081437656,0.736343093,2,1,TRUE,-0.360827765,7.61e-05,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,3,7446
"1700044C05Rik",1,0,FALSE,-0.085198937,0.701246244,2,0,FALSE,0.2023667635,0.141921981,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,3,32293
"1700049E22Rik",2,0,FALSE,-0.156293579,0.482218812,5,1,TRUE,0.832606862,1.52e-12,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,7,6027
"1700052I22Rik",1,0,FALSE,-0.064089838,0.779102951,1,1,TRUE,-0.529510293,4.69e-06,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,2,1018
"1700054A03Rik",3,2,TRUE,2.242050115,1.92e-23,4,3,TRUE,0.9670399,1.41e-13,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,7,50869
"1700054M17Rik",1,0,FALSE,0.083599177,0.699054257,1,1,TRUE,0.844935353,7.08e-08,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,3253
"1700060C20Rik",3,0,FALSE,0.104117464,0.428976926,1,0,FALSE,-0.182111266,0.272611897,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,FALSE,4,3742
"1700063D05Rik",3,1,TRUE,0.635954692,0.012392915,1,0,FALSE,0.101963007,0.545759243,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,4,25545
"1700064M15Rik",3,1,TRUE,0.773466286,0.013131104,3,0,FALSE,0.171370648,0.176507578,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,6,1922
"1700066O22Rik",2,2,TRUE,0.96256211,0.00014444,4,4,TRUE,0.7230325955,2.33e-18,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,29331
"1700071K01Rik",7,0,FALSE,0.01502124,0.215520619,5,1,TRUE,0.307018881,0.029545249,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,12,819
"1700072B07Rik",1,0,FALSE,-0.267583635,0.204886349,1,0,FALSE,-0.138300911,0.23840825,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,2,3680
"1700072O05Rik",1,0,FALSE,0.032531268,0.906346352,1,0,FALSE,-0.127468726,0.305541205,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,2,8084
"1700083H02Rik",6,3,TRUE,1.891307027,1.6e-16,8,6,TRUE,0.6032607705,9.5e-23,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,14,1055
"1700084J12Rik",1,0,FALSE,-0.047024709,0.856253345,2,0,FALSE,-0.222024639,0.147054567,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,3,1992
"1700085C21Rik",4,0,FALSE,-0.0821379445,0.593744196,6,1,TRUE,-0.272444337,0.036929519,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,10,6636
"1700092K14Rik",6,0,FALSE,-0.0196521825,0.512328783,5,5,TRUE,-0.40304642,3.18e-05,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,11,942
"1700095B10Rik",3,0,FALSE,0.0090659,0.559086686,1,0,FALSE,-0.235928382,0.114180936,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,TRUE,4,8410
"1700108F19Rik",2,0,FALSE,-0.0846727225,0.693145238,1,0,FALSE,0.128419196,0.450414293,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,9543
"1700108J01Rik",8,4,TRUE,2.066376406,1.3e-19,2,2,TRUE,1.1086718065,2.4e-26,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,10,3750
"1700112J16Rik",1,0,FALSE,-0.00278896,0.994362615,3,1,TRUE,-0.270100402,0.043466674,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,18455
"1700113H08Rik",1,0,FALSE,-0.053577427,0.823594255,2,0,FALSE,0.0212188495,0.097124179,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,172545
"1700120E14Rik",1,0,FALSE,-0.009702678,0.978304717,1,1,TRUE,-0.413017388,0.036001837,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,2,5985
"1700120G07Rik",21,1,TRUE,0.723676339,0.014635108,10,1,TRUE,-0.42463626,0.020537421,"Significant","Q4 (MeCP2 up / H2A down)",TRUE,TRUE,31,4239
"1700121N20Rik",3,0,FALSE,-0.126746418,0.315001305,1,1,TRUE,-0.567694748,5.22e-06,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,5014
"1700123M08Rik",1,0,FALSE,-0.066378832,0.776524249,1,1,TRUE,1.165484392,1.35e-29,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,27716
"1700123O21Rik",9,2,TRUE,1.8820043555,6.77e-22,1,1,TRUE,1.070237571,1.64e-18,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,10,22912
"1700125G02Rik",1,0,FALSE,-0.031690149,0.909377067,1,0,FALSE,-0.122212914,0.516563606,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,2,3895
"1700129C05Rik",3,1,TRUE,1.831457033,6.12e-10,3,3,TRUE,0.609994351,2.64e-46,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,6,9854
"1810034E14Rik",3,0,FALSE,-0.035348712,0.659963161,1,0,FALSE,0.048476795,0.778104575,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,4,23153
"2010001A14Rik",4,0,FALSE,-0.042272726,0.782536653,3,1,TRUE,-0.40732593,0.000345422,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,7,5919
"2010009K17Rik",2,0,FALSE,-0.000518595999999996,0.718120966,2,1,TRUE,0.241538896,0.037377099,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,4,21431
"2010010A06Rik",1,0,FALSE,-0.019214247,0.950995287,1,0,FALSE,-0.217218342,0.113609983,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,2,8675
"2010106C02Rik",12,0,FALSE,-0.0662721155,0.330996796,12,5,TRUE,0.293530933,1.63e-06,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,24,2015
"2210016L21Rik",1,0,FALSE,-0.143212646,0.499293914,1,1,TRUE,-0.31470476,0.049844681,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,2,7626
"2210408F21Rik",5,0,FALSE,0.0692366,0.163788894,6,6,TRUE,0.456142022,1.43e-19,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,11,117054
"2210409D07Rik",10,6,TRUE,1.7366969455,1.82e-25,9,9,TRUE,1.000031945,6.49e-49,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,19,6507
"2310005E17Rik",1,0,FALSE,-0.002966871,0.994092053,1,0,FALSE,-0.310902409,0.091973295,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,2,10957
"2310008N11Rik",7,1,TRUE,0.611198786,0.015804577,12,6,TRUE,0.4018724015,2.15e-06,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,19,65990
"2310011J03Rik",2,0,FALSE,-0.032379011,0.499113747,1,1,TRUE,-0.555554181,1.18e-08,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,3,2284
"2310015A10Rik",1,0,FALSE,-0.097055311,0.652877424,2,1,TRUE,0.300588623,0.044982704,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,12299
"2310022B05Rik",1,0,FALSE,0.051560817,0.838882094,2,0,FALSE,-0.0109515315,0.708709904,"Not significant","Q4 (MeCP2 up / H2A down)",FALSE,FALSE,3,27614
"2310034O05Rik",4,0,FALSE,0.019376616,0.485303208,3,1,TRUE,0.362221116,0.011987821,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,7,7358
"2310043L19Rik",2,0,FALSE,-0.020970803,0.496348486,3,3,TRUE,0.819912073,1.59e-16,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,5,1402
"2310043O21Rik",2,0,FALSE,-0.023799511,0.887689289,1,0,FALSE,0.080801352,0.601597404,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,45592
"2410017I17Rik",2,0,FALSE,-0.0841867465,0.476242681,1,1,TRUE,-0.781341306,1.96e-06,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,3,18159
"2510009E07Rik",1,0,FALSE,-0.00411645,0.991656802,1,1,TRUE,0.450931924,0.005023311,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,45621
"2610035D17Rik",14,3,TRUE,-0.775889152,0.002914981,8,4,TRUE,-0.4008014325,0.001456195,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,22,157944
"2610035F20Rik",1,0,FALSE,0.08633888,0.689074769,1,1,TRUE,0.481719097,0.000209587,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,4916
"2610037D02Rik",1,0,FALSE,-0.080081105,0.726237224,1,1,TRUE,0.357812662,0.025433233,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,148790
"2610203C22Rik",2,1,TRUE,-0.557944903,0.022917735,4,2,TRUE,0.433139903,3.28e-05,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,6,70344
"2610307P16Rik",5,4,TRUE,0.9550750475,0.00016201,7,6,TRUE,0.8977762225,1.12e-33,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,12,425587
"2610318M16Rik",2,0,FALSE,0.030152285,0.90796516,4,3,TRUE,0.551691606,6.71e-12,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,6,3571
"2610318N02Rik",1,0,FALSE,0.025475551,0.931504944,1,0,FALSE,0.20732481,0.10404986,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,11770
"2700054A10Rik",1,0,FALSE,0.479400289,0.066562644,6,2,TRUE,0.573620486,2.68e-08,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,7,278826
"2700070H01Rik",1,0,FALSE,0.083553979,0.692441712,1,1,TRUE,0.720729448,3.48e-06,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,11121
"2810032G03Rik",5,3,TRUE,2.149512518,5.42e-11,8,7,TRUE,0.678076406,5.05e-23,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,13,40762
"2810049E08Rik",4,2,TRUE,2.2628091685,5.42e-19,1,1,TRUE,1.792296078,4.94e-40,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,5,37503
"2810414N06Rik",2,0,FALSE,-0.0804621895,0.604730759,2,2,TRUE,0.343723596,0.027520982,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,4,6070
"2810459M11Rik",1,0,FALSE,-0.273988477,0.184882738,3,1,TRUE,-0.346898217,0.035178783,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,4,9594
"2900009J06Rik",1,0,FALSE,-0.091216424,0.666441138,1,1,TRUE,0.462336459,0.009814136,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,2,20477
"2900026A02Rik",6,0,FALSE,-0.0740110755,0.136932515,5,4,TRUE,-0.4246688205,2.22e-05,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,11,134914
"2900052L18Rik",1,1,TRUE,1.07763607,0.00056354,1,0,FALSE,0.174904922,0.129752319,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,1784
"2900052N01Rik",2,0,FALSE,-0.0968940835,0.542120046,1,0,FALSE,-0.147675968,0.250044722,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,3,13874
"2900057B20Rik",7,1,TRUE,-0.77551094,0.025161191,8,2,TRUE,-0.328962103,0.014179672,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,15,6915
"2900079G21Rik",7,5,TRUE,1.841116607,2.78e-16,3,3,TRUE,0.439803041,2.92e-08,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,10,114649
"3010003L21Rik",1,0,FALSE,-0.00629273,0.987534098,1,1,TRUE,0.570789512,8.17e-10,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,2263
"3100003L05Rik",5,2,TRUE,1.0116573335,5.21e-06,2,1,TRUE,0.309418325,0.034040809,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,7,83266
"3110009F21Rik",3,0,FALSE,-0.025599471,0.22311495,2,1,TRUE,-0.772591017,6.05e-08,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,5,6424
"3110015C05Rik",1,1,TRUE,1.035951417,8.01e-05,4,4,TRUE,1.0708199245,1.46e-26,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,5,17965
"3300005D01Rik",1,0,FALSE,-0.005359987,0.98922026,1,0,FALSE,0.120809034,0.405150841,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,4584
"3425401B19Rik",3,0,FALSE,-0.009151921,0.877331257,2,0,FALSE,-0.0516218835,0.151718202,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,5,26175
"3830408C21Rik",1,0,FALSE,-0.11578746,0.586349591,1,1,TRUE,0.481990515,0.001233633,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,2,32945
"3930402G23Rik",1,1,TRUE,1.13346298,1.86e-05,2,1,TRUE,0.485106031,9.82e-08,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,3,4270
"4632415L05Rik",1,0,FALSE,-0.029132687,0.919428479,1,1,TRUE,0.754905778,1.24e-10,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,2,6148
"4632428C04Rik",2,0,FALSE,-0.090381112,0.472521214,3,0,FALSE,-0.079784713,0.117753482,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,5,12764
"4732490B19Rik",5,0,FALSE,-0.027507573,0.543725908,2,0,FALSE,-0.0810699795,0.573066644,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,7,6355
"4833411C07Rik",1,0,FALSE,0.039842938,0.882972273,3,2,TRUE,0.437247125,0.000175771,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,4,3972
"4833412C05Rik",2,0,FALSE,-0.141626996,0.359418624,1,0,FALSE,-0.028389984,0.873631321,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,3,19602
"4833415N18Rik",14,0,FALSE,-0.0265797475,0.16668121,14,4,TRUE,0.288105425,0.000194092,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,28,3072
"4833422C13Rik",1,0,FALSE,-0.022805813,0.940137734,1,1,TRUE,0.566263857,4.29e-06,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,FALSE,2,40208
"4833422M21Rik",1,0,FALSE,0.414351492,0.098372791,1,1,TRUE,0.442630176,0.000202362,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,FALSE,2,22815
"4833428L15Rik",9,1,TRUE,0.812940806,0.0071443,5,0,FALSE,0.128193585,0.085475331,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,14,15105
"4921509O07Rik",2,0,FALSE,0.045493592,0.786663913,10,6,TRUE,0.627637738,3.65e-11,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,12,56557
"4921511I17Rik",1,0,FALSE,0.449823221,0.074402002,1,1,TRUE,0.826610852,2.2e-11,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,2,41094
"4921513I03Rik",6,0,FALSE,-0.289431085,0.102680734,15,6,TRUE,-0.4483129855,4.18e-05,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,21,13155
"4921525O09Rik",5,0,FALSE,-0.047396243,0.441570011,4,1,TRUE,-0.49451072,0.004151003,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,9,27418
"4921529L05Rik",2,0,FALSE,0.0879312955,0.680743561,1,1,TRUE,0.317095935,0.026671377,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,3,39340
"4921531C22Rik",1,0,FALSE,-0.039689999,0.882988221,2,0,FALSE,-0.076757156,0.121943318,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,FALSE,3,3021
"4921531P14Rik",6,1,TRUE,1.139606512,0.00120971,6,3,TRUE,0.533452189,6.73e-07,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,12,33114
"4921534H16Rik",11,1,TRUE,-0.712972147,0.022455131,10,1,TRUE,-0.270761542,0.001599125,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,21,8756
"4930401O10Rik",3,2,TRUE,0.687102079,0.011668024,1,0,FALSE,0.077952632,0.528297605,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,4,11652
"4930404H11Rik",13,3,TRUE,1.132118108,3.74e-07,6,3,TRUE,0.701803034,6.79e-08,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,19,67849
"4930405A10Rik",2,2,TRUE,0.916775996,0.000256684,2,2,TRUE,0.701727251,3.63e-15,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,FALSE,4,35650
"4930405O22Rik",24,1,TRUE,0.964997449,0.008473619,17,9,TRUE,0.393464084,2.77e-11,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,41,7528
"4930407I19Rik",9,4,TRUE,2.285505177,1.76e-21,3,3,TRUE,1.236205823,2.98e-18,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,12,34219
"4930412B13Rik",1,0,FALSE,0.140139985,0.514291446,2,2,TRUE,0.6772680305,3.19e-08,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,3,87209
"4930425L21Rik",17,1,TRUE,1.248066284,0.000175446,11,5,TRUE,0.259003473,8.34e-17,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,28,25615
"4930425O10Rik",1,0,FALSE,-0.032417784,0.906473079,2,1,TRUE,0.829607344,4.8e-07,"Not significant","Q2 (MeCP2 down / H2A up)",FALSE,TRUE,3,15450
"4930428E07Rik",11,11,TRUE,1.314370275,5.59e-11,14,14,TRUE,0.6022218475,1.33e-23,"Significant","Q1 (MeCP2 up / H2A up)",TRUE,TRUE,25,61714
"4930428O21Rik",1,0,FALSE,-0.024124493,0.937363375,1,0,FALSE,-0.160494312,0.280671815,"Not significant","Q3 (MeCP2 down / H2A down)",FALSE,TRUE,2,5269
"4930429H19Rik",3,1,TRUE,-0.601953849,0.033554423,4,1,TRUE,0.309738433,0.022210012,"Significant","Q2 (MeCP2 down / H2A up)",TRUE,TRUE,7,4814
"4930431P22Rik",2,0,FALSE,0.0096489865,0.967835403,2,1,TRUE,0.571515439,6.11e-05,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,4,2087
"4930433B08Rik",2,0,FALSE,0.037039654,0.838871521,3,3,TRUE,0.951822132,5.97e-09,"Not significant","Q1 (MeCP2 up / H2A up)",FALSE,TRUE,5,12191
"4930438E09Rik",6,1,TRUE,-0.607439562,0.025567617,11,3,TRUE,-0.405529902,0.007484849,"Significant","Q3 (MeCP2 down / H2A down)",TRUE,TRUE,17,65701
