seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr13	59453057	59454443	1387	*	4.002124256	3.88081422	4.114020317	-0.053506732	0.416237697	0.828745178
chr1	20804738	20805886	1149	*	4.002171287	3.908123432	4.090461666	-0.039212399	0.541599112	0.885136599
chr1	190177979	190178614	636	*	4.002221475	3.792459348	4.185320734	-0.109131856	0.161480187	0.614423704
chr16	23239715	23241128	1414	*	4.002241742	4.036093124	3.967576947	0.009404576	0.879315237	0.979230047
chr19	47900919	47902457	1539	*	4.002254122	3.846370927	4.142924531	-0.053384288	0.42695027	0.834590752
chr7	35138684	35140016	1333	*	4.002263171	3.954927976	4.048094498	-0.01857663	0.768282406	0.953307235
chr15	85902920	85903935	1016	*	4.002263633	3.794877835	4.183550409	-0.084024222	0.26092568	0.723963771
chr12	21505428	21506608	1181	*	4.00226665	4.12145359	3.872339217	0.067482014	0.321490023	0.770689037
chr13	112835878	112836651	774	*	4.002275251	4.58552412	3.007403969	1.374779323	1.70E-06	7.69E-05
chr6	91813586	91814017	432	*	4.002309577	3.836220901	4.151236248	-0.064602757	0.365434163	0.798744895
chr5	60607697	60609203	1507	*	4.002331067	4.437996029	3.375207196	0.740241944	0.001415106	0.027111946
chr5	64365283	64366654	1372	*	4.002345972	3.807571685	4.173924855	-0.106826033	0.161985673	0.614936703
chr11	115049509	115049894	386	*	4.002378551	4.331443671	3.575366985	0.37808352	0.010401284	0.129290756
chr4	41712609	41713930	1322	*	4.002421923	4.146998053	3.841727181	0.064687059	0.344782155	0.78573485
chr8	79222206	79223213	1008	*	4.002480365	4.026224985	3.978338395	0.018444912	0.765692943	0.952909973
chr4	133479601	133480931	1331	*	4.002504211	3.726802414	4.233877154	-0.141741366	0.1072931	0.522232712
chr4	63391039	63392133	1095	*	4.002515032	3.867655153	4.12583917	-0.059253725	0.379089048	0.807318244
chr7	97765260	97766189	930	*	4.002534761	4.297529513	3.631298064	0.285756585	0.019578646	0.201958362
chr2	172345258	172346204	947	*	4.002553007	4.070123479	3.931661609	0.023919134	0.70794291	0.938401117
chr15	27971082	27972728	1647	*	4.002564512	3.843498735	4.145820988	-0.042144585	0.553154096	0.888663479
chr8	13907270	13908190	921	*	4.002570331	3.876217507	4.118742673	-0.057329716	0.394488431	0.817031214
chrX	157567764	157569163	1400	*	4.002609499	3.63112059	4.297763162	-0.318195349	0.015978697	0.175529357
chr4	124714506	124715873	1368	*	4.002630851	3.8600963	4.132340895	-0.054804825	0.422685467	0.832424567
chr14	77005734	77007677	1944	*	4.002631576	4.220196663	3.746328416	0.134339796	0.120423344	0.548412242
chr11	95518723	95520242	1520	*	4.002640038	4.038201373	3.966179942	0.019599699	0.751909346	0.949784706
chr10	127328845	127330017	1173	*	4.002680844	3.538462108	4.353332528	-0.465451994	0.004392962	0.067205221
chr5	114667535	114668564	1030	*	4.002692897	3.514299311	4.366908543	-0.522217763	0.003366838	0.054566077
chr6	143440212	143440954	743	*	4.002709511	4.161317124	3.824486113	0.087718534	0.227679667	0.692021942
chr11	120183389	120184488	1100	*	4.002732608	4.113995756	3.882166171	0.058227814	0.382077962	0.809274801
chr7	132724048	132724976	929	*	4.002751131	3.981209753	4.023975593	-0.004088338	0.94703703	0.991656802
chr12	90737171	90738201	1031	*	4.002761929	3.938501092	4.064282089	-0.025482506	0.684059948	0.931355136
chr16	58522687	58523780	1094	*	4.002790092	4.098921632	3.899792779	0.040247004	0.53317843	0.881775921
chr6	103674441	103675042	602	*	4.00279028	3.979251057	4.025951591	-0.017384326	0.78016314	0.95700606
chr1	194025320	194026437	1118	*	4.002810608	4.228201243	3.735568207	0.161984784	0.070828194	0.430576927
chr9	59201214	59202614	1401	*	4.002888529	4.447161232	3.357615959	0.723253594	0.001705429	0.031545747
chr4	83281719	83282781	1063	*	4.002891072	3.98929534	4.016359874	-0.012650108	0.837858232	0.969971809
chr3	25057916	25059411	1496	*	4.002895943	4.494402327	3.251644285	0.914928873	0.000598422	0.013211136
chr5	30796194	30797324	1131	*	4.002899779	3.867908462	4.126333808	-0.066713463	0.325604286	0.773380549
chr18	54957568	54958324	757	*	4.002901257	4.317930808	3.599288531	0.370945721	0.009950666	0.125174543
chr5	122314916	122315806	891	*	4.002953015	3.914934958	4.085908521	-0.044960641	0.487739622	0.862755624
chr16	24352242	24354134	1893	*	4.002991513	4.105085918	3.893118277	0.042117258	0.518717904	0.876285848
chr6	82845012	82846127	1116	*	4.00300191	3.820541565	4.164955444	-0.087516706	0.226299756	0.690518842
chr7	65863415	65864647	1233	*	4.003020099	3.68826241	4.261254359	-0.216536932	0.039849738	0.314892579
chr1	133345196	133346904	1709	*	4.003037755	3.723930939	4.236801823	-0.155380909	0.082903485	0.464806542
chr5	107437586	107438725	1140	*	4.003064029	3.931087175	4.071619917	-0.031565234	0.620191904	0.911509544
chr9	46511154	46512636	1483	*	4.003076963	3.96812675	4.037200472	-0.010295132	0.868094788	0.976913435
chr13	54264677	54265862	1186	*	4.003082719	4.407894498	3.438356758	0.596978538	0.002633386	0.044680178
chr6	51768939	51769898	960	*	4.003096811	3.906305517	4.093800592	-0.03992003	0.537166674	0.883217923
chr11	4237370	4238426	1057	*	4.003100195	3.855863	4.136692602	-0.063234535	0.361747446	0.796868821
chr15	87680398	87681386	989	*	4.00311478	3.882545103	4.114380689	-0.043513794	0.504040691	0.869717449
chr12	110082809	110084075	1267	*	4.003119785	3.943484615	4.06038742	-0.015577791	0.802520756	0.962286691
chr11	71216214	71218157	1944	*	4.00314739	3.986487671	4.019616923	8.03E-05	0.9989573	0.999766946
chr9	28625638	28626597	960	*	4.00316766	4.533637304	3.155287938	1.253471854	6.54E-07	3.25E-05
chr1	154822411	154823969	1559	*	4.003200422	3.986158796	4.020043094	-0.00320028	0.959005748	0.993911026
chr12	76085117	76087199	2083	*	4.003262556	3.953167189	4.051676656	-0.018035361	0.770566776	0.954041838
chr2	77060725	77061298	574	*	4.003265328	3.645204183	4.289895269	-0.187437597	0.067563153	0.420903309
chr3	118444744	118445382	639	*	4.003287639	3.98092303	4.025310839	-0.007498803	0.905776932	0.984826705
chr4	152468766	152469951	1186	*	4.003295929	3.910057595	4.090872522	-0.045417179	0.481068421	0.859860937
chr14	33947784	33949036	1253	*	4.003304124	4.147007363	3.843687241	0.08089163	0.25200442	0.716053704
chr11	75184388	75185982	1595	*	4.003308654	3.812700405	4.171647465	-0.081459845	0.270413428	0.732086634
chr4	45212468	45213928	1461	*	4.003334339	3.817398841	4.168019119	-0.089324069	0.216603466	0.680434049
chr17	31741811	31743286	1476	*	4.0033779	3.98490544	4.021616824	-0.006986662	0.909911477	0.985613708
chr12	100240027	100241242	1216	*	4.003389053	4.268625031	3.678152288	0.249890973	0.026362055	0.244719802
chr8	110650420	110652100	1681	*	4.003397297	3.872962963	4.123010612	-0.046107155	0.487486865	0.862620664
chr8	123805556	123807321	1766	*	4.003407203	3.885883316	4.112074387	-0.049819023	0.445352578	0.843344327
chr18	61211131	61211890	760	*	4.003408553	3.785569961	4.192628801	-0.127298153	0.119084972	0.545672141
chr2	134867727	134868288	562	*	4.003417367	4.175067486	3.808551246	0.096727694	0.196019142	0.657934684
chr1	74782161	74783357	1197	*	4.003454696	3.899873667	4.100094505	-0.03713622	0.574220525	0.896458
chr17	26011852	26013273	1422	*	4.003459482	3.93865986	4.065473265	-0.031106042	0.621912402	0.912017373
chr15	93568599	93569230	632	*	4.003485906	3.767417453	4.206303597	-0.100667427	0.20302258	0.666071441
chr11	94563771	94565028	1258	*	4.003523864	3.988365331	4.01852478	-0.005693501	0.926769026	0.98876069
chr6	40114026	40114877	852	*	4.003549577	3.620971716	4.305645449	-0.273975301	0.025947158	0.242414423
chr17	24477884	24479299	1416	*	4.003551452	3.870214066	4.12560134	-0.065977207	0.335152241	0.779414363
chr11	33120233	33121660	1428	*	4.003569644	3.848901452	4.143250048	-0.07503246	0.285409105	0.743813504
chr19	4220016	4221221	1206	*	4.003581649	3.962386946	4.043632659	-0.018570699	0.765063303	0.952674974
chr1	170394661	170396077	1417	*	4.003641467	3.982797552	4.024188515	-0.017259358	0.781324836	0.957242144
chr5	120798907	120800187	1281	*	4.003657229	3.935419217	4.068812896	-0.042911666	0.504881699	0.870036521
chr15	98907901	98909368	1468	*	4.00369945	3.802699233	4.180089604	-0.092844135	0.213085055	0.676614786
chr12	79890343	79891680	1338	*	4.003719229	3.831944271	4.157200581	-0.088647928	0.218100266	0.68202556
chr14	34959435	34960733	1299	*	4.00372918	4.276876301	3.666497845	0.231276349	0.033813062	0.285909094
chr9	15527732	15529009	1278	*	4.003736358	3.761645954	4.21098041	-0.135335601	0.108401895	0.524698487
chr6	106568593	106569026	434	*	4.003753487	3.663562746	4.278835807	-0.153056158	0.105653327	0.51851698
chr8	122261770	122262460	691	*	4.003765066	3.835525542	4.154418357	-0.080976631	0.254938578	0.718568066
chr7	133491031	133491927	897	*	4.003792337	4.115732847	3.882430053	0.050627193	0.44539532	0.843344327
chr19	56759798	56761375	1578	*	4.003794358	3.925962303	4.077641511	-0.035362912	0.575477205	0.896890508
chr13	44150708	44152273	1566	*	4.003813607	3.81383662	4.171660011	-0.093258983	0.204418295	0.667602513
chr9	14574763	14576320	1558	*	4.003817898	3.939195952	4.065668938	-0.030328521	0.6349055	0.916118661
chr4	111719377	111720884	1508	*	4.003856964	3.974250022	4.032868512	-0.005682701	0.926439901	0.988709522
chr1	129511229	129512575	1347	*	4.003864954	4.528314374	3.171519509	1.131534928	5.30E-05	0.001637493
chr11	70321265	70322924	1660	*	4.003872409	3.815236647	4.170671331	-0.078007325	0.284299192	0.743002937
chr3	37605285	37606433	1149	*	4.003893351	3.982769519	4.024712348	-0.008321612	0.89256974	0.982023532
chr1	172570914	172572319	1406	*	4.003955776	3.835006578	4.155177751	-0.082394246	0.248793002	0.713353242
chr5	31933518	31935157	1640	*	4.003960894	3.978751919	4.028736933	-0.011392184	0.854113814	0.973684164
chr18	34042181	34043485	1305	*	4.003972391	3.977431544	4.03003378	-0.012463389	0.841528519	0.971003157
chr8	120013302	120014701	1400	*	4.004035052	4.154977242	3.835435082	0.072734098	0.29389119	0.750203291
chr11	70026258	70027539	1282	*	4.004060275	4.015543805	3.992484605	0.004312733	0.94425137	0.991447838
chr2	155632307	155633192	886	*	4.004086371	4.013273179	3.994840689	-0.000839095	0.989375547	0.998184183
chr2	153891102	153892227	1126	*	4.004092749	3.968151238	4.039160579	-0.019871797	0.75050757	0.949455155
chr14	30600871	30602270	1400	*	4.004099457	3.934256804	4.070716496	-0.035335043	0.577348296	0.897312461
chr9	60855407	60857128	1722	*	4.004135013	4.038538394	3.968891145	0.017816607	0.77680186	0.956009332
chr5	34195145	34196366	1222	*	4.00414271	4.040479319	3.966867206	0.015612519	0.803327758	0.962397862
chr3	123446563	123447772	1210	*	4.004147386	3.901934191	4.099595553	-0.034937371	0.593640949	0.902664727
chr6	128275093	128276657	1565	*	4.00417829	3.902195322	4.099425677	-0.040075696	0.540157576	0.884545053
chr7	133678429	133679634	1206	*	4.00422656	3.931938496	4.073064713	-0.035224273	0.579924358	0.898337234
chr1	6380388	6381882	1495	*	4.004236724	3.260713888	4.4924647	-1.039942868	3.20E-05	0.001051405
chr16	21338235	21339315	1081	*	4.004260422	4.510257404	3.218125547	1.18397971	4.98E-06	0.00020285
chr8	12508661	12510088	1428	*	4.004282379	4.033518289	3.974441734	0.00554317	0.928389828	0.988930018
chr18	50061383	50063030	1648	*	4.004375299	3.870424317	4.126939032	-0.061796601	0.361053715	0.796654534
chr11	116670933	116672251	1319	*	4.004375612	3.749101263	4.221199469	-0.156715408	0.077560128	0.449826435
chr11	11115446	11116704	1259	*	4.004375854	3.856003534	4.138901934	-0.057144868	0.405492426	0.823053326
chr18	37821446	37822652	1207	*	4.004392995	3.707172021	4.250717741	-0.140542878	0.11632243	0.540695381
chr10	96956382	96957372	991	*	4.004393424	4.477697275	3.295324792	0.818458068	0.000878469	0.018129634
chr9	63376981	63378235	1255	*	4.004410469	3.856246995	4.138764867	-0.055942936	0.409235744	0.824700344
chr7	125806892	125808401	1510	*	4.004427596	3.432033056	4.413139818	-0.594666808	0.002822329	0.047307357
chr2	136673591	136674863	1273	*	4.004447506	4.402201095	3.453443761	0.660129717	0.001441735	0.027556473
chr19	6413885	6415010	1126	*	4.004509462	3.939132326	4.067051959	-0.029932281	0.634848564	0.916097164
chr8	22560655	22561583	929	*	4.004538414	3.877467712	4.121317273	-0.049177264	0.453925037	0.847649979
chr1	193588856	193590129	1274	*	4.004566956	4.032476908	3.976106396	0.011996586	0.845747307	0.97164313
chr18	12168474	12169421	948	*	4.004620277	3.967385295	4.040918378	-0.019890401	0.751091308	0.949606736
chr10	58851290	58852571	1282	*	4.004620773	4.033238788	3.975423568	0.006074894	0.921747281	0.987914313
chr1	135750793	135752039	1247	*	4.004670764	3.67574004	4.272354778	-0.227966324	0.036237461	0.29758694
chrX	100729793	100731591	1799	*	4.004699905	3.272553279	4.488056522	-0.920983361	0.000377049	0.008945172
chr6	113978647	113980201	1555	*	4.004706666	4.007899534	4.001506715	-0.001414103	0.981741411	0.996768717
chr14	70092953	70094407	1455	*	4.004713543	3.723179916	4.240175954	-0.134606538	0.120422974	0.548412242
chr7	112867766	112868810	1045	*	4.004723789	3.936455048	4.06990747	-0.021411505	0.731253363	0.944806516
chr10	63646299	63647236	938	*	4.004797864	4.481554939	3.287861351	0.952885796	0.000150066	0.004028406
chr13	4608784	4609499	716	*	4.004798171	3.818418135	4.169831483	-0.09434868	0.198237334	0.660509507
chr8	104785927	104787737	1811	*	4.004802881	3.989204358	4.020234555	-0.007978292	0.897173306	0.983180793
chr2	93652733	93653238	506	*	4.004813661	4.005471212	4.00415581	0.000419915	0.994612092	0.999067426
chr17	12207745	12209125	1381	*	4.004894552	3.872051308	4.126530336	-0.050681622	0.449624127	0.845507905
chr7	95461660	95463373	1714	*	4.004910762	4.01092045	3.998875935	0.00049032	0.993650782	0.998853714
chr13	35792958	35794167	1210	*	4.00491587	4.137244627	3.859212388	0.06553649	0.342647085	0.784381638
chr17	28232512	28233223	712	*	4.004920267	3.890954973	4.110538274	-0.053506327	0.423105251	0.832649511
chr9	62535867	62537281	1415	*	4.004953819	3.999320029	4.010565694	0.002055079	0.973639879	0.995888014
chr7	141008401	141009858	1458	*	4.005038557	3.8476697	4.146917455	-0.066355824	0.335778311	0.779923686
chr1	68843682	68844287	606	*	4.005127162	4.225966041	3.744264909	0.111467718	0.175514066	0.633049201
chr7	16236792	16237901	1110	*	4.005157595	3.933215708	4.073681761	-0.03307627	0.600142733	0.90471084
chr13	99664829	99665842	1014	*	4.005168603	4.20683198	3.770663415	0.113664415	0.153801043	0.602461385
chr18	31230180	31231899	1720	*	4.005173795	4.274437781	3.673850601	0.16491738	0.08596177	0.472362231
chr17	78916436	78917731	1296	*	4.00517508	3.809223066	4.177666912	-0.090732524	0.220921895	0.685151289
chr14	76628158	76629269	1112	*	4.005182129	3.649025291	4.2905927	-0.291485917	0.01861979	0.19512005
chr16	45762824	45763749	926	*	4.005202623	4.304418245	3.627242283	0.332604634	0.012129046	0.144687807
chr14	45564765	45566069	1305	*	4.005212287	3.888504057	4.113181809	-0.051717448	0.428528701	0.835791795
chr2	92812622	92814208	1587	*	4.005232392	3.771911709	4.206019683	-0.122991831	0.132883554	0.571376443
chr1	87046738	87047708	971	*	4.005268651	3.880039199	4.120490763	-0.053707502	0.416776996	0.828902075
chr13	56859584	56861001	1418	*	4.005285839	3.849128891	4.146179097	-0.069055319	0.315832605	0.766780388
chr2	151008098	151009530	1433	*	4.005293412	3.759120168	4.215520343	-0.148984925	0.085965264	0.472364647
chr14	25496819	25498080	1262	*	4.005329113	3.975787115	4.0342783	-0.015600073	0.80156744	0.962062293
chr6	86270302	86271474	1173	*	4.005351382	3.915622952	4.089824416	-0.039964753	0.531890565	0.881276837
chr5	52592334	52593758	1425	*	4.005384075	3.772813385	4.205616006	-0.10553648	0.179176632	0.637906211
chr6	135530131	135531065	935	*	4.005387185	4.088894318	3.916747845	0.038137021	0.557414233	0.890295379
chr11	108973397	108975031	1635	*	4.005397688	4.090239838	3.915252657	0.045339601	0.483841843	0.861328379
chr9	35135355	35136429	1075	*	4.005399566	4.043563135	3.966198963	0.014367167	0.81611328	0.965332969
chr6	144324694	144325988	1295	*	4.005414059	4.115777788	3.885903116	0.05306245	0.425056563	0.833661904
chr4	128303028	128303627	600	*	4.00545804	3.421689209	4.419898334	-0.720400641	0.00099635	0.020179565
chr12	17576651	17577842	1192	*	4.005535613	3.902881645	4.101368007	-0.052509672	0.422890348	0.832602033
chr15	88371405	88372338	934	*	4.00554939	3.876762239	4.123776183	-0.062951735	0.349975187	0.789273906
chr2	97464236	97465319	1084	*	4.005550039	4.201178048	3.779170759	0.065645892	0.385547794	0.811470584
chr8	11496886	11497973	1088	*	4.005563496	3.953903408	4.055437508	-0.028713102	0.649922162	0.921399985
chr15	83756454	83757677	1224	*	4.005596204	3.974833987	4.035716157	-0.015198128	0.805830972	0.96300853
chr15	100816834	100818392	1559	*	4.005605202	4.031553828	3.979181296	0.008682307	0.890175327	0.981436133
chr6	89452591	89453486	896	*	4.005615979	4.373138124	3.511232371	0.423229154	0.010249963	0.127864981
chr10	120596831	120598336	1506	*	4.005624164	3.367723263	4.446419797	-0.854111747	0.000302672	0.007407437
chr12	16698366	16699892	1527	*	4.005661269	3.92400681	4.082940717	-0.031940088	0.621335206	0.91183155
chrX	140430571	140431893	1323	*	4.005690613	3.961246365	4.048806512	-0.021686157	0.730992955	0.944727063
chr11	35252246	35253088	843	*	4.00571129	4.101833167	3.90272507	0.047312294	0.46746629	0.85399104
chr9	50767599	50768834	1236	*	4.005715966	3.78162753	4.199631748	-0.108574731	0.168840132	0.624220182
chr14	118703240	118704179	940	*	4.005751347	3.993949543	4.01745739	0.003406109	0.956056063	0.99329909
chr8	91497379	91499002	1624	*	4.005841788	3.841462751	4.153392709	-0.087328602	0.223052056	0.68714651
chr1	152616713	152618113	1401	*	4.005912977	3.895375677	4.108580462	-0.050273565	0.441338324	0.841417029
chr5	122880016	122880953	938	*	4.00592035	3.990101231	4.021567892	-0.006857727	0.912983826	0.986182229
chr7	138967170	138968510	1341	*	4.005927536	3.975201343	4.036012952	-0.014021544	0.82143172	0.966443495
chr3	118419005	118420696	1692	*	4.005935403	3.96205409	4.048521317	-0.014420777	0.818178812	0.965754862
chr11	120219974	120221126	1153	*	4.005944592	3.936400548	4.072289917	-0.034056982	0.590121371	0.901844133
chr9	31565503	31567180	1678	*	4.00596319	3.839427776	4.155248868	-0.08423292	0.238260897	0.702169208
