gene_name	chr	intron_has_enhancer	gene_mch_sig
3110009E18Rik	chr1	TRUE	TRUE
3110021N24Rik	chr4	FALSE	TRUE
3110040N11Rik	chr7	FALSE	FALSE
3110082I17Rik	chr5	TRUE	TRUE
3110082J24Rik	chr5	FALSE	FALSE
3300002I08Rik	chr2	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
3830403N18Rik	chrX	FALSE	FALSE
3830406C13Rik	chr14	FALSE	TRUE
3830417A13Rik	chrX	FALSE	FALSE
4430402I18Rik	chr19	FALSE	TRUE
4833420G17Rik	chr13	FALSE	FALSE
4833427G06Rik	chr9	FALSE	FALSE
4833439L19Rik	chr13	TRUE	FALSE
4921504E06Rik	chr2	FALSE	FALSE
4921507P07Rik	chr6	FALSE	FALSE
4921509C19Rik	chr2	FALSE	FALSE
4921517D22Rik	chr13	FALSE	FALSE
4921524J17Rik	chr8	FALSE	FALSE
4921524L21Rik	chr18	FALSE	TRUE
4921536K21Rik	chr11	FALSE	FALSE
4921539E11Rik	chr4	FALSE	FALSE
4930402F06Rik	chr2	FALSE	FALSE
4930402H24Rik	chr2	TRUE	TRUE
4930404H24Rik	chr2	FALSE	FALSE
4930404N11Rik	chr10	FALSE	FALSE
4930407I10Rik	chr15	FALSE	FALSE
4930412O13Rik	chr2	FALSE	FALSE
4930415L06Rik	chrX	FALSE	FALSE
4930415O20Rik	chr15	FALSE	FALSE
4930430F08Rik	chr10	FALSE	TRUE
4930432K21Rik	chr8	FALSE	FALSE
4930432M17Rik	chr3	FALSE	FALSE
4930433I11Rik	chr7	FALSE	FALSE
4930438A08Rik	chr11	FALSE	FALSE
4930444P10Rik	chr1	FALSE	TRUE
4930447A16Rik	chr15	TRUE	TRUE
4930447C04Rik	chr12	FALSE	TRUE
4930449I24Rik	chr5	FALSE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
4930452B06Rik	chr14	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930455H04Rik	chr3	FALSE	FALSE
4930467E23Rik	chr8	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930470P17Rik	chr2	FALSE	TRUE
4930474N05Rik	chr14	FALSE	FALSE
4930486L24Rik	chr13	FALSE	FALSE
4930503B20Rik	chr3	FALSE	FALSE
4930503E14Rik	chr14	FALSE	FALSE
4930503L19Rik	chr18	FALSE	FALSE
4930505A04Rik	chr11	FALSE	TRUE
4930512M02Rik	chr11	FALSE	FALSE
4930513O06Rik	chrX	FALSE	FALSE
4930516K23Rik	chr7	FALSE	FALSE
4930519G04Rik	chr5	FALSE	FALSE
4930522H14Rik	chr4	FALSE	FALSE
4930522L14Rik	chr5	FALSE	FALSE
4930523C07Rik	chr1	FALSE	TRUE
4930524B15Rik	chr11	FALSE	FALSE
4930544D05Rik	chr11	FALSE	FALSE
4930550C14Rik	chr9	FALSE	FALSE
4930550L24Rik	chrX	FALSE	FALSE
4930555G01Rik	chr14	FALSE	FALSE
4930556J24Rik	chr11	FALSE	FALSE
4930558C23Rik	chr3	FALSE	FALSE
4930558K02Rik	chr1	TRUE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
4930563E22Rik	chr11	FALSE	FALSE
4930563M21Rik	chr9	FALSE	TRUE
4930564D02Rik	chr3	FALSE	TRUE
4930568D16Rik	chr2	FALSE	TRUE
4930572O03Rik	chr5	FALSE	FALSE
4930578G10Rik	chr4	TRUE	FALSE
4930578I06Rik	chr14	FALSE	FALSE
4930579F01Rik	chr3	FALSE	FALSE
4930579G24Rik	chr3	FALSE	FALSE
4930583I09Rik	chr17	TRUE	FALSE
4930590J08Rik	chr6	TRUE	FALSE
4930595D18Rik	chr12	FALSE	FALSE
4930595M18Rik	chrX	FALSE	FALSE
4930596D02Rik	chr14	FALSE	FALSE
4931406B18Rik	chr7	FALSE	FALSE
4931406C07Rik	chr9	FALSE	FALSE
4931406P16Rik	chr7	TRUE	TRUE
4931408C20Rik	chr1	FALSE	FALSE
4931414P19Rik	chr14	FALSE	FALSE
4931422A03Rik	chr2	FALSE	FALSE
4931428F04Rik	chr8	FALSE	TRUE
4931428L18Rik	chr1	TRUE	TRUE
4931429L15Rik	chr9	FALSE	TRUE
4932414N04Rik	chr2	FALSE	TRUE
4932415D10Rik	chr10	FALSE	FALSE
4932429P05Rik	chrX	FALSE	FALSE
4932438A13Rik	chr3	FALSE	FALSE
4932438H23Rik	chr16	TRUE	TRUE
4933400A11Rik	chrX	FALSE	FALSE
4933402D24Rik	chr1	TRUE	FALSE
4933402E13Rik	chrX	FALSE	FALSE
4933402J07Rik	chr8	FALSE	FALSE
4933402N03Rik	chr7	FALSE	FALSE
4933402N22Rik	chr5	FALSE	FALSE
4933403O08Rik	chrX	FALSE	FALSE
4933405L10Rik	chr8	FALSE	FALSE
4933407L21Rik	chr1	FALSE	FALSE
4933409G03Rik	chr2	FALSE	FALSE
4933414I15Rik	chr11	FALSE	FALSE
4933417A18Rik	chr13	FALSE	TRUE
4933421I07Rik	chr7	FALSE	FALSE
4933424G06Rik	chr1	FALSE	TRUE
4933427D14Rik	chr11	FALSE	TRUE
4933428G20Rik	chr11	FALSE	TRUE
4933428M09Rik	chrX	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
4933434E20Rik	chr3	FALSE	FALSE
4933436I01Rik	chrX	FALSE	FALSE
5031410I06Rik	chr5	FALSE	FALSE
5031439G07Rik	chr15	TRUE	TRUE
5330417C22Rik	chr3	TRUE	TRUE
5430401F13Rik	chr6	FALSE	FALSE
5430402E10Rik	chrX	FALSE	FALSE
5430403G16Rik	chr5	FALSE	FALSE
5430427O19Rik	chrX	FALSE	FALSE
5530400C23Rik	chr6	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730409E04Rik	chr4	FALSE	FALSE
5730455P16Rik	chr11	FALSE	FALSE
5730480H06Rik	chr5	FALSE	TRUE
5730507C01Rik	chr12	FALSE	FALSE
5730522E02Rik	chr11	FALSE	TRUE
5830411N06Rik	chr7	FALSE	FALSE
6030458C11Rik	chr15	FALSE	FALSE
6030468B19Rik	chr11	FALSE	FALSE
6030498E09Rik	chrX	FALSE	FALSE
6330409D20Rik	chr2	FALSE	FALSE
6330411D24Rik	chr4	TRUE	TRUE
6430548M08Rik	chr8	TRUE	TRUE
6430550D23Rik	chr2	TRUE	TRUE
6430571L13Rik	chr9	TRUE	FALSE
6430628N08Rik	chr4	FALSE	FALSE
6720489N17Rik	chr13	FALSE	FALSE
6820408C15Rik	chr2	TRUE	FALSE
7530416G11Rik	chr15	FALSE	TRUE
8030462N17Rik	chr18	FALSE	TRUE
8030474K03Rik	chrX	FALSE	FALSE
9030025P20Rik	chr17	FALSE	FALSE
9030624G23Rik	chr12	FALSE	FALSE
9130008F23Rik	chr17	FALSE	FALSE
9130019O22Rik	chr7	FALSE	FALSE
9130230L23Rik	chr5	FALSE	FALSE
9130401M01Rik	chr15	TRUE	TRUE
9130409I23Rik	chr1	FALSE	FALSE
9230102O04Rik	chr2	FALSE	FALSE
9230112D13Rik	chr14	FALSE	FALSE
9330159F19Rik	chr10	FALSE	FALSE
9330182L06Rik	chr5	TRUE	TRUE
9330182O14Rik	chr15	FALSE	FALSE
9430015G10Rik	chr4	FALSE	FALSE
9430038I01Rik	chr7	FALSE	TRUE
9430069I07Rik	chr15	FALSE	FALSE
9530002B09Rik	chr4	FALSE	FALSE
9530003J23Rik	chr10	FALSE	FALSE
9530053A07Rik	chr7	FALSE	TRUE
9530068E07Rik	chr11	FALSE	FALSE
9530077C05Rik	chr9	TRUE	FALSE
9630041A04Rik	chr9	TRUE	FALSE
9830107B12Rik	chr17	FALSE	FALSE
9930012K11Rik	chr14	FALSE	FALSE
9930021J03Rik	chr19	TRUE	TRUE
9930022D16Rik	chr11	FALSE	FALSE
9930104L06Rik	chr4	FALSE	FALSE
9930111J21Rik1	chr11	FALSE	FALSE
9930111J21Rik2	chr11	FALSE	FALSE
A130010J15Rik	chr1	FALSE	FALSE
A1bg	chr15	FALSE	FALSE
A1cf	chr19	FALSE	FALSE
A26c2	chr7	FALSE	FALSE
A26c3	chr2	FALSE	FALSE
A2m	chr6	FALSE	FALSE
A2ml1	chr6	FALSE	FALSE
A330070K13Rik	chr5	FALSE	TRUE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	TRUE
A430033K04Rik	chr5	FALSE	FALSE
A4galt	chr15	FALSE	TRUE
A4gnt	chr9	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A530032D15Rik	chr1	FALSE	FALSE
A530064D06Rik	chr17	FALSE	FALSE
A630001G21Rik	chr1	FALSE	TRUE
A630010A05Rik	chr16	FALSE	TRUE
A630023A22Rik	chr14	FALSE	TRUE
A630073D07Rik	chr6	FALSE	FALSE
A630076J17Rik	chr3	FALSE	FALSE
A630089N07Rik	chr16	FALSE	FALSE
A630095N17Rik	chr1	FALSE	FALSE
A730009L09Rik	chr16	FALSE	FALSE
A730046J19Rik	chrX	FALSE	FALSE
A730049H05Rik	chr6	FALSE	FALSE
A830005F24Rik	chr13	FALSE	FALSE
A830018L16Rik	chr1	FALSE	TRUE
A830031A19Rik	chr11	FALSE	TRUE
A930003A15Rik	chr16	FALSE	FALSE
A930004D18Rik	chr2	FALSE	TRUE
A930009A15Rik	chr10	FALSE	TRUE
A930017K11Rik	chr17	FALSE	FALSE
A930018P22Rik	chr2	FALSE	FALSE
A930033H14Rik	chr10	FALSE	FALSE
AA467197	chr2	FALSE	FALSE
AA792892	chr5	FALSE	FALSE
AA986860	chr1	FALSE	FALSE
AAdacl4fm3	chr4	FALSE	FALSE
AB124611	chr9	FALSE	FALSE
AC124764.1	chr18	FALSE	FALSE
AC147806.2	chr1	FALSE	TRUE
AC151602.1	chr7	FALSE	FALSE
AC160405.1	chr10	TRUE	FALSE
AC166256.1	chr10	TRUE	FALSE
AC167036.1	chr1	FALSE	FALSE
AF067063	chr13	FALSE	FALSE
AI182371	chr2	FALSE	TRUE
AI413582	chr17	FALSE	FALSE
AI467606	chr7	FALSE	FALSE
AI593442	chr9	FALSE	FALSE
AI597479	chr1	FALSE	FALSE
AI661453	chr17	FALSE	TRUE
AI837181	chr19	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
AI987944	chr7	FALSE	FALSE
AL607142.1	chr4	TRUE	FALSE
AL646049.1	chrX	FALSE	TRUE
AL731706.1	chr2	TRUE	FALSE
AL805980.1	chrX	FALSE	FALSE
AL935121.1	chr2	FALSE	FALSE
AU015836	chrX	FALSE	FALSE
AU018091	chr7	FALSE	FALSE
AU021092	chr16	FALSE	FALSE
AU022252	chr4	FALSE	FALSE
AU040320	chr4	FALSE	FALSE
AU041133	chr10	FALSE	FALSE
AW146154	chr7	FALSE	FALSE
AW209491	chr13	FALSE	FALSE
AW549877	chr15	FALSE	FALSE
AW551984	chr9	FALSE	FALSE
AW554918	chr18	TRUE	TRUE
AY358078	chr14	FALSE	FALSE
AY761185	chr8	FALSE	FALSE
Aaas	chr15	FALSE	FALSE
Aacs	chr5	TRUE	FALSE
Aadac	chr3	FALSE	FALSE
Aadacl2	chr3	FALSE	FALSE
Aadacl2fm1	chr3	FALSE	FALSE
Aadacl2fm2	chr3	FALSE	FALSE
Aadacl2fm3	chr3	FALSE	FALSE
Aadacl3	chr4	FALSE	FALSE
Aadacl4	chr4	FALSE	FALSE
Aadacl4fm1	chr4	FALSE	FALSE
Aadacl4fm2	chr4	FALSE	FALSE
Aadacl4fm4	chr4	FALSE	FALSE
Aadacl4fm5	chr4	FALSE	FALSE
Aadat	chr8	FALSE	FALSE
Aagab	chr9	FALSE	FALSE
Aak1	chr6	TRUE	TRUE
Aamdc	chr7	FALSE	TRUE
Aamp	chr1	FALSE	FALSE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	TRUE
Aard	chr15	FALSE	FALSE
Aars	chr8	FALSE	FALSE
Aars2	chr17	TRUE	FALSE
Aarsd1	chr11	FALSE	FALSE
Aasdh	chr5	FALSE	FALSE
Aasdhppt	chr9	FALSE	FALSE
Aass	chr6	FALSE	TRUE
Aatf	chr11	FALSE	TRUE
Aatk	chr11	FALSE	FALSE
Abat	chr16	TRUE	TRUE
Abca1	chr4	TRUE	FALSE
Abca12	chr1	FALSE	FALSE
Abca13	chr11	FALSE	TRUE
Abca14	chr7	FALSE	FALSE
Abca15	chr7	FALSE	FALSE
Abca16	chr7	FALSE	TRUE
Abca17	chr17	FALSE	FALSE
Abca2	chr2	TRUE	FALSE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	TRUE	FALSE
Abca5	chr11	TRUE	FALSE
Abca6	chr11	FALSE	FALSE
Abca7	chr10	FALSE	FALSE
Abca8a	chr11	FALSE	TRUE
Abca8b	chr11	FALSE	FALSE
Abca9	chr11	FALSE	TRUE
Abcb10	chr8	FALSE	FALSE
Abcb11	chr2	FALSE	TRUE
Abcb1a	chr5	FALSE	FALSE
Abcb1b	chr5	FALSE	TRUE
Abcb4	chr5	FALSE	TRUE
Abcb5	chr12	FALSE	TRUE
Abcb6	chr1	FALSE	FALSE
Abcb7	chrX	FALSE	TRUE
Abcb8	chr5	FALSE	FALSE
Abcb9	chr5	TRUE	TRUE
Abcc1	chr16	TRUE	FALSE
Abcc10	chr17	FALSE	FALSE
Abcc12	chr8	TRUE	TRUE
Abcc2	chr19	FALSE	FALSE
Abcc3	chr11	FALSE	FALSE
Abcc4	chr14	TRUE	TRUE
Abcc5	chr16	FALSE	TRUE
Abcc6	chr7	FALSE	TRUE
Abcc8	chr7	FALSE	TRUE
Abcc9	chr6	FALSE	FALSE
Abcd1	chrX	FALSE	FALSE
Abcd2	chr15	FALSE	TRUE
Abcd3	chr3	TRUE	TRUE
Abcd4	chr12	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf1	chr17	FALSE	TRUE
Abcf2	chr5	FALSE	FALSE
Abcf3	chr16	FALSE	FALSE
Abcg1	chr17	TRUE	TRUE
Abcg2	chr6	FALSE	TRUE
Abcg3	chr5	FALSE	TRUE
Abcg4	chr9	FALSE	FALSE
Abcg5	chr17	FALSE	FALSE
Abcg8	chr17	FALSE	TRUE
Abhd10	chr16	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	TRUE	TRUE
Abhd12b	chr12	FALSE	FALSE
Abhd13	chr8	FALSE	FALSE
Abhd14a	chr9	FALSE	FALSE
Abhd14b	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	TRUE
Abhd16a	chr17	FALSE	FALSE
Abhd17a	chr10	FALSE	FALSE
Abhd17b	chr19	FALSE	FALSE
Abhd17c	chr7	TRUE	TRUE
Abhd18	chr3	FALSE	FALSE
Abhd2	chr7	TRUE	TRUE
Abhd3	chr18	TRUE	TRUE
Abhd4	chr14	FALSE	FALSE
Abhd5	chr9	FALSE	FALSE
Abhd6	chr14	TRUE	TRUE
Abhd8	chr8	FALSE	FALSE
Abi1	chr2	TRUE	TRUE
Abi2	chr1	TRUE	FALSE
Abi3	chr11	FALSE	TRUE
Abi3bp	chr16	TRUE	TRUE
Abitram	chr4	FALSE	FALSE
Abl1	chr2	FALSE	TRUE
Abl2	chr1	TRUE	TRUE
Ablim1	chr19	TRUE	TRUE
Ablim2	chr5	TRUE	TRUE
Ablim3	chr18	TRUE	TRUE
Abo	chr2	FALSE	FALSE
Abr	chr11	TRUE	TRUE
Abra	chr15	FALSE	FALSE
Abracl	chr10	FALSE	FALSE
Abraxas1	chr5	FALSE	FALSE
Abraxas2	chr7	FALSE	FALSE
Abt1	chr13	FALSE	FALSE
Abtb1	chr6	FALSE	FALSE
Abtb2	chr2	TRUE	TRUE
Acaa1a	chr9	FALSE	FALSE
Acaa1b	chr9	FALSE	FALSE
Acaa2	chr18	TRUE	FALSE
Acaca	chr11	FALSE	TRUE
Acacb	chr5	FALSE	TRUE
Acad10	chr5	FALSE	TRUE
Acad11	chr9	FALSE	TRUE
Acad12	chr5	FALSE	FALSE
Acad8	chr9	FALSE	FALSE
Acad9	chr3	FALSE	TRUE
Acadl	chr1	FALSE	FALSE
Acadm	chr3	TRUE	FALSE
Acads	chr5	FALSE	FALSE
Acadsb	chr7	FALSE	FALSE
Acadvl	chr11	FALSE	FALSE
Acan	chr7	FALSE	TRUE
Acap1	chr11	FALSE	FALSE
Acap2	chr16	TRUE	TRUE
Acap3	chr4	FALSE	FALSE
Acat1	chr9	FALSE	TRUE
Acat2	chr17	FALSE	FALSE
Acat3	chr17	FALSE	FALSE
Acbd3	chr1	FALSE	FALSE
Acbd4	chr11	TRUE	FALSE
Acbd5	chr2	FALSE	FALSE
Acbd6	chr1	TRUE	TRUE
Acbd7	chr2	FALSE	FALSE
Accs	chr2	FALSE	FALSE
Accsl	chr2	FALSE	FALSE
Acd	chr8	FALSE	FALSE
Ace	chr11	TRUE	TRUE
Ace2	chrX	TRUE	TRUE
Ace3	chr11	FALSE	FALSE
Acer1	chr17	FALSE	FALSE
Acer2	chr4	FALSE	TRUE
Acer3	chr7	FALSE	TRUE
Ache	chr5	FALSE	FALSE
Acin1	chr14	FALSE	FALSE
Ackr1	chr1	FALSE	TRUE
Ackr2	chr9	FALSE	FALSE
Ackr3	chr1	FALSE	FALSE
Ackr4	chr9	FALSE	FALSE
Acly	chr11	FALSE	TRUE
Acmsd	chr1	FALSE	FALSE
Acnat1	chr4	FALSE	TRUE
Acnat2	chr4	FALSE	FALSE
Aco1	chr4	FALSE	FALSE
Aco2	chr15	FALSE	TRUE
Acod1	chr14	FALSE	FALSE
Acot1	chr12	FALSE	FALSE
Acot11	chr4	FALSE	FALSE
Acot12	chr13	TRUE	FALSE
Acot13	chr13	TRUE	FALSE
Acot2	chr12	FALSE	FALSE
Acot3	chr12	FALSE	TRUE
Acot4	chr12	FALSE	FALSE
Acot5	chr12	FALSE	FALSE
Acot6	chr12	FALSE	FALSE
Acot7	chr4	TRUE	TRUE
Acot8	chr2	FALSE	FALSE
Acot9	chrX	FALSE	FALSE
Acox1	chr11	FALSE	TRUE
Acox2	chr14	FALSE	FALSE
Acox3	chr5	FALSE	TRUE
Acoxl	chr2	TRUE	TRUE
Acp1	chr12	FALSE	FALSE
Acp2	chr2	FALSE	FALSE
Acp4	chr7	FALSE	FALSE
Acp5	chr9	FALSE	FALSE
Acp6	chr3	FALSE	FALSE
Acp7	chr7	FALSE	FALSE
Acpp	chr9	FALSE	FALSE
Acr	chr15	FALSE	FALSE
Acrbp	chr6	FALSE	FALSE
Acrv1	chr9	FALSE	FALSE
Acsbg1	chr9	TRUE	FALSE
Acsbg2	chr17	FALSE	FALSE
Acsbg3	chr17	FALSE	FALSE
Acsf2	chr11	FALSE	TRUE
Acsf3	chr8	TRUE	TRUE
Acsl1	chr8	TRUE	FALSE
Acsl3	chr1	TRUE	TRUE
Acsl4	chrX	TRUE	FALSE
Acsl5	chr19	FALSE	FALSE
Acsl6	chr11	FALSE	TRUE
Acsm1	chr7	FALSE	FALSE
Acsm2	chr7	FALSE	FALSE
Acsm3	chr7	FALSE	FALSE
Acsm4	chr7	FALSE	FALSE
Acsm5	chr7	FALSE	FALSE
Acss1	chr2	FALSE	FALSE
Acss2	chr2	FALSE	TRUE
Acss3	chr10	FALSE	TRUE
Acta1	chr8	FALSE	FALSE
