gene_name	chr	mch_hyper	ov_k27ac_gained
4930470P17Rik	chr2	FALSE	FALSE
4930505A04Rik	chr11	TRUE	FALSE
4930523C07Rik	chr1	TRUE	FALSE
4930563M21Rik	chr9	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
4930568D16Rik	chr2	FALSE	FALSE
4931406P16Rik	chr7	FALSE	FALSE
4931428F04Rik	chr8	TRUE	FALSE
4931428L18Rik	chr1	TRUE	FALSE
4931429L15Rik	chr9	FALSE	FALSE
4932414N04Rik	chr2	FALSE	FALSE
4932438H23Rik	chr16	FALSE	FALSE
4933417A18Rik	chr13	FALSE	FALSE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	FALSE
4933428G20Rik	chr11	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
5330417C22Rik	chr3	FALSE	FALSE
5730480H06Rik	chr5	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
6330411D24Rik	chr4	TRUE	FALSE
6430548M08Rik	chr8	FALSE	TRUE
6430550D23Rik	chr2	FALSE	FALSE
7420426K07Rik	chr9	FALSE	FALSE
7530416G11Rik	chr15	FALSE	FALSE
8030462N17Rik	chr18	FALSE	FALSE
9130401M01Rik	chr15	TRUE	FALSE
9330182L06Rik	chr5	FALSE	FALSE
9430038I01Rik	chr7	FALSE	TRUE
9530053A07Rik	chr7	FALSE	FALSE
9930021J03Rik	chr19	FALSE	FALSE
A330070K13Rik	chr5	TRUE	FALSE
A430005L14Rik	chr4	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A630001G21Rik	chr1	FALSE	FALSE
A630010A05Rik	chr16	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
A830018L16Rik	chr1	FALSE	TRUE
A830031A19Rik	chr11	FALSE	FALSE
A930004D18Rik	chr2	TRUE	FALSE
A930009A15Rik	chr10	TRUE	FALSE
AC147806.2	chr1	FALSE	FALSE
AI182371	chr2	FALSE	FALSE
AI661453	chr17	FALSE	FALSE
AL646049.1	chrX	FALSE	FALSE
AW554918	chr18	FALSE	FALSE
Aak1	chr6	FALSE	TRUE
Aamdc	chr7	FALSE	FALSE
Aar2	chr2	FALSE	TRUE
Aass	chr6	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Abca13	chr11	TRUE	FALSE
Abca16	chr7	FALSE	FALSE
Abca8a	chr11	FALSE	FALSE
Abca9	chr11	FALSE	FALSE
Abcb11	chr2	FALSE	FALSE
Abcb1b	chr5	FALSE	FALSE
Abcb4	chr5	FALSE	FALSE
Abcb5	chr12	FALSE	FALSE
Abcb7	chrX	FALSE	FALSE
Abcb9	chr5	FALSE	FALSE
Abcc12	chr8	TRUE	FALSE
Abcc4	chr14	FALSE	TRUE
Abcc5	chr16	FALSE	FALSE
Abcc6	chr7	FALSE	FALSE
Abcc8	chr7	FALSE	TRUE
Abcd2	chr15	FALSE	FALSE
Abcd3	chr3	FALSE	FALSE
Abcf1	chr17	FALSE	FALSE
Abcg1	chr17	FALSE	TRUE
Abcg2	chr6	FALSE	FALSE
Abcg3	chr5	FALSE	FALSE
Abcg8	chr17	FALSE	FALSE
Abhd12	chr2	FALSE	TRUE
Abhd15	chr11	FALSE	FALSE
Abhd17c	chr7	FALSE	FALSE
Abhd2	chr7	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Abhd6	chr14	FALSE	FALSE
Abi1	chr2	FALSE	TRUE
Abi3	chr11	FALSE	FALSE
Abi3bp	chr16	FALSE	FALSE
Abl1	chr2	FALSE	TRUE
Abl2	chr1	FALSE	FALSE
Ablim1	chr19	FALSE	TRUE
Ablim2	chr5	FALSE	FALSE
Ablim3	chr18	FALSE	TRUE
Abr	chr11	FALSE	FALSE
Abtb2	chr2	TRUE	FALSE
Acaca	chr11	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Acad10	chr5	FALSE	FALSE
Acad11	chr9	FALSE	FALSE
Acad9	chr3	FALSE	FALSE
Acan	chr7	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Acat1	chr9	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Ace	chr11	FALSE	FALSE
Ace2	chrX	TRUE	FALSE
Acer2	chr4	FALSE	FALSE
Acer3	chr7	FALSE	FALSE
Ackr1	chr1	FALSE	TRUE
Acly	chr11	FALSE	FALSE
Acnat1	chr4	FALSE	FALSE
Aco2	chr15	FALSE	FALSE
Acot3	chr12	FALSE	FALSE
Acot7	chr4	FALSE	FALSE
Acox1	chr11	FALSE	FALSE
Acox3	chr5	FALSE	FALSE
Acoxl	chr2	FALSE	FALSE
Acsf2	chr11	FALSE	FALSE
Acsf3	chr8	FALSE	FALSE
Acsl3	chr1	FALSE	FALSE
Acsl6	chr11	FALSE	TRUE
Acss2	chr2	FALSE	FALSE
Acss3	chr10	FALSE	FALSE
Actg2	chr6	TRUE	FALSE
Actl6b	chr5	FALSE	FALSE
Actn1	chr12	FALSE	TRUE
Actn4	chr7	FALSE	TRUE
Actr2	chr11	FALSE	FALSE
Actr3b	chr5	FALSE	FALSE
Acvr1	chr2	FALSE	FALSE
Acvr1b	chr15	FALSE	TRUE
Acvr2a	chr2	FALSE	FALSE
Ada	chr2	FALSE	FALSE
Adad1	chr3	FALSE	FALSE
Adam10	chr9	FALSE	FALSE
Adam12	chr7	TRUE	FALSE
Adam17	chr12	FALSE	FALSE
Adam18	chr8	FALSE	FALSE
Adam22	chr5	FALSE	TRUE
Adam23	chr1	FALSE	FALSE
Adam28	chr14	FALSE	FALSE
Adam32	chr8	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Adamts12	chr15	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Adamts16	chr13	TRUE	TRUE
Adamts17	chr7	FALSE	FALSE
Adamts18	chr8	TRUE	FALSE
Adamts2	chr11	FALSE	FALSE
Adamts3	chr5	FALSE	FALSE
Adamts9	chr6	FALSE	FALSE
Adamtsl1	chr4	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Adamtsl5	chr10	FALSE	FALSE
Adarb1	chr10	FALSE	TRUE
Adarb2	chr13	FALSE	FALSE
Adck1	chr12	FALSE	FALSE
Adck2	chr6	FALSE	FALSE
Adcy1	chr11	FALSE	TRUE
Adcy10	chr1	FALSE	FALSE
Adcy2	chr13	FALSE	FALSE
Adcy3	chr12	FALSE	FALSE
Adcy4	chr14	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Adcy6	chr15	FALSE	TRUE
Adcy7	chr8	FALSE	FALSE
Adcy9	chr16	FALSE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Add1	chr5	FALSE	TRUE
Add2	chr6	FALSE	TRUE
Adgra1	chr7	FALSE	TRUE
Adgra2	chr8	FALSE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	FALSE	TRUE
Adgrb2	chr4	FALSE	FALSE
Adgrb3	chr1	FALSE	TRUE
Adgrd1	chr5	FALSE	FALSE
Adgre1	chr17	FALSE	FALSE
Adgre4	chr17	FALSE	FALSE
Adgrf1	chr17	FALSE	FALSE
Adgrf4	chr17	FALSE	FALSE
Adgrg4	chrX	FALSE	FALSE
Adgrg7	chr16	FALSE	FALSE
Adgrl2	chr3	FALSE	TRUE
Adgrv1	chr13	FALSE	FALSE
Adk	chr14	FALSE	FALSE
Adnp	chr2	FALSE	TRUE
Adora1	chr1	FALSE	TRUE
Adora2b	chr11	FALSE	FALSE
Adora3	chr3	FALSE	FALSE
Adra1b	chr11	FALSE	FALSE
Adra1d	chr2	FALSE	FALSE
Adssl1	chr12	FALSE	TRUE
Aebp2	chr6	FALSE	FALSE
Aen	chr7	FALSE	FALSE
Afap1	chr5	FALSE	TRUE
Afdn	chr17	FALSE	FALSE
Aff2	chrX	TRUE	FALSE
Aff3	chr1	FALSE	TRUE
Afg1l	chr10	FALSE	FALSE
Afg3l1	chr8	FALSE	FALSE
Afg3l2	chr18	FALSE	FALSE
Afmid	chr11	FALSE	FALSE
Aftph	chr11	FALSE	FALSE
Agap1	chr1	FALSE	TRUE
Agap2	chr10	FALSE	FALSE
Agap3	chr5	FALSE	TRUE
Agbl1	chr7	TRUE	FALSE
Agbl2	chr2	TRUE	TRUE
Agbl4	chr4	FALSE	FALSE
Ago1	chr4	FALSE	FALSE
Ago2	chr15	FALSE	FALSE
Agpat3	chr10	FALSE	TRUE
Agpat4	chr17	FALSE	FALSE
Agps	chr2	FALSE	FALSE
Agrp	chr8	FALSE	TRUE
Agt	chr8	FALSE	FALSE
Agtpbp1	chr13	FALSE	TRUE
Ahcyl2	chr6	FALSE	FALSE
Ahdc1	chr4	FALSE	TRUE
Ahr	chr12	FALSE	FALSE
Aif1l	chr2	FALSE	FALSE
Aim2	chr1	TRUE	TRUE
Ajuba	chr14	FALSE	FALSE
Ak1	chr2	FALSE	FALSE
Ak5	chr3	FALSE	FALSE
Ak9	chr10	FALSE	FALSE
Akap10	chr11	FALSE	FALSE
Akap12	chr10	FALSE	FALSE
Akap6	chr12	FALSE	TRUE
Akap9	chr5	FALSE	FALSE
Akip1	chr7	TRUE	FALSE
Aknad1	chr3	FALSE	FALSE
Akr1d1	chr6	TRUE	FALSE
Akt3	chr1	FALSE	TRUE
Aktip	chr8	FALSE	FALSE
Albfm1	chr5	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Aldh1l2	chr10	FALSE	FALSE
Aldh2	chr5	FALSE	FALSE
Aldh3b3	chr19	FALSE	FALSE
Aldh4a1	chr4	FALSE	FALSE
Aldh5a1	chr13	FALSE	FALSE
Alg8	chr7	TRUE	FALSE
Alg9	chr9	FALSE	FALSE
Alk	chr17	FALSE	TRUE
Alkbh6	chr7	FALSE	FALSE
Alms1	chr6	FALSE	FALSE
Alox12	chr11	FALSE	FALSE
Alox5	chr6	FALSE	FALSE
Alpk1	chr3	FALSE	FALSE
Alpk2	chr18	FALSE	FALSE
Alpl	chr4	FALSE	FALSE
Als2	chr1	FALSE	TRUE
Alx1	chr10	FALSE	FALSE
Alx3	chr3	FALSE	FALSE
Alx4	chr2	FALSE	FALSE
Ambra1	chr2	FALSE	TRUE
Amer2	chr14	TRUE	FALSE
Ammecr1	chrX	FALSE	TRUE
Amotl1	chr9	FALSE	TRUE
Amph	chr13	FALSE	TRUE
Anapc1	chr2	FALSE	FALSE
Anapc15	chr7	FALSE	FALSE
Anapc4	chr5	FALSE	FALSE
Anapc5	chr5	FALSE	FALSE
Angel1	chr12	TRUE	FALSE
Angpt1	chr15	FALSE	FALSE
Angpt4	chr2	FALSE	FALSE
Angptl2	chr2	FALSE	TRUE
Ank	chr15	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Ank2	chr3	FALSE	TRUE
Ankar	chr1	FALSE	FALSE
Ankdd1b	chr13	FALSE	FALSE
Ankef1	chr2	TRUE	FALSE
Ankfn1	chr11	FALSE	FALSE
Ankfy1	chr11	FALSE	FALSE
Ankhd1	chr18	FALSE	FALSE
Ankib1	chr5	FALSE	FALSE
Ankmy1	chr1	FALSE	FALSE
Ankrd10	chr8	FALSE	TRUE
Ankrd11	chr8	FALSE	TRUE
Ankrd12	chr17	FALSE	FALSE
Ankrd13a	chr5	FALSE	TRUE
Ankrd26	chr6	FALSE	FALSE
Ankrd27	chr7	FALSE	FALSE
Ankrd34b	chr13	FALSE	FALSE
Ankrd35	chr3	FALSE	FALSE
Ankrd36	chr11	FALSE	FALSE
Ankrd44	chr1	FALSE	FALSE
Ankrd50	chr3	TRUE	FALSE
Ankrd55	chr13	FALSE	FALSE
Ankrd6	chr4	FALSE	FALSE
Ankrd63	chr2	FALSE	FALSE
Anks1	chr17	FALSE	TRUE
Anks1b	chr10	FALSE	TRUE
Anks4b	chr7	TRUE	FALSE
Anks6	chr4	FALSE	FALSE
Ankub1	chr3	FALSE	FALSE
Ano10	chr9	FALSE	FALSE
Ano3	chr2	TRUE	FALSE
Ano4	chr10	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Ano6	chr15	FALSE	FALSE
Ano7	chr1	FALSE	FALSE
Ano9	chr7	FALSE	FALSE
Anpep	chr7	FALSE	FALSE
Antxr1	chr6	FALSE	FALSE
Antxr2	chr5	TRUE	FALSE
Anxa2	chr9	FALSE	FALSE
Anxa6	chr11	FALSE	FALSE
Anxa8	chr14	FALSE	FALSE
Aopep	chr13	FALSE	TRUE
Aox1	chr1	TRUE	FALSE
Aox2	chr1	FALSE	FALSE
Aox4	chr1	TRUE	FALSE
Ap1b1	chr11	FALSE	TRUE
Ap1g1	chr8	FALSE	TRUE
Ap1s3	chr1	FALSE	FALSE
Ap2b1	chr11	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Ap3b2	chr7	FALSE	FALSE
Ap3s1	chr18	FALSE	FALSE
Ap3s2	chr7	FALSE	FALSE
Ap4e1	chr2	FALSE	FALSE
Ap4m1	chr5	FALSE	FALSE
Ap5m1	chr14	FALSE	FALSE
Apba1	chr19	FALSE	FALSE
Apba2	chr7	FALSE	TRUE
Apbb2	chr5	FALSE	FALSE
Apc	chr18	FALSE	TRUE
Apcs	chr1	TRUE	FALSE
Apip	chr2	FALSE	FALSE
Aplp2	chr9	FALSE	TRUE
Apmap	chr2	FALSE	FALSE
Apobec1	chr6	FALSE	FALSE
Apobec3	chr15	FALSE	FALSE
Apoh	chr11	FALSE	FALSE
Apol11b	chr15	FALSE	FALSE
Apol7b	chr15	FALSE	FALSE
Apol7e	chr15	FALSE	FALSE
App	chr16	FALSE	TRUE
Aqp6	chr15	TRUE	FALSE
Aqp7	chr4	FALSE	FALSE
Aqr	chr2	FALSE	FALSE
Araf	chrX	FALSE	FALSE
Arap1	chr7	FALSE	FALSE
Arap2	chr5	TRUE	FALSE
Arel1	chr12	FALSE	FALSE
Arf2	chr11	FALSE	FALSE
Arfgap1	chr2	FALSE	FALSE
Arfgap3	chr15	FALSE	FALSE
Arfgef2	chr2	FALSE	FALSE
Arfgef3	chr10	FALSE	FALSE
Arfip1	chr3	FALSE	FALSE
Arglu1	chr8	FALSE	FALSE
Arhgap1	chr2	FALSE	FALSE
Arhgap10	chr8	FALSE	TRUE
Arhgap12	chr18	FALSE	FALSE
Arhgap18	chr10	FALSE	FALSE
Arhgap20	chr9	FALSE	TRUE
Arhgap21	chr2	FALSE	TRUE
Arhgap23	chr11	FALSE	FALSE
Arhgap24	chr5	FALSE	FALSE
Arhgap25	chr6	FALSE	FALSE
Arhgap26	chr18	TRUE	FALSE
Arhgap27	chr11	FALSE	TRUE
Arhgap31	chr16	FALSE	FALSE
Arhgap33	chr7	FALSE	FALSE
Arhgap33os	chr7	FALSE	FALSE
Arhgap35	chr7	FALSE	TRUE
Arhgap39	chr15	FALSE	FALSE
Arhgap42	chr9	FALSE	FALSE
Arhgap44	chr11	FALSE	TRUE
Arhgap5	chr12	FALSE	FALSE
Arhgap8	chr15	FALSE	FALSE
Arhgef10l	chr4	FALSE	TRUE
Arhgef11	chr3	FALSE	FALSE
Arhgef12	chr9	FALSE	TRUE
Arhgef17	chr7	FALSE	TRUE
Arhgef18	chr8	FALSE	FALSE
Arhgef19	chr4	FALSE	FALSE
Arhgef26	chr3	FALSE	FALSE
Arhgef3	chr14	TRUE	TRUE
Arhgef33	chr17	FALSE	FALSE
Arhgef37	chr18	TRUE	FALSE
Arhgef38	chr3	TRUE	FALSE
Arhgef4	chr1	FALSE	TRUE
Arhgef40	chr14	FALSE	TRUE
Arhgef6	chrX	FALSE	FALSE
Arhgef7	chr8	FALSE	TRUE
Arid1a	chr4	FALSE	TRUE
Arid1b	chr17	FALSE	TRUE
Arid2	chr15	FALSE	TRUE
Arid3a	chr10	FALSE	FALSE
Arid4a	chr12	FALSE	FALSE
Arid4b	chr13	FALSE	FALSE
Arid5b	chr10	FALSE	FALSE
Arih1	chr9	FALSE	FALSE
Arl13a	chrX	FALSE	FALSE
Arl13b	chr16	FALSE	FALSE
Arl15	chr13	FALSE	FALSE
Arl2bp	chr8	FALSE	FALSE
Arl4a	chr12	FALSE	FALSE
Arl5a	chr2	FALSE	TRUE
Armc2	chr10	TRUE	FALSE
Armc6	chr8	FALSE	FALSE
Armc7	chr11	TRUE	FALSE
Armc8	chr9	FALSE	FALSE
Armh3	chr19	FALSE	FALSE
Armh4	chr14	TRUE	FALSE
Arnt2	chr7	FALSE	FALSE
Arpc4	chr6	FALSE	FALSE
Arpp21	chr9	FALSE	TRUE
Arrb1	chr7	FALSE	FALSE
Arrdc4	chr7	TRUE	FALSE
Arsg	chr11	TRUE	FALSE
Arsj	chr3	FALSE	FALSE
Arvcf	chr16	FALSE	FALSE
As3mt	chr19	FALSE	FALSE
Asah2	chr19	FALSE	FALSE
Asap1	chr15	FALSE	FALSE
Asap3	chr4	FALSE	FALSE
Asb14	chr14	FALSE	FALSE
Asb15	chr6	TRUE	FALSE
Asb18	chr1	FALSE	FALSE
Asb3	chr11	FALSE	FALSE
Asb6	chr2	FALSE	FALSE
Asb7	chr7	FALSE	FALSE
Ascc1	chr10	FALSE	FALSE
Ascc2	chr11	FALSE	FALSE
Ascc3	chr10	FALSE	FALSE
Ash1l	chr3	FALSE	TRUE
Asic2	chr11	FALSE	TRUE
Asic4	chr1	FALSE	FALSE
Asphd2	chr5	FALSE	FALSE
Aspscr1	chr11	FALSE	FALSE
Ass1	chr2	FALSE	FALSE
Astn2	chr4	FALSE	TRUE
Asxl1	chr2	FALSE	FALSE
Asxl2	chr12	FALSE	FALSE
Atad2b	chr12	FALSE	FALSE
Ate1	chr7	FALSE	TRUE
Atf1	chr15	FALSE	TRUE
Atf2	chr2	FALSE	FALSE
Atf3	chr1	FALSE	TRUE
Atf7	chr15	FALSE	TRUE
Atf7ip2	chr16	FALSE	FALSE
Atg13	chr2	FALSE	FALSE
Atg2b	chr12	FALSE	FALSE
Atg4b	chr1	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Atg4d	chr9	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Atg9b	chr5	FALSE	FALSE
Atl2	chr17	FALSE	FALSE
Atl3	chr19	FALSE	FALSE
Atm	chr9	FALSE	FALSE
Atoh8	chr6	TRUE	FALSE
Atp11a	chr8	FALSE	TRUE
Atp11b	chr3	FALSE	FALSE
Atp11c	chrX	FALSE	TRUE
Atp13a3	chr16	FALSE	FALSE
Atp13a5	chr16	FALSE	FALSE
Atp1a1	chr3	FALSE	TRUE
Atp1a4	chr1	TRUE	FALSE
Atp2a2	chr5	FALSE	FALSE
Atp2b1	chr10	FALSE	TRUE
Atp2b2	chr6	FALSE	TRUE
Atp2b3	chrX	FALSE	TRUE
Atp2b4	chr1	FALSE	FALSE
Atp4b	chr8	FALSE	FALSE
Atp5d	chr10	TRUE	FALSE
Atp5o	chr16	FALSE	TRUE
Atp6v0a1	chr11	FALSE	FALSE
Atp6v0a4	chr6	FALSE	FALSE
Atp6v0d1	chr8	FALSE	TRUE
Atp6v1a	chr16	FALSE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Atp6v1g3	chr1	FALSE	FALSE
Atp6v1h	chr1	FALSE	FALSE
Atp7a	chrX	FALSE	FALSE
Atp7b	chr8	FALSE	FALSE
Atp8a1	chr5	FALSE	TRUE
Atp8a2	chr14	FALSE	FALSE
Atp8b1	chr18	FALSE	FALSE
Atp8b3	chr10	FALSE	FALSE
Atp8b4	chr2	FALSE	FALSE
Atp8b5	chr4	FALSE	FALSE
Atp9a	chr2	FALSE	TRUE
Atp9b	chr18	FALSE	FALSE
Atr	chr9	FALSE	FALSE
Atrn	chr2	FALSE	FALSE
Atrnl1	chr19	FALSE	FALSE
Atrx	chrX	FALSE	FALSE
Atxn1	chr13	FALSE	TRUE
Atxn10	chr15	FALSE	TRUE
Atxn2	chr5	FALSE	TRUE
Atxn3	chr12	FALSE	FALSE
Atxn7	chr14	FALSE	FALSE
Atxn7l1	chr12	FALSE	FALSE
Auh	chr13	FALSE	TRUE
Auts2	chr5	FALSE	TRUE
Aven	chr2	FALSE	FALSE
Awat2	chrX	FALSE	FALSE
Axdnd1	chr1	FALSE	FALSE
Azin2	chr4	FALSE	FALSE
B230118H07Rik	chr2	TRUE	FALSE
B3galt5	chr16	FALSE	TRUE
B3gat1	chr9	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
B3gnt7	chr1	FALSE	TRUE
B4galt1	chr4	FALSE	FALSE
B4galt7	chr13	FALSE	FALSE
B9d1	chr11	FALSE	TRUE
BC004004	chr17	FALSE	FALSE
BC034090	chr1	FALSE	FALSE
BC048562	chr9	TRUE	FALSE
BC051019	chr7	FALSE	FALSE
BC052040	chr2	FALSE	FALSE
BC147527	chr13	FALSE	FALSE
Bach1	chr16	FALSE	FALSE
Bag5	chr12	FALSE	FALSE
Bahcc1	chr11	FALSE	FALSE
Bahd1	chr2	FALSE	TRUE
Baiap2	chr11	FALSE	TRUE
Baiap3	chr17	FALSE	FALSE
Bak1	chr17	FALSE	FALSE
Bank1	chr3	TRUE	FALSE
Banp	chr8	FALSE	FALSE
Barhl1	chr2	FALSE	TRUE
Barx2	chr9	FALSE	FALSE
Basp1	chr15	TRUE	TRUE
Batf	chr12	FALSE	FALSE
Baz1a	chr12	FALSE	FALSE
Baz1b	chr5	FALSE	TRUE
Baz2b	chr2	FALSE	TRUE
Bbs4	chr9	FALSE	FALSE
Bbs9	chr9	FALSE	FALSE
Bbx	chr16	FALSE	FALSE
Bcar1	chr8	FALSE	FALSE
Bcar3	chr3	FALSE	FALSE
Bcas1	chr2	FALSE	FALSE
Bcas3	chr11	FALSE	FALSE
Bcat1	chr6	FALSE	TRUE
Bckdhb	chr9	FALSE	FALSE
Bcl11a	chr11	TRUE	FALSE
Bcl2l13	chr6	FALSE	FALSE
Bcl2l15	chr3	TRUE	FALSE
Bcl9	chr3	FALSE	FALSE
Bco1	chr8	FALSE	FALSE
Bco2	chr9	FALSE	FALSE
Bcor	chrX	FALSE	FALSE
Bcorl1	chrX	FALSE	FALSE
Bcr	chr10	FALSE	TRUE
Bdkrb2	chr12	FALSE	FALSE
Bdnf	chr2	TRUE	FALSE
Bdp1	chr13	FALSE	FALSE
Begain	chr12	FALSE	FALSE
Bend3	chr10	FALSE	FALSE
Bend6	chr1	FALSE	FALSE
Bend7	chr2	FALSE	FALSE
Bex6	chr16	TRUE	FALSE
Bfsp2	chr9	FALSE	FALSE
Bhlhe40	chr6	TRUE	FALSE
Bhmt	chr13	TRUE	FALSE
Bicd1	chr6	FALSE	FALSE
Bicd2	chr13	FALSE	TRUE
Bicdl1	chr5	FALSE	TRUE
Bicra	chr7	FALSE	FALSE
Bicral	chr17	FALSE	TRUE
Bin1	chr18	FALSE	TRUE
Birc6	chr17	FALSE	FALSE
Blk	chr14	FALSE	FALSE
Blm	chr7	FALSE	FALSE
Blmh	chr11	FALSE	FALSE
Blnk	chr19	FALSE	FALSE
Bmerb1	chr16	FALSE	TRUE
Bmp10	chr6	FALSE	FALSE
Bmp2k	chr5	FALSE	FALSE
Bmp5	chr9	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Bmp8b	chr4	FALSE	FALSE
Bmper	chr9	TRUE	TRUE
Bmpr1a	chr14	FALSE	FALSE
Bmpr1b	chr3	FALSE	FALSE
Bmpr2	chr1	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Bnc2	chr4	FALSE	FALSE
Bnip5	chr17	FALSE	FALSE
Boll	chr1	FALSE	FALSE
Bora	chr14	TRUE	FALSE
Bpi	chr2	FALSE	FALSE
Bpifb9b	chr2	FALSE	FALSE
Bptf	chr11	FALSE	TRUE
Braf	chr6	FALSE	FALSE
Brca1	chr11	FALSE	FALSE
Brd3	chr2	FALSE	FALSE
Brd4	chr17	FALSE	TRUE
Brd7	chr8	FALSE	FALSE
Brf1	chr12	FALSE	FALSE
Bri3	chr5	FALSE	FALSE
Brinp1	chr4	FALSE	TRUE
Brinp2	chr1	TRUE	FALSE
Brinp3	chr1	TRUE	FALSE
Brip1	chr11	FALSE	FALSE
Brpf3	chr17	FALSE	TRUE
Brsk2	chr7	FALSE	TRUE
Brwd1	chr16	FALSE	FALSE
Brwd3	chrX	FALSE	FALSE
Btaf1	chr19	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Btbd11	chr10	FALSE	FALSE
Btbd16	chr7	FALSE	FALSE
Btbd17	chr11	TRUE	FALSE
Btbd3	chr2	TRUE	FALSE
Btbd7	chr12	FALSE	FALSE
Btbd8	chr5	TRUE	FALSE
Btbd9	chr17	FALSE	FALSE
Btg1c	chrX	FALSE	FALSE
Btg3	chr16	FALSE	FALSE
Btrc	chr19	FALSE	FALSE
Bub1b	chr2	FALSE	FALSE
Bysl	chr17	FALSE	TRUE
C130026I21Rik	chr1	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
C1qtnf1	chr11	FALSE	FALSE
C1qtnf7	chr5	FALSE	FALSE
C2cd3	chr7	FALSE	FALSE
C2cd5	chr6	FALSE	FALSE
C530008M17Rik	chr5	FALSE	FALSE
C5ar1	chr7	FALSE	FALSE
C6	chr15	TRUE	FALSE
C8a	chr4	FALSE	FALSE
CK137956	chr4	FALSE	FALSE
CN725425	chr15	FALSE	FALSE
Cab39	chr1	FALSE	TRUE
Cab39l	chr14	FALSE	FALSE
Cabcoco1	chr10	TRUE	FALSE
Cabin1	chr10	TRUE	FALSE
Cables1	chr18	FALSE	TRUE
Cabp4	chr19	FALSE	FALSE
Cabp7	chr11	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Cacna1a	chr8	FALSE	TRUE
Cacna1b	chr2	FALSE	TRUE
Cacna1c	chr6	FALSE	TRUE
