gene_name	chr	in_a_compartment	mch_sig
Ralgps1	chr2	TRUE	TRUE
Pex14	chr4	TRUE	TRUE
Ift57	chr16	TRUE	TRUE
Snph	chr2	TRUE	TRUE
Elp4	chr2	TRUE	TRUE
Dagla	chr19	TRUE	TRUE
Nkain3	chr4	FALSE	TRUE
Kctd8	chr5	TRUE	TRUE
Gtf3c1	chr7	TRUE	TRUE
Slc5a10	chr11	TRUE	TRUE
Ebf2	chr14	FALSE	TRUE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	TRUE	TRUE
Sdk1	chr5	FALSE	TRUE
Prkca	chr11	FALSE	TRUE
Mark1	chr1	TRUE	TRUE
Galnt7	chr8	TRUE	TRUE
Rnf165	chr18	TRUE	TRUE
Celf4	chr18	TRUE	TRUE
Epha5	chr5	FALSE	TRUE
Foxn3	chr12	TRUE	TRUE
Psd3	chr8	FALSE	TRUE
Pcsk5	chr19	FALSE	TRUE
Clybl	chr14	TRUE	TRUE
Asb15	chr6	TRUE	TRUE
Cep350	chr1	TRUE	TRUE
Prickle2	chr6	FALSE	TRUE
Npvf	chr6	TRUE	TRUE
Alk	chr17	FALSE	TRUE
Slc17a6	chr7	FALSE	TRUE
Prkcb	chr7	TRUE	TRUE
Adam22	chr5	TRUE	TRUE
Itgb5	chr16	TRUE	TRUE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	TRUE	TRUE
Lpp	chr16	TRUE	TRUE
Runx1	chr16	FALSE	TRUE
Vav2	chr2	FALSE	TRUE
Astn2	chr4	TRUE	TRUE
Faf1	chr4	TRUE	TRUE
Grip1	chr10	FALSE	TRUE
Dip2c	chr13	TRUE	TRUE
Sh3pxd2a	chr19	TRUE	TRUE
Nbea	chr3	TRUE	TRUE
Bahcc1	chr11	TRUE	TRUE
Hcn1	chr13	TRUE	TRUE
Commd1	chr11	FALSE	TRUE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	TRUE	TRUE
Fbh1	chr2	FALSE	TRUE
Ptprk	chr10	FALSE	TRUE
Zfpm2	chr15	TRUE	TRUE
Rab3c	chr13	TRUE	TRUE
Ambra1	chr2	TRUE	TRUE
Ahcyl2	chr6	TRUE	TRUE
Focad	chr4	TRUE	TRUE
Grin2a	chr16	TRUE	TRUE
Mbd5	chr2	TRUE	TRUE
Zbtb40	chr4	TRUE	TRUE
Samd12	chr15	TRUE	TRUE
Slc24a3	chr2	FALSE	TRUE
Sema5b	chr16	TRUE	TRUE
Dapk1	chr13	FALSE	TRUE
Cdk15	chr1	TRUE	TRUE
Adamts14	chr10	TRUE	TRUE
Ryr2	chr13	TRUE	TRUE
Vps13d	chr4	TRUE	TRUE
Isx	chr8	FALSE	TRUE
Slc39a11	chr11	FALSE	TRUE
Fam72a	chr1	TRUE	TRUE
Ercc8	chr13	TRUE	TRUE
Bank1	chr3	TRUE	TRUE
Lrrc36	chr8	TRUE	TRUE
Wipf3	chr6	TRUE	TRUE
Mvb12b	chr2	TRUE	TRUE
Ptprg	chr14	TRUE	TRUE
Commd1b	chr11	FALSE	TRUE
Optn	chr2	TRUE	TRUE
Rxra	chr2	TRUE	TRUE
Gnaq	chr19	TRUE	TRUE
Cacnb4	chr2	TRUE	TRUE
Adgrb3	chr1	TRUE	TRUE
Fam83g	chr11	TRUE	TRUE
Tbc1d30	chr10	TRUE	TRUE
Col5a1	chr2	TRUE	TRUE
Syn2	chr6	TRUE	TRUE
Trio	chr15	TRUE	TRUE
Rap1gap2	chr11	TRUE	TRUE
Rgs7	chr1	TRUE	TRUE
Dis3l2	chr1	TRUE	TRUE
Pld5	chr1	TRUE	TRUE
Kcnj6	chr16	TRUE	TRUE
Ablim2	chr5	TRUE	TRUE
Rora	chr9	TRUE	TRUE
Rbfox1	chr16	TRUE	TRUE
Adk	chr14	TRUE	TRUE
Trp73	chr4	TRUE	TRUE
5330417C22Rik	chr3	TRUE	TRUE
Fgf14	chr14	TRUE	TRUE
Kcnn3	chr3	TRUE	TRUE
Baz2b	chr2	TRUE	TRUE
Dnah11	chr12	TRUE	TRUE
Tbc1d1	chr5	TRUE	TRUE
Btbd9	chr17	TRUE	TRUE
Syt6	chr3	TRUE	TRUE
Lrfn2	chr17	FALSE	TRUE
Syt1	chr10	TRUE	TRUE
Nek7	chr1	FALSE	TRUE
Sema3a	chr5	FALSE	TRUE
Fto	chr8	TRUE	TRUE
Dst	chr1	TRUE	TRUE
Dkk3	chr7	TRUE	TRUE
Zfp423	chr8	TRUE	TRUE
Gse1	chr8	TRUE	TRUE
Robo2	chr16	FALSE	TRUE
Ascc3	chr10	TRUE	TRUE
Gabrb3	chr7	TRUE	TRUE
Nr6a1	chr2	TRUE	TRUE
Bcl2l15	chr3	TRUE	TRUE
Fam20c	chr5	TRUE	TRUE
Cfap61	chr2	FALSE	TRUE
Snd1	chr6	TRUE	TRUE
Sik3	chr9	TRUE	TRUE
Glt8d2	chr10	TRUE	TRUE
Sh3gl3	chr7	FALSE	TRUE
Xkr6	chr14	TRUE	TRUE
Hspg2	chr4	TRUE	TRUE
Pdlim7	chr13	TRUE	TRUE
Supt3	chr17	FALSE	TRUE
Ints9	chr14	TRUE	TRUE
Eefsec	chr6	TRUE	TRUE
Lct	chr1	TRUE	TRUE
Cenpf	chr1	TRUE	TRUE
Itfg1	chr8	TRUE	TRUE
Dysf	chr6	TRUE	TRUE
Ctnna3	chr10	FALSE	TRUE
Lrrn1	chr6	TRUE	TRUE
Hecw2	chr1	TRUE	TRUE
Ldlrad3	chr2	TRUE	TRUE
Zfand3	chr17	TRUE	TRUE
Nup93	chr8	TRUE	TRUE
Ppl	chr16	TRUE	TRUE
Tnrc6b	chr15	TRUE	TRUE
Tmcc1	chr6	TRUE	TRUE
Rgl1	chr1	TRUE	TRUE
Cpeb3	chr19	TRUE	TRUE
Aff3	chr1	TRUE	TRUE
F830045P16Rik	chr2	TRUE	TRUE
Tcf20	chr15	TRUE	TRUE
Hlf	chr11	FALSE	TRUE
Shld1	chr2	TRUE	TRUE
Cemip	chr7	TRUE	TRUE
Ncor2	chr5	TRUE	TRUE
Cdh4	chr2	TRUE	TRUE
Unc13c	chr9	TRUE	TRUE
Nrp2	chr1	TRUE	TRUE
Brinp3	chr1	TRUE	TRUE
Nfasc	chr1	TRUE	TRUE
Gria4	chr9	TRUE	TRUE
Prdm5	chr6	FALSE	TRUE
Ncoa1	chr12	TRUE	TRUE
Rapgef2	chr3	TRUE	TRUE
Togaram2	chr17	FALSE	TRUE
Gria2	chr3	TRUE	TRUE
Atp5o	chr16	TRUE	TRUE
Tpst1	chr5	TRUE	TRUE
Kcnd2	chr6	TRUE	TRUE
Chil3	chr3	TRUE	TRUE
Chchd6	chr6	TRUE	TRUE
Eps8	chr6	TRUE	TRUE
Fsip1	chr2	FALSE	TRUE
Frmd4a	chr2	FALSE	TRUE
Mgll	chr6	TRUE	TRUE
Nsmaf	chr4	TRUE	TRUE
Gm1043	chr5	TRUE	TRUE
Cacna1g	chr11	TRUE	TRUE
Osbpl6	chr2	TRUE	TRUE
Anks1	chr17	TRUE	TRUE
Ntrk3	chr7	TRUE	TRUE
Cux1	chr5	TRUE	TRUE
Marchf4	chr1	TRUE	TRUE
Kmt2c	chr5	TRUE	TRUE
Sfxn5	chr6	TRUE	TRUE
Hmbox1	chr14	TRUE	TRUE
Pou2f2	chr7	TRUE	TRUE
Card11	chr5	FALSE	TRUE
Cadps2	chr6	TRUE	TRUE
Akt3	chr1	TRUE	TRUE
Mtus2	chr5	TRUE	TRUE
Btbd1	chr7	TRUE	TRUE
Nf1	chr11	TRUE	TRUE
Prickle1	chr15	TRUE	TRUE
Hspa12a	chr19	TRUE	TRUE
Fmn1	chr2	FALSE	TRUE
Atxn7l1	chr12	TRUE	TRUE
Erc2	chr14	FALSE	TRUE
Ncoa2	chr1	TRUE	TRUE
Wdr7	chr18	TRUE	TRUE
Gm17482	chr6	TRUE	TRUE
St18	chr1	TRUE	TRUE
Gphn	chr12	TRUE	TRUE
Dennd1a	chr2	TRUE	TRUE
Clvs1	chr4	TRUE	TRUE
Prr16	chr18	TRUE	TRUE
Nav1	chr1	TRUE	TRUE
Itsn1	chr16	TRUE	TRUE
Lrrc28	chr7	TRUE	TRUE
Myt1l	chr12	TRUE	TRUE
Serpinb8	chr1	TRUE	TRUE
Adcy9	chr16	TRUE	TRUE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	TRUE	TRUE
Enah	chr1	TRUE	TRUE
Cntnap5a	chr1	FALSE	TRUE
Flrt3	chr2	TRUE	TRUE
Cntn4	chr6	TRUE	TRUE
Lca5l	chr16	TRUE	TRUE
Dock3	chr9	TRUE	TRUE
Smad6	chr9	FALSE	TRUE
Osbpl10	chr9	FALSE	TRUE
Fmn2	chr1	TRUE	TRUE
Gdpd5	chr7	TRUE	TRUE
Nrcam	chr12	TRUE	TRUE
Mtor	chr4	TRUE	TRUE
Alg8	chr7	TRUE	TRUE
Med27	chr2	TRUE	TRUE
Tbxas1	chr6	TRUE	TRUE
Camk1d	chr2	TRUE	TRUE
Tmem132c	chr5	TRUE	TRUE
Rere	chr4	TRUE	TRUE
Vps13b	chr15	TRUE	TRUE
Myo5b	chr18	FALSE	TRUE
Zfp827	chr8	TRUE	TRUE
Ncam1	chr9	TRUE	TRUE
Adcy5	chr16	TRUE	TRUE
Kif13b	chr14	TRUE	TRUE
Fam120b	chr17	TRUE	TRUE
Zcchc7	chr4	TRUE	TRUE
Macrod1	chr19	TRUE	TRUE
Lmf1	chr17	TRUE	TRUE
Kif5c	chr2	TRUE	TRUE
Farp1	chr14	TRUE	TRUE
Cd276	chr9	TRUE	TRUE
Dnaja3	chr16	TRUE	TRUE
Slc35f3	chr8	TRUE	TRUE
Cdh20	chr1	FALSE	TRUE
Dpp6	chr5	TRUE	TRUE
Fbln2	chr6	TRUE	TRUE
Mrtfa	chr15	TRUE	TRUE
Rnf150	chr8	TRUE	TRUE
Dgki	chr6	TRUE	TRUE
Arap2	chr5	FALSE	TRUE
Mbnl2	chr14	TRUE	TRUE
Ptgs1	chr2	TRUE	TRUE
Agap1	chr1	TRUE	TRUE
Pax5	chr4	TRUE	TRUE
Kcnab1	chr3	TRUE	TRUE
Abl1	chr2	TRUE	TRUE
Sez6l	chr5	TRUE	TRUE
Cdc73	chr1	TRUE	TRUE
Galnt13	chr2	TRUE	TRUE
Pnpla7	chr2	TRUE	TRUE
Tnrc18	chr5	TRUE	TRUE
Cep128	chr12	TRUE	TRUE
Chchd3	chr6	TRUE	TRUE
Spock1	chr13	TRUE	TRUE
Slc1a7	chr4	TRUE	TRUE
Reep3	chr10	TRUE	TRUE
Garnl3	chr2	TRUE	TRUE
Zswim6	chr13	TRUE	TRUE
Myo18b	chr5	TRUE	TRUE
Ttc7b	chr12	TRUE	TRUE
Msrb3	chr10	FALSE	TRUE
Pphln1	chr15	TRUE	TRUE
Rapgef1	chr2	TRUE	TRUE
Atg7	chr6	TRUE	TRUE
Uvrag	chr7	TRUE	TRUE
Snx29	chr16	TRUE	TRUE
1700019D03Rik	chr1	TRUE	TRUE
Ctnnbl1	chr2	TRUE	TRUE
Cadm2	chr16	TRUE	TRUE
Sobp	chr10	TRUE	TRUE
Sgip1	chr4	TRUE	TRUE
Coro1c	chr5	TRUE	TRUE
Osbpl5	chr7	TRUE	TRUE
Slc4a4	chr5	TRUE	TRUE
Trak1	chr9	TRUE	TRUE
Dlg5	chr14	TRUE	TRUE
Dhx35	chr2	FALSE	TRUE
Dym	chr18	TRUE	TRUE
Rfc1	chr5	TRUE	TRUE
Skap1	chr11	FALSE	TRUE
Erc1	chr6	TRUE	TRUE
Cd83	chr13	TRUE	TRUE
Ksr1	chr11	FALSE	TRUE
Elk3	chr10	TRUE	TRUE
Abat	chr16	TRUE	TRUE
Hs6st3	chr14	FALSE	TRUE
Nr3c2	chr8	FALSE	TRUE
Grk5	chr19	TRUE	TRUE
Dnm3	chr1	TRUE	TRUE
Lhpp	chr7	TRUE	TRUE
Adamtsl3	chr7	FALSE	TRUE
Pacs1	chr19	TRUE	TRUE
Ntrk2	chr13	TRUE	TRUE
Dna2	chr10	TRUE	TRUE
Tex2	chr11	TRUE	TRUE
Mms22l	chr4	FALSE	TRUE
Uggt2	chr14	TRUE	TRUE
Ldlrad4	chr18	TRUE	TRUE
Pde11a	chr2	FALSE	TRUE
Mtss1	chr15	TRUE	TRUE
Nmrk1	chr19	TRUE	TRUE
Sdccag8	chr1	TRUE	TRUE
Atp2b2	chr6	TRUE	TRUE
Smad3	chr9	TRUE	TRUE
Mkln1	chr6	TRUE	TRUE
Hdgfl3	chr7	TRUE	TRUE
Ank1	chr8	TRUE	TRUE
Neb	chr2	TRUE	TRUE
Fbrsl1	chr5	TRUE	TRUE
Prdm16	chr4	FALSE	TRUE
Pkig	chr2	TRUE	TRUE
Col16a1	chr4	TRUE	TRUE
Unc79	chr12	TRUE	TRUE
Arhgap35	chr7	TRUE	TRUE
Rag1	chr2	TRUE	TRUE
Stom	chr2	TRUE	TRUE
Fryl	chr5	TRUE	TRUE
Nrros	chr16	TRUE	TRUE
Triqk	chr4	TRUE	TRUE
Rassf5	chr1	TRUE	TRUE
Gabrb2	chr11	TRUE	TRUE
Capsl	chr15	FALSE	TRUE
Lipc	chr9	TRUE	TRUE
Cyth3	chr5	TRUE	TRUE
Zfp536	chr7	TRUE	TRUE
Slc24a2	chr4	FALSE	TRUE
Pcca	chr14	TRUE	TRUE
Adarb2	chr13	FALSE	TRUE
Mapk10	chr5	TRUE	TRUE
Apba2	chr7	TRUE	TRUE
Atp8a2	chr14	TRUE	TRUE
4930402H24Rik	chr2	TRUE	TRUE
Unc13b	chr4	FALSE	TRUE
Fam168a	chr7	TRUE	TRUE
Ap3b1	chr13	TRUE	TRUE
Iqgap2	chr13	FALSE	TRUE
Bcr	chr10	TRUE	TRUE
Nr3c1	chr18	TRUE	TRUE
Nsf	chr11	TRUE	TRUE
Epyc	chr10	TRUE	TRUE
Plekhm3	chr1	TRUE	TRUE
Shisal1	chr15	TRUE	TRUE
Orc5	chr5	TRUE	TRUE
Gas2	chr7	TRUE	TRUE
Arnt2	chr7	FALSE	TRUE
Tdo2	chr3	TRUE	TRUE
Zfp462	chr4	TRUE	TRUE
Arhgap23	chr11	TRUE	TRUE
Tshz2	chr2	FALSE	TRUE
Fibcd1	chr2	TRUE	TRUE
Tmeff2	chr1	TRUE	TRUE
Slc24a4	chr12	TRUE	TRUE
Lrig2	chr3	TRUE	TRUE
Xpo4	chr14	TRUE	TRUE
Atrnl1	chr19	FALSE	TRUE
Eif4g3	chr4	TRUE	TRUE
Chst15	chr7	TRUE	TRUE
Reln	chr5	TRUE	TRUE
Serpinb1b	chr13	FALSE	TRUE
Zfp385b	chr2	TRUE	TRUE
Sdk2	chr11	FALSE	TRUE
Zfp704	chr3	TRUE	TRUE
Rabgap1l	chr1	TRUE	TRUE
Sorbs1	chr19	TRUE	TRUE
Mdga1	chr17	TRUE	TRUE
Efr3b	chr12	TRUE	TRUE
1700028P14Rik	chr19	TRUE	TRUE
Ttc39b	chr4	TRUE	TRUE
Strbp	chr2	TRUE	TRUE
Zfp516	chr18	TRUE	TRUE
Evl	chr12	TRUE	TRUE
Siah3	chr14	TRUE	TRUE
Aatf	chr11	TRUE	TRUE
BC052040	chr2	FALSE	TRUE
Arhgef12	chr9	TRUE	TRUE
Syne3	chr12	TRUE	TRUE
Cobl	chr11	FALSE	TRUE
Mpped2	chr2	TRUE	TRUE
Ston2	chr12	TRUE	TRUE
Slc8a3	chr12	TRUE	TRUE
Cacng2	chr15	TRUE	TRUE
Tmprss11g	chr5	FALSE	TRUE
Scaper	chr9	FALSE	TRUE
Lrrk1	chr7	FALSE	TRUE
Ppfia2	chr10	TRUE	TRUE
Ndrg1	chr15	TRUE	TRUE
Armh3	chr19	TRUE	TRUE
Tasp1	chr2	TRUE	TRUE
Gpr158	chr2	TRUE	TRUE
Dennd1b	chr1	TRUE	TRUE
Eml4	chr17	TRUE	TRUE
Acbd6	chr1	TRUE	TRUE
Polr1d	chr5	TRUE	TRUE
Cuedc1	chr11	TRUE	TRUE
Barx2	chr9	FALSE	TRUE
Pde4dip	chr3	TRUE	TRUE
Efcab6	chr15	TRUE	TRUE
Rgs3	chr4	TRUE	TRUE
Col19a1	chr1	TRUE	TRUE
Kif18a	chr2	TRUE	TRUE
Prex1	chr2	TRUE	TRUE
Galnt17	chr5	TRUE	TRUE
5031439G07Rik	chr15	TRUE	TRUE
Cacna2d4	chr6	TRUE	TRUE
Pcsk6	chr7	FALSE	TRUE
Tmem131l	chr3	TRUE	TRUE
Abcc4	chr14	FALSE	TRUE
Trp53bp2	chr1	TRUE	TRUE
Mycbp2	chr14	TRUE	TRUE
Cacna1i	chr15	TRUE	TRUE
Zbtb7c	chr18	FALSE	TRUE
St3gal3	chr4	TRUE	TRUE
Tln2	chr9	FALSE	TRUE
Npsr1	chr9	FALSE	TRUE
Mapkap1	chr2	TRUE	TRUE
Tnrc6c	chr11	TRUE	TRUE
Gbf1	chr19	TRUE	TRUE
Tle3	chr9	TRUE	TRUE
Bmpr2	chr1	TRUE	TRUE
Phf21a	chr2	TRUE	TRUE
Cnih3	chr1	TRUE	TRUE
Dnah14	chr1	FALSE	TRUE
Adgrb1	chr15	TRUE	TRUE
Olfm3	chr3	TRUE	TRUE
Zfp800	chr6	TRUE	TRUE
Jakmip3	chr7	TRUE	TRUE
Dnmt3a	chr12	TRUE	TRUE
Krt24	chr11	TRUE	TRUE
Grik5	chr7	TRUE	TRUE
Nkd1	chr8	TRUE	TRUE
Clstn2	chr9	FALSE	TRUE
Zfpm1	chr8	TRUE	TRUE
Reep1	chr6	TRUE	TRUE
Macf1	chr4	TRUE	TRUE
Rsrc1	chr3	FALSE	TRUE
Arhgef4	chr1	TRUE	TRUE
Nlk	chr11	TRUE	TRUE
Tmprss11d	chr5	FALSE	TRUE
Atp8a1	chr5	TRUE	TRUE
Clmp	chr9	TRUE	TRUE
Pum1	chr4	TRUE	TRUE
Dclk1	chr3	TRUE	TRUE
Mrps27	chr13	TRUE	TRUE
Hacd2	chr16	TRUE	TRUE
Nsmf	chr2	TRUE	TRUE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	TRUE	TRUE
C530008M17Rik	chr5	FALSE	TRUE
Lmx1b	chr2	TRUE	TRUE
Ngly1	chr14	TRUE	TRUE
Aopep	chr13	TRUE	TRUE
Dbn1	chr13	TRUE	TRUE
Bicral	chr17	TRUE	TRUE
Dyrk1a	chr16	TRUE	TRUE
Stau2	chr1	TRUE	TRUE
Specc1	chr11	TRUE	TRUE
Tshz1	chr18	TRUE	TRUE
Plxdc1	chr11	TRUE	TRUE
Myo9a	chr9	TRUE	TRUE
Myo5a	chr9	TRUE	TRUE
Rad51b	chr12	FALSE	TRUE
Pdia5	chr16	TRUE	TRUE
Camk4	chr18	TRUE	TRUE
Tnik	chr3	TRUE	TRUE
Pde4d	chr13	TRUE	TRUE
Nrxn3	chr12	TRUE	TRUE
Apbb2	chr5	TRUE	TRUE
Plekhd1	chr12	TRUE	TRUE
Kctd12	chr14	TRUE	TRUE
Cnnm2	chr19	TRUE	TRUE
Kalrn	chr16	TRUE	TRUE
Mgat5	chr1	TRUE	TRUE
Kif1b	chr4	TRUE	TRUE
Efcab2	chr1	TRUE	TRUE
Pax3	chr1	FALSE	TRUE
Arhgef3	chr14	TRUE	TRUE
Usp34	chr11	TRUE	TRUE
Srpk2	chr5	TRUE	TRUE
Rfx7	chr9	TRUE	TRUE
Srgap3	chr6	TRUE	TRUE
Coro7	chr16	TRUE	TRUE
Epas1	chr17	TRUE	TRUE
Zfp407	chr18	TRUE	TRUE
Lrrn2	chr1	TRUE	TRUE
Rasa3	chr8	TRUE	TRUE
Med12l	chr3	TRUE	TRUE
Inf2	chr12	TRUE	TRUE
Trim71	chr9	FALSE	TRUE
Scn8a	chr15	TRUE	TRUE
Ube2e1	chr14	TRUE	TRUE
Scn1a	chr2	TRUE	TRUE
Slc22a23	chr13	TRUE	TRUE
Tlcd4	chr3	TRUE	TRUE
Ece1	chr4	TRUE	TRUE
Srgap2	chr1	TRUE	TRUE
Cntnap4	chr8	TRUE	TRUE
Pknox2	chr9	TRUE	TRUE
Cav2	chr6	FALSE	TRUE
Zfp804a	chr2	FALSE	TRUE
Mprip	chr11	TRUE	TRUE
Kcna2	chr3	TRUE	TRUE
Frmd5	chr2	TRUE	TRUE
Lrrc8b	chr5	FALSE	TRUE
Jakmip1	chr5	TRUE	TRUE
Hibadh	chr6	TRUE	TRUE
Rps6ka2	chr17	TRUE	TRUE
Foxo6	chr4	TRUE	TRUE
Dock5	chr14	FALSE	TRUE
Nedd4l	chr18	TRUE	TRUE
1700011L22Rik	chr8	TRUE	TRUE
Pde9a	chr17	TRUE	TRUE
Galnt18	chr7	TRUE	TRUE
Rbms3	chr9	FALSE	TRUE
Sipa1l1	chr12	TRUE	TRUE
Pbx1	chr1	TRUE	TRUE
Vgll4	chr6	TRUE	TRUE
Syn3	chr10	FALSE	TRUE
Arhgap10	chr8	TRUE	TRUE
Slc45a4	chr15	TRUE	TRUE
Nectin1	chr9	FALSE	TRUE
Hpse2	chr19	FALSE	TRUE
Sec16b	chr1	TRUE	TRUE
Rims1	chr1	TRUE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
Slc9a9	chr9	FALSE	TRUE
Mindy3	chr2	FALSE	TRUE
Slc10a7	chr8	TRUE	TRUE
Rp9	chr9	TRUE	TRUE
Osbpl1a	chr18	TRUE	TRUE
Atg4c	chr4	TRUE	TRUE
Tmem156	chr5	TRUE	TRUE
Ptgis	chr2	TRUE	TRUE
Sv2c	chr13	TRUE	TRUE
Sort1	chr3	TRUE	TRUE
Lrp1b	chr2	TRUE	TRUE
Rnf216	chr5	TRUE	TRUE
Limch1	chr5	TRUE	TRUE
Kif16b	chr2	TRUE	TRUE
Armc8	chr9	TRUE	TRUE
Sh3d19	chr3	TRUE	TRUE
Cbs	chr17	TRUE	TRUE
Gabra2	chr5	FALSE	TRUE
Otof	chr5	TRUE	TRUE
