gene_name	chr	h3k27me3_overlap	mch_sig
Ralgps1	chr2	FALSE	TRUE
Pex14	chr4	FALSE	TRUE
Ift57	chr16	FALSE	TRUE
Snph	chr2	TRUE	TRUE
Elp4	chr2	FALSE	TRUE
Dagla	chr19	TRUE	TRUE
Nkain3	chr4	TRUE	TRUE
Kctd8	chr5	FALSE	TRUE
Gtf3c1	chr7	FALSE	TRUE
Slc5a10	chr11	TRUE	TRUE
Ebf2	chr14	TRUE	TRUE
Sybu	chr15	FALSE	TRUE
Mamdc2	chr19	FALSE	TRUE
Sdk1	chr5	TRUE	TRUE
Prkca	chr11	TRUE	TRUE
Mark1	chr1	TRUE	TRUE
Galnt7	chr8	FALSE	TRUE
Rnf165	chr18	FALSE	TRUE
Celf4	chr18	FALSE	TRUE
Epha5	chr5	TRUE	TRUE
Foxn3	chr12	FALSE	TRUE
Psd3	chr8	FALSE	TRUE
Pcsk5	chr19	TRUE	TRUE
Clybl	chr14	FALSE	TRUE
Asb15	chr6	FALSE	TRUE
Cep350	chr1	FALSE	TRUE
Prickle2	chr6	TRUE	TRUE
Npvf	chr6	FALSE	TRUE
Alk	chr17	TRUE	TRUE
Slc17a6	chr7	TRUE	TRUE
Prkcb	chr7	FALSE	TRUE
Adam22	chr5	FALSE	TRUE
Itgb5	chr16	FALSE	TRUE
Spag17	chr3	FALSE	TRUE
Tcf12	chr9	FALSE	TRUE
Lpp	chr16	FALSE	TRUE
Runx1	chr16	TRUE	TRUE
Vav2	chr2	TRUE	TRUE
Astn2	chr4	FALSE	TRUE
Faf1	chr4	FALSE	TRUE
Grip1	chr10	TRUE	TRUE
Dip2c	chr13	FALSE	TRUE
Sh3pxd2a	chr19	TRUE	TRUE
Nbea	chr3	FALSE	TRUE
Bahcc1	chr11	FALSE	TRUE
Hcn1	chr13	FALSE	TRUE
Commd1	chr11	FALSE	TRUE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	TRUE
Fbh1	chr2	FALSE	TRUE
Ptprk	chr10	TRUE	TRUE
Zfpm2	chr15	FALSE	TRUE
Rab3c	chr13	FALSE	TRUE
Ambra1	chr2	FALSE	TRUE
Ahcyl2	chr6	FALSE	TRUE
Focad	chr4	FALSE	TRUE
Grin2a	chr16	FALSE	TRUE
Mbd5	chr2	FALSE	TRUE
Zbtb40	chr4	FALSE	TRUE
Samd12	chr15	FALSE	TRUE
Slc24a3	chr2	TRUE	TRUE
Sema5b	chr16	TRUE	TRUE
Dapk1	chr13	TRUE	TRUE
Cdk15	chr1	FALSE	TRUE
Adamts14	chr10	TRUE	TRUE
Ryr2	chr13	FALSE	TRUE
Vps13d	chr4	FALSE	TRUE
Isx	chr8	FALSE	TRUE
Slc39a11	chr11	TRUE	TRUE
Fam72a	chr1	FALSE	TRUE
Ercc8	chr13	FALSE	TRUE
Bank1	chr3	FALSE	TRUE
Lrrc36	chr8	FALSE	TRUE
Wipf3	chr6	FALSE	TRUE
Mvb12b	chr2	FALSE	TRUE
Ptprg	chr14	FALSE	TRUE
Commd1b	chr11	TRUE	TRUE
Optn	chr2	TRUE	TRUE
Rxra	chr2	TRUE	TRUE
Gnaq	chr19	FALSE	TRUE
Cacnb4	chr2	FALSE	TRUE
Adgrb3	chr1	FALSE	TRUE
Fam83g	chr11	TRUE	TRUE
Tbc1d30	chr10	TRUE	TRUE
Col5a1	chr2	TRUE	TRUE
Syn2	chr6	FALSE	TRUE
Trio	chr15	FALSE	TRUE
Rap1gap2	chr11	FALSE	TRUE
Rgs7	chr1	FALSE	TRUE
Dis3l2	chr1	FALSE	TRUE
Pld5	chr1	FALSE	TRUE
Kcnj6	chr16	FALSE	TRUE
Ablim2	chr5	TRUE	TRUE
Rora	chr9	FALSE	TRUE
Rbfox1	chr16	FALSE	TRUE
Adk	chr14	FALSE	TRUE
Trp73	chr4	TRUE	TRUE
5330417C22Rik	chr3	TRUE	TRUE
Fgf14	chr14	FALSE	TRUE
Kcnn3	chr3	TRUE	TRUE
Baz2b	chr2	FALSE	TRUE
Dnah11	chr12	TRUE	TRUE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	TRUE
Syt6	chr3	TRUE	TRUE
Lrfn2	chr17	TRUE	TRUE
Syt1	chr10	FALSE	TRUE
Nek7	chr1	TRUE	TRUE
Sema3a	chr5	FALSE	TRUE
Fto	chr8	FALSE	TRUE
Dst	chr1	FALSE	TRUE
Dkk3	chr7	TRUE	TRUE
Zfp423	chr8	TRUE	TRUE
Gse1	chr8	TRUE	TRUE
Robo2	chr16	TRUE	TRUE
Ascc3	chr10	FALSE	TRUE
Gabrb3	chr7	TRUE	TRUE
Nr6a1	chr2	TRUE	TRUE
Bcl2l15	chr3	FALSE	TRUE
Fam20c	chr5	TRUE	TRUE
Cfap61	chr2	TRUE	TRUE
Snd1	chr6	FALSE	TRUE
Sik3	chr9	FALSE	TRUE
Glt8d2	chr10	FALSE	TRUE
Sh3gl3	chr7	TRUE	TRUE
Xkr6	chr14	FALSE	TRUE
Hspg2	chr4	TRUE	TRUE
Pdlim7	chr13	FALSE	TRUE
Supt3	chr17	FALSE	TRUE
Ints9	chr14	FALSE	TRUE
Eefsec	chr6	FALSE	TRUE
Lct	chr1	FALSE	TRUE
Cenpf	chr1	TRUE	TRUE
Itfg1	chr8	FALSE	TRUE
Dysf	chr6	TRUE	TRUE
Ctnna3	chr10	FALSE	TRUE
Lrrn1	chr6	FALSE	TRUE
Hecw2	chr1	FALSE	TRUE
Ldlrad3	chr2	FALSE	TRUE
Zfand3	chr17	FALSE	TRUE
Nup93	chr8	FALSE	TRUE
Ppl	chr16	TRUE	TRUE
Tnrc6b	chr15	FALSE	TRUE
Tmcc1	chr6	FALSE	TRUE
Rgl1	chr1	TRUE	TRUE
Cpeb3	chr19	FALSE	TRUE
Aff3	chr1	TRUE	TRUE
F830045P16Rik	chr2	FALSE	TRUE
Tcf20	chr15	TRUE	TRUE
Hlf	chr11	TRUE	TRUE
Shld1	chr2	FALSE	TRUE
Cemip	chr7	FALSE	TRUE
Ncor2	chr5	FALSE	TRUE
Cdh4	chr2	TRUE	TRUE
Unc13c	chr9	FALSE	TRUE
Nrp2	chr1	TRUE	TRUE
Brinp3	chr1	FALSE	TRUE
Nfasc	chr1	FALSE	TRUE
Gria4	chr9	FALSE	TRUE
Prdm5	chr6	FALSE	TRUE
Ncoa1	chr12	FALSE	TRUE
Rapgef2	chr3	FALSE	TRUE
Togaram2	chr17	TRUE	TRUE
Gria2	chr3	FALSE	TRUE
Atp5o	chr16	FALSE	TRUE
Tpst1	chr5	FALSE	TRUE
Kcnd2	chr6	FALSE	TRUE
Chil3	chr3	FALSE	TRUE
Chchd6	chr6	FALSE	TRUE
Eps8	chr6	FALSE	TRUE
Fsip1	chr2	TRUE	TRUE
Frmd4a	chr2	TRUE	TRUE
Mgll	chr6	FALSE	TRUE
Nsmaf	chr4	FALSE	TRUE
Gm1043	chr5	TRUE	TRUE
Cacna1g	chr11	FALSE	TRUE
Osbpl6	chr2	FALSE	TRUE
Anks1	chr17	FALSE	TRUE
Ntrk3	chr7	TRUE	TRUE
Cux1	chr5	FALSE	TRUE
Marchf4	chr1	TRUE	TRUE
Kmt2c	chr5	FALSE	TRUE
Sfxn5	chr6	FALSE	TRUE
Hmbox1	chr14	FALSE	TRUE
Pou2f2	chr7	FALSE	TRUE
Card11	chr5	TRUE	TRUE
Cadps2	chr6	FALSE	TRUE
Akt3	chr1	FALSE	TRUE
Mtus2	chr5	FALSE	TRUE
Btbd1	chr7	TRUE	TRUE
Nf1	chr11	FALSE	TRUE
Prickle1	chr15	TRUE	TRUE
Hspa12a	chr19	TRUE	TRUE
Fmn1	chr2	TRUE	TRUE
Atxn7l1	chr12	TRUE	TRUE
Erc2	chr14	FALSE	TRUE
Ncoa2	chr1	FALSE	TRUE
Wdr7	chr18	FALSE	TRUE
Gm17482	chr6	FALSE	TRUE
St18	chr1	FALSE	TRUE
Gphn	chr12	FALSE	TRUE
Dennd1a	chr2	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Prr16	chr18	TRUE	TRUE
Nav1	chr1	TRUE	TRUE
Itsn1	chr16	FALSE	TRUE
Lrrc28	chr7	FALSE	TRUE
Myt1l	chr12	FALSE	TRUE
Serpinb8	chr1	FALSE	TRUE
Adcy9	chr16	FALSE	TRUE
B3gnt2	chr11	TRUE	TRUE
Megf6	chr4	TRUE	TRUE
Enah	chr1	FALSE	TRUE
Cntnap5a	chr1	TRUE	TRUE
Flrt3	chr2	FALSE	TRUE
Cntn4	chr6	TRUE	TRUE
Lca5l	chr16	FALSE	TRUE
Dock3	chr9	FALSE	TRUE
Smad6	chr9	TRUE	TRUE
Osbpl10	chr9	FALSE	TRUE
Fmn2	chr1	FALSE	TRUE
Gdpd5	chr7	FALSE	TRUE
Nrcam	chr12	FALSE	TRUE
Mtor	chr4	FALSE	TRUE
Alg8	chr7	FALSE	TRUE
Med27	chr2	FALSE	TRUE
Tbxas1	chr6	TRUE	TRUE
Camk1d	chr2	FALSE	TRUE
Tmem132c	chr5	TRUE	TRUE
Rere	chr4	FALSE	TRUE
Vps13b	chr15	FALSE	TRUE
Myo5b	chr18	TRUE	TRUE
Zfp827	chr8	FALSE	TRUE
Ncam1	chr9	FALSE	TRUE
Adcy5	chr16	TRUE	TRUE
Kif13b	chr14	FALSE	TRUE
Fam120b	chr17	FALSE	TRUE
Zcchc7	chr4	FALSE	TRUE
Macrod1	chr19	FALSE	TRUE
Lmf1	chr17	FALSE	TRUE
Kif5c	chr2	FALSE	TRUE
Farp1	chr14	FALSE	TRUE
Cd276	chr9	FALSE	TRUE
Dnaja3	chr16	FALSE	TRUE
Slc35f3	chr8	FALSE	TRUE
Cdh20	chr1	TRUE	TRUE
Dpp6	chr5	FALSE	TRUE
Fbln2	chr6	TRUE	TRUE
Mrtfa	chr15	FALSE	TRUE
Rnf150	chr8	FALSE	TRUE
Dgki	chr6	FALSE	TRUE
Arap2	chr5	TRUE	TRUE
Mbnl2	chr14	FALSE	TRUE
Ptgs1	chr2	TRUE	TRUE
Agap1	chr1	FALSE	TRUE
Pax5	chr4	TRUE	TRUE
Kcnab1	chr3	FALSE	TRUE
Abl1	chr2	FALSE	TRUE
Sez6l	chr5	FALSE	TRUE
Cdc73	chr1	FALSE	TRUE
Galnt13	chr2	FALSE	TRUE
Pnpla7	chr2	TRUE	TRUE
Tnrc18	chr5	FALSE	TRUE
Cep128	chr12	FALSE	TRUE
Chchd3	chr6	FALSE	TRUE
Spock1	chr13	FALSE	TRUE
Slc1a7	chr4	TRUE	TRUE
Reep3	chr10	FALSE	TRUE
Garnl3	chr2	FALSE	TRUE
Zswim6	chr13	TRUE	TRUE
Myo18b	chr5	FALSE	TRUE
Ttc7b	chr12	FALSE	TRUE
Msrb3	chr10	TRUE	TRUE
Pphln1	chr15	FALSE	TRUE
Rapgef1	chr2	FALSE	TRUE
Atg7	chr6	FALSE	TRUE
Uvrag	chr7	FALSE	TRUE
Snx29	chr16	FALSE	TRUE
1700019D03Rik	chr1	FALSE	TRUE
Ctnnbl1	chr2	FALSE	TRUE
Cadm2	chr16	FALSE	TRUE
Sobp	chr10	FALSE	TRUE
Sgip1	chr4	FALSE	TRUE
Coro1c	chr5	FALSE	TRUE
Osbpl5	chr7	TRUE	TRUE
Slc4a4	chr5	FALSE	TRUE
Trak1	chr9	FALSE	TRUE
Dlg5	chr14	FALSE	TRUE
Dhx35	chr2	FALSE	TRUE
Dym	chr18	FALSE	TRUE
Rfc1	chr5	FALSE	TRUE
Skap1	chr11	TRUE	TRUE
Erc1	chr6	FALSE	TRUE
Cd83	chr13	FALSE	TRUE
Ksr1	chr11	FALSE	TRUE
Elk3	chr10	TRUE	TRUE
Abat	chr16	FALSE	TRUE
Hs6st3	chr14	FALSE	TRUE
Nr3c2	chr8	TRUE	TRUE
Grk5	chr19	FALSE	TRUE
Dnm3	chr1	FALSE	TRUE
Lhpp	chr7	FALSE	TRUE
Adamtsl3	chr7	TRUE	TRUE
Pacs1	chr19	FALSE	TRUE
Ntrk2	chr13	FALSE	TRUE
Dna2	chr10	FALSE	TRUE
Tex2	chr11	FALSE	TRUE
Mms22l	chr4	FALSE	TRUE
Uggt2	chr14	FALSE	TRUE
Ldlrad4	chr18	FALSE	TRUE
Pde11a	chr2	TRUE	TRUE
Mtss1	chr15	TRUE	TRUE
Nmrk1	chr19	FALSE	TRUE
Sdccag8	chr1	FALSE	TRUE
Atp2b2	chr6	FALSE	TRUE
Smad3	chr9	TRUE	TRUE
Mkln1	chr6	FALSE	TRUE
Hdgfl3	chr7	FALSE	TRUE
Ank1	chr8	FALSE	TRUE
Neb	chr2	FALSE	TRUE
Fbrsl1	chr5	FALSE	TRUE
Prdm16	chr4	TRUE	TRUE
Pkig	chr2	FALSE	TRUE
Col16a1	chr4	FALSE	TRUE
Unc79	chr12	FALSE	TRUE
Arhgap35	chr7	FALSE	TRUE
Rag1	chr2	FALSE	TRUE
Stom	chr2	FALSE	TRUE
Fryl	chr5	FALSE	TRUE
Nrros	chr16	FALSE	TRUE
Triqk	chr4	FALSE	TRUE
Rassf5	chr1	FALSE	TRUE
Gabrb2	chr11	FALSE	TRUE
Capsl	chr15	FALSE	TRUE
Lipc	chr9	FALSE	TRUE
Cyth3	chr5	FALSE	TRUE
Zfp536	chr7	FALSE	TRUE
Slc24a2	chr4	TRUE	TRUE
Pcca	chr14	FALSE	TRUE
Adarb2	chr13	TRUE	TRUE
Mapk10	chr5	FALSE	TRUE
Apba2	chr7	FALSE	TRUE
Atp8a2	chr14	FALSE	TRUE
4930402H24Rik	chr2	FALSE	TRUE
Unc13b	chr4	FALSE	TRUE
Fam168a	chr7	FALSE	TRUE
Ap3b1	chr13	FALSE	TRUE
Iqgap2	chr13	TRUE	TRUE
Bcr	chr10	FALSE	TRUE
Nr3c1	chr18	FALSE	TRUE
Nsf	chr11	FALSE	TRUE
Epyc	chr10	FALSE	TRUE
Plekhm3	chr1	FALSE	TRUE
Shisal1	chr15	TRUE	TRUE
Orc5	chr5	FALSE	TRUE
Gas2	chr7	FALSE	TRUE
Arnt2	chr7	FALSE	TRUE
Tdo2	chr3	FALSE	TRUE
Zfp462	chr4	TRUE	TRUE
Arhgap23	chr11	TRUE	TRUE
Tshz2	chr2	TRUE	TRUE
Fibcd1	chr2	TRUE	TRUE
Tmeff2	chr1	FALSE	TRUE
Slc24a4	chr12	TRUE	TRUE
Lrig2	chr3	TRUE	TRUE
Xpo4	chr14	FALSE	TRUE
Atrnl1	chr19	TRUE	TRUE
Eif4g3	chr4	FALSE	TRUE
Chst15	chr7	FALSE	TRUE
Reln	chr5	FALSE	TRUE
Serpinb1b	chr13	FALSE	TRUE
Zfp385b	chr2	FALSE	TRUE
Sdk2	chr11	TRUE	TRUE
Zfp704	chr3	FALSE	TRUE
Rabgap1l	chr1	FALSE	TRUE
Sorbs1	chr19	FALSE	TRUE
Mdga1	chr17	TRUE	TRUE
Efr3b	chr12	FALSE	TRUE
1700028P14Rik	chr19	FALSE	TRUE
Ttc39b	chr4	TRUE	TRUE
Strbp	chr2	FALSE	TRUE
Zfp516	chr18	FALSE	TRUE
Evl	chr12	FALSE	TRUE
Siah3	chr14	TRUE	TRUE
Aatf	chr11	FALSE	TRUE
BC052040	chr2	FALSE	TRUE
Arhgef12	chr9	FALSE	TRUE
Syne3	chr12	TRUE	TRUE
Cobl	chr11	TRUE	TRUE
Mpped2	chr2	FALSE	TRUE
Ston2	chr12	TRUE	TRUE
Slc8a3	chr12	FALSE	TRUE
Cacng2	chr15	FALSE	TRUE
Tmprss11g	chr5	FALSE	TRUE
Scaper	chr9	TRUE	TRUE
Lrrk1	chr7	TRUE	TRUE
Ppfia2	chr10	FALSE	TRUE
Ndrg1	chr15	TRUE	TRUE
Armh3	chr19	FALSE	TRUE
Tasp1	chr2	FALSE	TRUE
Gpr158	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Eml4	chr17	FALSE	TRUE
Acbd6	chr1	FALSE	TRUE
Polr1d	chr5	FALSE	TRUE
Cuedc1	chr11	FALSE	TRUE
Barx2	chr9	TRUE	TRUE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	TRUE	TRUE
Rgs3	chr4	FALSE	TRUE
Col19a1	chr1	TRUE	TRUE
Kif18a	chr2	FALSE	TRUE
Prex1	chr2	TRUE	TRUE
Galnt17	chr5	FALSE	TRUE
5031439G07Rik	chr15	FALSE	TRUE
Cacna2d4	chr6	FALSE	TRUE
Pcsk6	chr7	TRUE	TRUE
Tmem131l	chr3	FALSE	TRUE
Abcc4	chr14	TRUE	TRUE
Trp53bp2	chr1	FALSE	TRUE
Mycbp2	chr14	FALSE	TRUE
Cacna1i	chr15	FALSE	TRUE
Zbtb7c	chr18	TRUE	TRUE
St3gal3	chr4	FALSE	TRUE
Tln2	chr9	FALSE	TRUE
Npsr1	chr9	TRUE	TRUE
Mapkap1	chr2	FALSE	TRUE
Tnrc6c	chr11	FALSE	TRUE
Gbf1	chr19	FALSE	TRUE
Tle3	chr9	FALSE	TRUE
Bmpr2	chr1	FALSE	TRUE
Phf21a	chr2	FALSE	TRUE
Cnih3	chr1	TRUE	TRUE
Dnah14	chr1	TRUE	TRUE
Adgrb1	chr15	TRUE	TRUE
Olfm3	chr3	FALSE	TRUE
Zfp800	chr6	TRUE	TRUE
Jakmip3	chr7	FALSE	TRUE
Dnmt3a	chr12	FALSE	TRUE
Krt24	chr11	FALSE	TRUE
Grik5	chr7	FALSE	TRUE
Nkd1	chr8	TRUE	TRUE
Clstn2	chr9	TRUE	TRUE
Zfpm1	chr8	TRUE	TRUE
Reep1	chr6	FALSE	TRUE
Macf1	chr4	FALSE	TRUE
Rsrc1	chr3	TRUE	TRUE
Arhgef4	chr1	TRUE	TRUE
Nlk	chr11	FALSE	TRUE
Tmprss11d	chr5	FALSE	TRUE
Atp8a1	chr5	FALSE	TRUE
Clmp	chr9	FALSE	TRUE
Pum1	chr4	FALSE	TRUE
Dclk1	chr3	TRUE	TRUE
Mrps27	chr13	FALSE	TRUE
Hacd2	chr16	FALSE	TRUE
Nsmf	chr2	TRUE	TRUE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	FALSE	TRUE
C530008M17Rik	chr5	TRUE	TRUE
Lmx1b	chr2	TRUE	TRUE
Ngly1	chr14	FALSE	TRUE
Aopep	chr13	FALSE	TRUE
Dbn1	chr13	TRUE	TRUE
Bicral	chr17	FALSE	TRUE
Dyrk1a	chr16	FALSE	TRUE
Stau2	chr1	FALSE	TRUE
Specc1	chr11	FALSE	TRUE
Tshz1	chr18	FALSE	TRUE
Plxdc1	chr11	TRUE	TRUE
Myo9a	chr9	FALSE	TRUE
Myo5a	chr9	FALSE	TRUE
Rad51b	chr12	TRUE	TRUE
Pdia5	chr16	FALSE	TRUE
Camk4	chr18	FALSE	TRUE
Tnik	chr3	FALSE	TRUE
Pde4d	chr13	FALSE	TRUE
Nrxn3	chr12	TRUE	TRUE
Apbb2	chr5	FALSE	TRUE
Plekhd1	chr12	TRUE	TRUE
Kctd12	chr14	FALSE	TRUE
Cnnm2	chr19	FALSE	TRUE
Kalrn	chr16	TRUE	TRUE
Mgat5	chr1	FALSE	TRUE
Kif1b	chr4	FALSE	TRUE
Efcab2	chr1	FALSE	TRUE
Pax3	chr1	TRUE	TRUE
Arhgef3	chr14	TRUE	TRUE
Usp34	chr11	FALSE	TRUE
Srpk2	chr5	FALSE	TRUE
Rfx7	chr9	FALSE	TRUE
Srgap3	chr6	FALSE	TRUE
Coro7	chr16	FALSE	TRUE
Epas1	chr17	TRUE	TRUE
Zfp407	chr18	TRUE	TRUE
Lrrn2	chr1	FALSE	TRUE
Rasa3	chr8	FALSE	TRUE
Med12l	chr3	FALSE	TRUE
Inf2	chr12	TRUE	TRUE
Trim71	chr9	TRUE	TRUE
Scn8a	chr15	TRUE	TRUE
Ube2e1	chr14	FALSE	TRUE
Scn1a	chr2	TRUE	TRUE
Slc22a23	chr13	FALSE	TRUE
Tlcd4	chr3	FALSE	TRUE
Ece1	chr4	FALSE	TRUE
Srgap2	chr1	FALSE	TRUE
Cntnap4	chr8	FALSE	TRUE
Pknox2	chr9	FALSE	TRUE
Cav2	chr6	FALSE	TRUE
Zfp804a	chr2	FALSE	TRUE
Mprip	chr11	FALSE	TRUE
Kcna2	chr3	TRUE	TRUE
Frmd5	chr2	FALSE	TRUE
Lrrc8b	chr5	TRUE	TRUE
Jakmip1	chr5	FALSE	TRUE
Hibadh	chr6	FALSE	TRUE
Rps6ka2	chr17	FALSE	TRUE
Foxo6	chr4	TRUE	TRUE
Dock5	chr14	TRUE	TRUE
Nedd4l	chr18	FALSE	TRUE
1700011L22Rik	chr8	FALSE	TRUE
Pde9a	chr17	FALSE	TRUE
Galnt18	chr7	FALSE	TRUE
Rbms3	chr9	TRUE	TRUE
Sipa1l1	chr12	FALSE	TRUE
Pbx1	chr1	FALSE	TRUE
Vgll4	chr6	FALSE	TRUE
Syn3	chr10	TRUE	TRUE
Arhgap10	chr8	FALSE	TRUE
Slc45a4	chr15	FALSE	TRUE
Nectin1	chr9	FALSE	TRUE
Hpse2	chr19	TRUE	TRUE
Sec16b	chr1	TRUE	TRUE
Rims1	chr1	FALSE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
Slc9a9	chr9	TRUE	TRUE
Mindy3	chr2	FALSE	TRUE
Slc10a7	chr8	FALSE	TRUE
Rp9	chr9	FALSE	TRUE
Osbpl1a	chr18	FALSE	TRUE
Atg4c	chr4	FALSE	TRUE
Tmem156	chr5	FALSE	TRUE
Ptgis	chr2	TRUE	TRUE
Sv2c	chr13	TRUE	TRUE
Sort1	chr3	FALSE	TRUE
Lrp1b	chr2	FALSE	TRUE
Rnf216	chr5	FALSE	TRUE
Limch1	chr5	FALSE	TRUE
Kif16b	chr2	FALSE	TRUE
Armc8	chr9	FALSE	TRUE
Sh3d19	chr3	FALSE	TRUE
Cbs	chr17	TRUE	TRUE
Gabra2	chr5	TRUE	TRUE
Otof	chr5	TRUE	TRUE
