gene_name	chr	start	end	gene_length	mch_diff	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_sig	mecp2_direction
Krtap17-1	chr11	99993233	99993994	761	-0.00975817517099301	0.441810278429087	FALSE	1.10251429159314	0.0152737992611732	TRUE	Gained
Pnma5	chrX	73033980	73037103	3123	0.00671434366098669	0.447784705460303	FALSE	1.03533322384588	0.0178399375372035	TRUE	Gained
Ucp2	chr7	100493336	100502020	8684	-0.00131479453477682	0.49125997337002	FALSE	-1.05335446308952	0.0122661995087943	TRUE	Lost
Galr1	chr18	82392379	82406777	14398	-0.000596677917907684	0.551253023230341	FALSE	-0.831531973096358	0.0235637165018492	TRUE	Lost
Pcdh18	chr3	49743295	49757325	14030	0.000379456296403	0.554583941599664	FALSE	0.782599492880905	0.0227061480901954	TRUE	Gained
Rtl5	chrX	102066543	102071304	4761	-0.00335421152557172	0.563675884197202	FALSE	-1.15668770358663	0.0218676842878573	TRUE	Lost
Il10	chr1	131019844	131024974	5130	0.00565816309782717	0.567080071632803	FALSE	0.863012243324577	0.0304691711178053	TRUE	Gained
Neurod2	chr11	98325414	98329648	4234	0.00276017844151205	0.576670450422045	FALSE	-0.846050245610932	0.0364869504864766	TRUE	Lost
Ism2	chr12	87278637	87299705	21068	0.00124205540171783	0.604745338317327	FALSE	0.83766656328672	0.0346658278260445	TRUE	Gained
Prlh	chr1	90953107	90954027	920	-0.00108933323318236	0.63022467231909	FALSE	-0.957708335884812	0.0207806839934431	TRUE	Lost
Emp3	chr7	45918022	45921404	3382	0.00385237560660622	0.644356507376074	FALSE	-0.864618114952605	0.0399595046969391	TRUE	Lost
Fam184a	chr10	53633144	53751123	117979	0.00247635406053675	0.648002523320652	FALSE	-0.930749086950619	0.0308231893166728	TRUE	Lost
Prelid1	chr13	55320499	55325272	4773	0.00393719126469505	0.66367787866097	FALSE	-0.802661406409176	0.0448505302918578	TRUE	Lost
9330182O14Rik	chr15	40134364	40150010	15646	-0.000475072352680314	0.671369539708687	FALSE	-0.841069234132557	0.0302690445503165	TRUE	Lost
Rbm24	chr13	46418433	46431095	12662	0.00278585088801209	0.67314114283253	FALSE	-1.02567827075599	0.0178865915153071	TRUE	Lost
Col12a1	chr9	79598990	79718831	119841	0.00199816952997273	0.67476463286774	FALSE	-1.28247539214014	0.00108005847872875	TRUE	Lost
Faap24	chr7	35392151	35396836	4685	0.00474650555976091	0.685555944998858	FALSE	-0.861546713821655	0.0258245817594812	TRUE	Lost
Ppp1r14a	chr7	29289307	29293801	4494	0.00257980499521403	0.708056433723051	FALSE	0.744287665158419	0.0323649227016224	TRUE	Gained
Eno1b	chr18	48045334	48048412	3078	-0.00242615935324541	0.730892043366009	FALSE	-1.14241652366152	0.0291907271285741	TRUE	Lost
Ywhah	chr5	33018815	33027966	9151	0.000343446449659952	0.734528440613426	FALSE	-1.20362540893027	0.00544523235891434	TRUE	Lost
Crisp4	chr1	18115190	18145902	30712	0.00295123920054559	0.7377876862649	FALSE	2.16374990701327	2.72225242548035e-05	TRUE	Gained
Cep97	chr16	55899887	55934855	34968	0.00201329809350857	0.860557428751099	FALSE	-0.755043324511798	0.0464024347783689	TRUE	Lost
Cnr1	chr4	33924592	33948831	24239	0.00205288298364267	0.900875550301899	FALSE	1.09372242453421	0.00494394072279715	TRUE	Gained
Cypt12	chr3	17948409	17948959	550	-0.000166887199615325	0.914661688646109	FALSE	1.78114387450773	3.19822930723053e-05	TRUE	Gained
Sprn	chr7	140150627	140154877	4250	0.000772485064902326	0.963503883370997	FALSE	-0.757774807373067	0.043670574128586	TRUE	Lost
Cltb	chr13	54592400	54611344	18944	0.000637408721877253	0.966257334329727	FALSE	-0.744082526753071	0.049316811866315	TRUE	Lost
Slitrk1	chr14	108908799	108914158	5359	0.00132077053594031	0.979509573196336	FALSE	3.39773020925026	8.87703610793645e-12	TRUE	Gained
Hif1a	chr12	73901374	73947530	46156	0.00258049273239556	0.985829774255936	FALSE	1.24855898984477	0.00358139736458797	TRUE	Gained
