gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_sig	mecp2_direction	group	k119ub_fold	k119ub_fdr	k119ub_min_fdr	k119ub_n_peaks	k119ub_n_sig	k119ub_has_sig	k27me3_fold	k27me3_fdr	k27me3_min_fdr	k27me3_n_peaks	k27me3_n_sig	k27me3_has_sig	k27ac_fold	k27ac_fdr	k27ac_min_fdr	k27ac_n_peaks	k27ac_n_sig	k27ac_has_sig	atac_fold	atac_fdr	atac_min_fdr	atac_n_peaks	atac_n_sig	atac_has_sig	k119ub_gb_ctrl_signal	k119ub_gb_mut_signal	k119ub_gb_log2fc	k119ub_gb_class	in_mecp2_no_mch	k119ub_signal_gain	k119ub_peak_gain
Hgd	ENSMUSG00000022821.13	chr16	37580152	37632020	51868	0.0314170631567474	0.0529528451251978	0.0215357819684505	0.695099479654119	2.01438202285783e-12	TRUE	1.08783678295554	0.0173936715127865	1.48066937397647e-13	12	6	TRUE	TRUE	Gained	MeCP2_and_mCH	1.260382808	6.32e-31	4.47e-45	4	4	TRUE	NA	NA	NA	NA	NA	NA	-2.07400549760277	3.98670901863551e-47	6.02861514628987e-60	4	4	TRUE	-0.61290664138579	0.00116752740551029	1.34549943888495e-09	6	4	TRUE	1.635099	4.234805	1.263758	quantifiable	FALSE	TRUE	TRUE
Cmip	ENSMUSG00000034390.16	chr8	117257063	117459430	202367	0.0415558685451009	0.0319125880689327	-0.00964328047616819	-0.478447147339527	5.03410376314445e-12	TRUE	-0.82258997187172	0.0235067463817461	1.04251896866429e-06	63	11	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.378176052	0.001066548	1.73e-08	21	15	TRUE	-1.02040519935982	1.67691638737475e-06	5.02994325841431e-08	6	6	TRUE	0.494185234413241	0.0106578626470079	0.0106578626470079	1	1	TRUE	0.142153084868365	0.400371027175839	0.0229360590345643	14	1	TRUE	3.343916	2.78447	-0.246335	quantifiable	FALSE	FALSE	FALSE
Ccdc192	ENSMUSG00000058925.11	chr18	57533779	57731065	197286	0.0311064153838948	0.0437083920338592	0.0126019766499644	0.424150311519031	7.0060800467962e-12	TRUE	1.73413223813634	2.06372487287673e-05	2.06372487287673e-05	6	3	TRUE	TRUE	Gained	MeCP2_and_mCH	0.861810419	5.56e-20	5.56e-20	4	4	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0409377824000692	0.846858367714488	0.846858367714488	1	0	FALSE	1.743127	3.660984	0.983183	quantifiable	FALSE	TRUE	TRUE
Snca	ENSMUSG00000025889.13	chr6	60731574	60829855	98281	0.0286772556764082	0.0443873691124029	0.0157101134359947	0.586118798230916	7.0060800467962e-12	TRUE	2.2326097199753	1.15962971694167e-09	1.15962971694167e-09	14	5	TRUE	TRUE	Gained	MeCP2_and_mCH	0.605637599	1.45e-10	4.74e-17	10	7	TRUE	NA	NA	NA	NA	NA	NA	-1.00301273502346	6.29706881588024e-08	1.30063671360118e-11	4	4	TRUE	-0.262838917410768	0.122981944860039	1.35528559756937e-08	8	2	TRUE	1.95323	2.67547	0.413917	quantifiable	FALSE	TRUE	TRUE
Lamb3	ENSMUSG00000026639.18	chr1	193207698	193343878	136180	0.0342611996310923	0.0486914686220025	0.0144302689909102	0.439948159320804	1.69868733830918e-11	TRUE	0.973031128506871	0.0124350868072545	8.13072310268626e-17	18	11	TRUE	TRUE	Gained	MeCP2_and_mCH	1.440516722	6.08e-19	1.14e-38	7	7	TRUE	NA	NA	NA	NA	NA	NA	-1.65461690939926	2.31010061280625e-20	2.31010061280625e-20	5	5	TRUE	-0.37436494826098	0.0637488892522565	0.0637488892522565	7	0	FALSE	2.143475	4.10954	0.873238	quantifiable	FALSE	TRUE	TRUE
Col27a1	ENSMUSG00000045672.15	chr4	63214003	63334991	120988	0.0730885097471241	0.0584858834312083	-0.0146026263159157	-0.367783099887131	5.16122544810277e-11	TRUE	-0.85081029404536	0.022180385915846	0.000363584646766538	35	8	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.687177416	4.13e-05	6.79e-08	15	9	TRUE	-0.607782654470322	2.41304753176461e-05	3.91498006392399e-09	8	8	TRUE	0.63287764661935	0.0117072370454693	0.0117072370454693	2	1	TRUE	0.337763304749085	0.0763504687982941	1.3850211214957e-07	18	6	TRUE	8.598373	8.436935	-0.026655	quantifiable	FALSE	FALSE	FALSE
Ttr	ENSMUSG00000061808.4	chr18	20665279	20674321	9042	0.0315572700514149	0.0739399024418459	0.0423826323904309	1.22206347051019	5.71481354596418e-11	TRUE	2.15264017199075	0.000390989948508937	0.000390989948508937	4	1	TRUE	TRUE	Gained	MeCP2_and_mCH	1.666535201	9.79e-21	1.28e-25	2	2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.632642513255404	0.0116605223436003	0.0033079607307715	2	2	TRUE	2.291446	6.621565	1.445722	quantifiable	FALSE	TRUE	TRUE
Clnk	ENSMUSG00000039315.15	chr5	38706461	38876812	170351	0.0386509031823507	0.0516315803607346	0.0129806771783839	0.36780633028441	7.12035092928699e-11	TRUE	3.33322444509235	2.23874354430314e-17	7.40347322073292e-18	80	30	TRUE	TRUE	Gained	MeCP2_and_mCH	1.394823712	4.47e-31	2.83e-69	47	45	TRUE	NA	NA	NA	NA	NA	NA	-0.930965564478216	9.17112213139611e-06	5.54386684745085e-34	8	8	TRUE	-0.0436102279828265	0.813911429694134	9.72203115972328e-08	19	5	TRUE	2.243061	4.226697	0.852219	quantifiable	FALSE	TRUE	TRUE
Svep1	ENSMUSG00000028369.15	chr4	58042441	58206859	164418	0.025526908589508	0.036875876873005	0.011348968283497	0.441791913885516	2.3180106228653e-10	TRUE	0.788126891036136	0.0253900691009933	8.22545590190593e-13	25	14	TRUE	TRUE	Gained	MeCP2_and_mCH	0.702770307	4.14e-09	2.21e-26	9	9	TRUE	NA	NA	NA	NA	NA	NA	-1.08710951872117	1.14887648392544e-09	2.67775787804748e-22	5	5	TRUE	-0.00172746578082674	0.994224650154151	0.00748910474988868	7	1	TRUE	1.272982	2.66177	0.948648	quantifiable	FALSE	TRUE	TRUE
Gm973	ENSMUSG00000047361.16	chr1	59516263	59636417	120154	0.0359640250152312	0.0487278314406366	0.0127638064254054	0.392848851087985	3.20946031242631e-10	TRUE	1.41748234028335	0.00373818188178717	1.56194285052217e-13	34	6	TRUE	TRUE	Gained	MeCP2_and_mCH	-0.089848389	0.639220635	4.12e-14	12	10	TRUE	NA	NA	NA	NA	NA	NA	-1.38980194905011	8.95019966253478e-19	8.95019966253478e-19	2	2	TRUE	0.114299795267269	0.590129642397776	1.77609291785221e-08	15	4	TRUE	1.972949	3.337942	0.698111	quantifiable	FALSE	TRUE	FALSE
Kbtbd12	ENSMUSG00000033182.12	chr6	88545113	88637950	92837	0.0263935856668194	0.0391157431866671	0.0127221575198477	0.489521963164117	3.71400242814923e-10	TRUE	2.91534065517854	7.14716517223626e-10	7.14716517223626e-10	9	5	TRUE	TRUE	Gained	MeCP2_and_mCH	1.112280502	3.73e-16	3.73e-16	3	2	TRUE	NA	NA	NA	NA	NA	NA	-1.75180179543345	1.69363075882264e-17	3.23516361328231e-22	2	2	TRUE	-0.683201152350993	0.000254422586723169	8.53845629405804e-07	2	2	TRUE	0.894093	1.639326	0.738787	quantifiable	FALSE	TRUE	TRUE
Ptchd4	ENSMUSG00000042256.5	chr17	42315946	42505077	189131	0.0287531205437746	0.0390681607525105	0.010315040208736	0.378139257899943	5.70156998415527e-10	TRUE	2.30193948920759	2.14206796006058e-08	2.86814533891151e-11	28	13	TRUE	TRUE	Gained	MeCP2_and_mCH	0.688210369	5.02e-14	1.52e-19	5	5	TRUE	NA	NA	NA	NA	NA	NA	-1.05879092975753	2.62195113611796e-09	5.39897507507275e-21	4	4	TRUE	-0.248575644638714	0.143022944369521	2.60600853114309e-08	12	6	TRUE	1.207365	1.716172	0.43979	quantifiable	FALSE	TRUE	TRUE
Npvf	ENSMUSG00000029831.7	chr6	50650671	50654439	3768	0.0271282666726436	0.0792525759910402	0.0521243093183966	1.53968887168773	2.26075509534322e-09	TRUE	2.26024342430506	2.28733352451015e-09	4.59607167795202e-12	13	3	TRUE	TRUE	Gained	MeCP2_and_mCH	1.344440112	4.08e-36	3.51e-45	6	6	TRUE	1.94400550519548	5.95427117652548e-28	5.95427117652548e-28	1	1	TRUE	-1.62043459794923	1.45817227521434e-17	1.60319410735966e-24	3	3	TRUE	-0.860770402863638	2.18350905428885e-07	2.18350905428885e-07	5	3	TRUE	1.039366	4.547467	1.920324	quantifiable	FALSE	TRUE	TRUE
Astn2	ENSMUSG00000028373.16	chr4	65380802	66404611	1023809	0.0218508185269298	0.0201864194693279	-0.00166439905760187	-0.252406426935463	3.67751107756761e-09	TRUE	1.49201155860686	0.000325014000745512	2.50474911637914e-19	51	23	TRUE	TRUE	Gained	MeCP2_and_mCH	0.263457647	0.029566419	1.62e-34	18	15	TRUE	NA	NA	NA	NA	NA	NA	-0.312415507972862	0.0480351538171777	3.89534339965016e-38	35	23	TRUE	0.558442526763228	0.00196278678759194	2.20685223118034e-08	36	10	TRUE	1.141438	1.187559	0.048056	quantifiable	FALSE	TRUE	TRUE
Hcn1	ENSMUSG00000021730.8	chr13	117602319	117987418	385099	0.0416257665352621	0.0510481176284276	0.00942235109316556	0.238257526519737	4.01713511647507e-09	TRUE	0.827754856900282	0.0294928433277512	7.83547742136017e-08	13	4	TRUE	TRUE	Gained	MeCP2_and_mCH	0.354486497	0.000176864	6.81e-29	6	5	TRUE	1.62065443492385	4.03174515819076e-08	2.36592487053623e-08	2	2	TRUE	0.0705728666786946	0.634338741500539	0.508496971540586	2	0	FALSE	0.119091929296398	0.491689867298024	0.214454282522824	5	0	FALSE	2.011634	3.493946	0.734791	quantifiable	FALSE	TRUE	TRUE
Adamts14	ENSMUSG00000059901.12	chr10	61197111	61273438	76327	0.0490754733219365	0.0393677617826176	-0.00970771153931893	-0.383882773379637	7.3977599427978e-09	TRUE	-1.50077105807706	0.000148662170481495	0.000148662170481495	22	5	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.335526574	0.000441103	4.9e-05	10	5	TRUE	-0.206867587182154	0.251282313075751	0.0451137773935486	7	1	TRUE	NA	NA	NA	NA	NA	NA	0.358841673773574	0.105208753375799	3.78407613743902e-06	7	1	TRUE	3.694983	3.380909	-0.120637	quantifiable	FALSE	FALSE	FALSE
Ercc8	ENSMUSG00000021694.18	chr13	108158730	108195364	36634	0.0167046667903539	0.0301659696552128	0.0134613028648589	0.729655334852925	7.86771214799258e-09	TRUE	3.69855119737642	1.31243965393824e-20	1.31243965393824e-20	4	2	TRUE	TRUE	Gained	MeCP2_and_mCH	0.851894345	1.28e-07	3.51e-44	3	3	TRUE	NA	NA	NA	NA	NA	NA	-2.138452110952	1.98371538378673e-29	1.47759466282926e-53	3	3	TRUE	0.0426034921359427	0.821814872658058	4.259647898686e-13	3	2	TRUE	1.310815	2.940131	1.045569	quantifiable	FALSE	TRUE	TRUE
Fam83g	ENSMUSG00000042377.8	chr11	61684090	61709951	25861	0.0574082154670137	0.0409064633591393	-0.0165017521078744	-0.573534763934098	9.89525732024177e-09	TRUE	-1.18683545952308	0.0021894348258858	0.0021894348258858	7	4	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.341861497	0.000397707	9.34e-08	2	2	TRUE	-0.257719323269793	0.223596795670842	0.223596795670842	1	0	FALSE	NA	NA	NA	NA	NA	NA	0.071161708923635	0.700157361295735	0.000670198840310834	5	1	TRUE	5.169791	4.404407	-0.220951	quantifiable	FALSE	FALSE	FALSE
Trio	ENSMUSG00000022263.10	chr15	27730650	28025848	295198	0.0187452544060095	0.016968659933989	-0.00177659447202051	-0.32302653358431	1.16154217027724e-08	TRUE	-0.866123698918975	0.0199349356938295	0.0199349356938295	94	1	TRUE	TRUE	Lost	MeCP2_and_mCH	0.120072591	0.367161476	6.78e-05	21	7	TRUE	0.356235755666009	0.116272897731109	0.0966026808399786	2	0	FALSE	1.49481922763807	8.48075386964766e-14	2.63133159691924e-22	37	28	TRUE	0.0242540195468333	0.901780195504292	1.07560969869012e-07	47	6	TRUE	1.947625	1.824256	-0.084529	quantifiable	FALSE	FALSE	FALSE
Bcl2l15	ENSMUSG00000044165.12	chr3	103832600	103854618	22018	0.0272288945415576	0.0474174594311745	0.0201885648896169	0.717932765036324	2.81530706740619e-08	TRUE	1.66374509179891	0.000163032297516809	0.000163032297516809	2	1	TRUE	TRUE	Gained	MeCP2_and_mCH	0.934164295	9.49e-12	9.49e-12	1	1	TRUE	NA	NA	NA	NA	NA	NA	-0.284042104698473	0.0779389325867821	7.61111846469525e-10	3	1	TRUE	0.00485046899465987	0.982448592955089	0.449027598722481	3	0	FALSE	0.707091	1.573721	0.951993	quantifiable	FALSE	TRUE	TRUE
F830045P16Rik	ENSMUSG00000043727.5	chr2	129458358	129536602	78244	0.0281407167321962	0.0394091090419968	0.0112683923098007	0.405659749090265	4.69222743057994e-08	TRUE	1.93920483159692	4.62415601316661e-07	1.13590971987127e-07	14	5	TRUE	TRUE	Gained	MeCP2_and_mCH	0.802560021	1.73e-12	1.73e-12	6	5	TRUE	NA	NA	NA	NA	NA	NA	-1.38253725656564	9.50598446171799e-16	9.50598446171799e-16	2	2	TRUE	0.0411435528507125	0.872247415482671	4.38523845017627e-07	6	1	TRUE	1.099638	1.572837	0.442033	quantifiable	FALSE	TRUE	TRUE
Pou2f2	ENSMUSG00000008496.19	chr7	25087343	25179726	92383	0.0249307321183729	0.0200037621259929	-0.00492696999238003	-0.461970823125774	9.65069443654423e-08	TRUE	-1.09215299695711	0.00758313331719319	0.00758313331719319	15	2	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.220970961	0.133771415	0.133771415	3	0	FALSE	NA	NA	NA	NA	NA	NA	1.30491759318122	9.61881842292043e-09	1.83003979602612e-15	4	3	TRUE	0.103142545085867	0.58567817201419	0.000233914860833017	6	2	TRUE	0.998716	0.843458	-0.196558	quantifiable	FALSE	FALSE	FALSE
St18	ENSMUSG00000033740.17	chr1	6487230	6860940	373710	0.0190396628890684	0.0257300491701346	0.00669038628106615	0.325958405340945	1.28089927338341e-07	TRUE	2.0276170138156	0.00158579225182744	4.32357301484269e-09	28	6	TRUE	TRUE	Gained	MeCP2_and_mCH	0.668177716	6.77e-06	8.11e-36	9	9	TRUE	NA	NA	NA	NA	NA	NA	-0.0284943074469395	0.879174243792236	8.48601033832553e-07	11	5	TRUE	0.144013453166951	0.529946689506353	8.89584053242797e-05	19	1	TRUE	0.714069	1.252479	0.656511	quantifiable	FALSE	TRUE	TRUE
Dgki	ENSMUSG00000038665.15	chr6	36846021	37300184	454163	0.0317751353570322	0.0296688427029053	-0.00210629265412692	-0.189488078991213	3.78929020740138e-07	TRUE	-0.72504423803412	0.0443371662312587	0.00130849955832757	60	2	TRUE	TRUE	Lost	MeCP2_and_mCH	0.125667057	0.162723396	1.9e-06	21	11	TRUE	NA	NA	NA	NA	NA	NA	0.406170321481444	0.0184139010820665	0.0184139010820665	3	1	TRUE	0.255384872854009	0.123565783079525	5.14260681369003e-08	24	7	TRUE	1.840201	2.224091	0.246487	quantifiable	FALSE	TRUE	FALSE
Ptgs1	ENSMUSG00000047250.13	chr2	36230425	36252272	21847	0.0482372285798025	0.0332724298022274	-0.014964798777575	-0.595789166497957	4.43059259795982e-07	TRUE	-0.645326762478671	0.0453782814722973	0.000512597425070553	14	2	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.167017504	0.278658483	3.69e-06	5	3	TRUE	0.0204885214182373	0.93860835905864	0.00100556536486914	4	1	TRUE	NA	NA	NA	NA	NA	NA	-0.636932442028485	0.000141099125268297	0.000141099125268297	6	4	TRUE	3.793265	3.42795	-0.137682	quantifiable	FALSE	FALSE	FALSE
Pnpla7	ENSMUSG00000036833.16	chr2	24976032	25054057	78025	0.0253591220446024	0.0205597512506948	-0.00479937079390766	-0.420715937654463	4.76994406033033e-07	TRUE	-1.28086127666007	0.00694294358243528	0.00694294358243528	9	2	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.499419529	4.91e-07	4.91e-07	4	3	TRUE	-0.601750324648288	0.00324557909110111	0.000496341042781725	3	2	TRUE	NA	NA	NA	NA	NA	NA	-0.148139376054014	0.425433473878101	0.425433473878101	2	0	FALSE	1.630786	1.284012	-0.299279	quantifiable	FALSE	FALSE	FALSE
Cep128	ENSMUSG00000061533.16	chr12	90998491	91384409	385918	0.0229009631509011	0.0287587195824887	0.00585775643158763	0.212516393305003	4.90886326579661e-07	TRUE	2.23739309956601	2.36507057339572e-06	4.26073046915305e-15	49	10	TRUE	TRUE	Gained	MeCP2_and_mCH	1.034520255	7.17e-11	1.06e-14	8	8	TRUE	NA	NA	NA	NA	NA	NA	-1.43724694342931	3.14400093547785e-14	3.14400093547785e-14	1	1	TRUE	-0.139433218469526	0.414038130565366	3.38063612926827e-09	7	1	TRUE	0.962408	1.377913	0.434385	quantifiable	FALSE	TRUE	TRUE
Cd83	ENSMUSG00000015396.4	chr13	43784774	43803132	18358	0.0381087031646447	0.0573197444151363	0.0192110412504916	0.531117548515913	7.71349962186771e-07	TRUE	1.49562561712984	7.50065282464853e-05	2.35224746749223e-16	41	13	TRUE	TRUE	Gained	MeCP2_and_mCH	0.161803337	0.262707586	1.08e-18	7	5	TRUE	NA	NA	NA	NA	NA	NA	-0.987546890866172	3.64400998753485e-07	9.18420677669737e-14	3	2	TRUE	-0.0113124340767844	0.957907682957017	2.17715319765534e-08	17	3	TRUE	2.962061	4.109837	0.444323	quantifiable	FALSE	TRUE	FALSE
Lipc	ENSMUSG00000032207.10	chr9	70798127	70952226	154099	0.0286693847081813	0.0358368088858352	0.00716742417765392	0.255265816055138	1.3225884836377e-06	TRUE	1.18870530013816	0.00844061140818742	1.66370741555531e-08	26	6	TRUE	TRUE	Gained	MeCP2_and_mCH	0.823068996	2.66e-08	2.66e-08	3	3	TRUE	NA	NA	NA	NA	NA	NA	-0.733349225207525	3.88682103639421e-05	1.97507132606715e-15	5	5	TRUE	-0.400717323320934	0.013963336139991	7.17220830331905e-06	13	6	TRUE	1.028326	1.49357	0.456936	quantifiable	FALSE	TRUE	TRUE
Ap3b1	ENSMUSG00000021686.6	chr13	94358959	94566317	207358	0.0314395511578551	0.029082593319702	-0.00235695783815312	-0.225197194201828	1.46718639131326e-06	TRUE	1.41162722972763	0.00172316973681653	0.00172316973681653	43	3	TRUE	TRUE	Gained	MeCP2_and_mCH	0.094625036	0.607262387	3.3e-13	17	8	TRUE	1.61725370075357	9.9400057043281e-15	9.9400057043281e-15	12	9	TRUE	-0.326895040894712	0.0702220485120196	0.0702220485120196	1	0	FALSE	-0.0141346734486622	0.942281688910143	0.0568436414526648	10	0	FALSE	2.057734	2.6148	0.315618	quantifiable	FALSE	TRUE	FALSE
Epyc	ENSMUSG00000019936.10	chr10	97644067	97682454	38387	0.028042664816363	0.0409333778242703	0.0128907130079073	0.462405419999144	1.51697624800276e-06	TRUE	1.01069128485294	0.0155971497444747	0.0155971497444747	1	1	TRUE	TRUE	Gained	MeCP2_and_mCH	NA	NA	NA	NA	NA	NA	3.01684137922033	1.54977802888956e-21	1.54977802888956e-21	1	1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.584327	2.825188	0.754993	quantifiable	FALSE	TRUE	NA
Tdo2	ENSMUSG00000028011.16	chr3	81957089	81976202	19113	0.0258558864679344	0.0418845389204795	0.0160286524525451	0.653257536275427	1.53564912817472e-06	TRUE	1.47339605933003	0.00401783966033787	0.00401783966033787	2	1	TRUE	TRUE	Gained	MeCP2_and_mCH	1.285385638	6.05e-20	6.05e-20	1	1	TRUE	NA	NA	NA	NA	NA	NA	-1.6719990640581	2.77328115691284e-16	2.77328115691284e-16	1	1	TRUE	-0.0823770573533506	0.719317380399039	0.719317380399039	2	0	FALSE	1.513451	3.704809	1.178865	quantifiable	FALSE	TRUE	TRUE
