gene_name	mecp2_tss_fold	mecp2_tss_fdr	mecp2_tss_min_fdr	mecp2_tss_n_peaks	mecp2_tss_n_sig	mecp2_tss_has_sig	mecp2_med_fold	mecp2_med_fdr	mecp2_med_min_fdr	mecp2_med_n_peaks	mecp2_med_n_sig	mecp2_med_has_sig	chr	min_abs_dist_tss	total_peak_width	annot_gene_length	gained_nearest_tss	lost_nearest_tss	gained_median_sig	lost_median_sig	sign_flip	many_peaks
1500026H17Rik	0.034952121456466	0.886030117723985	0.886030117723985	1	0	FALSE	0.034952121456466	0.886030117723985	0.886030117723985	1	0	FALSE	chr10	8650	401	14496	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600002D24Rik	-0.121530155648786	1	0.0903632712331809	38	0	FALSE	-0.00081390247488107	0.0903632712331809	0.0903632712331809	38	0	FALSE	chr16	570	15238	87192	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1600010M07Rik	-0.00985536577343932	0.974356399201369	0.811590809880685	3	0	FALSE	-0.00985536577343932	0.811590809880685	0.811590809880685	3	0	FALSE	chr7	1503	1203	152791	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600012P17Rik	-0.150573496480457	0.532168930345972	0.532168930345972	4	0	FALSE	-0.0249972941091404	0.532168930345972	0.532168930345972	4	0	FALSE	chr1	10469	1604	22364	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600014C10Rik	0.0128533613783884	0.953222226949511	0.607856274681402	12	0	FALSE	-0.000968167475977815	0.607856274681402	0.607856274681402	12	0	FALSE	chr7	0	4812	13916	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1600014C23Rik	-0.0395026088749756	0.845422020060042	0.612523548324728	4	0	FALSE	-0.0206293547745008	0.612523548324728	0.612523548324728	4	0	FALSE	chr17	20	1604	981	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600019K03Rik	-0.0884334429814559	0.657807407884921	0.657807407884921	4	0	FALSE	-0.0439603531702999	0.657807407884921	0.657807407884921	4	0	FALSE	chr16	0	1604	6250	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600020E01Rik	-0.0458834040063091	0.817563282798328	0.757683363075459	3	0	FALSE	-0.0458834040063091	0.757683363075459	0.757683363075459	3	0	FALSE	chr6	0	1203	55227	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1600025M17Rik	-0.17392109114417	1	1	2	0	FALSE	0.0816279962352735	1	1	2	0	FALSE	chrX	31800	802	3057	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1600027J07Rik	0.0344555893513655	0.893939123002738	0.50731112107352	25	0	FALSE	-0.00296346996701972	0.50731112107352	0.50731112107352	25	0	FALSE	chr8	8260	10025	3657	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1600029I14Rik	0.0520742569926094	0.823929021830766	0.312495622705239	11	0	FALSE	0.00868976152085608	0.312495622705239	0.312495622705239	11	0	FALSE	chr9	0	4411	4331	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700001D01Rik	-0.100998788645821	0.667097474531236	0.633059774304376	6	0	FALSE	-0.00209690259968847	0.633059774304376	0.633059774304376	6	0	FALSE	chr8	4304	2406	7351	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700001G11Rik	0.0416037247393116	0.869594461660998	0.770617113201742	4	0	FALSE	0.0088188568555949	0.770617113201742	0.770617113201742	4	0	FALSE	chr14	1312	1604	1796	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001G17Rik	0.083854357376564	1	1	1	0	FALSE	0.083854357376564	1	1	1	0	FALSE	chr1	17723	401	870	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001J03Rik	0.0358290577244822	0.867729246601066	0.661594831626871	9	0	FALSE	0.0152823043595808	0.661594831626871	0.661594831626871	9	0	FALSE	chr5	0	3609	1846	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700001J11Rik	0.0894922041625432	0.695594282281443	0.136663250201173	3	0	FALSE	-0.350859357683458	0.136663250201173	0.136663250201173	3	0	FALSE	chr9	1069	1203	2463	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1700001K19Rik	-0.000619518738729567	0.998390770982109	0.998390770982109	1	0	FALSE	-0.000619518738729567	0.998390770982109	0.998390770982109	1	0	FALSE	chr12	0	401	13762	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700001K23Rik	-0.0307070102067162	0.886432233405088	0.119565108393723	11	0	FALSE	-0.0113999231968317	0.119565108393723	0.119565108393723	11	0	FALSE	chr19	2483	4411	6455	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700001L05Rik	0.0135976675989895	0.959586244787392	0.866781831955715	4	0	FALSE	-0.00211227151336099	0.866781831955715	0.866781831955715	4	0	FALSE	chr15	0	1604	9478	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1700001O22Rik	0.00803504086634857	0.968695311625358	0.367282216525938	13	0	FALSE	0.00803504086634857	0.367282216525938	0.367282216525938	13	0	FALSE	chr2	96	5213	6407	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700003C15Rik	-0.0147835463643749	1	1	1	0	FALSE	-0.0147835463643749	1	1	1	0	FALSE	chr5	4468	401	19477	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003F12Rik	0.087072367694919	0.650000529453903	0.650000529453903	1	0	FALSE	0.087072367694919	0.650000529453903	0.650000529453903	1	0	FALSE	chr2	0	401	1116	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003G18Rik	-0.0153825136850828	0.925667111375523	0.925667111375523	2	0	FALSE	-0.0249695658346907	0.925667111375523	0.925667111375523	2	0	FALSE	chr7	0	802	11209	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003H04Rik	0.00860169670610791	0.976074741947406	0.976074741947406	2	0	FALSE	0.0395204709514577	0.976074741947406	0.976074741947406	2	0	FALSE	chr3	6885	802	5284	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700003I22Rik	-0.0952548374930998	1	0.363900085288787	10	0	FALSE	0.00187030588652579	0.363900085288787	0.363900085288787	10	0	FALSE	chr1	1174	4010	1226	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700003L19Rik	0.0324626603374813	1	0.124412087045811	26	0	FALSE	0.000968724641142205	0.124412087045811	0.124412087045811	26	0	FALSE	chr16	5296	10426	17720	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700003M07Rik	0.0493421039341163	0.812487894512049	0.624197572067659	9	0	FALSE	0.00356907297781227	0.624197572067659	0.624197572067659	9	0	FALSE	chr4	1660	3609	2850	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700003P14Rik	0.0471824982055425	1	1	1	0	FALSE	0.0471824982055425	1	1	1	0	FALSE	chr13	1496	401	32462	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700006A11Rik	-0.0618586480031135	1	1	3	0	FALSE	-0.0618586480031135	1	1	3	0	FALSE	chr3	3547	1203	24768	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700006F04Rik	-0.0224923105273398	1	0.223254402240067	41	0	FALSE	-0.0297573839556409	0.223254402240067	0.223254402240067	41	0	FALSE	chr14	3632	16441	2340	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700006H21Rik	-0.033319967057375	0.866020918539146	0.169875481726336	27	0	FALSE	-0.0222421577090084	0.169875481726336	0.169875481726336	27	0	FALSE	chr13	0	10827	4766	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700007F19Rik	0.825238576446639	0.0487470777282628	0.0487470777282628	10	1	TRUE	0.825238576446639	0.0487470777282628	0.0487470777282628	10	1	TRUE	chr3	1251	4010	22101	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
1700007J10Rik	0.0174129287626722	0.945816208739762	0.945816208739762	1	0	FALSE	0.0174129287626722	0.945816208739762	0.945816208739762	1	0	FALSE	chr11	80	401	6856	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700007L15Rik	0.00111672175911509	1	0.458172071201954	3	0	FALSE	-0.0120652474574677	0.458172071201954	0.458172071201954	3	0	FALSE	chr16	35843	1203	822	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1700008C04Rik	-0.0151642160900367	0.952483483959233	0.359231429062825	24	0	FALSE	-0.0124820896289291	0.359231429062825	0.359231429062825	24	0	FALSE	chr12	156	9624	57386	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700008K24Rik	0.0254005437138666	0.911271467902251	0.00344640322848551	46	2	TRUE	-0.948825221772202	0.00344640322848551	0.00344640322848551	46	2	TRUE	chr17	279	18446	1172	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
1700008O03Rik	0.136691834188518	0.549349057829352	0.433150001894597	8	0	FALSE	-0.0609005027001701	0.433150001894597	0.433150001894597	8	0	FALSE	chr7	0	3208	14988	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700008P02Rik	0.220423002425494	1	0.978003456750538	6	0	FALSE	0.0138296273982275	0.978003456750538	0.978003456750538	6	0	FALSE	chr3	225205	2406	5026	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700009C05Rik	0.0532899164659944	0.762031806383072	0.762031806383072	2	0	FALSE	0.0367894756372171	0.762031806383072	0.762031806383072	2	0	FALSE	chr6	325	802	10337	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700009J07Rik	-0.0218363803844878	0.921406017036604	0.780365154797155	5	0	FALSE	-0.00491888455178661	0.780365154797155	0.780365154797155	5	0	FALSE	chr10	0	2005	2698	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700009N14Rik	0.0241450485314118	0.924630270408645	1.33293477252987e-12	21	5	TRUE	2.66006019603788	1.33293477252987e-12	1.33293477252987e-12	21	5	TRUE	chr4	235	8421	1482	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700010B08Rik	0.0835164118352603	1	1	1	0	FALSE	0.0835164118352603	1	1	1	0	FALSE	chr2	5201	401	2675	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010I02Rik	0.290664786137038	0.315151061152178	1.98259074320411e-05	4	1	TRUE	1.39058202035704	1.98259074320411e-05	1.98259074320411e-05	4	1	TRUE	chr3	141057	1604	29580	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700010I14Rik	-0.0109358157696343	0.965707926438604	1.89628414736968e-05	16	3	TRUE	1.07252564369439	1.89628414736968e-05	1.89628414736968e-05	16	3	TRUE	chr17	2633	6416	16881	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1700010J16Rik	0.736614246453099	1	1	1	0	FALSE	0.736614246453099	1	1	1	0	FALSE	chr10	77685	401	58712	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700010K23Rik	0.685205305872408	1	2.34171227048983e-05	8	1	TRUE	2.1360910022047	2.34171227048983e-05	2.34171227048983e-05	8	1	TRUE	chr16	2258	3208	7509	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700010N08Rik	-0.00116465719572283	0.997074550980907	0.997074550980907	3	0	FALSE	-0.00116465719572283	0.997074550980907	0.997074550980907	3	0	FALSE	chr7	7186	1203	68872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700011B04Rik	-0.192291451510488	0.383691789211659	0.383691789211659	3	0	FALSE	-0.0665640837844766	0.383691789211659	0.383691789211659	3	0	FALSE	chr13	0	1203	1782	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700011C11Rik	-0.0247854267823293	1	0.524240563886275	3	0	FALSE	-0.0247854267823293	0.524240563886275	0.524240563886275	3	0	FALSE	chr7	79	1203	66145	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700011L22Rik	-0.10224888319997	0.647896453896231	1.67820905984799e-13	8	1	TRUE	2.66019186539365	1.67820905984799e-13	1.67820905984799e-13	8	1	TRUE	chr8	0	3208	25247	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1700012A03Rik	0.035815175860583	0.887518367723202	0.113536962115948	53	0	FALSE	-0.0203516317525671	0.113536962115948	0.113536962115948	53	0	FALSE	chr6	2079	21253	8631	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700012B07Rik	-0.0808032257205777	0.740075826785411	0.645184955942786	5	0	FALSE	-0.0538568610594955	0.645184955942786	0.645184955942786	5	0	FALSE	chr11	2818	2005	22477	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700012B09Rik	-0.102360313832776	0.630423834373657	0.630423834373657	1	0	FALSE	-0.102360313832776	0.630423834373657	0.630423834373657	1	0	FALSE	chr9	0	401	14421	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700012C14Rik	-0.0692914944591561	0.722294746258457	0.000320556585639318	10	2	TRUE	1.28311156097509	0.000320556585639318	0.000320556585639318	10	2	TRUE	chr6	0	4010	2329	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1700012D16Rik	0.0157483867302526	0.944432161393472	0.0551818507469587	48	0	FALSE	0.0139489336754412	0.0551818507469587	0.0551818507469587	48	0	FALSE	chr3	0	19248	2146	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700012I11Rik	0.00398801371677377	0.990275016846756	0.213075889720222	25	0	FALSE	0.00398801371677377	0.213075889720222	0.213075889720222	25	0	FALSE	chr15	2960	10025	150326	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700013G24Rik	0.0238334969274457	0.918324496657185	0.918324496657185	2	0	FALSE	0.0113125757751093	0.918324496657185	0.918324496657185	2	0	FALSE	chr4	1630	802	2178	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700013H16Rik	-0.0153058639404051	0.953036112975076	0.938043372127302	2	0	FALSE	-0.0190262499955219	0.938043372127302	0.938043372127302	2	0	FALSE	chrX	920	802	14931	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016A09Rik	-0.0108819215488957	1	1	1	0	FALSE	-0.0108819215488957	1	1	1	0	FALSE	chr8	0	401	835	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016G22Rik	0.0346032086186291	0.852132329957654	0.000191735871393273	15	3	TRUE	1.60036798974705	0.000191735871393273	0.000191735871393273	15	3	TRUE	chr13	0	6015	2047	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700016H13Rik	0.110553945048192	0.57881470750946	0.57881470750946	3	0	FALSE	0.0539333903156235	0.57881470750946	0.57881470750946	3	0	FALSE	chr5	0	1203	7137	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700016K05Rik	-0.0570855024298149	0.807711271338377	0.528767157691291	15	0	FALSE	-0.0100319313766078	0.528767157691291	0.528767157691291	15	0	FALSE	chr17	496	6015	6032	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700016L21Rik	-0.077440303752193	1	0.585737321035585	17	0	FALSE	0.0250659635875222	0.585737321035585	0.585737321035585	17	0	FALSE	chr1	587	6817	33928	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700016P04Rik	-0.164854444024278	1	1	1	0	FALSE	-0.164854444024278	1	1	1	0	FALSE	chr6	47983	401	2660	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700017B05Rik	0.0045915790976692	0.987666748270212	0.328211782026093	11	0	FALSE	-0.0014939870582341	0.328211782026093	0.328211782026093	11	0	FALSE	chr9	149	4411	8938	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700017G19Rik	-0.0924927371162332	0.643203637848263	0.0201306920699396	39	1	TRUE	0.955498905418372	0.0201306920699396	0.0201306920699396	39	1	TRUE	chr3	80	15639	18046	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1700017J07Rik	0.0353577758909044	0.843716443902247	0.463016433967367	40	0	FALSE	-0.0001454139996487	0.463016433967367	0.463016433967367	40	0	FALSE	chr2	4966	16040	639	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700017L05Rik	0.0133011280400602	1	3.65935576353781e-07	46	2	TRUE	1.67284621439289	3.65935576353781e-07	3.65935576353781e-07	46	2	TRUE	chr5	1311	18446	3364	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700017N19Rik	0.26347695168054	0.302554853007196	1.42286382004076e-09	2	1	TRUE	2.39696040671764	1.42286382004076e-09	1.42286382004076e-09	2	1	TRUE	chr10	3672	802	9155	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
1700018A04Rik	-0.0374491630678138	0.853103195680335	0.422771680231848	9	0	FALSE	-0.0232850185362879	0.422771680231848	0.422771680231848	9	0	FALSE	chr13	920	3609	47354	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700018B08Rik	0.0297899758933663	0.880835710249822	0.01733630355173	52	2	TRUE	-0.844392095442852	0.01733630355173	0.01733630355173	52	2	TRUE	chr8	0	20852	11175	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE
1700019A02Rik	-0.0054989870003547	0.983930274459243	0.00528952350834866	3	1	TRUE	1.65166903527602	0.00528952350834866	0.00528952350834866	3	1	TRUE	chr1	0	1203	29009	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE
1700019C18Rik	-0.0022352296768039	0.989289284374341	0.174762211308531	26	0	FALSE	0.0389006350697206	0.174762211308531	0.174762211308531	26	0	FALSE	chr13	309	10426	1389	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700019D03Rik	-0.0227370580407375	0.925750921419538	1.37936813822199e-05	10	2	TRUE	1.57085907234504	1.37936813822199e-05	1.37936813822199e-05	10	2	TRUE	chr1	0	4010	94997	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE
1700019E08Rik	0.305036151371427	0.272722154767513	2.05785504481051e-07	35	6	TRUE	1.54995878005787	2.05785504481051e-07	2.05785504481051e-07	35	6	TRUE	chr2	78559	14035	1268	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700019G24Rik	0.0655502789226467	0.761601122251733	0.00598431321903741	15	1	TRUE	1.17285075618855	0.00598431321903741	0.00598431321903741	15	1	TRUE	chr6	7196	6015	13485	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE
1700019M22Rik	-0.0173881633742298	1	1	9	0	FALSE	-0.0284298765265824	1	1	9	0	FALSE	chr12	10344	3609	354	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
1700019P21Rik	-0.0105781609563449	1	0.295502208460231	6	0	FALSE	0.00312373924726655	0.295502208460231	0.295502208460231	6	0	FALSE	chr1	20649	2406	680	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
1700020G17Rik	0.0481824403952443	1	0.803681386316924	2	0	FALSE	-0.0042649717010604	0.803681386316924	0.803681386316924	2	0	FALSE	chr10	9168	802	83745	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
1700020L24Rik	-0.0708143430199769	0.73617961196985	0.500580640734544	4	0	FALSE	-0.0578237312720848	0.500580640734544	0.500580640734544	4	0	FALSE	chr11	451	1604	698	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1700020M21Rik	0.0551390546521173	0.811871742072608	0.0955276631630243	40	0	FALSE	6.75303512152652e-05	0.0955276631630243	0.0955276631630243	40	0	FALSE	chr9	1819	16040	1479	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
