gene_name	ctrl_aging_fold	ctrl_aging_fdr	ctrl_aging_min_fdr	ctrl_aging_n_peaks	ctrl_aging_n_sig	ctrl_aging_has_sig	ctrl_aging_n_sig_up	ctrl_aging_n_sig_down	ctrl_aging_max_fold	ctrl_aging_min_fold	ctrl_aging_mean_fold	mut_aging_fold	mut_aging_fdr	mut_aging_min_fdr	mut_aging_n_peaks	mut_aging_n_sig	mut_aging_has_sig	mut_aging_n_sig_up	mut_aging_n_sig_down	mut_aging_max_fold	mut_aging_min_fold	mut_aging_mean_fold	has_ctrl_peak	has_mut_peak	in_universe	ctrl_aging_up	mut_aging_up	ctrl_aging_down	mut_aging_down	ctrl_aging_sig	mut_aging_sig	mut_specific_aging_up	shared_aging_up	ctrl_specific_aging_up	chr	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_hyper	mch_hypo	mch_direction	mch_diff_pct	aging_group
1110065P20Rik	-0.0854032909638814	0.401103372398982	0.401103372398982	7	0	FALSE	0	0	0.189846781208126	-0.298275513370378	-0.0638607686329176	-0.89756666146055	0.0099625061425685	0.0099625061425685	7	2	TRUE	0	2	-0.0913680462692485	-0.913005389496469	-0.457378716171777	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr4	2117	0.0307570101708652	0.0255484248559404	-0.00520858531492473	-0.448852380344054	0.378707231177673	FALSE	FALSE	FALSE	Hypomethylated	-0.520858531492473	Other peak-carrying genes
1190005I06Rik	-0.0664670361649192	0.168140760722895	0.168140760722895	15	0	FALSE	0	0	0.461590605583083	-0.462583237550092	-0.0296180690225728	-0.085925535530982	0.201557248203312	0.201557248203312	13	0	FALSE	0	0	0.24632072273452	-0.49779907577109	-0.118568672983055	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr8	39031	0.0316388567065849	0.0287327238363046	-0.00290613287028031	-0.254910386480851	0.00280522714070067	TRUE	FALSE	TRUE	Hypomethylated	-0.290613287028031	Other peak-carrying genes
1500009L16Rik	-0.111639385564008	0.220593168891146	0.220593168891146	46	0	FALSE	0	0	0.229241774454781	-0.43276819375363	-0.111244786037321	0.398641240958355	8.68776500489182e-05	8.68776500489182e-05	43	2	TRUE	1	1	1.90333641300111	-1.1060539310844	-0.200716007383257	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	chr10	39898	0.030267005507478	0.0318650990926413	0.00159809358516335	-0.0256972753108609	0.787872045603735	FALSE	FALSE	FALSE	Hypomethylated	0.159809358516335	Mutant-specific aging up
1500011B03Rik	-0.186100730408055	0.277990033847975	0.277990033847975	3	0	FALSE	0	0	-0.060155038702853	-0.371602745719812	-0.205952838276907	-0.0407754264868798	0.479295375092264	0.479295375092264	3	0	FALSE	0	0	0.185828033163847	-0.269425706010508	-0.0414576997778469	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr5	15273	0.0142359222682001	0.0156392145322255	0.00140329226402543	-0.0131691679319044	0.958896686045851	FALSE	FALSE	FALSE	Hypomethylated	0.140329226402543	Other peak-carrying genes
1600014C10Rik	-0.0995922195843058	0.210972911853267	0.210972911853267	16	0	FALSE	0	0	0.394448320506115	-0.396093374690947	-0.0992716504753388	-0.770671078792548	0.0380112892505298	0.0380112892505298	15	1	TRUE	0	1	0.423833803439304	-0.770671078792548	-0.179188494130224	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr7	14352	0.0159027080715017	0.0169360337751998	0.00103332570369812	-0.197914076540245	0.376965948990387	FALSE	FALSE	FALSE	Hypomethylated	0.103332570369812	Other peak-carrying genes
1600014C23Rik	-0.1842051221024	0.214310216239578	0.214310216239578	6	0	FALSE	0	0	0.0839690423443156	-0.419746524982083	-0.190462364341047	-0.135063089495129	0.220762457626864	0.220762457626864	6	0	FALSE	0	0	0.13333277405219	-0.472395953366574	-0.188716572217878	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr17	981	0.0260678445500051	0.0338448179770082	0.00777697342700304	0.289408211892943	0.68710628303863	FALSE	FALSE	FALSE	Hypermethylated	0.777697342700304	Other peak-carrying genes
1700001J03Rik	-0.035934419234557	0.179733458945591	0.179733458945591	12	0	FALSE	0	0	0.220715054547695	-0.465841276088762	-0.096228251849042	-0.705300434484984	0.0444085190538262	0.0444085190538262	12	1	TRUE	0	1	0.0587397521622831	-0.705300434484984	-0.28936428663533	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr5	2864	0.0200977971956011	0.0163162168965312	-0.00378158029906991	-0.325595749068216	0.416117394035053	FALSE	FALSE	FALSE	Hypomethylated	-0.378158029906991	Other peak-carrying genes
1700001K19Rik	-0.224150463112805	0.482100236096776	0.482100236096776	2	0	FALSE	0	0	-0.190936015286633	-0.257364910938977	-0.224150463112805	-0.225541851986727	0.579321244875883	0.579321244875883	1	0	FALSE	0	0	-0.225541851986727	-0.225541851986727	-0.225541851986727	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr12	14932	0.015058099901034	0.0163572670876637	0.00129916718662966	-0.0857718029360609	0.698263741145334	FALSE	FALSE	FALSE	Hypomethylated	0.129916718662966	Other peak-carrying genes
1700001O22Rik	-0.0806525242273325	0.152905189560558	0.152905189560558	14	0	FALSE	0	0	0.155338025135904	-0.481182119974554	-0.0943334143312527	-0.088244785067676	0.16700904222765	0.16700904222765	16	0	FALSE	0	0	0.306883475671262	-0.57187449265277	-0.130590256771354	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr2	8893	0.0337531411967067	0.0304023581316546	-0.00335078306505211	-0.233534123597785	0.169586776115962	FALSE	FALSE	FALSE	Hypomethylated	-0.335078306505211	Other peak-carrying genes
1700003F12Rik	0.611450594528963	0.0602235891996772	0.0602235891996772	1	0	FALSE	0	0	0.611450594528963	0.611450594528963	0.611450594528963	1.25162879836783	0.000309536322259652	0.000309536322259652	1	1	TRUE	1	0	1.25162879836783	1.25162879836783	1.25162879836783	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	chr2	2919	0.0522340542938218	0.0588657866579394	0.00663173236411763	0.040428795128617	0.885802309275467	FALSE	FALSE	FALSE	Hypermethylated	0.663173236411763	Mutant-specific aging up
1700003H04Rik	-0.244816415850669	0.0550366477722525	0.0550366477722525	24	0	FALSE	0	0	0.157902840879827	-0.809014409335533	-0.264674446328193	-0.885108710112125	0.0345567927300115	0.0345567927300115	21	1	TRUE	0	1	-0.0524210357948562	-0.885108710112125	-0.341752836155131	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr3	24750	0.0130003964670152	0.0174460653101159	0.00444566884310071	0.258431407597675	0.081834072719879	FALSE	FALSE	FALSE	Hypermethylated	0.444566884310071	Other peak-carrying genes
1700006A11Rik	-0.143262572024902	0.439651141163754	0.439651141163754	15	0	FALSE	0	0	0.0660650826801287	-0.263313355218149	-0.13355146190528	-0.377272959527298	0.153837073527218	0.153837073527218	9	0	FALSE	0	0	-0.003353265936566	-0.562237481484657	-0.336627306417736	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr3	25052	0.0129896153564104	0.0123238357020908	-0.000665779654319586	-0.347678268309971	0.0291963320152366	TRUE	FALSE	TRUE	Hypomethylated	-0.0665779654319586	Other peak-carrying genes
1700008O03Rik	-0.193114137882231	0.0685713017233661	0.0685713017233661	9	0	FALSE	0	0	0.112088035942503	-0.583361307010116	-0.181029246908237	-0.364793820058291	0.0779274884065166	0.0779274884065166	10	0	FALSE	0	0	-0.100562358478955	-0.642035076225153	-0.375158391206924	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr7	25778	0.0172682231428638	0.0179597482300121	0.000691525087148304	-0.190228586962298	0.192837954358969	FALSE	FALSE	FALSE	Hypomethylated	0.0691525087148304	Other peak-carrying genes
1700008P02Rik	-1.03378717329354	0.032081666903094	0.032081666903094	42	1	TRUE	0	1	0.284649783547783	-1.03378717329354	-0.157797423660594	-0.938784355123432	0.0239750566366973	0.0239750566366973	40	2	TRUE	0	2	0.291210293275646	-0.976123374655659	-0.367631492332471	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	chr3	5026	0.0116453511973339	0.0114154189520235	-0.000229932245310443	-0.398774289246633	0.39310195407094	FALSE	FALSE	FALSE	Hypomethylated	-0.0229932245310443	Other peak-carrying genes
1700009N14Rik	-0.112592453411432	0.153389118742193	0.153389118742193	53	0	FALSE	0	0	0.215428175285292	-0.568130691936375	-0.117372229646638	1.93351871730731	2.20986084343702e-15	2.20986084343702e-15	57	11	TRUE	6	5	3.61498095646666	-1.2042207831209	-0.0136192807356174	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	chr4	1482	0.012213897430356	0.0120744081772303	-0.000139489253125777	-0.148286751372523	0.857657045440881	FALSE	FALSE	FALSE	Hypomethylated	-0.0139489253125777	Mutant-specific aging up
1700010B08Rik	-0.111470995384092	0.753025975980044	0.753025975980044	2	0	FALSE	0	0	-0.0923845270651225	-0.130557463703062	-0.111470995384092	0.132047689716574	0.763535505841313	0.763535505841313	1	0	FALSE	0	0	0.132047689716574	0.132047689716574	0.132047689716574	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr2	2675	0.0142561181524426	0.0116107239470357	-0.00264539420540688	-0.439748819734171	0.481799658221286	FALSE	FALSE	FALSE	Hypomethylated	-0.264539420540688	Other peak-carrying genes
1700010I14Rik	0.900223432974006	0.00196773173556503	0.00196773173556503	32	2	TRUE	2	0	1.13351080066504	-0.465707153934585	0.0200524165810909	1.58679530253695	1.32656113056487e-10	1.32656113056487e-10	36	6	TRUE	6	0	2.15919010542608	-0.738686543446233	0.123891803445	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr17	23617	0.0217562784720522	0.0202449462590268	-0.00151133221302549	-0.271180602068704	0.0323160600295501	TRUE	FALSE	TRUE	Hypomethylated	-0.151133221302549	Other peak-carrying genes
1700011L22Rik	-0.807542295567664	0.0285494718437028	0.0285494718437028	7	1	TRUE	0	1	0.343639889817026	-0.807542295567664	-0.0802085149953173	2.90807655120522	9.58381873668172e-22	9.58381873668172e-22	8	1	TRUE	1	0	2.90807655120522	-0.444565301421593	0.194630114925035	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	chr8	38140	0.0260962877535375	0.0379361897180228	0.0118399019644853	0.421206899088932	8.50591305139449e-06	TRUE	TRUE	FALSE	Hypermethylated	1.18399019644853	Other peak-carrying genes
1700012A03Rik	-0.0586208937401822	0.115578907354002	0.115578907354002	105	0	FALSE	0	0	0.461678229575165	-0.519930299470227	-0.0537015897215259	0.932937334809046	6.19530216102268e-06	6.19530216102268e-06	103	8	TRUE	7	1	1.78632805451272	-1.04254494931333	-0.0618407762124623	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	chr6	8676	0.0217164791492735	0.0228356519900419	0.00111917284076848	-0.0570735507819067	0.814492068926549	FALSE	FALSE	FALSE	Hypomethylated	0.111917284076848	Mutant-specific aging up
1700012B07Rik	-0.0538658104740642	0.119479172869292	0.119479172869292	14	0	FALSE	0	0	0.234881688117623	-0.512749487574975	-0.102525337798454	-1.24859265897603	0.00220229572178272	0.00220229572178272	15	1	TRUE	0	1	0.0798078067248844	-1.24859265897603	-0.339113712256011	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	chr11	40396	0.0143844812243437	0.0130783606242061	-0.00130612060013759	-0.315072921238441	0.0124145062322914	TRUE	FALSE	TRUE	Hypomethylated	-0.130612060013759	Other peak-carrying genes
1700012B09Rik	-0.303392834501343	0.216835630602494	0.216835630602494	5	0	FALSE	0	0	-0.0296196068370172	-0.424141676758481	-0.260160707298672	-0.212171997983692	0.220072795096382	0.220072795096382	5	0	FALSE	0	0	-0.0346027567011044	-0.471749843205042	-0.223171272367128	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr9	14444	0.0141625853237296	0.0131500024095177	-0.00101258291421189	-0.442852494490988	0.0248518001951608	TRUE	FALSE	TRUE	Hypomethylated	-0.101258291421189	Other peak-carrying genes
1700013G24Rik	-0.230870590670731	0.417619893801064	0.417619893801064	3	0	FALSE	0	0	-0.193406759436089	-0.290288973853904	-0.238188774653575	-0.351317219037562	0.190965226071597	0.190965226071597	5	0	FALSE	0	0	0.146124783338063	-0.499665714550178	-0.298607320580988	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr4	2178	0.0241148516734244	0.026794948559001	0.00268009688557662	0.0600183699831416	0.907497210687897	FALSE	FALSE	FALSE	Hypermethylated	0.268009688557662	Other peak-carrying genes
1700013H16Rik	-0.0133994562222351	0.737613338514299	0.737613338514299	3	0	FALSE	0	0	0.128570530735055	-0.128905515400698	-0.00457814696262603	-0.0905577507103101	0.153320430444611	0.153320430444611	5	0	FALSE	0	0	0.113675192674965	-0.622698342738557	-0.211910326872829	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chrX	14931	0.0129946040676701	0.0157643641063306	0.00276976003866046	-0.0461650975437617	0.903965530230612	FALSE	FALSE	FALSE	Hypomethylated	0.276976003866046	Other peak-carrying genes
1700016H13Rik	-0.111688712761756	0.325322758163404	0.325322758163404	2	0	FALSE	0	0	0.116965257752594	-0.340342683276106	-0.111688712761756	-0.119060929026698	0.167986259266427	0.167986259266427	5	0	FALSE	0	0	0.0291621041090047	-0.560718658116586	-0.188244158431317	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr5	7972	0.0209235648811202	0.017717604511361	-0.00320596036975916	-0.391713055984134	0.0907315992594841	FALSE	FALSE	FALSE	Hypomethylated	-0.320596036975916	Other peak-carrying genes
1700017B05Rik	-0.106125946561271	0.212416472656465	0.212416472656465	22	0	FALSE	0	0	0.398251227217866	-0.429053321638904	-0.0925307572598298	-0.169172877901614	0.139395720707728	0.139395720707728	14	0	FALSE	0	0	0.515982658006283	-0.403679499709717	-0.078288989508669	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr9	9496	0.023643318883101	0.0229797167572059	-0.000663602125895165	-0.20962546047344	0.287977292280011	FALSE	FALSE	FALSE	Hypomethylated	-0.0663602125895165	Other peak-carrying genes
1700017N19Rik	-0.100624737349361	0.173241224199627	0.173241224199627	13	0	FALSE	0	0	0.262494263507946	-0.486581138894729	-0.115688733186839	2.36093343764648	1.23916010395167e-07	1.23916010395167e-07	13	1	TRUE	1	0	2.36093343764648	-0.559345387378558	-0.0337429862690724	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	chr10	27918	0.0154210948519902	0.0252483137526869	0.00982721890069667	0.612567615582011	9.23008735088504e-06	TRUE	TRUE	FALSE	Hypermethylated	0.982721890069667	Mutant-specific aging up
1700018B08Rik	1.72676815434225	4.86468447508921e-06	4.86468447508921e-06	69	3	TRUE	2	1	2.17501761199155	-0.712565975337551	0.0384624656503941	1.27291907812377	7.18788692445414e-09	7.18788692445414e-09	68	7	TRUE	6	1	2.46027985115466	-0.878806024734693	-0.0122797704456198	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	chr8	13541	0.0165569185074916	0.0151726275111984	-0.00138429099629323	-0.305631094599236	0.172054013514767	FALSE	FALSE	FALSE	Hypomethylated	-0.138429099629323	Other peak-carrying genes
1700018F24Rik	-0.0998140799739864	0.745799095535536	0.745799095535536	3	0	FALSE	0	0	0.0174048982200725	-0.127427482544794	-0.069945554766236	-0.29756548080829	0.370388914256152	0.370388914256152	3	0	FALSE	0	0	-0.150400377942434	-0.363776094668906	-0.270580651139877	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr5	2692	0.0176991144777208	0.0128823314885232	-0.00481678298919757	-0.563629123524056	0.370149630612821	FALSE	FALSE	FALSE	Hypomethylated	-0.481678298919757	Other peak-carrying genes
1700019A02Rik	-0.112358016394136	0.575522446912716	0.575522446912716	9	0	FALSE	0	0	0.0769674597741345	-0.206728267259156	-0.078200634504887	2.32966248798611	4.34181833282916e-05	4.34181833282916e-05	16	1	TRUE	1	0	2.32966248798611	-0.736991564411559	-0.100667442859606	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	chr1	29060	0.015862014431058	0.0168295994102344	0.000967584979176404	-0.131834260193663	0.417465801832313	FALSE	FALSE	FALSE	Hypomethylated	0.0967584979176404	Mutant-specific aging up
1700019D03Rik	0.934573056485474	0.0123337598161618	0.0123337598161618	16	2	TRUE	2	0	0.951829593100911	-0.387770899314181	0.0683642637965575	1.01714760065136	2.36532560722444e-16	2.36532560722444e-16	14	3	TRUE	3	0	3.89856540252641	-0.557783895435174	0.408457543177768	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	chr1	97856	0.0209995694619139	0.0297719355754635	0.00877236611354963	0.382254878699619	6.42037464818792e-07	TRUE	TRUE	FALSE	Hypermethylated	0.877236611354963	Other peak-carrying genes
1700020L24Rik	-0.827588998032903	0.0156707253511361	0.0156707253511361	5	1	TRUE	0	1	0.0565247433335974	-0.827588998032903	-0.232253213175938	-0.136871278208148	0.407709429019717	0.407709429019717	7	0	FALSE	0	0	0.0238529681966321	-0.324005637829192	-0.149180085652713	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	chr11	3557	0.0240007793354441	0.0253669540417296	0.0013661747062855	-0.0855587856814673	0.843369546714157	FALSE	FALSE	FALSE	Hypomethylated	0.13661747062855	Other peak-carrying genes
1700020N01Rik	-0.102017726488229	0.0597811930361202	0.0597811930361202	50	0	FALSE	0	0	0.596289521608491	-0.839909948245054	-0.0987536555039382	-0.22443703237362	0.102555530942067	0.102555530942067	46	0	FALSE	0	0	0.360285613469608	-0.654543003257819	-0.203751429724995	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr10	29232	0.0223743826024592	0.0207037948202837	-0.00167058778217552	-0.258460460461597	0.0336113802409045	TRUE	FALSE	TRUE	Hypomethylated	-0.167058778217552	Other peak-carrying genes
1700022I11Rik	-0.154969583665684	0.295036453190692	0.295036453190692	3	0	FALSE	0	0	-0.0745740674769296	-0.363340668213787	-0.197628106452134	-0.148474881562037	0.478186984143025	0.478186984143025	2	0	FALSE	0	0	-0.0183353778386346	-0.278614385285439	-0.148474881562037	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	chr4	14037	0.0136767628464217	0.0140999181097469	0.00042315526332521	-0.221853590733793	0.306351358217044	FALSE	FALSE	FALSE	Hypomethylated	0.042315526332521	Other peak-carrying genes
1700024G13Rik	0.977585347431692	0.00136504405020183	0.00136504405020183	16	2	TRUE	2	0	1.11533593957824	-0.558257372195118	0.0371374620562414	0.861836330781932	1.99847165632235e-12	1.99847165632235e-12	20	5	TRUE	4	1	2.53228597991179	-0.692829265773279	0.114651257712658	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	chr14	12324	0.0375307527126725	0.0396749387726569	0.00214418605998436	-0.0190491749548025	0.906256119636612	FALSE	FALSE	FALSE	Hypomethylated	0.214418605998436	Other peak-carrying genes
