gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_has_sig	mecp2_sig	mecp2_direction	group	k119ub_fold	k119ub_fdr	k119ub_min_fdr	k119ub_n_peaks	k119ub_n_sig	k119ub_has_sig	k27me3_fold	k27me3_fdr	k27me3_min_fdr	k27me3_n_peaks	k27me3_n_sig	k27me3_has_sig	k27ac_fold	k27ac_fdr	k27ac_min_fdr	k27ac_n_peaks	k27ac_n_sig	k27ac_has_sig	atac_fold	atac_fdr	atac_min_fdr	atac_n_peaks	atac_n_sig	atac_has_sig	k119ub_gb_ctrl_signal	k119ub_gb_mut_signal	k119ub_gb_log2fc	k119ub_gb_class
Trpm3	ENSMUSG00000052387.16	chr19	22139045	22995410	856365	0.0231301443580463	0.0346791959487539	0.0115490515907076	0.503316927880416	2.4006788018813e-15	TRUE	-0.0118422457089262	0.954178518985632	2.74771773121149e-16	92	28	TRUE	FALSE	Unchanged	mCH_only	0.074537222	0.512075945	5.86e-34	23	20	TRUE	1.03561529785767	1.07730552333004e-07	1.07730552333004e-07	1	1	TRUE	-0.891199679365186	2.30529466304511e-06	1.17413529538529e-38	26	25	TRUE	-0.268616176019895	0.105019729997976	4.49551633172702e-19	44	12	TRUE	0.989702	2.001697	0.876881	quantifiable
Pcdh9	ENSMUSG00000055421.8	chr14	93013409	93890679	877270	0.0303739024695834	0.0421892334192686	0.0118153309496852	0.406051180141993	4.05136941446509e-15	TRUE	3.35011931605895	2.03830570533515e-13	2.05211554771437e-16	110	39	TRUE	TRUE	Gained	MeCP2_and_mCH	1.051246395	2.17e-45	7.91e-62	47	44	TRUE	-0.24714439466849	0.42719514391784	0.0104946729655181	5	1	TRUE	-0.673384834646298	7.32795301685068e-05	2.31435469028411e-25	18	16	TRUE	0.123457086095269	0.474841540565799	1.65345555558185e-05	33	8	TRUE	1.296962	3.066088	1.115065	quantifiable
Cog5	ENSMUSG00000035933.5	chr12	31654868	31937630	282762	0.0220625280856643	0.0381392677670208	0.0160767396813565	0.698366375461975	9.16612856247155e-15	TRUE	2.44481335593545	1.20839010330663e-07	2.05207269279175e-12	23	12	TRUE	TRUE	Gained	MeCP2_and_mCH	2.048076641	1.95e-55	8.11e-80	7	7	TRUE	NA	NA	NA	NA	NA	NA	-1.45148222658439	9.65836519224849e-18	1.65297385390989e-37	8	8	TRUE	0.0488917068399826	0.790990949174486	3.59601107456233e-06	13	5	TRUE	0.91113	2.506248	1.268975	quantifiable
Cadps	ENSMUSG00000054423.14	chr14	12372562	12823079	450517	0.0376948755829827	0.0296110983526095	-0.00808377723037319	-0.452971446494937	1.20018286437172e-14	TRUE	-0.095309987637021	0.642898126234311	9.21010860025276e-05	74	10	TRUE	FALSE	Unchanged	mCH_only	0.095605868	0.554657707	3.4e-14	22	7	TRUE	0.545828125452173	0.0245537291024101	0.0245537291024101	1	1	TRUE	0.254531584784041	0.115859334623129	0.115859334623129	2	0	FALSE	0.349318925599704	0.0500158497185021	1.80874952986549e-09	17	3	TRUE	2.318499	2.441437	0.068224	quantifiable
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	127128	0.0206600089699952	0.0379188803863125	0.0172588714163172	0.826865004786908	3.37856554912633e-14	TRUE	0.139154622406848	0.53970103728158	1.71776878671161e-09	15	8	TRUE	FALSE	Unchanged	mCH_only	1.050643508	3.79e-16	8.22e-22	3	3	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.704077111771614	0.00678395675767235	1.5439469131537e-06	2	2	TRUE	0.763803	1.568001	0.861749	quantifiable
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	75075	0.026344532194134	0.0477331353809134	0.0213886031867794	0.802035765454069	3.51325380474338e-14	TRUE	2.99825013756117	2.01034498623133e-14	2.00612726936627e-16	25	12	TRUE	TRUE	Gained	MeCP2_and_mCH	0.628130073	3.43e-12	8.65e-54	12	12	TRUE	NA	NA	NA	NA	NA	NA	-1.44695963862312	1.30374501153564e-13	3.90083106668204e-17	4	4	TRUE	-1.2777148129561	9.44740102142567e-08	9.44740102142567e-08	8	3	TRUE	1.952336	5.161635	1.308703	quantifiable
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	79069	0.0293056980802082	0.0521299766054108	0.0228242785252025	0.77696008897358	4.47508011907222e-14	TRUE	1.72361283135836	2.58751492272059e-06	3.25204729709171e-16	24	17	TRUE	TRUE	Gained	MeCP2_and_mCH	0.65310573	1.39e-16	6.29e-22	15	15	TRUE	2.67703053297392	2.48312056175373e-20	2.48312056175373e-20	1	1	TRUE	-1.20019354670989	1.28066196803622e-11	3.16842096685522e-42	5	5	TRUE	-0.557449685725666	0.00127490303082069	0.00127490303082069	5	2	TRUE	1.566198	3.439235	1.034552	quantifiable
Maml3	ENSMUSG00000061143.15	chr3	51685906	52105076	419170	0.0295674662555225	0.0413556073602415	0.011788141104719	0.417638557659465	6.54103164278198e-14	TRUE	-0.051761954993924	1	3.49146024308091e-11	104	19	TRUE	FALSE	Unchanged	mCH_only	0.953199638	6.58e-12	6.49e-28	19	17	TRUE	NA	NA	NA	NA	NA	NA	-0.86298447922389	3.76119017722093e-08	2.85196768552792e-29	14	14	TRUE	-0.293872297045582	0.0806027846934071	1.03601056371114e-07	29	13	TRUE	1.645733	2.804255	0.696767	quantifiable
Csrnp3	ENSMUSG00000044647.16	chr2	65845766	66031546	185780	0.0379449557609866	0.0269828082266473	-0.0109621475343393	-0.572624403015241	7.16378341255492e-14	TRUE	-0.0284346327098908	0.90652948329666	5.52680929373383e-07	27	4	TRUE	FALSE	Unchanged	mCH_only	0.858220441	8.99e-11	8.99e-11	9	5	TRUE	1.7504794284787	1.76572093309523e-14	8.06382525647825e-21	10	7	TRUE	-1.04526695469828	8.94107118747733e-07	8.94107118747733e-07	1	1	TRUE	-0.909536920756425	3.33481367496825e-05	4.64962271656601e-07	13	4	TRUE	1.913225	2.098104	0.119897	quantifiable
Nrxn1	ENSMUSG00000024109.18	chr17	90033630	91093071	1059441	0.0194148092252232	0.0160739183445989	-0.00334089088062437	-0.467025238119109	1.00854756393527e-13	TRUE	-0.0921459913028144	0.678649195039219	1.63614086562211e-06	49	4	TRUE	FALSE	Unchanged	mCH_only	-0.554448309	1.62e-05	1.62e-05	3	2	TRUE	NA	NA	NA	NA	NA	NA	1.07804144343517	2.5354348000674e-07	2.18184943351859e-22	84	56	TRUE	-0.355446488630745	0.0283586778220275	1.21875199530114e-11	48	13	TRUE	0.727366	0.585388	-0.234173	quantifiable
Erbb4	ENSMUSG00000062209.15	chr1	68032185	69108059	1075874	0.0354548904836379	0.0453275558236622	0.00987266534002426	0.296110733716055	1.24592275072292e-13	TRUE	0.0141274443679919	0.953808220343061	4.74188556717191e-09	113	21	TRUE	FALSE	Unchanged	mCH_only	0.471028794	2.48e-08	4.11e-45	44	35	TRUE	1.99177782033221	1.85883224302971e-16	1.85883224302971e-16	3	2	TRUE	-0.121339199646887	0.425929011800678	6.61122389663055e-08	3	2	TRUE	0.0728162420138637	0.718505117436103	1.29682200125182e-05	24	4	TRUE	1.509662	2.529637	0.668678	quantifiable
Pcgf5	ENSMUSG00000024805.16	chr19	36348308	36460970	112662	0.0426127720840346	0.0288340681469107	-0.0137787039371239	-0.652186170088793	1.24592275072292e-13	TRUE	-0.10312765379879	0.614246911813843	7.07503829058451e-05	39	4	TRUE	FALSE	Unchanged	mCH_only	0.008904181	0.955935271	5.27e-08	7	5	TRUE	-0.973932736741244	8.9555307298452e-07	5.11147530579904e-08	6	5	TRUE	0.722396459728647	0.000339143082676212	0.000339143082676212	1	1	TRUE	0.544417242460433	0.00248037601721475	0.00248037601721475	6	2	TRUE	2.27248	1.904176	-0.230655	quantifiable
Tenm2	ENSMUSG00000049336.16	chr11	36006655	37235964	1229309	0.0320334688837872	0.0277747588850432	-0.00425870999874403	-0.307624192345654	1.24592275072292e-13	TRUE	-0.0370379218543623	0.863790482568405	5.36588573171267e-08	116	8	TRUE	FALSE	Unchanged	mCH_only	0.399278798	6.76e-05	2.65e-07	24	11	TRUE	1.55906055638755	0.000944146560146309	4.51399308400444e-22	19	16	TRUE	-1.00338174850785	8.87189882732993e-08	8.87189882732993e-08	3	2	TRUE	-0.331230272826131	0.100334507787307	0.100191091894076	20	0	FALSE	1.513989	1.452001	-0.052512	quantifiable
Enox1	ENSMUSG00000022012.9	chr14	77156762	77721760	564998	0.0479738551894944	0.0398333125127566	-0.0081405426767378	-0.332509637836953	1.32844441289977e-13	TRUE	-0.00051850329827618	0.99838863552979	0.000169363243275995	86	7	TRUE	FALSE	Unchanged	mCH_only	0.291814483	0.002208306	3.26e-07	34	9	TRUE	-0.868446086475644	1.14134287377988e-05	1.47642070836014e-13	9	8	TRUE	0.241423307988245	0.107943206701855	0.000212020734133835	3	1	TRUE	0.226962765932653	0.178667274919532	0.00109705620174971	26	9	TRUE	2.524157	2.889008	0.180077	quantifiable
Slc6a6	ENSMUSG00000030096.8	chr6	91684052	91759066	75014	0.0523238434910471	0.0340150975749313	-0.0183087459161157	-0.696453520658879	2.3616528671003e-13	TRUE	0.0322362657289256	0.879626906212804	1.1232979189554e-06	43	5	TRUE	FALSE	Unchanged	mCH_only	-0.169235336	0.127866862	8.99e-08	13	7	TRUE	-1.26175499150179	8.04993015175197e-07	8.04993015175197e-07	3	1	TRUE	0.423817541417052	0.0191066072181905	0.0191066072181905	1	1	TRUE	0.262680620972115	0.134997013746031	8.27499802636287e-05	16	3	TRUE	3.6248	2.96805	-0.270216	quantifiable
Zfp608	ENSMUSG00000052713.9	chr18	54888047	54992555	104508	0.0312847086057852	0.0501309137822974	0.0188462051765122	0.628223733228908	2.37617967397499e-13	TRUE	0.0097960695784496	0.961918693779327	1.80746642805751e-13	132	34	TRUE	FALSE	Unchanged	mCH_only	0.626720992	2.88e-07	3.7e-17	54	31	TRUE	3.30791976589371	1.40642907018426e-10	4.06486217730969e-34	24	22	TRUE	-1.17560810675052	8.16559069713976e-12	8.16559069713976e-12	9	4	TRUE	-0.224645622523575	0.200038226465583	3.43686861970274e-09	37	4	TRUE	2.856864	4.929394	0.742897	quantifiable
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	66396	0.026881592159655	0.0483077737667396	0.0214261816070846	0.776533081512002	2.37617967397499e-13	TRUE	0.00829770017243331	0.970631753768881	1.56355967208835e-12	16	5	TRUE	FALSE	Unchanged	mCH_only	0.435787202	0.006897468	1.41e-59	7	7	TRUE	NA	NA	NA	NA	NA	NA	-1.45116664076038	2.55359895247085e-07	5.49496918193838e-25	2	2	TRUE	0.0065903193559214	0.978002265633618	3.70517656909034e-12	5	2	TRUE	1.812407	4.922132	1.339075	quantifiable
Camta1	ENSMUSG00000014592.21	chr4	150917321	151861876	944555	0.03012104009381	0.0261242623188587	-0.00399677777495133	-0.328384039150905	2.41203962542141e-13	TRUE	-0.0303253925322286	0.843521925893085	0.000615037950423422	186	7	TRUE	FALSE	Unchanged	mCH_only	-0.128274792	0.438683472	1.86e-05	51	15	TRUE	0.57690872518615	0.00267719448111743	0.00267719448111743	1	1	TRUE	0.179593235302812	0.193009837716374	0.0073593127254908	13	2	TRUE	0.162979305753208	0.337948392833824	8.48210966987322e-06	71	16	TRUE	1.486338	1.362219	-0.108938	quantifiable
Lsamp	ENSMUSG00000061080.11	chr16	39984360	42181679	2197319	0.0276963268576234	0.0349292851227733	0.0072329582651499	0.247749552370523	2.66634984380732e-13	TRUE	0.10969418445904	0.523616210572065	1.47924261442043e-24	187	46	TRUE	FALSE	Unchanged	mCH_only	0.420414804	6.49e-06	7.27e-103	93	87	TRUE	1.17499830711383	6.60668851237468e-06	1.20899811214645e-13	6	3	TRUE	0.404742308872228	0.0251654781524125	1.58983594146446e-40	25	23	TRUE	0.237301932961693	0.154127026520858	3.35813645056644e-10	77	28	TRUE	1.217897	2.341835	0.833112	quantifiable
Ctnnd2	ENSMUSG00000022240.10	chr15	30172592	31029341	856749	0.0240968090969345	0.020586143672557	-0.00351066542437752	-0.359880263606731	3.1447507855906e-13	TRUE	-0.183770090264937	0.41292167802062	0.00111699699440288	89	3	TRUE	FALSE	Unchanged	mCH_only	0.205588174	0.041257528	6.26e-05	31	9	TRUE	NA	NA	NA	NA	NA	NA	0.18796471307101	0.212080948778005	4.88928914627496e-06	16	9	TRUE	0.222715174931904	0.195621772602759	0.000511404514796684	56	3	TRUE	1.527971	1.470635	-0.04811	quantifiable
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	323819	0.0193572756775629	0.0295842482524923	0.0102269725749294	0.509305800239703	3.87244711079677e-13	TRUE	1.76229716203468	3.92581287600702e-06	4.73904207555413e-24	25	8	TRUE	TRUE	Gained	MeCP2_and_mCH	1.192232445	5.15e-23	5.6e-35	7	7	TRUE	NA	NA	NA	NA	NA	NA	-0.25546238214595	0.120739696147384	2.01656724563943e-74	17	16	TRUE	-1.75148609341324	1.15468593818537e-15	2.31802113734989e-17	15	13	TRUE	0.932256	1.828532	0.829999	quantifiable
Btbd3	ENSMUSG00000062098.11	chr2	138256564	138589292	332728	0.0347447209742849	0.047790980587707	0.0130462596134221	0.396499724428239	3.87244711079677e-13	TRUE	0.041527444263135	0.81078516279246	1.43839560721221e-12	87	21	TRUE	FALSE	Unchanged	mCH_only	0.847119246	1.11e-11	9.21e-33	33	30	TRUE	0.72579074606713	0.00171368994793053	0.00171368994793053	1	1	TRUE	-0.813402872594024	7.75156466086836e-08	1.22125297467811e-27	9	8	TRUE	-0.0527405207892604	0.772294259208029	8.97576971936905e-08	33	11	TRUE	1.699149	2.933315	0.716333	quantifiable
Tjp1	ENSMUSG00000030516.14	chr7	65296164	65527781	231617	0.0407696335592383	0.0307914454503749	-0.0099781881088634	-0.477874810605031	5.85310326703745e-13	TRUE	-0.0380473793493675	0.872039892137689	0.00112603416244771	40	5	TRUE	FALSE	Unchanged	mCH_only	-0.569269837	0.000548526	0.000548526	7	3	TRUE	-0.0678931261771226	0.747682081661755	3.54051814565517e-09	3	2	TRUE	0.120288218043427	0.436947250750294	0.436947250750294	1	0	FALSE	0.40924029065292	0.0768439787932288	2.84252192770337e-11	19	7	TRUE	1.190519	1.025257	-0.17975	quantifiable
Tmem178b	ENSMUSG00000057716.7	chr6	39871460	40255150	383690	0.0499247050495826	0.0396953805499329	-0.0102293244996497	-0.386877511812155	6.38954394334393e-13	TRUE	0.0218307720513865	0.914167701791053	0.00407406438463198	72	4	TRUE	FALSE	Unchanged	mCH_only	0.178786886	0.068793799	5.47e-05	25	5	TRUE	NA	NA	NA	NA	NA	NA	0.276703574318177	0.0608601270288335	0.000843105946371304	4	3	TRUE	0.269577616037941	0.0986609543583167	6.24142121854342e-06	28	6	TRUE	2.616528	2.588235	-0.014461	quantifiable
Abr	ENSMUSG00000017631.19	chr11	76416733	76623558	206825	0.0481922430443689	0.0362315305055378	-0.0119607125388311	-0.486619323729966	8.71164816813942e-13	TRUE	0.00349293947150505	0.989534011366643	2.35647483324463e-05	57	11	TRUE	FALSE	Unchanged	mCH_only	-0.138450075	0.321521282	1.4e-07	21	13	TRUE	-0.387672439356789	0.0278882863881329	0.0152745557352172	7	3	TRUE	NA	NA	NA	NA	NA	NA	0.716265949598775	0.000362799202942368	0.000362799202942368	24	5	TRUE	2.299036	1.879977	-0.262471	quantifiable
Ephb1	ENSMUSG00000032537.15	chr9	101922127	102354693	432566	0.0358522898746074	0.0291295866986904	-0.00672270317591703	-0.391931952341116	8.91709833987259e-13	TRUE	-0.165782940131169	0.408671363716609	1.78157690579373e-05	117	8	TRUE	FALSE	Unchanged	mCH_only	-0.262934343	0.010622195	6.35e-05	21	12	TRUE	-0.162840560840714	0.42335784368236	0.42335784368236	1	0	FALSE	0.495903191526009	0.00152662425526043	6.53533472775731e-05	5	4	TRUE	0.127935436470564	0.449681331973774	4.8473635574346e-06	22	9	TRUE	1.873294	1.817685	-0.038839	quantifiable
Plekha6	ENSMUSG00000041757.17	chr1	133164209	133303435	139226	0.041199119473182	0.0296268306123131	-0.0115722888608689	-0.561922449639867	1.15763853780842e-12	TRUE	-1.74108518219832	2.96709840271829e-06	2.96709840271829e-06	40	7	TRUE	TRUE	Lost	MeCP2_and_mCH	-0.388743718	0.000345959	4.62e-37	14	13	TRUE	-0.357951806281467	0.0445203869360861	1.07900717111524e-20	6	3	TRUE	0.868998992250401	4.7859659550771e-07	6.18308746854447e-11	5	4	TRUE	0.774089440446245	6.99725764559051e-05	7.95390893683913e-07	19	11	TRUE	2.543572	1.822233	-0.436343	quantifiable
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	126243	0.0224010478498205	0.0370281678178183	0.0146271199679977	0.642154422290159	1.24590439941509e-12	TRUE	1.63684053161898	0.000283321465302971	2.90147068768965e-17	27	14	TRUE	TRUE	Gained	MeCP2_and_mCH	0.712776355	2.35e-08	2.94e-58	17	16	TRUE	NA	NA	NA	NA	NA	NA	-0.791116097361081	1.77831320764945e-06	9.86423783476672e-56	12	11	TRUE	-0.8770640879829	0.00120825700430898	2.94994674344113e-06	17	5	TRUE	1.296334	2.778012	0.983307	quantifiable
Gabbr2	ENSMUSG00000039809.10	chr4	46662304	46991873	329569	0.0253111794838964	0.0202951778865573	-0.00501600159733915	-0.461209704896327	1.24590439941509e-12	TRUE	-0.0233419636948266	0.921499203188506	0.0180599807779205	78	2	TRUE	FALSE	Unchanged	mCH_only	-0.284054553	0.036458852	1e-08	27	14	TRUE	NA	NA	NA	NA	NA	NA	0.703297274514186	0.000145673989010061	9.98696527255406e-12	38	30	TRUE	0.339439299207726	0.0603059279291325	1.11581310883008e-09	56	6	TRUE	2.044571	1.837082	-0.138623	quantifiable
Tafa5	ENSMUSG00000054863.9	chr15	87544298	87759364	215066	0.0275153572368312	0.0206032933705755	-0.00691206386625575	-0.542735349698253	1.31715830047697e-12	TRUE	0.0652633510219479	0.730138344987842	2.93059102120532e-08	171	15	TRUE	FALSE	Unchanged	mCH_only	-0.372409208	0.0002148	2.27e-10	65	30	TRUE	0.306192847762958	0.228666349216987	6.15592186467781e-05	5	2	TRUE	0.797612527317197	9.40456556697073e-05	4.93040168615194e-11	17	12	TRUE	0.367501202995151	0.0390626092871825	1.097114860938e-07	49	12	TRUE	2.233854	1.807696	-0.275179	quantifiable
Gsg1l	ENSMUSG00000046182.8	chr7	125878419	126082411	203992	0.0506186268354443	0.0394539784061962	-0.0111646484292481	-0.414259167560879	1.43532704106835e-12	TRUE	-0.0331450324473921	0.872128569427303	2.68175403731565e-05	36	3	TRUE	FALSE	Unchanged	mCH_only	-0.378662427	0.000820624	1.76e-11	15	11	TRUE	-1.24017270146056	1.81128342461701e-06	5.27543239274117e-09	6	6	TRUE	1.07938587510131	6.7390376606049e-10	6.7390376606049e-10	3	2	TRUE	0.996036547560566	1.44502002382437e-05	5.14410212999333e-12	17	9	TRUE	2.212204	1.793229	-0.272723	quantifiable
Rnf157	ENSMUSG00000052949.14	chr11	116336352	116413032	76680	0.0655223034551502	0.0456834989191339	-0.0198388045360163	-0.571779759204454	1.57211642940493e-12	TRUE	-0.0133151204118191	0.953729210047422	6.93032151297258e-05	21	6	TRUE	FALSE	Unchanged	mCH_only	-0.613153814	1.66e-05	9.7e-09	6	5	TRUE	-0.758987993380074	0.000450586193455835	0.00042287197684482	2	2	TRUE	NA	NA	NA	NA	NA	NA	0.372248322090456	0.0598414263654588	0.0598414263654588	6	0	FALSE	1.665422	1.107187	-0.506439	quantifiable
Tgfbr3	ENSMUSG00000029287.14	chr5	107106569	107289629	183060	0.0371239485284172	0.0276426595949569	-0.00948128893346031	-0.512916820352558	1.79309778308555e-12	TRUE	-0.285590130804835	0.252375359471155	0.010036266206356	39	3	TRUE	FALSE	Unchanged	mCH_only	-0.069899301	0.574373025	0.054347839	8	0	FALSE	0.232813133796537	0.304730947367917	0.304730947367917	1	0	FALSE	0.356907119110832	0.0267163683971312	7.59286975024922e-05	6	4	TRUE	0.139698710982693	0.414122898902559	0.00309042475497672	15	3	TRUE	1.609716	1.471091	-0.11365	quantifiable
Sema6d	ENSMUSG00000027200.17	chr2	124089968	124667770	577802	0.024829470766487	0.033751302606769	0.00892183184028204	0.36605400753413	1.8571864142068e-12	TRUE	-0.104162563795477	0.606603605179308	1.52450697614027e-09	71	13	TRUE	FALSE	Unchanged	mCH_only	0.451374088	1.34e-06	2.75e-31	35	27	TRUE	0.130557702449309	0.489989070297709	3.3873433006512e-07	12	7	TRUE	-1.17204032653817	1.6593574814796e-09	4.69741066583153e-14	4	4	TRUE	0.156829620419288	0.336519459531236	3.60830718524677e-06	27	11	TRUE	1.632713	2.814586	0.711788	quantifiable
