gene_name	gene_id	chr	start	end	gene_length	mch_ctrl	mch_mut	mch_diff	edger_logFC	edger_fdr	mch_sig	mch_direction	promoter_state	body_state	atac_fold	atac_fdr	atac_n_peaks	k27ac_fold	k27ac_fdr	k27ac_n_peaks	k27me3_fold	k27me3_fdr	k27me3_n_peaks	k119ub_fold	k119ub_fdr	k119ub_n_peaks
Maml3	ENSMUSG00000061143.15	chr3	51685906	52105076	419170	0.0295674662555225	0.0413556073602415	0.011788141104719	0.417638557659465	6.54103164278198e-14	TRUE	Hypermethylated	Active_Promoter	Active	-0.293872297045582	0.0806027846934071	29	-0.86298447922389	3.76119017722093e-08	14	NA	NA	NA	0.953199638	6.58e-12	19
Csrnp3	ENSMUSG00000044647.16	chr2	65845766	66031546	185780	0.0379449557609866	0.0269828082266473	-0.0109621475343393	-0.572624403015241	7.16378341255492e-14	TRUE	Hypomethylated	Active_Promoter	Mixed	-0.909536920756425	3.33481367496825e-05	13	-1.04526695469828	8.94107118747733e-07	1	1.7504794284787	1.76572093309523e-14	10	0.858220441	8.99e-11	9
Nrxn1	ENSMUSG00000024109.18	chr17	90033630	91093071	1059441	0.0194148092252232	0.0160739183445989	-0.00334089088062437	-0.467025238119109	1.00854756393527e-13	TRUE	Hypomethylated	Active_Promoter	Active	-0.355446488630745	0.0283586778220275	48	1.07804144343517	2.5354348000674e-07	84	NA	NA	NA	-0.554448309	1.62e-05	3
Erbb4	ENSMUSG00000062209.15	chr1	68032185	69108059	1075874	0.0354548904836379	0.0453275558236622	0.00987266534002426	0.296110733716055	1.24592275072292e-13	TRUE	Hypermethylated	Active_Promoter	Active	0.0728162420138637	0.718505117436103	24	-0.121339199646887	0.425929011800678	3	1.99177782033221	1.85883224302971e-16	3	0.471028794	2.48e-08	44
Pcgf5	ENSMUSG00000024805.16	chr19	36348308	36460970	112662	0.0426127720840346	0.0288340681469107	-0.0137787039371239	-0.652186170088793	1.24592275072292e-13	TRUE	Hypomethylated	Bivalent_Promoter	Mixed	0.544417242460433	0.00248037601721475	6	0.722396459728647	0.000339143082676212	1	-0.973932736741244	8.9555307298452e-07	6	0.008904181	0.955935271	7
Tenm2	ENSMUSG00000049336.16	chr11	36006655	37235964	1229309	0.0320334688837872	0.0277747588850432	-0.00425870999874403	-0.307624192345654	1.24592275072292e-13	TRUE	Hypomethylated	Unmarked_Promoter	Mixed	-0.331230272826131	0.100334507787307	20	-1.00338174850785	8.87189882732993e-08	3	1.55906055638755	0.000944146560146309	19	0.399278798	6.76e-05	24
Enox1	ENSMUSG00000022012.9	chr14	77156762	77721760	564998	0.0479738551894944	0.0398333125127566	-0.0081405426767378	-0.332509637836953	1.32844441289977e-13	TRUE	Hypomethylated	Active_Promoter	Mixed	0.226962765932653	0.178667274919532	26	0.241423307988245	0.107943206701855	3	-0.868446086475644	1.14134287377988e-05	9	0.291814483	0.002208306	34
Slc6a6	ENSMUSG00000030096.8	chr6	91684052	91759066	75014	0.0523238434910471	0.0340150975749313	-0.0183087459161157	-0.696453520658879	2.3616528671003e-13	TRUE	Hypomethylated	Active_Promoter	Active	0.262680620972115	0.134997013746031	16	0.423817541417052	0.0191066072181905	1	-1.26175499150179	8.04993015175197e-07	3	-0.169235336	0.127866862	13
Zfp608	ENSMUSG00000052713.9	chr18	54888047	54992555	104508	0.0312847086057852	0.0501309137822974	0.0188462051765122	0.628223733228908	2.37617967397499e-13	TRUE	Hypermethylated	Active_Promoter	Active	-0.224645622523575	0.200038226465583	37	-1.17560810675052	8.16559069713976e-12	9	3.30791976589371	1.40642907018426e-10	24	0.626720992	2.88e-07	54
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	66396	0.026881592159655	0.0483077737667396	0.0214261816070846	0.776533081512002	2.37617967397499e-13	TRUE	Hypermethylated	Unmarked_Promoter	Active	0.0065903193559214	0.978002265633618	5	-1.45116664076038	2.55359895247085e-07	2	NA	NA	NA	0.435787202	0.006897468	7
Camta1	ENSMUSG00000014592.21	chr4	150917321	151861876	944555	0.03012104009381	0.0261242623188587	-0.00399677777495133	-0.328384039150905	2.41203962542141e-13	TRUE	Hypomethylated	Active_Promoter	Active	0.162979305753208	0.337948392833824	71	0.179593235302812	0.193009837716374	13	0.57690872518615	0.00267719448111743	1	-0.128274792	0.438683472	51
Lsamp	ENSMUSG00000061080.11	chr16	39984360	42181679	2197319	0.0276963268576234	0.0349292851227733	0.0072329582651499	0.247749552370523	2.66634984380732e-13	TRUE	Hypermethylated	Active_Promoter	Active	0.237301932961693	0.154127026520858	77	0.404742308872228	0.0251654781524125	25	1.17499830711383	6.60668851237468e-06	6	0.420414804	6.49e-06	93
Ctnnd2	ENSMUSG00000022240.10	chr15	30172592	31029341	856749	0.0240968090969345	0.020586143672557	-0.00351066542437752	-0.359880263606731	3.1447507855906e-13	TRUE	Hypomethylated	Active_Promoter	Active	0.222715174931904	0.195621772602759	56	0.18796471307101	0.212080948778005	16	NA	NA	NA	0.205588174	0.041257528	31
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	323819	0.0193572756775629	0.0295842482524923	0.0102269725749294	0.509305800239703	3.87244711079677e-13	TRUE	Hypermethylated	Active_Promoter	Active	-1.75148609341324	1.15468593818537e-15	15	-0.25546238214595	0.120739696147384	17	NA	NA	NA	1.192232445	5.15e-23	7
Btbd3	ENSMUSG00000062098.11	chr2	138256564	138589292	332728	0.0347447209742849	0.047790980587707	0.0130462596134221	0.396499724428239	3.87244711079677e-13	TRUE	Hypermethylated	Active_Promoter	Active	-0.0527405207892604	0.772294259208029	33	-0.813402872594024	7.75156466086836e-08	9	0.72579074606713	0.00171368994793053	1	0.847119246	1.11e-11	33
Tjp1	ENSMUSG00000030516.14	chr7	65296164	65527781	231617	0.0407696335592383	0.0307914454503749	-0.0099781881088634	-0.477874810605031	5.85310326703745e-13	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	0.40924029065292	0.0768439787932288	19	0.120288218043427	0.436947250750294	1	-0.0678931261771226	0.747682081661755	3	-0.569269837	0.000548526	7
Tmem178b	ENSMUSG00000057716.7	chr6	39871460	40255150	383690	0.0499247050495826	0.0396953805499329	-0.0102293244996497	-0.386877511812155	6.38954394334393e-13	TRUE	Hypomethylated	Active_Promoter	Mixed	0.269577616037941	0.0986609543583167	28	0.276703574318177	0.0608601270288335	4	NA	NA	NA	0.178786886	0.068793799	25
Abr	ENSMUSG00000017631.19	chr11	76416733	76623558	206825	0.0481922430443689	0.0362315305055378	-0.0119607125388311	-0.486619323729966	8.71164816813942e-13	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.716265949598775	0.000362799202942368	24	NA	NA	NA	-0.387672439356789	0.0278882863881329	7	-0.138450075	0.321521282	21
Ephb1	ENSMUSG00000032537.15	chr9	101922127	102354693	432566	0.0358522898746074	0.0291295866986904	-0.00672270317591703	-0.391931952341116	8.91709833987259e-13	TRUE	Hypomethylated	Active_Promoter	Active	0.127935436470564	0.449681331973774	22	0.495903191526009	0.00152662425526043	5	-0.162840560840714	0.42335784368236	1	-0.262934343	0.010622195	21
Plekha6	ENSMUSG00000041757.17	chr1	133164209	133303435	139226	0.041199119473182	0.0296268306123131	-0.0115722888608689	-0.561922449639867	1.15763853780842e-12	TRUE	Hypomethylated	Repressed_Promoter	Mixed	0.774089440446245	6.99725764559051e-05	19	0.868998992250401	4.7859659550771e-07	5	-0.357951806281467	0.0445203869360861	6	-0.388743718	0.000345959	14
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	126243	0.0224010478498205	0.0370281678178183	0.0146271199679977	0.642154422290159	1.24590439941509e-12	TRUE	Hypermethylated	Active_Promoter	Active	-0.8770640879829	0.00120825700430898	17	-0.791116097361081	1.77831320764945e-06	12	NA	NA	NA	0.712776355	2.35e-08	17
Gabbr2	ENSMUSG00000039809.10	chr4	46662304	46991873	329569	0.0253111794838964	0.0202951778865573	-0.00501600159733915	-0.461209704896327	1.24590439941509e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.339439299207726	0.0603059279291325	56	0.703297274514186	0.000145673989010061	38	NA	NA	NA	-0.284054553	0.036458852	27
Tafa5	ENSMUSG00000054863.9	chr15	87544298	87759364	215066	0.0275153572368312	0.0206032933705755	-0.00691206386625575	-0.542735349698253	1.31715830047697e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.367501202995151	0.0390626092871825	49	0.797612527317197	9.40456556697073e-05	17	0.306192847762958	0.228666349216987	5	-0.372409208	0.0002148	65
Gsg1l	ENSMUSG00000046182.8	chr7	125878419	126082411	203992	0.0506186268354443	0.0394539784061962	-0.0111646484292481	-0.414259167560879	1.43532704106835e-12	TRUE	Hypomethylated	Unmarked_Promoter	Mixed	0.996036547560566	1.44502002382437e-05	17	1.07938587510131	6.7390376606049e-10	3	-1.24017270146056	1.81128342461701e-06	6	-0.378662427	0.000820624	15
Rnf157	ENSMUSG00000052949.14	chr11	116336352	116413032	76680	0.0655223034551502	0.0456834989191339	-0.0198388045360163	-0.571779759204454	1.57211642940493e-12	TRUE	Hypomethylated	Unmarked_Promoter	Polycomb	0.372248322090456	0.0598414263654588	6	NA	NA	NA	-0.758987993380074	0.000450586193455835	2	-0.613153814	1.66e-05	6
Tgfbr3	ENSMUSG00000029287.14	chr5	107106569	107289629	183060	0.0371239485284172	0.0276426595949569	-0.00948128893346031	-0.512916820352558	1.79309778308555e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.139698710982693	0.414122898902559	15	0.356907119110832	0.0267163683971312	6	0.232813133796537	0.304730947367917	1	-0.069899301	0.574373025	8
Sema6d	ENSMUSG00000027200.17	chr2	124089968	124667770	577802	0.024829470766487	0.033751302606769	0.00892183184028204	0.36605400753413	1.8571864142068e-12	TRUE	Hypermethylated	Repressed_Promoter	Mixed	0.156829620419288	0.336519459531236	27	-1.17204032653817	1.6593574814796e-09	4	0.130557702449309	0.489989070297709	12	0.451374088	1.34e-06	35
Cacna1e	ENSMUSG00000004110.17	chr1	154390730	154884501	493771	0.0217562279369622	0.0174191552417872	-0.00433707269517495	-0.481785657953047	1.8571864142068e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.42599942806042	0.0462090490254297	40	2.24973744262164	1.97946049928908e-23	32	NA	NA	NA	-0.517641239	2.4e-08	19
Msi2	ENSMUSG00000069769.13	chr11	88339381	88718513	379132	0.0281092225068599	0.0227518497791065	-0.00535737272775339	-0.430203848826453	1.91451799992478e-12	TRUE	Hypomethylated	Active_Promoter	Active	-0.0648735327026965	0.768983102824384	34	0.282236754296666	0.032123128984924	13	NA	NA	NA	-0.498494383	9.52e-05	8
Hgd	ENSMUSG00000022821.13	chr16	37580152	37632020	51868	0.0314170631567474	0.0529528451251978	0.0215357819684505	0.695099479654119	2.01438202285783e-12	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.61290664138579	0.00116752740551029	6	-2.07400549760277	3.98670901863551e-47	4	NA	NA	NA	1.260382808	6.32e-31	4
Dlgap4	ENSMUSG00000061689.15	chr2	156613704	156764363	150659	0.0340773268315774	0.0250534659348682	-0.00902386089670924	-0.549088417206923	2.01438202285783e-12	TRUE	Hypomethylated	Active_Promoter	Active	-0.0176809148817697	0.930268634690827	28	-0.0967147746665288	0.532111013546206	9	NA	NA	NA	-0.428915209	0.001619312	14
Phex	ENSMUSG00000057457.11	chrX	157162074	157415312	253238	0.0227423150592983	0.0366935718293751	0.0139512567700768	0.605138207555447	2.01438202285783e-12	TRUE	Hypermethylated	Unmarked_Promoter	Active	0.270064822375759	0.143781289044268	10	-1.71455886561869	5.66215074066208e-16	6	NA	NA	NA	0.85244903	1.65e-11	2
Prkar2b	ENSMUSG00000002997.15	chr12	31958475	32061296	102821	0.058499211218819	0.0433968523815333	-0.0151023588372857	-0.490222258941973	2.1471991540591e-12	TRUE	Hypomethylated	Bivalent_Promoter	Polycomb	0.228423366258556	0.160635260531785	2	NA	NA	NA	0.0356390041380627	0.888058388521075	7	0.094918697	0.419090116	4
Afap1	ENSMUSG00000029094.12	chr5	35893318	36003923	110605	0.0537059860698742	0.039881008654309	-0.0138249774155652	-0.499158204152525	2.26736698560746e-12	TRUE	Hypomethylated	Bivalent_Promoter	Polycomb	0.329156530639852	0.0500124426196472	16	0.621342364741333	0.000278811777944784	2	-0.833211111982531	0.000258355306692432	22	-0.072864781	0.570738457	26
Ephb2	ENSMUSG00000028664.14	chr4	136647538	136835988	188450	0.0331453278729559	0.0250282675592608	-0.00811706031369505	-0.501841789897803	2.26819338703091e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.099604409289797	0.596434861213471	31	0.127793968249141	0.360699692523525	7	NA	NA	NA	-0.321506114	0.000719337	9
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	766722	0.0273724342712657	0.0359248640383483	0.0085524297670826	0.319456862975036	3.23721304105379e-12	TRUE	Hypermethylated	Active_Promoter	Active	-1.24535509921501	8.55204323125012e-06	30	-1.47073304617531	7.60372626121283e-16	12	5.76623171763214	8.88531882050823e-18	1	0.884948957	0.00072491	27
Lrrc4c	ENSMUSG00000050587.14	chr2	96318168	97631666	1313498	0.0247428877870891	0.0315560677809279	0.00681317999383875	0.264245512037436	4.42062916043828e-12	TRUE	Hypermethylated	Active_Promoter	Active	0.159428750825655	0.322533553347651	33	-0.612208008178754	0.000940830851748394	11	-0.343477484434973	0.161771747018061	1	0.605762103	6.83e-09	18
Megf11	ENSMUSG00000036466.17	chr9	64385625	64709205	323580	0.0282092533625712	0.0229046814111553	-0.00530457195141587	-0.434428454322499	4.56367812450137e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.35399537047076	0.110506369807554	44	0.978189990007056	4.06139238774126e-05	31	NA	NA	NA	-0.451421312	8.61e-05	7
Hdac9	ENSMUSG00000004698.11	chr12	34047579	34917095	869516	0.0216280641556609	0.019520462265661	-0.00210760188999986	-0.326505326896997	4.97307977098156e-12	TRUE	Hypomethylated	Unmarked_Promoter	Mixed	0.0276731870569972	0.889956292299377	8	-0.526467213398885	0.0574003486391216	2	-0.221071459194473	0.331994297267354	10	-0.336494898	0.002624328	14
Cmip	ENSMUSG00000034390.16	chr8	117257063	117459430	202367	0.0415558685451009	0.0319125880689327	-0.00964328047616819	-0.478447147339527	5.03410376314445e-12	TRUE	Hypomethylated	Active_Promoter	Polycomb	0.142153084868365	0.400371027175839	14	0.494185234413241	0.0106578626470079	1	-1.02040519935982	1.67691638737475e-06	6	-0.378176052	0.001066548	21
Gm20696	ENSMUSG00000030068.4	chr6	99257483	99666797	409314	0.0320668011526402	0.0270702860056066	-0.00499651514703359	-0.356802210192052	5.19081935781682e-12	TRUE	Hypomethylated	Active_Promoter	Active	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ccdc192	ENSMUSG00000058925.11	chr18	57533779	57731065	197286	0.0311064153838948	0.0437083920338592	0.0126019766499644	0.424150311519031	7.0060800467962e-12	TRUE	Hypermethylated	Unmarked_Promoter	Active	0.0409377824000692	0.846858367714488	1	NA	NA	NA	NA	NA	NA	0.861810419	5.56e-20	4
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	320642	0.0317222961265713	0.0429121385410209	0.0111898424144496	0.361934777032521	7.0060800467962e-12	TRUE	Hypermethylated	Active_Promoter	Active	-0.284052177119034	0.0963548223757864	14	-0.97153525357061	1.85101864448772e-06	5	2.42343071630689	2.09563153403805e-30	9	0.643198141	9.85e-08	20
D430042O09Rik	ENSMUSG00000032743.15	chr7	125707887	125874793	166906	0.0688655401821942	0.0545703842917619	-0.0142951558904322	-0.362875613994118	7.0060800467962e-12	TRUE	Hypomethylated	Unmarked_Promoter	Mixed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Snca	ENSMUSG00000025889.13	chr6	60731574	60829855	98281	0.0286772556764082	0.0443873691124029	0.0157101134359947	0.586118798230916	7.0060800467962e-12	TRUE	Hypermethylated	Active_Promoter	Active	-0.262838917410768	0.122981944860039	8	-1.00301273502346	6.29706881588024e-08	4	NA	NA	NA	0.605637599	1.45e-10	10
Cacna2d2	ENSMUSG00000010066.15	chr9	107399611	107529343	129732	0.0389354122533475	0.028363708738843	-0.0105717035145044	-0.548418662574978	7.36919823913913e-12	TRUE	Hypomethylated	Active_Promoter	Active	0.218279401559972	0.182875972056168	20	1.00475028243415	1.50735771050504e-12	6	-0.279977854694214	0.179167539315961	1	-0.86560166	3.46e-10	18
Pappa2	ENSMUSG00000073530.11	chr1	158711726	158980490	268764	0.0234655891091608	0.0336042365534687	0.0101386474443078	0.43796141023974	1.14335562030728e-11	TRUE	Hypermethylated	Unmarked_Promoter	Mixed	0.205108146449236	0.285890907180123	7	-1.45781059374548	3.48547470297543e-11	2	-0.0897064641713346	0.703737505057197	3	0.419889222	6.65e-06	15
Arhgef38	ENSMUSG00000040969.14	chr3	133112277	133234949	122672	0.0211501155107351	0.0348993279880038	0.0137492124772687	0.629380649037586	1.2591207886485e-11	TRUE	Hypermethylated	Unmarked_Promoter	Enhancer_Marked	-0.170964594723443	0.473127774735533	5	-0.719990197928042	0.000814918128515567	1	0.226133243114175	0.319617000886484	1	0.736248308	1.74e-07	5
Nos1	ENSMUSG00000029361.18	chr5	117781031	117958840	177809	0.0340419655744181	0.0265955811895094	-0.00744638438490868	-0.460095249479455	1.44746199427635e-11	TRUE	Hypomethylated	Unmarked_Promoter	Active	0.578798147299029	0.000456492874001462	22	0.80106827793802	1.03239708381344e-07	4	NA	NA	NA	-0.339973454	0.09884443	5
Lamb3	ENSMUSG00000026639.18	chr1	193207698	193343878	136180	0.0342611996310923	0.0486914686220025	0.0144302689909102	0.439948159320804	1.69868733830918e-11	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.37436494826098	0.0637488892522565	7	-1.65461690939926	2.31010061280625e-20	5	NA	NA	NA	1.440516722	6.08e-19	7
Fam107b	ENSMUSG00000026655.15	chr2	3570487	3782142	211655	0.0313781900184578	0.042701313837628	0.0113231238191702	0.383100721599497	1.72457688349489e-11	TRUE	Hypermethylated	Unmarked_Promoter	Active	-0.0203334115442629	0.928409879175955	23	-0.94575506633713	2.1400937905974e-06	6	0.367109088661516	0.0623898321530925	1	0.645425543	9.76e-09	18
Nln	ENSMUSG00000021710.11	chr13	104023056	104109614	86558	0.0575609184952809	0.0434593102356271	-0.0141016082596538	-0.462840357126964	1.72457688349489e-11	TRUE	Hypomethylated	Active_Promoter	Mixed	0.330147442105106	0.105008833164899	8	0.607493651269798	0.00169767047912602	1	0.0300974753936608	0.896832779209559	12	0.1617804	0.136719696	14
Zic4	ENSMUSG00000036972.14	chr9	91362412	91389348	26936	0.0216585116640554	0.04761580255408	0.0259572908900246	1.07055550092011	1.8061831816614e-11	TRUE	Hypermethylated	Active_Promoter	Active	-0.00366663621345625	0.98939702673325	23	-1.10266132529974	5.63354955124263e-09	12	2.31321721431482	1.13351645304931e-17	7	1.011699404	3.01e-18	20
Pag1	ENSMUSG00000027508.15	chr3	9687478	9833679	146201	0.0423113946884508	0.0326126229847831	-0.00969877170366765	-0.44643184564619	1.84260509379302e-11	TRUE	Hypomethylated	Active_Promoter	Active	0.2866744595063	0.109328426812071	7	0.570870919519472	0.000417188244706943	2	-0.0407843673594299	0.859455863869714	3	-0.378890466	0.00021553	16
Fstl4	ENSMUSG00000036264.9	chr11	52764633	53188538	423905	0.0372081711402457	0.0318697181418249	-0.00533845299842072	-0.307902921704225	1.97632496913304e-11	TRUE	Hypomethylated	Bivalent_Promoter	Polycomb	0.917698317738961	1.55467588167241e-05	12	1.10101575940189	1.05136736706774e-08	1	-0.202358881376188	0.316212438906642	2	-0.299949879	0.006208914	4
Opcml	ENSMUSG00000062257.13	chr9	27790774	28925410	1134636	0.0325910388398212	0.0398012483581322	0.00721020951831099	0.215772239315337	1.97632496913304e-11	TRUE	Hypermethylated	Repressed_Promoter	Mixed	0.769534042321663	0.0035381480171856	45	-0.713376734280164	1.59503245415344e-07	17	-0.168629282452584	0.391580838858656	2	0.517652028	4.28e-07	18
Kcnq1	ENSMUSG00000009545.14	chr7	143106361	143427042	320681	0.0435621732210969	0.0367224007788732	-0.00683977244222367	-0.321025294687241	1.99114960892126e-11	TRUE	Hypomethylated	Repressed_Promoter	Polycomb	0.314066508702752	0.0816123791159532	7	0.892363175322956	0.000333220484361334	1	-0.13212178801042	0.611052371112534	11	-0.610217122	2.08e-07	12
Heg1	ENSMUSG00000075254.12	chr16	33684369	33771576	87207	0.0253317607196292	0.0401595974667267	0.0148278367470974	0.589056922476944	2.07818578943075e-11	TRUE	Hypermethylated	Active_Promoter	Active	-0.814053723923416	0.000121727873808516	14	-1.4722801671329	1.63881016572643e-12	6	NA	NA	NA	0.470958444	0.001879598	8
