pair_id	figure	gene_name	gene_id	chr	gene_length	x_variable	x_value	y_variable	y_value	quadrant	mch_diff	mch_sig
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Mcu	ENSMUSG00000009647.13	chr10	169709	mecp2_fold	-0.027928153	k27ac_fold	-1.40354126487517	Q3	0.00354066578383002	FALSE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Dlgap1	ENSMUSG00000003279.17	chr17	852341	mecp2_fold	-0.04338638	k27ac_fold	-0.226278645643596	Q3	0.0022075784663896	FALSE
mecp2_vs_k27ac	20_03b_mecp2_vs_k27ac_euchromatin	Cdh8	ENSMUSG00000036510.17	chr8	392001	mecp2_fold	-0.059540469	k27ac_fold	-0.519794463645112	Q3	0.00244720115007071	FALSE
mecp2_vs_k27me3	20_03c_mecp2_vs_k27me3_heterochromatin	Trpm3	ENSMUSG00000052387.16	chr19	856365	mecp2_fold	0.106080893	k27me3_fold	1.03561529785767	Q1	0.0115490515907076	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Mcu	ENSMUSG00000009647.13	chr10	169709	k119ub_gb_log2fc	0.377947	mch_diff	0.00354066578383002	Q1	0.00354066578383002	FALSE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Dlgap1	ENSMUSG00000003279.17	chr17	852341	k119ub_gb_log2fc	0.335555	mch_diff	0.0022075784663896	Q1	0.0022075784663896	FALSE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Cdh8	ENSMUSG00000036510.17	chr8	392001	k119ub_gb_log2fc	0.396867	mch_diff	0.00244720115007071	Q1	0.00244720115007071	FALSE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Trpm3	ENSMUSG00000052387.16	chr19	856365	k119ub_gb_log2fc	0.876881	mch_diff	0.0115490515907076	Q1	0.0115490515907076	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Zbtb20	ENSMUSG00000022708.16	chr16	766722	k119ub_gb_log2fc	0.918916	mch_diff	0.0085524297670826	Q1	0.0085524297670826	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Epha3	ENSMUSG00000052504.7	chr16	320642	k119ub_gb_log2fc	0.842922	mch_diff	0.0111898424144496	Q1	0.0111898424144496	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Cntnap2	ENSMUSG00000039419.17	chr6	2244857	k119ub_gb_log2fc	0.051369	mch_diff	-0.0014923291324827	Q4	-0.0014923291324827	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Lpp	ENSMUSG00000033306.15	chr16	599072	k119ub_gb_log2fc	0.688492	mch_diff	0.006702860050746	Q1	0.006702860050746	TRUE
k119ub_vs_mch	20_03d_k119ub_vs_mch	Syt1	ENSMUSG00000035864.14	chr10	513333	k119ub_gb_log2fc	0.703833	mch_diff	0.00553712778233336	Q1	0.00553712778233336	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Mcu	ENSMUSG00000009647.13	chr10	169709	mecp2_fold	-0.027928153	mch_diff	0.00354066578383002	Q2	0.00354066578383002	FALSE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Dlgap1	ENSMUSG00000003279.17	chr17	852341	mecp2_fold	-0.04338638	mch_diff	0.0022075784663896	Q2	0.0022075784663896	FALSE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Cdh8	ENSMUSG00000036510.17	chr8	392001	mecp2_fold	-0.059540469	mch_diff	0.00244720115007071	Q2	0.00244720115007071	FALSE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Arhgap26	ENSMUSG00000036452.18	chr18	383140	mecp2_fold	0.002315152	mch_diff	0.0170988603431517	Q1	0.0170988603431517	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Trpm3	ENSMUSG00000052387.16	chr19	856365	mecp2_fold	0.106080893	mch_diff	0.0115490515907076	Q1	0.0115490515907076	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Zbtb20	ENSMUSG00000022708.16	chr16	766722	mecp2_fold	1.251429852	mch_diff	0.0085524297670826	Q1	0.0085524297670826	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Cntnap2	ENSMUSG00000039419.17	chr6	2244857	mecp2_fold	0.018867124	mch_diff	-0.0014923291324827	Q4	-0.0014923291324827	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Lpp	ENSMUSG00000033306.15	chr16	599072	mecp2_fold	0.694963005	mch_diff	0.006702860050746	Q1	0.006702860050746	TRUE
mecp2_vs_mch	20_03e_mecp2_vs_mch	Syt1	ENSMUSG00000035864.14	chr10	513333	mecp2_fold	-0.075931478	mch_diff	0.00553712778233336	Q2	0.00553712778233336	TRUE
