gene_name	gene_id	chr	start	end	gene_length	promoter_state	body_state	mark_category	mch_ctrl	mch_mut	mch_diff	mch_diff_pct	edger_logFC	edger_fdr	mch_sig	mch_direction	mecp2_fold	mecp2_fdr	mecp2_min_fdr	mecp2_n_peaks	mecp2_n_sig	mecp2_sig_gain	mecp2_sig_loss	mch_gain	mecp2_gain	quadrant
Zbbx	ENSMUSG00000034151.13	chr3	75037906	75165034	127128	Unmarked_Promoter	Enhancer_Marked	Neither	0.0206600089699952	0.0379188803863125	0.0172588714163172	1.72588714163172	0.826865004786908	3.37856554912633e-14	TRUE	Hypermethylated	1.31778982	3.85e-06	6.02e-16	5	5	TRUE	FALSE	TRUE	TRUE	Q1
Col9a1	ENSMUSG00000026147.16	chr1	24177609	24252684	75075	Unmarked_Promoter	Active	K27ac only	0.026344532194134	0.0477331353809134	0.0213886031867794	2.13886031867794	0.802035765454069	3.51325380474338e-14	TRUE	Hypermethylated	0.112858008	0.58110538	1.55e-20	13	11	FALSE	FALSE	TRUE	TRUE	Q1
Gprin3	ENSMUSG00000045441.5	chr6	59347225	59426294	79069	Active_Promoter	Active	K27ac only	0.0293056980802082	0.0521299766054108	0.0228242785252025	2.28242785252025	0.77696008897358	4.47508011907222e-14	TRUE	Hypermethylated	1.220900248	2.57e-05	4.11e-20	13	13	TRUE	FALSE	TRUE	TRUE	Q1
Maml3	ENSMUSG00000061143.15	chr3	51685906	52105076	419170	Active_Promoter	Active	K27ac only	0.0295674662555225	0.0413556073602415	0.011788141104719	1.1788141104719	0.417638557659465	6.54103164278198e-14	TRUE	Hypermethylated	-0.05651339	0.814447113	3.57e-15	35	15	FALSE	FALSE	TRUE	FALSE	Q4
Csrnp3	ENSMUSG00000044647.16	chr2	65845766	66031546	185780	Active_Promoter	Mixed	Bivalent	0.0379449557609866	0.0269828082266473	-0.0109621475343393	-1.09621475343393	-0.572624403015241	7.16378341255492e-14	TRUE	Hypomethylated	-0.551280008	0.101473535	7.28e-08	7	4	FALSE	FALSE	FALSE	FALSE	Q3
Nrxn1	ENSMUSG00000024109.18	chr17	90033630	91093071	1059441	Active_Promoter	Active	K27ac only	0.0194148092252232	0.0160739183445989	-0.00334089088062437	-0.334089088062437	-0.467025238119109	1.00854756393527e-13	TRUE	Hypomethylated	0.00824391	0.98215155	2.52e-07	7	3	FALSE	FALSE	FALSE	TRUE	Q2
Erbb4	ENSMUSG00000062209.15	chr1	68032185	69108059	1075874	Active_Promoter	Active	K27ac only	0.0354548904836379	0.0453275558236622	0.00987266534002426	0.987266534002426	0.296110733716055	1.24592275072292e-13	TRUE	Hypermethylated	0.212902713	0.379820135	2.76e-15	48	18	FALSE	FALSE	TRUE	TRUE	Q1
Pcgf5	ENSMUSG00000024805.16	chr19	36348308	36460970	112662	Bivalent_Promoter	Mixed	Bivalent	0.0426127720840346	0.0288340681469107	-0.0137787039371239	-1.37787039371239	-0.652186170088793	1.24592275072292e-13	TRUE	Hypomethylated	-0.032150665	0.90872218	2.91e-06	10	6	FALSE	FALSE	FALSE	FALSE	Q3
Tenm2	ENSMUSG00000049336.16	chr11	36006655	37235964	1229309	Unmarked_Promoter	Mixed	Bivalent	0.0320334688837872	0.0277747588850432	-0.00425870999874403	-0.425870999874403	-0.307624192345654	1.24592275072292e-13	TRUE	Hypomethylated	-0.172938723	0.439465341	2.32e-10	30	5	FALSE	FALSE	FALSE	FALSE	Q3
Enox1	ENSMUSG00000022012.9	chr14	77156762	77721760	564998	Active_Promoter	Mixed	Bivalent	0.0479738551894944	0.0398333125127566	-0.0081405426767378	-0.81405426767378	-0.332509637836953	1.32844441289977e-13	TRUE	Hypomethylated	0.027280742	0.932621848	1.05e-05	36	7	FALSE	FALSE	FALSE	TRUE	Q2
Slc6a6	ENSMUSG00000030096.8	chr6	91684052	91759066	75014	Active_Promoter	Active	K27ac only	0.0523238434910471	0.0340150975749313	-0.0183087459161157	-1.83087459161157	-0.696453520658879	2.3616528671003e-13	TRUE	Hypomethylated	0.059182009	0.802328014	5.73e-08	11	4	FALSE	FALSE	FALSE	TRUE	Q2
Zfp608	ENSMUSG00000052713.9	chr18	54888047	54992555	104508	Active_Promoter	Active	K27ac only	0.0312847086057852	0.0501309137822974	0.0188462051765122	1.88462051765122	0.628223733228908	2.37617967397499e-13	TRUE	Hypermethylated	2.17060678	5.58e-09	1.02e-21	49	22	TRUE	FALSE	TRUE	TRUE	Q1
Cytip	ENSMUSG00000026832.12	chr2	58129136	58195532	66396	Unmarked_Promoter	Active	K27ac only	0.026881592159655	0.0483077737667396	0.0214261816070846	2.14261816070846	0.776533081512002	2.37617967397499e-13	TRUE	Hypermethylated	0.957998477	0.003367653	4.05e-18	3	3	TRUE	FALSE	TRUE	TRUE	Q1
Camta1	ENSMUSG00000014592.21	chr4	150917321	151861876	944555	Active_Promoter	Active	K27ac only	0.03012104009381	0.0261242623188587	-0.00399677777495133	-0.399677777495133	-0.328384039150905	2.41203962542141e-13	TRUE	Hypomethylated	0.012092187	0.971494929	5.8e-05	54	5	FALSE	FALSE	FALSE	TRUE	Q2
Lsamp	ENSMUSG00000061080.11	chr16	39984360	42181679	2197319	Active_Promoter	Active	K27ac only	0.0276963268576234	0.0349292851227733	0.0072329582651499	0.72329582651499	0.247749552370523	2.66634984380732e-13	TRUE	Hypermethylated	0.041718955	0.871849409	6.35e-22	54	32	FALSE	FALSE	TRUE	TRUE	Q1
Ctnnd2	ENSMUSG00000022240.10	chr15	30172592	31029341	856749	Active_Promoter	Active	K27ac only	0.0240968090969345	0.020586143672557	-0.00351066542437752	-0.351066542437752	-0.359880263606731	3.1447507855906e-13	TRUE	Hypomethylated	-0.112569768	0.594008069	0.001742017	14	5	FALSE	FALSE	FALSE	FALSE	Q3
Patj	ENSMUSG00000061859.17	chr4	98395784	98719603	323819	Active_Promoter	Active	K27ac only	0.0193572756775629	0.0295842482524923	0.0102269725749294	1.02269725749294	0.509305800239703	3.87244711079677e-13	TRUE	Hypermethylated	1.854636015	1.89e-12	2.05e-37	8	6	TRUE	FALSE	TRUE	TRUE	Q1
Btbd3	ENSMUSG00000062098.11	chr2	138256564	138589292	332728	Active_Promoter	Active	K27ac only	0.0347447209742849	0.047790980587707	0.0130462596134221	1.30462596134221	0.396499724428239	3.87244711079677e-13	TRUE	Hypermethylated	-0.014390522	0.965220247	2.64e-18	24	15	FALSE	FALSE	TRUE	FALSE	Q4
Tjp1	ENSMUSG00000030516.14	chr7	65296164	65527781	231617	Unmarked_Promoter	Polycomb	K27me3 only	0.0407696335592383	0.0307914454503749	-0.0099781881088634	-0.99781881088634	-0.477874810605031	5.85310326703745e-13	TRUE	Hypomethylated	-0.074360945	0.761204559	0.00012171	11	4	FALSE	FALSE	FALSE	FALSE	Q3
Tmem178b	ENSMUSG00000057716.7	chr6	39871460	40255150	383690	Active_Promoter	Mixed	Bivalent	0.0499247050495826	0.0396953805499329	-0.0102293244996497	-1.02293244996497	-0.386877511812155	6.38954394334393e-13	TRUE	Hypomethylated	0.008413527	0.981557787	0.003298978	26	5	FALSE	FALSE	FALSE	TRUE	Q2
Abr	ENSMUSG00000017631.19	chr11	76416733	76623558	206825	Repressed_Promoter	Polycomb	K27me3 only	0.0481922430443689	0.0362315305055378	-0.0119607125388311	-1.19607125388311	-0.486619323729966	8.71164816813942e-13	TRUE	Hypomethylated	-0.016959564	0.957788679	7.9e-07	23	13	FALSE	FALSE	FALSE	FALSE	Q3
Ephb1	ENSMUSG00000032537.15	chr9	101922127	102354693	432566	Active_Promoter	Active	K27ac only	0.0358522898746074	0.0291295866986904	-0.00672270317591703	-0.672270317591703	-0.391931952341116	8.91709833987259e-13	TRUE	Hypomethylated	-0.185823385	0.347989686	1.54e-05	36	11	FALSE	FALSE	FALSE	FALSE	Q3
Plekha6	ENSMUSG00000041757.17	chr1	133164209	133303435	139226	Repressed_Promoter	Mixed	Bivalent	0.041199119473182	0.0296268306123131	-0.0115722888608689	-1.15722888608689	-0.561922449639867	1.15763853780842e-12	TRUE	Hypomethylated	0.015113909	0.96409672	4.67e-08	15	6	FALSE	FALSE	FALSE	TRUE	Q2
Cerkl	ENSMUSG00000075256.9	chr2	79330542	79456785	126243	Active_Promoter	Active	K27ac only	0.0224010478498205	0.0370281678178183	0.0146271199679977	1.46271199679977	0.642154422290159	1.24590439941509e-12	TRUE	Hypermethylated	0.943549062	4.97e-05	2.44e-20	13	11	TRUE	FALSE	TRUE	TRUE	Q1
Gabbr2	ENSMUSG00000039809.10	chr4	46662304	46991873	329569	Active_Promoter	Active	K27ac only	0.0253111794838964	0.0202951778865573	-0.00501600159733915	-0.501600159733915	-0.461209704896327	1.24590439941509e-12	TRUE	Hypomethylated	-0.730339674	0.016185308	0.016185308	11	2	FALSE	TRUE	FALSE	FALSE	Q3
Tafa5	ENSMUSG00000054863.9	chr15	87544298	87759364	215066	Active_Promoter	Active	K27ac only	0.0275153572368312	0.0206032933705755	-0.00691206386625575	-0.691206386625575	-0.542735349698253	1.31715830047697e-12	TRUE	Hypomethylated	0.324279882	0.134100213	3.63e-10	75	14	FALSE	FALSE	FALSE	TRUE	Q2
Gsg1l	ENSMUSG00000046182.8	chr7	125878419	126082411	203992	Unmarked_Promoter	Mixed	Bivalent	0.0506186268354443	0.0394539784061962	-0.0111646484292481	-1.11646484292481	-0.414259167560879	1.43532704106835e-12	TRUE	Hypomethylated	-0.443373105	0.075354336	0.000422588	21	3	FALSE	FALSE	FALSE	FALSE	Q3
Rnf157	ENSMUSG00000052949.14	chr11	116336352	116413032	76680	Unmarked_Promoter	Polycomb	K27me3 only	0.0655223034551502	0.0456834989191339	-0.0198388045360163	-1.98388045360163	-0.571779759204454	1.57211642940493e-12	TRUE	Hypomethylated	-0.118170518	0.591125004	8.22e-06	7	5	FALSE	FALSE	FALSE	FALSE	Q3
Tgfbr3	ENSMUSG00000029287.14	chr5	107106569	107289629	183060	Active_Promoter	Active	K27ac only	0.0371239485284172	0.0276426595949569	-0.00948128893346031	-0.948128893346031	-0.512916820352558	1.79309778308555e-12	TRUE	Hypomethylated	-0.086865929	0.719847893	0.000565601	12	2	FALSE	FALSE	FALSE	FALSE	Q3
Sema6d	ENSMUSG00000027200.17	chr2	124089968	124667770	577802	Repressed_Promoter	Mixed	Bivalent	0.024829470766487	0.033751302606769	0.00892183184028204	0.892183184028204	0.36605400753413	1.8571864142068e-12	TRUE	Hypermethylated	-0.059698151	0.808402872	4.24e-12	21	12	FALSE	FALSE	TRUE	FALSE	Q4
Cacna1e	ENSMUSG00000004110.17	chr1	154390730	154884501	493771	Active_Promoter	Active	K27ac only	0.0217562279369622	0.0174191552417872	-0.00433707269517495	-0.433707269517495	-0.481785657953047	1.8571864142068e-12	TRUE	Hypomethylated	0.255420362	0.254924818	0.00074871	9	3	FALSE	FALSE	FALSE	TRUE	Q2
Msi2	ENSMUSG00000069769.13	chr11	88339381	88718513	379132	Active_Promoter	Active	K27ac only	0.0281092225068599	0.0227518497791065	-0.00535737272775339	-0.535737272775339	-0.430203848826453	1.91451799992478e-12	TRUE	Hypomethylated	-0.082900503	0.712728007	0.160949512	6	0	FALSE	FALSE	FALSE	FALSE	Q3
Hgd	ENSMUSG00000022821.13	chr16	37580152	37632020	51868	Unmarked_Promoter	Active	K27ac only	0.0314170631567474	0.0529528451251978	0.0215357819684505	2.15357819684505	0.695099479654119	2.01438202285783e-12	TRUE	Hypermethylated	1.666176581	2.9e-09	1.27e-15	5	5	TRUE	FALSE	TRUE	TRUE	Q1
Dlgap4	ENSMUSG00000061689.15	chr2	156613704	156764363	150659	Active_Promoter	Active	K27ac only	0.0340773268315774	0.0250534659348682	-0.00902386089670924	-0.902386089670924	-0.549088417206923	2.01438202285783e-12	TRUE	Hypomethylated	0.006262361	0.987665009	2.73e-08	16	7	FALSE	FALSE	FALSE	TRUE	Q2
Phex	ENSMUSG00000057457.11	chrX	157162074	157415312	253238	Unmarked_Promoter	Active	K27ac only	0.0227423150592983	0.0366935718293751	0.0139512567700768	1.39512567700768	0.605138207555447	2.01438202285783e-12	TRUE	Hypermethylated	2.605603994	1.58e-06	1.58e-06	3	2	TRUE	FALSE	TRUE	TRUE	Q1
Prkar2b	ENSMUSG00000002997.15	chr12	31958475	32061296	102821	Bivalent_Promoter	Polycomb	Bivalent	0.058499211218819	0.0433968523815333	-0.0151023588372857	-1.51023588372857	-0.490222258941973	2.1471991540591e-12	TRUE	Hypomethylated	-0.290536962	0.249942941	0.020599869	4	2	FALSE	FALSE	FALSE	FALSE	Q3
Afap1	ENSMUSG00000029094.12	chr5	35893318	36003923	110605	Bivalent_Promoter	Polycomb	Bivalent	0.0537059860698742	0.039881008654309	-0.0138249774155652	-1.38249774155652	-0.499158204152525	2.26736698560746e-12	TRUE	Hypomethylated	-0.026199951	0.928226003	4.46e-08	32	9	FALSE	FALSE	FALSE	FALSE	Q3
Ephb2	ENSMUSG00000028664.14	chr4	136647538	136835988	188450	Active_Promoter	Active	K27ac only	0.0331453278729559	0.0250282675592608	-0.00811706031369505	-0.811706031369505	-0.501841789897803	2.26819338703091e-12	TRUE	Hypomethylated	-0.320950525	0.178588126	0.001793435	15	2	FALSE	FALSE	FALSE	FALSE	Q3
Zbtb20	ENSMUSG00000022708.16	chr16	42875880	43642602	766722	Active_Promoter	Active	K27ac only	0.0273724342712657	0.0359248640383483	0.0085524297670826	0.85524297670826	0.319456862975036	3.23721304105379e-12	TRUE	Hypermethylated	1.251429852	7e-05	1.22e-17	23	17	TRUE	FALSE	TRUE	TRUE	Q1
Lrrc4c	ENSMUSG00000050587.14	chr2	96318168	97631666	1313498	Active_Promoter	Active	K27ac only	0.0247428877870891	0.0315560677809279	0.00681317999383875	0.681317999383875	0.264245512037436	4.42062916043828e-12	TRUE	Hypermethylated	0.060485394	0.796206729	1.43e-15	26	18	FALSE	FALSE	TRUE	TRUE	Q1
Megf11	ENSMUSG00000036466.17	chr9	64385625	64709205	323580	Active_Promoter	Active	K27ac only	0.0282092533625712	0.0229046814111553	-0.00530457195141587	-0.530457195141587	-0.434428454322499	4.56367812450137e-12	TRUE	Hypomethylated	-0.229698857	0.277707232	0.065538132	8	0	FALSE	FALSE	FALSE	FALSE	Q3
Hdac9	ENSMUSG00000004698.11	chr12	34047579	34917095	869516	Unmarked_Promoter	Mixed	Bivalent	0.0216280641556609	0.019520462265661	-0.00210760188999986	-0.210760188999986	-0.326505326896997	4.97307977098156e-12	TRUE	Hypomethylated	-0.063899675	0.792762556	7.28e-07	9	6	FALSE	FALSE	FALSE	FALSE	Q3
Cmip	ENSMUSG00000034390.16	chr8	117257063	117459430	202367	Active_Promoter	Polycomb	K27me3 only	0.0415558685451009	0.0319125880689327	-0.00964328047616819	-0.964328047616819	-0.478447147339527	5.03410376314445e-12	TRUE	Hypomethylated	-0.21801447	0.305192215	2.23e-08	19	12	FALSE	FALSE	FALSE	FALSE	Q3
Ccdc192	ENSMUSG00000058925.11	chr18	57533779	57731065	197286	Unmarked_Promoter	Active	K27ac only	0.0311064153838948	0.0437083920338592	0.0126019766499644	1.26019766499644	0.424150311519031	7.0060800467962e-12	TRUE	Hypermethylated	1.138490383	0.001433034	7.04e-07	4	3	TRUE	FALSE	TRUE	TRUE	Q1
Epha3	ENSMUSG00000052504.7	chr16	63543533	63864175	320642	Active_Promoter	Active	K27ac only	0.0317222961265713	0.0429121385410209	0.0111898424144496	1.11898424144496	0.361934777032521	7.0060800467962e-12	TRUE	Hypermethylated	2.691133668	1.44e-12	2.52e-13	21	12	TRUE	FALSE	TRUE	TRUE	Q1
Snca	ENSMUSG00000025889.13	chr6	60731574	60829855	98281	Active_Promoter	Active	K27ac only	0.0286772556764082	0.0443873691124029	0.0157101134359947	1.57101134359947	0.586118798230916	7.0060800467962e-12	TRUE	Hypermethylated	1.191742942	2.84e-08	1.18e-08	6	5	TRUE	FALSE	TRUE	TRUE	Q1
Cacna2d2	ENSMUSG00000010066.15	chr9	107399611	107529343	129732	Active_Promoter	Active	K27ac only	0.0389354122533475	0.028363708738843	-0.0105717035145044	-1.05717035145044	-0.548418662574978	7.36919823913913e-12	TRUE	Hypomethylated	-0.032299096	0.907642067	1.43e-05	17	7	FALSE	FALSE	FALSE	FALSE	Q3
Pappa2	ENSMUSG00000073530.11	chr1	158711726	158980490	268764	Unmarked_Promoter	Mixed	Bivalent	0.0234655891091608	0.0336042365534687	0.0101386474443078	1.01386474443078	0.43796141023974	1.14335562030728e-11	TRUE	Hypermethylated	0.158839452	0.47057616	7.09e-06	4	3	FALSE	FALSE	TRUE	TRUE	Q1
Arhgef38	ENSMUSG00000040969.14	chr3	133112277	133234949	122672	Unmarked_Promoter	Enhancer_Marked	Neither	0.0211501155107351	0.0348993279880038	0.0137492124772687	1.37492124772687	0.629380649037586	1.2591207886485e-11	TRUE	Hypermethylated	2.134174468	2.12e-09	1.14e-14	4	4	TRUE	FALSE	TRUE	TRUE	Q1
Nos1	ENSMUSG00000029361.18	chr5	117781031	117958840	177809	Unmarked_Promoter	Active	K27ac only	0.0340419655744181	0.0265955811895094	-0.00744638438490868	-0.744638438490868	-0.460095249479455	1.44746199427635e-11	TRUE	Hypomethylated	-0.511279386	0.020175514	2.22e-09	10	3	FALSE	TRUE	FALSE	FALSE	Q3
Lamb3	ENSMUSG00000026639.18	chr1	193207698	193343878	136180	Unmarked_Promoter	Active	K27ac only	0.0342611996310923	0.0486914686220025	0.0144302689909102	1.44302689909102	0.439948159320804	1.69868733830918e-11	TRUE	Hypermethylated	1.805349452	5.21e-15	1.43e-19	12	8	TRUE	FALSE	TRUE	TRUE	Q1
Fam107b	ENSMUSG00000026655.15	chr2	3570487	3782142	211655	Unmarked_Promoter	Active	K27ac only	0.0313781900184578	0.042701313837628	0.0113231238191702	1.13231238191702	0.383100721599497	1.72457688349489e-11	TRUE	Hypermethylated	1.298003628	5.07e-05	5.5e-10	15	12	TRUE	FALSE	TRUE	TRUE	Q1
Nln	ENSMUSG00000021710.11	chr13	104023056	104109614	86558	Active_Promoter	Mixed	Bivalent	0.0575609184952809	0.0434593102356271	-0.0141016082596538	-1.41016082596538	-0.462840357126964	1.72457688349489e-11	TRUE	Hypomethylated	-0.030860036	0.912960257	0.000872917	14	3	FALSE	FALSE	FALSE	FALSE	Q3
Zic4	ENSMUSG00000036972.14	chr9	91362412	91389348	26936	Active_Promoter	Active	K27ac only	0.0216585116640554	0.04761580255408	0.0259572908900246	2.59572908900246	1.07055550092011	1.8061831816614e-11	TRUE	Hypermethylated	1.516051714	1.46e-05	2.06e-19	24	16	TRUE	FALSE	TRUE	TRUE	Q1
Pag1	ENSMUSG00000027508.15	chr3	9687478	9833679	146201	Active_Promoter	Active	K27ac only	0.0423113946884508	0.0326126229847831	-0.00969877170366765	-0.969877170366765	-0.44643184564619	1.84260509379302e-11	TRUE	Hypomethylated	-0.387083434	0.118614585	4.29e-05	21	9	FALSE	FALSE	FALSE	FALSE	Q3
Fstl4	ENSMUSG00000036264.9	chr11	52764633	53188538	423905	Bivalent_Promoter	Polycomb	Bivalent	0.0372081711402457	0.0318697181418249	-0.00533845299842072	-0.533845299842072	-0.307902921704225	1.97632496913304e-11	TRUE	Hypomethylated	-0.056227759	0.823524342	0.526699738	5	0	FALSE	FALSE	FALSE	FALSE	Q3
Opcml	ENSMUSG00000062257.13	chr9	27790774	28925410	1134636	Repressed_Promoter	Mixed	Bivalent	0.0325910388398212	0.0398012483581322	0.00721020951831099	0.721020951831099	0.215772239315337	1.97632496913304e-11	TRUE	Hypermethylated	1.350380031	1.72e-05	3.7e-26	48	24	TRUE	FALSE	TRUE	TRUE	Q1
Kcnq1	ENSMUSG00000009545.14	chr7	143106361	143427042	320681	Repressed_Promoter	Polycomb	K27me3 only	0.0435621732210969	0.0367224007788732	-0.00683977244222367	-0.683977244222367	-0.321025294687241	1.99114960892126e-11	TRUE	Hypomethylated	-0.08220047	0.714047774	1.69e-05	12	6	FALSE	FALSE	FALSE	FALSE	Q3
Heg1	ENSMUSG00000075254.12	chr16	33684369	33771576	87207	Active_Promoter	Active	K27ac only	0.0253317607196292	0.0401595974667267	0.0148278367470974	1.48278367470974	0.589056922476944	2.07818578943075e-11	TRUE	Hypermethylated	0.054322557	0.82261978	3.47e-23	11	6	FALSE	FALSE	TRUE	TRUE	Q1
Prkce	ENSMUSG00000045038.14	chr17	86167784	86657919	490135	Active_Promoter	Active	K27ac only	0.0278684512770983	0.0241311054072469	-0.0037373458698514	-0.37373458698514	-0.326694727729326	2.13735371614806e-11	TRUE	Hypomethylated	1.699626498	4.28e-10	4.28e-10	11	3	TRUE	FALSE	FALSE	TRUE	Q2
D430041D05Rik	ENSMUSG00000068373.15	chr2	104143072	104411013	267941	Active_Promoter	Active	K27ac only	0.0221742610663647	0.018039137244261	-0.00413512382210377	-0.413512382210377	-0.467291713167693	2.73092512792312e-11	TRUE	Hypomethylated	-0.005183311	0.989734114	0.947490047	2	0	FALSE	FALSE	FALSE	FALSE	Q3
Wdr25	ENSMUSG00000040877.16	chr12	108893630	109028452	134822	Unmarked_Promoter	Polycomb	K27me3 only	0.0528285624194687	0.0415321926728011	-0.0112963697466676	-1.12963697466676	-0.397370484269199	2.90516087878087e-11	TRUE	Hypomethylated	-0.083307669	0.712454085	4.75e-06	22	4	FALSE	FALSE	FALSE	FALSE	Q3
Ncald	ENSMUSG00000051359.15	chr15	37366174	37792570	426396	Active_Promoter	Active	K27ac only	0.0290335467751639	0.0379618057496212	0.00892825897445735	0.892825897445735	0.313919146919715	3.0316837982042e-11	TRUE	Hypermethylated	-0.004090664	0.992468937	5.18e-11	27	7	FALSE	FALSE	TRUE	FALSE	Q4
Igsf21	ENSMUSG00000040972.8	chr4	140026845	140246784	219939	Active_Promoter	Active	K27ac only	0.0280300226428876	0.022757308400826	-0.00527271424206153	-0.527271424206153	-0.440941583534908	3.2074036698191e-11	TRUE	Hypomethylated	-0.617589713	0.028988224	3.42e-10	10	3	FALSE	TRUE	FALSE	FALSE	Q3
Med13l	ENSMUSG00000018076.12	chr5	118560678	118765438	204760	Active_Promoter	Active	K27ac only	0.0248709567778398	0.0199833505084465	-0.00488760626939322	-0.488760626939322	-0.452404242434461	4.89391412797368e-11	TRUE	Hypomethylated	0.022437864	0.941750116	0.000880747	9	1	FALSE	FALSE	FALSE	TRUE	Q2
Col27a1	ENSMUSG00000045672.15	chr4	63214003	63334991	120988	Repressed_Promoter	Mixed	Bivalent	0.0730885097471241	0.0584858834312083	-0.0146026263159157	-1.46026263159157	-0.367783099887131	5.16122544810277e-11	TRUE	Hypomethylated	0.018598193	0.952461038	0.000331178	26	8	FALSE	FALSE	FALSE	TRUE	Q2
