gene_name	chr	is_synapse_and_mecp2_up	atac_remodeled
Alk	chr17	FALSE	TRUE
Slc17a6	chr7	FALSE	FALSE
Prkcb	chr7	FALSE	TRUE
Adam22	chr5	FALSE	FALSE
Itgb5	chr16	FALSE	TRUE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	FALSE	FALSE
Lpp	chr16	FALSE	FALSE
Runx1	chr16	FALSE	TRUE
Vav2	chr2	FALSE	FALSE
Astn2	chr4	FALSE	TRUE
Faf1	chr4	FALSE	FALSE
Grip1	chr10	FALSE	TRUE
Dip2c	chr13	FALSE	FALSE
Sh3pxd2a	chr19	FALSE	FALSE
Nbea	chr3	TRUE	FALSE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	FALSE
Commd1	chr11	FALSE	FALSE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	FALSE
Fbh1	chr2	FALSE	FALSE
Ptprk	chr10	FALSE	TRUE
Zfpm2	chr15	FALSE	FALSE
Rab3c	chr13	FALSE	FALSE
Ambra1	chr2	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	FALSE	FALSE
Grin2a	chr16	FALSE	FALSE
Mbd5	chr2	FALSE	FALSE
Zbtb40	chr4	FALSE	FALSE
Samd12	chr15	FALSE	FALSE
Slc24a3	chr2	FALSE	TRUE
Sema5b	chr16	FALSE	FALSE
Dapk1	chr13	FALSE	TRUE
Cdk15	chr1	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Ryr2	chr13	FALSE	FALSE
Vps13d	chr4	FALSE	FALSE
Isx	chr8	FALSE	TRUE
Slc39a11	chr11	FALSE	FALSE
Fam72a	chr1	FALSE	TRUE
Ercc8	chr13	FALSE	FALSE
Bank1	chr3	FALSE	FALSE
Lrrc36	chr8	FALSE	FALSE
Wipf3	chr6	FALSE	TRUE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	FALSE
Gnaq	chr19	FALSE	FALSE
Cacnb4	chr2	FALSE	FALSE
Adgrb3	chr1	TRUE	FALSE
Fam83g	chr11	FALSE	FALSE
Tbc1d30	chr10	FALSE	FALSE
Col5a1	chr2	FALSE	FALSE
Syn2	chr6	FALSE	FALSE
Trio	chr15	FALSE	FALSE
Rap1gap2	chr11	FALSE	TRUE
Rgs7	chr1	FALSE	FALSE
Dis3l2	chr1	FALSE	FALSE
Pld5	chr1	FALSE	FALSE
Kcnj6	chr16	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Rora	chr9	FALSE	TRUE
Rbfox1	chr16	FALSE	TRUE
Adk	chr14	FALSE	FALSE
Trp73	chr4	FALSE	TRUE
Fgf14	chr14	FALSE	FALSE
Kcnn3	chr3	FALSE	FALSE
Baz2b	chr2	FALSE	FALSE
Dnah11	chr12	FALSE	TRUE
Syt2	chr1	FALSE	FALSE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	FALSE	FALSE
Lrfn2	chr17	FALSE	FALSE
Syt1	chr10	FALSE	TRUE
Nek7	chr1	FALSE	FALSE
Sema3a	chr5	TRUE	FALSE
Fto	chr8	FALSE	FALSE
Dst	chr1	FALSE	TRUE
Dkk3	chr7	FALSE	FALSE
Zfp423	chr8	FALSE	TRUE
Gse1	chr8	FALSE	FALSE
Robo2	chr16	FALSE	TRUE
Ascc3	chr10	FALSE	FALSE
Gabrb3	chr7	FALSE	FALSE
Nr6a1	chr2	FALSE	FALSE
Bcl2l15	chr3	FALSE	FALSE
Fam20c	chr5	FALSE	FALSE
Cfap61	chr2	FALSE	FALSE
Snd1	chr6	FALSE	FALSE
Sik3	chr9	FALSE	FALSE
Glt8d2	chr10	FALSE	FALSE
Sh3gl3	chr7	FALSE	TRUE
Xkr6	chr14	FALSE	FALSE
Hspg2	chr4	FALSE	FALSE
Pdlim7	chr13	FALSE	FALSE
Supt3	chr17	FALSE	FALSE
Ints9	chr14	FALSE	FALSE
Eefsec	chr6	FALSE	FALSE
Lct	chr1	FALSE	FALSE
Cenpf	chr1	FALSE	FALSE
Itfg1	chr8	FALSE	FALSE
Dysf	chr6	FALSE	FALSE
Ctnna3	chr10	FALSE	FALSE
Lrrn1	chr6	FALSE	FALSE
Hecw2	chr1	FALSE	FALSE
Ldlrad3	chr2	FALSE	FALSE
Zfand3	chr17	FALSE	FALSE
Nup93	chr8	FALSE	FALSE
Ppl	chr16	FALSE	FALSE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	FALSE
Rgl1	chr1	FALSE	TRUE
Cpeb3	chr19	FALSE	FALSE
Aff3	chr1	FALSE	TRUE
F830045P16Rik	chr2	FALSE	FALSE
Tcf20	chr15	FALSE	TRUE
Hlf	chr11	FALSE	TRUE
Shld1	chr2	FALSE	FALSE
Cemip	chr7	FALSE	FALSE
Ncor2	chr5	FALSE	FALSE
Cdh4	chr2	FALSE	FALSE
Unc13c	chr9	FALSE	FALSE
Nrp2	chr1	FALSE	FALSE
Brinp3	chr1	FALSE	FALSE
Tenm1	chrX	FALSE	FALSE
Nfasc	chr1	FALSE	FALSE
Gria4	chr9	FALSE	FALSE
Prdm5	chr6	FALSE	FALSE
Ncoa1	chr12	FALSE	FALSE
Rapgef2	chr3	FALSE	TRUE
Togaram2	chr17	FALSE	FALSE
Gria2	chr3	FALSE	FALSE
Tpst1	chr5	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chchd6	chr6	FALSE	FALSE
Eps8	chr6	FALSE	FALSE
Fsip1	chr2	FALSE	FALSE
Frmd4a	chr2	FALSE	TRUE
Mgll	chr6	FALSE	FALSE
Nsmaf	chr4	FALSE	TRUE
Gm1043	chr5	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	TRUE
Ntrk3	chr7	FALSE	FALSE
Cux1	chr5	FALSE	TRUE
Marchf4	chr1	FALSE	TRUE
Kmt2c	chr5	FALSE	FALSE
Sfxn5	chr6	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Cadps2	chr6	FALSE	TRUE
Akt3	chr1	FALSE	FALSE
Mtus2	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Nf1	chr11	FALSE	FALSE
Prickle1	chr15	FALSE	FALSE
Hspa12a	chr19	FALSE	FALSE
Fmn1	chr2	FALSE	FALSE
Atxn7l1	chr12	FALSE	TRUE
Erc2	chr14	FALSE	FALSE
Ncoa2	chr1	FALSE	FALSE
Wdr7	chr18	FALSE	FALSE
St18	chr1	FALSE	FALSE
Gphn	chr12	FALSE	FALSE
Dennd1a	chr2	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Prr16	chr18	FALSE	TRUE
Nav1	chr1	FALSE	TRUE
Itsn1	chr16	FALSE	FALSE
Lrrc28	chr7	FALSE	FALSE
Myt1l	chr12	FALSE	TRUE
Serpinb8	chr1	FALSE	FALSE
Adcy9	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	FALSE	TRUE
Enah	chr1	FALSE	FALSE
Cntnap5a	chr1	FALSE	TRUE
Flrt3	chr2	FALSE	FALSE
Cntn4	chr6	FALSE	FALSE
Lca5l	chr16	FALSE	FALSE
Dock3	chr9	FALSE	FALSE
Smad6	chr9	FALSE	FALSE
Osbpl10	chr9	FALSE	FALSE
Fmn2	chr1	FALSE	FALSE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	FALSE	FALSE
Mtor	chr4	FALSE	FALSE
Alg8	chr7	FALSE	FALSE
Med27	chr2	FALSE	FALSE
Tbxas1	chr6	FALSE	TRUE
Camk1d	chr2	FALSE	TRUE
Tmem132c	chr5	FALSE	TRUE
Rere	chr4	FALSE	FALSE
Vps13b	chr15	FALSE	FALSE
Myo5b	chr18	FALSE	TRUE
Zfp827	chr8	FALSE	FALSE
Ncam1	chr9	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Kif13b	chr14	FALSE	FALSE
Fam120b	chr17	FALSE	FALSE
Zcchc7	chr4	FALSE	FALSE
Macrod1	chr19	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	FALSE
Farp1	chr14	FALSE	FALSE
Cd276	chr9	FALSE	FALSE
Dnaja3	chr16	FALSE	FALSE
Slc35f3	chr8	FALSE	FALSE
Cdh20	chr1	FALSE	TRUE
Dpp6	chr5	FALSE	FALSE
Fbln2	chr6	FALSE	FALSE
Mrtfa	chr15	FALSE	FALSE
Rnf150	chr8	FALSE	FALSE
Dgki	chr6	FALSE	FALSE
Arap2	chr5	FALSE	TRUE
Mbnl2	chr14	FALSE	FALSE
Ptgs1	chr2	FALSE	TRUE
Agap1	chr1	FALSE	FALSE
Pax5	chr4	FALSE	TRUE
Kcnab1	chr3	FALSE	TRUE
Abl1	chr2	FALSE	TRUE
Sez6l	chr5	FALSE	FALSE
Cdc73	chr1	FALSE	FALSE
Galnt13	chr2	FALSE	FALSE
Pnpla7	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	FALSE
Cep128	chr12	FALSE	FALSE
Chchd3	chr6	FALSE	FALSE
Otc	chrX	FALSE	FALSE
Spock1	chr13	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Reep3	chr10	FALSE	FALSE
Garnl3	chr2	FALSE	FALSE
Zswim6	chr13	FALSE	FALSE
Myo18b	chr5	FALSE	FALSE
Ttc7b	chr12	FALSE	FALSE
Msrb3	chr10	FALSE	TRUE
Pphln1	chr15	FALSE	FALSE
Rapgef1	chr2	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Dipk2b	chrX	FALSE	FALSE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	FALSE	FALSE
1700019D03Rik	chr1	FALSE	TRUE
Ctnnbl1	chr2	FALSE	FALSE
Lamp2	chrX	FALSE	FALSE
Cadm2	chr16	FALSE	FALSE
Sobp	chr10	FALSE	FALSE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	FALSE
Osbpl5	chr7	FALSE	TRUE
Slc4a4	chr5	FALSE	FALSE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	FALSE	FALSE
Dhx35	chr2	FALSE	FALSE
Dym	chr18	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Erc1	chr6	FALSE	FALSE
Cd83	chr13	FALSE	FALSE
Ksr1	chr11	FALSE	FALSE
Elk3	chr10	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Hs6st3	chr14	FALSE	FALSE
Nr3c2	chr8	FALSE	FALSE
Grk5	chr19	FALSE	FALSE
Dnm3	chr1	FALSE	FALSE
Lhpp	chr7	FALSE	FALSE
Adamtsl3	chr7	FALSE	TRUE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	TRUE
Dna2	chr10	FALSE	FALSE
Tex2	chr11	FALSE	FALSE
Mms22l	chr4	FALSE	FALSE
Uggt2	chr14	FALSE	FALSE
Ldlrad4	chr18	FALSE	FALSE
Pde11a	chr2	FALSE	FALSE
Mtss1	chr15	FALSE	TRUE
Sdccag8	chr1	FALSE	FALSE
Atp2b2	chr6	FALSE	TRUE
Smad3	chr9	FALSE	FALSE
Mkln1	chr6	FALSE	FALSE
Hdgfl3	chr7	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Neb	chr2	FALSE	FALSE
Fbrsl1	chr5	FALSE	TRUE
Prdm16	chr4	FALSE	FALSE
Pkig	chr2	FALSE	FALSE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	FALSE
Arhgap35	chr7	FALSE	FALSE
Rag1	chr2	FALSE	TRUE
Stom	chr2	FALSE	TRUE
Fryl	chr5	FALSE	FALSE
Nrros	chr16	FALSE	TRUE
Triqk	chr4	FALSE	FALSE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	TRUE	FALSE
Capsl	chr15	FALSE	FALSE
Lipc	chr9	FALSE	TRUE
Cyth3	chr5	FALSE	FALSE
Zfp536	chr7	FALSE	FALSE
Slc24a2	chr4	FALSE	TRUE
Pcca	chr14	FALSE	FALSE
Adarb2	chr13	FALSE	FALSE
Mapk10	chr5	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Atp8a2	chr14	FALSE	FALSE
Unc13b	chr4	FALSE	TRUE
Fam168a	chr7	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Iqgap2	chr13	FALSE	FALSE
Bcr	chr10	FALSE	FALSE
Nr3c1	chr18	FALSE	FALSE
Nsf	chr11	FALSE	FALSE
Plekhm3	chr1	FALSE	FALSE
Shisal1	chr15	FALSE	TRUE
Orc5	chr5	FALSE	FALSE
Gas2	chr7	FALSE	FALSE
Arnt2	chr7	FALSE	FALSE
Tdo2	chr3	FALSE	FALSE
Zfp462	chr4	FALSE	TRUE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	TRUE
Fibcd1	chr2	FALSE	TRUE
Tmeff2	chr1	FALSE	FALSE
Slc24a4	chr12	FALSE	TRUE
Lrig2	chr3	FALSE	FALSE
Xpo4	chr14	FALSE	FALSE
Atrnl1	chr19	FALSE	TRUE
Eif4g3	chr4	FALSE	FALSE
Chst15	chr7	FALSE	FALSE
Reln	chr5	FALSE	FALSE
Serpinb1b	chr13	FALSE	FALSE
Zfp385b	chr2	FALSE	TRUE
Sdk2	chr11	FALSE	TRUE
Zfp704	chr3	FALSE	FALSE
Rabgap1l	chr1	FALSE	FALSE
Sorbs1	chr19	FALSE	FALSE
Mdga1	chr17	FALSE	FALSE
Efr3b	chr12	FALSE	FALSE
Ttc39b	chr4	FALSE	FALSE
Strbp	chr2	FALSE	FALSE
Zfp516	chr18	FALSE	TRUE
Evl	chr12	FALSE	FALSE
Siah3	chr14	FALSE	FALSE
Aatf	chr11	FALSE	FALSE
Arhgef12	chr9	FALSE	FALSE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	TRUE
Mpped2	chr2	FALSE	FALSE
Ston2	chr12	FALSE	TRUE
Gpm6b	chrX	TRUE	FALSE
Slc8a3	chr12	FALSE	TRUE
Cacng2	chr15	FALSE	FALSE
Lrrk1	chr7	FALSE	FALSE
Ppfia2	chr10	FALSE	FALSE
Ndrg1	chr15	FALSE	FALSE
Armh3	chr19	FALSE	FALSE
Tasp1	chr2	FALSE	FALSE
Gpr158	chr2	FALSE	FALSE
Dennd1b	chr1	FALSE	FALSE
Eml4	chr17	FALSE	FALSE
Acbd6	chr1	FALSE	FALSE
Polr1d	chr5	FALSE	FALSE
Cuedc1	chr11	FALSE	FALSE
Barx2	chr9	FALSE	FALSE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	FALSE	TRUE
Rgs3	chr4	FALSE	TRUE
Col19a1	chr1	FALSE	TRUE
Kif18a	chr2	FALSE	FALSE
Prex1	chr2	FALSE	FALSE
Galnt17	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	TRUE
Cacna2d4	chr6	FALSE	FALSE
Pcsk6	chr7	FALSE	FALSE
Tmem131l	chr3	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Trp53bp2	chr1	FALSE	FALSE
Mycbp2	chr14	FALSE	FALSE
Cacna1i	chr15	FALSE	FALSE
Zbtb7c	chr18	FALSE	TRUE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	TRUE
Npsr1	chr9	FALSE	FALSE
Mapkap1	chr2	FALSE	FALSE
Tnrc6c	chr11	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Bmpr2	chr1	FALSE	FALSE
Phf21a	chr2	FALSE	FALSE
Cnih3	chr1	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Olfm3	chr3	FALSE	FALSE
Zfp800	chr6	FALSE	FALSE
Jakmip3	chr7	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Krt24	chr11	FALSE	TRUE
Grik5	chr7	FALSE	FALSE
Nkd1	chr8	FALSE	FALSE
Clstn2	chr9	FALSE	FALSE
Zfpm1	chr8	FALSE	FALSE
Reep1	chr6	FALSE	FALSE
Macf1	chr4	FALSE	FALSE
Rsrc1	chr3	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Nlk	chr11	FALSE	FALSE
Tmprss11d	chr5	FALSE	FALSE
Atp8a1	chr5	FALSE	FALSE
Clmp	chr9	FALSE	FALSE
Pum1	chr4	FALSE	FALSE
Dclk1	chr3	FALSE	FALSE
Mrps27	chr13	FALSE	FALSE
Hacd2	chr16	FALSE	FALSE
Nsmf	chr2	FALSE	TRUE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	FALSE	FALSE
Cask	chrX	FALSE	FALSE
Lmx1b	chr2	FALSE	TRUE
Ngly1	chr14	FALSE	FALSE
Aopep	chr13	FALSE	TRUE
Dbn1	chr13	FALSE	FALSE
Bicral	chr17	FALSE	FALSE
Dyrk1a	chr16	FALSE	FALSE
Stau2	chr1	FALSE	FALSE
Specc1	chr11	FALSE	FALSE
Tshz1	chr18	FALSE	FALSE
Plxdc1	chr11	FALSE	FALSE
Myo9a	chr9	FALSE	FALSE
Myo5a	chr9	FALSE	FALSE
Rad51b	chr12	FALSE	FALSE
Pdia5	chr16	FALSE	FALSE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	FALSE	FALSE
Pde4d	chr13	FALSE	TRUE
Nrxn3	chr12	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Cdkl5	chrX	FALSE	FALSE
Plekhd1	chr12	FALSE	FALSE
Kctd12	chr14	FALSE	FALSE
Cnnm2	chr19	FALSE	FALSE
Kalrn	chr16	FALSE	TRUE
Mgat5	chr1	FALSE	FALSE
Kif1b	chr4	FALSE	FALSE
Efcab2	chr1	FALSE	FALSE
Pax3	chr1	FALSE	FALSE
Arhgef3	chr14	FALSE	TRUE
Usp34	chr11	FALSE	FALSE
Srpk2	chr5	FALSE	FALSE
Rfx7	chr9	FALSE	FALSE
Srgap3	chr6	FALSE	FALSE
Coro7	chr16	FALSE	FALSE
Epas1	chr17	FALSE	FALSE
Zfp407	chr18	FALSE	FALSE
Lrrn2	chr1	FALSE	FALSE
Rasa3	chr8	FALSE	FALSE
Med12l	chr3	FALSE	FALSE
Inf2	chr12	FALSE	FALSE
Trim71	chr9	FALSE	FALSE
Scn8a	chr15	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Scn1a	chr2	FALSE	TRUE
Slc22a23	chr13	FALSE	FALSE
Tlcd4	chr3	FALSE	FALSE
Ece1	chr4	FALSE	FALSE
Srgap2	chr1	FALSE	FALSE
Cntnap4	chr8	FALSE	FALSE
Pknox2	chr9	FALSE	FALSE
Cav2	chr6	FALSE	FALSE
Zfp804a	chr2	TRUE	FALSE
Mprip	chr11	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Frmd5	chr2	FALSE	FALSE
Lrrc8b	chr5	FALSE	FALSE
Hibadh	chr6	FALSE	FALSE
Rps6ka2	chr17	FALSE	FALSE
Foxo6	chr4	FALSE	FALSE
Dock5	chr14	FALSE	FALSE
Nedd4l	chr18	FALSE	TRUE
1700011L22Rik	chr8	FALSE	FALSE
Pde9a	chr17	FALSE	TRUE
Galnt18	chr7	FALSE	FALSE
Rbms3	chr9	FALSE	FALSE
Sipa1l1	chr12	FALSE	TRUE
Pbx1	chr1	FALSE	FALSE
Vgll4	chr6	FALSE	FALSE
Syn3	chr10	FALSE	FALSE
Arhgap10	chr8	FALSE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Hpse2	chr19	FALSE	FALSE
Sec16b	chr1	FALSE	FALSE
Rims1	chr1	FALSE	TRUE
1700017N19Rik	chr10	FALSE	FALSE
Slc9a9	chr9	FALSE	FALSE
Mindy3	chr2	FALSE	FALSE
Slc10a7	chr8	FALSE	FALSE
Rp9	chr9	FALSE	FALSE
Osbpl1a	chr18	FALSE	TRUE
Atg4c	chr4	FALSE	FALSE
Tmem156	chr5	FALSE	TRUE
Ptgis	chr2	FALSE	TRUE
Sv2c	chr13	FALSE	FALSE
Sort1	chr3	FALSE	FALSE
Lrp1b	chr2	FALSE	TRUE
Rnf216	chr5	FALSE	FALSE
Limch1	chr5	FALSE	TRUE
Kif16b	chr2	FALSE	FALSE
Armc8	chr9	FALSE	FALSE
Sh3d19	chr3	FALSE	FALSE
Cbs	chr17	FALSE	FALSE
Gabra2	chr5	FALSE	TRUE
Otof	chr5	FALSE	FALSE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	TRUE
Rin2	chr2	FALSE	TRUE
Tbca	chr13	FALSE	FALSE
Capzb	chr4	FALSE	FALSE
Lrrc4	chr6	FALSE	FALSE
Tle1	chr4	FALSE	TRUE
Rbfox2	chr15	FALSE	FALSE
Ccdc60	chr5	FALSE	TRUE
Cep112	chr11	FALSE	FALSE
Igsf3	chr3	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
