gene_name	chr	is_neuronal	k27me3_predicted
Aff2	chrX	TRUE	TRUE
Aff3	chr1	FALSE	TRUE
Agbl1	chr7	FALSE	TRUE
Agbl4	chr4	TRUE	FALSE
Agk	chr6	FALSE	FALSE
Agpat2	chr2	FALSE	FALSE
Agr3	chr12	FALSE	FALSE
Agtr1a	chr13	TRUE	FALSE
Ahnak	chr19	FALSE	FALSE
Ahrr	chr13	FALSE	TRUE
AI429214	chr8	FALSE	TRUE
AI593442	chr9	FALSE	FALSE
Aif1l	chr2	FALSE	TRUE
Aire	chr10	FALSE	TRUE
Ajap1	chr4	FALSE	FALSE
Ajuba	chr14	FALSE	TRUE
Ak5	chr3	FALSE	TRUE
Ak8	chr2	TRUE	TRUE
Akain1	chr17	FALSE	TRUE
Akap1	chr11	FALSE	TRUE
Akap11	chr14	FALSE	FALSE
Akap3	chr6	FALSE	FALSE
Akna	chr4	TRUE	TRUE
Akp3	chr1	TRUE	FALSE
Akr1b8	chr6	FALSE	TRUE
Akr1cl	chr1	FALSE	FALSE
Aktip	chr8	FALSE	TRUE
Alcam	chr16	TRUE	TRUE
Aldh1a2	chr9	TRUE	FALSE
Aldh1a3	chr7	TRUE	FALSE
Aldh1b1	chr4	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Aldh8a1	chr10	FALSE	TRUE
Aldoart1	chr4	FALSE	TRUE
Aldoart2	chr12	FALSE	TRUE
Alk	chr17	TRUE	FALSE
Alkal1	chr1	TRUE	FALSE
Alkal2	chr12	TRUE	FALSE
Allc	chr12	FALSE	TRUE
Alox12	chr11	FALSE	TRUE
Alox12b	chr11	FALSE	TRUE
Alox12e	chr11	FALSE	FALSE
Alox15	chr11	FALSE	FALSE
Alox5	chr6	TRUE	FALSE
Alox5ap	chr5	FALSE	TRUE
Alox8	chr11	FALSE	TRUE
Alpi	chr1	FALSE	FALSE
Alpk1	chr3	FALSE	FALSE
Alpk3	chr7	FALSE	FALSE
Als2cl	chr9	FALSE	FALSE
Alx1	chr10	TRUE	FALSE
Alx3	chr3	FALSE	FALSE
Alx4	chr2	FALSE	FALSE
Amdhd1	chr10	FALSE	TRUE
Amer2	chr14	FALSE	TRUE
Amn	chr12	FALSE	FALSE
Amotl1	chr9	FALSE	FALSE
Ampd3	chr7	FALSE	TRUE
Amz1	chr5	FALSE	FALSE
Angpt1	chr15	TRUE	TRUE
Angpt2	chr8	FALSE	TRUE
Angptl4	chr17	FALSE	TRUE
Ank3	chr10	TRUE	TRUE
Ankrd1	chr19	TRUE	TRUE
Ankrd13c	chr3	FALSE	FALSE
Ankrd31	chr13	FALSE	TRUE
Ankrd33b	chr15	FALSE	FALSE
Ankrd34c	chr9	FALSE	FALSE
Ankrd44	chr1	FALSE	TRUE
Ankrd50	chr3	FALSE	TRUE
Ankrd55	chr13	FALSE	TRUE
Ankrd6	chr4	FALSE	TRUE
Ankrd60	chr2	FALSE	TRUE
Ankrd63	chr2	FALSE	FALSE
Anks6	chr4	FALSE	FALSE
Ano1	chr7	TRUE	FALSE
Ano2	chr6	FALSE	FALSE
Ano4	chr10	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Anpep	chr7	FALSE	TRUE
Antxr1	chr6	FALSE	FALSE
Antxr2	chr5	FALSE	TRUE
Anxa11	chr14	FALSE	FALSE
Anxa2	chr9	TRUE	TRUE
Anxa3	chr5	TRUE	FALSE
Anxa8	chr14	FALSE	FALSE
Aox2	chr1	FALSE	TRUE
Aox3	chr1	FALSE	FALSE
Aox4	chr1	FALSE	TRUE
Ap1ar	chr3	FALSE	TRUE
Ap1s3	chr1	FALSE	TRUE
Ap3b1	chr13	TRUE	TRUE
Ap5m1	chr14	FALSE	FALSE
Apbb1ip	chr2	FALSE	TRUE
Apc	chr18	TRUE	FALSE
Apcdd1	chr18	TRUE	TRUE
Apela	chr8	FALSE	FALSE
Aph1b	chr9	TRUE	TRUE
Aplnr	chr2	FALSE	FALSE
Apoa5	chr9	FALSE	TRUE
Apob	chr12	TRUE	FALSE
Apobr	chr7	FALSE	FALSE
App	chr16	TRUE	TRUE
Aqp1	chr6	TRUE	FALSE
Aqp2	chr15	FALSE	TRUE
Aqp3	chr4	FALSE	FALSE
Aqp4	chr18	TRUE	FALSE
Aqp5	chr15	FALSE	TRUE
Aqp7	chr4	FALSE	FALSE
Ar	chrX	FALSE	FALSE
Arap2	chr5	FALSE	TRUE
Arap3	chr18	FALSE	TRUE
Areg	chr5	TRUE	FALSE
Arglu1	chr8	FALSE	FALSE
Arhgap11a	chr2	FALSE	FALSE
Arhgap15	chr2	FALSE	TRUE
Arhgap18	chr10	FALSE	FALSE
Arhgap19	chr19	FALSE	TRUE
Arhgap22	chr14	TRUE	FALSE
Arhgap23	chr11	FALSE	FALSE
Arhgap24	chr5	FALSE	FALSE
Arhgap27	chr11	FALSE	FALSE
Arhgap28	chr17	FALSE	TRUE
Arhgap29	chr3	FALSE	TRUE
Arhgap31	chr16	FALSE	FALSE
Arhgap32	chr9	TRUE	FALSE
Arhgap36	chrX	FALSE	FALSE
Arhgap40	chr2	FALSE	FALSE
Arhgap42	chr9	FALSE	FALSE
Arhgap45	chr10	FALSE	TRUE
Arhgap6	chrX	FALSE	FALSE
Arhgap8	chr15	FALSE	TRUE
Arhgap9	chr10	FALSE	FALSE
Arhgef1	chr7	FALSE	FALSE
Arhgef10	chr8	TRUE	TRUE
Arhgef15	chr11	TRUE	TRUE
Arhgef16	chr4	FALSE	TRUE
Arhgef17	chr7	FALSE	FALSE
Arhgef19	chr4	FALSE	TRUE
Arhgef26	chr3	FALSE	FALSE
Arhgef28	chr13	TRUE	TRUE
Arhgef3	chr14	FALSE	FALSE
Arhgef38	chr3	FALSE	TRUE
Arhgef39	chr4	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Arhgef5	chr6	TRUE	TRUE
Arid1b	chr17	TRUE	TRUE
Arid3c	chr4	FALSE	FALSE
Arl4a	chr12	FALSE	TRUE
Arl4c	chr1	FALSE	FALSE
Armc1	chr3	FALSE	TRUE
Armc3	chr2	FALSE	TRUE
Arrdc3	chr13	FALSE	TRUE
Arsb	chr13	TRUE	TRUE
Arsi	chr18	FALSE	FALSE
Arsj	chr3	FALSE	FALSE
Art2b	chr7	FALSE	FALSE
Art3	chr5	FALSE	TRUE
Art5	chr7	FALSE	TRUE
Arx	chrX	TRUE	FALSE
Asah2	chr19	FALSE	FALSE
Asap1	chr15	TRUE	FALSE
Asap3	chr4	FALSE	FALSE
Asb1	chr1	FALSE	FALSE
Asb10	chr5	FALSE	FALSE
Asb18	chr1	FALSE	FALSE
Asb4	chr6	FALSE	FALSE
Asb5	chr8	FALSE	TRUE
Ascl1	chr10	TRUE	FALSE
Ascl2	chr7	TRUE	TRUE
Asic2	chr11	TRUE	FALSE
Asic4	chr1	FALSE	TRUE
Aspg	chr12	FALSE	FALSE
Aspm	chr1	TRUE	TRUE
Ass1	chr2	FALSE	FALSE
Astn1	chr1	TRUE	TRUE
Ate1	chr7	FALSE	TRUE
Atf3	chr1	FALSE	TRUE
Atg4c	chr4	FALSE	FALSE
Atg9b	chr5	FALSE	TRUE
Atic	chr1	TRUE	FALSE
Atoh8	chr6	TRUE	TRUE
Atp12a	chr14	FALSE	FALSE
Atp13a4	chr16	FALSE	TRUE
Atp13a5	chr16	FALSE	TRUE
Atp1a2	chr1	TRUE	TRUE
Atp1a4	chr1	FALSE	TRUE
Atp2a3	chr11	FALSE	FALSE
Atp2b4	chr1	TRUE	TRUE
Atp2c2	chr8	FALSE	FALSE
Atp4a	chr7	FALSE	TRUE
Atp6ap1l	chr13	FALSE	FALSE
Atp6v0a4	chr6	TRUE	FALSE
Atp6v1b1	chr6	TRUE	FALSE
Atp6v1c2	chr12	FALSE	FALSE
Atp6v1e2	chr17	FALSE	FALSE
Atp6v1g3	chr1	TRUE	FALSE
Atp7b	chr8	FALSE	TRUE
Atp8b1	chr18	TRUE	FALSE
Atp8b3	chr10	FALSE	TRUE
Atp8b4	chr2	FALSE	FALSE
Atpsckmt	chr15	TRUE	FALSE
Atrnl1	chr19	FALSE	FALSE
Atxn7l3b	chr10	FALSE	FALSE
Avp	chr2	TRUE	FALSE
Avpr1a	chr10	TRUE	FALSE
AW551984	chr9	FALSE	FALSE
Axin2	chr11	FALSE	TRUE
Azi2	chr9	TRUE	TRUE
B3galt5	chr16	FALSE	FALSE
B3gat1	chr9	TRUE	FALSE
B3gnt2	chr11	TRUE	FALSE
B3gnt3	chr8	FALSE	FALSE
B3gnt5	chr16	TRUE	FALSE
B3gnt6	chr7	FALSE	FALSE
B4galnt2	chr11	FALSE	FALSE
B4galnt3	chr6	FALSE	FALSE
B4galt1	chr4	FALSE	TRUE
Bace2	chr16	FALSE	FALSE
Bach1	chr16	FALSE	TRUE
Bach2	chr4	FALSE	TRUE
Bag3	chr7	TRUE	TRUE
Bahd1	chr2	FALSE	TRUE
Baiap2l2	chr15	FALSE	FALSE
Baiap3	chr17	TRUE	TRUE
Bambi	chr18	FALSE	TRUE
Banp	chr8	FALSE	TRUE
Bard1	chr1	FALSE	FALSE
Barhl1	chr2	TRUE	FALSE
Barhl2	chr5	TRUE	TRUE
Barx1	chr13	FALSE	FALSE
Barx2	chr9	FALSE	FALSE
Basp1	chr15	FALSE	TRUE
Batf	chr12	TRUE	TRUE
Batf3	chr1	TRUE	FALSE
Bbox1	chr2	FALSE	TRUE
Bbs10	chr10	TRUE	TRUE
Bbs9	chr9	FALSE	TRUE
Bbx	chr16	FALSE	TRUE
BC016579	chr16	FALSE	TRUE
BC030500	chr8	FALSE	TRUE
BC034090	chr1	FALSE	TRUE
BC051665	chr13	FALSE	FALSE
BC107364	chr3	FALSE	FALSE
Bcam	chr7	FALSE	FALSE
Bcan	chr3	TRUE	FALSE
Bcar3	chr3	FALSE	TRUE
Bcas1	chr2	TRUE	TRUE
Bcat1	chr6	FALSE	FALSE
Bckdhb	chr9	FALSE	TRUE
Bcl10	chr3	TRUE	FALSE
Bcl11a	chr11	TRUE	TRUE
Bcl11b	chr12	TRUE	FALSE
Bcl2l11	chr2	TRUE	TRUE
Bcl2l14	chr6	FALSE	FALSE
Bcl3	chr7	TRUE	TRUE
Bcor	chrX	FALSE	FALSE
Bdkrb2	chr12	FALSE	FALSE
Bdnf	chr2	TRUE	TRUE
Bean1	chr8	FALSE	FALSE
Begain	chr12	TRUE	FALSE
Bend4	chr5	FALSE	FALSE
Bend5	chr4	FALSE	FALSE
Bend7	chr2	FALSE	FALSE
Best2	chr8	TRUE	TRUE
Best3	chr10	FALSE	TRUE
Bfsp1	chr2	FALSE	TRUE
Bfsp2	chr9	TRUE	TRUE
Bhlhe22	chr3	TRUE	FALSE
Bhlhe23	chr2	TRUE	FALSE
Bicc1	chr10	FALSE	FALSE
Bicdl2	chr17	FALSE	FALSE
Bik	chr15	FALSE	FALSE
Bin3	chr14	FALSE	FALSE
Blk	chr14	FALSE	TRUE
Blnk	chr19	FALSE	FALSE
Bmp10	chr6	FALSE	FALSE
Bmp2	chr2	TRUE	FALSE
Bmp2k	chr5	FALSE	FALSE
Bmp3	chr5	FALSE	FALSE
Bmp4	chr14	TRUE	FALSE
Bmp6	chr13	TRUE	FALSE
Bmp7	chr2	TRUE	FALSE
Bmp8a	chr4	FALSE	FALSE
Bmp8b	chr4	FALSE	FALSE
Bmper	chr9	FALSE	FALSE
Bmpr1b	chr3	TRUE	FALSE
Bms1	chr6	FALSE	FALSE
Bnc1	chr7	FALSE	TRUE
Bnc2	chr4	FALSE	FALSE
Bnip2	chr9	TRUE	TRUE
Bnip5	chr17	FALSE	TRUE
Bok	chr1	TRUE	FALSE
Brca1	chr11	FALSE	TRUE
Brd7	chr8	FALSE	TRUE
Brinp2	chr1	TRUE	TRUE
Bsnd	chr4	TRUE	FALSE
Bsx	chr9	TRUE	TRUE
Btbd1	chr7	TRUE	FALSE
Btbd3	chr2	TRUE	TRUE
Btbd9	chr17	TRUE	FALSE
Btc	chr5	FALSE	FALSE
Btg4	chr9	FALSE	TRUE
Btnl9	chr11	FALSE	FALSE
Btrc	chr19	FALSE	FALSE
Bub3	chr7	FALSE	TRUE
Bves	chr10	FALSE	FALSE
C130074G19Rik	chr1	FALSE	FALSE
C1d	chr11	FALSE	TRUE
C1qa	chr4	TRUE	FALSE
C1qb	chr4	TRUE	FALSE
C1ql1	chr11	TRUE	TRUE
C1ql2	chr1	TRUE	FALSE
C1ql3	chr2	TRUE	FALSE
C1ql4	chr15	FALSE	TRUE
C1qtnf1	chr11	FALSE	TRUE
C1qtnf3	chr15	FALSE	FALSE
C1qtnf7	chr5	FALSE	FALSE
C8a	chr4	FALSE	TRUE
C8b	chr4	FALSE	TRUE
C9orf72	chr4	TRUE	TRUE
Cabp7	chr11	FALSE	FALSE
Cachd1	chr4	FALSE	FALSE
Cacna1h	chr17	TRUE	FALSE
Cacna1s	chr1	TRUE	TRUE
Cacna2d2	chr9	TRUE	FALSE
Cacna2d3	chr14	TRUE	TRUE
Cacnb2	chr2	TRUE	TRUE
Cacng3	chr7	TRUE	FALSE
Cacng4	chr11	TRUE	FALSE
Cacul1	chr19	FALSE	FALSE
Cadm1	chr9	TRUE	TRUE
Cadps	chr14	TRUE	TRUE
Cage1	chr13	FALSE	TRUE
Calb1	chr4	TRUE	TRUE
Calca	chr7	TRUE	FALSE
Calcb	chr7	FALSE	FALSE
Calcoco1	chr15	FALSE	FALSE
Calcr	chr6	FALSE	FALSE
Calcrl	chr2	FALSE	FALSE
Cald1	chr6	FALSE	TRUE
Camk1g	chr1	FALSE	TRUE
Camk2a	chr18	TRUE	FALSE
Camta1	chr4	TRUE	TRUE
Capn2	chr1	TRUE	TRUE
Capn8	chr1	FALSE	FALSE
Capns2	chr8	FALSE	FALSE
Car12	chr9	FALSE	TRUE
Car13	chr3	FALSE	FALSE
Car14	chr3	FALSE	TRUE
Car2	chr3	TRUE	FALSE
Car3	chr3	FALSE	TRUE
Car8	chr4	FALSE	FALSE
Card10	chr15	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Carhsp1	chr16	FALSE	FALSE
Carlr	chr2	FALSE	FALSE
Cartpt	chr13	TRUE	FALSE
Casd1	chr6	FALSE	FALSE
Casp7	chr19	TRUE	FALSE
Casq2	chr3	FALSE	TRUE
Casr	chr16	TRUE	FALSE
Cast	chr13	FALSE	FALSE
Castor1	chr11	FALSE	FALSE
Casz1	chr4	TRUE	FALSE
Cav1	chr6	TRUE	FALSE
Cav2	chr6	TRUE	TRUE
Cavin1	chr11	FALSE	FALSE
Cavin2	chr1	FALSE	TRUE
Cavin4	chr4	FALSE	TRUE
Cbfb	chr8	FALSE	TRUE
Cblc	chr7	TRUE	TRUE
Cbln2	chr18	TRUE	FALSE
Cbln4	chr2	TRUE	FALSE
Cbr2	chr11	FALSE	TRUE
Cbr3	chr16	TRUE	FALSE
Cbs	chr17	TRUE	FALSE
Cbx4	chr11	FALSE	TRUE
Cbx8	chr11	FALSE	TRUE
Cby2	chr14	FALSE	FALSE
Ccbe1	chr18	FALSE	FALSE
Ccdc102a	chr8	FALSE	FALSE
Ccdc125	chr13	FALSE	TRUE
Ccdc141	chr2	TRUE	FALSE
Ccdc146	chr5	FALSE	FALSE
Ccdc158	chr5	FALSE	FALSE
Ccdc162	chr10	FALSE	TRUE
Ccdc171	chr4	FALSE	TRUE
Ccdc174	chr6	FALSE	FALSE
Ccdc182	chr11	FALSE	FALSE
Ccdc185	chr1	FALSE	FALSE
Ccdc186	chr19	FALSE	TRUE
Ccdc190	chr1	FALSE	TRUE
Ccdc194	chr8	FALSE	FALSE
Ccdc27	chr4	FALSE	FALSE
Ccdc3	chr2	FALSE	TRUE
Ccdc32	chr2	FALSE	TRUE
Ccdc33	chr9	FALSE	TRUE
Ccdc54	chr16	FALSE	FALSE
Ccdc6	chr10	FALSE	TRUE
Ccdc60	chr5	FALSE	TRUE
Ccdc68	chr18	FALSE	TRUE
Ccdc8	chr7	FALSE	TRUE
Ccdc85a	chr11	FALSE	FALSE
Ccdc88a	chr11	TRUE	FALSE
Ccdc88c	chr12	FALSE	TRUE
Ccdc93	chr1	FALSE	TRUE
Ccer1	chr10	FALSE	TRUE
Cck	chr9	TRUE	FALSE
Cckbr	chr7	TRUE	FALSE
Ccn1	chr3	FALSE	FALSE
Ccn2	chr10	FALSE	FALSE
Ccn3	chr15	TRUE	FALSE
Ccn4	chr15	FALSE	FALSE
Ccn6	chr10	FALSE	TRUE
Ccna1	chr3	FALSE	FALSE
Ccnd1	chr7	TRUE	TRUE
Ccnd2	chr6	TRUE	FALSE
Ccnd3	chr17	FALSE	TRUE
Ccnh	chr13	FALSE	TRUE
Ccnj	chr19	FALSE	TRUE
Ccnl1	chr3	FALSE	TRUE
Ccno	chr13	FALSE	FALSE
Ccr4	chr9	TRUE	FALSE
Ccr7	chr11	TRUE	FALSE
Ccr9	chr9	FALSE	FALSE
Ccser2	chr14	FALSE	TRUE
Cd109	chr9	FALSE	FALSE
Cd14	chr18	FALSE	TRUE
Cd180	chr13	FALSE	TRUE
Cd19	chr7	FALSE	TRUE
Cd1d1	chr3	FALSE	TRUE
Cd2	chr3	FALSE	TRUE
Cd207	chr6	FALSE	FALSE
Cd247	chr1	FALSE	FALSE
Cd248	chr19	FALSE	TRUE
Cd24a	chr10	TRUE	FALSE
Cd302	chr2	FALSE	FALSE
Cd34	chr1	FALSE	TRUE
Cd37	chr7	TRUE	TRUE
Cd3d	chr9	FALSE	TRUE
Cd3e	chr9	TRUE	TRUE
Cd40	chr2	FALSE	TRUE
Cd44	chr2	TRUE	FALSE
Cd47	chr16	TRUE	TRUE
Cd55	chr1	FALSE	FALSE
Cd55b	chr1	FALSE	FALSE
Cd63	chr10	FALSE	TRUE
Cd72	chr4	FALSE	TRUE
Cd80	chr16	FALSE	TRUE
Cd82	chr2	FALSE	TRUE
Cd9	chr6	TRUE	FALSE
Cd93	chr2	FALSE	FALSE
Cdc14b	chr13	FALSE	FALSE
Cdc20	chr4	TRUE	TRUE
Cdc42ep1	chr15	FALSE	FALSE
Cdc42ep4	chr11	FALSE	FALSE
Cdc5l	chr17	FALSE	FALSE
Cdc7	chr5	FALSE	TRUE
Cdc73	chr1	FALSE	TRUE
Cdca2	chr14	FALSE	FALSE
Cdca7	chr2	FALSE	FALSE
Cdca7l	chr12	FALSE	TRUE
Cdcp1	chr9	FALSE	FALSE
Cdh1	chr8	TRUE	FALSE
Cdh10	chr15	TRUE	TRUE
Cdh11	chr8	TRUE	FALSE
Cdh12	chr15	FALSE	FALSE
Cdh13	chr8	FALSE	FALSE
Cdh17	chr4	FALSE	FALSE
Cdh18	chr15	FALSE	TRUE
Cdh20	chr1	FALSE	TRUE
Cdh23	chr10	TRUE	FALSE
Cdh26	chr2	FALSE	TRUE
Cdh3	chr8	FALSE	FALSE
Cdh4	chr2	TRUE	FALSE
Cdh5	chr8	FALSE	TRUE
Cdh6	chr15	TRUE	FALSE
Cdh9	chr15	TRUE	FALSE
Cdhr1	chr14	TRUE	TRUE
Cdhr3	chr12	FALSE	TRUE
Cdk14	chr5	FALSE	FALSE
Cdk5rap2	chr4	TRUE	TRUE
Cdk6	chr5	TRUE	FALSE
Cdkn1c	chr7	TRUE	FALSE
Cdkn2a	chr4	FALSE	FALSE
Cdkn2aip	chr8	FALSE	TRUE
Cdkn2b	chr4	TRUE	FALSE
Cdkn2c	chr4	TRUE	TRUE
Cdon	chr9	TRUE	TRUE
Cdrt4	chr11	FALSE	FALSE
Cdx1	chr18	FALSE	FALSE
Cdx2	chr5	FALSE	FALSE
Cdx4	chrX	FALSE	FALSE
Ceacam9	chr7	FALSE	FALSE
Cebpa	chr7	FALSE	FALSE
Cebpd	chr16	FALSE	FALSE
Cela1	chr15	FALSE	FALSE
Celf2	chr2	FALSE	TRUE
Celf4	chr18	TRUE	TRUE
Celsr1	chr15	TRUE	TRUE
Cenpf	chr1	TRUE	TRUE
Cep162	chr9	FALSE	TRUE
Cep295	chr9	FALSE	FALSE
Cep41	chr6	FALSE	FALSE
Cer1	chr4	TRUE	TRUE
Ces1c	chr8	FALSE	FALSE
Ces2e	chr8	FALSE	FALSE
Ces5a	chr8	FALSE	TRUE
Cetn3	chr13	FALSE	TRUE
Cfap206	chr4	TRUE	FALSE
Cfap221	chr1	TRUE	TRUE
Cfap299	chr5	FALSE	TRUE
Cfap45	chr1	TRUE	TRUE
Cfap58	chr19	TRUE	TRUE
Cfap61	chr2	FALSE	FALSE
Cfap65	chr1	TRUE	FALSE
Cfap77	chr2	FALSE	TRUE
Cfb	chr17	FALSE	FALSE
Cfc1	chr1	FALSE	TRUE
Cftr	chr6	FALSE	TRUE
Cga	chr4	FALSE	TRUE
Cgas	chr9	FALSE	TRUE
