gene_name	chr	is_synapse_and_mecp2_up	k27me3_remodeled
Sh3pxd2a	chr19	FALSE	FALSE
Nbea	chr3	TRUE	TRUE
Hcn1	chr13	TRUE	TRUE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	FALSE
Ptprk	chr10	FALSE	FALSE
Focad	chr4	FALSE	TRUE
Slc24a3	chr2	FALSE	TRUE
Sema5b	chr16	FALSE	FALSE
Dapk1	chr13	FALSE	TRUE
Adamts14	chr10	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	TRUE
Gnaq	chr19	FALSE	FALSE
Adgrb3	chr1	TRUE	FALSE
Fam83g	chr11	FALSE	FALSE
Tbc1d30	chr10	FALSE	TRUE
Col5a1	chr2	FALSE	FALSE
Trio	chr15	FALSE	FALSE
Rbfox1	chr16	FALSE	FALSE
Trp73	chr4	FALSE	TRUE
Kcnn3	chr3	FALSE	FALSE
Dnah11	chr12	FALSE	TRUE
Tbc1d1	chr5	FALSE	TRUE
Btbd9	chr17	FALSE	TRUE
Syt6	chr3	FALSE	TRUE
Lrfn2	chr17	FALSE	FALSE
Syt1	chr10	FALSE	TRUE
Nek7	chr1	FALSE	TRUE
Sema3a	chr5	TRUE	TRUE
Dkk3	chr7	FALSE	FALSE
Zfp423	chr8	FALSE	FALSE
Robo2	chr16	FALSE	TRUE
Nr6a1	chr2	FALSE	FALSE
Cfap61	chr2	FALSE	FALSE
Sh3gl3	chr7	FALSE	TRUE
Hspg2	chr4	FALSE	FALSE
Cenpf	chr1	FALSE	TRUE
Dysf	chr6	FALSE	TRUE
Lrrn1	chr6	FALSE	TRUE
Ldlrad3	chr2	FALSE	TRUE
Ppl	chr16	FALSE	FALSE
Rgl1	chr1	FALSE	TRUE
Aff3	chr1	FALSE	FALSE
Tcf20	chr15	FALSE	FALSE
Hlf	chr11	FALSE	TRUE
Cdh4	chr2	FALSE	TRUE
Nrp2	chr1	FALSE	FALSE
Nfasc	chr1	FALSE	TRUE
Prdm5	chr6	FALSE	TRUE
Rapgef2	chr3	FALSE	TRUE
Togaram2	chr17	FALSE	FALSE
Fsip1	chr2	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Gm1043	chr5	FALSE	FALSE
Cux1	chr5	FALSE	FALSE
Marchf4	chr1	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Prickle1	chr15	FALSE	TRUE
Fmn1	chr2	FALSE	FALSE
Erc2	chr14	FALSE	FALSE
Gphn	chr12	FALSE	TRUE
Nav1	chr1	FALSE	TRUE
Myt1l	chr12	FALSE	TRUE
B3gnt2	chr11	FALSE	FALSE
Megf6	chr4	FALSE	FALSE
Enah	chr1	FALSE	FALSE
Cntnap5a	chr1	FALSE	TRUE
Cntn4	chr6	FALSE	TRUE
Smad6	chr9	FALSE	FALSE
Tbxas1	chr6	FALSE	FALSE
Tmem132c	chr5	FALSE	TRUE
Myo5b	chr18	FALSE	FALSE
Fam120b	chr17	FALSE	FALSE
Zcchc7	chr4	FALSE	FALSE
Cdh20	chr1	FALSE	TRUE
Fbln2	chr6	FALSE	FALSE
Arap2	chr5	FALSE	TRUE
Ptgs1	chr2	FALSE	FALSE
Pax5	chr4	FALSE	TRUE
Kcnab1	chr3	FALSE	TRUE
Cdc73	chr1	FALSE	FALSE
Pnpla7	chr2	FALSE	TRUE
Chchd3	chr6	FALSE	FALSE
Slc1a7	chr4	FALSE	TRUE
Zswim6	chr13	FALSE	TRUE
Msrb3	chr10	FALSE	TRUE
Rapgef1	chr2	FALSE	FALSE
Ctnnbl1	chr2	FALSE	FALSE
Osbpl5	chr7	FALSE	TRUE
Dhx35	chr2	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Hs6st3	chr14	FALSE	TRUE
Nr3c2	chr8	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Ntrk2	chr13	FALSE	TRUE
Mms22l	chr4	FALSE	TRUE
Pde11a	chr2	FALSE	FALSE
Mtss1	chr15	FALSE	TRUE
Smad3	chr9	FALSE	FALSE
Hdgfl3	chr7	FALSE	TRUE
Fbrsl1	chr5	FALSE	FALSE
Prdm16	chr4	FALSE	TRUE
Fryl	chr5	FALSE	TRUE
Triqk	chr4	FALSE	TRUE
Slc24a2	chr4	FALSE	FALSE
Adarb2	chr13	FALSE	FALSE
Ap3b1	chr13	FALSE	TRUE
Iqgap2	chr13	FALSE	TRUE
Nr3c1	chr18	FALSE	FALSE
Epyc	chr10	FALSE	TRUE
Shisal1	chr15	FALSE	TRUE
Gas2	chr7	FALSE	FALSE
Zfp462	chr4	FALSE	FALSE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	TRUE
Tmeff2	chr1	FALSE	TRUE
Slc24a4	chr12	FALSE	TRUE
Lrig2	chr3	FALSE	FALSE
Atrnl1	chr19	FALSE	FALSE
Sdk2	chr11	FALSE	TRUE
Zfp704	chr3	FALSE	FALSE
Mdga1	chr17	FALSE	FALSE
Ttc39b	chr4	FALSE	TRUE
Zfp516	chr18	FALSE	TRUE
Siah3	chr14	FALSE	FALSE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	FALSE
Mpped2	chr2	FALSE	TRUE
Ston2	chr12	FALSE	FALSE
Lrrk1	chr7	FALSE	FALSE
Ndrg1	chr15	FALSE	FALSE
Dennd1b	chr1	FALSE	TRUE
Eml4	chr17	FALSE	FALSE
Barx2	chr9	FALSE	FALSE
Efcab6	chr15	FALSE	FALSE
Rgs3	chr4	FALSE	FALSE
Col19a1	chr1	FALSE	TRUE
Prex1	chr2	FALSE	FALSE
Pcsk6	chr7	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Zbtb7c	chr18	FALSE	TRUE
Npsr1	chr9	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Cnih3	chr1	FALSE	FALSE
Adgrb1	chr15	FALSE	TRUE
Zfp800	chr6	FALSE	FALSE
Zfpm1	chr8	FALSE	FALSE
Arhgef4	chr1	FALSE	FALSE
Dclk1	chr3	FALSE	TRUE
Lmx1b	chr2	FALSE	FALSE
Dbn1	chr13	FALSE	TRUE
Tshz1	chr18	FALSE	TRUE
Rad51b	chr12	FALSE	TRUE
Pdia5	chr16	FALSE	TRUE
Pde4d	chr13	FALSE	TRUE
Nrxn3	chr12	FALSE	FALSE
Plekhd1	chr12	FALSE	FALSE
Kctd12	chr14	FALSE	TRUE
Kalrn	chr16	FALSE	TRUE
Pax3	chr1	FALSE	FALSE
Arhgef3	chr14	FALSE	FALSE
Epas1	chr17	FALSE	FALSE
Inf2	chr12	FALSE	TRUE
Trim71	chr9	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Scn1a	chr2	FALSE	TRUE
Slc22a23	chr13	FALSE	TRUE
Pknox2	chr9	FALSE	FALSE
Cav2	chr6	FALSE	TRUE
Kcna2	chr3	FALSE	TRUE
Hibadh	chr6	FALSE	TRUE
Foxo6	chr4	FALSE	FALSE
Dock5	chr14	FALSE	TRUE
Rbms3	chr9	FALSE	TRUE
Sipa1l1	chr12	FALSE	FALSE
Pbx1	chr1	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Hpse2	chr19	FALSE	FALSE
Sec16b	chr1	FALSE	FALSE
Rims1	chr1	FALSE	FALSE
Slc9a9	chr9	FALSE	TRUE
Osbpl1a	chr18	FALSE	TRUE
Atg4c	chr4	FALSE	FALSE
Ptgis	chr2	FALSE	FALSE
Sv2c	chr13	FALSE	TRUE
Kif16b	chr2	FALSE	TRUE
Cbs	chr17	FALSE	FALSE
Gabra2	chr5	FALSE	FALSE
Rin2	chr2	FALSE	FALSE
Tbca	chr13	FALSE	TRUE
Tle1	chr4	FALSE	TRUE
Ccdc60	chr5	FALSE	FALSE
Igsf3	chr3	FALSE	TRUE
Ccdc88a	chr11	FALSE	FALSE
Nos2	chr11	FALSE	FALSE
Cdh10	chr15	FALSE	TRUE
Frmd6	chr12	FALSE	TRUE
Adgrl2	chr3	FALSE	FALSE
Zeb2	chr2	FALSE	FALSE
B3galt5	chr16	FALSE	TRUE
Fbxl7	chr15	FALSE	FALSE
Chd6	chr2	FALSE	FALSE
Eya1	chr1	FALSE	FALSE
Bnc2	chr4	FALSE	FALSE
Edn2	chr4	FALSE	FALSE
Dusp22	chr13	FALSE	FALSE
Mcc	chr18	FALSE	FALSE
Esr1	chr10	FALSE	FALSE
Nphp4	chr4	FALSE	FALSE
Cd47	chr16	FALSE	TRUE
Brinp2	chr1	FALSE	TRUE
Islr2	chr9	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Vrk1	chr12	FALSE	FALSE
Crim1	chr17	FALSE	TRUE
Shb	chr4	FALSE	TRUE
Mrc2	chr11	FALSE	FALSE
Ralgps2	chr1	FALSE	FALSE
Marchf10	chr11	FALSE	FALSE
Fgf5	chr5	FALSE	FALSE
D7Ertd443e	chr7	FALSE	FALSE
Hcn4	chr9	FALSE	FALSE
Spata13	chr14	FALSE	TRUE
Slit2	chr5	FALSE	FALSE
Ulk4	chr9	FALSE	TRUE
Nckap5	chr1	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Nars2	chr7	FALSE	TRUE
Dnah8	chr17	FALSE	FALSE
Ndufs4	chr13	FALSE	FALSE
Dlg2	chr7	FALSE	FALSE
Filip1l	chr16	FALSE	FALSE
Eva1c	chr16	FALSE	FALSE
Casz1	chr4	FALSE	TRUE
Vwc2l	chr1	FALSE	FALSE
Chn1	chr2	FALSE	TRUE
Hlcs	chr16	FALSE	TRUE
Elavl2	chr4	FALSE	FALSE
Chrdl2	chr7	FALSE	FALSE
Phactr1	chr13	FALSE	TRUE
Egfr	chr11	FALSE	FALSE
Rfx3	chr19	FALSE	FALSE
Slc1a1	chr19	FALSE	FALSE
Epha4	chr1	FALSE	FALSE
Dscam	chr16	FALSE	TRUE
Megf10	chr18	FALSE	FALSE
Septin9	chr11	FALSE	FALSE
Edar	chr10	FALSE	FALSE
Wnt4	chr4	FALSE	FALSE
Lurap1l	chr4	FALSE	TRUE
St6gal1	chr16	FALSE	TRUE
CK137956	chr4	FALSE	TRUE
Fgd5	chr6	FALSE	TRUE
Lrrfip1	chr1	FALSE	TRUE
Itga6	chr2	FALSE	FALSE
Adcy7	chr8	FALSE	TRUE
Podn	chr4	FALSE	TRUE
Adamts12	chr15	FALSE	TRUE
Plcl1	chr1	FALSE	FALSE
Daam1	chr12	FALSE	FALSE
Arhgef17	chr7	FALSE	FALSE
Calcoco1	chr15	FALSE	FALSE
Upp1	chr11	FALSE	FALSE
Egfem1	chr3	FALSE	TRUE
Nwd2	chr5	FALSE	TRUE
Myo1e	chr9	FALSE	TRUE
Rps6kc1	chr1	FALSE	TRUE
Klf7	chr1	FALSE	TRUE
Slc9a2	chr1	FALSE	TRUE
Vash2	chr1	FALSE	TRUE
Slc22a14	chr9	FALSE	FALSE
Antxr2	chr5	FALSE	FALSE
Susd4	chr1	FALSE	TRUE
Il17rd	chr14	FALSE	FALSE
Arid1b	chr17	FALSE	TRUE
Lrrc1	chr9	FALSE	FALSE
Meis1	chr11	FALSE	TRUE
Setbp1	chr18	FALSE	FALSE
Rnf220	chr4	FALSE	FALSE
Robo1	chr16	FALSE	FALSE
Ate1	chr7	FALSE	FALSE
Spsb1	chr4	FALSE	FALSE
Qsox1	chr1	FALSE	TRUE
Cradd	chr10	FALSE	TRUE
Cyth4	chr15	FALSE	FALSE
Sorcs2	chr5	FALSE	FALSE
Tmcc3	chr10	FALSE	FALSE
Lonrf2	chr1	FALSE	FALSE
Gabrg1	chr5	FALSE	FALSE
Pawr	chr10	FALSE	FALSE
Zfhx4	chr3	FALSE	TRUE
Scg2	chr1	FALSE	TRUE
Scube1	chr15	FALSE	FALSE
Fam222a	chr5	FALSE	FALSE
Rerg	chr6	FALSE	FALSE
Ttll7	chr3	FALSE	FALSE
Adamts17	chr7	FALSE	FALSE
Upp2	chr2	FALSE	TRUE
Disp3	chr4	FALSE	FALSE
Jhy	chr9	FALSE	FALSE
Zic3	chrX	FALSE	TRUE
Thsd7b	chr1	FALSE	TRUE
Kcnb1	chr2	FALSE	TRUE
Ptk2b	chr14	FALSE	FALSE
Rab3b	chr4	FALSE	FALSE
Insc	chr7	FALSE	TRUE
Rgs12	chr5	FALSE	FALSE
Nr4a2	chr2	FALSE	FALSE
Cdh12	chr15	FALSE	FALSE
Macroh2a1	chr13	FALSE	TRUE
Camk2a	chr18	FALSE	FALSE
Dcp1b	chr6	FALSE	TRUE
Macrod2	chr2	FALSE	TRUE
C1qtnf1	chr11	FALSE	TRUE
Bfsp2	chr9	FALSE	TRUE
Rybp	chr6	FALSE	FALSE
Cdh13	chr8	FALSE	FALSE
Ptpru	chr4	FALSE	FALSE
Grip2	chr6	TRUE	TRUE
Igf2bp3	chr6	FALSE	FALSE
Antxr1	chr6	FALSE	FALSE
Cadm1	chr9	FALSE	TRUE
Slc1a3	chr15	FALSE	TRUE
Ovol2	chr2	FALSE	FALSE
Nxpe4	chr9	FALSE	TRUE
Loxhd1	chr18	FALSE	FALSE
Itga5	chr15	FALSE	FALSE
Tet2	chr3	FALSE	FALSE
Ttc23	chr7	FALSE	FALSE
Icos	chr1	FALSE	TRUE
Lmntd1	chr6	FALSE	TRUE
Lpin1	chr12	FALSE	FALSE
Pax8	chr2	FALSE	FALSE
Usp18	chr6	FALSE	TRUE
Ccdc88c	chr12	FALSE	TRUE
Prkg1	chr19	FALSE	TRUE
Lhx3	chr2	FALSE	FALSE
Myh13	chr11	FALSE	TRUE
App	chr16	FALSE	TRUE
Il20rb	chr9	FALSE	TRUE
Wwc2	chr8	FALSE	FALSE
Bmp6	chr13	FALSE	FALSE
Fam169a	chr13	FALSE	FALSE
Src	chr2	FALSE	FALSE
Bmpr1b	chr3	FALSE	FALSE
Glp1r	chr17	FALSE	FALSE
Pde8a	chr7	FALSE	FALSE
Pou2f1	chr1	FALSE	FALSE
Shroom3	chr5	FALSE	TRUE
Schip1	chr3	FALSE	TRUE
Bnip5	chr17	FALSE	FALSE
Ppp2r5c	chr12	FALSE	FALSE
Bnc1	chr7	FALSE	FALSE
Eda	chrX	FALSE	FALSE
Kcnk13	chr12	FALSE	FALSE
Tbc1d19	chr5	FALSE	TRUE
Mcph1	chr8	FALSE	TRUE
Gsap	chr5	FALSE	TRUE
Paqr5	chr9	FALSE	FALSE
Cachd1	chr4	FALSE	TRUE
F13a1	chr13	FALSE	TRUE
Slc39a10	chr1	FALSE	TRUE
Clmn	chr12	FALSE	TRUE
Ankrd44	chr1	FALSE	TRUE
Gsn	chr2	FALSE	FALSE
Srbd1	chr17	FALSE	TRUE
Ikzf2	chr1	FALSE	TRUE
Klf12	chr14	FALSE	FALSE
Ccdc146	chr5	FALSE	FALSE
Vdr	chr15	FALSE	FALSE
Mdga2	chr12	FALSE	TRUE
Fbxw4	chr19	FALSE	FALSE
Klf3	chr5	FALSE	FALSE
Trub1	chr19	FALSE	FALSE
Ism1	chr2	FALSE	FALSE
Kiz	chr2	FALSE	FALSE
Adgrv1	chr13	FALSE	TRUE
Myo1b	chr1	FALSE	TRUE
Scarb1	chr5	FALSE	FALSE
Mctp2	chr7	TRUE	FALSE
Irx5	chr8	FALSE	FALSE
Exoc2	chr13	FALSE	TRUE
Papola	chr12	FALSE	TRUE
Lgr6	chr1	FALSE	FALSE
Cfap77	chr2	FALSE	FALSE
4930523C07Rik	chr1	FALSE	FALSE
Ccn4	chr15	FALSE	TRUE
Pepd	chr7	FALSE	FALSE
Prep	chr10	FALSE	FALSE
Il4ra	chr7	FALSE	FALSE
Cfap221	chr1	FALSE	TRUE
Pde1a	chr2	FALSE	FALSE
Chdh	chr14	FALSE	FALSE
Esrrb	chr12	FALSE	FALSE
Prr5	chr15	FALSE	FALSE
Vit	chr17	FALSE	FALSE
Fam78b	chr1	FALSE	TRUE
Atp2b4	chr1	FALSE	TRUE
Acvr2a	chr2	FALSE	FALSE
Tnfrsf19	chr14	FALSE	FALSE
Xpr1	chr1	FALSE	FALSE
Scn3a	chr2	FALSE	TRUE
Galnt3	chr2	FALSE	FALSE
Iqsec3	chr6	FALSE	TRUE
Bcat1	chr6	FALSE	FALSE
Arl4a	chr12	FALSE	TRUE
7530416G11Rik	chr15	FALSE	TRUE
Emid1	chr11	FALSE	FALSE
Dach1	chr14	FALSE	FALSE
Pcdh15	chr10	FALSE	FALSE
Sox6	chr7	FALSE	TRUE
Stim2	chr5	FALSE	FALSE
Rgs20	chr1	FALSE	TRUE
Bckdhb	chr9	FALSE	TRUE
Pde7b	chr10	FALSE	TRUE
Vangl1	chr3	FALSE	FALSE
Pld1	chr3	FALSE	FALSE
Cobll1	chr2	FALSE	FALSE
Ret	chr6	FALSE	TRUE
Lmo1	chr7	FALSE	TRUE
Cacnb2	chr2	FALSE	FALSE
Ttc29	chr8	FALSE	FALSE
Aktip	chr8	FALSE	FALSE
Egflam	chr15	FALSE	FALSE
Trim36	chr18	FALSE	TRUE
Scin	chr12	FALSE	FALSE
Sorl1	chr9	FALSE	FALSE
Ninj2	chr6	FALSE	FALSE
Tenm3	chr8	FALSE	TRUE
Diaph3	chr14	FALSE	TRUE
Colgalt2	chr1	FALSE	FALSE
Sntg1	chr1	FALSE	TRUE
Tenm4	chr7	FALSE	FALSE
Kcnma1	chr14	FALSE	TRUE
Lnpk	chr2	FALSE	TRUE
Rgma	chr7	FALSE	TRUE
Vstm2l	chr2	FALSE	FALSE
Vps13a	chr19	FALSE	TRUE
Th	chr7	FALSE	TRUE
Mlip	chr9	FALSE	TRUE
Rhbdl3	chr11	FALSE	TRUE
Abca13	chr11	FALSE	TRUE
Tmtc1	chr6	FALSE	TRUE
Ano5	chr7	FALSE	TRUE
Pla2g5	chr4	FALSE	FALSE
Sema3f	chr9	FALSE	FALSE
Slco2a1	chr9	FALSE	FALSE
Medag	chr5	FALSE	TRUE
Dock10	chr1	FALSE	FALSE
Kank1	chr19	FALSE	FALSE
Myo16	chr8	FALSE	FALSE
Zfp385c	chr11	FALSE	FALSE
Kcnh8	chr17	FALSE	FALSE
Notch1	chr2	FALSE	FALSE
Greb1l	chr18	FALSE	TRUE
Thbs2	chr17	TRUE	FALSE
Cftr	chr6	FALSE	FALSE
Mlph	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	TRUE
Atf3	chr1	FALSE	FALSE
Srgap1	chr10	FALSE	TRUE
Clic6	chr16	FALSE	FALSE
Ptprc	chr1	FALSE	FALSE
Nfam1	chr15	FALSE	TRUE
Hmga2	chr10	FALSE	FALSE
Bmp2k	chr5	FALSE	FALSE
Pyroxd2	chr19	FALSE	FALSE
Dock4	chr12	FALSE	TRUE
Ino80d	chr1	FALSE	FALSE
Clip4	chr17	FALSE	FALSE
Slc29a3	chr10	FALSE	FALSE
Epb41l2	chr10	FALSE	FALSE
Kifc3	chr8	FALSE	TRUE
Spag6	chr2	FALSE	FALSE
Stox2	chr8	FALSE	FALSE
Nedd9	chr13	FALSE	FALSE
Rbm19	chr5	FALSE	FALSE
Lifr	chr15	FALSE	FALSE
Tll2	chr19	FALSE	FALSE
Hhip	chr8	FALSE	FALSE
Lclat1	chr17	FALSE	FALSE
Dnah7a	chr1	FALSE	FALSE
Lrfn5	chr12	FALSE	TRUE
Lrrc55	chr2	FALSE	TRUE
Lmo3	chr6	FALSE	FALSE
Dpysl3	chr18	FALSE	FALSE
Adam28	chr14	FALSE	FALSE
Fut10	chr8	FALSE	TRUE
Pakap	chr4	FALSE	FALSE
Dicer1	chr12	FALSE	FALSE
Tnfsf11	chr14	FALSE	FALSE
Plekhg1	chr10	FALSE	FALSE
Stra6	chr9	FALSE	FALSE
Grap	chr11	FALSE	FALSE
Ptpn1	chr2	FALSE	FALSE
Chst3	chr10	FALSE	FALSE
Hydin	chr8	FALSE	TRUE
Cldn14	chr16	FALSE	TRUE
Pdgfra	chr5	FALSE	TRUE
L3mbtl3	chr10	FALSE	TRUE
Arhgef26	chr3	FALSE	TRUE
Arhgef19	chr4	FALSE	FALSE
Bdnf	chr2	FALSE	TRUE
Dnah9	chr11	FALSE	TRUE
Manea	chr4	FALSE	TRUE
Tshz3	chr7	FALSE	FALSE
Atp8b4	chr2	FALSE	FALSE
Glra1	chr11	FALSE	TRUE
Tnfaip8	chr18	FALSE	TRUE
Ap1s3	chr1	FALSE	TRUE
Rictor	chr15	FALSE	FALSE
Slc26a7	chr4	FALSE	FALSE
Ano4	chr10	FALSE	TRUE
Ccdc6	chr10	FALSE	FALSE
Rspo3	chr10	FALSE	TRUE
Wwc1	chr11	FALSE	TRUE
A930004D18Rik	chr2	FALSE	TRUE
Arhgap31	chr16	FALSE	TRUE
Pde4a	chr9	FALSE	FALSE
Gna14	chr19	FALSE	FALSE
Rfx2	chr17	FALSE	TRUE
Trps1	chr15	FALSE	TRUE
Ugt8a	chr3	FALSE	TRUE
Fkbp5	chr17	FALSE	FALSE
Scnn1a	chr6	FALSE	FALSE
Slc45a3	chr1	FALSE	FALSE
Apc	chr18	FALSE	FALSE
Phactr2	chr10	FALSE	TRUE
Snx2	chr18	FALSE	TRUE
Mvk	chr5	FALSE	FALSE
Ezr	chr17	FALSE	TRUE
Stpg2	chr3	FALSE	FALSE
Spink13	chr18	FALSE	TRUE
Pou2f3	chr9	FALSE	FALSE
Pard3b	chr1	FALSE	FALSE
Them7	chr2	FALSE	FALSE
Rbms1	chr2	FALSE	FALSE
Tfcp2l1	chr1	FALSE	FALSE
Dmbx1	chr4	FALSE	FALSE
Ror2	chr13	FALSE	FALSE
Atp7b	chr8	FALSE	TRUE
Cpm	chr10	FALSE	FALSE
Tnni1	chr1	FALSE	FALSE
Poc1b	chr10	FALSE	TRUE
Col11a1	chr3	FALSE	FALSE
Foxp4	chr17	FALSE	TRUE
Creb5	chr6	FALSE	TRUE
Mertk	chr2	FALSE	FALSE
Erbin	chr13	FALSE	FALSE
Intu	chr3	FALSE	FALSE
Clint1	chr11	FALSE	TRUE
Lama1	chr17	FALSE	FALSE
Hdac4	chr1	FALSE	FALSE
Iqsec1	chr6	FALSE	FALSE
Adra1d	chr2	FALSE	FALSE
Duoxa1	chr2	FALSE	FALSE
Ccdc171	chr4	FALSE	TRUE
Myof	chr19	FALSE	TRUE
Ndst4	chr3	FALSE	FALSE
Kctd16	chr18	TRUE	TRUE
Dok6	chr18	FALSE	TRUE
Gpc5	chr14	FALSE	TRUE
Plagl1	chr10	FALSE	FALSE
Cd82	chr2	FALSE	FALSE
Npas3	chr12	FALSE	FALSE
Rfx6	chr10	FALSE	FALSE
Htr1f	chr16	FALSE	FALSE
Lrmda	chr14	FALSE	TRUE
Batf	chr12	FALSE	FALSE
Ice1	chr13	FALSE	TRUE
Rin3	chr12	FALSE	TRUE
Stx18	chr5	FALSE	TRUE
Amer2	chr14	FALSE	FALSE
Ptgfrn	chr3	FALSE	TRUE
Zfp217	chr2	FALSE	FALSE
Nr1h4	chr10	FALSE	FALSE
Slc25a26	chr6	FALSE	TRUE
Abtb2	chr2	FALSE	TRUE
Cdh6	chr15	FALSE	FALSE
Lhfpl3	chr5	FALSE	TRUE
Ppp2r5a	chr1	FALSE	TRUE
Trim33	chr3	FALSE	TRUE
Col13a1	chr10	FALSE	FALSE
Sorbs2	chr8	FALSE	FALSE
Atp8b1	chr18	FALSE	FALSE
Gtf2f2	chr14	FALSE	FALSE
Saxo1	chr4	FALSE	FALSE
Pvalb	chr15	FALSE	FALSE
Col4a1	chr8	FALSE	FALSE
Ddit4l	chr3	FALSE	FALSE
Slc6a13	chr6	FALSE	TRUE
L3mbtl4	chr17	FALSE	FALSE
Nxph1	chr6	FALSE	FALSE
Mgat5b	chr11	FALSE	FALSE
Cacul1	chr19	FALSE	TRUE
Kcnq4	chr4	FALSE	FALSE
Atoh8	chr6	FALSE	TRUE
Srek1ip1	chr13	FALSE	TRUE
Ptpn3	chr4	FALSE	TRUE
Myo6	chr9	FALSE	FALSE
Dapk2	chr9	FALSE	FALSE
Csnk1g3	chr18	FALSE	FALSE
