gene_name	chr	is_neuronal	atac_predicted
2810004N23Rik	chr8	FALSE	TRUE
2810021J22Rik	chr11	FALSE	FALSE
2810459M11Rik	chr1	FALSE	FALSE
2900026A02Rik	chr5	FALSE	FALSE
3110009E18Rik	chr1	FALSE	TRUE
3110040N11Rik	chr7	FALSE	FALSE
3110082I17Rik	chr5	FALSE	FALSE
3110082J24Rik	chr5	FALSE	FALSE
3300002I08Rik	chr2	FALSE	FALSE
3425401B19Rik	chr14	FALSE	FALSE
4833420G17Rik	chr13	FALSE	FALSE
4833439L19Rik	chr13	FALSE	FALSE
4921504E06Rik	chr2	FALSE	FALSE
4921524J17Rik	chr8	FALSE	FALSE
4921536K21Rik	chr11	FALSE	FALSE
4930402F06Rik	chr2	FALSE	FALSE
4930402K13Rik	chrX	FALSE	FALSE
4930432M17Rik	chr3	FALSE	FALSE
4930444P10Rik	chr1	FALSE	FALSE
4930447A16Rik	chr15	FALSE	TRUE
4930447C04Rik	chr12	TRUE	FALSE
4930451I11Rik	chr7	FALSE	FALSE
4930453N24Rik	chr16	FALSE	FALSE
4930455H04Rik	chr3	FALSE	FALSE
4930469K13Rik	chr11	FALSE	FALSE
4930474N05Rik	chr14	FALSE	FALSE
4930480E11Rik	chrX	FALSE	TRUE
4930503E14Rik	chr14	FALSE	TRUE
4930503L19Rik	chr18	FALSE	FALSE
4930505A04Rik	chr11	FALSE	TRUE
4930519G04Rik	chr5	FALSE	FALSE
4930523C07Rik	chr1	FALSE	FALSE
4930524B15Rik	chr11	FALSE	FALSE
4930544G11Rik	chr6	FALSE	FALSE
4930550C14Rik	chr9	FALSE	FALSE
4930558K02Rik	chr1	FALSE	FALSE
4930562C15Rik	chr16	FALSE	FALSE
4930564D02Rik	chr3	FALSE	FALSE
4930578I06Rik	chr14	FALSE	TRUE
4930579F01Rik	chr3	FALSE	FALSE
4930583I09Rik	chr17	FALSE	TRUE
4930590J08Rik	chr6	FALSE	TRUE
4930595D18Rik	chr12	FALSE	TRUE
4930596D02Rik	chr14	FALSE	FALSE
4931406C07Rik	chr9	FALSE	FALSE
4931414P19Rik	chr14	FALSE	FALSE
4931422A03Rik	chr2	FALSE	FALSE
4931429L15Rik	chr9	FALSE	FALSE
4932414N04Rik	chr2	FALSE	FALSE
4933402D24Rik	chr1	FALSE	FALSE
4933402J07Rik	chr8	FALSE	FALSE
4933405L10Rik	chr8	FALSE	TRUE
4933407L21Rik	chr1	FALSE	FALSE
4933409G03Rik	chr2	FALSE	TRUE
4933412E24Rik	chr15	FALSE	FALSE
4933424G06Rik	chr1	FALSE	FALSE
4933427D14Rik	chr11	FALSE	TRUE
4933428G20Rik	chr11	FALSE	FALSE
4933430I17Rik	chr4	FALSE	FALSE
4933436I01Rik	chrX	FALSE	TRUE
5031439G07Rik	chr15	FALSE	FALSE
5530400C23Rik	chr6	FALSE	FALSE
5530401A14Rik	chr11	FALSE	FALSE
5730409E04Rik	chr4	FALSE	FALSE
5730455P16Rik	chr11	FALSE	FALSE
5730522E02Rik	chr11	FALSE	FALSE
6330403K07Rik	chr11	FALSE	FALSE
6430548M08Rik	chr8	FALSE	FALSE
6430550D23Rik	chr2	FALSE	FALSE
6430571L13Rik	chr9	FALSE	FALSE
6820408C15Rik	chr2	FALSE	FALSE
7530416G11Rik	chr15	FALSE	TRUE
8030474K03Rik	chrX	FALSE	FALSE
9130401M01Rik	chr15	FALSE	FALSE
9230112D13Rik	chr14	FALSE	FALSE
9330159F19Rik	chr10	FALSE	FALSE
9330182O14Rik	chr15	FALSE	FALSE
9430015G10Rik	chr4	FALSE	FALSE
9430038I01Rik	chr7	FALSE	FALSE
9530068E07Rik	chr11	FALSE	FALSE
9830107B12Rik	chr17	FALSE	FALSE
9930012K11Rik	chr14	FALSE	TRUE
a	chr2	FALSE	FALSE
A130010J15Rik	chr1	FALSE	FALSE
A1bg	chr15	FALSE	FALSE
A1cf	chr19	FALSE	FALSE
A2m	chr6	FALSE	TRUE
A2ml1	chr6	FALSE	FALSE
A3galt2	chr4	FALSE	FALSE
A430005L14Rik	chr4	FALSE	FALSE
A430033K04Rik	chr5	FALSE	FALSE
A4galt	chr15	FALSE	FALSE
A530016L24Rik	chr12	FALSE	FALSE
A630001G21Rik	chr1	FALSE	FALSE
A630023A22Rik	chr14	FALSE	FALSE
A630076J17Rik	chr3	FALSE	FALSE
A830018L16Rik	chr1	FALSE	FALSE
A930004D18Rik	chr2	FALSE	FALSE
A930007A09Rik	chr16	FALSE	FALSE
A930009A15Rik	chr10	FALSE	FALSE
A930018P22Rik	chr2	FALSE	FALSE
A930033H14Rik	chr10	FALSE	FALSE
AA467197	chr2	FALSE	FALSE
AA986860	chr1	FALSE	TRUE
Aacs	chr5	FALSE	TRUE
Aadac	chr3	FALSE	FALSE
Aadacl4fm5	chr4	FALSE	TRUE
Aadat	chr8	FALSE	FALSE
Aagab	chr9	FALSE	FALSE
Aak1	chr6	TRUE	FALSE
Aamdc	chr7	FALSE	TRUE
Aamp	chr1	FALSE	FALSE
Aanat	chr11	FALSE	FALSE
Aar2	chr2	FALSE	FALSE
Aard	chr15	FALSE	FALSE
Aars2	chr17	FALSE	FALSE
Aarsd1	chr11	FALSE	FALSE
Aasdh	chr5	FALSE	FALSE
Aass	chr6	FALSE	TRUE
Aatf	chr11	FALSE	FALSE
Aatk	chr11	TRUE	FALSE
Abat	chr16	TRUE	FALSE
Abca1	chr4	FALSE	TRUE
Abca13	chr11	TRUE	FALSE
Abca14	chr7	FALSE	FALSE
Abca15	chr7	FALSE	FALSE
Abca2	chr2	TRUE	TRUE
Abca3	chr17	FALSE	FALSE
Abca4	chr3	TRUE	FALSE
Abca5	chr11	FALSE	FALSE
Abca6	chr11	FALSE	FALSE
Abca7	chr10	TRUE	FALSE
Abca8b	chr11	FALSE	TRUE
Abca9	chr11	FALSE	FALSE
Abcb10	chr8	FALSE	FALSE
Abcb1a	chr5	TRUE	FALSE
Abcb4	chr5	FALSE	FALSE
Abcb6	chr1	TRUE	FALSE
Abcb7	chrX	FALSE	FALSE
Abcb8	chr5	FALSE	FALSE
Abcb9	chr5	FALSE	FALSE
Abcc1	chr16	TRUE	FALSE
Abcc10	chr17	FALSE	TRUE
Abcc12	chr8	FALSE	TRUE
Abcc3	chr11	FALSE	TRUE
Abcc4	chr14	FALSE	FALSE
Abcc5	chr16	FALSE	FALSE
Abcc6	chr7	FALSE	TRUE
Abcc8	chr7	TRUE	FALSE
Abcd1	chrX	TRUE	FALSE
Abcd2	chr15	TRUE	FALSE
Abcd3	chr3	FALSE	FALSE
Abcd4	chr12	FALSE	FALSE
Abce1	chr8	FALSE	FALSE
Abcf1	chr17	FALSE	FALSE
Abcf2	chr5	FALSE	TRUE
Abcg1	chr17	FALSE	FALSE
Abcg2	chr6	FALSE	FALSE
Abcg4	chr9	FALSE	FALSE
Abcg8	chr17	FALSE	FALSE
Abhd10	chr16	FALSE	FALSE
Abhd11	chr5	FALSE	FALSE
Abhd12	chr2	FALSE	FALSE
Abhd12b	chr12	FALSE	FALSE
Abhd14a	chr9	FALSE	TRUE
Abhd14b	chr9	FALSE	FALSE
Abhd15	chr11	FALSE	FALSE
Abhd16a	chr17	FALSE	FALSE
Abhd16b	chr2	FALSE	FALSE
Abhd17a	chr10	TRUE	FALSE
Abhd17b	chr19	TRUE	FALSE
Abhd17c	chr7	TRUE	FALSE
Abhd2	chr7	FALSE	FALSE
Abhd3	chr18	FALSE	FALSE
Abhd4	chr14	FALSE	TRUE
Abhd5	chr9	FALSE	FALSE
Abhd6	chr14	TRUE	FALSE
Abhd8	chr8	FALSE	FALSE
Abi1	chr2	TRUE	FALSE
Abi2	chr1	TRUE	FALSE
Abi3bp	chr16	TRUE	TRUE
Abl1	chr2	TRUE	FALSE
Abl2	chr1	TRUE	FALSE
Ablim1	chr19	TRUE	TRUE
Ablim2	chr5	FALSE	TRUE
Ablim3	chr18	FALSE	FALSE
Abo	chr2	FALSE	TRUE
Abr	chr11	TRUE	FALSE
Abra	chr15	FALSE	FALSE
Abracl	chr10	FALSE	FALSE
Abraxas1	chr5	FALSE	FALSE
Abt1	chr13	TRUE	FALSE
Abtb1	chr6	FALSE	TRUE
Abtb2	chr2	FALSE	FALSE
Acaa1a	chr9	FALSE	TRUE
Acaa1b	chr9	FALSE	FALSE
Acaa2	chr18	FALSE	FALSE
Acaca	chr11	FALSE	FALSE
Acacb	chr5	FALSE	FALSE
Acad10	chr5	FALSE	FALSE
Acad11	chr9	FALSE	FALSE
Acad12	chr5	FALSE	FALSE
Acad8	chr9	FALSE	FALSE
Acad9	chr3	FALSE	FALSE
Acadl	chr1	FALSE	FALSE
Acadm	chr3	FALSE	TRUE
Acads	chr5	FALSE	FALSE
Acadsb	chr7	FALSE	FALSE
Acadvl	chr11	FALSE	FALSE
Acan	chr7	TRUE	FALSE
Acap1	chr11	FALSE	FALSE
Acap2	chr16	FALSE	FALSE
Acap3	chr4	TRUE	FALSE
Acat1	chr9	FALSE	FALSE
Acat2	chr17	FALSE	FALSE
Acat3	chr17	FALSE	TRUE
Acbd3	chr1	FALSE	FALSE
Acbd4	chr11	FALSE	TRUE
Acbd5	chr2	FALSE	FALSE
Acbd6	chr1	FALSE	TRUE
Acbd7	chr2	FALSE	FALSE
Accsl	chr2	FALSE	FALSE
Ace	chr11	TRUE	TRUE
Ace2	chrX	TRUE	FALSE
Acer2	chr4	FALSE	FALSE
Acer3	chr7	TRUE	FALSE
Ache	chr5	TRUE	TRUE
Acin1	chr14	FALSE	FALSE
Ackr1	chr1	FALSE	TRUE
Ackr2	chr9	FALSE	TRUE
Ackr3	chr1	TRUE	FALSE
Ackr4	chr9	FALSE	FALSE
Acly	chr11	FALSE	FALSE
Acnat2	chr4	FALSE	FALSE
Aco1	chr4	FALSE	TRUE
Aco2	chr15	FALSE	FALSE
Acod1	chr14	FALSE	FALSE
Acot1	chr12	FALSE	FALSE
Acot10	chr15	FALSE	FALSE
Acot11	chr4	FALSE	FALSE
Acot12	chr13	FALSE	TRUE
Acot2	chr12	FALSE	TRUE
Acot3	chr12	FALSE	FALSE
Acot4	chr12	FALSE	FALSE
Acot5	chr12	FALSE	FALSE
Acot6	chr12	FALSE	TRUE
Acot7	chr4	FALSE	FALSE
Acot8	chr2	FALSE	FALSE
Acot9	chrX	FALSE	FALSE
Acox1	chr11	FALSE	FALSE
Acox2	chr14	FALSE	FALSE
Acox3	chr5	FALSE	FALSE
Acoxl	chr2	FALSE	TRUE
Acp1	chr12	FALSE	FALSE
Acp2	chr2	FALSE	FALSE
Acp6	chr3	FALSE	FALSE
Acrbp	chr6	FALSE	TRUE
Acsbg1	chr9	FALSE	FALSE
Acsbg2	chr17	FALSE	FALSE
Acsf2	chr11	FALSE	TRUE
Acsf3	chr8	FALSE	FALSE
Acsl1	chr8	FALSE	FALSE
Acsl3	chr1	TRUE	FALSE
Acsl4	chrX	TRUE	FALSE
Acsl5	chr19	FALSE	FALSE
Acsl6	chr11	TRUE	FALSE
Acsm5	chr7	FALSE	FALSE
Acss1	chr2	FALSE	FALSE
Acss2	chr2	TRUE	FALSE
Acss3	chr10	FALSE	FALSE
Acta1	chr8	FALSE	FALSE
Acta2	chr19	FALSE	FALSE
Actb	chr5	TRUE	FALSE
Actbl2	chr13	TRUE	TRUE
Actg1	chr11	TRUE	FALSE
Actg2	chr6	FALSE	TRUE
Actl10	chr2	FALSE	TRUE
Actl11	chr9	FALSE	TRUE
Actl6a	chr3	TRUE	FALSE
Actl6b	chr5	TRUE	TRUE
Actl7b	chr4	FALSE	FALSE
Actl9	chr17	TRUE	TRUE
Actn1	chr12	TRUE	FALSE
Actn2	chr13	TRUE	FALSE
Actn3	chr19	TRUE	FALSE
Actn4	chr7	FALSE	FALSE
Actr10	chr12	TRUE	FALSE
Actr1a	chr19	FALSE	FALSE
Actr1b	chr1	FALSE	FALSE
Actr2	chr11	TRUE	FALSE
Actr3	chr1	TRUE	TRUE
Actr3b	chr5	FALSE	FALSE
Actr5	chr2	FALSE	FALSE
Actr6	chr10	FALSE	FALSE
Actr8	chr14	FALSE	FALSE
Actrt2	chr4	FALSE	FALSE
Actrt3	chr3	FALSE	FALSE
Acvr1	chr2	FALSE	FALSE
Acvr1b	chr15	TRUE	TRUE
Acvr1c	chr2	TRUE	FALSE
Acvr2a	chr2	FALSE	FALSE
Acvr2b	chr9	FALSE	FALSE
Acvrl1	chr15	FALSE	TRUE
Acy1	chr9	FALSE	TRUE
Acy3	chr19	FALSE	TRUE
Acyp1	chr12	FALSE	FALSE
Acyp2	chr11	FALSE	FALSE
Ada	chr2	FALSE	FALSE
Adad2	chr8	FALSE	TRUE
Adal	chr2	FALSE	FALSE
Adam10	chr9	TRUE	FALSE
Adam11	chr11	FALSE	FALSE
Adam12	chr7	FALSE	FALSE
Adam15	chr3	FALSE	FALSE
Adam17	chr12	TRUE	FALSE
Adam18	chr8	FALSE	FALSE
Adam19	chr11	FALSE	FALSE
Adam22	chr5	TRUE	FALSE
Adam23	chr1	FALSE	FALSE
Adam28	chr14	FALSE	FALSE
Adam30	chr3	FALSE	FALSE
Adam33	chr2	FALSE	FALSE
Adam34	chr8	FALSE	TRUE
Adam4	chr12	FALSE	FALSE
Adam7	chr14	FALSE	FALSE
Adam8	chr7	TRUE	FALSE
Adam9	chr8	FALSE	FALSE
Adamts1	chr16	TRUE	FALSE
Adamts10	chr17	FALSE	TRUE
Adamts12	chr15	FALSE	FALSE
Adamts14	chr10	FALSE	FALSE
Adamts15	chr9	FALSE	FALSE
Adamts16	chr13	FALSE	FALSE
Adamts17	chr7	FALSE	FALSE
Adamts18	chr8	FALSE	TRUE
Adamts2	chr11	FALSE	FALSE
Adamts20	chr15	FALSE	FALSE
Adamts3	chr5	FALSE	FALSE
Adamts4	chr1	FALSE	TRUE
Adamts5	chr16	FALSE	FALSE
Adamts6	chr13	FALSE	TRUE
Adamts7	chr9	FALSE	FALSE
Adamts8	chr9	FALSE	FALSE
Adamts9	chr6	FALSE	FALSE
Adamtsl1	chr4	FALSE	TRUE
Adamtsl2	chr2	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Adamtsl4	chr3	FALSE	FALSE
Adamtsl5	chr10	FALSE	FALSE
Adap1	chr5	FALSE	FALSE
Adap2	chr11	FALSE	FALSE
Adar	chr3	FALSE	FALSE
Adarb1	chr10	TRUE	FALSE
Adarb2	chr13	FALSE	FALSE
Adat1	chr8	FALSE	FALSE
Adck1	chr12	FALSE	FALSE
Adck2	chr6	FALSE	FALSE
Adck5	chr15	FALSE	TRUE
Adcy1	chr11	TRUE	TRUE
Adcy10	chr1	TRUE	TRUE
Adcy2	chr13	FALSE	FALSE
Adcy3	chr12	TRUE	FALSE
Adcy4	chr14	FALSE	FALSE
Adcy5	chr16	TRUE	FALSE
Adcy6	chr15	TRUE	FALSE
Adcy7	chr8	FALSE	FALSE
Adcy8	chr15	TRUE	FALSE
Adcy9	chr16	FALSE	FALSE
Adcyap1	chr17	TRUE	FALSE
Adcyap1r1	chr6	FALSE	FALSE
Add1	chr5	FALSE	FALSE
Add2	chr6	TRUE	FALSE
Add3	chr19	FALSE	TRUE
Adgb	chr10	FALSE	FALSE
Adgra1	chr7	FALSE	FALSE
Adgra2	chr8	TRUE	FALSE
Adgra3	chr5	FALSE	FALSE
Adgrb1	chr15	TRUE	FALSE
Adgrb2	chr4	TRUE	FALSE
Adgrb3	chr1	TRUE	FALSE
Adgrd1	chr5	TRUE	FALSE
Adgre5	chr8	TRUE	FALSE
Adgrf1	chr17	TRUE	FALSE
Adgrf3	chr5	FALSE	FALSE
Adgrf5	chr17	FALSE	FALSE
Adgrg1	chr8	TRUE	FALSE
Adgrg3	chr8	FALSE	FALSE
Adgrg5	chr8	FALSE	FALSE
Adgrg6	chr10	TRUE	FALSE
Adgrg7	chr16	FALSE	FALSE
Adgrl1	chr8	TRUE	TRUE
Adgrl2	chr3	TRUE	FALSE
Adgrl3	chr5	TRUE	FALSE
Adgrl4	chr3	TRUE	TRUE
Adgrv1	chr13	TRUE	FALSE
Adh5	chr3	FALSE	FALSE
Adh7	chr3	FALSE	FALSE
Adhfe1	chr1	FALSE	TRUE
Adi1	chr12	FALSE	FALSE
Adipoq	chr16	TRUE	FALSE
Adipor1	chr1	FALSE	FALSE
Adipor2	chr6	FALSE	FALSE
Adk	chr14	FALSE	TRUE
Adm	chr7	TRUE	FALSE
Adnp	chr2	TRUE	FALSE
Adnp2	chr18	TRUE	FALSE
Ado	chr10	FALSE	FALSE
Adora1	chr1	TRUE	FALSE
Adora2a	chr10	TRUE	FALSE
Adora2b	chr11	TRUE	FALSE
Adora3	chr3	TRUE	FALSE
Adpgk	chr9	FALSE	FALSE
Adprh	chr16	FALSE	FALSE
Adprhl1	chr8	FALSE	FALSE
Adra1a	chr14	TRUE	FALSE
Adra1b	chr11	TRUE	FALSE
Adra1d	chr2	TRUE	FALSE
Adra2a	chr19	TRUE	FALSE
Adra2b	chr2	TRUE	FALSE
Adra2c	chr5	TRUE	FALSE
Adrb1	chr19	TRUE	FALSE
Adrb2	chr18	TRUE	TRUE
Adrm1	chr2	FALSE	FALSE
Adsl	chr15	FALSE	FALSE
Adtrp	chr13	FALSE	FALSE
Aebp1	chr11	FALSE	FALSE
Aebp2	chr6	FALSE	TRUE
Aen	chr7	FALSE	FALSE
Afap1	chr5	FALSE	FALSE
Afap1l1	chr18	FALSE	FALSE
Afap1l2	chr19	FALSE	TRUE
Afdn	chr17	TRUE	FALSE
Aff1	chr5	FALSE	FALSE
Aff2	chrX	TRUE	FALSE
Aff3	chr1	FALSE	FALSE
Afg1l	chr10	FALSE	FALSE
Afg3l1	chr8	FALSE	FALSE
Afg3l2	chr18	TRUE	FALSE
Afmid	chr11	FALSE	FALSE
Afp	chr5	FALSE	FALSE
Aftph	chr11	FALSE	FALSE
Aga	chr8	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Agap2	chr10	TRUE	FALSE
Agap3	chr5	FALSE	TRUE
Agbl1	chr7	FALSE	FALSE
Agbl2	chr2	FALSE	FALSE
Agbl3	chr6	FALSE	TRUE
Agbl4	chr4	TRUE	FALSE
Agbl5	chr5	FALSE	FALSE
Agfg1	chr1	FALSE	FALSE
Agfg2	chr5	FALSE	FALSE
Aggf1	chr13	FALSE	FALSE
Agk	chr6	FALSE	FALSE
Agl	chr3	FALSE	FALSE
Agmat	chr4	FALSE	TRUE
Agmo	chr12	FALSE	FALSE
Ago1	chr4	FALSE	FALSE
Ago2	chr15	TRUE	FALSE
Ago4	chr4	TRUE	TRUE
Agpat1	chr17	FALSE	FALSE
Agpat3	chr10	FALSE	FALSE
Agpat4	chr17	FALSE	TRUE
Agpat5	chr8	FALSE	FALSE
Agps	chr2	FALSE	TRUE
Agr2	chr12	FALSE	TRUE
Agrn	chr4	TRUE	FALSE
Agrp	chr8	FALSE	FALSE
Agt	chr8	TRUE	TRUE
Agtpbp1	chr13	TRUE	TRUE
Agtr1a	chr13	TRUE	FALSE
Agtr1b	chr3	TRUE	FALSE
Agtrap	chr4	FALSE	FALSE
Agxt	chr1	FALSE	FALSE
Ahctf1	chr1	FALSE	TRUE
Ahcy	chr2	FALSE	FALSE
Ahcyl1	chr3	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Ahdc1	chr4	FALSE	FALSE
Ahi1	chr10	TRUE	FALSE
Ahnak	chr19	FALSE	FALSE
Ahr	chr12	FALSE	FALSE
Ahrr	chr13	FALSE	FALSE
Ahsa2	chr11	FALSE	FALSE
AI429214	chr8	FALSE	FALSE
AI467606	chr7	FALSE	TRUE
AI593442	chr9	FALSE	FALSE
AI597479	chr1	FALSE	TRUE
AI837181	chr19	FALSE	FALSE
AI854703	chr6	FALSE	FALSE
Aicda	chr6	FALSE	FALSE
Aida	chr1	FALSE	FALSE
Aif1	chr17	FALSE	FALSE
Aif1l	chr2	FALSE	FALSE
Aifm1	chrX	TRUE	FALSE
Aifm2	chr10	FALSE	FALSE
Aifm3	chr16	FALSE	FALSE
Aig1	chr10	FALSE	FALSE
Aim2	chr1	TRUE	FALSE
Aimp1	chr3	FALSE	FALSE
Aip	chr19	FALSE	FALSE
Aipl1	chr11	FALSE	FALSE
Aire	chr10	FALSE	FALSE
Ajap1	chr4	FALSE	FALSE
Ajm1	chr2	FALSE	FALSE
Ajuba	chr14	FALSE	FALSE
Ak1	chr2	FALSE	FALSE
Ak2	chr4	FALSE	FALSE
Ak3	chr19	FALSE	FALSE
Ak4	chr4	FALSE	TRUE
Ak5	chr3	FALSE	FALSE
Ak6	chr13	FALSE	FALSE
Ak7	chr12	TRUE	FALSE
Ak8	chr2	TRUE	FALSE
Ak9	chr10	FALSE	FALSE
Akain1	chr17	FALSE	FALSE
Akap1	chr11	FALSE	TRUE
Akap11	chr14	FALSE	FALSE
Akap12	chr10	TRUE	FALSE
Akap13	chr7	FALSE	FALSE
Akap17b	chrX	FALSE	FALSE
Akap5	chr12	TRUE	FALSE
Akap6	chr12	FALSE	FALSE
Akap7	chr10	TRUE	FALSE
Akap8	chr17	FALSE	FALSE
Akap8l	chr17	FALSE	FALSE
Akap9	chr5	FALSE	TRUE
Akip1	chr7	FALSE	TRUE
Akirin1	chr4	FALSE	FALSE
Akirin2	chr4	TRUE	FALSE
Akna	chr4	TRUE	FALSE
Aknad1	chr3	FALSE	FALSE
Akr1a1	chr4	FALSE	FALSE
Akr1b10	chr6	FALSE	FALSE
Akr1b8	chr6	FALSE	TRUE
Akr1cl	chr1	FALSE	FALSE
Akr1d1	chr6	FALSE	FALSE
Akr1e1	chr13	FALSE	FALSE
Akr7a5	chr4	FALSE	FALSE
Akt1	chr12	TRUE	FALSE
Akt1s1	chr7	TRUE	TRUE
Akt2	chr7	TRUE	FALSE
Akt3	chr1	TRUE	FALSE
Aktip	chr8	FALSE	FALSE
Alad	chr4	FALSE	TRUE
Alas1	chr9	FALSE	TRUE
Alcam	chr16	TRUE	FALSE
Aldh18a1	chr19	FALSE	FALSE
Aldh1a1	chr19	FALSE	FALSE
Aldh1a2	chr9	TRUE	FALSE
Aldh1a3	chr7	TRUE	TRUE
Aldh1b1	chr4	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Aldh1l2	chr10	FALSE	FALSE
Aldh2	chr5	FALSE	FALSE
Aldh3a1	chr11	FALSE	FALSE
Aldh3a2	chr11	TRUE	TRUE
Aldh3b1	chr19	FALSE	TRUE
Aldh3b3	chr19	FALSE	FALSE
Aldh4a1	chr4	FALSE	FALSE
Aldh5a1	chr13	TRUE	FALSE
Aldh6a1	chr12	FALSE	FALSE
Aldh7a1	chr18	FALSE	TRUE
Aldh8a1	chr10	FALSE	FALSE
Aldh9a1	chr1	FALSE	TRUE
Aldoa	chr7	FALSE	FALSE
Aldoart1	chr4	FALSE	FALSE
Aldoart2	chr12	FALSE	FALSE
Aldob	chr4	FALSE	FALSE
Aldoc	chr11	FALSE	TRUE
Alg1	chr16	FALSE	FALSE
Alg10b	chr15	TRUE	TRUE
Alg11	chr8	FALSE	FALSE
Alg12	chr15	FALSE	FALSE
Alg13	chrX	TRUE	FALSE
Alg14	chr3	FALSE	TRUE
Alg2	chr4	FALSE	FALSE
Alg3	chr16	FALSE	FALSE
Alg6	chr4	FALSE	FALSE
Alg8	chr7	FALSE	FALSE
Alg9	chr9	FALSE	TRUE
Alk	chr17	TRUE	FALSE
Alkal1	chr1	TRUE	FALSE
Alkal2	chr12	TRUE	TRUE
Alkbh1	chr12	TRUE	FALSE
Alkbh2	chr5	FALSE	FALSE
Alkbh3	chr2	FALSE	FALSE
Alkbh4	chr5	FALSE	TRUE
Alkbh5	chr11	FALSE	FALSE
Alkbh6	chr7	FALSE	FALSE
Alkbh7	chr17	FALSE	FALSE
Allc	chr12	FALSE	TRUE
Alms1	chr6	TRUE	FALSE
Alox12	chr11	FALSE	FALSE
Alox12b	chr11	FALSE	FALSE
Alox12e	chr11	FALSE	TRUE
Alox5	chr6	TRUE	FALSE
Alox5ap	chr5	FALSE	TRUE
Alox8	chr11	FALSE	TRUE
