gene_name	chr	is_neuronal	k27ac_predicted
Agap3	chr5	FALSE	TRUE
Agbl2	chr2	FALSE	FALSE
Agbl3	chr6	FALSE	TRUE
Agbl5	chr5	FALSE	FALSE
Agfg1	chr1	FALSE	FALSE
Aggf1	chr13	FALSE	FALSE
Agk	chr6	FALSE	TRUE
Ago1	chr4	FALSE	TRUE
Ago2	chr15	TRUE	TRUE
Agpat3	chr10	FALSE	TRUE
Agpat4	chr17	FALSE	TRUE
Agpat5	chr8	FALSE	FALSE
Agps	chr2	FALSE	TRUE
Agt	chr8	TRUE	TRUE
Agtpbp1	chr13	TRUE	TRUE
Agtr1b	chr3	TRUE	TRUE
Agtrap	chr4	FALSE	TRUE
Ahctf1	chr1	FALSE	TRUE
Ahcy	chr2	FALSE	FALSE
Ahcyl1	chr3	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Ahdc1	chr4	FALSE	FALSE
Ahi1	chr10	TRUE	FALSE
Ahr	chr12	FALSE	FALSE
Ahsa2	chr11	FALSE	FALSE
AI837181	chr19	FALSE	TRUE
AI854703	chr6	FALSE	TRUE
Aifm3	chr16	FALSE	FALSE
Aig1	chr10	FALSE	TRUE
Aim2	chr1	TRUE	FALSE
Aimp1	chr3	FALSE	FALSE
Aip	chr19	FALSE	TRUE
Ajap1	chr4	FALSE	FALSE
Ajm1	chr2	FALSE	TRUE
Ak1	chr2	FALSE	FALSE
Ak3	chr19	FALSE	FALSE
Ak4	chr4	FALSE	TRUE
Ak5	chr3	FALSE	FALSE
Ak6	chr13	FALSE	FALSE
Akain1	chr17	FALSE	FALSE
Akap1	chr11	FALSE	TRUE
Akap11	chr14	FALSE	TRUE
Akap12	chr10	TRUE	FALSE
Akap17b	chrX	FALSE	FALSE
Akap6	chr12	FALSE	TRUE
Akap7	chr10	TRUE	TRUE
Akap8	chr17	FALSE	FALSE
Akap8l	chr17	FALSE	FALSE
Akap9	chr5	FALSE	TRUE
Akirin1	chr4	FALSE	TRUE
Akirin2	chr4	TRUE	TRUE
Akr1a1	chr4	FALSE	FALSE
Akr1e1	chr13	FALSE	FALSE
Akt1	chr12	TRUE	FALSE
Akt1s1	chr7	TRUE	FALSE
Akt2	chr7	TRUE	TRUE
Akt3	chr1	TRUE	TRUE
Aktip	chr8	FALSE	FALSE
Alad	chr4	FALSE	TRUE
Alas1	chr9	FALSE	FALSE
Alcam	chr16	TRUE	FALSE
Aldh18a1	chr19	FALSE	FALSE
Aldh1l1	chr6	FALSE	FALSE
Aldh1l2	chr10	FALSE	FALSE
Aldh3a1	chr11	FALSE	FALSE
Aldh3a2	chr11	TRUE	TRUE
Aldh3b1	chr19	FALSE	TRUE
Aldh4a1	chr4	FALSE	FALSE
Aldh5a1	chr13	TRUE	FALSE
Aldh7a1	chr18	FALSE	FALSE
Aldh9a1	chr1	FALSE	TRUE
Aldoa	chr7	FALSE	FALSE
Aldob	chr4	FALSE	TRUE
Aldoc	chr11	FALSE	TRUE
Alg10b	chr15	TRUE	FALSE
Alg11	chr8	FALSE	TRUE
Alg12	chr15	FALSE	FALSE
Alg13	chrX	TRUE	FALSE
Alg14	chr3	FALSE	TRUE
Alg2	chr4	FALSE	FALSE
Alg5	chr3	FALSE	FALSE
Alg6	chr4	FALSE	TRUE
Alg8	chr7	FALSE	FALSE
Alg9	chr9	FALSE	TRUE
Alkbh2	chr5	FALSE	TRUE
Alkbh3	chr2	FALSE	FALSE
Alkbh5	chr11	FALSE	TRUE
Alkbh6	chr7	FALSE	FALSE
Alkbh7	chr17	FALSE	TRUE
Allc	chr12	FALSE	TRUE
Alms1	chr6	TRUE	TRUE
Aloxe3	chr11	TRUE	TRUE
Alppl2	chr1	FALSE	FALSE
Als2	chr1	TRUE	FALSE
Alyref2	chr1	FALSE	TRUE
Amacr	chr15	FALSE	TRUE
Ambra1	chr2	TRUE	FALSE
Amd2	chr10	FALSE	FALSE
Amdhd2	chr17	FALSE	FALSE
Amer1	chrX	FALSE	FALSE
Amer2	chr14	FALSE	TRUE
Amer3	chr1	FALSE	TRUE
Amfr	chr8	TRUE	FALSE
Amh	chr10	FALSE	TRUE
Amigo1	chr3	TRUE	TRUE
Amigo3	chr9	TRUE	FALSE
Ammecr1	chrX	FALSE	FALSE
Ammecr1l	chr18	FALSE	FALSE
Amn1	chr6	FALSE	FALSE
Amotl1	chr9	FALSE	FALSE
Amotl2	chr9	FALSE	FALSE
Ampd2	chr3	FALSE	TRUE
Ampd3	chr7	FALSE	TRUE
Amph	chr13	TRUE	FALSE
Amz2	chr11	FALSE	TRUE
Anapc1	chr2	FALSE	FALSE
Anapc15	chr7	FALSE	FALSE
Anapc16	chr10	FALSE	FALSE
Anapc5	chr5	FALSE	FALSE
Anapc7	chr5	TRUE	FALSE
Angel1	chr12	FALSE	TRUE
Angel2	chr1	FALSE	FALSE
Angpt1	chr15	TRUE	TRUE
Angptl2	chr2	FALSE	FALSE
Angptl6	chr9	FALSE	FALSE
Ank	chr15	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Ank2	chr3	FALSE	FALSE
Ank3	chr10	TRUE	FALSE
Ankdd1a	chr9	FALSE	TRUE
Ankef1	chr2	FALSE	TRUE
Ankfy1	chr11	FALSE	FALSE
Ankhd1	chr18	FALSE	FALSE
Ankmy1	chr1	FALSE	TRUE
Ankmy2	chr12	FALSE	TRUE
Ankra2	chr13	FALSE	FALSE
Ankrd10	chr8	FALSE	FALSE
Ankrd11	chr8	TRUE	FALSE
Ankrd12	chr17	FALSE	FALSE
Ankrd13a	chr5	FALSE	FALSE
Ankrd13b	chr11	FALSE	TRUE
Ankrd13d	chr19	FALSE	FALSE
Ankrd16	chr2	FALSE	FALSE
Ankrd17	chr5	FALSE	FALSE
Ankrd2	chr19	FALSE	TRUE
Ankrd23	chr1	FALSE	TRUE
Ankrd26	chr6	FALSE	FALSE
Ankrd28	chr14	FALSE	FALSE
Ankrd34a	chr3	FALSE	FALSE
Ankrd34b	chr13	FALSE	FALSE
Ankrd37	chr8	FALSE	FALSE
Ankrd40	chr11	FALSE	FALSE
Ankrd42	chr7	FALSE	FALSE
Ankrd44	chr1	FALSE	FALSE
Ankrd46	chr15	FALSE	TRUE
Ankrd50	chr3	FALSE	FALSE
Ankrd52	chr10	FALSE	FALSE
Ankrd54	chr15	FALSE	TRUE
Ankrd7	chr6	FALSE	TRUE
Ankrd9	chr12	FALSE	TRUE
Anks1	chr17	TRUE	FALSE
Anks1b	chr10	TRUE	FALSE
Anks3	chr16	FALSE	TRUE
Anks6	chr4	FALSE	FALSE
Ano3	chr2	FALSE	TRUE
Ano4	chr10	FALSE	FALSE
Ano5	chr7	FALSE	FALSE
Anp32a	chr9	FALSE	FALSE
Anp32b	chr4	TRUE	TRUE
Anp32e	chr3	FALSE	TRUE
Anxa5	chr3	FALSE	TRUE
Anxa6	chr11	FALSE	TRUE
Anxa7	chr14	TRUE	TRUE
Aoah	chr13	FALSE	TRUE
Aopep	chr13	FALSE	FALSE
Aox1	chr1	FALSE	TRUE
Ap1ar	chr3	FALSE	FALSE
Ap1b1	chr11	FALSE	FALSE
Ap1g1	chr8	FALSE	FALSE
Ap1g2	chr14	FALSE	TRUE
Ap1m1	chr8	FALSE	FALSE
Ap1s2	chrX	TRUE	FALSE
Ap1s3	chr1	FALSE	TRUE
Ap2a1	chr7	TRUE	FALSE
Ap2a2	chr7	TRUE	TRUE
Ap2b1	chr11	TRUE	FALSE
Ap2m1	chr16	TRUE	FALSE
Ap3b1	chr13	TRUE	TRUE
Ap3b2	chr7	TRUE	FALSE
Ap3d1	chr10	TRUE	TRUE
Ap3m1	chr14	TRUE	TRUE
Ap3m2	chr8	TRUE	FALSE
Ap3s1	chr18	TRUE	TRUE
Ap3s2	chr7	TRUE	TRUE
Ap4b1	chr3	TRUE	FALSE
Ap4s1	chr12	FALSE	FALSE
Ap5b1	chr19	FALSE	FALSE
Ap5s1	chr2	FALSE	TRUE
Ap5z1	chr5	TRUE	TRUE
Apaf1	chr10	TRUE	TRUE
Apba1	chr19	TRUE	FALSE
Apba2	chr7	TRUE	FALSE
Apba3	chr10	TRUE	FALSE
Apbb1	chr7	TRUE	FALSE
Apbb2	chr5	TRUE	TRUE
Apbb3	chr18	FALSE	FALSE
Apc	chr18	TRUE	FALSE
Apc2	chr10	TRUE	TRUE
Apeh	chr9	FALSE	FALSE
Apex2	chrX	FALSE	FALSE
Aph1a	chr3	FALSE	FALSE
Aph1b	chr9	TRUE	TRUE
Api5	chr2	FALSE	TRUE
Aplf	chr6	FALSE	TRUE
Apln	chrX	FALSE	TRUE
Aplp2	chr9	TRUE	TRUE
Apmap	chr2	FALSE	TRUE
Apoa1	chr9	FALSE	TRUE
Apoh	chr11	FALSE	FALSE
Apold1	chr6	FALSE	TRUE
App	chr16	TRUE	FALSE
Appbp2	chr11	FALSE	FALSE
Appl1	chr14	TRUE	FALSE
Appl2	chr10	TRUE	FALSE
Aprt	chr8	FALSE	TRUE
Aptx	chr4	FALSE	TRUE
Aqp11	chr7	FALSE	FALSE
Aqp5	chr15	FALSE	TRUE
Aqp6	chr15	FALSE	TRUE
Aqp9	chr9	FALSE	TRUE
Araf	chrX	FALSE	FALSE
Arap3	chr18	FALSE	TRUE
Arc	chr15	TRUE	FALSE
Arcn1	chr9	TRUE	FALSE
Arel1	chr12	FALSE	TRUE
Arf1	chr11	TRUE	FALSE
Arf2	chr11	FALSE	FALSE
Arf3	chr15	FALSE	TRUE
Arf4	chr14	TRUE	FALSE
Arf5	chr6	FALSE	FALSE
Arf6	chr12	TRUE	TRUE
Arfgap1	chr2	FALSE	TRUE
Arfgap2	chr2	FALSE	TRUE
Arfgap3	chr15	TRUE	FALSE
Arfgef1	chr1	TRUE	FALSE
Arfip1	chr3	FALSE	TRUE
Arg1	chr10	FALSE	TRUE
Arg2	chr12	FALSE	FALSE
Arglu1	chr8	FALSE	FALSE
Arhgap1	chr2	FALSE	FALSE
Arhgap12	chr18	FALSE	TRUE
Arhgap15	chr2	FALSE	TRUE
Arhgap17	chr7	FALSE	TRUE
Arhgap20	chr9	FALSE	FALSE
Arhgap21	chr2	FALSE	FALSE
Arhgap23	chr11	FALSE	TRUE
Arhgap24	chr5	FALSE	TRUE
Arhgap26	chr18	FALSE	TRUE
Arhgap27	chr11	FALSE	FALSE
Arhgap30	chr1	FALSE	TRUE
Arhgap39	chr15	TRUE	TRUE
Arhgap4	chrX	TRUE	FALSE
Arhgap44	chr11	TRUE	FALSE
Arhgap5	chr12	FALSE	FALSE
Arhgef1	chr7	FALSE	FALSE
Arhgef10	chr8	TRUE	TRUE
Arhgef10l	chr4	FALSE	FALSE
Arhgef11	chr3	FALSE	TRUE
Arhgef12	chr9	FALSE	FALSE
Arhgef17	chr7	FALSE	FALSE
Arhgef18	chr8	FALSE	FALSE
Arhgef2	chr3	TRUE	FALSE
Arhgef25	chr10	TRUE	FALSE
Arhgef3	chr14	FALSE	TRUE
Arhgef37	chr18	FALSE	TRUE
Arhgef38	chr3	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Arhgef40	chr14	FALSE	FALSE
Arhgef7	chr8	TRUE	FALSE
Arhgef9	chrX	TRUE	FALSE
Arid1a	chr4	TRUE	FALSE
Arid1b	chr17	TRUE	TRUE
Arid2	chr15	FALSE	FALSE
Arid3a	chr10	FALSE	FALSE
Arid4a	chr12	FALSE	FALSE
Arid5b	chr10	FALSE	FALSE
Arl1	chr10	FALSE	TRUE
Arl13b	chr16	TRUE	FALSE
Arl14ep	chr2	FALSE	TRUE
Arl15	chr13	FALSE	FALSE
Arl16	chr11	FALSE	FALSE
Arl2	chr19	FALSE	FALSE
Arl2bp	chr8	FALSE	FALSE
Arl3	chr19	TRUE	TRUE
Arl4a	chr12	FALSE	FALSE
Arl4c	chr1	FALSE	FALSE
Arl5a	chr2	FALSE	TRUE
Arl5b	chr2	FALSE	TRUE
Arl6	chr16	TRUE	TRUE
Arl6ip1	chr7	FALSE	FALSE
Arl6ip5	chr6	TRUE	TRUE
Arl6ip6	chr2	FALSE	FALSE
Arl8a	chr1	TRUE	FALSE
Arl8b	chr6	TRUE	FALSE
Armc1	chr3	FALSE	TRUE
Armc2	chr10	TRUE	TRUE
Armc5	chr7	FALSE	FALSE
Armc7	chr11	FALSE	TRUE
Armc8	chr9	FALSE	TRUE
Armc9	chr1	FALSE	TRUE
Armcx1	chrX	FALSE	TRUE
Armcx2	chrX	FALSE	FALSE
Armcx4	chrX	FALSE	TRUE
Armcx5	chrX	FALSE	FALSE
Armh3	chr19	FALSE	TRUE
Armh4	chr14	FALSE	TRUE
Arnt2	chr7	TRUE	FALSE
Arpc5	chr1	FALSE	TRUE
Arpc5l	chr2	FALSE	FALSE
Arpin	chr7	FALSE	TRUE
Arpp19	chr9	FALSE	FALSE
Arpp21	chr9	FALSE	TRUE
Arrb1	chr7	TRUE	TRUE
Arrb2	chr11	TRUE	FALSE
Arrdc1	chr2	FALSE	TRUE
Arrdc3	chr13	FALSE	FALSE
Arrdc4	chr7	FALSE	TRUE
Arsb	chr13	TRUE	TRUE
Arsg	chr11	TRUE	TRUE
Arvcf	chr16	FALSE	TRUE
Asah1	chr8	FALSE	TRUE
Asap1	chr15	TRUE	FALSE
Asap2	chr12	FALSE	TRUE
Asb1	chr1	FALSE	TRUE
Asb13	chr13	FALSE	TRUE
Asb15	chr6	FALSE	TRUE
Asb17	chr3	FALSE	TRUE
Asb5	chr8	FALSE	TRUE
Asb7	chr7	FALSE	FALSE
Asb8	chr15	FALSE	TRUE
Ascc3	chr10	FALSE	TRUE
Ascl4	chr10	FALSE	TRUE
Asf1a	chr10	FALSE	TRUE
Ash2l	chr8	FALSE	FALSE
Asic1	chr15	TRUE	FALSE
Asic2	chr11	TRUE	TRUE
Asns	chr6	FALSE	FALSE
Aspdh	chr7	FALSE	FALSE
Asph	chr4	FALSE	TRUE
Asphd2	chr5	FALSE	FALSE
Asprv1	chr6	FALSE	TRUE
Asrgl1	chr19	FALSE	TRUE
Astn1	chr1	TRUE	TRUE
Astn2	chr4	TRUE	TRUE
Asxl1	chr2	FALSE	FALSE
Atad1	chr19	TRUE	FALSE
Atad2	chr15	FALSE	FALSE
Atad2b	chr12	FALSE	FALSE
Atad3a	chr4	FALSE	TRUE
Atcay	chr10	TRUE	FALSE
Ate1	chr7	FALSE	FALSE
Atf1	chr15	TRUE	FALSE
Atf2	chr2	TRUE	TRUE
Atf3	chr1	FALSE	FALSE
Atf7	chr15	FALSE	FALSE
Atf7ip	chr6	FALSE	FALSE
Atg10	chr13	FALSE	FALSE
Atg101	chr15	FALSE	TRUE
Atg14	chr14	FALSE	TRUE
Atg16l2	chr7	FALSE	TRUE
Atg2a	chr19	FALSE	FALSE
Atg2b	chr12	FALSE	FALSE
Atg3	chr16	FALSE	FALSE
Atg4c	chr4	FALSE	TRUE
Atg4d	chr9	FALSE	FALSE
Atg5	chr10	TRUE	TRUE
Atg9a	chr1	FALSE	FALSE
Atg9b	chr5	FALSE	TRUE
Atic	chr1	TRUE	FALSE
Atl1	chr12	TRUE	TRUE
Atl2	chr17	FALSE	FALSE
Atl3	chr19	FALSE	FALSE
Atm	chr9	TRUE	FALSE
Atn1	chr6	TRUE	FALSE
Atoh7	chr10	TRUE	TRUE
Atoh8	chr6	TRUE	TRUE
Atox1	chr11	FALSE	FALSE
Atp10a	chr7	FALSE	TRUE
Atp10b	chr11	FALSE	TRUE
Atp11a	chr8	FALSE	TRUE
Atp11b	chr3	FALSE	TRUE
Atp11c	chrX	FALSE	FALSE
Atp13a1	chr8	FALSE	FALSE
Atp13a2	chr4	FALSE	FALSE
Atp13a3	chr16	FALSE	FALSE
Atp1a1	chr3	FALSE	FALSE
Atp1a3	chr7	TRUE	FALSE
Atp1b1	chr1	FALSE	FALSE
Atp1b2	chr11	TRUE	FALSE
Atp1b3	chr9	FALSE	TRUE
Atp23	chr10	FALSE	TRUE
Atp2a2	chr5	TRUE	TRUE
