gene_name	chr	is_neuronal_and_mecp2_up	k119ub_remodeled
Itgb5	chr16	FALSE	TRUE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	FALSE	FALSE
Lpp	chr16	FALSE	TRUE
Runx1	chr16	FALSE	TRUE
Vav2	chr2	FALSE	TRUE
Astn2	chr4	TRUE	TRUE
Grip1	chr10	FALSE	FALSE
Dip2c	chr13	FALSE	TRUE
Sh3pxd2a	chr19	FALSE	TRUE
Nbea	chr3	TRUE	TRUE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	TRUE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	FALSE
Fbh1	chr2	FALSE	TRUE
Ptprk	chr10	FALSE	TRUE
Zfpm2	chr15	FALSE	TRUE
Rab3c	chr13	FALSE	TRUE
Ambra1	chr2	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	FALSE	TRUE
Grin2a	chr16	FALSE	FALSE
Mbd5	chr2	FALSE	TRUE
Zbtb40	chr4	FALSE	FALSE
Samd12	chr15	FALSE	TRUE
Slc24a3	chr2	FALSE	FALSE
Sema5b	chr16	FALSE	FALSE
Dapk1	chr13	FALSE	FALSE
Cdk15	chr1	FALSE	TRUE
Adamts14	chr10	FALSE	TRUE
Ryr2	chr13	FALSE	FALSE
Vps13d	chr4	FALSE	FALSE
Isx	chr8	FALSE	TRUE
Slc39a11	chr11	FALSE	TRUE
Fam72a	chr1	FALSE	TRUE
Ercc8	chr13	FALSE	TRUE
Bank1	chr3	FALSE	TRUE
Lrrc36	chr8	FALSE	TRUE
Wipf3	chr6	FALSE	TRUE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	TRUE
Gnaq	chr19	FALSE	TRUE
Cacnb4	chr2	FALSE	TRUE
Adgrb3	chr1	TRUE	FALSE
Fam83g	chr11	FALSE	TRUE
Tbc1d30	chr10	FALSE	FALSE
Col5a1	chr2	FALSE	TRUE
Syn2	chr6	FALSE	TRUE
Trio	chr15	FALSE	FALSE
Rap1gap2	chr11	FALSE	TRUE
Rgs7	chr1	FALSE	TRUE
Pld5	chr1	FALSE	TRUE
Kcnj6	chr16	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	TRUE
Adk	chr14	FALSE	TRUE
Trp73	chr4	FALSE	FALSE
Fgf14	chr14	FALSE	FALSE
Kcnn3	chr3	FALSE	TRUE
Baz2b	chr2	FALSE	TRUE
Dnah11	chr12	FALSE	TRUE
Syt2	chr1	FALSE	TRUE
Tbc1d1	chr5	FALSE	FALSE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	FALSE	FALSE
Lrfn2	chr17	FALSE	TRUE
Syt1	chr10	FALSE	TRUE
Nek7	chr1	FALSE	TRUE
Sema3a	chr5	TRUE	TRUE
Fto	chr8	FALSE	FALSE
Dst	chr1	FALSE	FALSE
Dkk3	chr7	FALSE	TRUE
Zfp423	chr8	FALSE	FALSE
Gse1	chr8	FALSE	FALSE
Robo2	chr16	FALSE	TRUE
Ascc3	chr10	FALSE	TRUE
Gabrb3	chr7	FALSE	TRUE
Nr6a1	chr2	FALSE	FALSE
Bcl2l15	chr3	FALSE	TRUE
Fam20c	chr5	FALSE	TRUE
Cfap61	chr2	FALSE	FALSE
Snd1	chr6	FALSE	TRUE
Sik3	chr9	FALSE	TRUE
Glt8d2	chr10	FALSE	TRUE
Sh3gl3	chr7	FALSE	FALSE
Xkr6	chr14	FALSE	TRUE
Hspg2	chr4	FALSE	FALSE
Pdlim7	chr13	FALSE	TRUE
Ints9	chr14	FALSE	FALSE
Eefsec	chr6	FALSE	FALSE
Lct	chr1	FALSE	FALSE
Cenpf	chr1	FALSE	TRUE
Dysf	chr6	FALSE	FALSE
Ctnna3	chr10	FALSE	TRUE
Lrrn1	chr6	FALSE	TRUE
Hecw2	chr1	FALSE	TRUE
Ldlrad3	chr2	FALSE	FALSE
Zfand3	chr17	FALSE	FALSE
Nup93	chr8	FALSE	FALSE
Ppl	chr16	FALSE	TRUE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	FALSE
Rgl1	chr1	FALSE	TRUE
Aff3	chr1	FALSE	TRUE
F830045P16Rik	chr2	FALSE	TRUE
Tcf20	chr15	FALSE	TRUE
Hlf	chr11	FALSE	FALSE
Shld1	chr2	FALSE	TRUE
Cemip	chr7	FALSE	FALSE
Ncor2	chr5	FALSE	TRUE
Cdh4	chr2	FALSE	FALSE
Unc13c	chr9	FALSE	TRUE
Nrp2	chr1	FALSE	FALSE
Brinp3	chr1	TRUE	TRUE
Nfasc	chr1	FALSE	TRUE
Prdm5	chr6	FALSE	TRUE
Ncoa1	chr12	FALSE	TRUE
Rapgef2	chr3	FALSE	TRUE
Togaram2	chr17	FALSE	TRUE
Gria2	chr3	FALSE	TRUE
Tpst1	chr5	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chchd6	chr6	FALSE	FALSE
Eps8	chr6	FALSE	FALSE
Fsip1	chr2	FALSE	TRUE
Frmd4a	chr2	FALSE	FALSE
Mgll	chr6	FALSE	TRUE
Nsmaf	chr4	FALSE	TRUE
Gm1043	chr5	FALSE	TRUE
Cacna1g	chr11	FALSE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	TRUE
Ntrk3	chr7	FALSE	FALSE
Cux1	chr5	FALSE	FALSE
Marchf4	chr1	FALSE	FALSE
Sfxn5	chr6	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Card11	chr5	FALSE	TRUE
Cadps2	chr6	FALSE	FALSE
Akt3	chr1	FALSE	TRUE
Mtus2	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Prickle1	chr15	FALSE	TRUE
Hspa12a	chr19	FALSE	TRUE
Fmn1	chr2	FALSE	TRUE
Atxn7l1	chr12	FALSE	FALSE
Erc2	chr14	FALSE	TRUE
Ncoa2	chr1	FALSE	FALSE
Wdr7	chr18	FALSE	TRUE
St18	chr1	FALSE	TRUE
Gphn	chr12	FALSE	TRUE
Dennd1a	chr2	FALSE	TRUE
Clvs1	chr4	FALSE	TRUE
Prr16	chr18	FALSE	TRUE
Nav1	chr1	FALSE	TRUE
Itsn1	chr16	FALSE	FALSE
Lrrc28	chr7	FALSE	TRUE
Myt1l	chr12	FALSE	TRUE
Serpinb8	chr1	FALSE	TRUE
Adcy9	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	TRUE
Megf6	chr4	FALSE	TRUE
Enah	chr1	FALSE	FALSE
Cntnap5a	chr1	FALSE	TRUE
Flrt3	chr2	FALSE	TRUE
Cntn4	chr6	FALSE	TRUE
Lca5l	chr16	FALSE	TRUE
Smad6	chr9	FALSE	TRUE
Osbpl10	chr9	FALSE	TRUE
Fmn2	chr1	FALSE	TRUE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	FALSE	FALSE
Alg8	chr7	FALSE	TRUE
Med27	chr2	FALSE	FALSE
Tbxas1	chr6	FALSE	FALSE
Camk1d	chr2	FALSE	TRUE
Tmem132c	chr5	FALSE	FALSE
Rere	chr4	FALSE	FALSE
Myo5b	chr18	FALSE	FALSE
Zfp827	chr8	FALSE	TRUE
Ncam1	chr9	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Kif13b	chr14	FALSE	FALSE
Fam120b	chr17	FALSE	TRUE
Zcchc7	chr4	FALSE	FALSE
Macrod1	chr19	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	FALSE
Farp1	chr14	FALSE	TRUE
Cd276	chr9	FALSE	TRUE
Slc35f3	chr8	FALSE	FALSE
Cdh20	chr1	FALSE	TRUE
Dpp6	chr5	FALSE	FALSE
Fbln2	chr6	FALSE	TRUE
Mrtfa	chr15	FALSE	FALSE
Rnf150	chr8	FALSE	FALSE
Dgki	chr6	FALSE	FALSE
Arap2	chr5	FALSE	FALSE
Mbnl2	chr14	FALSE	TRUE
Ptgs1	chr2	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Pax5	chr4	FALSE	FALSE
Kcnab1	chr3	TRUE	TRUE
Abl1	chr2	FALSE	FALSE
Sez6l	chr5	FALSE	TRUE
Cdc73	chr1	FALSE	FALSE
Galnt13	chr2	FALSE	TRUE
Pnpla7	chr2	FALSE	TRUE
Tnrc18	chr5	FALSE	FALSE
Cep128	chr12	FALSE	TRUE
Chchd3	chr6	FALSE	FALSE
Otc	chrX	FALSE	TRUE
Spock1	chr13	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Reep3	chr10	FALSE	FALSE
Garnl3	chr2	FALSE	FALSE
Zswim6	chr13	FALSE	FALSE
Myo18b	chr5	FALSE	TRUE
Ttc7b	chr12	FALSE	TRUE
Msrb3	chr10	FALSE	TRUE
Rapgef1	chr2	FALSE	TRUE
Atg7	chr6	FALSE	TRUE
Dipk2b	chrX	FALSE	TRUE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	FALSE	TRUE
1700019D03Rik	chr1	FALSE	TRUE
Ctnnbl1	chr2	FALSE	TRUE
Cadm2	chr16	FALSE	TRUE
Sobp	chr10	FALSE	TRUE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	TRUE
Osbpl5	chr7	FALSE	TRUE
Slc4a4	chr5	FALSE	TRUE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	FALSE	FALSE
Dhx35	chr2	FALSE	FALSE
Dym	chr18	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Cd83	chr13	FALSE	FALSE
Ksr1	chr11	FALSE	FALSE
Elk3	chr10	FALSE	FALSE
Abat	chr16	FALSE	TRUE
Hs6st3	chr14	FALSE	TRUE
Nr3c2	chr8	FALSE	TRUE
Grk5	chr19	FALSE	TRUE
Dnm3	chr1	FALSE	TRUE
Lhpp	chr7	FALSE	TRUE
Adamtsl3	chr7	FALSE	FALSE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	TRUE
Tex2	chr11	FALSE	FALSE
Mms22l	chr4	FALSE	TRUE
Uggt2	chr14	FALSE	TRUE
Ldlrad4	chr18	FALSE	TRUE
Pde11a	chr2	FALSE	FALSE
Mtss1	chr15	FALSE	TRUE
Nmrk1	chr19	FALSE	TRUE
Sdccag8	chr1	FALSE	FALSE
Atp2b2	chr6	FALSE	FALSE
Smad3	chr9	FALSE	TRUE
Hdgfl3	chr7	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Neb	chr2	FALSE	TRUE
Fbrsl1	chr5	FALSE	FALSE
Prdm16	chr4	FALSE	TRUE
Pkig	chr2	FALSE	TRUE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	FALSE
Rag1	chr2	TRUE	TRUE
Stom	chr2	FALSE	TRUE
Fryl	chr5	FALSE	TRUE
Nrros	chr16	FALSE	TRUE
Triqk	chr4	FALSE	TRUE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	TRUE	TRUE
Capsl	chr15	FALSE	TRUE
Lipc	chr9	FALSE	TRUE
Zfp536	chr7	FALSE	FALSE
Slc24a2	chr4	FALSE	FALSE
Pcca	chr14	FALSE	TRUE
Adarb2	chr13	FALSE	FALSE
Mapk10	chr5	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Atp8a2	chr14	FALSE	FALSE
Unc13b	chr4	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Iqgap2	chr13	FALSE	FALSE
Bcr	chr10	FALSE	FALSE
Nr3c1	chr18	FALSE	TRUE
Nsf	chr11	FALSE	TRUE
Plekhm3	chr1	FALSE	FALSE
Shisal1	chr15	FALSE	FALSE
Gas2	chr7	FALSE	FALSE
Arnt2	chr7	FALSE	FALSE
Tdo2	chr3	FALSE	TRUE
Zfp462	chr4	FALSE	TRUE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	TRUE
Tmeff2	chr1	FALSE	TRUE
Slc24a4	chr12	FALSE	TRUE
Lrig2	chr3	FALSE	FALSE
Atrnl1	chr19	FALSE	FALSE
Chst15	chr7	FALSE	TRUE
Reln	chr5	FALSE	TRUE
Serpinb1b	chr13	FALSE	TRUE
Zfp385b	chr2	FALSE	FALSE
Sdk2	chr11	FALSE	TRUE
Zfp704	chr3	FALSE	TRUE
Rabgap1l	chr1	FALSE	TRUE
Sorbs1	chr19	FALSE	TRUE
Mdga1	chr17	FALSE	TRUE
Efr3b	chr12	FALSE	TRUE
Ttc39b	chr4	FALSE	FALSE
Strbp	chr2	FALSE	TRUE
Zfp516	chr18	FALSE	TRUE
Evl	chr12	FALSE	FALSE
Siah3	chr14	FALSE	TRUE
Syne3	chr12	FALSE	TRUE
Cobl	chr11	TRUE	TRUE
Mpped2	chr2	FALSE	TRUE
Ston2	chr12	FALSE	TRUE
Gpm6b	chrX	TRUE	FALSE
Slc8a3	chr12	FALSE	FALSE
Cacng2	chr15	FALSE	FALSE
Tmprss11g	chr5	FALSE	TRUE
Lrrk1	chr7	FALSE	FALSE
Ppfia2	chr10	FALSE	TRUE
Ndrg1	chr15	FALSE	TRUE
Tasp1	chr2	FALSE	TRUE
Gpr158	chr2	FALSE	TRUE
Dennd1b	chr1	FALSE	TRUE
Eml4	chr17	FALSE	TRUE
Polr1d	chr5	FALSE	FALSE
Cuedc1	chr11	FALSE	FALSE
Barx2	chr9	FALSE	TRUE
Pde4dip	chr3	FALSE	TRUE
Efcab6	chr15	FALSE	FALSE
Rgs3	chr4	FALSE	TRUE
Col19a1	chr1	FALSE	TRUE
Kif18a	chr2	FALSE	TRUE
Prex1	chr2	FALSE	TRUE
Galnt17	chr5	FALSE	TRUE
5031439G07Rik	chr15	FALSE	FALSE
Cacna2d4	chr6	FALSE	FALSE
Pcsk6	chr7	FALSE	FALSE
Tmem131l	chr3	FALSE	FALSE
Abcc4	chr14	FALSE	TRUE
Trp53bp2	chr1	FALSE	TRUE
Mycbp2	chr14	FALSE	TRUE
Cacna1i	chr15	FALSE	FALSE
Zbtb7c	chr18	FALSE	TRUE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	TRUE
Npsr1	chr9	FALSE	FALSE
Mapkap1	chr2	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Tle3	chr9	FALSE	TRUE
Cnih3	chr1	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Olfm3	chr3	FALSE	TRUE
Zfp800	chr6	FALSE	FALSE
Jakmip3	chr7	FALSE	TRUE
Dnmt3a	chr12	FALSE	TRUE
Nkd1	chr8	FALSE	FALSE
Clstn2	chr9	FALSE	FALSE
Zfpm1	chr8	FALSE	TRUE
Reep1	chr6	FALSE	FALSE
Macf1	chr4	FALSE	TRUE
Arhgef4	chr1	FALSE	FALSE
Cdc42bpa	chr1	FALSE	TRUE
Tmprss11d	chr5	FALSE	TRUE
Atp8a1	chr5	FALSE	TRUE
Clmp	chr9	FALSE	FALSE
Dclk1	chr3	FALSE	TRUE
Mrps27	chr13	FALSE	FALSE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	FALSE	FALSE
Lmx1b	chr2	FALSE	TRUE
Aopep	chr13	FALSE	FALSE
Dbn1	chr13	FALSE	TRUE
Tshz1	chr18	FALSE	TRUE
Plxdc1	chr11	FALSE	TRUE
Rad51b	chr12	FALSE	TRUE
Pdia5	chr16	FALSE	TRUE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	FALSE	FALSE
Pde4d	chr13	FALSE	TRUE
Nrxn3	chr12	FALSE	TRUE
Apbb2	chr5	FALSE	FALSE
Cdkl5	chrX	FALSE	FALSE
Plekhd1	chr12	FALSE	TRUE
Kctd12	chr14	FALSE	TRUE
Cnnm2	chr19	FALSE	FALSE
Kalrn	chr16	FALSE	TRUE
Mgat5	chr1	FALSE	TRUE
Kif1b	chr4	FALSE	FALSE
Efcab2	chr1	FALSE	TRUE
Pax3	chr1	FALSE	TRUE
Arhgef3	chr14	FALSE	TRUE
Srpk2	chr5	FALSE	FALSE
Srgap3	chr6	FALSE	TRUE
Coro7	chr16	FALSE	TRUE
Epas1	chr17	FALSE	TRUE
Zfp407	chr18	FALSE	TRUE
Lrrn2	chr1	FALSE	TRUE
Rasa3	chr8	FALSE	FALSE
Med12l	chr3	FALSE	TRUE
Inf2	chr12	FALSE	TRUE
Trim71	chr9	FALSE	TRUE
Scn8a	chr15	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Scn1a	chr2	FALSE	FALSE
Slc22a23	chr13	FALSE	TRUE
Tlcd4	chr3	FALSE	TRUE
Ece1	chr4	FALSE	TRUE
Srgap2	chr1	FALSE	TRUE
Cntnap4	chr8	FALSE	TRUE
Pknox2	chr9	FALSE	FALSE
Cav2	chr6	FALSE	TRUE
Zfp804a	chr2	TRUE	TRUE
Mprip	chr11	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Frmd5	chr2	FALSE	FALSE
Lrrc8b	chr5	FALSE	FALSE
Hibadh	chr6	FALSE	TRUE
Rps6ka2	chr17	FALSE	TRUE
Foxo6	chr4	FALSE	TRUE
Dock5	chr14	FALSE	FALSE
Nedd4l	chr18	FALSE	FALSE
1700011L22Rik	chr8	FALSE	TRUE
Pde9a	chr17	FALSE	FALSE
Galnt18	chr7	FALSE	FALSE
Rbms3	chr9	FALSE	TRUE
Sipa1l1	chr12	FALSE	FALSE
Pbx1	chr1	FALSE	TRUE
Vgll4	chr6	FALSE	FALSE
Syn3	chr10	FALSE	TRUE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Hpse2	chr19	FALSE	TRUE
Sec16b	chr1	FALSE	TRUE
Rims1	chr1	FALSE	TRUE
1700017N19Rik	chr10	FALSE	TRUE
Slc9a9	chr9	FALSE	TRUE
Mindy3	chr2	FALSE	TRUE
Slc10a7	chr8	FALSE	TRUE
Osbpl1a	chr18	FALSE	TRUE
Atg4c	chr4	FALSE	TRUE
Tmem156	chr5	FALSE	TRUE
Ptgis	chr2	FALSE	TRUE
Sv2c	chr13	FALSE	TRUE
Sort1	chr3	FALSE	TRUE
Lrp1b	chr2	FALSE	TRUE
Limch1	chr5	FALSE	FALSE
Kif16b	chr2	FALSE	TRUE
Cbs	chr17	FALSE	TRUE
Gabra2	chr5	FALSE	FALSE
Otof	chr5	FALSE	FALSE
Rptor	chr11	FALSE	TRUE
Unc5a	chr13	FALSE	TRUE
Rin2	chr2	FALSE	TRUE
Tbca	chr13	FALSE	TRUE
Capzb	chr4	FALSE	TRUE
Lrrc4	chr6	FALSE	TRUE
Tle1	chr4	FALSE	FALSE
Ccdc60	chr5	FALSE	FALSE
Igsf3	chr3	FALSE	TRUE
Ccdc88a	chr11	FALSE	TRUE
Lrrc8d	chr5	FALSE	FALSE
Erp44	chr4	FALSE	FALSE
Nos2	chr11	FALSE	TRUE
R3hdm2	chr10	FALSE	FALSE
Cers6	chr2	FALSE	FALSE
Pacs2	chr12	FALSE	TRUE
Ppp4r4	chr12	FALSE	TRUE
Arhgef10l	chr4	FALSE	TRUE
Mpp7	chr18	FALSE	TRUE
Cdh10	chr15	FALSE	TRUE
Actr3b	chr5	FALSE	TRUE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	FALSE	TRUE
Vps41	chr13	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
Pls1	chr9	FALSE	TRUE
Zeb2	chr2	FALSE	FALSE
B3galt5	chr16	FALSE	FALSE
Atxn10	chr15	FALSE	FALSE
Fbxl7	chr15	FALSE	FALSE
Chd6	chr2	FALSE	FALSE
Bicdl1	chr5	FALSE	TRUE
Eya1	chr1	FALSE	TRUE
Ntn4	chr10	TRUE	TRUE
Bnc2	chr4	FALSE	TRUE
Edn2	chr4	FALSE	TRUE
Itpr3	chr17	FALSE	TRUE
Slc49a4	chr16	FALSE	TRUE
Galnt16	chr12	FALSE	FALSE
Pan3	chr5	FALSE	FALSE
Stk24	chr14	FALSE	FALSE
Gatad2a	chr8	FALSE	FALSE
Mcc	chr18	FALSE	TRUE
Esr1	chr10	FALSE	FALSE
Ptprs	chr17	FALSE	TRUE
Nphp4	chr4	FALSE	TRUE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	FALSE
Kcnip4	chr5	FALSE	TRUE
Ano3	chr2	FALSE	TRUE
Cd47	chr16	FALSE	TRUE
Elovl6	chr3	FALSE	TRUE
Brinp2	chr1	FALSE	TRUE
Islr2	chr9	FALSE	TRUE
Ccdc33	chr9	FALSE	FALSE
Nrg2	chr18	FALSE	TRUE
Vrk1	chr12	FALSE	FALSE
Crim1	chr17	FALSE	FALSE
Shb	chr4	FALSE	FALSE
Mrc2	chr11	FALSE	FALSE
Klhl32	chr4	FALSE	TRUE
Ralgps2	chr1	FALSE	TRUE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Marchf10	chr11	FALSE	TRUE
Fgf5	chr5	FALSE	TRUE
Dok7	chr5	FALSE	FALSE
