gene_name	chr	is_neuronal	three_plus_predicted
Atf3	chr1	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Atg9b	chr5	FALSE	TRUE
Atic	chr1	TRUE	FALSE
Atoh8	chr6	TRUE	TRUE
Atp8b1	chr18	TRUE	FALSE
Atpsckmt	chr15	TRUE	TRUE
Atxn7l3b	chr10	FALSE	FALSE
Axin2	chr11	FALSE	FALSE
Azi2	chr9	TRUE	TRUE
B3galt5	chr16	FALSE	FALSE
B3gat1	chr9	TRUE	FALSE
B3gnt2	chr11	TRUE	FALSE
B4galt1	chr4	FALSE	TRUE
Bach1	chr16	FALSE	FALSE
Bach2	chr4	FALSE	TRUE
Bahd1	chr2	FALSE	FALSE
Bambi	chr18	FALSE	FALSE
Banp	chr8	FALSE	FALSE
Barhl1	chr2	TRUE	FALSE
Barhl2	chr5	TRUE	TRUE
Basp1	chr15	FALSE	FALSE
Bbox1	chr2	FALSE	FALSE
Bbs10	chr10	TRUE	FALSE
Bbs9	chr9	FALSE	TRUE
Bbx	chr16	FALSE	FALSE
BC034090	chr1	FALSE	TRUE
Bcar3	chr3	FALSE	FALSE
Bcat1	chr6	FALSE	FALSE
Bckdhb	chr9	FALSE	FALSE
Bcl10	chr3	TRUE	FALSE
Bcl2l11	chr2	TRUE	FALSE
Bcor	chrX	FALSE	FALSE
Bdnf	chr2	TRUE	TRUE
Bhlhe22	chr3	TRUE	FALSE
Bhlhe23	chr2	TRUE	FALSE
Bmp8b	chr4	FALSE	FALSE
Bmper	chr9	FALSE	FALSE
Bms1	chr6	FALSE	FALSE
Brd7	chr8	FALSE	FALSE
Brinp2	chr1	TRUE	TRUE
Btbd3	chr2	TRUE	TRUE
Btbd9	chr17	TRUE	FALSE
Btrc	chr19	FALSE	FALSE
Bub3	chr7	FALSE	FALSE
C8b	chr4	FALSE	FALSE
C9orf72	chr4	TRUE	TRUE
Cacna1s	chr1	TRUE	TRUE
Cacna2d2	chr9	TRUE	FALSE
Cacna2d3	chr14	TRUE	FALSE
Cacnb2	chr2	TRUE	TRUE
Cacul1	chr19	FALSE	FALSE
Cadm1	chr9	TRUE	FALSE
Cadps	chr14	TRUE	FALSE
Calb1	chr4	TRUE	TRUE
Calcoco1	chr15	FALSE	FALSE
Cald1	chr6	FALSE	TRUE
Camk1g	chr1	FALSE	FALSE
Camta1	chr4	TRUE	FALSE
Capn2	chr1	TRUE	FALSE
Car12	chr9	FALSE	FALSE
Car2	chr3	TRUE	FALSE
Carlr	chr2	FALSE	FALSE
Casd1	chr6	FALSE	FALSE
Cav2	chr6	TRUE	FALSE
Cavin2	chr1	FALSE	TRUE
Cbx4	chr11	FALSE	FALSE
Cbx8	chr11	FALSE	FALSE
Ccdc162	chr10	FALSE	TRUE
Ccdc171	chr4	FALSE	TRUE
Ccdc186	chr19	FALSE	TRUE
Ccdc3	chr2	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Ccdc6	chr10	FALSE	FALSE
Ccdc88a	chr11	TRUE	FALSE
Ccdc93	chr1	FALSE	FALSE
Ccn6	chr10	FALSE	FALSE
Ccnd1	chr7	TRUE	TRUE
Ccnd3	chr17	FALSE	FALSE
Ccnh	chr13	FALSE	FALSE
Ccnj	chr19	FALSE	TRUE
Ccnl1	chr3	FALSE	TRUE
Ccser2	chr14	FALSE	FALSE
Cd109	chr9	FALSE	FALSE
Cd34	chr1	FALSE	TRUE
Cd40	chr2	FALSE	TRUE
Cd47	chr16	TRUE	TRUE
Cdc14b	chr13	FALSE	FALSE
Cdc42ep4	chr11	FALSE	FALSE
Cdc5l	chr17	FALSE	FALSE
Cdc73	chr1	FALSE	FALSE
Cdca7	chr2	FALSE	FALSE
Cdh11	chr8	TRUE	FALSE
Cdh13	chr8	FALSE	FALSE
Cdh18	chr15	FALSE	TRUE
Cdh20	chr1	FALSE	FALSE
Cdh23	chr10	TRUE	FALSE
Cdh4	chr2	TRUE	FALSE
Cdk14	chr5	FALSE	FALSE
Cdk5rap2	chr4	TRUE	FALSE
Cdk6	chr5	TRUE	FALSE
Cdkn1c	chr7	TRUE	FALSE
Cdkn2aip	chr8	FALSE	FALSE
Cdkn2c	chr4	TRUE	TRUE
Cdon	chr9	TRUE	FALSE
Celf2	chr2	FALSE	FALSE
Celf4	chr18	TRUE	FALSE
Cenpf	chr1	TRUE	TRUE
Cep162	chr9	FALSE	TRUE
Ces5a	chr8	FALSE	TRUE
Cetn3	chr13	FALSE	TRUE
Cfap45	chr1	TRUE	TRUE
Cfc1	chr1	FALSE	TRUE
Chchd3	chr6	FALSE	FALSE
Chd5	chr4	TRUE	FALSE
Chd6	chr2	FALSE	FALSE
Chl1	chr6	TRUE	TRUE
Chn1	chr2	TRUE	FALSE
Chrm3	chr13	TRUE	FALSE
Chrnb4	chr9	TRUE	TRUE
Chst1	chr2	FALSE	FALSE
Chst2	chr9	FALSE	FALSE
Chst9	chr18	FALSE	FALSE
Cldn9	chr17	FALSE	FALSE
Clip4	chr17	FALSE	FALSE
Cln8	chr8	TRUE	TRUE
Cmip	chr8	FALSE	FALSE
Cmpk2	chr12	FALSE	FALSE
Cmtm3	chr8	FALSE	FALSE
Cmtm7	chr9	FALSE	FALSE
Cnr1	chr4	TRUE	TRUE
Cntn4	chr6	TRUE	TRUE
Cntn5	chr9	TRUE	TRUE
Cntnap2	chr6	TRUE	TRUE
Cntnap5a	chr1	FALSE	FALSE
Col13a1	chr10	FALSE	TRUE
Col18a1	chr10	FALSE	FALSE
Col19a1	chr1	FALSE	TRUE
Col23a1	chr11	FALSE	FALSE
Col27a1	chr4	FALSE	FALSE
Col4a1	chr8	TRUE	FALSE
Col5a1	chr2	FALSE	FALSE
Col8a1	chr16	FALSE	FALSE
Col8a2	chr4	FALSE	FALSE
Col9a2	chr4	FALSE	FALSE
Commd3	chr2	FALSE	TRUE
Commd8	chr5	FALSE	FALSE
Comp	chr8	TRUE	FALSE
Comtd1	chr14	FALSE	FALSE
Cops8	chr1	FALSE	FALSE
Coro6	chr11	FALSE	FALSE
Cox7a2l	chr17	FALSE	FALSE
Cox8c	chr12	FALSE	FALSE
Cpeb2	chr5	TRUE	FALSE
Cplx3	chr9	TRUE	FALSE
Cpm	chr10	FALSE	FALSE
Cpn2	chr16	FALSE	FALSE
Cpxm2	chr7	FALSE	FALSE
Cradd	chr10	FALSE	TRUE
Creb3l1	chr2	FALSE	FALSE
Creb5	chr6	FALSE	FALSE
Crim1	chr17	FALSE	FALSE
Crlf1	chr8	TRUE	FALSE
Crnkl1	chr2	FALSE	FALSE
Cry1	chr10	FALSE	FALSE
Crygn	chr5	TRUE	TRUE
Csmd1	chr8	TRUE	FALSE
Csnk1e	chr15	FALSE	FALSE
Csnk1g3	chr18	FALSE	TRUE
Csrnp3	chr2	FALSE	TRUE
Csrp2	chr10	FALSE	FALSE
Cst3	chr2	FALSE	TRUE
Ctif	chr18	FALSE	FALSE
Ctnna2	chr6	TRUE	TRUE
Ctnnb1	chr9	TRUE	FALSE
Cttnbp2	chr6	TRUE	FALSE
Cux1	chr5	TRUE	FALSE
Cx3cl1	chr8	TRUE	FALSE
Cxcl12	chr6	TRUE	FALSE
Cyld	chr8	FALSE	TRUE
Cyp46a1	chr12	TRUE	TRUE
Cypt12	chr3	FALSE	TRUE
D430019H16Rik	chr12	FALSE	FALSE
D7Ertd443e	chr7	FALSE	FALSE
D930020B18Rik	chr10	FALSE	FALSE
Daam1	chr12	TRUE	FALSE
Daam2	chr17	TRUE	TRUE
Dab1	chr4	TRUE	FALSE
Dact1	chr12	TRUE	TRUE
Dagla	chr19	TRUE	FALSE
Dapk2	chr9	FALSE	FALSE
Dcbld2	chr16	FALSE	FALSE
Dcc	chr18	TRUE	FALSE
Dclk1	chr3	TRUE	FALSE
Dcp1b	chr6	FALSE	TRUE
Dctn1	chr6	TRUE	FALSE
Dctn6	chr8	FALSE	FALSE
Ddc	chr11	TRUE	FALSE
Dennd1b	chr1	FALSE	FALSE
Dgkb	chr12	TRUE	TRUE
Dgkh	chr14	FALSE	FALSE
Dgkz	chr2	TRUE	FALSE
Dhrs3	chr4	FALSE	FALSE
Diaph3	chr14	TRUE	FALSE
Dicer1	chr12	TRUE	FALSE
Dipk2a	chr9	FALSE	TRUE
Disc1	chr8	TRUE	FALSE
Disp3	chr4	TRUE	FALSE
Dkk3	chr7	FALSE	FALSE
Dlc1	chr8	TRUE	FALSE
Dlg2	chr7	TRUE	TRUE
Dlgap2	chr8	TRUE	FALSE
Dll1	chr17	TRUE	FALSE
Dnah11	chr12	TRUE	TRUE
Dnajc24	chr2	FALSE	TRUE
Dnajc5b	chr3	FALSE	TRUE
Dock10	chr1	TRUE	FALSE
Dock4	chr12	TRUE	FALSE
Dok5	chr2	TRUE	FALSE
Dok6	chr18	FALSE	FALSE
Dph6	chr2	FALSE	FALSE
Dpysl2	chr14	TRUE	FALSE
Dpysl3	chr18	TRUE	FALSE
Dsc2	chr18	FALSE	TRUE
Dscam	chr16	TRUE	FALSE
Dsel	chr1	FALSE	FALSE
Dsg2	chr18	FALSE	TRUE
Dtnbp1	chr13	TRUE	FALSE
Dusp15	chr2	TRUE	FALSE
Dusp26	chr8	FALSE	FALSE
Dusp4	chr8	FALSE	TRUE
Dusp6	chr10	FALSE	TRUE
Dusp7	chr9	FALSE	FALSE
Dync1i2	chr2	TRUE	FALSE
Dynlrb2	chr8	FALSE	TRUE
Dysf	chr6	FALSE	FALSE
E130114P18Rik	chr4	FALSE	TRUE
E2f7	chr10	FALSE	FALSE
Ebf1	chr11	FALSE	FALSE
Edem1	chr6	FALSE	FALSE
Edil3	chr13	FALSE	FALSE
Edn2	chr4	TRUE	FALSE
Eepd1	chr9	FALSE	FALSE
Efcab6	chr15	FALSE	FALSE
Efnb2	chr8	TRUE	FALSE
Egf	chr3	TRUE	TRUE
Egr3	chr14	TRUE	FALSE
Eif1a	chr18	FALSE	FALSE
Eif3h	chr15	FALSE	FALSE
Elac2	chr11	FALSE	FALSE
Elavl2	chr4	TRUE	FALSE
Ell2	chr13	FALSE	FALSE
Emx1	chr6	TRUE	FALSE
En1	chr1	TRUE	TRUE
Enah	chr1	TRUE	FALSE
Enc1	chr13	TRUE	FALSE
Eno4	chr19	FALSE	FALSE
Enox1	chr14	FALSE	FALSE
Enpp2	chr15	TRUE	FALSE
Enpp4	chr17	FALSE	FALSE
Eogt	chr6	FALSE	FALSE
Eomes	chr9	TRUE	TRUE
Epas1	chr17	TRUE	FALSE
Epha3	chr16	TRUE	TRUE
Epha4	chr1	TRUE	FALSE
Epha5	chr5	TRUE	FALSE
Epha6	chr16	TRUE	FALSE
Epha7	chr4	TRUE	TRUE
Epha8	chr4	TRUE	TRUE
Ephb1	chr9	TRUE	FALSE
Ephb6	chr6	TRUE	FALSE
Erbb4	chr1	TRUE	TRUE
Erc2	chr14	TRUE	FALSE
Erg	chr16	FALSE	FALSE
Erich3	chr3	FALSE	TRUE
Erlin2	chr8	FALSE	TRUE
Esam	chr9	FALSE	TRUE
Esrrb	chr12	FALSE	FALSE
Eva1c	chr16	FALSE	TRUE
Exoc2	chr13	FALSE	TRUE
Exoc4	chr6	TRUE	FALSE
Ext2	chr2	FALSE	FALSE
Extl1	chr4	FALSE	FALSE
Eya1	chr1	TRUE	FALSE
Eya2	chr2	FALSE	FALSE
Ezr	chr17	TRUE	FALSE
F3	chr3	FALSE	TRUE
Faah	chr4	TRUE	FALSE
Fabp5	chr3	TRUE	FALSE
Faim	chr9	TRUE	FALSE
Fam107b	chr2	TRUE	TRUE
Fam120b	chr17	FALSE	FALSE
Fam135a	chr1	FALSE	TRUE
Fam135b	chr15	FALSE	FALSE
Fam149a	chr8	FALSE	FALSE
Fam163b	chr2	FALSE	FALSE
Fam169a	chr13	FALSE	FALSE
Fam222a	chr5	FALSE	FALSE
Fam241b	chr10	FALSE	TRUE
Fam43a	chr16	FALSE	TRUE
Fam43b	chr4	FALSE	FALSE
Fam53a	chr5	FALSE	FALSE
Fam78b	chr1	FALSE	TRUE
Fam98b	chr2	FALSE	FALSE
Fank1	chr7	FALSE	FALSE
Far2	chr6	FALSE	FALSE
Fat3	chr9	TRUE	FALSE
Fat4	chr3	TRUE	FALSE
Faxc	chr4	FALSE	FALSE
Fbln2	chr6	FALSE	FALSE
Fbln5	chr12	FALSE	TRUE
Fbrsl1	chr5	FALSE	TRUE
Fbxl4	chr4	FALSE	TRUE
Fbxo8	chr8	FALSE	FALSE
Fcho1	chr8	FALSE	FALSE
Fgf1	chr18	TRUE	TRUE
Fgf2	chr3	TRUE	FALSE
Fgf20	chr8	TRUE	TRUE
Fgf3	chr7	TRUE	FALSE
Fgf9	chr14	TRUE	FALSE
Fggy	chr4	TRUE	TRUE
Fhdc1	chr3	FALSE	FALSE
Fhit	chr14	FALSE	TRUE
Fhod3	chr18	FALSE	FALSE
Fignl2	chr15	FALSE	FALSE
Fkbp5	chr17	FALSE	FALSE
Fmn1	chr2	FALSE	FALSE
Fmo9	chr1	FALSE	TRUE
Fndc3a	chr14	FALSE	FALSE
Focad	chr4	FALSE	TRUE
Foxd3	chr4	FALSE	FALSE
Foxe1	chr4	FALSE	TRUE
Foxk1	chr5	FALSE	TRUE
Foxo1	chr3	TRUE	TRUE
Foxo6	chr4	TRUE	FALSE
Foxp1	chr6	TRUE	FALSE
Foxp4	chr17	FALSE	FALSE
Foxq1	chr13	TRUE	FALSE
Frem1	chr4	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Frmd4b	chr6	FALSE	FALSE
Frmd6	chr12	FALSE	TRUE
Fryl	chr5	TRUE	TRUE
Fstl1	chr16	FALSE	FALSE
Fstl4	chr11	TRUE	FALSE
Fzd1	chr5	TRUE	TRUE
Fzd8	chr18	FALSE	FALSE
G2e3	chr12	FALSE	TRUE
Gabrb1	chr5	TRUE	TRUE
Gadd45g	chr13	FALSE	FALSE
Galc	chr12	TRUE	FALSE
Galnt5	chr2	FALSE	TRUE
Galntl6	chr8	FALSE	TRUE
Galr1	chr18	FALSE	FALSE
Gap43	chr16	TRUE	FALSE
Gas2	chr7	FALSE	FALSE
Gas7	chr11	TRUE	TRUE
Gata3	chr2	TRUE	FALSE
Gatd3a	chr10	FALSE	TRUE
Gbe1	chr16	TRUE	FALSE
Gbx2	chr1	TRUE	FALSE
Gclm	chr3	TRUE	TRUE
Gem	chr4	FALSE	FALSE
Gfra1	chr19	TRUE	FALSE
Ghitm	chr14	FALSE	FALSE
Gipc2	chr3	FALSE	FALSE
Gjb1	chrX	FALSE	FALSE
Gjb5	chr4	FALSE	FALSE
Gjc2	chr11	TRUE	FALSE
Gli2	chr1	TRUE	FALSE
Gm11733	chr11	FALSE	FALSE
Gm1979	chr5	FALSE	FALSE
Gm815	chr19	FALSE	TRUE
Gmds	chr13	FALSE	TRUE
Gmpr	chr13	FALSE	TRUE
Gna14	chr19	FALSE	FALSE
Gnal	chr18	TRUE	FALSE
Gnaq	chr19	TRUE	FALSE
Gnas	chr2	TRUE	FALSE
Gng4	chr13	FALSE	FALSE
Gnpda2	chr5	FALSE	TRUE
Gns	chr10	FALSE	TRUE
Golim4	chr3	FALSE	TRUE
Got2	chr8	FALSE	FALSE
Gp1bb	chr16	FALSE	FALSE
Gp5	chr16	FALSE	FALSE
Gpam	chr19	FALSE	FALSE
Gpat3	chr5	FALSE	FALSE
Gpatch2l	chr12	FALSE	TRUE
Gpc6	chr14	TRUE	FALSE
Gpd2	chr2	FALSE	TRUE
Gphb5	chr12	FALSE	FALSE
Gphn	chr12	TRUE	FALSE
Gpr151	chr18	TRUE	FALSE
Gprin3	chr6	TRUE	TRUE
Grap	chr11	TRUE	FALSE
Grb10	chr11	FALSE	FALSE
Grhl2	chr15	TRUE	FALSE
Grid2	chr6	TRUE	TRUE
Grik4	chr9	TRUE	FALSE
Grip2	chr6	TRUE	FALSE
Grm3	chr5	TRUE	FALSE
Grxcr1	chr5	TRUE	TRUE
Gsg1l	chr7	TRUE	FALSE
Gstt2	chr10	FALSE	TRUE
Gtdc1	chr2	FALSE	TRUE
Gtf3c1	chr7	FALSE	FALSE
Gtpbp10	chr5	FALSE	TRUE
Gucy1a1	chr3	TRUE	FALSE
Gucy1b2	chr14	FALSE	FALSE
H2ac8	chr13	FALSE	FALSE
Habp2	chr19	FALSE	TRUE
Has3	chr8	FALSE	FALSE
Hbp1	chr12	FALSE	FALSE
Hcn1	chr13	TRUE	FALSE
Hdac4	chr1	TRUE	FALSE
Hdac9	chr12	TRUE	FALSE
Hebp2	chr10	FALSE	TRUE
Hey1	chr3	TRUE	FALSE
Hhatl	chr9	FALSE	FALSE
Hibadh	chr6	FALSE	TRUE
Hic1	chr11	FALSE	TRUE
Hif3a	chr7	FALSE	TRUE
Hint2	chr4	FALSE	FALSE
Hlcs	chr16	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Hmcn1	chr1	FALSE	FALSE
Hmcn2	chr2	TRUE	FALSE
Hnrnpa3	chr2	FALSE	FALSE
Hopx	chr5	FALSE	FALSE
Hrh2	chr13	TRUE	FALSE
Hs1bp3	chr12	FALSE	FALSE
Hs2st1	chr3	FALSE	FALSE
Hs6st3	chr14	FALSE	TRUE
Hsd17b12	chr2	FALSE	TRUE
Hspa2	chr12	TRUE	TRUE
Hspg2	chr4	TRUE	TRUE
Htr5a	chr5	TRUE	FALSE
Ibtk	chr9	FALSE	FALSE
Ice1	chr13	FALSE	FALSE
Id2	chr12	TRUE	TRUE
Ier5l	chr2	FALSE	FALSE
Ifnar2	chr16	FALSE	FALSE
Ift57	chr16	TRUE	TRUE
Igf1r	chr7	TRUE	FALSE
Igf2bp3	chr6	TRUE	FALSE
Igfn1	chr1	FALSE	FALSE
Igsf21	chr4	TRUE	FALSE
Il20rb	chr9	FALSE	TRUE
Il6st	chr13	TRUE	FALSE
Impa2	chr18	FALSE	TRUE
Impdh1	chr6	FALSE	TRUE
Inf2	chr12	FALSE	FALSE
Ing2	chr8	FALSE	TRUE
Inhba	chr13	TRUE	FALSE
Inhbb	chr1	TRUE	FALSE
Ino80c	chr18	FALSE	FALSE
Ino80d	chr1	FALSE	FALSE
Ipmk	chr10	TRUE	FALSE
Iqgap2	chr13	FALSE	TRUE
Iqsec1	chr6	TRUE	FALSE
Iqsec3	chr6	TRUE	FALSE
Irx2	chr13	TRUE	FALSE
Irx3	chr8	TRUE	FALSE
Islr2	chr9	TRUE	FALSE
Ism1	chr2	FALSE	TRUE
Itgb1	chr8	TRUE	FALSE
Itgb5	chr16	FALSE	TRUE
Itpr1	chr6	TRUE	TRUE
Itpr2	chr6	FALSE	FALSE
Jarid2	chr13	FALSE	FALSE
Jdp2	chr12	FALSE	FALSE
Jun	chr4	TRUE	FALSE
Kalrn	chr16	TRUE	FALSE
Katnal1	chr5	FALSE	TRUE
Kbtbd8	chr6	FALSE	FALSE
Kcna10	chr3	FALSE	FALSE
Kcna2	chr3	TRUE	FALSE
Kcna5	chr6	FALSE	FALSE
Kcna6	chr6	FALSE	FALSE
Kcnab1	chr3	TRUE	TRUE
Kcnb1	chr2	TRUE	FALSE
Kcnc4	chr3	TRUE	TRUE
Kcnh5	chr12	FALSE	FALSE
Kcnj1	chr9	FALSE	FALSE
Kcnk2	chr1	TRUE	FALSE
Kcnk9	chr15	TRUE	FALSE
Kcnma1	chr14	TRUE	FALSE
Kcnn2	chr18	TRUE	FALSE
Kcnq1	chr7	TRUE	FALSE
Kcnq3	chr15	TRUE	FALSE
Kcns1	chr2	FALSE	TRUE
Kctd1	chr18	FALSE	FALSE
Kctd3	chr1	FALSE	FALSE
Kdelr3	chr15	FALSE	FALSE
Kdm6b	chr11	TRUE	TRUE
Khdrbs3	chr15	FALSE	FALSE
Kif16b	chr2	FALSE	TRUE
Kifc3	chr8	FALSE	FALSE
Kiz	chr2	FALSE	TRUE
Klf11	chr12	FALSE	FALSE
Klf12	chr14	FALSE	FALSE
Klf3	chr5	FALSE	FALSE
Klf4	chr4	TRUE	FALSE
Klf6	chr13	FALSE	FALSE
Klf7	chr1	TRUE	FALSE
Klhdc7a	chr4	FALSE	TRUE
Klhl25	chr7	FALSE	FALSE
Klrg2	chr6	FALSE	FALSE
Krtap11-1	chr16	FALSE	FALSE
L1td1	chr4	FALSE	FALSE
Lacc1	chr14	FALSE	FALSE
Lama3	chr18	TRUE	TRUE
Lamp5	chr2	TRUE	FALSE
Lbr	chr1	FALSE	FALSE
Lclat1	chr17	FALSE	TRUE
Ldhal6b	chr17	FALSE	FALSE
Ldlrad3	chr2	FALSE	TRUE
Lef1	chr3	TRUE	FALSE
Lekr1	chr3	FALSE	TRUE
Lgr5	chr10	FALSE	FALSE
Lhfpl2	chr13	FALSE	FALSE
Lhfpl3	chr5	TRUE	FALSE
Lhx2	chr2	TRUE	FALSE
Lifr	chr15	TRUE	FALSE
Llph	chr10	TRUE	FALSE
Lmo1	chr7	FALSE	FALSE
Lmo4	chr3	TRUE	FALSE
Lmo7	chr14	FALSE	FALSE
Lnpk	chr2	FALSE	FALSE
Lnx1	chr5	TRUE	FALSE
Lonrf2	chr1	FALSE	FALSE
Loxhd1	chr18	TRUE	FALSE
Lpcat1	chr13	FALSE	TRUE
Lpin1	chr12	TRUE	FALSE
Lrba	chr3	FALSE	FALSE
Lrig1	chr6	TRUE	FALSE
Lrig2	chr3	TRUE	FALSE
Lrig3	chr10	FALSE	FALSE
Lrp4	chr2	TRUE	FALSE
Lrrc1	chr9	FALSE	FALSE
Lrrc10b	chr19	FALSE	FALSE
Lrrc38	chr4	FALSE	FALSE
Lrrc4c	chr2	TRUE	FALSE
Lrrc55	chr2	FALSE	FALSE
Lrrc7	chr3	TRUE	FALSE
Lrrc8c	chr5	FALSE	FALSE
Lrrfip1	chr1	FALSE	FALSE
Lrrk1	chr7	FALSE	FALSE
Lrrn1	chr6	TRUE	TRUE
Lrrn3	chr12	TRUE	FALSE
Lrrtm1	chr6	TRUE	FALSE
Lrrtm3	chr10	TRUE	FALSE
Lsamp	chr16	FALSE	FALSE
Ltb4r1	chr14	FALSE	FALSE
Lurap1l	chr4	FALSE	FALSE
Luzp2	chr7	FALSE	FALSE
Ly86	chr13	FALSE	FALSE
Lypd6b	chr2	FALSE	FALSE
Lyplal1	chr1	FALSE	FALSE
Macrod2	chr2	TRUE	TRUE
Macroh2a1	chr13	FALSE	FALSE
Mad2l1	chr6	FALSE	FALSE
Maf	chr8	FALSE	TRUE
Mafa	chr15	FALSE	FALSE
Magi1	chr6	FALSE	TRUE
Mamdc2	chr19	TRUE	TRUE
Manea	chr4	FALSE	TRUE
Map3k7	chr4	TRUE	FALSE
Map9	chr3	FALSE	FALSE
Mapk13	chr17	FALSE	FALSE
Marchf11	chr15	FALSE	FALSE
Marchf3	chr18	FALSE	TRUE
Marchf4	chr1	FALSE	FALSE
Marcks	chr10	TRUE	TRUE
Mark1	chr1	TRUE	FALSE
Mat2b	chr11	FALSE	TRUE
Mbd2	chr18	FALSE	FALSE
Mbip	chr12	FALSE	FALSE
Mc2r	chr18	FALSE	TRUE
Mcc	chr18	FALSE	FALSE
Mcph1	chr8	TRUE	FALSE
Mctp2	chr7	TRUE	FALSE
Mcur1	chr13	FALSE	TRUE
Mdga1	chr17	TRUE	FALSE
Mdga2	chr12	TRUE	FALSE
Mdk	chr2	TRUE	FALSE
Med10	chr13	FALSE	FALSE
Med13l	chr5	FALSE	FALSE
Med15	chr16	FALSE	FALSE
Medag	chr5	FALSE	TRUE
Mef2c	chr13	TRUE	TRUE
Megf6	chr4	FALSE	FALSE
Megf9	chr4	TRUE	FALSE
