gene_name	chr	is_synapse_and_mecp2_up	in_k119ub_top_decile
Bcas3	chr11	FALSE	FALSE
Nav3	chr10	FALSE	FALSE
Tmem150c	chr5	FALSE	FALSE
Ptprn2	chr12	FALSE	FALSE
Dip2b	chr15	FALSE	FALSE
Rab11fip4	chr11	FALSE	FALSE
Vwf	chr6	FALSE	FALSE
Anks1b	chr10	FALSE	FALSE
Slc35g2	chr9	FALSE	FALSE
Angpt1	chr15	FALSE	TRUE
Cacna1c	chr6	FALSE	FALSE
Pcdh7	chr5	FALSE	FALSE
Jph1	chr1	FALSE	TRUE
Acly	chr11	FALSE	FALSE
Vti1a	chr19	FALSE	FALSE
Gria1	chr11	TRUE	FALSE
Brpf3	chr17	FALSE	FALSE
Lrba	chr3	FALSE	FALSE
Fam135b	chr15	FALSE	FALSE
Ptk2	chr15	FALSE	FALSE
Dgkb	chr12	FALSE	FALSE
Lingo1	chr9	FALSE	FALSE
Nfib	chr4	FALSE	FALSE
Ssh2	chr11	FALSE	FALSE
Cnpy1	chr5	FALSE	TRUE
Svep1	chr4	FALSE	FALSE
Elmo1	chr13	FALSE	FALSE
Zbtb16	chr9	FALSE	FALSE
Foxp1	chr6	FALSE	FALSE
Plcb4	chr2	TRUE	FALSE
Ppp2r2b	chr18	FALSE	FALSE
Fgf20	chr8	FALSE	FALSE
Grik2	chr10	TRUE	FALSE
Gm973	chr1	FALSE	FALSE
Cux2	chr5	FALSE	FALSE
Kbtbd12	chr6	FALSE	TRUE
Shank2	chr7	FALSE	FALSE
Pde4b	chr4	FALSE	FALSE
Nfia	chr4	FALSE	TRUE
Grxcr1	chr5	FALSE	FALSE
Myo3b	chr2	FALSE	TRUE
Prune2	chr19	FALSE	TRUE
Pde10a	chr17	FALSE	FALSE
Mad1l1	chr5	FALSE	FALSE
Ptchd4	chr17	FALSE	FALSE
Klhl29	chr12	FALSE	FALSE
Ralgps1	chr2	FALSE	FALSE
Pex14	chr4	FALSE	FALSE
Ift57	chr16	FALSE	TRUE
Snph	chr2	FALSE	FALSE
Elp4	chr2	FALSE	TRUE
Dagla	chr19	FALSE	FALSE
Nkain3	chr4	FALSE	FALSE
Kctd8	chr5	FALSE	TRUE
Gtf3c1	chr7	FALSE	FALSE
Slc5a10	chr11	FALSE	FALSE
Ebf2	chr14	FALSE	FALSE
Sybu	chr15	TRUE	TRUE
Mamdc2	chr19	FALSE	FALSE
Sdk1	chr5	FALSE	FALSE
Prkca	chr11	FALSE	FALSE
Mark1	chr1	FALSE	TRUE
Galnt7	chr8	FALSE	TRUE
Celf4	chr18	FALSE	FALSE
Epha5	chr5	TRUE	FALSE
Foxn3	chr12	FALSE	FALSE
Psd3	chr8	FALSE	TRUE
Pcsk5	chr19	FALSE	FALSE
Asb15	chr6	FALSE	TRUE
Cep350	chr1	FALSE	FALSE
Prickle2	chr6	FALSE	FALSE
Npvf	chr6	FALSE	TRUE
Alk	chr17	FALSE	FALSE
Slc17a6	chr7	FALSE	FALSE
Prkcb	chr7	FALSE	FALSE
Adam22	chr5	FALSE	FALSE
Itgb5	chr16	FALSE	FALSE
Spag17	chr3	TRUE	TRUE
Tcf12	chr9	FALSE	FALSE
Lpp	chr16	FALSE	TRUE
Runx1	chr16	FALSE	FALSE
Vav2	chr2	FALSE	FALSE
Astn2	chr4	FALSE	FALSE
Grip1	chr10	FALSE	FALSE
Dip2c	chr13	FALSE	FALSE
Sh3pxd2a	chr19	FALSE	FALSE
Nbea	chr3	TRUE	FALSE
Bahcc1	chr11	FALSE	FALSE
Hcn1	chr13	TRUE	FALSE
Dsc2	chr18	FALSE	TRUE
Igf1r	chr7	FALSE	FALSE
Fbh1	chr2	FALSE	FALSE
Ptprk	chr10	FALSE	FALSE
Zfpm2	chr15	FALSE	FALSE
Rab3c	chr13	FALSE	TRUE
Ambra1	chr2	FALSE	FALSE
Ahcyl2	chr6	FALSE	FALSE
Focad	chr4	FALSE	TRUE
Grin2a	chr16	FALSE	FALSE
Mbd5	chr2	FALSE	FALSE
Zbtb40	chr4	FALSE	FALSE
Samd12	chr15	FALSE	TRUE
Slc24a3	chr2	FALSE	FALSE
Sema5b	chr16	FALSE	FALSE
Dapk1	chr13	FALSE	FALSE
Cdk15	chr1	FALSE	TRUE
Adamts14	chr10	FALSE	FALSE
Ryr2	chr13	FALSE	FALSE
Vps13d	chr4	FALSE	FALSE
Isx	chr8	FALSE	TRUE
Slc39a11	chr11	FALSE	FALSE
Fam72a	chr1	FALSE	TRUE
Ercc8	chr13	FALSE	TRUE
Bank1	chr3	FALSE	TRUE
Lrrc36	chr8	FALSE	FALSE
Wipf3	chr6	FALSE	FALSE
Mvb12b	chr2	FALSE	FALSE
Ptprg	chr14	FALSE	FALSE
Optn	chr2	FALSE	FALSE
Rxra	chr2	FALSE	FALSE
Gnaq	chr19	FALSE	FALSE
Cacnb4	chr2	FALSE	FALSE
Adgrb3	chr1	TRUE	FALSE
Fam83g	chr11	FALSE	FALSE
Tbc1d30	chr10	FALSE	FALSE
Col5a1	chr2	FALSE	FALSE
Syn2	chr6	FALSE	TRUE
Trio	chr15	FALSE	FALSE
Rap1gap2	chr11	FALSE	FALSE
Rgs7	chr1	FALSE	FALSE
Pld5	chr1	FALSE	TRUE
Kcnj6	chr16	FALSE	FALSE
Ablim2	chr5	FALSE	FALSE
Rora	chr9	FALSE	FALSE
Rbfox1	chr16	FALSE	FALSE
Adk	chr14	FALSE	FALSE
Trp73	chr4	FALSE	FALSE
Fgf14	chr14	FALSE	FALSE
Kcnn3	chr3	FALSE	FALSE
Baz2b	chr2	FALSE	FALSE
Dnah11	chr12	FALSE	FALSE
Syt2	chr1	FALSE	FALSE
Tbc1d1	chr5	FALSE	FALSE
Btbd9	chr17	FALSE	FALSE
Syt6	chr3	FALSE	FALSE
Lrfn2	chr17	FALSE	FALSE
Syt1	chr10	FALSE	TRUE
Nek7	chr1	FALSE	FALSE
Sema3a	chr5	TRUE	TRUE
Fto	chr8	FALSE	FALSE
Dst	chr1	FALSE	FALSE
Dkk3	chr7	FALSE	FALSE
Zfp423	chr8	FALSE	FALSE
Gse1	chr8	FALSE	FALSE
Robo2	chr16	FALSE	FALSE
Ascc3	chr10	FALSE	TRUE
Gabrb3	chr7	FALSE	FALSE
Nr6a1	chr2	FALSE	FALSE
Bcl2l15	chr3	FALSE	TRUE
Fam20c	chr5	FALSE	FALSE
Cfap61	chr2	FALSE	FALSE
Snd1	chr6	FALSE	FALSE
Sik3	chr9	FALSE	FALSE
Glt8d2	chr10	FALSE	TRUE
Sh3gl3	chr7	FALSE	FALSE
Xkr6	chr14	FALSE	FALSE
Hspg2	chr4	FALSE	FALSE
Pdlim7	chr13	FALSE	FALSE
Ints9	chr14	FALSE	FALSE
Eefsec	chr6	FALSE	FALSE
Lct	chr1	FALSE	FALSE
Cenpf	chr1	FALSE	TRUE
Dysf	chr6	FALSE	FALSE
Ctnna3	chr10	FALSE	FALSE
Lrrn1	chr6	FALSE	FALSE
Hecw2	chr1	FALSE	FALSE
Ldlrad3	chr2	FALSE	FALSE
Zfand3	chr17	FALSE	FALSE
Nup93	chr8	FALSE	FALSE
Ppl	chr16	FALSE	FALSE
Tnrc6b	chr15	FALSE	FALSE
Tmcc1	chr6	FALSE	FALSE
Rgl1	chr1	FALSE	FALSE
Aff3	chr1	FALSE	FALSE
F830045P16Rik	chr2	FALSE	TRUE
Tcf20	chr15	FALSE	FALSE
Hlf	chr11	FALSE	FALSE
Shld1	chr2	FALSE	TRUE
Cemip	chr7	FALSE	FALSE
Ncor2	chr5	FALSE	FALSE
Cdh4	chr2	FALSE	FALSE
Unc13c	chr9	FALSE	FALSE
Nrp2	chr1	FALSE	FALSE
Brinp3	chr1	FALSE	TRUE
Nfasc	chr1	FALSE	FALSE
Prdm5	chr6	FALSE	FALSE
Ncoa1	chr12	FALSE	FALSE
Rapgef2	chr3	FALSE	FALSE
Togaram2	chr17	FALSE	FALSE
Gria2	chr3	FALSE	FALSE
Tpst1	chr5	FALSE	FALSE
Kcnd2	chr6	FALSE	FALSE
Chchd6	chr6	FALSE	FALSE
Eps8	chr6	FALSE	FALSE
Fsip1	chr2	FALSE	FALSE
Frmd4a	chr2	FALSE	FALSE
Mgll	chr6	FALSE	FALSE
Nsmaf	chr4	FALSE	TRUE
Gm1043	chr5	FALSE	FALSE
Cacna1g	chr11	FALSE	FALSE
Osbpl6	chr2	FALSE	FALSE
Anks1	chr17	FALSE	FALSE
Ntrk3	chr7	FALSE	FALSE
Cux1	chr5	FALSE	FALSE
Marchf4	chr1	FALSE	FALSE
Sfxn5	chr6	FALSE	FALSE
Hmbox1	chr14	FALSE	FALSE
Pou2f2	chr7	FALSE	FALSE
Card11	chr5	FALSE	FALSE
Cadps2	chr6	FALSE	FALSE
Akt3	chr1	FALSE	FALSE
Mtus2	chr5	FALSE	FALSE
Btbd1	chr7	FALSE	FALSE
Prickle1	chr15	FALSE	FALSE
Hspa12a	chr19	FALSE	FALSE
Fmn1	chr2	FALSE	FALSE
Atxn7l1	chr12	FALSE	FALSE
Erc2	chr14	FALSE	FALSE
Ncoa2	chr1	FALSE	FALSE
Wdr7	chr18	FALSE	FALSE
St18	chr1	FALSE	FALSE
Gphn	chr12	FALSE	FALSE
Dennd1a	chr2	FALSE	FALSE
Clvs1	chr4	FALSE	FALSE
Prr16	chr18	FALSE	FALSE
Nav1	chr1	FALSE	FALSE
Itsn1	chr16	FALSE	FALSE
Lrrc28	chr7	FALSE	FALSE
Myt1l	chr12	FALSE	TRUE
Serpinb8	chr1	FALSE	TRUE
Adcy9	chr16	FALSE	FALSE
B3gnt2	chr11	FALSE	FALSE
Megf6	chr4	FALSE	FALSE
Enah	chr1	FALSE	FALSE
Cntnap5a	chr1	FALSE	TRUE
Flrt3	chr2	FALSE	FALSE
Cntn4	chr6	FALSE	FALSE
Lca5l	chr16	FALSE	TRUE
Smad6	chr9	FALSE	FALSE
Osbpl10	chr9	FALSE	FALSE
Fmn2	chr1	FALSE	FALSE
Gdpd5	chr7	FALSE	FALSE
Nrcam	chr12	FALSE	FALSE
Alg8	chr7	FALSE	FALSE
Med27	chr2	FALSE	FALSE
Tbxas1	chr6	FALSE	FALSE
Camk1d	chr2	FALSE	FALSE
Tmem132c	chr5	FALSE	FALSE
Rere	chr4	FALSE	FALSE
Myo5b	chr18	FALSE	FALSE
Zfp827	chr8	FALSE	FALSE
Ncam1	chr9	FALSE	FALSE
Adcy5	chr16	FALSE	FALSE
Kif13b	chr14	FALSE	FALSE
Fam120b	chr17	FALSE	TRUE
Zcchc7	chr4	FALSE	FALSE
Macrod1	chr19	FALSE	FALSE
Lmf1	chr17	FALSE	FALSE
Kif5c	chr2	FALSE	FALSE
Farp1	chr14	FALSE	FALSE
Cd276	chr9	FALSE	FALSE
Slc35f3	chr8	FALSE	FALSE
Cdh20	chr1	FALSE	FALSE
Dpp6	chr5	FALSE	FALSE
Fbln2	chr6	FALSE	FALSE
Mrtfa	chr15	FALSE	FALSE
Rnf150	chr8	FALSE	FALSE
Dgki	chr6	FALSE	FALSE
Arap2	chr5	FALSE	FALSE
Mbnl2	chr14	FALSE	FALSE
Ptgs1	chr2	FALSE	FALSE
Agap1	chr1	FALSE	FALSE
Pax5	chr4	FALSE	FALSE
Kcnab1	chr3	FALSE	FALSE
Abl1	chr2	FALSE	FALSE
Sez6l	chr5	FALSE	FALSE
Cdc73	chr1	FALSE	FALSE
Galnt13	chr2	FALSE	FALSE
Pnpla7	chr2	FALSE	FALSE
Tnrc18	chr5	FALSE	FALSE
Cep128	chr12	FALSE	TRUE
Chchd3	chr6	FALSE	FALSE
Otc	chrX	FALSE	TRUE
Spock1	chr13	FALSE	FALSE
Slc1a7	chr4	FALSE	FALSE
Reep3	chr10	FALSE	FALSE
Garnl3	chr2	FALSE	FALSE
Zswim6	chr13	FALSE	FALSE
Myo18b	chr5	FALSE	FALSE
Ttc7b	chr12	FALSE	FALSE
Msrb3	chr10	FALSE	FALSE
Rapgef1	chr2	FALSE	FALSE
Atg7	chr6	FALSE	FALSE
Dipk2b	chrX	FALSE	TRUE
Uvrag	chr7	FALSE	FALSE
Snx29	chr16	FALSE	FALSE
1700019D03Rik	chr1	FALSE	FALSE
Ctnnbl1	chr2	FALSE	FALSE
Cadm2	chr16	FALSE	TRUE
Sobp	chr10	FALSE	FALSE
Sgip1	chr4	FALSE	FALSE
Coro1c	chr5	FALSE	FALSE
Osbpl5	chr7	FALSE	FALSE
Slc4a4	chr5	FALSE	FALSE
Trak1	chr9	FALSE	FALSE
Dlg5	chr14	FALSE	FALSE
Dhx35	chr2	FALSE	FALSE
Dym	chr18	FALSE	FALSE
Rfc1	chr5	FALSE	FALSE
Skap1	chr11	FALSE	FALSE
Cd83	chr13	FALSE	FALSE
Ksr1	chr11	FALSE	FALSE
Elk3	chr10	FALSE	FALSE
Abat	chr16	FALSE	FALSE
Hs6st3	chr14	FALSE	FALSE
Nr3c2	chr8	FALSE	FALSE
Grk5	chr19	FALSE	TRUE
Dnm3	chr1	FALSE	FALSE
Lhpp	chr7	FALSE	FALSE
Adamtsl3	chr7	FALSE	FALSE
Pacs1	chr19	FALSE	FALSE
Ntrk2	chr13	FALSE	FALSE
Tex2	chr11	FALSE	FALSE
Mms22l	chr4	FALSE	TRUE
Uggt2	chr14	FALSE	FALSE
Ldlrad4	chr18	FALSE	FALSE
Pde11a	chr2	FALSE	FALSE
Mtss1	chr15	FALSE	FALSE
Nmrk1	chr19	FALSE	TRUE
Sdccag8	chr1	FALSE	FALSE
Atp2b2	chr6	FALSE	FALSE
Smad3	chr9	FALSE	FALSE
Hdgfl3	chr7	FALSE	FALSE
Ank1	chr8	FALSE	FALSE
Neb	chr2	FALSE	FALSE
Fbrsl1	chr5	FALSE	FALSE
Prdm16	chr4	FALSE	FALSE
Pkig	chr2	FALSE	FALSE
Col16a1	chr4	FALSE	FALSE
Unc79	chr12	FALSE	FALSE
Rag1	chr2	FALSE	TRUE
Stom	chr2	FALSE	FALSE
Fryl	chr5	FALSE	FALSE
Nrros	chr16	FALSE	TRUE
Triqk	chr4	FALSE	FALSE
Rassf5	chr1	FALSE	FALSE
Gabrb2	chr11	TRUE	TRUE
Capsl	chr15	FALSE	TRUE
Lipc	chr9	FALSE	TRUE
Zfp536	chr7	FALSE	FALSE
Slc24a2	chr4	FALSE	FALSE
Pcca	chr14	FALSE	FALSE
Adarb2	chr13	FALSE	FALSE
Mapk10	chr5	FALSE	FALSE
Apba2	chr7	FALSE	FALSE
Atp8a2	chr14	FALSE	FALSE
Unc13b	chr4	FALSE	FALSE
Ap3b1	chr13	FALSE	FALSE
Iqgap2	chr13	FALSE	FALSE
Bcr	chr10	FALSE	FALSE
Nr3c1	chr18	FALSE	FALSE
Nsf	chr11	FALSE	FALSE
Plekhm3	chr1	FALSE	FALSE
Shisal1	chr15	FALSE	FALSE
Gas2	chr7	FALSE	FALSE
Arnt2	chr7	FALSE	FALSE
Tdo2	chr3	FALSE	TRUE
Zfp462	chr4	FALSE	FALSE
Arhgap23	chr11	FALSE	FALSE
Tshz2	chr2	FALSE	FALSE
Fibcd1	chr2	FALSE	FALSE
Tmeff2	chr1	FALSE	FALSE
Slc24a4	chr12	FALSE	FALSE
Lrig2	chr3	FALSE	FALSE
Atrnl1	chr19	FALSE	FALSE
Chst15	chr7	FALSE	FALSE
Reln	chr5	FALSE	FALSE
Serpinb1b	chr13	FALSE	TRUE
Zfp385b	chr2	FALSE	FALSE
Sdk2	chr11	FALSE	FALSE
Zfp704	chr3	FALSE	FALSE
Rabgap1l	chr1	FALSE	TRUE
Sorbs1	chr19	FALSE	FALSE
Mdga1	chr17	FALSE	FALSE
Efr3b	chr12	FALSE	FALSE
Ttc39b	chr4	FALSE	FALSE
Strbp	chr2	FALSE	FALSE
Zfp516	chr18	FALSE	FALSE
Evl	chr12	FALSE	FALSE
Siah3	chr14	FALSE	FALSE
Syne3	chr12	FALSE	FALSE
Cobl	chr11	TRUE	FALSE
Mpped2	chr2	FALSE	FALSE
Ston2	chr12	FALSE	FALSE
Gpm6b	chrX	TRUE	FALSE
Slc8a3	chr12	FALSE	FALSE
Cacng2	chr15	FALSE	FALSE
Tmprss11g	chr5	FALSE	TRUE
Lrrk1	chr7	FALSE	FALSE
Ppfia2	chr10	FALSE	FALSE
Ndrg1	chr15	FALSE	FALSE
Tasp1	chr2	FALSE	FALSE
Gpr158	chr2	FALSE	FALSE
Dennd1b	chr1	FALSE	FALSE
Eml4	chr17	FALSE	FALSE
Polr1d	chr5	FALSE	FALSE
Cuedc1	chr11	FALSE	FALSE
Barx2	chr9	FALSE	FALSE
Pde4dip	chr3	FALSE	FALSE
Efcab6	chr15	FALSE	FALSE
Rgs3	chr4	FALSE	FALSE
Col19a1	chr1	FALSE	FALSE
Kif18a	chr2	FALSE	TRUE
Prex1	chr2	FALSE	FALSE
Galnt17	chr5	FALSE	FALSE
5031439G07Rik	chr15	FALSE	FALSE
Cacna2d4	chr6	FALSE	FALSE
Pcsk6	chr7	FALSE	FALSE
Tmem131l	chr3	FALSE	FALSE
Abcc4	chr14	FALSE	FALSE
Trp53bp2	chr1	FALSE	FALSE
Mycbp2	chr14	FALSE	TRUE
Cacna1i	chr15	FALSE	FALSE
Zbtb7c	chr18	FALSE	FALSE
St3gal3	chr4	FALSE	FALSE
Tln2	chr9	FALSE	FALSE
Npsr1	chr9	FALSE	FALSE
Mapkap1	chr2	FALSE	FALSE
Gbf1	chr19	FALSE	FALSE
Tle3	chr9	FALSE	FALSE
Cnih3	chr1	FALSE	FALSE
Adgrb1	chr15	FALSE	FALSE
Olfm3	chr3	FALSE	FALSE
Zfp800	chr6	FALSE	FALSE
Jakmip3	chr7	FALSE	FALSE
Dnmt3a	chr12	FALSE	FALSE
Nkd1	chr8	FALSE	FALSE
Clstn2	chr9	FALSE	FALSE
Zfpm1	chr8	FALSE	FALSE
Reep1	chr6	FALSE	FALSE
Macf1	chr4	FALSE	FALSE
Arhgef4	chr1	FALSE	FALSE
Cdc42bpa	chr1	FALSE	FALSE
Tmprss11d	chr5	FALSE	TRUE
Atp8a1	chr5	FALSE	FALSE
Clmp	chr9	FALSE	FALSE
Dclk1	chr3	FALSE	TRUE
Mrps27	chr13	FALSE	FALSE
Lrrtm4	chr6	FALSE	TRUE
Cacna1b	chr2	FALSE	FALSE
Lmx1b	chr2	FALSE	FALSE
Aopep	chr13	FALSE	FALSE
Dbn1	chr13	FALSE	FALSE
Tshz1	chr18	FALSE	FALSE
Plxdc1	chr11	FALSE	FALSE
Rad51b	chr12	FALSE	FALSE
Pdia5	chr16	FALSE	FALSE
Camk4	chr18	FALSE	FALSE
Tnik	chr3	FALSE	FALSE
Pde4d	chr13	FALSE	FALSE
Nrxn3	chr12	FALSE	FALSE
Apbb2	chr5	FALSE	FALSE
Cdkl5	chrX	FALSE	FALSE
Plekhd1	chr12	FALSE	FALSE
Kctd12	chr14	FALSE	FALSE
Cnnm2	chr19	FALSE	FALSE
Kalrn	chr16	FALSE	FALSE
Mgat5	chr1	FALSE	FALSE
Kif1b	chr4	FALSE	FALSE
Efcab2	chr1	FALSE	TRUE
Pax3	chr1	FALSE	FALSE
Arhgef3	chr14	FALSE	FALSE
Srpk2	chr5	FALSE	FALSE
Srgap3	chr6	FALSE	FALSE
Coro7	chr16	FALSE	FALSE
Epas1	chr17	FALSE	FALSE
Zfp407	chr18	FALSE	FALSE
Lrrn2	chr1	FALSE	FALSE
Rasa3	chr8	FALSE	FALSE
Med12l	chr3	FALSE	FALSE
Inf2	chr12	FALSE	FALSE
Trim71	chr9	FALSE	FALSE
Scn8a	chr15	FALSE	FALSE
Ube2e1	chr14	FALSE	FALSE
Scn1a	chr2	FALSE	FALSE
Slc22a23	chr13	FALSE	FALSE
Tlcd4	chr3	FALSE	TRUE
Ece1	chr4	FALSE	FALSE
Srgap2	chr1	FALSE	FALSE
Cntnap4	chr8	FALSE	FALSE
Pknox2	chr9	FALSE	FALSE
Cav2	chr6	FALSE	FALSE
Zfp804a	chr2	TRUE	FALSE
Mprip	chr11	FALSE	FALSE
Kcna2	chr3	FALSE	FALSE
Frmd5	chr2	FALSE	FALSE
Lrrc8b	chr5	FALSE	FALSE
Hibadh	chr6	FALSE	FALSE
Rps6ka2	chr17	FALSE	FALSE
Foxo6	chr4	FALSE	FALSE
Dock5	chr14	FALSE	FALSE
Nedd4l	chr18	FALSE	FALSE
1700011L22Rik	chr8	FALSE	TRUE
Pde9a	chr17	FALSE	FALSE
Galnt18	chr7	FALSE	FALSE
Rbms3	chr9	FALSE	FALSE
Sipa1l1	chr12	FALSE	FALSE
Pbx1	chr1	FALSE	FALSE
Vgll4	chr6	FALSE	FALSE
Syn3	chr10	FALSE	FALSE
Slc45a4	chr15	FALSE	FALSE
Nectin1	chr9	FALSE	FALSE
Hpse2	chr19	FALSE	FALSE
Sec16b	chr1	FALSE	FALSE
Rims1	chr1	FALSE	FALSE
1700017N19Rik	chr10	FALSE	TRUE
Slc9a9	chr9	FALSE	FALSE
Mindy3	chr2	FALSE	TRUE
Slc10a7	chr8	FALSE	FALSE
Osbpl1a	chr18	FALSE	FALSE
Atg4c	chr4	FALSE	FALSE
Tmem156	chr5	FALSE	FALSE
Ptgis	chr2	FALSE	FALSE
Sv2c	chr13	FALSE	FALSE
Sort1	chr3	FALSE	TRUE
Lrp1b	chr2	FALSE	FALSE
Limch1	chr5	FALSE	FALSE
Kif16b	chr2	FALSE	TRUE
Cbs	chr17	FALSE	FALSE
Gabra2	chr5	FALSE	FALSE
Otof	chr5	FALSE	FALSE
Rptor	chr11	FALSE	FALSE
Unc5a	chr13	FALSE	FALSE
Rin2	chr2	FALSE	FALSE
Tbca	chr13	FALSE	TRUE
Capzb	chr4	FALSE	FALSE
Lrrc4	chr6	FALSE	FALSE
Tle1	chr4	FALSE	FALSE
Ccdc60	chr5	FALSE	FALSE
Igsf3	chr3	FALSE	FALSE
Ccdc88a	chr11	FALSE	FALSE
Lrrc8d	chr5	FALSE	FALSE
Erp44	chr4	FALSE	FALSE
Nos2	chr11	FALSE	FALSE
R3hdm2	chr10	FALSE	FALSE
Cers6	chr2	FALSE	FALSE
Pacs2	chr12	FALSE	FALSE
Ppp4r4	chr12	FALSE	FALSE
Arhgef10l	chr4	FALSE	FALSE
Mpp7	chr18	FALSE	TRUE
Cdh10	chr15	FALSE	FALSE
Actr3b	chr5	FALSE	FALSE
Dock9	chr14	FALSE	FALSE
Frmd6	chr12	FALSE	FALSE
Vps41	chr13	FALSE	FALSE
Adgrl2	chr3	FALSE	FALSE
Pls1	chr9	FALSE	FALSE
Zeb2	chr2	FALSE	FALSE
B3galt5	chr16	FALSE	FALSE
Atxn10	chr15	FALSE	FALSE
Fbxl7	chr15	FALSE	FALSE
Chd6	chr2	FALSE	FALSE
Bicdl1	chr5	FALSE	FALSE
Eya1	chr1	FALSE	FALSE
Ntn4	chr10	TRUE	FALSE
Bnc2	chr4	FALSE	FALSE
Edn2	chr4	FALSE	FALSE
Itpr3	chr17	FALSE	FALSE
Slc49a4	chr16	FALSE	FALSE
Galnt16	chr12	FALSE	FALSE
Pan3	chr5	FALSE	FALSE
Stk24	chr14	FALSE	FALSE
Gatad2a	chr8	FALSE	FALSE
Mcc	chr18	FALSE	FALSE
Esr1	chr10	FALSE	FALSE
Ptprs	chr17	FALSE	FALSE
Nphp4	chr4	FALSE	FALSE
Syt7	chr19	FALSE	FALSE
Ppp3ca	chr3	FALSE	FALSE
Kcnip4	chr5	FALSE	FALSE
Ano3	chr2	FALSE	TRUE
Cd47	chr16	FALSE	FALSE
Elovl6	chr3	FALSE	FALSE
Brinp2	chr1	FALSE	FALSE
Islr2	chr9	FALSE	FALSE
Ccdc33	chr9	FALSE	FALSE
Nrg2	chr18	FALSE	FALSE
Vrk1	chr12	FALSE	FALSE
Crim1	chr17	FALSE	FALSE
Shb	chr4	FALSE	FALSE
Mrc2	chr11	FALSE	FALSE
Klhl32	chr4	FALSE	FALSE
Ralgps2	chr1	FALSE	FALSE
Dtd1	chr2	FALSE	FALSE
Rph3a	chr5	FALSE	FALSE
Marchf10	chr11	FALSE	FALSE
Fgf5	chr5	FALSE	FALSE
Dok7	chr5	FALSE	FALSE
