"SYMBOL","mecp2_Fold","mecp2_minFDR","mecp2_sig_peaks","n_mecp2_peaks","mecp2_sig","h2a_Fold","h2a_minFDR","h2a_sig_peaks","n_h2a_peaks","h2a_sig","sig","quadrant","gene_id","chr","start","end","strand","gene_type","gene_length","mch_ctrl","mch_mut","mch_diff","ctrl_M1_mch","ctrl_M2_mch","ctrl_F1_mch","ctrl_F2_mch","mut_M1_mch","mut_M2_mch","mut_F1_mch","mut_F2_mch","n_ch_sites_mean","total_coverage_mean","edger_logFC","edger_logCPM","edger_F","edger_pval","edger_fdr","p_bonferroni","sig_bonferroni","sig_fdr005","sig_fdr010","mch_sig_vs_mecp2","mch_sig_vs_h2a","quadrant_mecp2","quadrant_h2a"
"1810046K07Rik",-0.242738142003449,0.204673825,0,2,FALSE,-0.558627800257777,0.000681306,1,2,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000036027.13","chr9",51289685,51328924,"-","protein_coding",39239,0.0276007594740306,0.0231290451984087,-0.00447171427562184,0.0298326950211651,0.0262603989175103,0.0276225451061791,0.0266873988512677,0.021389223618523,0.0259842339420487,0.0230214401611831,0.0221212830718801,5959.25,143513,-0.299542211183857,5.23531934110302,25.6989379083709,6.13368175021928e-05,0.00032680346212455,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"1810062G17Rik",-0.178911622,0.437691166,0,1,FALSE,0.681680515014235,1.95e-10,2,2,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000027713.6","chr3",36475936,36482299,"+","protein_coding",6363,0.0550515311591745,0.0692345670105729,0.0141830358513983,0.0557219419924338,0.0552151115042012,0.0577249575551783,0.0515441135848848,0.0653281169262567,0.0713986134754398,0.0685637724638103,0.0716477651767845,931.625,21035,0.304164455278233,3.75602823841066,11.6397384008483,0.00281307667093627,0.00898534713976806,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q2 (down / up)","Q1 (up / up)"
"2010300C02Rik",-0.159767522333195,0.334880511,0,6,FALSE,0.0915175841680183,1.14e-05,4,8,TRUE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000026090.16","chr1",37611676,37720085,"-","protein_coding",108409,0.0360504962811158,0.0314151992625406,-0.00463529701857522,0.0369384757566756,0.0363492212800839,0.0352095445970395,0.0357047434906644,0.0305009314400447,0.0327273511287547,0.0304414077619955,0.0319911067193676,17428.625,385909.25,-0.223921719718405,7.07130027171897,70.1769982482288,6.40005481466506e-08,8.16809000751332e-07,0.00130362716519913,TRUE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q4 (up / down)"
"2310022B05Rik",0.051560817,0.838882094,0,1,FALSE,-0.0304140274936808,0.708709904,0,3,FALSE,"Not significant","Q4 (MeCP2 up / H2A down)","ENSMUSG00000031983.7","chr8",124635755,124663369,"-","protein_coding",27614,0.0400478472082633,0.0400248911368784,-2.29560713849303e-05,0.0416308126527381,0.0391933510526094,0.0395262557077626,0.0398409694199431,0.0370201679753685,0.0405532971380242,0.0396906280975583,0.0428354713365625,4424.25,92483,-0.044165128358502,5.25438028873515,0.759579086216633,0.393963253463998,0.511058305299208,1,FALSE,FALSE,FALSE,"Not significant","Not significant","Q4 (up / down)","Q3 (down / down)"
"2510009E07Rik",0.00370242510336841,0.983767584,0,2,FALSE,0.450931924,0.005023311,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000043391.10","chr16",21649044,21694665,"-","protein_coding",45621,0.0249437545984801,0.0222189131805418,-0.00272484141793837,0.0254553159521906,0.025876757589676,0.0247490043296301,0.0236939405224238,0.0200293157191628,0.0235123119015048,0.0207475838233739,0.0245864412781255,7003.25,169416.25,-0.233990205777089,5.37100979173151,18.66869221502,0.00034293379239124,0.00147305323011751,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q4 (up / down)","Q4 (up / down)"
"2610001J05Rik",1.923220727,3.78e-09,1,1,TRUE,1.502795964,3.53e-40,1,1,TRUE,"Significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000052419.7","chr6",13867734,13871518,"-","protein_coding",3784,0.0530888608696495,0.114815979677223,0.0617271188075738,0.0529667149059334,0.0586839933993399,0.0453990228013029,0.0553057123720218,0.115984625819579,0.117357274401473,0.117794372097259,0.108127646390581,528,12386.5,1.1220280566558,3.46892396864086,113.987650184665,1.23391104838854e-09,2.52091616295147e-08,2.51335341446262e-05,TRUE,TRUE,TRUE,"Significant","Significant","Q1 (up / up)","Q1 (up / up)"
"2610318N02Rik",0.025475551,0.931504944,0,1,FALSE,0.20732481,0.10404986,0,1,FALSE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000049916.12","chr16",17113397,17125167,"-","protein_coding",11770,0.0217801378950572,0.0182562002318213,-0.00352393766323591,0.0265188229364556,0.0194757796947578,0.0212366324335787,0.0198893165154367,0.0150614069043178,0.0209231792994894,0.0199227098398571,0.0171175048836208,1842.875,41202,-0.334574778548946,3.09071370569943,6.75742986025495,0.0172819363649823,0.0416389592877128,1,FALSE,TRUE,TRUE,"Not significant","Not significant","Q4 (up / down)","Q4 (up / down)"
"2700081O15Rik",-0.013993844,0.966649978,0,1,FALSE,-0.279037582,0.013099854,1,1,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000053080.10","chr19",7417624,7425904,"+","protein_coding",8280,0.0515931860703609,0.0419237862558606,-0.00966939981450023,0.0571226526282706,0.0491056247024417,0.0528203257962558,0.0473241411544754,0.0352362522173843,0.0413084346409325,0.0412989520132377,0.049851506151888,1145.125,19555.625,-0.398031136676523,3.2379277195037,12.7985140367428,0.0019209765907597,0.00648464901842631,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"2810006K23Rik",-0.0532700436934737,0.797933414,0,2,FALSE,0.183857353134872,0.167247326,0,2,FALSE,"Not significant","Q2 (MeCP2 down / H2A up)","ENSMUSG00000047635.6","chr5",124328088,124341844,"+","protein_coding",13756,0.0383503904454586,0.0479861656868364,0.00963577524137776,0.038771605131905,0.0381561827885611,0.0373586429725364,0.0391151308888319,0.0472467565397456,0.0494703640155757,0.0474801010255625,0.0477474411664616,2215,56168.125,0.311140091158927,4.67136899165903,24.9295743854264,7.29951449570086e-05,0.00038036278015587,1,FALSE,TRUE,TRUE,"Not significant","Not significant","Q2 (down / up)","Q1 (up / up)"
"2810459M11Rik",-0.273988477,0.184882738,0,1,FALSE,-0.292414477213942,0.035178783,1,3,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000026227.11","chr1",86045862,86055456,"+","protein_coding",9594,0.0682662058790341,0.0511724451247407,-0.0170937607542934,0.0655586334256694,0.071135115173337,0.0680815016273574,0.0682895732897725,0.0527872846452811,0.0512527192258645,0.05513677947525,0.0455129971525673,1416.75,27945.375,-0.372106900470687,4.10948568671917,20.8877734765582,0.00019250962305556,0.00088876439528983,1,FALSE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"2900026A02Rik",-0.169981060549679,0.136932515,0,9,FALSE,-0.435025503378688,2.22e-05,4,5,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000051339.10","chr5",113086322,113221236,"-","protein_coding",134914,0.0484895344893738,0.042787165254373,-0.00570236923500072,0.0489944634424361,0.0480885721107505,0.04891669590765,0.0479584064966584,0.0411060715017456,0.0431150763381818,0.0422769783290841,0.0446505348484806,22688.375,443548.125,-0.202427609986061,7.70317589236174,76.4660212143467,3.2618406496311e-08,4.50443608083633e-07,0.00066440432192335,TRUE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"3110009E18Rik",0.091454853,0.652904029,0,1,FALSE,0.735816486,3.75e-09,1,1,TRUE,"Not significant","Q1 (MeCP2 up / H2A up)","ENSMUSG00000026388.15","chr1",120121186,120188189,"+","protein_coding",67003,0.0337840913088543,0.0288974980045433,-0.00488659330431108,0.0347632951511068,0.0346407071093483,0.0323416076277195,0.0333907553472429,0.025452728388268,0.0302800892658446,0.0289511279284149,0.0309060464356456,11044.375,255524.625,-0.284500205031712,6.37144199823521,55.7083500867022,3.69318061516018e-07,3.76320139820899e-06,0.00752263959501977,TRUE,TRUE,TRUE,"Not significant","Significant","Q4 (up / down)","Q4 (up / down)"
"3110082I17Rik",-0.122905234216242,0.455943935,0,7,FALSE,-0.264090039659993,0.000891774,3,11,TRUE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000053553.11","chr5",139359738,139460527,"-","protein_coding",100789,0.0554350541823473,0.0517413183564935,-0.00369373582585376,0.0570723905213106,0.0546271345553778,0.0543348323561223,0.0557058592965785,0.050038162390056,0.0532103239176187,0.0506228277227174,0.053093959395582,17005.625,359772.625,-0.125451975020767,7.62954374849894,29.7114359859999,2.59557057231856e-05,0.00015315520564182,0.528691769875567,FALSE,TRUE,TRUE,"Not significant","Significant","Q3 (down / down)","Q3 (down / down)"
"3425401B19Rik",-0.00881946374856903,0.877331257,0,3,FALSE,-0.0708534301130453,0.151718202,0,2,FALSE,"Not significant","Q3 (MeCP2 down / H2A down)","ENSMUSG00000071540.4","chr14",32659118,32685293,"-","protein_coding",26175,0.0286383973680247,0.0254795852311804,-0.00315881213684432,0.0316237208728887,0.0294544642358591,0.0280203508239046,0.0254550535394464,0.0223604631069639,0.0268550401728445,0.0260183813407103,0.0266844563042028,4160.5,94108.25,-0.228974823050794,4.72606404152712,10.6823774595581,0.00390385186180565,0.0118686493523808,1,FALSE,TRUE,TRUE,"Not significant","Not significant","Q3 (down / down)","Q3 (down / down)"
